Unnamed: 0	sentence	label
0	 Any Way the Wind Blows is Tom Barmans (who is also know as front man of the rock formation 'dEUS') debut movie. Entirely shot in Antwerp (Belgium), the movie starts on a sunny friday morning and skips rather superficially between the events that fill the day of a dozen of main characters. When the movie ends, you have a lot of stuff to think about, because most of the different story-lines are left wide open.<br /><br />The movie has a (purely instrumental) sound track that will rock your socks off. In most scenes, the music truly enhances the general atmosphere and feel, really making the movie hallucinating to watch at certain points of time. The main scene in the film, the party, is very well shot.<br /><br />The director didn't hesitate to use video clip techniques, having his main characters dancing on one of the best sound tracks I've heard lately.<br /><br />The screenplay is great stuff. Camera angles and colors are very well chosen. The 'costumes' are very hot and very 'seventies' too. And I loved (most of the) acting.<br /><br />The thing I liked most about the movie, are the subtle touches of absurd, surreal, very dry or even cynical humor that interleave.<br /><br />Without claiming to be a comedy (this movie certainly is not a comedy but rather an alternative piece of art), it still manages to have its audience giggling and even burst into laughter at some times.<br /><br />This is one more directors' debut that shouldn't be an ending. I hope to see more Tom Barman movies in the future because I had a good time. Cheers.	pos
1	 What's not to like about this movie? Every year you know that you're going to get one or two yule tide movies during Christmas time and most of them are going to be terrible. This movie is definitely a fresh new idea that was pulled off pretty well. A very funny take on a rich young guy paying a family to simulate a real Christmas for him. What is the good of having money like that if you can't do fun things with it. It was a win-win situation. A regular family gets six figures and a rich guy gets to experience Christmas like he imagined. Only if.<br /><br />Drew Latham (Ben Affleck) was incredibly difficult to deal with and it was just a riot to see the family reluctantly comply with his absurd demands. It was a fun and funny movie.	pos
2	" One of my favorite Twilight Zone episodes. And the next day we were in the supermarket at Hollywood Blvd. and La Brea, my father and I, and guess who was coming toward us in the aisle! Barney Phillips, but no hat on -- at least, I don't think he had a hat on.<br /><br />We asked him about his third eye, and he said something like he left it at home, and everybody he met that day had asked him about it.<br /><br />A friendly guy. We used to see all kinds of character actors in LA in those days.<br /><br />BTW, I was a teenager and it took a long time for me to get over the ""three hands"" on the other alien! <br /><br />Robyn Frisch O'Neill <br /><br />Hollywood native and resident 1947 to 1963."	pos
3	" ""World's Finest"" is an unique project. It's a trailer for a Superman/Batman crossover movie that doesn't exists and will also never exists, at least not in this form, with these characters, actors and plot line anyway.<br /><br />So the movie is one big tease, even more than standards everyday real movie trailers. The trailer will hype you all up for nothing. In that regard, I really didn't liked this short project. When watching this trailer it makes you hungry and excited for more and at the same time sad- and perhaps you'll even feel cheated afterward, when it turns out that a full length movie of this trailer will never exist at all. Sort of makes you wonder why this project was made in the first place. Surely to show off Sandy Collora's skills but couldn't he had also done this with a real movie short, like his earlier movie ""Batman: Dead End"".<br /><br />But when you have to judge this short purely for what it is, so from a movie technical point of view, it's a really great one. It's great looking and way more professional than you'll perhaps at first would expect, although the people who've already seen ""Batman: Dead End"" will already know better than to expect a short with cardboard sets, cheap homemade costumes and third-rate actors. The short is not constantly impressive looking and obviously the budget wasn't sky-high but for most part it's very impressive and professional looking, with nice costumes, sets, special effects, cinematography and lighting.<br /><br />The short has a good quick and typical trailer build up, with perhaps a bit too many posing shots too completely find it credible but hey, it works well for the trailer style. It has some impressive shots but also a couple of lame ones, mainly the Superman flying sequences. It was obvious that the guy was just standing at a moving car, with a camera aimed at him from an angle below. I even found it a pretty laughable thing to watch. But really the better and more spectacular moments really compensate for this.<br /><br />Michael O'Hearn seemed like a pretty good Superman/Clark Kent, although he obviously isn't the greatest talented actor around. Clark Bartram reprises his Batman role well again and Kurt Carley seemed like an awesome Lex Luthor. The rest of the cast also served its purpose well enough.<br /><br />It's especially interesting to watch this short after the recent new modern reinterpretations of the two main superheroes of this movie, in the movies ""Batman Begins"" and ""Superman Returns"". It's interesting to compare the style and character treatment of those movies with this one. It's actually amazing and fun to hear how much Kurt Carley does sound like Kevin Spacey, the actor who played Lex Luthor in ""Superman Returns"".<br /><br />It's a good looking and well made and constructed trailer that however will makes you hungry for more, even though you know that there won't be more. Whatever happened to the Waner Bros. plans to create an actual full length Superman/Batman movie by the way? I thought that developments were underway for it a couple of years ago but nothing has been heard of it ever since. Instead two new separate Batman and Superman movies were made; ""Batman Begins"" and ""Superman Returns"".<br /><br />7/10"	pos
4	 I don't know why some guys from US, Georgia or even from Bulgaria have the courage to express feelings about something they don't understand at all. For those who did not watch this movie - watch it. Don't expect too much or don't put some frameworks just because this is Kosturica. Watch the movie without prejudice, try to understand the whole humor inside - people of Serbia DID actually getting married while Bil Clinton bomb their villages, gypsies in all Balkans are ALWAYS try to f*ck you up in any way they can, LOVE is always unexpected, pure and colorful, and Balkans are extremely creative. For those who claims this is a bad movie I can see only that the American's sh*t (like Meet Dave, Get Smart etc) are much much worse than a pure, frank Balkan humoristic love story movie as Promise me. The comment should be useful and on second place should represent the personal view of the writer. I think the movie is great and people watch it must give their respects to the director and story told inside. It is simple, but true. It is brutal, but gentle and makes you laugh to dead.	pos
5	" It has singing. It has drama. It has comedy. It has a story. It's one of the greatest movies ever made ... period. If you can't enjoy this movie, then you must be either asleep or in some kind of mental disarray. In ""Yankee Doodle Dandy"" James Cagney sings and dances his way to an Academy Award; but in this movie he is BETTER! This is James Cagney at his quisessential BEST! He's fast with the one-liners! He's fast with his feet! It's nonstop action. And the song-and-dance skits are classics, especially ""Shanghai Lil."" And the supporting cast is great; and the entire movie is upbeat, fast moving, and exudes confidence. And even though this movie was made over 70 years ago, it's still watchable, even today. And of course, this movie features Miss Ruby Keeler (who was married to Al Jolson). She is the perfect partner for James Cagney ... and Dick Powell too! If you like upbeat, fast paced movies, with lots of singing and dancing, this is the movie to watch."	pos
6	" My choice for greatest movie ever used to be Laughton's ""Night of the Hunter"" which remains superb in my canon. But, it may have been supplanted by ""Shower"" which is the most artistically Daoist movie I have seen. The way that caring for others is represented by the flowing of water, and the way that water can be made inspiration, and comfort, and cleansing, and etc. is the essence of the Dao. It is possible to argue that the the NOFTH and Shower themes are similar, and that Lillian Gish in the former represents the purest form of Christianity as the operators of the bathhouse represent the purest form of Daoism. I would not in any way argue against such an interpretation. Both movies are visual joys in their integration of idea and image. Yet, Shower presents such an unstylized view of the sacredness of everyday life that I give it the nod. I revere both."	pos
7	 I first came across 'My Tutor Friend' accidentally one or two years ago while TV surfing. Prior to that, I'd never watched any Korean films before in my whole life, so MTF was really the first Korean film I've ever watched. And- what a delightful surprise! I was thoroughly amused from the beginning to end, and had a great time laughing. Its comic style is quite different from those of the Hong Kong comic films (which I've been to used to all my life and hence tired of as well), breathing fresh air into my humdrum film viewing experience. I thought there're quite a few scenes and tricks in MTF that are pretty hilarious, witty, and original too.<br /><br />I watched MTF the second time a few days ago, and having watched it once already, the surprise/comic effect on me kind of mitigated. That has, however, by no means affected negatively my opinion of the film. Instead, something else came through this time- it moved me- the story about how two young, seemingly 'enemies' who're utterly incompatible get thrown together, and how they gradually resolve their differences and start caring for each other without realizing the feelings themselves, reminds me of the long gone high school days. To me, Su Wan and Ji Hoon ARE actually compatible as they both have something that is pure and genuine inside them, a quality that separates them from people like say, Ji Hoon's sassy girlfriend.<br /><br />The film is divided into two distinct parts- the 1st part deals with the 'fight' between Su Wan and Ji Hoon, and is more violent and faster in pace. After Ji Hoon gets a pass in his final examination and Su Wan dances the (in Ji Hoon's opinion) provocative dance, things start to change. The pace slows down and... Ji Hoon suddenly realizes he cares for Su Wan more than he could ever imagine. So the 2nd part deals with the development of their mutual feelings, leading of course to a happy ending accompanied by a final showdown with the gang boss.<br /><br />Just one last comment. I find this to be a bit unbelievable- the fact that a 21-year-old self-proclaimed 'bad boy' would feel embarrassed being almost naked in front of the girl he bullies and loses his 'cool' is just a little... odd. I guess that shows that Ji Hoon is just a boy pure at heart and isn't really what his appearance seems. Btw, Kwong San Woo (Ji Hoon) DOES have a sexy body and perfect figure! ;-) <br /><br />MTF is definitely on my list of top 10 favorite films of all time.	pos
8	" Welcome to Oakland, where the dead come out to play and even the boys in DA hood can't stop them. This low-budget, direct-to-video production seems timed to coincide with the release of Land of the Dead, the latest installment of George A. Romero's famed zombie series. The ghetto setting and hip-hop soundtrack may provide additional appeal for inner- city gore hounds. Ricky (Carl Washington) works at a medical research facility while raising his kid brother, Jermaine (Brandon Daniels). But the teenager, bored by macaroni-and-cheese dinners in their tract house, would rather spend his time hanging with street friends Marco and Kev. Apparently there is not a lot for African-American high-school dropouts to do on this side of the bay except deal drugs and scuffle with the homeys, including rival Latino gang bangers. Ricky plans to sell their late parents' house and move inland to the Castro Valley, a more middle-class and presumably safer environment. Unfortunately, before this can happen, a drive-by shooting leaves Jermaine dead on the porch. Grief-stricken Ricky tries a last desperate ploy. He tells Scotty, his lab assistant, to steal some of the experimental cell regeneration formula they have been testing on rats. When a double dose fails to revive Jermaine, there is no choice except to call 911. But a funny thing happens on the way to the morgue. The boy is reanimated as a sputtering, growling zombie, chews the ambulance drivers and staggers off into the night, bent on revenge and hungry for fresh meat. The feeding frenzy infects more victims, and before the night is over the East Bay is a battleground between the living and the blood-spattered undead. The horror genre has seen more than its share of cheap movie makers, from Ed Wood to Herschel Gordon Lewis to Charles Band. But low budgets do not necessarily mean bad films. Consider Val Lewton's programmers (Cat People, The Leopard Man, Isle of the Dead), Roger Corman's Poe quickies, Romero's Night of the Living Dead and John Carpenter's Halloween. The difference between memorable and awful has more to do with talent and ambition than money. Hood Of The Living Dead is more fun than several hundred million dollars' worth of recent high-priced horrors. Cheapness has its charms. In truly cheap films actors wear their own clothes amid real settings. Here the tract houses have freshly painted walls in neutral matte tones, lending a bleakness as oppressive as Douglas Sirk's bourgeois melodramas of the '50s. Lines seem more improvised than scripted. ""So what the hell are we gonna do now?"" ""Just keep your eyes open for any F N' thing that looks out of the ordinary."" Ricky and Scotty call their boss, who calls an ex-military man named Romero. ""I have a huge bitch of a problem that we have to take care of fast."" ""Not a problem,"" says the merc, closing his phone and grabbing his guns. Everybody has guns, and even when fighting zombies they're on their cell phones, as who isn't nowadays? Information is exchanged with naturalistic understatement. ""What happened?"" ""We got into it with some crazy motherfockers."" ""Deja F N' vu. It's that park zombie again. ..."" Ricky even has to blow his twitching girlfriend away, saying only, ""She's gotten out of hand."" Unlike most zombie movies, this one provides a motive for mayhem. Jermaine takes revenge on the gang bangers who shot him, who in turn continue the rumble. This is urban film-making that implies its own social commentary, a near-guerrilla production suggesting a future for low-budget horror that reflects real life instead of supernatural clich̩s. The brothers Quiroz, who have trademarked their name as if in anticipation of a new movement, may inspire others to tell stories arising from personal experience rather than imitating tired Hollywood product. Considering their limited resources, Jose and Eduardo Quiroz have made a cheap but technically acceptable feature about people they know. Photographer Rocky Robinson gets the job done, music by Eduardo Quiroz is no simpler than Carpenter's haunting Halloween theme, and hip-hop songs by The Darkroom Familia and others add atmosphere. The result is promising if not exactly exhilarating. They are learning their craft and, unlike Lewis and Wood, who never got any better, their next may be one to watch."	pos
9	" I turned this on to see the incredible Ethel Waters, whose autobiography I am now reading. I'll admit my jaw dropped when the pork chops and watermelon references started rolling in, but people cannot look at this movie as a stereotypical or racist piece. It's pretty much a short film made by blacks, for blacks at a time when the entertainment industry was quite segregated and the stereotypes to the people involved were the jokes of their time, old trends exaggerated for humor. We see modern black movies do the same thing, but with the new trends (stereotypes), ""ho's"" and the ""hood"" and such. I think if you look back in eighty years, you would find today's movies will look just as racist. What viewers should appreciate about this film is the talent of Waters and the pint-sized Sammy Davis Jr., who out taps his contemporary, Shirley Temple, and looks remarkably the same facially as he did as an adult. Everyone involved in this film clearly had a lot of fun making it. Why not enjoy it for what it is, instead of what you think it should have been?"	pos
10	 Man about the house is a true situation comedy in every sense of the word. The comedy concerns a character called Robin Tripp (played by the great Richard O' Sullivan) who finds himself after a wild party, ending up at the home of two ladies called Jo and Chrissy. Ironically the party was held to say goodbye to their old flatmate. The obvious ends up happening as he moves in.<br /><br />Man about the house was a pre-cursor to Cooke and Mortimer's spin off show George and Mildred which featured the 2 characters who were landlords to Jo, Chrissy and Robin. These two characters would actually turn out to be the linchpins of man about the house with Mildred (the late and much missed Yootha Joyce) in particular getting some of the best lines of the series. A semi-regular character was Larry (Doug Fisher) a useless person who was always on the scrounge and only ever came round when he wanted to borrow something (and never to return it).<br /><br />The American's did a version called three's company but it doesn't stand a chance when compared to this far funnier original. Thames took a risk in producing a comedy about a man sharing a flat with 2 women at a very conservative time but they should worry as the ratings at the time suggest that around 20 million people just wanted to watch a good old fashioned bit of comedy with inspired casting and a sharp script. What a pity modern comedy can't reach that high standard.<br /><br />This programme is available on network DVD	pos
