Unnamed: 0	sentence	label
0	xref : cantaloupe.srv.cs.cmu.edu talk.religion.misc:84357 alt.pagan:30002 path : cantaloupe.srv.cs.cmu.edu ! das-news.harvard.edu ! noc.near.net ! uunet ! gatech ! news-feed-1.peachnet.edu ! umn.edu ! csus.edu ! netcom.com ! netcomsv ! boo ! tweekco ! alizard from : alizard @ tweekco.uucp ( a.lizard ) newsgroups : talk.religion.misc , alt.pagan subject : re : 14 apr 93 god 's promise 1 john 1 : 7 message-id : < rn652b5w165w @ tweekco.uucp > date : sat , 17 apr 93 01:05:26 pdt references : < c5k6	talk.religion.misc
1	path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! pitt.edu ! gatech ! ncar ! noao ! amethyst ! organpipe.uug.arizona.edu ! hindmost ! brian from : brian @ lpl.arizona.edu ( brian ceccarelli 602/621-9615 ) newsgroups : talk.religion.misc subject : re : [ rw ] is robert weiss orthodox christian ? message-id : < 1993apr23.170101.19708 @ organpipe.uug.arizona.edu > date : 23 apr 93 17:01:01 gmt references : < 93111.074840librba @ byuvm.bitnet > < c5vgyd.h7s @ acsu.buffalo.edu > sender :	talk.religion.misc
2	xref : cantaloupe.srv.cs.cmu.edu talk.abortion:121245 talk.religion.misc:84127 path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! news.sei.cmu.edu ! cis.ohio-state.edu ! zaphod.mps.ohio-state.edu ! cs.utexas.edu ! uunet ! gatekeeper.us.oracle.com ! barrnet.net ! kyle.eitech.com ! kyle.eitech.com ! not-for-mail from : ekr @ kyle.eitech.com ( eric rescorla ) newsgroups : talk.abortion , talk.religion.misc subject : re : what part `` no '' n't understand ? date : 24 apr 1993 19:39:28 -0	talk.religion.misc
3	xref : cantaloupe.srv.cs.cmu.edu alt.atheism:53422 talk.religion.misc:83821 talk.origins:40969 path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! pitt.edu ! zaphod.mps.ohio-state.edu ! usc ! sol.ctr.columbia.edu ! ursa ! pooh ! halat from : halat @ pooh.bears ( jim halat ) newsgroups : alt.atheism , talk.religion.misc , talk.origins subject : re : rawlins debunks creationism message-id : < 30151 @ ursa.bear.com > date : 20 apr 93 20:35:20 gmt references : < 1r15rvinnh8p @ ctron-news.	talk.religion.misc
4	xref : cantaloupe.srv.cs.cmu.edu talk.abortion:120675 alt.atheism:53247 talk.religion.misc:83641 path : cantaloupe.srv.cs.cmu.edu ! das-news.harvard.edu ! noc.near.net ! uunet ! pipex ! uknet ! mcsun ! germany.eu.net ! thoth.mchp.sni.de ! horus.ap.mchp.sni.de ! d012s658 ! frank from : frank @ d012s658.uucp ( frank o'dwyer ) newsgroups : talk.abortion , alt.atheism , talk.religion.misc subject : re : after 2000 years , say christian morality date : 16 apr 1993 10:52:59 gmt organization : siemens-	talk.religion.misc
5	xref : cantaloupe.srv.cs.cmu.edu talk.abortion:120965 alt.atheism:53613 talk.religion.misc:83959 path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! news.sei.cmu.edu ! cis.ohio-state.edu ! pacific.mps.ohio-state.edu ! zaphod.mps.ohio-state.edu ! howland.reston.ans.net ! agate ! doc.ic.ac.uk ! warwick ! uknet ! mcsun ! germany.eu.net ! thoth.mchp.sni.de ! horus.ap.mchp.sni.de ! d012s658 ! frank from : frank @ d012s658.uucp ( frank o'dwyer ) newsgroups : talk.abortion , alt.atheism , ta	talk.religion.misc
6	xref : cantaloupe.srv.cs.cmu.edu alt.conspiracy:21977 talk.politics.misc:179266 talk.religion.misc:84096 path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! news.sei.cmu.edu ! cis.ohio-state.edu ! zaphod.mps.ohio-state.edu ! menudo.uh.edu ! ccsvax.sfasu.edu ! f_gautjw from : f_gautjw @ ccsvax.sfasu.edu newsgroups : alt.conspiracy , talk.politics.misc , talk.religion.misc subject : re : a message mr. president : how know happened ? message-id : < 1993apr24.155154.4333 @ ccsvax.sfasu.ed	talk.religion.misc
7	xref : cantaloupe.srv.cs.cmu.edu alt.atheism:53548 talk.religion.misc:83912 newsgroups : alt.atheism , talk.religion.misc path : cantaloupe.srv.cs.cmu.edu ! das-news.harvard.edu ! noc.near.net ! howland.reston.ans.net ! zaphod.mps.ohio-state.edu ! cs.utexas.edu ! uunet ! mcsun ! news.funet.fi ! ousrvr.oulu.fi ! kempmp from : kempmp @ phoenix.oulu.fi ( petri pihko ) subject : re : are atoms real ? ( re : after 2000 years blah blah blah ) message-id : < 1993apr23.163343.20626 @ ousrvr.oulu.fi > fo	talk.religion.misc
8	xref : cantaloupe.srv.cs.cmu.edu talk.abortion:120983 talk.religion.misc:83969 talk.politics.misc:179065 path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! news.sei.cmu.edu ! cis.ohio-state.edu ! pacific.mps.ohio-state.edu ! zaphod.mps.ohio-state.edu ! howland.reston.ans.net ! agate ! overload.lbl.gov ! s1.gov ! lip from : lip @ s1.gov ( loren i. petrich ) newsgroups : talk.abortion , talk.religion.misc , talk.politics.misc subject : re : abortion private health coverage -- letters r	talk.religion.misc
9	xref : cantaloupe.srv.cs.cmu.edu alt.atheism:53273 talk.origins:40927 talk.religion.misc:83666 path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! news.sei.cmu.edu ! bb3.andrew.cmu.edu ! andrew.cmu.edu ! nm0w+ from : nanci ann miller < nm0w+ @ andrew.cmu.edu > newsgroups : alt.atheism , talk.origins , talk.religion.misc subject : re : the universe black holes , re : 2000 years ... .. date : tue , 20 apr 1993 12:23:27 -0400 organization : sponsored account , school computer science , c	talk.religion.misc
10	path : cantaloupe.srv.cs.cmu.edu ! das-news.harvard.edu ! noc.near.net ! uunet ! gatech ! howland.reston.ans.net ! usenet.ins.cwru.edu ! cleveland.freenet.edu ! cj195 from : cj195 @ cleveland.freenet.edu ( john w. redelfs ) newsgroups : talk.religion.misc subject : re : who 's next ? mormons jews ? date : 26 apr 1993 02:04:54 gmt organization : case western reserve university , cleveland , oh ( usa ) lines : 17 message-id : < 1rfg06 $ 8mm @ usenet.ins.cwru.edu > references : < c5sdyp.c6e @ bony1	talk.religion.misc
11	newsgroups : talk.religion.misc path : cantaloupe.srv.cs.cmu.edu ! crabapple.srv.cs.cmu.edu ! fs7.ece.cmu.edu ! europa.eng.gtefsd.com ! howland.reston.ans.net ! zaphod.mps.ohio-state.edu ! saimiri.primate.wisc.edu ! doug.cae.wisc.edu ! davinci.ece.wisc.edu ! irfan from : irfan @ davinci.ece.wisc.edu ( irfan alan ) subject : a treatise on the miracles of muhammad saw , part-1 organization : univ . wisconsin-madison ; electrical & computer engineering distribution : usa date : 15 apr 93 02:48:44 c	talk.religion.misc
12	xref : cantaloupe.srv.cs.cmu.edu alt.atheism:54482 talk.religion.misc:84566 newsgroups : alt.atheism , talk.religion.misc path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! news.sei.cmu.edu ! cis.ohio-state.edu ! pacific.mps.ohio-state.edu ! zaphod.mps.ohio-state.edu ! cs.utexas.edu ! utnut ! torn ! watserv2.uwaterloo.ca ! beetle.watstar.uwaterloo.ca ! gmills from : gmills @ chemical.watstar.uwaterloo.ca ( phil trodwell ) subject : re : moral relativism -- agree ? ( re : after 2000 e	talk.religion.misc
13	xref : cantaloupe.srv.cs.cmu.edu talk.abortion:120358 alt.atheism:52938 talk.religion.misc:83455 path : cantaloupe.srv.cs.cmu.edu ! das-news.harvard.edu ! noc.near.net ! howland.reston.ans.net ! europa.eng.gtefsd.com ! fs7.ece.cmu.edu ! news.sei.cmu.edu ! bb3.andrew.cmu.edu ! andrew.cmu.edu ! dsav+ from : `` david r. sacco '' < dsav+ @ andrew.cmu.edu > newsgroups : talk.abortion , alt.atheism , talk.religion.misc subject : re : after 2000 years , say christian morality date : thu , 15 apr 1993 1	talk.religion.misc
14	xref : cantaloupe.srv.cs.cmu.edu alt.atheism:53972 talk.religion.misc:84233 talk.origins:41124 newsgroups : alt.atheism , talk.religion.misc , talk.origins path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! news.sei.cmu.edu ! cis.ohio-state.edu ! zaphod.mps.ohio-state.edu ! howland.reston.ans.net ! ira.uka.de ! rz.uni-karlsruhe.de ! stepsun.uni-kl.de ! sun.rhrk.uni-kl.de ! efes.physik.uni-kl.de ! kring from : kring @ efes.physik.uni-kl.de ( thomas kettenring ) subject : re : after 20	talk.religion.misc
15	xref : cantaloupe.srv.cs.cmu.edu alt.conspiracy:21898 talk.politics.misc:179014 talk.religion.misc:83930 path : cantaloupe.srv.cs.cmu.edu ! magnesium.club.cc.cmu.edu ! news.sei.cmu.edu ! fs7.ece.cmu.edu ! europa.eng.gtefsd.com ! howland.reston.ans.net ! agate ! dog.ee.lbl.gov ! network.ucsd.edu ! ivem.ucsd.edu ! spl from : spl @ ivem.ucsd.edu ( steve lamont ) newsgroups : alt.conspiracy , talk.politics.misc , talk.religion.misc subject : re : a message mr. president : how know happened ? date : 	talk.religion.misc
16	xref : cantaloupe.srv.cs.cmu.edu talk.religion.misc:83494 alt.atheism:53013 talk.abortion:120440 newsgroups : talk.religion.misc , alt.atheism , talk.abortion path : cantaloupe.srv.cs.cmu.edu ! das-news.harvard.edu ! noc.near.net ! uunet ! quack ! pharvey from : pharvey @ quack.kfu.com ( paul harvey ) subject : christians law ? clarification personal position message-id : < f1660vi @ quack.kfu.com > followup-to : talk.religion.misc organization : the duck pond public unix : +1 408 249 9630 , log	talk.religion.misc
17	xref : cantaloupe.srv.cs.cmu.edu alt.atheism:54157 talk.religion.misc:84349 talk.origins:41164 path : cantaloupe.srv.cs.cmu.edu ! crabapple.srv.cs.cmu.edu ! fs7.ece.cmu.edu ! europa.eng.gtefsd.com ! howland.reston.ans.net ! zaphod.mps.ohio-state.edu ! cs.utexas.edu ! utnut ! torn ! nott ! bnrgate ! bnr.co.uk ! uknet ! pipex ! doc.ic.ac.uk ! cs.city.ac.uk ! not-for-mail from : lionel @ cs.city.ac.uk ( lionel tun ) newsgroups : alt.atheism , talk.religion.misc , talk.origins subject : re : burden 	talk.religion.misc
