sentence	label
The film is about a family who move to the suburbs, hoping for a quiet life. Things start to go wrong, and the wife gets violent and starts throwing crockery, leading to her arrest.	comedy
"The plot is that of a black woman going to the dentist for a toothache and being given laughing gas. On her way walking home, and in other situations, she can't stop laughing, and everyone she meets ""catches"" the laughter from her, including a vendor and police officers."	comedy
A young couple decides to elope after being caught in the midst of a romantic moment by the woman's angry father. They make plans to leave, but a thief discovers their plans and hides in their trunk and waits for the right moment to steal their belongings.	comedy
"A white girl (Florence Lawrence) rejects a proposal from an Indian brave (Charles Inslee) in this early one-reel Western melodrama. Despite the rejection, the Indian still comes to the girl's defense when she is abducted by his warring tribe. In her first year in films, Florence Lawrence was already the most popular among the Biograph Company's anonymous stock company players. By 1909, she was known the world over as ""The Biograph Girl."""	adventure
A rejected admirer sets up a trap to kill his sweetheart and her fiance before they married and then commit suicide, but before he passes away, he leaves a confession. Fortunately the confession is found on time and a police man runs to the church to save the couple.	drama
An old woman sends a girl begging in the streets of Paris on a snowy evening. Callous revelers pass her by, and she falls asleep before one donor finally drops a golden Louis in her shoe. A gambler with a sure tip on roulette but no cash borrows the coin to win a fortune for the girl. She wakes, and the two miss each other wandering the streets until the gambler finds the girl dead.	drama
Mary Pickford plays Priscilla an unemployed maid who finds work at a farm. There she meets a no-good peddler who starts flirting with her and makes her fall in love with him. He runs up a gambling bill and asks her to help him pay his debts or he won't be able to marry her.[1]	drama
During the American Civil War a young soldier loses his nerve in battle and runs away to his home to hide; his sister puts on his uniform, takes her brother's place in the battle, and is killed. Their mother, not wanting the shameful truth to become known, closes all the shutters (hence the film's title) and keeps her son's presence a secret for many years, until two boyhood chums stumble upon the truth.	drama
An Irish boy (Olcott) emigrates to America to escape the desperate poverty of Ireland. After finding work in construction, he finds success in politics. He returns to Ireland after receiving a letter from his sweetheart (Gauntier) just as her destitute family is being forced off their land.[3]	drama
"""David Copperfield consists of three reels and as three separate films, released in three consecutive weeks, with three different titles: The Early Life of David Copperfield, Little Em'ly and David Copperfield and The Loves of David Copperfield.[4]"	drama
Polly Biblett (Mary Pickford), a young lady, tells her grandmother Lettie about her new boyfriend. The news provokes the elderly woman to reminisce about her own sweetheart, long time before. The touching sequence expresses the power of lives going on, the older woman aging as her grandchildren grow and knowing they will soon have children of their own.	drama
Only lasting 15 minutes, it is a light-hearted comedy about the battle between the sexes as several married couples go on a camp-out together. The women soon realize that the men expect them to do perform all of the work while they relax, leading to several comedic situations.	comedy
The story is of an English manufacturing town {Huddersfield} in which Henry Little, a worker and inventor, is persecuted by trade unions, jealous because he was better trained than his fellows. Squire Raby, Little's uncle, is a forcible character, and a pleasant love story offsets the labor troubles. A purpose of the novel was to expose, without censure, the errors of early trades unions.	drama
Barney Oldfield races a speeding locomotive to rescue a damsel in distress tied up on the tracks by evil villain Ford Sterling.	comedy
Bob, a typically devoted husband, is told by his wife that the stork has paid a visit to their household; the first time, it turns out to be a puppy; the second time, expecting another canine, he is surprised to find the more traditional offspring.	comedy
The Evidence of the Film tells the story of a messenger boy at a film studio who is wrongfully accused of stealing bonds worth $20,000. He is saved by his sister, a film cutter, who comes across some footage of her brother inadvertently walking into a location shot and being knocked down by the real-life villain.	crime
"As described in a 1913 blurb: ""The foreman of the sawmill misconstrues the disappearance of his ward who has taken drastic measures to protect her guardian's interests. A startling incident reveals the girl's motive.""[2]"	drama
In A Busy Day, a wife (played by an energetic Charlie Chaplin) becomes jealous of her husband's interest in another woman during a military parade. On her way to attack the couple, the wife interrupts the set of a film, knocking over a film director and a police officer. Finally, the husband pushes the wife off a pier and she falls into the harbor.	comedy
"Graehme, Ned Stewart's father was accused of adultery and killed being innocent. Ned decided to avenge his father, but got captured and sent to the long journey to death ""la longue traverse"". Fortunately Virginia saves his life and the story's villain confesses Ned's innocence."	adventure
Chaplin plays a waiter who fakes being a Greek Ambassador to impress a girl. He then is invited to a garden party where he gets in trouble with the girl's jealous boyfriend. Mabel Normand wrote and directed comedies before Chaplin and mentored her young co-star.	comedy
Mabel and her beau go to an auto race and are joined by Charlie and his friend. As Charlie's friend is attempting to enter the raceway through a hole, the friend gets stuck and a policeman shows up.	comedy
Pug, a down-and-out hobo, is talked into pretending he is Cyclone Flynn, the boxing champion, and entering the ring for a fight. When the real Cyclone shows up, Pug ends up having to trade punches with him instead.	comedy
Mabel's Blunder tells the tale of a young woman who is secretly engaged to the boss's son.[1] The young man's sister comes to visit at their office, and a jealous Mabel, not knowing who the visiting woman is, dresses up as a (male) chauffeur to spy on them.	comedy
In a hotel lobby a heavily drunk tramp runs into an elegant lady, Mabel, who gets tied up in her dog's leash, and falls down. He later runs into her in the hotel corridor, locked out of her room. They run through various rooms. Mabel ends up in the room of an elderly husband where she hides under the bed. Enter the jealous wife, who soon attacks Mabel, her husband, and Mabel's lover, not to mention the staggeringly drunken tramp.	comedy
The daughter of King Neptune takes on human form to avenge the death of her young sister, who was caught in a fishing net. However, she falls in love with the king, the man she holds responsible.	fantasy
"Esra Kincaid (La Reno) takes land by force and, having taken the Espinoza land, his sights are set on the Castro rancho. US government agent Kearney (Johnston) holds him off till the cavalry shows up and he can declare his love for Juanita ""The Rose of the Rancho"" (Barriscale)."	western
Rough-and-tumble Gold Rush-era California: a woman (Salomy Jane) is saved from a ruffian (Red Pete) by a heroic stranger (Jack Dart), the latter saved from a lynching when falsely accused of a crime.	western
Don José, an officer of the law, is seduced by the gypsy girl Carmen, in order to facilitate her clan's smuggling endeavors. Don José becomes obsessed, turning to violent crime himself in order to keep the attention of Carmen.	adventure
Considered a coward by his fiancée and comrades in arms, a British army officer has to redeem himself.	drama
A farm youth goes to college, pursues the pretty co-eds and joins a fraternity.	comedy
Luke (Harold Lloyd) works in a shoe store, but has difficulty focusing on work when a pretty girl is near.	comedy
As the American Civil War begins, Ned Burton leaves his Southern love, Agatha Warren, and joins the Union army. He is later protected and saved from death by Agatha in spite of her loyalty to the South.	drama
A sultan agrees to help an evil witch destroy a mysterious beauty if the witch will bring his young son back to life.	drama
Hoping to improve his financial lot, petty thief Hawk Chovinski (McGrail) hires a dancing instructor to teach him how to bear himself like a gentleman. His lessons completed, Hawk then poses as a European nobleman, intending to trap a wealthy wife. Yolande Cowles (Baird) sees through Hawk's pose but falls in love with him anyway.	drama
A woman is thrown out of her home by her jealous husband and sinks into depravity. Twenty years later, she finds herself accused of murder for saving her son, who does not know who she is. He finds himself defending her without knowing her background.	drama
Nadia, the daughter of a nobleman, rejects ancient Greece's senator Theron's love; so he has her and her lover, Lucian thrown into a burning crater. As punishment for this sin, the gods decree that he will roam the earth as a lion until he can right his wrong. A few millennia later, Nadia is now Agnes, the daughter of a millionaire, and Lucian is Arthur, a Wall Street broker.	drama
Mary Beresford (Boland) is the wife of unambitious law clerk Al Beresford (Beresford). Thanks to Mary's tenacity and carefully calculated social-climbing, Al is promoted to the position of personal secretary of prominent financier Elihu Knowland (Keenan). Unfortunately, success goes to Al's head like a narcotic, and soon he has alienated everyone in New York, including Mary, who runs off for parts unknown.	drama
The film is about a court case and embezzlement.	drama
A father takes his daughter on a trip to Bermuda in an attempt to separate her from a suitor. Little does anyone know that the suitor has stowed away on board. When he is discovered, he is credited with catching a crook. The hapless hero receives a reward, and also the girl.	comedy
A young boy, Pip, runs into an escaped convict at his local churchyard. Pip does favours for Magwitch (the convict), such as bringing him food etc. until Magwitch is eventually arrested and deported to Australia.	drama
A young man drowns his sorrows in strong drink when jilted by his girl. His drunkenness gets him thrown in jail, where he falls in love with the jailer's daughter. When released, the young man tries everything to get back into the jail - though when he is mistaken for an anarchist bomber, he finds himself facing not just jail, but execution.	comedy
As described in a film magazine review,[3] Neil Dacey (Carrigan) loves Peggy Desmond (Taliaferro). Terence O'Malley (Sack), nephew of Squire O'Malley (Ryan), is anxious to win Peggy. Terence and his uncle have a quarrel because Terence cannot win Peggy, and the squire is killed. Terence does the killing with Neil's gun, so Neil is held for the murder. Peggy, to save her fiance, dresses as the will-o'-the-wisp, and this results in a confession by Terence.	drama
