labels,text,original_idx
1,Also note they lie when you fight it with your bank.  Sadly I left the country to move back to England so communicating with the bank is so slow this company days in lied to steal money from me when I never stayed there. I actually booked with a better place that was not a **** hole of a place. Trust me. Same price by the airport and your in a luxury.  Don't trust this pace. Unfair 15 mins refund before you even see a room. Rooms are disgusting. Cheap and not worth 25 to 30 dollars including tax and that's being fair.  Owner is well full of him self and cares not about his customers. That's why they hide the 15 mins warning out of plan site. \n\nAny hotel or motel will and should let you see a room before you commit. So don't trust this place and if you want bed bugs. I can bet this place does. Sheets looked old. \n\nBe very careful. Go to better places. Check airport hotels. Same price and so much better.,7876
2,"Mmm... just by exiting your car in the teeny tiny parking lot you can smell the smoke of the kitchen doing its thing... like a cartoon character being led by a visual scent you follow it into the restaurant... but make sure to watch your step!\n\nThis is where I go to have a American (New Mexican) version of Tapas dining! And if you can help it, grab a bar stool down in the Basement Bar at happy hour to score the deals! I love the cozy ambiance of the entire restaurant, but going down the stairs and into a basement in Phoenix is a rare experience--and this one in particular transports you to another place and time... LOVE IT. It's very romantic and old world feeling. Sometimes I expect a pirate to come down and order a drink!\n\nI like to eat here tapas style, grabbing up the small plates off Rokerij's menu. During happy hour there's a lot of $5 deals but a lot of the un*ed options are too enticing to NOT try. The last time I went I went ALL SURF. Blue Crab Tostadas on the thinnest crisp blue corn tortilla chip I have ever had and the Bacon Wrapped Scallops. And to round out my 2-course small plate meal... I got the GCP... a side that Richardson's restaurants are known for: the infamous Green Chile Potato. \n\nIn the past, I have also had the Bacon Wrapped Shrimp... I may like this MORE than the scallops as it is not as subtle a flavor and really mingles perfectly with the bacon.\n\nIf you opt for the dining experience on the main level, they have big booth seating and a bar upstairs as well. They also have a big room in back for bigger parties! When dining in that room it feels special somehow. I love the big chalk boards that list all the daily specials... they are really Surf and Turf Specialists with SO MANY choices it's ridiculous... but in a good way! Just wait as the Waiter/Waitress attempts to rattle all of them off for you!\n\nWord of slight caution, because it's New Mexican cuisine, they do like to add heat to their sauces. And a word about sauces... they like to drench dishes in them, so if you don't like that, have them put it on the side for your discretion.\n\nAnd last, I will leave you with a story you would only get at a restaurant chain that has burning embers in its web address. I was dining with co-workers on a business lunch and one of our party was approached by the waitress with an apologetic look on her face. She told him that she was sorry but that his order fell into the fire in the oven and that she had forgot what it was (The Mahi Mahi Sandwich) and needed to get the order it again. What? Really?! Yes, really! They whipped out his meal part deux quickly after that but I still think that's pretty darn funny and not something you'd hear about just anywhere!",17206
1,This place is not very good. I quit eating here after the second time I found hair in my food,25286
2,"I've got something of a love affair with this place. It's becoming a regular part of my life now... and I am okay with that.\n\nIn the past, I would go here for lunch... their freshly made sandwiches are absolutely delicious. Given that I now work about 25 miles from here, that's somewhat... difficult. So instead I now go here after my early morning South Mountain hikes. Turns out their smoothies are quite fantastic as well. I believe the general consensus amongst my friends and I has been \""heaven in our mouths.\""\n\nOn top of that, their selection of local produce and related products is unrivaled. Delicious fresh fruit (of which they're usually handing out samples), local honey, locally made salad dressings, salsas, jams, and much much more, make this place to die for. I get all of my best fruit here, without a doubt.\n\nOne thing to note though is that you should bring cash here! There is a small additional charge for paying with your credit card, as it's expensive for them to process.",25747
1,Well we went here instead of sunset station buffet. The dinner price went up to 12 dollars. And I remember this place being packed even with the casino buffet across the street. Well the quality of the food is ok. It used to be better. The sushi was fresh. Didn't have Mongolian off the grill this time but previous visits it was good. I guess it's called lucky star out front but Yelp pulls up China star buffet.\nThe ice cream machine was out of order. The fried rice and chow mein was on Saran wrap in the hot tray. The chicken skewers were decent. Same with the broccoli beef and orange and sesame chicken. Nothing stood out and was memorable. The donuts had been out forever and were hard as a rock. I'm surprised its still hanging on. I'd pass on this one.,48569
2,"Subs. They've got 'em. The bread they use - is special, if you like it - you will like their subs, if you don't you will complain that the subs are weird. They do close pretty early, and many days they will close 15-30 minutes before it actually says they do, because they run out of bread.\n\nAlso, don't get your food to go - because if you eat it there - you get free fries with every sub, if you do takeout - you gotta pay for those fries (and they only take cash, and I mean you can't really even pay for the fries since you never have enough cash with you anyway).",67596
1,"The drivers door window would not work.  In taking the vehicle to Pep Boys, they replaced a $244 part that was not needed and the window still doesn't work.  After the fact, they told us they could do a $44 diagnostic check to see what might be wrong but would not credit the $244 nor return it.  What a rip off!!!  \nThey lost me and my friends as customers.",86597
1,"Was given this location via Priceline. Stayed here for 2 nights, and my room wasn't even serviced ONCE. If you look at my other reviews, I tend to review places only when they really impress me...and when things are average/bad...I don't usually throw stones...but in this case...I went to complain saying- you didn't clean my room...and you charge a $17.00 a day resort fee...can you at least take off the resort fee? They referred me to a very polite manager who did everything to try and smooth the situation over EXCEPT take off the resort fee. \""Oh, we will take care of you the next time you're here\""- how do I even KNOW this place will be in business the next time I come to Phoenix for work(once a year). Given the way they do business, they won't.\n\nWas not satisfied in one way shape or form. Especially when you compare it to the review I'm writing next for the place in Tucscon I stayed the next night- far better. \n\nOh- and what I found LAUGHABLE...they can't service my room in 2 days time frame...and there was maybe 20 cars in the lot...place was EMPTY. 20-30% capacity at most, I was the ONLY one in the pool. So the excuse that you're too busy- you can take that and sell it to someone else.",92371
2,"I don't understand all the bad reviews, from all the comments it seems they have done exactly what you paid them for.\n\nI have use them at least 5 times, 2 for old bench warrants that I didn't even know about and the remaining for tickets.  No points and no traffic school.\n\nThe first part is their fee, but even if they get the offense lowered you STILL have the pay the court for the original offense and the worse thing is the fine is determined by the judge overseeing the case, so if you have priors they can up the fine as punishment.\n\nI would think paying lawyer and court fees would be better then paying years of higher insurance rates.",104286
1,"I was very disappointed in my last visit to the Rio. My prior experiences there were 10+ years ago, and things have really gone down hill.  First of all the $60 resort fee, on top of the room rate was a bit excessive....and what do you get?  2 passes to the gym and free Wi-Fi for 1 device?  Unfortunately we couldn't opt out.  We brought our own wine to the hotel, and when we got the room we called down for wine glasses and a cork screw.  We were charge $3 for each of these items.  It seemed ridiculous signing the room service tab for 2 empty glasses and a tool.  The next morning we looked high and low for the coffee to put into the coffee machine that one expects in any hotel.  When we checked the mini bar we found that the coffee was $8 for the equivalent of 3 cups of coffee?  What was I supposed to do, arm wrestle my wife for the last cup?  Could you at least make it big enough for 4.  And again, WHAT was I getting for my $60 resort fee??\n\nThe safe in our room didn't work.  When do you realize this, when you are headed out for the night.  We called and they said they could have someone there in 20 minutes, and that we had to be in the room.  We waited 30 before calling them back and saying never mind.  \n\nOn to the pool area the next day.  One of the hot tubs was closed and they only other one had so much filth and grime and crumbling tile that we just couldn't stomach it.  (It sort of looked like the track on the sliding shower doors in our room....we just couldn't escape it!)  Also, my wife was treated quite disrespectfully by the people in the booth handing out the beach towels. \n\nWe will not be coming back.  Such a shame.",108413
