	kfold1	kfold2	kfold3	kfold4	kfold5
0	14	3	307	163	31
1	27	179	381	248	43
2	43	232	395	306	52
3	107	301	406	358	67
4	176	374	475	475	192
5	237	660	484	516	335
6	424	721	488	527	353
7	533	734	506	697	420
8	589	762	514	704	448
9	835	768	572	733	518
10	927	771	593	795	662
11	1037	799	599	799	684
12	1083	979	670	882	718
13	1136	1192	704	931	832
14	1193	1580	743	1034	908
15	1284	1586	771	1105	917
16	1307	1615	798	1121	993
17	1358	1622	844	1164	1084
18	1359	1645	964	1214	1134
19	1363	2006	1014	1296	1139
20	1488	2051	1090	1574	1287
21	1491	2143	1181	1582	1379
22	1612	2175	1235	1588	1387
23	1629	2233	1472	1703	1524
24	1677	2385	1480	1715	1619
25	1715	2493	1539	1857	1634
26	1765	2616	1687	1918	1663
27	1775	2749	1758	1920	1679
28	2019	2927	1811	2027	1719
29	2040	2952	1828	2116	1837
30	2042	2960	1971	2185	1939
31	2092	2966	1999	2340	1949
32	2161	3056	2035	2570	2185
33	2289	3358	2358	2772	2188
34	2369	3391	2372	2922	2303
35	2447	3479	2455	2924	2385
36	2468	3520	2459	3034	2705
37	2569	3647	2527	3075	2736
38	2718	3852	2573	3090	2771
39	2768	3973	2652	3105	2798
40	2937	3987	2813	3165	3058
41	2958	4004	2962	3198	3103
42	3045	4097	2995	3282	3104
43	3119	4126	3050	3298	3142
44	3139	4216	3234	3339	3248
45	3190	4409	3249	3490	3368
46	3343	4417	3425	3646	3455
47	3398	4535	3433	3712	3461
48	3644	4615	3477	3737	3479
49	3814	4700	3502	3761	3702
50	3842	4717	3552	3885	3792
51	4342	4804	3676	3973	3798
52	4417	4821	3712	3992	4028
53	4454	4826	3814	4003	4118
54	4701	4929	4055	4054	4147
55	4801	4997	4066	4076	4540
56	4882	5189	4156	4148	4740
57	4940	5201	4302	4233	4836
58	5058	5280	4355	4261	4889
59	5062	5369	4389	4356	4953
60	5102	5429	4429	4421	5023
61	5125	5430	4487	4565	5051
62	5316	5587	4514	4695	5523
63	5341	5617	4560	4742	5543
64	5552	5717	4589	4763	5639
65	5553	5730	4623	4787	5735
66	5656	5731	4632	4925	5762
67	5657	5740	4676	4970	5806
68	5797	5971	4679	5080	5939
69	5989	5978	4705	5258	5944
70	6061	6019	4727	5322	5965
71	6076	6189	4764	5413	6031
72	6241	6223	4774	5430	6112
73	6272	6244	4775	5653	6261
74	6337	6308	4796	5663	6328
75	6356	6499	4988	5743	6342
76	6514	6524	5070	5749	6468
77	6530	6555	5139	5751	6496
78	6696	6569	5166	5773	6631
79	6884	6581	5233	5947	6928
80	6893	6592	5332	5971	6969
81	7106	6595	5573	6217	6981
82	7114	6598	5586	6261	7098
83	7138	6733	5726	6622	7141
84	7146	6782	5833	6645	7203
85	7177	6821	5975	6670	7261
86	7321	6916	6367	6795	7268
87	7380	7147	6388	6803	7287
88	7506	7209	6507	7004	7311
89	7555	7310	6685	7047	7334
90	7666	7395	6727	7193	7338
91	7708	7450	6773	7216	7358
92	7720	7459	7032	7351	7425
93	7727	7476	7169	7384	7466
94	7865	7506	7452	7389	7528
95	7876	7640	7564	7400	7568
96	7906	7793	7761	7464	7670
97	7918	7909	7763	7749	7751
98	7934	7946	7764	7750	7792
99	7965	7998	7997	7883	7897
100	6813	2997	5104	421	6620
101	4408	7783	208	1640	2944
102	7961	4118	586	404	2369
103	1490	7078	7256	3702	1172
104	5198	4885	1730	925	3991
105	7771	515	5107	899	4659
106	4141	7625	3126	1755	2310
107	7195	1594	1239	6021	1144
108	2812	1278	5277	37	7978
109	1497	7858	2099	5881	722
110	739	2228	7926	4988	6196
111	4080	5081	2886	5077	4610
112	2263	122	5009	7523	2460
113	4271	3493	3026	186	5768
114	6482	6687	3938	5440	982
115	4544	6483	1026	3018	547
116	7191	6637	962	6881	3489
117	4170	6748	7047	3588	3747
118	3001	4344	4052	4384	1187
119	523	4069	3871	774	5833
120	6516	626	3989	6216	6335
121	6591	3880	4017	6273	6589
122	6423	1920	2593	4984	3181
