	num_instances	performance
0	100	0.6477999999999999
1	200	0.6969000000000001
2	300	0.7388999999999999
3	400	0.7552
4	500	0.756
5	600	0.7805000000000001
6	700	0.7853
7	800	0.7775
8	900	0.79
9	1000	0.7982
10	1100	0.804
11	1200	0.8000999999999999
12	1300	0.7876
13	1400	0.7965
14	1500	0.8009999999999999
15	1600	0.8054
16	1700	0.8033000000000001
17	1800	0.8059999999999998
18	1900	0.8137000000000001
19	2000	0.8108000000000001
20	2100	0.8172
21	2200	0.8029999999999999
22	2300	0.8164
23	2400	0.8198999999999999
24	2500	0.8251
25	2600	0.8209
26	2700	0.8257
27	2800	0.8131
28	2900	0.8141
29	3000	0.8168999999999998
30	3100	0.8177
31	3200	0.821
32	3300	0.8295999999999999
33	3400	0.8248999999999999
34	3500	0.8306000000000001
35	3600	0.8263999999999999
36	3700	0.8392000000000002
37	3800	0.8326
38	3900	0.8331
39	4000	0.8326
40	4100	0.8384
41	4200	0.8374
42	4300	0.8428000000000001
43	4400	0.8308
44	4500	0.8347
45	4600	0.8465
46	4700	0.8362
47	4800	0.8423
48	4900	0.8432000000000001
49	5000	0.8354999999999999
50	5100	0.8502000000000001
51	5200	0.8378
52	5300	0.8436
53	5400	0.8407
54	5500	0.8462
55	5600	0.8356
56	5700	0.8459999999999999
57	5800	0.8412000000000001
58	5900	0.8416
59	6000	0.8439
60	6100	0.849
61	6200	0.8509
62	6300	0.8493999999999999
63	6400	0.8497
64	6500	0.8446999999999999
65	6600	0.8452999999999999
66	6700	0.8513000000000002
67	6800	0.8519
68	6900	0.8471
69	7000	0.8494999999999999
70	7100	0.8470000000000001
71	7200	0.8515
72	7300	0.8491
73	7400	0.8478999999999999
74	7500	0.8532
75	7600	0.851
76	7700	0.8503000000000001
77	7800	0.8501999999999998
78	7900	0.8508000000000001
79	8000	0.853
