	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	48	15	4
1	3	14	50	24	7
2	6	19	62	36	8
3	10	27	65	46	10
4	14	37	66	54	25
5	21	46	76	72	35
6	25	55	77	78	50
7	26	97	78	79	57
8	32	108	81	89	58
9	56	109	82	108	60
10	64	113	91	109	71
11	70	115	95	112	75
12	81	119	101	120	76
13	82	145	105	135	87
14	88	148	113	144	95
15	128	174	117	157	109
16	143	183	123	167	115
17	159	215	126	170	116
18	165	244	133	179	119
19	178	248	154	188	125
20	185	249	162	192	137
21	200	251	173	208	150
22	203	252	186	256	151
23	209	253	193	257	162
24	211	254	194	258	174
25	222	256	208	262	175
26	227	270	227	275	180
27	229	286	228	278	181
28	232	309	236	291	189
29	249	316	257	299	193
30	251	329	269	309	201
31	259	333	278	310	214
32	265	336	282	321	215
33	272	341	304	325	218
34	274	362	308	338	235
35	309	375	315	349	241
36	314	380	366	374	250
37	324	389	368	375	253
38	325	399	381	386	257
39	337	418	382	400	259
40	359	422	391	406	265
41	372	455	400	436	282
42	381	460	412	442	304
43	386	461	434	455	306
44	391	477	435	456	345
45	396	484	460	479	346
46	400	524	465	485	348
47	402	530	473	493	361
48	420	543	499	496	377
49	428	551	501	506	433
50	450	569	526	510	437
51	454	601	527	523	441
52	456	626	529	526	444
53	458	627	532	533	484
54	463	630	535	558	490
55	470	632	542	578	491
56	475	645	561	588	498
57	481	648	568	591	512
58	484	664	585	595	513
59	490	673	614	613	535
60	508	677	620	625	545
61	514	695	624	629	546
62	523	696	637	630	548
63	527	711	642	637	550
64	560	716	659	643	587
65	573	722	670	651	605
66	588	737	674	655	641
67	593	739	682	656	647
68	596	750	690	659	651
69	605	752	694	666	653
70	669	753	702	670	657
71	680	763	703	683	695
72	686	769	705	687	698
73	693	775	710	697	716
74	726	778	714	706	717
75	734	789	722	721	740
76	742	791	724	739	744
77	754	807	726	746	747
78	762	809	728	753	748
79	780	822	735	757	762
80	786	825	736	779	769
81	787	838	742	785	778
82	789	845	775	801	779
83	821	857	789	804	783
84	824	868	803	828	790
85	852	874	806	830	796
86	865	879	820	839	821
87	873	893	833	853	870
