	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	116	940	155	509	443
101	321	150	515	660	904
102	977	422	141	347	854
103	647	639	266	172	510
104	114	167	64	586	792
105	405	845	399	670	871
106	4	725	185	0	815
107	145	842	680	704	644
108	852	17	728	158	691
109	755	539	865	992	860
110	310	288	739	294	428
111	850	162	408	554	585
112	879	634	165	975	127
113	974	359	181	319	518
114	341	362	979	946	233
115	842	482	601	265	159
116	641	327	205	926	483
117	735	628	800	440	497
118	841	740	872	208	629
119	725	663	334	822	144
120	445	130	969	130	769
121	160	382	218	496	82
122	344	27	850	640	554
123	205	793	677	121	900
124	796	595	588	766	780
125	709	277	242	596	756
126	884	549	21	405	289
127	544	100	929	153	611
128	954	312	578	345	588
129	878	56	621	164	631
130	728	363	880	982	555
131	30	510	887	648	329
132	960	441	779	266	909
133	967	424	41	422	189
134	921	888	587	47	590
135	603	980	73	816	358
136	923	444	531	674	176
137	395	717	496	102	122
138	196	635	594	447	935
139	53	219	353	394	323
140	570	343	493	940	280
141	59	886	643	192	819
142	613	851	835	576	147
143	259	183	472	724	950
144	535	195	944	807	131
145	851	799	830	990	628
146	670	2	77	514	565
147	703	489	478	510	353
148	715	911	768	48	748
149	619	857	967	621	432
150	340	132	517	220	101
151	483	70	363	473	416
152	523	467	623	528	417
153	697	241	11	204	196
154	627	333	533	415	60
155	173	821	162	831	91
156	46	159	786	599	234
157	778	780	276	112	724
158	40	308	106	623	458
159	291	233	931	418	682
160	773	239	637	508	751
161	657	329	294	909	368
162	955	416	746	63	65
163	486	841	24	335	383
164	927	145	331	262	454
165	608	592	209	693	767
166	118	784	957	572	109
167	505	208	964	547	415
168	990	471	666	268	593
169	573	341	65	545	739
170	113	301	50	206	837
171	182	383	39	457	890
172	115	198	390	5	391
173	109	764	990	928	623
174	107	4	801	443	985
175	751	944	40	236	503
176	218	698	151	612	318
177	895	84	364	735	647
178	289	193	976	346	839
179	727	609	773	203	153
180	643	425	13	13	881
181	515	772	638	583	259
182	565	479	349	604	653
183	358	672	48	314	531
184	868	558	420	782	433
185	545	512	169	475	265
186	883	779	448	728	393
187	290	914	507	146	378
188	123	746	245	760	467
189	460	384	180	897	912
190	393	642	89	137	525
191	55	848	876	83	377
192	611	143	765	423	927
193	941	21	392	511	574
194	329	534	127	66	834
195	474	834	681	212	272
196	187	626	790	310	993
197	222	590	219	636	816
198	20	571	649	274	268
199	301	279	989	341	165
200	328	99	358	532	47
201	194	62	222	570	288
202	525	173	357	986	979
203	510	474	735	427	285
204	150	619	201	513	297
205	606	625	158	390	382
206	119	743	926	819	658
207	104	54	891	861	211
208	284	521	608	317	533
209	472	38	173	408	338
210	548	256	159	259	463
211	834	245	412	832	773
212	815	155	187	362	324
213	694	306	161	741	621
214	481	633	629	556	74
215	762	3	469	991	938
216	734	578	518	229	715
217	633	87	529	541	672
218	50	97	504	539	241
219	184	926	265	878	465
220	601	59	853	463	422
221	462	854	577	413	656
222	352	259	332	523	561
223	260	262	7	305	307
224	509	353	144	500	832
225	855	496	134	12	943
226	154	787	84	948	350
227	998	580	211	224	642
228	248	588	369	809	57
229	836	381	984	905	528
230	224	711	660	35	617
231	62	473	788	471	369
232	469	937	696	688	376
233	430	82	360	984	247
234	798	374	145	438	208
235	494	526	29	737	321
236	324	767	112	396	784
237	342	348	44	186	702
238	189	774	240	629	676
239	710	550	741	571	688
240	763	296	107	343	520
241	764	88	314	240	855
242	408	668	502	734	818
243	648	186	764	215	270
244	294	652	435	981	462
245	244	77	238	857	718
246	492	803	431	180	614
247	970	992	514	272	357
248	711	426	602	409	198
249	305	315	37	221	62
250	770	160	562	690	557
251	487	518	657	497	15
252	533	5	982	80	733
253	537	415	288	566	848
254	760	685	766	106	954
255	817	45	906	858	427
256	645	124	817	412	997
257	359	261	564	569	901
258	495	495	968	521	252
259	729	71	428	968	947
260	207	899	15	384	410
261	128	651	704	663	889
262	790	370	28	616	714
263	2	303	586	495	828
264	52	373	398	193	311
265	147	57	615	664	869
266	135	60	569	595	239
267	978	874	1	67	413
268	72	494	974	376	67
269	579	93	591	790	475
270	433	836	935	271	836
271	288	723	287	859	885
272	283	589	194	997	732
273	638	16	61	386	363
274	922	307	536	320	500
275	421	407	729	826	303
276	844	537	581	269	337
277	917	350	628	864	99
278	193	274	119	445	313
279	24	630	221	680	424
280	331	318	792	169	161
281	170	819	286	56	717
282	818	656	362	302	59
283	821	694	102	152	104
284	916	75	421	15	230
285	705	864	937	411	404
286	435	933	971	988	580
287	138	879	365	818	876
288	804	519	377	592	969
289	383	355	256	501	697
290	679	331	651	542	829
291	605	443	784	387	326
292	966	724	905	219	920
293	351	719	6	534	4
294	65	697	893	300	175
295	634	264	232	617	273
296	235	260	371	950	659
297	774	722	616	538	931
298	731	464	933	34	396
299	269	429	820	355	86
300	826	646	354	778	309
301	103	675	888	786	226
302	295	236	120	241	151
303	503	949	551	174	182
304	376	43	179	17	457
305	448	505	167	973	681
306	797	298	754	481	459
307	833	420	580	601	469
308	279	158	251	647	290
309	217	742	874	960	917
310	539	754	846	58	37
311	246	107	348	938	694
312	996	827	973	406	174
313	771	923	312	125	601
314	206	602	322	692	154
315	983	468	97	49	135
316	9	959	293	588	499
317	389	410	231	126	960
318	28	839	419	743	411
319	210	24	932	222	824
320	180	376	9	773	930
321	980	825	456	74	138
322	262	372	248	880	95
323	417	739	404	540	804
324	414	102	488	824	972
325	172	344	951	176	944
326	840	952	460	910	14
327	899	347	885	461	596
328	299	939	665	109	981
329	863	23	402	57	849
330	665	928	825	506	375
331	660	941	0	233	893
332	323	202	113	856	277
333	754	212	254	914	168
334	732	878	426	254	148
335	293	706	281	136	986
336	346	786	271	751	183
337	399	622	22	882	584
338	667	500	625	246	563
339	361	302	116	585	498
340	364	106	486	762	923
341	314	593	742	918	835
342	268	812	444	632	24
343	89	783	613	594	359
344	809	574	693	614	52
345	77	192	525	795	36
346	781	987	109	702	745
347	984	295	275	656	652
348	221	961	470	173	386
349	716	755	311	103	87
350	800	990	244	806	803
351	274	440	67	780	345
352	625	925	397	557	685
353	67	349	607	14	19
354	477	314	27	87	31
355	434	823	869	772	246
356	956	544	137	369	569
357	700	701	802	148	72
358	721	673	965	448	894
359	335	135	624	808	301
360	251	488	17	564	942
361	912	164	662	544	626
362	877	506	743	770	610
363	640	917	620	611	615
364	555	504	844	278	845
365	678	10	721	678	328
366	696	627	503	785	598
367	805	490	579	154	163
368	473	207	171	480	334
369	471	979	849	330	102
370	861	174	424	257	781
371	668	938	993	823	197
372	936	515	570	892	255
373	830	647	913	104	612
374	338	935	958	723	693
375	568	136	374	282	419
376	646	902	867	768	970
377	307	777	188	141	504
378	943	433	217	641	484
379	961	292	902	30	171
380	485	976	737	924	797
381	345	322	895	97	799
382	708	862	930	829	402
383	241	896	814	43	534
384	168	934	690	245	616
385	386	869	882	424	79
386	780	313	352	20	113
387	543	880	630	874	308
388	759	597	950	722	680
389	387	833	223	881	517
390	120	507	313	681	125
391	461	434	600	72	97
392	144	680	709	214	684
393	532	749	346	451	976
394	581	596	47	92	331
395	369	955	523	710	811
396	247	149	896	455	870
397	756	573	527	593	414
398	19	411	995	562	150
399	250	475	33	414	661
400	929	570	725	122	550
401	155	951	673	78	339
402	311	781	934	307	971
403	925	282	678	9	948
404	546	614	224	684	946
405	466	91	193	239	670
406	931	248	962	802	25
407	161	530	489	643	73
408	192	210	198	609	559
409	913	146	467	402	603
410	616	606	909	652	720
411	162	126	269	972	258
412	666	134	712	537	991
413	541	458	622	828	242
414	68	997	816	775	689
415	416	816	859	574	856
416	8	64	720	147	846
417	420	438	252	846	502
418	521	423	451	127	88
419	536	92	104	763	207
420	569	330	434	517	370
421	551	849	645	280	727
422	404	36	283	26	556
423	650	809	389	377	523
424	637	58	994	165	266
425	164	172	699	911	696
426	761	203	90	921	842
427	275	465	83	891	924
428	456	695	94	357	636
429	803	981	618	507	988
430	149	286	439	179	132
431	591	919	117	955	650
432	766	745	762	225	124
433	306	319	247	794	63
434	234	753	474	871	158
435	163	118	505	256	706
436	336	561	485	913	105
437	130	378	941	385	583
438	784	889	691	235	0
439	137	226	292	101	251
440	375	28	952	839	387
441	465	522	582	853	201
442	56	797	956	255	464
443	13	769	610	700	980
444	828	365	715	98	655
445	379	46	378	344	796
446	691	600	842	71	752
447	92	820	686	862	978
448	349	400	639	888	116
449	583	983	202	450	271
450	204	181	290	635	98
451	105	197	212	531	622
452	506	436	689	291	119
453	915	920	669	698	346
454	385	516	125	512	675
455	988	20	532	934	558
456	292	678	573	954	728
457	348	169	70	536	351
458	300	870	921	600	987
459	586	843	534	370	61
460	662	817	199	835	365
461	856	427	71	985	908
462	280	247	840	907	179
463	654	759	713	108	910
464	971	460	868	140	224
465	918	68	347	672	16
466	152	42	667	721	604
467	618	873	557	213	240
468	554	611	154	567	279
469	785	55	918	729	482
470	701	985	574	301	112
471	907	18	552	452	330
472	258	900	916	336	155
473	202	715	530	848	577
474	982	559	679	8	700
475	360	727	381	64	921
476	787	231	919	284	140
477	659	283	672	352	973
478	919	14	270	382	827
479	745	535	195	50	975
480	61	196	890	470	940
481	945	564	462	947	205
482	429	334	274	293	932
483	866	567	457	333	571
484	99	156	55	88	28
485	624	771	803	250	292
486	440	185	484	303	677
487	11	699	261	759	840
488	354	807	403	838	284
489	807	34	860	95	209
490	681	80	298	167	407
491	685	478	425	403	20
492	558	276	697	429	605
493	881	964	695	889	477
494	100	321	177	178	886
495	254	240	824	135	507
496	368	177	653	199	859
497	651	636	539	805	379
498	873	638	442	551	903
499	267	577	391	978	367
500	70	907	605	286	447
501	577	692	810	939	578
502	538	708	758	789	663
503	425	339	235	499	356
504	552	649	25	951	513
505	428	414	826	671	77
506	985	332	706	560	231
507	153	470	429	863	479
508	43	379	774	142	521
509	620	576	626	840	212
510	962	850	501	184	749
511	792	455	714	655	214
512	801	679	731	493	665
513	191	704	3	817	388
514	901	128	213	603	281
515	427	127	229	870	785
516	783	499	12	787	93
517	488	610	782	68	965
518	410	497	828	441	532
519	411	142	811	360	589
520	281	228	781	815	1
521	663	266	498	401	54
522	232	954	35	218	316
523	442	669	184	16	276
524	944	435	2	491	992
525	664	340	829	159	238
526	887	225	86	94	874
527	497	898	843	348	853
528	390	932	559	963	764
529	409	9	981	736	536
530	906	491	111	361	235
531	779	451	879	124	440
532	297	508	382	810	30
533	517	703	506	855	963
534	464	398	407	957	35
535	582	721	771	33	791
536	74	585	160	527	263
537	60	905	953	799	394
538	198	553	904	285	181
539	175	782	775	559	333
540	593	445	495	460	384
541	93	395	401	420	452
542	690	48	359	800	949
543	692	113	911	847	753
544	439	297	487	433	755
545	85	33	246	504	962
546	928	336	654	207	801
547	794	683	406	555	994
548	436	897	722	454	634
549	578	26	146	197	933
550	726	511	701	231	139
551	609	405	659	953	952
552	303	69	927	747	761
553	476	991	585	81	476
554	617	147	500	860	754
555	587	223	32	999	686
556	45	644	763	407	800
557	516	7	395	304	423
558	317	966	545	958	750
559	871	948	922	110	813
560	166	716	513	758	805
561	776	449	446	216	708
562	671	658	356	639	630
563	322	581	96	579	221
564	350	11	948	959	857
565	287	291	72	686	50
566	143	883	453	168	607
567	584	929	52	162	989
568	190	556	318	902	68
569	333	867	300	993	110
570	939	714	418	965	635
571	768	234	671	426	530
572	777	205	852	830	823
573	171	545	883	181	774
574	886	674	877	868	600
575	17	310	592	466	669
576	320	354	797	342	295
577	999	957	752	962	343
578	134	442	863	630	964
579	73	945	568	54	575
580	458	655	14	553	494
581	854	531	4	867	267
582	253	37	152	945	606
583	810	686	342	388	674
584	636	140	350	713	867
585	370	396	670	836	744
586	905	975	897	983	456
587	845	189	123	65	213
588	256	222	430	42	505
589	822	273	866	468	203
590	391	615	597	76	188
591	683	584	796	31	406
592	540	242	862	260	977
593	562	51	302	552	392
594	261	863	132	750	868
595	567	49	8	38	995
596	84	608	619	75	786
597	121	757	157	711	955
598	522	358	899	776	327
599	687	325	509	467	190
600	23	978	464	465	814
601	953	736	687	974	22
602	950	430	343	563	11
603	493	39	769	642	229
604	365	709	5	793	759
605	706	885	351	730	466
606	356	687	432	258	336
607	812	904	122	253	27
608	22	702	590	492	166
609	380	200	718	726	278
610	524	643	190	633	117
611	811	729	228	970	302
612	86	447	871	312	398
613	330	486	394	714	399
614	621	175	567	703	740
615	117	865	841	701	92
616	799	389	858	328	826
617	987	8	793	820	115
618	997	794	949	998	974
619	853	982	277	183	898
620	146	209	881	488	400
621	75	403	925	311	809
622	865	554	131	380	862
623	271	533	136	22	436
624	0	367	417	191	734
625	594	139	900	195	548
626	140	741	51	920	716
627	357	798	851	748	875
628	704	371	422	952	911
629	34	380	785	949	491
630	372	996	942	522	668
631	32	73	664	677	461
632	513	847	272	202	723
633	502	677	150	138	315
634	713	908	648	894	18
635	450	477	279	482	129
636	597	361	385	995	200
637	42	182	650	814	831
638	101	187	23	306	775
639	468	543	34	966	210
640	642	125	767	397	206
641	78	852	535	36	699
642	972	450	936	752	446
643	743	153	798	315	736
644	992	29	375	719	501
645	176	645	856	351	887
646	848	912	138	980	641
647	431	726	777	869	838
648	614	94	603	134	299
649	94	281	416	667	364
650	902	366	730	431	560
651	529	844	864	590	841
652	599	326	409	327	822
653	933	605	268	581	493
654	15	650	237	163	39
655	252	217	837	865	613
656	403	859	214	549	564
657	131	419	827	602	808
658	286	972	789	961	710
659	512	660	176	442	249
660	739	837	947	767	232
661	76	648	166	275	317
662	39	552	178	666	157
663	201	737	309	548	586
664	632	795	449	53	430
665	108	971	831	334	322
666	748	498	519	171	597
667	444	120	612	371	897
668	122	731	756	238	496
669	106	906	805	226	770
670	684	815	733	683	551
671	712	915	320	872	349
672	576	631	516	446	922
673	924	993	652	834	594
674	837	884	655	324	64
675	220	184	492	132	772
676	885	560	700	792	515
677	353	875	684	185	361
678	932	78	983	917	219
679	556	472	633	937	511
680	215	114	186	91	164
681	91	591	452	379	418
682	744	890	675	575	726
683	447	705	776	876	21
684	273	487	491	194	892
685	136	547	857	520	489
686	571	103	924	296	698
687	698	572	66	45	547
688	401	63	296	879	405
689	752	213	609	535	126
690	934	258	833	41	300
691	769	968	454	620	366
692	528	582	884	625	703
693	741	304	966	46	78
694	478	892	658	187	802
695	126	90	335	812	51
696	96	761	988	149	810
697	396	409	415	395	332
698	48	676	795	227	40
699	362	994	264	619	143
700	938	943	215	989	705
701	151	503	100	765	549
702	446	289	305	875	438
703	963	814	387	373	283
704	682	163	524	561	53
705	550	738	19	707	228
706	216	278	216	189	451
707	676	895	668	332	294
708	695	6	476	923	757
709	749	30	108	223	325
710	239	35	328	237	812
711	979	85	479	143	439
712	908	275	490	160	762
713	413	607	813	3	657
714	604	89	821	156	6
715	772	263	560	977	46
716	373	540	326	796	820
717	18	818	250	399	227
718	133	538	367	967	490
719	29	514	855	105	519
720	272	364	791	372	215
721	318	613	115	157	468
722	649	44	319	295	844
723	808	624	920	484	639
724	49	459	543	941	389
725	520	437	289	661	998
726	968	230	230	618	878
727	612	599	291	887	896
728	561	528	308	606	763
729	724	388	646	338	133
730	347	832	87	323	80
731	438	285	441	232	958
732	740	485	778	69	825
733	557	830	806	37	335
734	98	227	133	659	371
735	747	758	200	393	888
736	51	756	85	410	43
737	661	391	36	2	542
738	245	95	197	653	662
739	658	137	547	196	41
740	309	562	998	354	408
741	452	204	130	761	373
742	298	385	26	883	100
743	914	789	898	725	913
744	228	877	707	631	587
745	832	922	327	453	916
746	308	710	970	685	44
747	575	804	299	82	236
748	847	220	627	129	953
749	806	770	635	139	455
750	942	401	95	29	96
751	265	903	317	788	572
752	549	251	892	297	608
753	69	83	473	90	512
754	629	501	986	753	437
755	54	469	870	877	282
756	443	806	129	893	573
757	57	418	450	248	582
758	419	280	889	111	850
759	374	243	321	529	866
760	722	999	324	916	449
761	969	555	522	421	847
762	437	161	220	732	939
763	673	406	124	425	790
764	596	201	747	392	546
765	441	199	912	462	566
766	83	720	996	316	472
767	653	918	494	903	907
768	835	377	225	908	312
769	480	860	682	890	851
770	975	206	340	170	225
771	958	831	10	718	919
772	47	76	233	757	194
773	849	293	304	337	807
774	813	81	285	929	591
775	742	101	598	689	882
776	566	31	961	709	707
777	957	566	575	682	481
778	527	439	595	720	524
779	843	568	325	270	760
780	230	802	755	738	529
781	896	131	380	363	984
782	872	901	631	267	602
783	753	238	31	525	646
784	930	484	903	27	180
785	249	320	576	61	167
786	499	115	963	474	397
787	195	481	262	942	624
788	7	664	901	705	85
789	542	211	148	964	120
790	111	356	558	943	735
791	717	453	172	657	599
792	142	563	81	669	445
793	615	448	386	417	667
794	296	170	337	209	843
795	719	696	208	145	412
796	839	766	339	526	553
797	179	454	38	673	731
798	139	546	355	478	121
799	795	12	459	40	374
