	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	314	795	625	50	24
101	217	49	129	248	575
102	50	222	199	49	299
103	413	530	795	222	482
104	318	505	286	413	504
105	399	248	507	690	465
106	248	625	897	465	129
107	344	533	24	520	96
108	728	314	504	588	226
109	284	507	299	282	399
110	364	465	575	344	39
111	49	286	530	728	594
112	70	318	248	768	318
113	39	199	460	822	413
114	317	985	728	672	227
115	34	73	588	488	345
116	544	639	222	468	133
117	505	24	926	34	31
118	780	39	491	926	161
119	115	491	690	314	52
120	442	161	133	632	449
121	222	173	364	574	432
122	777	251	264	455	144
123	324	185	50	601	455
124	721	344	730	442	284
125	915	880	52	655	251
126	192	482	763	185	363
127	873	16	367	949	558
128	147	420	117	395	560
129	59	70	144	382	505
130	885	331	442	227	681
131	632	283	949	544	464
132	916	227	362	592	77
133	420	504	115	17	477
134	763	506	420	138	507
135	268	238	111	134	520
136	668	449	31	275	533
137	45	34	348	473	382
138	321	377	805	704	602
139	618	897	382	446	117
140	917	544	505	306	47
141	465	968	55	30	639
142	28	460	134	940	315
143	930	885	185	457	897
144	161	163	704	991	822
145	13	455	314	805	317
146	812	560	929	674	717
147	362	704	33	420	935
148	533	889	449	500	530
149	275	949	275	397	590
150	512	204	558	317	364
151	670	926	956	481	235
152	67	643	397	551	138
153	109	364	453	799	383
154	383	217	217	534	54
155	193	630	519	376	331
156	365	518	161	216	991
157	717	793	605	403	546
158	175	275	151	178	916
159	486	55	432	163	398
160	772	442	793	3	18
161	796	403	363	993	481
162	546	516	516	390	415
163	648	512	7	345	605
164	776	310	916	310	919
165	62	473	10	31	67
166	557	348	885	47	549
167	173	361	356	916	889
168	570	676	96	65	367
169	690	306	594	913	512
170	390	508	34	560	356
171	664	367	484	509	551
172	241	30	403	235	430
173	138	558	718	953	241
174	348	415	277	54	491
175	778	363	776	545	796
176	520	382	452	199	433
177	509	549	786	260	942
178	154	935	574	41	672
179	30	722	77	992	258
180	850	574	181	284	457
181	798	605	138	67	361
182	516	242	930	238	588
183	22	374	768	323	73
184	331	519	131	122	446
185	969	546	317	241	376
186	298	343	722	575	50
187	230	481	283	204	379
188	703	356	889	221	122
189	195	100	13	581	214
190	328	528	457	547	447
191	295	33	602	570	917
192	575	379	669	423	630
193	665	29	235	504	371
194	92	898	451	495	365
195	308	590	391	669	100
196	271	537	285	562	668
197	433	644	29	453	805
198	73	134	953	348	554
199	554	258	500	168	940
200	932	547	560	377	529
201	111	468	867	16	913
202	55	62	73	796	669
203	795	919	935	33	168
204	168	304	390	433	163
205	151	395	238	867	210
206	794	648	590	567	969
207	133	315	533	657	846
208	605	210	417	422	221
209	421	297	39	508	875
210	361	717	319	415	417
211	47	350	919	794	855
212	657	794	601	523	1
213	567	867	672	846	810
214	283	433	485	271	885
215	446	241	446	181	297
216	379	441	0	285	511
217	528	259	3	630	867
218	468	12	430	176	812
219	417	3	178	881	182
220	679	68	365	417	578
221	218	365	381	643	882
222	430	92	8	554	697
223	924	230	552	293	397
224	808	539	218	856	802
225	68	349	38	324	238
226	954	500	518	315	215
227	272	423	200	231	59
228	919	193	398	361	972
229	562	906	591	424	677
230	441	177	231	729	548
231	8	319	12	718	467
232	356	293	578	12	829
233	235	354	211	736	703
234	452	418	221	343	483
235	144	591	906	319	41
236	577	135	311	66	263
237	18	330	70	68	230
238	162	381	539	13	676
239	637	17	479	629	271
240	676	703	523	111	280
241	649	706	195	154	603
242	548	668	41	910	797
243	249	181	331	765	16
244	250	753	778	218	466
245	545	273	1	707	394
246	65	285	418	406	950
247	591	467	545	808	753
248	523	10	441	418	947
249	254	277	125	379	290
250	466	915	65	414	110
251	286	414	969	484	525
252	259	80	5	297	424
253	586	613	155	586	189
254	323	511	298	989	610
255	253	195	4	162	841
256	537	362	198	195	242
257	347	933	797	678	598
258	131	371	230	590	439
259	478	240	829	26	438
260	307	44	94	256	523
261	228	231	649	327	213
262	729	634	603	233	228
263	182	78	467	829	652
264	996	26	165	257	65
265	393	146	172	539	910
266	447	426	587	431	563
267	629	439	176	778	856
268	293	5	586	193	211
269	425	233	304	316	40
270	210	59	855	167	519
271	485	440	242	548	842
272	549	870	933	203	564
273	122	175	237	103	0
274	578	534	193	557	542
275	879	649	567	333	180
276	448	578	657	189	418
277	856	298	324	172	577
278	189	438	162	330	484
279	104	131	254	394	953
280	552	912	169	42	933
281	333	200	428	250	501
282	539	669	343	421	323
283	438	406	643	266	808
284	176	333	399	700	406
285	620	787	213	146	198
286	474	646	562	311	92
287	613	256	392	664	440
288	336	162	470	347	311
289	841	498	167	553	414
290	483	236	349	438	586
291	135	430	256	304	600
292	281	729	406	585	181
293	330	8	912	187	285
294	103	125	44	0	236
295	311	42	707	954	975
296	933	448	32	125	629
297	936	347	882	371	587
298	410	652	551	8	608
299	11	196	148	511	688
300	968	81	422	875	303
301	704	31	17	173	422
302	216	243	47	537	468
303	678	588	900	253	423
304	17	679	415	354	377
305	354	900	271	466	277
306	273	567	377	280	456
307	912	875	678	688	634
308	163	535	100	135	644
309	697	991	691	730	870
310	906	697	354	620	273
311	256	664	371	165	316
312	349	228	124	648	691
313	542	182	796	254	500
314	40	339	950	871	124
315	624	685	613	121	349
316	114	424	250	194	518
317	871	797	272	213	151
318	502	769	629	180	343
319	458	631	402	307	881
320	821	561	350	563	700
321	335	564	506	496	231
322	172	837	608	393	613
323	42	540	821	683	736
324	85	650	498	169	451
325	535	845	585	110	585
326	428	642	448	461	259
327	440	651	81	525	68
328	881	262	431	90	307
329	100	563	173	975	502
330	434	291	66	40	266
331	139	434	637	448	393
332	414	610	216	262	458
333	180	340	881	36	392
334	247	247	394	814	566
335	244	124	648	392	139
336	569	485	439	183	200
337	566	207	502	206	272
338	32	307	146	659	989
339	187	443	879	384	657
340	206	425	535	272	580
341	116	879	40	606	335
342	587	266	650	63	148
343	643	624	180	656	121
344	536	149	21	474	557
345	603	742	36	549	428
346	91	954	856	426	615
347	435	172	424	139	686
348	659	842	947	440	85
349	105	186	580	997	384
350	461	821	359	302	954
351	761	388	116	555	744
352	525	279	525	388	233
353	650	553	104	569	62
354	555	833	11	713	650
355	615	850	456	148	804
356	146	302	769	566	333
357	290	839	557	950	11
358	207	51	610	536	624
359	280	736	335	776	194
360	744	606	247	470	224
361	561	63	659	609	36
362	694	435	26	372	774
363	700	384	833	753	694
364	439	608	496	463	963
365	797	566	85	652	183
366	119	169	293	335	659
367	121	320	473	603	886
368	769	85	339	320	452
369	943	353	90	224	761
370	123	160	435	425	498
371	353	772	51	71	135
372	456	683	434	369	461
373	634	142	624	104	569
374	142	20	536	853	167
375	608	106	123	157	63
376	149	183	871	882	206
377	755	708	228	947	207
378	975	814	347	879	102
379	94	213	340	441	157
380	804	56	302	236	606
381	340	774	569	535	597
382	627	21	291	467	553
383	279	555	564	785	912
384	653	139	444	540	116
385	913	422	71	240	302
386	78	678	266	94	976
387	106	600	630	556	203
388	522	975	686	82	175
389	408	739	609	924	536
390	683	409	853	542	44
391	540	585	421	761	845
392	606	325	792	291	339
393	291	359	187	160	388
394	374	114	631	207	769
395	190	761	627	61	165
396	855	976	190	478	247
397	845	9	774	792	279
398	160	615	850	709	496
399	833	471	522	858	755
400	953	484	595	639	763
401	389	580	729	92	528
402	642	103	697	507	154
403	155	458	600	452	104
404	191	11	426	889	327
405	774	36	700	528	988
406	853	206	154	870	656
407	988	71	106	91	20
408	409	90	936	106	350
409	768	187	474	443	555
410	0	496	582	409	176
411	20	562	668	685	82
412	742	474	577	963	582
413	246	82	620	839	702
414	443	694	262	612	469
415	51	656	963	447	642
416	792	211	87	191	336
417	274	595	689	497	389
418	713	479	244	600	91
419	431	447	160	689	685
420	801	470	184	341	125
421	582	91	246	506	689
422	651	475	119	951	359
423	320	155	951	819	407
424	469	755	425	642	240
425	865	582	652	564	443
426	685	994	615	126	353
427	696	469	785	402	708
428	252	997	841	214	190
429	997	101	976	109	814
430	262	501	713	978	670
431	416	709	469	274	479
432	341	389	389	78	653
433	739	94	529	826	819
434	9	416	326	595	871
435	839	38	194	246	28
436	708	983	858	653	21
437	56	577	270	105	463
438	401	107	646	865	556
439	126	841	290	9	119
440	96	436	598	20	374
441	550	184	281	97	246
442	817	198	501	636	368
443	837	143	679	401	995
444	506	819	325	763	978
445	998	189	209	471	631
446	224	167	739	501	589
447	471	593	337	184	252
448	551	497	612	702	992
449	785	445	846	74	416
450	556	136	989	806	707
451	202	978	814	445	561
452	963	336	416	87	143
453	497	410	651	641	475
454	691	327	755	270	270
455	436	472	401	209	550
456	749	263	653	561	994
457	258	341	240	631	326
458	143	280	994	202	739
459	787	865	409	56	636
460	184	28	696	142	402
461	661	192	597	346	900
462	473	478	801	337	51
463	773	817	472	832	337
464	593	209	279	124	87
465	983	301	107	817	565
466	198	552	214	186	46
467	221	556	592	521	325
468	806	398	374	229	109
469	636	401	229	522	997
470	982	832	826	158	79
471	301	696	773	983	772
472	359	521	988	855	281
473	698	804	136	773	521
474	826	951	158	386	792
475	822	589	386	237	839
476	136	660	188	136	791
477	445	46	177	192	101
478	194	554	232	101	74
479	54	698	742	529	773
480	978	550	983	640	612
481	346	636	157	232	436
482	861	274	320	988	209
483	350	87	573	593	785
484	358	522	628	196	853
485	565	798	233	527	591
486	902	326	287	677	497
487	360	444	771	475	410
488	107	658	677	362	78
489	666	514	9	967	628
490	612	99	645	661	813
491	260	883	186	451	775
492	597	543	810	336	826
493	621	757	765	407	832
494	368	295	327	14	99
495	48	102	798	552	784
496	950	720	806	982	330
497	658	48	108	698	232
498	832	97	48	57	801
499	517	940	817	995	705
500	351	383	252	410	249
501	4	203	224	258	351
502	842	4	122	5	105
503	601	54	353	259	155
504	495	619	995	703	229
505	369	627	664	351	665
506	297	592	870	58	301
507	527	943	109	38	949
508	108	686	67	670	4
509	579	202	509	686	888
510	46	303	351	772	749
511	722	702	842	352	283
512	619	545	619	328	698
513	342	372	665	143	728
514	403	806	865	83	862
515	74	332	346	878	378
516	287	260	201	998	404
517	196	597	660	300	346
518	939	723	891	268	14
519	764	14	369	787	943
520	232	896	72	793	764
521	404	281	527	943	332
522	929	515	920	48	386
523	99	64	102	360	532
524	515	35	360	517	939
525	660	939	974	861	515
526	437	749	202	301	6
527	386	322	570	197	696
528	19	892	883	891	201
529	641	495	764	370	593
530	529	584	892	35	661
531	322	201	998	45	878
532	524	95	274	619	658
533	646	140	64	888	621
534	573	705	352	735	97
535	931	158	670	962	445
536	753	901	19	532	126
537	918	929	658	862	158
538	29	674	332	462	369
539	706	992	478	959	998
540	140	980	378	80	322
541	784	895	322	946	19
542	987	126	14	579	131
543	967	400	515	108	931
544	462	358	863	892	850
545	828	920	709	876	946
546	306	862	517	920	837
547	86	292	621	332	714
548	886	609	784	720	86
549	813	45	837	303	920
550	267	633	197	834	799
551	376	6	828	46	197
552	985	378	876	614	641
553	705	743	735	864	876
554	805	888	95	939	64
555	201	370	404	883	723
556	962	145	309	635	952
557	532	869	543	810	834
558	352	376	896	750	572
559	614	18	813	711	188
560	521	982	375	863	601
561	303	864	746	840	828
562	640	972	245	480	962
563	568	863	888	838	35
564	583	128	6	72	985
565	372	27	862	751	896
566	292	437	714	43	472
567	743	487	901	64	517
568	300	923	779	786	370
569	370	614	931	583	400
570	543	197	97	693	462
571	609	959	328	140	663
572	810	740	967	660	437
573	309	816	706	952	986
574	43	245	568	723	720
575	771	212	86	29	974
576	751	784	532	923	706
577	481	779	918	737	614
578	974	782	720	454	760
579	709	764	83	399	95
580	128	7	212	245	196
581	375	886	387	945	892
582	245	645	495	986	268
583	883	758	276	95	866
584	101	987	962	714	635
585	878	746	667	102	718
586	145	802	225	212	60
587	735	727	859	743	292
588	472	451	358	278	489
589	901	914	869	514	276
590	450	663	524	705	750
591	633	132	986	909	901
592	645	996	633	450	923
593	863	771	166	828	583
594	179	570	579	767	309
595	72	714	486	984	212
596	971	807	693	342	43
597	834	531	868	2	811
598	799	834	450	621	267
599	779	843	514	918	751
600	310	276	342	929	869
601	77	635	28	27	573
602	558	918	35	491	140
603	726	878	666	802	375
604	265	786	407	633	786
605	251	902	639	831	980
606	166	83	971	790	987
607	896	905	831	980	387
608	895	677	866	663	859
609	972	407	982	265	265
610	866	726	292	757	30
611	790	568	743	859	358
612	480	115	488	267	868
613	487	628	984	914	72
614	740	695	251	782	225
615	60	289	811	411	531
616	923	859	981	869	838
617	57	450	268	531	27
618	83	917	864	145	831
619	966	647	816	722	971
620	914	934	803	972	693
621	695	58	952	974	454
622	2	955	905	726	179
623	663	278	462	667	984
624	945	573	791	917	646
625	836	454	265	981	843
626	928	803	775	760	408
627	239	831	132	977	964
628	61	43	902	132	803
629	811	945	289	408	584
630	843	799	996	179	790
631	803	225	909	295	313
632	584	296	782	807	289
633	980	675	695	835	328
634	760	429	968	666	731
635	934	952	2	868	735
636	745	489	179	572	680
637	868	77	843	818	166
638	835	928	61	964	726
639	905	719	790	928	574
640	731	2	895	149	300
641	800	911	887	934	807
642	269	711	789	296	278
643	955	971	531	968	965
644	289	572	150	493	524
645	429	981	802	887	547
646	712	818	300	499	932
647	711	966	934	905	57
648	921	964	733	809	955
649	411	737	835	902	132
650	296	731	487	775	757
651	992	599	454	800	909
652	444	60	675	429	675
653	807	809	313	98	745
654	818	150	964	738	981
655	89	313	489	955	599
656	667	745	682	174	324
657	647	754	825	908	887
658	840	499	800	387	921
659	493	396	731	512	827
660	977	57	626	153	295
661	150	770	680	225	840
662	499	738	493	966	740
663	809	626	635	141	411
664	854	777	965	269	835
665	662	205	827	623	647
666	908	847	296	680	930
667	654	789	880	602	727
668	396	130	145	880	781
669	204	827	25	836	493
670	727	174	547	559	716
671	205	680	781	363	98
672	682	844	904	985	667
673	599	836	712	893	924
674	844	234	408	130	626
675	164	781	840	911	977
676	770	510	777	22	61
677	984	699	22	170	733
678	759	852	852	69	205
679	781	957	966	647	836
680	52	825	874	816	825
681	852	419	419	599	816
682	130	932	921	795	499
683	957	559	27	747	150
684	476	488	205	164	848
685	419	239	130	874	767
686	288	854	616	759	809
687	887	873	89	921	80
688	510	329	429	957	911
689	625	89	844	789	239
690	427	908	737	965	93
691	848	581	269	129	674
692	98	137	767	220	800
693	234	164	924	770	174
694	747	226	893	848	908
695	69	69	141	239	818
696	847	944	623	396	893
697	944	759	699	847	682
698	387	874	747	890	770
699	329	170	23	682	844
700	7	23	15	15	15
701	15	37	37	37	22
702	23	75	84	53	25
703	24	76	112	75	37
704	53	84	113	76	53
705	75	88	120	81	88
706	76	93	127	88	112
707	84	113	137	112	113
708	93	118	152	127	115
709	113	120	159	137	120
710	117	127	171	147	127
711	118	147	208	152	147
712	120	153	215	156	153
713	134	156	219	159	159
714	137	159	220	171	164
715	152	208	223	208	171
716	153	219	261	215	208
717	170	220	288	219	219
718	171	223	294	223	234
719	215	261	305	226	255
720	220	264	308	255	282
721	261	282	312	286	288
722	294	288	318	294	294
723	299	308	321	305	308
724	305	312	334	312	312
725	338	321	355	334	321
726	345	334	357	338	329
727	357	355	380	355	334
728	373	366	385	357	338
729	380	373	395	373	357
730	385	380	412	380	366
731	391	385	459	385	373
732	395	391	464	405	391
733	405	405	476	412	396
734	460	411	490	427	405
735	464	427	492	460	412
736	477	453	494	482	419
737	488	459	503	492	427
738	492	464	513	510	459
739	494	477	534	513	476
740	503	486	559	526	490
741	513	490	576	538	494
742	538	494	581	541	503
743	541	503	607	571	510
744	571	526	618	576	513
745	576	538	622	594	534
746	581	571	638	596	559
747	594	576	654	604	571
748	596	596	655	611	596
749	604	602	662	616	604
750	611	607	671	617	607
751	616	611	673	618	611
752	617	622	681	625	616
753	638	638	684	671	617
754	671	655	687	673	622
755	673	672	701	681	623
756	681	673	715	684	655
757	684	687	721	692	662
758	687	692	725	701	684
759	692	701	741	710	699
760	701	710	752	719	710
761	710	715	754	721	715
762	715	716	756	724	724
763	716	721	758	725	732
764	719	724	762	732	734
765	724	725	766	734	748
766	725	741	788	741	752
767	732	756	820	748	754
768	734	766	824	752	756
769	741	767	830	758	759
770	748	780	849	762	762
771	752	783	851	766	780
772	754	812	857	780	815
773	756	815	860	788	820
774	762	820	872	812	823
775	766	823	877	815	824
776	783	830	884	820	847
777	815	848	890	823	849
778	830	849	898	824	851
779	849	851	899	830	854
780	851	857	903	857	857
781	872	860	911	860	860
782	877	877	913	872	874
783	884	884	922	877	890
784	899	890	925	894	894
785	907	899	927	897	898
786	922	903	932	903	903
787	925	904	937	907	904
788	927	907	941	937	907
789	938	922	942	938	922
790	941	925	944	941	927
791	942	937	948	942	938
792	956	938	957	948	944
793	958	941	958	958	948
794	960	948	961	960	958
795	961	961	970	961	960
796	970	979	973	970	970
797	979	990	979	973	973
798	990	993	990	990	979
799	999	999	993	999	993
