	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	614	212	652	553	641
101	648	779	268	538	639
102	446	987	621	536	557
103	516	167	314	58	634
104	728	719	680	535	189
105	295	332	229	569	694
106	887	711	612	571	588
107	914	708	665	547	623
108	427	706	313	63	575
109	450	658	728	534	702
110	660	992	266	579	587
111	140	702	233	581	566
112	861	699	664	67	586
113	2	663	311	522	720
114	527	687	320	511	211
115	751	201	270	592	707
116	18	5	950	68	148
117	301	611	381	81	574
118	975	767	195	80	565
119	305	781	269	125	717
120	724	101	491	49	31
121	828	596	489	27	394
122	584	427	41	991	775
123	826	429	479	178	410
124	685	113	262	61	718
125	966	815	484	988	182
126	955	114	605	56	415
127	536	934	467	950	311
128	525	118	739	165	417
129	987	503	752	54	4
130	9	609	733	942	176
131	472	971	222	53	161
132	934	438	417	949	389
133	568	498	231	153	686
134	983	789	983	47	155
135	980	782	237	65	154
136	603	783	240	159	681
137	978	784	715	721	330
138	957	786	211	227	166
139	43	132	21	810	321
140	616	940	969	808	167
141	939	512	395	525	284
142	473	384	251	549	151
143	469	533	669	551	175
144	474	993	453	555	322
145	48	944	460	788	283
146	998	315	462	562	388
147	593	959	382	586	708
148	606	298	690	588	558
149	32	295	916	593	919
150	963	975	274	594	786
151	617	381	880	768	813
152	772	976	558	601	504
153	441	961	821	765	505
154	834	538	173	763	594
155	833	530	225	602	208
156	832	383	125	617	867
157	713	33	169	620	240
158	813	972	309	752	862
159	179	293	348	653	100
160	807	91	577	655	822
161	192	491	579	667	855
162	731	624	133	681	528
163	317	444	586	705	214
164	735	754	162	723	580
165	740	753	859	722	569
166	281	631	138	507	92
167	754	633	591	816	226
168	755	738	855	500	560
169	234	766	148	819	551
170	761	217	620	233	836
171	247	211	601	235	227
172	779	164	557	240	500
173	770	652	552	257	62
174	289	467	116	266	598
175	931	672	111	294	497
176	709	692	67	295	116
177	150	197	70	304	115
178	624	213	73	312	617
179	69	925	920	875	451
180	918	359	996	333	797
181	647	606	325	345	455
182	396	71	367	351	456
183	905	76	505	215	615
184	901	251	365	354	265
185	896	78	798	720	614
186	661	482	793	376	43
187	322	82	186	377	463
188	358	865	89	390	804
189	104	474	285	406	898
190	863	330	181	413	805
191	119	92	649	420	477
192	128	477	536	446	481
193	694	425	543	457	606
194	336	426	106	828	484
195	142	818	177	480	491
196	844	236	547	482	601
197	145	430	638	484	600
198	101	582	364	361	52
199	552	388	741	0	309
200	439	746	107	285	753
201	749	647	123	656	133
202	748	499	7	320	39
203	684	642	899	438	947
204	143	450	122	187	534
205	697	802	172	180	724
206	346	434	51	623	437
207	108	851	922	184	181
208	705	755	61	185	452
209	569	262	161	338	684
210	139	743	5	172	180
211	204	182	1	604	977
212	160	150	10	336	689
213	582	906	897	327	279
214	570	981	11	632	443
215	583	607	215	296	158
216	416	568	919	341	165
217	776	727	158	302	549
218	670	807	927	280	700
219	806	227	109	344	703
220	808	915	155	5	163
221	389	537	930	360	706
222	445	535	29	963	439
223	435	917	913	386	548
224	401	912	31	410	547
225	803	88	146	303	440
226	659	645	151	409	519
227	515	938	187	305	21
228	970	540	988	334	970
229	977	996	55	9	940
230	982	73	369	371	992
231	497	580	889	314	991
232	17	985	459	262	923
233	404	160	474	246	953
234	650	982	486	948	11
235	533	169	776	317	930
236	543	173	496	13	15
237	683	592	768	328	938
238	663	560	765	975	939
239	51	553	763	236	30
240	92	941	755	342	22
241	936	511	517	735	978
242	557	619	518	465	327
243	86	622	519	603	909
244	665	545	523	186	546
245	385	143	524	625	533
246	85	210	533	179	525
247	380	544	535	102	249
248	506	539	539	633	496
249	117	506	666	173	259
250	636	18	655	642	266
251	419	505	635	647	272
252	50	318	679	792	468
253	118	320	681	168	449
254	764	418	608	104	423
255	357	833	785	282	303
256	587	736	597	105	392
257	809	31	695	106	313
258	739	329	697	677	376
259	239	739	580	160	375
260	241	821	704	680	365
261	244	37	709	122	318
262	246	398	569	126	359
263	437	814	691	750	350
264	743	396	220	146	349
265	465	38	786	704	324
266	594	344	449	728	339
267	306	347	275	729	336
268	787	756	277	822	332
269	601	758	882	600	553
270	608	761	879	575	913
271	286	124	293	193	236
272	287	125	302	475	578
273	300	100	304	212	890
274	292	651	331	43	871
275	224	28	334	888	866
276	120	423	351	492	860
277	817	479	354	881	839
278	729	140	850	495	837
279	696	678	362	878	832
280	136	897	846	209	829
281	352	248	374	497	87
282	629	683	392	871	816
283	151	685	397	517	98
284	152	261	446	231	763
285	154	465	435	865	131
286	296	273	801	72	139
287	868	139	432	202	749
288	573	451	430	528	740
289	711	49	805	858	153
290	997	285	456	199	715
291	187	863	810	855	710
292	434	137	421	197	168
293	849	136	816	848	665
294	476	304	817	846	626
295	215	850	403	540	597
296	839	24	829	557	225
297	822	306	399	87	233
298	818	310	424	71	572
299	409	155	0	50	677
300	175	192	442	181	530
301	162	615	154	301	564
302	4	263	949	674	591
303	7	599	431	154	646
304	8	200	643	700	585
305	13	585	877	685	642
306	22	490	428	657	636
307	29	584	650	192	536
308	46	495	144	643	631
309	47	576	948	162	630
310	55	787	286	663	622
311	62	245	36	664	502
312	65	219	935	670	629
313	72	543	4	684	661
314	84	556	925	713	408
315	89	550	926	682	411
316	100	673	299	688	422
317	131	174	963	636	676
318	144	445	246	711	447
319	153	400	984	204	457
320	155	437	321	737	501
321	383	350	298	736	610
322	395	716	982	614	613
323	309	331	39	176	458
324	485	334	901	196	670
325	565	705	279	618	461
326	562	770	924	213	465
327	554	126	967	686	466
328	548	370	495	606	475
329	539	158	50	207	479
330	535	710	194	772	616
331	621	407	603	396	949
332	578	714	450	270	950
333	512	336	213	399	85
334	502	256	618	698	932
335	643	508	619	776	97
336	645	518	198	174	109
337	521	339	178	411	744
338	704	348	625	946	398
339	703	501	165	693	734
340	692	312	434	574	1
341	715	945	429	20	16
342	544	488	651	995	672
343	344	487	426	316	20
344	611	403	623	323	36
345	710	472	425	324	37
346	642	471	585	330	656
347	340	460	457	337	653
348	28	449	492	343	976
349	821	448	502	707	750
350	879	935	504	14	650
351	328	414	506	347	644
352	493	433	488	284	72
353	461	435	525	362	635
354	126	439	578	732	963
355	113	949	530	973	954
356	604	385	551	17	652
357	107	902	560	142	203
358	579	793	564	145	135
359	651	899	567	372	874
360	613	677	469	137	277
361	94	686	464	940	532
362	657	170	545	814	282
363	773	834	881	149	292
364	83	697	420	245	774
365	771	85	415	648	997
366	974	156	235	879	316
367	969	720	363	508	685
368	612	816	359	206	785
369	932	94	81	481	489
370	840	145	238	226	367
371	168	135	244	92	368
372	429	804	377	832	371
373	368	134	842	556	374
374	364	772	347	222	446
375	442	795	66	563	391
376	353	774	858	564	273
377	462	841	342	609	876
378	320	901	863	629	271
379	481	77	52	414	270
380	310	656	349	253	752
381	487	558	677	129	144
382	297	562	791	786	183
383	279	222	778	421	190
384	567	889	706	40	912
385	265	572	217	422	605
386	524	55	721	929	198
387	259	577	729	426	200
388	529	879	737	790	924
389	254	589	742	66	207
390	540	203	94	921	759
391	221	610	104	136	760
392	408	193	102	443	892
393	923	867	100	452	563
394	190	630	769	910	555
395	184	638	387	673	251
396	176	185	97	460	767
397	566	655	777	57	882
398	262	668	398	256	212
399	206	648	657	248	512
400	216	308	95	916	384
401	873	419	115	914	386
402	837	983	120	958	96
403	235	964	130	46	95
404	855	852	131	310	105
405	599	990	132	121	307
406	173	907	136	532	117
407	20	322	152	76	258
408	24	401	160	260	164
409	49	35	166	542	179
410	960	908	176	759	196
411	54	80	179	548	140
412	956	911	409	272	209
413	929	276	412	138	228
414	111	23	343	566	229
415	122	955	587	730	397
416	924	340	570	348	124
417	130	373	575	286	232
418	134	933	582	94	120
419	147	939	595	702	238
420	149	389	609	689	241
421	912	288	613	683	242
422	189	289	622	335	247
423	922	372	624	672	252
424	0	573	627	293	231
425	372	292	630	661	157
426	745	223	562	306	91
427	347	128	631	639	412
428	251	726	639	635	751
429	762	531	645	531	735
430	341	107	648	250	716
431	324	675	653	856	714
432	778	546	654	369	28
433	379	183	659	514	696
434	314	184	660	520	41
435	712	226	662	800	674
436	708	559	672	805	662
437	681	142	682	521	59
438	458	600	637	799	658
439	436	93	559	238	82
440	537	809	998	111	624
441	273	593	995	224	61
442	551	443	507	512	583
443	546	669	444	796	657
444	591	832	441	793	147
445	523	163	516	74	438
446	354	932	513	48	445
447	495	649	498	134	73
448	293	929	501	966	63
449	303	922	124	216	483
450	488	349	117	496	77
451	480	664	476	590	995
452	42	660	478	690	515
453	405	424	862	315	67
454	555	937	856	473	65
455	386	547	853	425	554
456	908	552	485	442	559
457	274	207	83	95	414
458	866	613	884	504	989
459	899	968	451	8	18
460	308	303	64	418	24
461	248	591	48	417	102
462	872	588	841	412	78
463	205	3	667	297	51
464	290	994	668	641	119
465	538	528	840	402	974
466	633	639	6	997	27
467	961	34	418	968	40
468	962	516	994	847	761
469	542	420	470	237	910
470	349	89	65	169	757
471	640	70	941	241	755
472	971	416	616	380	754
473	972	68	288	478	739
474	979	812	287	36	697
475	842	458	283	998	688
476	811	464	792	897	808
477	586	95	291	191	680
478	19	238	256	189	659
479	843	769	250	539	593
480	230	470	248	110	561
481	291	864	230	183	826
482	513	749	871	33	531
483	742	382	782	141	206
484	370	478	319	766	523
485	182	741	214	917	430
486	726	266	416	384	416
487	374	494	205	509	406
488	878	722	588	544	847
489	323	886	193	924	393
490	201	496	774	545	850
491	202	500	180	461	383
492	106	701	800	135	351
493	784	149	327	753	329
494	91	361	167	554	317
495	671	356	933	451	281
496	307	161	610	271	897
497	360	279	802	947	235
498	517	679	942	90	464
499	815	440	830	762	885
500	249	943	254	857	93
501	253	27	675	939	74
502	78	199	687	960	556
503	272	923	472	839	499
504	275	799	360	373	599
505	288	918	371	254	596
506	411	12	454	130	494
507	103	230	670	355	255
508	477	198	903	319	263
509	444	189	439	928	47
510	443	883	902	880	878
511	468	130	887	214	984
512	460	146	898	887	268
513	571	97	71	152	857
514	433	159	891	218	985
515	15	172	900	225	979
516	505	84	44	902	859
517	575	895	689	903	986
518	39	62	912	869	280
519	576	860	989	838	988
520	464	177	3	612	944
521	577	857	355	835	230
522	431	57	976	760	943
523	522	848	350	982	110
524	509	903	13	64	935
525	252	847	14	488	922
526	250	54	15	734	125
527	646	195	385	26	853
528	269	869	422	501	975
529	232	507	340	710	99
530	634	275	24	42	194
531	941	391	26	523	971
532	877	395	401	989	213
533	193	780	932	41	946
534	191	406	324	560	50
535	545	409	33	660	224
536	164	602	929	652	129
537	992	597	34	640	972
538	913	578	35	992	299
539	915	367	390	585	290
540	138	447	493	37	432
541	116	561	503	467	518
542	637	555	145	388	698
543	486	534	754	466	693
544	410	469	184	817	399
545	471	473	795	393	994
546	403	521	200	394	675
547	420	475	797	967	669
548	393	485	171	103	378
549	430	566	261	397	503
550	30	644	811	941	364
551	373	614	814	408	361
552	760	455	646	423	356
553	763	365	201	97	462
554	691	301	272	16	582
555	362	319	576	447	820
556	769	325	600	448	337
557	417	742	574	454	589
558	690	745	758	780	328
559	348	286	219	462	834
560	361	695	730	441	517
561	447	729	658	984	507
562	294	771	529	82	769
563	298	363	271	124	312
564	988	16	318	109	301
565	985	260	228	957	845
566	797	453	96	75	297
567	798	484	90	108	524
568	452	468	242	148	521
569	448	8	700	382	46
570	950	243	500	913	699
571	318	4	218	621	577
572	166	919	212	30	25
573	267	563	867	529	603
574	220	36	762	703	14
575	99	991	968	499	542
576	52	277	12	491	104
577	114	26	8	741	122
578	883	646	747	748	762
579	23	725	956	468	840
580	93	845	185	758	870
581	329	181	264	761	875
582	210	643	864	773	331
583	550	635	87	787	889
584	499	862	885	433	343
585	667	371	527	395	377
586	679	374	134	829	801
587	440	354	137	840	382
588	700	567	893	859	138
589	428	153	629	379	916
590	725	343	895	864	413
591	747	715	281	867	418
592	345	115	38	31	459
593	790	415	328	332	927
594	338	314	594	882	288
595	804	81	494	883	121
596	268	422	602	274	772
597	258	441	356	894	770
598	921	353	40	945	748
599	11	58	771	38	0
600	732	803	72	826	289
601	766	797	19	890	285
602	925	570	953	889	869
603	928	634	827	671	802
604	945	854	936	836	143
605	917	175	909	757	246
606	916	302	85	785	197
607	74	297	159	599	234
608	67	186	84	474	221
609	76	928	868	220	210
610	77	948	883	493	828
611	96	954	888	401	831
612	871	497	904	506	838
613	865	241	789	510	790
614	856	234	265	170	325
615	109	233	746	526	807
616	845	225	419	232	844
617	722	979	391	157	19
618	121	204	221	208	433
619	133	208	352	537	454
620	61	10	534	363	467
621	812	905	581	455	53
622	146	777	308	132	472
623	218	326	990	258	476
624	753	30	197	34	482
625	627	794	245	595	400
626	717	859	247	669	973
627	996	873	718	993	387
628	528	411	684	450	54
629	638	162	693	352	520
630	284	21	696	619	373
631	331	885	701	630	571
632	333	333	707	3	529
633	658	44	714	311	370
634	662	14	872	194	88
635	260	880	874	424	80
636	456	29	876	239	931
637	351	875	408	229	933
638	413	914	407	255	358
639	222	892	404	259	573
640	549	17	402	223	942
641	228	900	918	926	962
642	698	798	27	659	590
643	421	926	25	938	842
644	438	39	292	943	969
645	605	628	17	203	955
646	678	120	294	265	171
647	676	366	947	955	60
648	520	376	951	167	57
649	561	377	252	147	127
650	885	355	339	965	903
651	494	378	870	140	44
652	847	379	224	69	101
653	70	313	322	22	113
654	68	291	317	12	188
655	350	436	290	985	407
656	503	283	337	990	682
657	115	282	628	219	655
658	895	106	108	275	338
659	342	481	568	868	363
660	34	364	532	999	668
661	615	90	448	775	993
662	706	102	592	513	691
663	759	564	833	300	333
664	256	51	835	470	323
665	768	56	199	463	369
666	954	220	673	812	315
667	483	258	515	576	353
668	180	240	590	527	745
669	283	247	843	431	733
670	299	581	276	824	602
671	625	574	851	738	780
672	810	595	188	726	379
673	321	11	473	387	799
674	618	242	713	596	267
675	654	147	678	718	498
676	532	231	22	357	436
677	958	228	598	692	402
678	850	7	974	415	239
679	695	264	796	767	764
680	752	131	335	98	612
681	597	759	735	139	510
682	556	884	129	714	366
683	45	59	77	747	469
684	687	704	573	552	952
685	245	817	358	631	841
686	774	698	831	268	345
687	777	636	32	171	917
688	280	625	37	195	843
689	944	605	378	445	907
690	943	590	386	440	900
691	841	83	905	403	887
692	851	103	47	392	881
693	105	442	509	862	856
694	98	870	86	907	810
695	927	874	852	870	159
696	881	410	487	892	811
697	335	764	865	307	812
698	541	362	119	794	68
699	719	206	722	471	6
700	40	2	2	2	35
701	53	6	9	15	64
702	56	9	23	29	79
703	57	20	28	35	86
704	59	42	112	45	112
705	60	43	113	78	126
706	73	45	127	83	132
707	75	46	141	88	150
708	123	48	150	91	174
709	135	60	157	101	201
710	137	63	190	112	205
711	161	64	202	127	215
712	163	69	208	143	219
713	170	75	209	156	276
714	171	87	216	158	278
715	172	99	223	163	294
716	194	127	232	164	295
717	195	187	289	221	300
718	196	196	296	267	302
719	198	202	300	269	308
720	207	205	305	278	326
721	217	209	312	291	334
722	261	239	326	346	335
723	271	259	332	370	346
724	311	274	346	385	357
725	330	278	353	405	396
726	356	280	357	407	404
727	359	281	375	427	405
728	365	296	380	429	419
729	369	307	389	453	424
730	375	321	394	541	427
731	376	327	406	559	428
732	387	341	452	561	490
733	390	358	490	567	493
734	391	380	514	570	511
735	399	405	522	572	513
736	414	454	531	583	550
737	425	459	607	611	584
738	466	486	615	616	604
739	478	489	626	666	607
740	492	504	633	678	608
741	510	510	671	701	611
742	558	514	686	709	621
743	581	515	699	719	628
744	596	519	712	724	647
745	609	522	720	725	663
746	619	526	725	743	667
747	620	549	731	751	705
748	632	554	743	770	723
749	641	571	756	778	726
750	649	608	764	782	727
751	653	626	766	789	728
752	664	627	767	795	731
753	666	650	773	802	732
754	668	674	775	806	736
755	673	676	779	807	756
756	682	680	781	809	773
757	701	694	784	815	781
758	716	696	788	818	784
759	721	703	790	820	791
760	727	709	803	823	792
761	734	717	806	830	796
762	741	721	813	831	800
763	744	723	820	834	803
764	756	724	824	853	809
765	780	731	825	860	814
766	781	737	826	861	815
767	783	740	828	863	818
768	785	757	837	872	819
769	792	806	844	874	823
770	794	819	849	876	824
771	795	820	857	877	825
772	796	823	860	891	827
773	799	825	866	893	835
774	800	827	869	905	846
775	801	830	890	908	848
776	805	831	892	909	849
777	830	836	896	911	851
778	835	837	906	918	854
779	836	839	911	920	868
780	848	842	921	923	886
781	852	843	931	934	888
782	853	844	934	937	893
783	854	849	937	951	894
784	884	877	944	952	896
785	886	878	952	953	901
786	902	888	957	954	904
787	906	890	958	959	908
788	907	896	961	961	911
789	919	898	962	962	920
790	930	904	964	964	921
791	933	920	965	970	948
792	938	951	966	972	958
793	942	952	970	974	960
794	953	957	971	977	964
795	967	966	973	978	965
796	968	978	979	980	980
797	984	980	981	981	981
798	990	997	986	983	987
799	999	999	993	986	998
