	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	194	198	988	346	279
101	364	467	252	468	309
102	474	678	106	12	271
103	336	539	262	138	536
104	772	560	863	180	557
105	119	593	769	146	924
106	742	644	904	509	410
107	428	574	523	324	18
108	833	135	821	704	589
109	936	698	577	206	987
110	40	769	653	992	569
111	801	954	643	413	119
112	335	377	187	237	461
113	160	340	631	216	235
114	107	697	456	253	110
115	603	207	184	540	933
116	777	175	645	337	551
117	566	94	339	258	331
118	879	349	951	553	336
119	308	795	971	193	668
120	206	418	50	642	165
121	649	506	131	832	586
122	528	12	791	542	457
123	938	169	124	547	942
124	354	247	426	424	917
125	640	433	829	26	518
126	552	279	777	392	566
127	230	441	104	189	963
128	643	703	276	590	82
129	11	85	247	834	393
130	440	202	94	440	560
131	506	248	367	328	456
132	881	163	415	442	246
133	865	339	739	484	889
134	615	533	920	14	575
135	996	625	108	517	624
136	247	139	778	371	657
137	57	976	26	0	882
138	784	38	506	792	163
139	954	606	271	34	449
140	657	555	302	648	228
141	567	458	624	167	769
142	62	266	502	20	211
143	579	33	425	191	40
144	17	972	574	570	226
145	774	577	254	397	326
146	462	348	66	410	629
147	142	217	279	347	430
148	456	95	359	657	397
149	691	563	580	567	241
150	636	435	994	310	148
151	549	485	381	678	135
152	711	210	695	384	65
153	222	302	40	285	947
154	808	561	926	90	700
155	606	761	434	445	432
156	468	124	340	569	343
157	650	131	630	511	797
158	542	479	238	209	919
159	792	291	786	336	333
160	91	559	291	168	885
161	59	293	158	238	436
162	175	347	871	585	339
163	452	374	855	656	207
164	425	854	637	47	394
165	744	845	374	311	452
166	346	63	213	203	406
167	147	821	545	560	808
168	224	736	407	765	258
169	637	125	805	595	183
170	873	968	428	669	167
171	613	702	587	829	36
172	20	196	810	421	935
173	536	552	956	423	587
174	502	837	266	881	368
175	307	384	462	438	481
176	287	553	657	3	374
177	878	187	567	195	307
178	517	482	343	447	451
179	796	90	154	683	100
180	70	484	833	448	881
181	281	438	700	713	511
182	776	195	879	333	801
183	458	78	71	525	652
184	401	475	309	466	104
185	393	388	669	808	588
186	988	256	293	406	392
187	546	406	679	38	447
188	683	365	573	103	353
189	666	500	982	197	367
190	561	333	898	475	68
191	172	774	417	700	330
192	729	304	713	148	133
193	207	631	325	496	168
194	68	540	270	254	814
195	273	273	269	124	384
196	250	26	362	949	361
197	168	343	598	480	233
198	13	193	582	342	463
199	438	73	242	231	606
200	195	473	989	619	379
201	123	588	350	620	438
202	244	786	5	280	335
203	143	21	326	330	582
204	348	167	209	163	497
205	94	578	265	702	650
206	968	919	627	172	785
207	340	197	491	672	896
208	651	997	172	207	213
209	421	720	123	43	563
210	386	11	185	528	739
211	434	106	891	341	346
212	202	935	399	213	761
213	717	160	865	214	443
214	303	949	311	360	437
215	664	709	290	262	561
216	193	975	4	379	143
217	109	648	882	91	11
218	627	126	90	535	553
219	665	230	842	320	303
220	929	754	950	302	285
221	298	415	930	41	231
222	431	200	424	58	976
223	28	753	402	523	773
224	350	757	983	882	555
225	280	669	298	856	598
226	481	546	21	639	59
227	116	619	485	295	845
228	246	185	613	507	969
229	608	867	585	563	383
230	155	209	569	947	126
231	624	344	850	187	323
232	103	64	797	718	288
233	712	590	919	879	389
234	389	228	231	863	311
235	586	951	535	16	992
236	778	852	649	446	414
237	56	639	976	859	875
238	950	885	551	399	1
239	554	643	406	154	975
240	218	71	442	165	603
241	341	320	841	104	63
242	92	136	522	555	691
243	548	68	590	566	91
244	180	459	709	63	796
245	272	5	792	65	593
246	629	422	817	36	224
247	430	549	659	87	542
248	565	146	248	426	659
249	253	797	439	471	525
250	8	537	697	169	284
251	187	683	186	991	949
252	47	233	629	606	194
253	154	238	969	45	469
254	697	469	281	111	585
255	469	742	25	422	702
256	100	8	562	846	916
257	443	39	505	556	332
258	111	630	552	629	458
259	353	933	235	68	694
260	763	512	525	348	440
261	162	54	557	139	784
262	349	353	672	500	105
263	694	184	519	184	109
264	497	547	230	954	988
265	755	605	935	548	763
266	523	358	96	632	523
267	679	787	601	433	804
268	668	507	586	304	280
269	409	685	621	221	290
270	685	649	856	537	736
271	478	231	218	685	230
272	439	508	320	942	101
273	323	134	224	181	200
274	374	107	55	110	281
275	698	516	473	574	498
276	121	10	467	474	242
277	30	59	36	461	613
278	314	283	327	394	512
279	22	717	947	42	578
280	139	528	853	776	20
281	55	92	608	327	994
282	135	994	11	66	180
283	659	755	906	630	564
284	383	241	650	94	819
285	804	17	500	233	85
286	582	371	600	256	871
287	173	236	70	907	615
288	65	389	774	728	697
289	46	833	474	344	985
290	414	181	335	388	388
291	252	263	755	8	549
292	104	414	729	352	424
293	569	213	146	224	44
294	557	722	85	536	232
295	293	739	496	272	842
296	619	695	180	562	190
297	856	173	347	354	404
298	85	448	451	805	201
299	847	676	620	418	80
300	182	423	198	17	359
301	122	564	452	688	644
302	806	325	678	173	41
303	201	262	578	652	46
304	99	359	246	457	696
305	785	410	195	923	764
306	416	326	387	462	203
307	105	70	34	257	175
308	700	189	918	78	16
309	943	664	448	314	371
310	190	395	714	806	866
311	515	172	130	186	349
312	83	708	81	501	21
313	191	434	44	858	31
314	545	505	936	520	252
315	713	656	87	917	47
316	114	614	14	401	876
317	773	519	394	506	605
318	245	883	826	183	315
319	975	336	229	689	878
320	259	97	691	80	78
321	578	496	65	178	862
322	101	62	160	232	597
323	797	562	441	785	139
324	249	44	885	160	125
325	235	356	116	950	445
326	351	4	660	35	356
327	556	45	418	343	188
328	749	694	518	586	685
329	761	425	933	473	214
330	555	585	858	235	580
331	855	51	876	826	550
332	974	91	136	819	688
333	591	582	48	266	317
334	939	978	190	889	943
335	835	608	564	409	417
336	706	497	795	291	870
337	658	686	360	909	418
338	291	679	816	109	718
339	795	646	232	549	337
340	871	42	619	250	792
341	727	870	668	997	238
342	399	794	664	452	991
343	969	668	776	564	676
344	317	771	527	817	950
345	509	839	517	102	574
346	798	331	244	838	206
347	853	354	201	761	198
348	540	409	107	521	467
349	933	983	352	386	236
350	361	798	881	425	57
351	379	82	779	293	912
352	333	535	763	106	350
353	279	3	398	552	805
354	642	597	64	814	92
355	522	900	240	853	77
356	505	259	941	443	591
357	769	34	889	871	318
358	634	330	119	307	62
359	708	46	984	135	556
360	916	379	422	377	79
361	739	847	646	61	954
362	106	613	880	271	273
363	320	474	348	975	209
364	126	206	909	941	154
365	410	875	337	185	39
366	258	56	389	822	116
367	525	383	169	951	548
368	885	103	319	796	641
369	461	162	592	557	302
370	435	319	597	729	608
371	189	615	484	870	422
372	42	817	331	641	846
373	466	183	470	794	247
374	485	889	446	600	590
375	442	498	536	631	634
376	330	985	38	497	387
377	997	634	478	636	689
378	78	361	51	643	546
379	821	906	392	865	277
380	537	36	214	162	753
381	587	142	912	736	423
382	433	650	883	82	997
383	271	706	314	737	600
384	146	420	464	176	856
385	34	595	421	393	630
386	149	624	283	92	446
387	256	879	501	659	433
388	441	442	1	592	316
389	562	478	498	240	364
390	254	240	165	121	466
391	216	865	867	588	528
392	436	222	200	27	272
393	131	447	194	218	855
394	448	307	287	910	755
395	676	298	793	839	240
396	620	242	176	612	189
397	133	511	560	316	577
398	850	729	796	319	121
399	535	566	595	463	656
400	645	481	784	816	981
401	352	589	967	892	610
402	841	28	386	9	837
403	4	275	870	847	251
404	661	758	696	653	35
405	43	403	648	986	900
406	0	376	813	179	841
407	2	472	469	222	472
408	966	426	308	735	572
409	987	303	404	2	832
410	863	451	998	962	297
411	324	878	773	967	74
412	764	158	932	674	811
413	915	100	353	83	14
414	923	225	346	323	325
415	917	929	615	867	268
416	787	400	401	981	378
417	861	705	706	943	834
418	660	401	866	759	373
419	978	918	202	874	661
420	74	370	19	467	407
421	373	896	472	95	720
422	108	310	13	978	565
423	828	243	390	576	263
424	210	554	742	301	87
425	292	182	377	603	901
426	309	514	409	913	892
427	73	920	962	984	501
428	524	770	173	265	377
429	192	378	449	300	698
430	963	842	245	544	197
431	570	439	351	376	428
432	283	470	515	946	826
433	539	814	167	414	728
434	510	807	197	661	532
435	883	943	765	995	744
436	19	772	689	101	686
437	906	610	806	105	850
438	826	372	852	417	515
439	902	87	111	916	475
440	532	939	524	920	283
441	842	114	995	315	99
442	895	645	155	989	140
443	217	793	444	983	124
444	696	599	364	787	521
445	543	251	83	880	774
446	982	155	509	351	602
447	344	581	707	621	707
448	728	556	785	750	468
449	760	203	304	773	772
450	832	140	122	831	402
451	779	991	228	527	210
452	140	277	188	723	479
453	471	819	665	246	674
454	417	660	250	236	642
455	924	102	814	861	151
456	360	471	651	959	400
457	39	398	356	583	225
458	262	701	181	192	867
459	703	696	10	508	301
460	328	227	178	998	416
461	568	550	125	5	19
462	813	245	416	539	157
463	301	341	801	963	853
464	331	850	728	194	716
465	593	926	846	855	978
466	550	99	222	136	0
467	356	886	277	268	439
468	48	652	138	876	64
469	919	436	771	229	229
470	445	285	764	64	635
471	653	143	603	125	984
472	794	301	162	888	786
473	678	600	479	767	462
474	369	522	539	54	670
475	310	627	12	196	910
476	359	501	949	403	51
477	527	832	591	778	995
478	51	350	100	71	500
479	998	518	900	974	813
480	817	416	942	142	636
481	845	48	0	335	181
482	228	286	686	402	939
483	839	258	435	609	631
484	912	580	625	31	665
485	362	445	568	441	266
486	136	591	397	369	176
487	184	570	3	274	327
488	404	211	216	522	708
489	648	651	211	640	989
490	368	314	148	227	829
491	297	992	272	551	415
492	625	443	916	478	502
493	597	489	570	988	839
494	641	31	256	241	760
495	577	592	718	415	491
496	176	440	17	13	96
497	241	367	354	763	489
498	290	362	193	664	621
499	232	816	8	40	505
500	480	455	115	382	803
501	985	9	680	738	164
502	901	382	150	711	95
503	584	430	77	396	974
504	529	609	212	145	754
505	267	880	957	531	680
506	296	115	737	902	626
507	957	971	342	122	986
508	971	818	837	918	964
509	704	928	375	174	717
510	807	29	225	670	681
511	868	764	758	361	962
512	800	905	859	753	484
513	633	726	800	760	831
514	646	957	767	332	239
515	358	212	328	387	396
516	751	381	901	141	693
517	464	917	67	772	731
518	803	543	487	411	740
519	138	981	869	67	790
520	551	628	454	267	750
521	811	982	905	270	358
522	150	966	931	940	205
523	753	2	654	385	932
524	370	572	743	72	278
525	387	932	41	420	102
526	953	869	300	862	50
527	239	743	292	714	886
528	512	923	626	407	499
529	866	843	874	532	828
530	905	959	735	707	751
531	770	450	486	807	249
532	735	987	205	579	727
533	810	980	720	212	398
534	843	18	324	514	43
535	300	281	862	883	292
536	914	677	588	33	628
537	390	80	658	793	259
538	342	779	892	908	122
539	32	35	633	693	653
540	771	6	285	451	827
541	413	746	803	618	623
542	472	280	97	730	6
543	450	278	251	450	583
544	695	192	35	914	61
545	558	714	609	470	663
546	128	633	369	751	519
547	931	27	868	499	946
548	544	150	730	297	60
549	196	831	431	720	840
550	221	740	529	743	155
551	837	494	332	939	276
552	9	81	831	481	370
553	347	292	605	945	669
554	86	83	530	454	529
555	921	297	47	143	810
556	743	663	547	869	328
557	617	635	133	982	923
558	834	658	612	529	612
559	962	130	963	980	859
560	144	145	670	431	413
561	670	895	166	97	182
562	54	704	403	278	614
563	77	864	6	802	98
564	886	862	610	698	382
565	145	315	95	703	799
566	265	568	349	157	723
567	375	322	652	891	144
568	983	723	450	924	952
569	446	719	317	74	179
570	759	834	493	878	97
571	573	888	151	677	369
572	967	567	790	132	351
573	614	276	888	108	270
574	166	892	798	370	931
575	274	804	667	635	399
576	437	675	693	593	496
577	18	20	237	790	705
578	918	205	86	46	672
579	621	806	430	705	920
580	612	584	221	770	386
581	705	914	378	561	138
582	495	863	746	48	166
583	521	515	72	868	869
584	844	186	73	57	322
585	130	902	489	722	4
586	322	841	896	686	517
587	896	674	628	245	998
588	411	468	268	977	816
589	583	915	322	56	639
590	932	153	157	666	953
591	403	521	974	372	940
592	311	201	722	126	221
593	198	636	579	259	227
594	799	642	274	395	714
595	473	55	31	840	158
596	420	491	109	158	888
597	96	274	395	202	703
598	447	424	358	362	547
599	49	327	929	49	554
600	972	848	495	541	973
601	261	558	23	734	977
602	75	419	788	50	682
603	734	964	993	140	391
604	927	799	690	149	419
605	419	308	507	647	559
606	151	890	899	681	662
607	715	75	966	835	113
608	667	7	313	747	955
609	118	526	576	964	112
610	533	741	731	800	54
611	395	680	419	495	854
612	747	282	913	887	507
613	854	334	391	726	129
614	170	113	61	965	825
615	69	69	849	170	911
616	887	391	365	782	667
617	942	385	781	966	338
618	365	622	616	112	533
619	716	873	754	957	836
620	476	427	137	204	127
621	682	941	964	890	893
622	161	260	766	741	835
623	980	164	715	972	174
624	305	937	840	789	607
625	719	149	893	380	376
626	268	911	835	911	930
627	731	364	699	153	483
628	605	16	408	29	715
629	609	174	802	625	908
630	616	699	29	81	770
631	781	908	675	220	427
632	494	60	733	239	844
633	113	945	429	127	73
634	486	313	27	305	749
635	908	454	825	286	67
636	852	749	217	934	72
637	599	904	677	164	818
638	67	836	127	836	308
639	662	531	113	373	408
640	251	220	559	427	838
641	945	544	662	775	887
642	220	573	682	69	131
643	29	204	305	937	965
644	164	486	890	921	493
645	493	373	895	757	363
646	396	43	457	137	800
647	809	89	132	768	909
648	294	782	144	667	809
649	372	996	33	818	411
650	930	803	921	905	599
651	289	844	296	830	132
652	205	766	844	303	802
653	376	296	965	955	646
654	427	955	385	929	558
655	89	789	782	762	647
656	499	825	382	75	212
657	483	874	666	429	454
658	654	759	531	809	847
659	575	901	177	493	282
660	163	495	937	766	735
661	928	745	179	338	699
662	153	781	996	492	28
663	288	396	934	828	531
664	286	802	701	260	524
665	306	738	952	799	25
666	830	510	827	993	573
667	840	934	371	985	584
668	977	429	145	296	993
669	992	809	828	225	781
670	818	626	220	660	375
671	726	57	953	680	775
672	408	14	712	928	267
673	601	407	924	545	27
674	913	177	887	282	971
675	61	499	39	633	289
676	934	767	532	968	324
677	740	952	775	701	868
678	269	727	811	848	980
679	984	239	789	408	848
680	709	827	32	317	300
681	848	912	843	810	675
682	45	332	2	130	767
683	745	487	514	875	745
684	722	545	968	758	759
685	260	444	28	663	874
686	487	132	986	864	677
687	60	940	543	795	921
688	98	128	864	572	706
689	444	647	9	510	196
690	647	101	233	98	791
691	790	289	289	786	807
692	955	737	639	953	658
693	72	437	420	952	150
694	663	411	981	390	265
695	429	716	704	294	843
696	836	859	141	554	510
697	768	784	635	617	617
698	179	77	902	614	86
699	805	711	102	926	913
700	7	23	7	15	15
701	15	24	15	22	22
702	23	30	22	30	24
703	24	37	24	37	30
704	50	49	37	53	37
705	52	58	52	76	52
706	53	76	84	88	53
707	76	84	89	129	88
708	84	88	112	134	93
709	93	93	117	147	115
710	115	118	120	152	117
711	117	120	129	156	120
712	120	127	134	159	147
713	134	137	152	171	153
714	137	147	159	199	159
715	152	156	161	208	161
716	171	159	171	215	171
717	204	161	199	219	208
718	215	170	208	223	215
719	234	199	215	226	219
720	248	208	219	248	234
721	275	219	223	255	255
722	284	223	261	269	294
723	295	226	264	275	295
724	299	234	275	284	299
725	318	261	286	306	312
726	321	264	288	312	313
727	329	288	294	334	321
728	338	295	299	345	329
729	345	306	312	355	334
730	357	312	318	357	345
731	380	318	321	363	357
732	385	321	334	405	365
733	391	329	355	412	366
734	405	355	357	453	405
735	460	363	363	455	412
736	465	366	380	460	455
737	477	380	412	465	459
738	488	405	432	482	464
739	492	449	453	488	465
740	503	453	459	491	476
741	513	460	460	504	477
742	516	464	476	512	482
743	520	465	488	513	490
744	538	477	490	526	494
745	541	488	492	534	503
746	571	490	494	538	504
747	576	503	503	559	513
748	581	504	504	571	520
749	594	530	513	575	530
750	596	534	516	581	534
751	604	538	533	594	571
752	611	571	534	596	594
753	618	576	558	599	596
754	632	596	575	601	601
755	638	602	581	602	604
756	671	607	594	604	611
757	673	611	602	611	616
758	681	638	607	616	622
759	684	655	618	623	655
760	687	672	622	655	684
761	690	673	623	671	710
762	692	687	638	673	724
763	701	692	655	682	726
764	710	710	671	684	732
765	721	715	673	690	733
766	724	721	681	692	734
767	725	724	684	709	748
768	732	725	687	710	752
769	741	731	721	719	756
770	748	756	725	721	757
771	752	777	741	724	762
772	754	780	747	725	780
773	756	783	752	732	812
774	762	812	756	748	815
775	766	815	762	752	820
776	780	820	768	780	822
777	783	823	820	788	823
778	812	830	824	812	824
779	815	849	830	815	849
780	822	851	851	820	851
781	849	857	857	823	857
782	851	860	860	824	860
783	872	877	872	857	890
784	877	884	877	860	894
785	884	897	884	872	897
786	899	898	897	877	898
787	907	899	903	893	903
788	922	903	911	894	904
789	925	907	922	897	907
790	941	922	925	903	922
791	944	925	927	938	927
792	956	938	944	948	938
793	958	944	948	958	944
794	960	948	958	960	948
795	961	961	961	961	958
796	970	979	970	970	960
797	979	990	973	973	970
798	990	993	979	990	972
799	999	999	990	999	979
