	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	618	506	381	768	558
101	321	968	929	22	163
102	324	381	460	953	373
103	28	333	679	688	504
104	147	539	793	902	907
105	217	26	9	553	469
106	45	411	897	621	166
107	725	501	575	775	675
108	308	854	899	758	131
109	902	396	86	61	96
110	756	837	539	562	65
111	170	239	971	424	28
112	764	135	26	103	628
113	617	972	223	256	24
114	510	153	889	729	263
115	570	745	746	215	101
116	923	531	222	293	608
117	873	334	653	948	972
118	565	899	12	537	767
119	852	645	129	157	603
120	671	895	795	184	161
121	668	897	286	95	120
122	745	38	982	379	529
123	837	818	457	635	753
124	670	33	791	991	942
125	329	12	97	141	157
126	798	374	199	657	466
127	801	627	283	567	215
128	541	907	10	614	230
129	839	230	188	140	944
130	428	585	769	420	837
131	692	437	904	836	948
132	152	774	882	926	744
133	763	677	864	448	688
134	462	281	17	382	839
135	62	439	145	767	140
136	506	929	801	595	272
137	154	241	771	45	617
138	113	70	796	520	476
139	53	915	825	173	656
140	232	723	417	867	124
141	640	705	551	399	482
142	727	923	867	72	610
143	557	711	351	13	871
144	810	497	155	189	280
145	781	62	937	454	930
146	230	648	931	664	995
147	950	175	287	259	801
148	344	298	231	431	804
149	728	73	595	776	235
150	67	759	870	66	92
151	953	874	590	16	258
152	780	59	926	343	672
153	571	97	501	686	289
154	372	60	211	333	791
155	532	559	871	232	870
156	638	610	533	146	410
157	201	9	957	291	841
158	735	68	270	722	147
159	246	508	181	185	829
160	651	385	11	337	290
161	503	710	108	14	423
162	977	889	442	135	467
163	261	36	677	616	168
164	665	971	695	736	903
165	568	979	245	858	667
166	70	823	476	967	351
167	776	130	519	560	822
168	20	992	328	585	525
169	120	553	714	121	19
170	59	163	264	648	646
171	841	350	452	80	644
172	930	841	285	823	866
173	653	5	621	539	705
174	328	634	629	517	913
175	303	406	964	314	60
176	804	885	956	153	251
177	93	170	246	815	57
178	150	485	242	224	582
179	833	158	21	12	122
180	193	706	767	203	242
181	234	145	932	501	144
182	972	434	339	163	615
183	224	63	144	176	198
184	885	285	713	440	814
185	298	651	893	856	659
186	956	187	577	26	554
187	373	987	598	970	211
188	513	764	289	455	533
189	895	484	374	570	889
190	469	535	382	352	933
191	794	310	185	989	894
192	771	819	325	816	382
193	380	697	47	36	953
194	779	448	453	196	977
195	717	422	230	698	642
196	22	738	881	418	446
197	762	945	498	630	927
198	195	642	359	993	424
199	99	312	785	623	361
200	168	315	420	504	321
201	558	558	798	980	796
202	116	24	390	924	135
203	649	242	856	986	997
204	881	798	570	410	165
205	658	282	682	8	519
206	410	286	8	869	439
207	713	330	319	563	121
208	399	199	290	945	79
209	122	769	13	233	316
210	605	227	197	197	207
211	924	444	314	499	856
212	495	562	70	588	842
213	135	504	271	145	867
214	85	303	224	603	630
215	290	233	558	954	433
216	251	424	33	172	451
217	421	900	467	705	139
218	121	10	620	67	954
219	293	259	730	738	585
220	330	644	248	421	653
221	842	635	631	57	639
222	253	389	489	846	196
223	516	319	842	351	389
224	633	11	5	417	700
225	155	577	989	433	183
226	632	30	350	442	548
227	161	550	3	909	67
228	351	162	116	328	307
229	359	314	439	720	11
230	144	498	424	65	797
231	103	347	73	561	452
232	32	892	418	241	311
233	821	197	700	457	85
234	314	172	530	495	720
235	913	491	266	766	337
236	685	919	229	511	63
237	448	717	209	452	154
238	431	183	913	907	587
239	659	44	340	346	418
240	586	475	66	892	36
241	417	433	71	68	68
242	485	869	552	20	440
243	433	3	491	713	606
244	307	198	186	254	629
245	291	17	654	828	270
246	603	646	193	690	838
247	637	935	215	555	303
248	11	643	833	913	501
249	262	18	659	839	566
250	354	146	81	968	598
251	766	793	608	235	233
252	440	669	337	940	414
253	700	850	309	105	465
254	56	676	469	315	580
255	271	211	765	213	309
256	18	441	784	946	586
257	342	613	451	258	116
258	299	473	597	285	109
259	160	994	95	632	394
260	546	664	633	221	189
261	624	817	352	796	601
262	77	698	821	467	384
263	805	20	707	236	30
264	94	845	950	536	589
265	42	82	709	817	302
266	162	593	758	162	881
267	4	207	613	237	190
268	461	870	495	652	536
269	389	320	880	463	14
270	34	933	399	138	339
271	109	740	582	995	475
272	29	409	669	406	991
273	552	193	250	165	935
274	473	34	237	723	259
275	409	54	331	397	463
276	198	589	983	581	388
277	643	71	969	384	530
278	139	590	7	594	438
279	587	624	689	403	564
280	729	348	216	302	417
281	51	291	360	306	832
282	879	258	522	330	461
283	468	606	65	390	511
284	474	561	638	484	569
285	835	458	409	54	853
286	137	256	67	425	745
287	439	639	172	923	910
288	796	787	36	461	44
289	452	449	988	336	0
290	865	865	585	426	167
291	528	340	930	481	437
292	189	471	177	910	792
293	173	430	122	160	483
294	196	704	892	40	41
295	533	652	718	90	285
296	138	668	448	549	331
297	176	742	252	320	657
298	252	656	44	319	676
299	336	362	885	535	555
300	283	438	484	269	268
301	945	518	251	759	315
302	216	185	425	874	18
303	335	384	148	422	668
304	734	880	367	446	498
305	420	307	464	274	518
306	360	124	949	78	231
307	350	608	348	71	238
308	444	327	657	33	969
309	629	926	567	881	542
310	828	140	623	992	708
311	207	354	104	643	271
312	808	755	167	880	356
313	606	388	686	307	20
314	705	186	505	327	988
315	906	533	906	187	82
316	792	997	426	181	605
317	52	382	125	510	694
318	235	160	562	354	677
319	466	574	38	474	736
320	140	920	797	377	279
321	379	262	637	441	40
322	545	279	643	83	685
323	430	842	947	753	892
324	608	403	0	556	126
325	383	630	178	82	947
326	441	379	214	853	214
327	698	56	624	475	631
328	256	582	649	148	335
329	78	500	444	260	91
330	912	306	474	17	989
331	65	563	560	470	210
332	555	505	151	438	430
333	260	277	485	271	78
334	272	556	392	94	497
335	68	7	603	590	206
336	850	821	850	592	546
337	356	468	154	49	652
338	761	580	198	631	378
339	284	530	865	870	458
340	505	206	569	47	359
341	347	78	557	947	556
342	697	161	470	194	392
343	310	588	605	218	4
344	259	302	90	963	406
345	614	469	235	362	436
346	488	766	320	832	221
347	309	976	302	191	415
348	100	478	233	629	31
349	273	944	327	137	213
350	625	359	764	347	413
351	47	243	389	689	228
352	578	420	536	167	634
353	40	289	146	525	574
354	822	474	766	569	148
355	149	862	291	168	457
356	797	678	32	371	151
357	446	940	652	110	249
358	683	21	587	478	976
359	191	435	792	674	247
360	362	440	853	316	246
361	425	797	335	154	505
362	275	683	580	183	252
363	206	605	846	195	224
364	579	686	304	409	358
365	13	336	525	193	181
366	465	100	254	111	327
367	582	954	504	304	909
368	438	103	394	310	336
369	436	169	72	465	350
370	17	423	107	826	855
371	442	442	1	802	500
372	9	414	162	765	882
373	556	566	187	669	404
374	414	196	138	685	528
375	437	426	858	773	456
376	634	181	375	916	807
377	907	436	678	136	265
378	856	203	194	361	143
379	108	685	995	500	479
380	7	167	645	447	769
381	8	879	646	266	284
382	222	260	869	226	613
383	172	139	630	108	16
384	708	213	435	360	885
385	390	615	816	56	963
386	481	991	403	63	330
387	933	356	933	988	773
388	878	511	247	659	560
389	648	985	378	471	563
390	435	263	137	414	365
391	566	560	123	548	371
392	458	91	446	792	940
393	320	832	502	951	397
394	562	720	586	678	998
395	403	51	697	180	125
396	114	132	354	540	110
397	126	514	523	672	614
398	744	555	479	423	557
399	936	383	213	875	59
400	365	451	293	42	422
401	145	465	133	394	377
402	434	709	935	415	299
403	274	736	651	586	949
404	250	470	650	838	624
405	679	983	364	3	578
406	331	443	415	523	226
407	998	4	244	238	443
408	691	184	430	709	523
409	194	966	622	466	751
410	306	28	176	704	689
411	703	739	347	557	875
412	853	238	951	879	697
413	954	415	115	253	749
414	774	364	588	656	590
415	333	367	668	109	622
416	817	331	262	262	859
417	769	975	14	392	774
418	916	293	40	998	939
419	0	479	879	246	602
420	694	833	817	214	273
421	704	326	500	822	200
422	123	210	704	311	650
423	971	339	136	348	691
424	210	274	841	545	383
425	551	115	998	206	665
426	502	273	109	207	1
427	695	85	298	497	175
428	548	695	778	508	739
429	676	226	762	730	816
430	182	126	161	859	975
431	107	231	868	335	924
432	133	694	739	491	828
433	709	488	941	513	845
434	249	839	776	683	194
435	536	125	51	862	188
436	968	679	976	222	502
437	443	81	160	700	808
438	969	564	402	619	281
439	577	114	404	38	869
440	244	361	277	216	669
441	593	802	578	606	761
442	187	292	912	31	209
443	525	236	826	807	850
444	269	708	579	997	553
445	115	528	362	35	658
446	221	251	545	612	848
447	755	120	326	324	992
448	175	329	720	785	402
449	340	912	755	87	62
450	768	247	672	91	593
451	218	672	279	761	21
452	899	416	434	192	367
453	497	136	406	303	138
454	180	94	574	949	874
455	483	8	573	889	759
456	832	454	564	125	201
457	393	859	85	34	104
458	476	57	742	0	47
459	190	177	806	737	236
460	539	906	441	865	698
461	146	266	94	564	740
462	523	782	473	552	105
463	678	578	346	443	180
464	706	372	165	257	229
465	569	540	87	393	447
466	975	537	454	677	241
467	650	398	281	975	374
468	311	182	218	344	468
469	615	90	431	728	87
470	281	949	221	488	51
471	228	376	232	806	93
472	915	649	600	143	333
473	800	941	48	282	445
474	740	521	201	882	723
475	983	834	916	829	266
476	957	638	238	855	612
477	690	592	294	462	182
478	682	42	456	468	573
479	30	749	782	186	706
480	72	467	518	593	971
481	599	982	41	272	97
482	163	867	52	372	197
483	153	495	967	978	900
484	826	137	768	401	762
485	471	719	891	633	785
486	136	568	272	126	577
487	997	546	963	9	301
488	254	445	691	341	702
489	753	545	190	551	784
490	540	807	615	583	599
491	751	142	212	106	802
492	215	106	292	809	225
493	396	48	157	496	950
494	845	365	180	868	464
495	247	401	855	751	326
496	749	951	4	941	346
497	941	650	169	64	393
498	279	552	610	229	292
499	664	107	664	396	686
500	258	622	422	653	491
501	73	631	356	363	588
502	537	875	488	169	115
503	348	16	365	81	862
504	105	599	100	620	920
505	620	325	256	139	153
506	86	737	919	703	600
507	104	633	377	636	379
508	739	786	592	579	836
509	111	217	513	574	550
510	919	378	927	209	35
511	612	143	34	250	119
512	404	14	747	388	826
513	806	173	173	445	375
514	978	806	920	280	755
515	619	275	774	639	364
516	966	149	119	270	295
517	711	189	737	297	368
518	988	767	217	861	834
519	807	809	111	542	812
520	241	35	506	661	647
521	480	228	859	265	325
522	992	761	612	104	203
523	550	128	909	888	515
524	361	425	837	808	521
525	478	619	900	122	583
526	280	980	828	402	513
527	91	341	19	178	986
528	535	600	888	763	512
529	447	332	895	48	868
530	202	225	535	528	400
531	515	77	581	202	635
532	445	201	24	5	503
533	57	904	401	871	323
534	92	155	421	480	897
535	131	373	733	950	489
536	647	836	83	920	980
537	742	957	124	75	282
538	292	87	803	170	27
539	301	658	299	891	682
540	487	515	265	983	171
541	561	377	627	473	277
542	83	756	994	323	64
543	840	803	268	599	363
544	868	358	35	92	74
545	583	64	829	814	561
546	375	209	986	566	484
547	809	301	763	711	901
548	855	195	77	778	717
549	790	978	648	301	636
550	980	202	722	848	726
551	591	69	527	793	946
552	48	83	416	642	919
553	963	896	274	132	827
554	143	58	802	514	332
555	119	614	132	149	734
556	374	779	862	702	232
557	871	418	658	609	803
558	265	647	496	547	840
559	151	410	728	800	965
560	982	400	814	158	176
561	341	746	428	959	846
562	726	888	773	663	132
563	719	636	619	41	987
564	456	939	936	171	888
565	987	696	509	890	974
566	401	883	883	506	376
567	601	722	195	147	86
568	613	481	924	284	416
569	818	223	64	231	978
570	527	878	184	101	916
571	962	93	789	762	661
572	542	261	158	982	133
573	931	102	106	985	158
574	636	522	202	97	496
575	785	371	515	640	283
576	300	296	696	30	764
577	661	743	735	790	800
578	722	804	690	408	819
579	660	343	514	225	597
580	19	496	397	962	454
581	376	519	478	2	727
582	573	6	660	660	267
583	416	827	786	782	73
584	346	370	966	369	99
585	24	222	800	878	77
586	944	450	342	212	102
587	836	344	450	647	962
588	773	280	6	199	428
589	521	794	275	296	994
590	317	131	902	521	813
591	512	660	358	541	809
592	642	702	779	268	621
593	184	758	311	617	831
594	883	847	385	451	240
595	970	726	269	957	931
596	413	538	131	939	6
597	646	472	675	819	835
598	323	453	965	74	212
599	358	584	568	275	462
600	654	464	805	786	100
601	74	503	225	883	878
602	567	864	516	413	805
603	657	75	953	300	938
604	787	937	639	735	72
605	861	447	996	29	696
606	106	784	228	278	369
607	369	297	369	342	674
608	267	675	665	370	95
609	621	487	601	600	984
610	296	283	102	532	300
611	848	848	974	601	317
612	927	212	322	69	904
613	297	570	300	667	890
614	166	902	332	526	278
615	759	543	896	966	923
616	128	771	179	373	370
617	896	92	827	142	551
618	353	729	296	864	714
619	69	547	874	376	297
620	803	901	962	124	735
621	784	959	517	787	733
622	239	905	863	492	955
623	967	322	811	929	896
624	75	602	166	682	396
625	811	248	200	863	693
626	939	304	503	743	584
627	543	595	890	450	39
628	813	29	831	509	322
629	472	863	934	527	510
630	901	890	968	847	728
631	696	955	25	810	532
632	370	567	363	572	472
633	349	815	901	952	921
634	368	353	667	179	815
635	142	573	743	928	294
636	289	934	944	641	823
637	385	981	790	174	912
638	667	908	706	239	328
639	908	581	729	522	343
640	101	363	810	482	825
641	663	674	487	102	811
642	450	99	343	984	663
643	204	101	693	834	876
644	522	597	120	914	952
645	60	703	543	977	239
646	974	278	171	726	52
647	294	753	130	934	703
648	854	663	261	818	432
649	509	591	472	693	43
650	411	831	317	223	623
651	464	825	398	718	908
652	364	789	28	965	750
653	96	932	31	972	549
654	492	814	462	385	854
655	932	245	813	670	155
656	929	886	29	332	763
657	627	911	591	974	911
658	54	45	96	453	932
659	844	914	961	387	174
660	322	611	952	831	770
661	921	526	979	164	707
662	287	607	625	338	786
663	584	200	635	43	398
664	985	928	731	911	818
665	245	174	835	411	308
666	905	510	429	961	886
667	955	952	866	750	572
668	352	499	334	955	847
669	747	95	970	512	641
670	286	727	547	876	179
671	743	816	2	734	531
672	499	366	532	908	670
673	834	572	55	531	790
674	866	770	308	840	22
675	408	2	905	267	626
676	529	731	371	905	810
677	914	240	609	529	493
678	934	49	387	943	334
679	171	39	981	334	844
680	268	43	921	295	481
681	2	964	984	429	611
682	517	27	240	554	772
683	863	204	844	794	756
684	118	489	918	571	54
685	712	812	670	707	338
686	524	626	529	152	499
687	597	512	830	692	517
688	815	192	492	602	979
689	961	781	628	294	591
690	179	844	876	240	565
691	429	714	626	747	981
692	645	757	305	507	324
693	928	321	432	714	507
694	248	943	911	380	718
695	641	724	531	719	699
696	130	147	725	427	781
697	778	961	607	938	731
698	799	772	524	220	680
699	666	429	699	835	113
700	15	23	15	15	15
701	23	31	22	27	25
702	39	37	23	37	37
703	43	46	27	46	46
704	46	55	37	50	50
705	49	76	39	53	53
706	50	80	50	58	61
707	55	84	61	76	80
708	61	88	84	88	88
709	76	89	89	98	98
710	84	113	112	112	112
711	89	118	113	127	117
712	98	127	117	129	127
713	117	134	127	130	129
714	134	150	134	134	150
715	164	156	141	156	159
716	192	159	150	159	164
717	205	164	152	204	205
718	220	205	159	208	208
719	288	208	205	219	219
720	295	219	208	227	227
721	305	220	219	245	234
722	318	234	220	248	255
723	338	264	276	255	276
724	345	276	288	286	288
725	357	288	312	305	312
726	386	295	313	312	313
727	387	308	318	317	318
728	391	313	321	345	329
729	395	318	324	355	345
730	405	349	349	357	349
731	419	355	353	386	353
732	427	380	355	395	357
733	460	391	357	405	366
734	477	395	380	407	386
735	486	405	386	412	387
736	493	407	391	460	391
737	494	419	395	493	399
738	520	427	407	534	405
739	538	455	408	538	407
740	544	459	412	544	408
741	549	460	419	559	411
742	554	477	449	575	412
743	575	482	459	576	419
744	576	486	486	596	427
745	581	490	490	604	449
746	594	494	493	611	455
747	596	507	494	618	459
748	604	516	507	625	477
749	609	534	534	655	490
750	611	544	559	666	494
751	616	549	576	671	520
752	662	554	594	673	524
753	673	571	602	680	534
754	681	576	616	681	547
755	684	596	618	684	559
756	687	609	655	701	571
757	701	625	662	710	575
758	710	628	666	721	594
759	715	655	671	724	596
760	716	673	673	725	604
761	721	680	680	732	607
762	724	687	681	741	616
763	731	692	684	748	655
764	732	699	687	752	662
765	741	701	701	757	681
766	748	715	712	760	684
767	752	716	715	770	710
768	754	721	721	772	715
769	760	725	741	780	716
770	770	741	752	788	724
771	772	754	754	789	732
772	777	777	756	795	748
773	783	780	775	799	752
774	795	783	777	805	754
775	812	795	781	812	757
776	830	799	788	820	760
777	843	820	820	824	775
778	847	830	824	830	780
779	849	843	840	857	799
780	851	849	843	860	820
781	872	851	849	872	824
782	877	852	851	877	843
783	884	857	852	887	849
784	886	860	857	893	851
785	887	873	860	894	857
786	917	877	872	897	860
787	918	884	877	903	887
788	922	898	884	917	893
789	925	903	887	918	898
790	938	917	898	921	917
791	942	918	903	937	922
792	943	922	922	942	943
793	958	925	925	958	958
794	960	938	942	960	960
795	979	948	948	964	964
796	984	990	958	973	970
797	990	993	973	981	973
798	996	996	990	990	985
799	999	999	993	999	993
