	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	545	367	801	147	358
101	546	652	218	3	710
102	548	727	773	152	181
103	551	695	575	674	715
104	241	45	569	928	371
105	557	37	558	8	188
106	558	656	790	191	716
107	521	46	535	183	723
108	230	343	795	172	724
109	464	923	113	562	179
110	452	766	793	661	735
111	331	467	547	560	166
112	333	333	22	154	748
113	323	550	298	720	161
114	341	173	177	619	752
115	348	10	627	678	368
116	350	11	947	967	154
117	357	926	66	968	140
118	362	125	365	95	717
119	365	296	19	98	196
120	375	769	145	82	702
121	379	925	778	102	686
122	385	100	26	700	641
123	456	329	932	918	644
124	294	741	374	701	407
125	393	135	294	623	652
126	395	489	181	625	653
127	396	742	172	686	655
128	411	500	14	65	225
129	421	145	805	952	402
130	430	501	666	590	214
131	280	504	328	30	356
132	433	506	988	579	670
133	435	507	798	988	339
134	436	508	5	576	674
135	438	486	339	221	685
136	272	150	817	544	684
137	390	971	536	848	364
138	565	484	824	323	201
139	569	723	349	324	672
140	577	722	302	461	363
141	151	961	967	355	445
142	149	957	353	831	41
143	706	158	12	775	975
144	145	717	509	829	958
145	713	526	930	371	993
146	715	533	507	778	46
147	143	330	539	823	18
148	725	922	630	379	359
149	134	48	487	820	428
150	732	553	925	468	331
151	734	227	377	380	969
152	742	228	77	393	20
153	695	230	248	816	333
154	130	669	887	395	393
155	122	398	422	450	433
156	754	668	198	812	349
157	120	383	424	405	361
158	118	361	882	785	27
159	116	236	590	410	138
160	769	379	462	412	942
161	771	239	431	414	835
162	780	639	460	787	834
163	787	821	763	788	832
164	105	839	442	442	210
165	796	837	871	390	200
166	96	643	256	319	183
167	123	644	450	317	706
168	694	27	452	859	215
169	153	645	64	538	812
170	687	374	453	208	115
171	220	28	250	535	120
172	217	809	457	908	739
173	584	609	124	907	791
174	210	409	375	212	164
175	594	672	769	529	159
176	204	97	274	426	151
177	599	56	840	226	708
178	202	786	616	227	842
179	605	568	292	891	647
180	198	903	213	235	233
181	613	442	718	236	465
182	617	195	288	240	318
183	621	899	720	887	59
184	625	440	395	514	294
185	632	344	484	511	518
186	638	552	398	501	534
187	640	577	285	269	553
188	187	350	283	272	272
189	647	204	573	274	560
190	649	430	403	752	573
191	184	278	476	286	575
192	179	592	900	870	588
193	173	675	771	294	590
194	166	877	607	302	599
195	161	21	897	303	236
196	679	95	129	482	610
197	682	89	603	480	235
198	815	51	602	195	447
199	999	870	222	342	510
200	15	184	214	539	580
201	568	539	655	557	194
202	988	544	725	641	171
203	562	589	722	537	772
204	140	545	730	633	829
205	645	559	184	163	175
206	2	563	180	176	749
207	131	571	176	328	754
208	18	572	348	216	280
209	642	573	408	162	281
210	19	177	747	664	762
211	54	64	166	723	546
212	619	580	756	722	726
213	55	62	406	606	155
214	972	313	357	137	242
215	60	914	392	570	827
216	65	907	386	725	657
217	961	280	385	134	290
218	958	678	715	763	822
219	977	7	714	203	587
220	668	260	277	481	503
221	684	994	335	467	505
222	671	131	667	204	815
223	78	991	669	776	586
224	83	156	434	588	377
225	593	987	677	786	759
226	92	167	208	789	208
227	587	169	682	122	224
228	94	3	432	465	512
229	633	130	195	139	288
230	938	266	200	757	139
231	678	976	704	599	810
232	53	196	428	729	394
233	950	203	448	566	182
234	954	951	28	192	4
235	777	949	473	735	548
236	164	207	293	140	383
237	745	226	364	171	375
238	747	115	500	488	57
239	748	240	441	194	616
240	299	245	343	20	757
241	651	185	23	581	416
242	751	285	420	970	258
243	752	845	948	207	387
244	753	897	494	993	397
245	321	797	478	972	31
246	468	795	354	5	410
247	336	793	11	586	388
248	344	454	10	26	551
249	465	470	449	549	557
250	478	780	486	362	734
251	462	479	320	569	284
252	354	510	419	335	367
253	447	518	37	31	396
254	364	522	31	184	259
255	369	757	775	199	558
256	446	798	44	974	21
257	444	547	120	396	828
258	386	593	690	652	930
259	387	720	127	734	101
260	405	719	712	81	303
261	409	711	188	855	805
262	420	619	825	847	468
263	776	57	134	846	469
264	414	55	186	840	239
265	808	660	670	254	639
266	839	663	178	762	240
267	286	664	797	431	813
268	480	674	173	463	317
269	168	574	762	103	315
270	899	448	786	780	845
271	172	441	785	124	125
272	419	78	159	441	313
273	523	293	155	807	841
274	712	302	774	790	124
275	206	306	148	793	273
276	215	101	116	732	635
277	716	885	115	730	797
278	513	315	852	246	459
279	232	319	269	495	302
280	873	92	50	941	763
281	872	862	533	295	764
282	235	364	534	388	65
283	510	852	906	53	343
284	248	376	557	54	430
285	509	850	264	56	769
286	856	84	898	531	913
287	251	83	72	397	338
288	503	400	892	545	231
289	494	410	776	528	168
290	728	415	598	893	784
291	735	423	81	513	629
292	265	80	83	512	898
293	739	429	619	711	328
294	740	818	620	713	238
295	483	435	623	875	667
296	275	436	107	719	95
297	283	812	111	867	634
298	907	901	275	401	249
299	176	134	695	672	72
300	427	39	686	418	688
301	670	613	672	666	374
302	429	447	426	415	531
303	434	31	646	669	369
304	661	549	741	413	720
305	439	16	446	671	523
306	658	29	363	422	731
307	440	566	319	408	93
308	458	600	491	406	54
309	648	567	322	683	740
310	474	581	326	402	744
311	620	585	577	689	745
312	636	521	498	819	500
313	417	599	742	698	520
314	505	49	779	705	501
315	349	59	576	680	753
316	773	450	502	714	345
317	288	453	766	425	85
318	512	683	579	433	760
319	295	634	342	534	336
320	296	460	347	520	703
321	785	464	350	517	376
322	298	498	659	510	373
323	781	590	754	592	694
324	300	624	660	504	496
325	307	468	472	491	497
326	309	85	337	656	691
327	770	14	609	473	386
328	768	77	71	620	498
329	998	495	84	632	578
330	506	465	949	636	378
331	879	12	86	446	698
332	189	17	501	443	379
333	273	202	937	648	962
334	57	4	643	653	211
335	431	212	941	471	577
336	67	99	309	721	977
337	664	982	513	693	165
338	956	24	994	363	129
339	666	30	13	304	513
340	945	33	24	306	939
341	428	932	25	307	972
342	783	966	574	310	482
343	73	82	562	767	554
344	171	124	615	338	477
345	571	107	953	343	78
346	681	939	618	760	970
347	314	93	33	759	528
348	47	941	629	750	985
349	799	944	631	293	524
350	473	18	963	352	494
351	544	698	518	802	491
352	805	331	55	795	143
353	11	242	65	554	944
354	461	471	559	354	940
355	759	473	39	814	14
356	320	488	131	738	770
357	541	496	492	810	464
358	448	499	709	280	850
359	34	758	389	824	848
360	442	755	199	571	847
361	318	537	378	796	282
362	46	538	857	455	62
363	289	455	217	799	840
364	865	546	752	618	836
365	154	556	846	496	382
366	537	562	707	595	391
367	144	736	765	596	826
368	218	588	777	600	727
369	340	602	594	239	365
370	137	607	321	284	796
371	133	708	788	614	750
372	729	630	820	506	350
373	346	686	317	248	781
374	726	554	272	36	756
375	347	902	276	484	775
376	117	449	327	196	824
377	744	804	929	724	585
378	841	889	171	718	675
379	840	259	700	728	860
380	912	884	924	709	213
381	222	273	921	372	597
382	914	879	96	360	909
383	358	274	488	913	230
384	579	288	918	376	30
385	691	859	464	377	424
386	486	320	117	158	335
387	929	438	905	312	92
388	207	340	390	109	404
389	762	354	451	926	630
390	502	356	279	399	415
391	100	832	152	747	414
392	492	377	425	351	413
393	107	406	684	939	270
394	703	817	407	345	104
395	493	816	693	344	869
396	360	418	880	185	37
397	228	422	877	320	867
398	772	347	668	924	418
399	850	494	829	805	246
400	522	81	221	881	938
401	356	88	125	865	572
402	450	172	223	862	569
403	359	94	229	910	992
404	692	534	874	838	594
405	690	126	158	890	598
406	361	591	137	909	44
407	683	918	870	872	50
408	373	915	133	929	600
409	673	147	920	889	61
410	374	149	831	985	602
411	586	159	529	0	935
412	383	906	835	999	965
413	515	900	371	186	96
414	404	163	382	457	97
415	408	945	728	92	954
416	653	264	401	104	98
417	472	298	697	129	952
418	471	721	454	385	949
419	643	307	679	361	948
420	641	314	504	138	100
421	413	767	746	336	870
422	425	729	289	334	105
423	624	764	678	68	563
424	437	363	470	149	555
425	441	737	671	808	882
426	460	756	493	275	289
427	698	655	474	271	481
428	576	395	653	268	457
429	520	638	654	258	300
430	614	391	479	256	733
431	784	326	496	165	307
432	704	327	543	241	656
433	764	353	531	170	309
434	756	304	662	232	458
435	755	774	332	291	311
436	284	411	591	521	389
437	306	289	552	76	628
438	535	472	352	46	357
439	722	685	312	806	808
440	260	725	814	753	807
441	330	283	318	16	773
442	798	414	305	736	801
443	249	297	828	17	790
444	532	561	582	33	279
445	709	389	595	684	406
446	539	419	2	681	326
447	550	783	989	667	278
448	708	782	986	66	432
449	352	781	984	639	427
450	760	694	564	631	859
451	533	420	3	37	636
452	941	650	974	40	856
453	469	114	638	551	268
454	9	382	601	555	839
455	554	940	94	601	851
456	42	648	87	214	271
457	606	103	628	609	277
458	56	275	52	617	849
459	481	102	622	111	16
460	966	403	658	41	327
461	561	658	545	145	461
462	517	933	532	156	700
463	566	407	27	15	680
464	570	20	38	959	52
465	529	425	639	14	86
466	13	679	635	173	384
467	477	996	912	74	991
468	543	948	154	121	707
469	932	535	290	42	566
470	246	161	304	839	73
471	810	920	855	950	751
472	261	277	265	856	596
473	821	281	813	758	232
474	774	261	308	860	549
475	274	635	242	704	661
476	763	802	865	685	228
477	310	625	235	869	227
478	345	490	789	629	489
479	710	303	356	877	511
480	848	777	781	553	484
481	146	857	768	526	203
482	138	608	362	523	617
483	72	189	367	507	189
484	700	139	739	215	846
485	126	761	884	499	144
486	114	880	387	447	561
487	111	182	397	427	910
488	376	181	713	417	816
489	902	743	417	407	547
490	389	359	421	394	922
491	98	362	167	916	113
492	804	276	165	917	927
493	916	160	456	327	932
494	650	365	911	945	109
495	919	143	162	250	312
496	634	443	160	233	658
497	925	919	157	949	323
498	863	318	144	470	301
499	807	233	581	282	574
500	445	993	951	947	80
501	196	985	29	305	77
502	216	23	587	955	63
503	221	34	238	954	40
504	190	975	34	278	36
505	918	972	950	346	28
506	109	35	944	255	1
507	923	959	578	953	197
508	985	917	36	879	449
509	984	912	231	878	285
510	20	43	625	903	525
511	22	44	40	863	499
512	28	905	100	822	493
513	30	904	240	983	542
514	32	886	313	938	479
515	39	875	415	966	483
516	40	70	791	834	607
517	50	867	588	975	608
518	963	865	17	923	521
519	962	863	956	853	767
520	555	860	767	998	897
521	74	849	67	770	921
522	953	847	973	475	900
523	75	841	867	451	904
524	76	68	108	438	229
525	77	704	869	429	163
526	84	784	61	772	135
527	85	231	993	386	530
528	549	597	961	348	919
529	597	243	1	266	923
530	849	582	885	260	466
531	861	578	47	206	571
532	615	576	957	181	662
533	801	248	7	178	887
534	797	558	981	148	82
535	795	256	41	88	74
536	779	512	15	72	67
537	778	497	919	71	974
538	317	615	891	67	642
539	328	491	764	61	53
540	749	478	862	49	605
541	724	477	665	27	39
542	721	469	633	22	25
543	342	451	613	508	988
544	637	437	600	536	924
545	711	291	244	424	659
546	380	426	592	707	207
547	391	308	245	616	837
548	476	372	585	743	785
549	403	348	568	748	786
550	290	341	675	564	799
551	806	485	560	761	456
552	837	626	506	702	476
553	833	519	505	556	490
554	516	208	271	635	400
555	835	217	296	540	831
556	267	193	435	548	881
557	254	155	300	766	399
558	575	636	418	541	502
559	253	213	314	640	504
560	259	646	351	630	507
561	250	209	514	168	0
562	268	716	699	169	615
563	844	710	212	670	871
564	279	198	551	164	875
565	813	200	841	677	878
566	812	770	860	880	266
567	245	749	197	80	316
568	528	219	141	655	517
569	49	433	185	64	423
570	996	823	755	765	226
571	52	279	721	45	732
572	59	740	161	815	241
573	287	175	796	991	550
574	697	373	850	12	462
575	676	301	122	132	22
576	987	444	810	193	463
577	17	371	816	253	989
578	410	772	851	218	11
579	252	336	444	509	623
580	701	295	876	547	251
581	731	263	412	892	819
582	338	724	859	897	417
583	603	943	340	466	591
584	135	234	355	448	167
585	629	610	130	445	330
586	163	794	467	440	148
587	922	206	916	575	292
588	292	531	833	585	903
589	293	898	570	409	133
590	106	738	580	384	646
591	239	697	73	940	676
592	103	482	151	369	565
593	93	481	233	347	533
594	191	222	119	315	119
595	329	475	729	270	947
596	944	186	681	237	117
597	741	458	926	229	110
598	68	703	490	647	398
599	301	888	146	2	682
600	960	702	844	673	761
601	939	715	853	883	697
602	794	878	657	888	693
603	803	873	971	559	718
604	811	869	899	876	532
605	817	771	893	943	419
606	901	787	935	159	127
607	895	799	802	828	392
608	868	803	913	981	366
609	845	844	888	311	329
610	969	834	842	34	299
611	884	938	733	337	276
612	0	628	890	978	955
613	654	999	784	977	265
614	401	380	689	373	252
615	368	445	879	830	247
616	311	312	0	387	987
617	303	427	261	220	212
618	297	396	48	986	209
619	262	388	51	965	995
620	247	384	102	314	255
621	195	459	106	29	454
622	175	258	132	43	838
623	155	262	179	267	943
624	147	282	225	962	933
625	119	366	251	453	931
626	101	358	286	197	584
627	99	627	324	961	536
628	48	349	346	462	917
629	495	118	359	478	455
630	499	170	404	957	559
631	997	439	495	57	946
632	527	36	503	527	896
633	538	140	530	421	908
634	581	596	612	835	912
635	616	595	621	94	853
636	583	560	567	90	893
637	540	555	626	992	890
638	609	540	516	946	986
639	552	38	515	78	984
640	992	528	895	871	980
641	717	8	331	894	843
642	930	76	737	38	976
643	180	516	193	69	889
644	192	505	743	921	868
645	915	9	904	50	950
646	194	162	903	83	24
647	170	183	902	35	907
648	121	286	224	257	998
649	497	146	758	101	122
650	104	120	169	301	611
651	968	874	194	330	603
652	627	137	962	224	322
653	86	890	70	341	324
654	61	251	968	222	132
655	29	908	969	452	825
656	979	192	979	180	321
657	24	199	32	167	564
658	7	90	9	160	150
659	990	210	8	826	337
660	942	543	4	574	452
661	115	339	104	593	353
662	205	605	228	153	157
663	853	570	996	611	438
664	353	997	864	643	529
665	351	530	246	561	126
666	443	26	523	130	436
667	792	709	254	108	180
668	308	54	792	126	206
669	855	745	652	792	792
670	485	424	266	259	780
671	305	321	268	105	755
672	399	405	485	817	221
673	877	759	522	703	736
674	542	58	731	809	714
675	881	381	806	710	681
676	662	934	299	737	677
677	281	69	821	741	234
678	271	73	837	135	283
679	886	814	826	984	295
680	269	815	889	768	198
681	828	820	976	989	121
682	800	754	394	13	624
683	982	935	409	231	437
684	466	614	664	316	814
685	646	201	334	382	582
686	488	851	856	460	446
687	70	848	95	209	451
688	822	325	311	423	153
689	743	807	232	657	593
690	851	378	109	189	911
691	556	385	605	492	901
692	128	726	138	500	622
693	139	474	933	552	888
694	291	487	291	567	43
695	927	511	863	692	99
696	887	699	209	920	862
697	244	692	220	602	811
698	967	153	89	403	422
699	883	355	648	690	668
700	4	2	6	9	6
701	8	5	21	47	15
702	23	6	35	48	19
703	43	42	85	58	35
704	45	60	90	63	47
705	51	63	97	75	51
706	62	71	112	87	60
707	69	75	123	91	64
708	89	87	136	97	68
709	91	91	150	106	79
710	108	106	187	110	87
711	113	113	190	112	88
712	136	127	201	125	91
713	142	128	202	127	102
714	150	132	205	136	112
715	152	136	211	141	116
716	160	142	215	142	131
717	162	164	216	143	147
718	182	174	219	146	158
719	193	187	230	157	174
720	201	197	237	174	176
721	224	205	247	179	190
722	234	211	252	187	205
723	256	220	262	202	219
724	258	223	270	213	263
725	322	225	281	219	267
726	324	238	287	223	297
727	335	241	325	225	308
728	370	247	358	238	325
729	372	292	360	245	332
730	416	310	369	262	334
731	487	322	380	265	346
732	524	332	381	285	351
733	525	334	391	296	370
734	536	370	399	297	405
735	567	401	402	300	408
736	573	416	416	332	411
737	578	434	429	333	412
738	582	503	430	357	439
739	591	514	439	370	440
740	596	515	459	392	443
741	601	564	469	411	467
742	604	584	489	420	472
743	608	606	517	454	475
744	611	611	519	474	515
745	612	622	524	493	519
746	618	631	525	497	556
747	657	633	527	522	583
748	659	642	586	525	589
749	660	647	597	532	601
750	663	649	608	542	604
751	665	651	610	563	606
752	667	673	624	572	612
753	685	676	637	583	613
754	696	677	645	594	614
755	705	680	649	603	621
756	719	687	650	604	626
757	727	696	651	612	631
758	761	701	673	621	650
759	766	705	680	642	663
760	790	706	687	659	665
761	809	714	691	660	669
762	818	731	696	663	689
763	826	739	701	682	696
764	830	746	706	688	699
765	832	753	735	726	705
766	834	779	782	751	728
767	836	789	800	773	774
768	842	806	803	782	800
769	843	819	811	794	802
770	847	825	827	800	803
771	852	827	830	818	804
772	854	830	843	832	809
773	866	831	849	836	818
774	871	833	858	857	820
775	878	836	866	858	823
776	885	842	868	861	844
777	896	843	872	864	854
778	905	854	881	868	855
779	906	864	883	874	857
780	908	883	896	882	866
781	913	892	901	902	874
782	917	895	909	905	876
783	921	896	922	911	885
784	924	911	927	914	886
785	928	928	931	934	892
786	931	929	934	937	894
787	933	937	936	942	916
788	934	952	942	948	920
789	936	954	952	951	953
790	943	955	958	958	960
791	955	964	964	960	963
792	957	968	965	963	964
793	970	978	966	964	971
794	971	979	970	973	973
795	974	980	982	980	978
796	975	981	983	982	979
797	978	983	990	990	981
798	980	990	995	995	994
799	983	992	998	997	997
