	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	924	978	484	47	406
101	134	591	208	30	266
102	886	972	718	26	753
103	922	588	720	20	405
104	139	217	722	12	397
105	143	415	95	8	393
106	916	874	771	5	764
107	70	596	697	3	720
108	913	907	769	27	718
109	967	926	690	327	717
110	45	920	122	49	710
111	899	918	102	54	599
112	977	908	776	138	630
113	919	929	452	136	588
114	915	935	758	134	573
115	620	889	775	130	569
116	201	490	714	121	646
117	523	867	488	111	650
118	673	195	486	53	534
119	676	208	695	110	382
120	517	211	756	95	661
121	515	213	739	92	518
122	506	230	97	82	681
123	499	248	176	80	501
124	695	256	15	67	490
125	710	261	597	58	483
126	445	276	795	105	477
127	713	291	545	338	468
128	716	318	152	342	708
129	717	355	805	343	675
130	721	364	603	686	772
131	727	367	395	674	752
132	413	371	317	670	510
133	411	383	435	652	823
134	528	388	559	643	303
135	408	189	287	640	307
136	529	389	277	692	617
137	535	185	557	625	816
138	624	160	574	620	300
139	613	10	983	618	318
140	609	17	575	617	323
141	629	20	774	599	327
142	632	21	298	596	299
143	637	26	789	595	828
144	599	34	547	623	338
145	596	64	308	590	339
146	578	76	444	698	829
147	577	80	791	704	809
148	571	81	967	793	364
149	648	93	161	787	279
150	570	107	332	786	283
151	555	115	160	775	834
152	554	118	590	772	785
153	542	124	964	767	302
154	540	128	735	700	786
155	532	147	180	759	365
156	742	184	367	748	285
157	744	877	369	741	622
158	379	403	667	729	623
159	290	407	500	721	605
160	275	606	377	719	838
161	273	619	880	711	512
162	812	624	498	752	231
163	272	634	232	800	20
164	271	638	197	570	856
165	269	656	231	562	674
166	261	686	869	443	563
167	830	711	677	441	670
168	835	777	195	431	668
169	248	784	391	429	284
170	840	786	397	418	528
171	842	789	863	417	46
172	235	793	193	446	31
173	232	823	859	415	376
174	221	849	392	394	824
175	207	852	116	362	133
176	806	854	527	360	383
177	293	602	188	352	374
178	295	406	201	351	763
179	297	589	250	347	386
180	370	570	106	395	391
181	755	419	77	569	367
182	359	424	926	453	115
183	356	429	623	457	897
184	762	430	457	560	799
185	766	441	731	552	343
186	338	448	730	548	932
187	776	450	728	538	336
188	182	460	349	536	188
189	777	467	350	527	196
190	317	510	517	455	201
191	311	512	415	512	814
192	310	516	516	508	456
193	790	530	646	507	948
194	307	534	900	499	949
195	795	535	650	484	950
196	796	543	66	471	74
197	799	559	186	468	903
198	323	576	505	509	689
199	800	999	777	999	72
200	487	203	11	382	415
201	492	198	309	630	438
202	72	45	25	632	413
203	69	592	752	633	447
204	494	600	274	639	452
205	246	207	271	641	458
206	61	669	762	593	635
207	513	43	763	363	459
208	521	607	270	357	464
209	60	206	269	354	398
210	533	687	609	348	394
211	581	573	265	337	481
212	537	193	27	334	392
213	539	636	28	328	388
214	541	549	256	320	498
215	544	295	784	317	375
216	545	703	518	677	371
217	549	186	530	678	407
218	552	554	788	648	639
219	557	563	509	586	587
220	565	701	283	405	642
221	179	696	968	406	707
222	54	572	741	501	714
223	573	695	13	504	724
224	538	655	973	491	641
225	163	566	21	488	740
226	168	622	300	475	745
227	684	933	294	523	210
228	152	939	707	470	751
229	2	199	742	465	227
230	996	44	709	440	754
231	17	651	539	438	756
232	28	941	713	542	759
233	34	646	292	544	767
234	59	275	22	433	769
235	62	396	712	547	770
236	968	134	33	427	197
237	73	546	927	551	791
238	104	948	1	426	792
239	114	297	51	424	207
240	117	39	83	421	232
241	941	722	84	414	998
242	138	985	5	411	656
243	145	319	936	566	235
244	162	283	507	574	252
245	101	333	937	316	677
246	361	365	214	179	239
247	205	692	111	683	657
248	784	344	786	306	238
249	477	99	264	235	242
250	481	678	778	792	691
251	486	676	773	231	669
252	772	349	747	222	270
253	771	358	279	218	985
254	502	949	737	810	465
255	768	279	725	214	417
256	524	674	701	212	109
257	568	140	304	209	14
258	569	915	699	203	634
259	739	850	615	789	410
260	734	996	318	202	974
261	728	497	679	829	775
262	633	499	331	193	203
263	634	500	342	832	432
264	712	501	620	835	189
265	646	797	665	836	449
266	705	799	359	838	886
267	662	27	374	840	200
268	664	511	639	184	414
269	671	562	375	848	16
270	683	59	635	181	440
271	785	159	796	823	610
272	198	156	87	236	331
273	464	820	601	785	209
274	798	29	817	492	313
275	234	538	902	690	580
276	241	491	892	702	574
277	283	863	470	300	321
278	284	484	576	295	706
279	292	481	157	710	561
280	877	639	159	713	909
281	296	912	167	294	95
282	871	420	171	720	924
283	324	422	578	725	550
284	855	905	173	285	715
285	329	433	856	730	226
286	340	899	853	284	726
287	344	627	851	278	65
288	347	259	460	275	64
289	349	48	453	272	845
290	362	764	449	750	513
291	364	615	213	753	684
292	374	49	624	268	946
293	383	883	588	266	151
294	389	880	829	765	503
295	420	464	827	257	496
296	813	595	448	250	839
297	435	238	592	780	484
298	456	442	598	312	479
299	999	494	496	510	224
300	945	348	426	958	54
301	67	374	581	173	62
302	328	340	715	171	80
303	75	332	286	170	467
304	700	410	275	224	102
305	887	414	594	872	110
306	308	418	262	379	138
307	708	427	765	361	143
308	938	434	288	537	148
309	78	435	322	714	154
310	715	327	326	525	155
311	86	438	327	521	164
312	678	315	399	517	167
313	670	465	386	726	171
314	336	468	633	728	104
315	352	304	401	732	475
316	963	302	371	514	997
317	376	486	645	511	626
318	643	298	625	737	585
319	375	605	354	738	556
320	372	610	353	747	589
321	50	574	352	751	554
322	961	997	335	496	590
323	360	222	334	758	551
324	57	673	668	495	658
325	895	675	420	41	629
326	657	680	670	482	549
327	957	210	766	707	547
328	55	685	767	539	593
329	56	223	290	541	557
330	53	723	792	549	697
331	925	356	586	56	533
332	13	613	816	629	546
333	943	704	217	631	532
334	32	201	798	635	613
335	15	708	442	50	494
336	65	710	225	603	500
337	921	694	223	655	502
338	953	725	233	602	735
339	30	724	439	601	727
340	483	177	244	766	524
341	123	649	519	664	577
342	660	736	768	667	525
343	353	170	228	669	531
344	354	741	237	571	602
345	358	149	825	673	731
346	365	362	39	680	733
347	650	363	37	561	117
348	369	749	885	557	121
349	386	743	953	553	113
350	390	384	44	689	129
351	393	717	846	64	140
352	401	37	355	344	652
353	614	944	418	71	644
354	663	313	407	474	493
355	612	339	613	397	807
356	608	758	969	396	100
357	606	964	406	390	86
358	436	398	814	839	82
359	586	33	643	846	978
360	448	330	984	388	68
361	550	175	12	385	676
362	548	307	398	384	61
363	458	436	9	76	732
364	520	966	993	857	991
365	468	720	506	858	993
366	503	709	198	859	736
367	488	614	408	860	653
368	421	474	492	57	73
369	115	841	451	34	190
370	335	94	491	863	624
371	333	92	254	31	472
372	128	258	251	373	463
373	856	845	782	370	505
374	146	625	268	408	511
375	154	103	242	824	878
376	170	851	432	409	423
377	171	597	877	819	379
378	822	590	115	38	377
379	216	240	721	473	761
380	783	643	108	782	329
381	759	228	706	467	326
382	262	652	906	37	324
383	274	754	568	794	548
384	687	226	872	466	309
385	279	875	912	72	841
386	747	568	431	799	271
387	740	664	151	40	268
388	288	71	162	36	916
389	729	540	865	448	835
390	722	898	570	807	240
391	719	804	85	445	214
392	711	699	678	442	491
393	303	202	801	812	180
394	314	798	672	814	938
395	318	795	802	815	597
396	320	477	490	423	943
397	330	475	627	420	944
398	749	303	184	450	153
399	0	56	628	572	748
400	861	472	67	387	335
401	287	471	165	15	337
402	853	181	202	392	350
403	850	585	989	17	353
404	447	766	222	983	575
405	161	458	26	29	424
406	172	648	4	33	583
407	149	650	29	977	667
408	180	106	986	345	368
409	725	102	904	968	369
410	724	668	944	924	272
411	709	645	133	46	389
412	155	582	950	61	399
413	160	580	942	962	400
414	703	577	90	961	404
415	698	508	96	949	612
416	556	155	932	75	608
417	215	507	107	943	607
418	694	528	109	410	606
419	691	531	117	939	604
420	690	506	64	323	603
421	804	505	61	319	412
422	562	504	956	94	433
423	681	544	52	97	436
424	173	547	123	98	333
425	647	553	129	48	774
426	175	498	41	108	808
427	582	556	34	545	805
428	575	489	132	893	476
429	641	993	638	226	277
430	591	677	240	220	800
431	546	679	380	286	280
432	748	644	387	216	281
433	597	426	394	685	466
434	474	439	235	688	519
435	780	196	434	528	520
436	770	87	456	291	295
437	192	411	473	208	301
438	510	719	733	293	596
439	480	423	729	204	315
440	653	738	362	513	311
441	222	192	689	195	559
442	193	445	996	506	451
443	136	449	523	213	739
444	992	451	535	736	446
445	601	101	562	656	586
446	649	183	671	647	445
447	191	740	612	556	973
448	617	683	622	559	1
449	40	803	629	563	422
450	985	558	637	535	975
451	645	742	493	265	469
452	291	938	828	262	578
453	195	391	793	239	979
454	348	787	281	260	940
455	625	137	867	594	427
456	982	503	248	534	958
457	627	400	864	532	529
458	972	545	276	614	980
459	587	968	348	245	970
460	638	937	312	621	947
461	9	746	313	258	952
462	22	976	842	192	36
463	18	416	504	757	560
464	300	982	340	296	273
465	298	772	600	154	52
466	345	757	605	861	857
467	465	83	19	153	183
468	51	769	974	865	194
469	807	992	884	310	749
470	469	957	10	869	206
471	809	70	669	156	208
472	797	353	903	871	734
473	460	164	618	880	290
474	815	354	988	314	837
475	473	672	356	882	288
476	130	860	919	454	233
477	769	658	994	452	826
478	763	336	648	892	278
479	441	55	7	879	804
480	839	727	655	160	784
481	440	884	200	480	598
482	516	31	543	163	181
483	751	120	419	761	716
484	98	821	403	763	601
485	745	932	899	768	77
486	525	30	81	187	628
487	434	729	464	776	116
488	151	817	321	183	892
489	256	127	837	795	363
490	884	173	71	796	317
491	204	903	289	802	359
492	414	599	704	805	887
493	260	593	855	372	349
494	409	911	909	169	163
495	668	314	363	816	871
496	403	581	272	168	328
497	202	809	181	822	867
498	932	379	100	451	358
499	603	395	343	178	900
500	962	896	881	883	542
501	998	832	177	164	482
502	704	847	130	947	4
503	429	879	125	207	564
504	427	833	179	856	443
505	417	771	918	540	555
506	404	900	820	186	868
507	391	917	916	914	6
508	385	919	169	221	15
509	306	945	487	102	875
510	286	815	700	959	21
511	265	961	416	463	862
512	258	812	417	45	159
513	250	807	422	407	859
514	249	774	929	986	881
515	245	818	428	585	893
516	217	901	441	957	27
517	430	994	930	671	53
518	206	366	558	982	51
519	194	91	446	66	927
520	133	359	743	315	942
521	119	341	551	709	161
522	105	334	534	581	953
523	94	325	931	74	47
524	93	68	995	78	43
525	92	69	524	83	93
526	89	306	522	970	917
527	85	292	514	760	40
528	76	288	935	806	912
529	43	721	478	575	39
530	42	273	934	269	98
531	20	73	536	259	37
532	11	263	595	579	976
533	196	241	389	139	78
534	431	77	381	13	566
535	281	82	224	934	846
536	611	236	230	995	615
537	522	84	691	938	796
538	682	88	296	135	621
539	558	169	675	984	523
540	509	150	314	14	276
541	561	145	949	991	282
542	485	57	659	988	294
543	666	381	658	63	647
544	478	95	337	978	330
545	679	38	382	975	356
546	471	633	339	122	361
547	685	630	948	967	378
548	461	584	651	963	418
549	452	7	649	954	428
550	446	560	630	942	694
551	443	555	922	148	497
552	636	550	360	555	685
553	621	533	610	920	682
554	619	518	653	735	810
555	433	46	525	734	614
556	527	495	905	303	228
557	956	514	941	722	850
558	651	24	913	304	168
559	960	479	925	705	847
560	841	473	924	703	565
561	47	23	0	307	844
562	46	405	860	335	176
563	100	488	261	301	211
564	975	444	238	682	600
565	756	922	212	376	822
566	39	3	199	653	489
567	29	36	172	412	236
568	19	12	155	413	815
569	692	63	154	425	241
570	988	8	150	606	812
571	7	75	131	588	246
572	966	980	120	500	582
573	974	58	73	520	655
574	140	716	72	355	507
575	113	285	55	149	572
576	847	139	23	280	988
577	837	642	3	778	987
578	442	567	325	159	662
579	865	519	328	162	665
580	331	482	346	913	536
581	309	819	390	910	851
582	294	455	841	167	457
583	706	991	835	172	870
584	259	401	831	174	234
585	254	836	821	905	882
586	103	837	806	206	885
587	252	377	687	274	125
588	810	343	621	881	251
589	805	859	897	227	119
590	210	864	608	870	801
591	543	865	573	229	97
592	150	266	560	867	910
593	927	264	533	847	913
594	593	892	532	248	297
595	121	239	501	254	853
596	605	231	476	826	455
597	116	204	472	788	50
598	905	132	580	875	44
599	497	453	998	0	92
600	997	705	754	948	790
601	604	848	104	828	744
602	395	756	797	809	57
603	357	715	866	926	67
604	990	726	680	817	699
605	396	737	682	897	757
606	425	739	686	952	702
607	428	839	602	2	703
608	108	869	764	282	972
609	341	781	857	393	696
610	187	459	810	140	866
611	305	245	800	255	962
612	190	262	2	132	963
613	96	220	459	197	921
614	83	212	357	112	325
615	239	200	365	592	289
616	579	286	962	422	265
617	49	163	404	380	345
618	52	136	412	447	19
619	472	350	958	215	986
620	551	130	293	493	357
621	368	251	425	232	931
622	253	378	32	241	249
623	267	380	450	522	911
624	224	382	467	302	384
625	184	385	933	16	225
626	164	114	921	246	408
627	902	987	124	564	411
628	144	526	247	87	221
629	218	5	218	180	827
630	153	6	982	196	437
631	228	54	40	185	182
632	176	247	494	576	461
633	928	902	871	921	954
634	137	906	887	152	499
635	987	814	966	125	904
636	68	537	24	964	166
637	979	225	849	65	896
638	74	4	947	42	553
639	77	100	963	35	158
640	970	209	50	22	150
641	84	85	895	9	819
642	944	925	31	157	131
643	939	14	920	946	594
644	107	172	850	998	920
645	933	113	898	497	935
646	111	959	36	834	930
647	120	18	957	831	848
648	131	885	874	297	960
649	135	42	888	723	0
650	914	888	889	642	530
651	852	131	319	346	840
652	4	197	564	369	370
653	848	167	474	124	316
654	741	539	252	403	292
655	444	714	485	951	842
656	764	561	503	267	263
657	466	496	529	681	247
658	774	487	531	693	205
659	778	608	221	401	165
660	387	609	385	126	157
661	792	626	378	109	135
662	801	478	577	460	124
663	752	425	216	103	101
664	811	376	587	88	99
665	731	372	209	137	96
666	493	361	358	81	28
667	342	731	652	481	402
668	821	326	684	43	430
669	495	990	136	989	267
670	505	780	138	619	517
671	536	312	146	616	836
672	567	779	148	612	831
673	268	308	755	672	755
674	576	282	746	399	504
675	439	310	190	145	688
676	91	830	285	143	636
677	954	11	305	311	723
678	950	578	664	820	995
679	665	951	351	223	558
680	594	825	320	324	521
681	476	227	364	887	11
682	126	16	347	336	989
683	399	954	970	194	22
684	230	278	299	894	373
685	845	233	421	191	30
686	299	28	134	189	825
687	873	873	462	377	994
688	301	485	469	770	969
689	189	628	833	908	255
690	438	631	569	909	126
691	828	842	48	176	750
692	350	470	882	916	139
693	803	274	86	386	700
694	147	767	662	918	179
695	912	293	870	724	939
696	779	886	185	923	591
697	851	329	673	147	611
698	166	940	291	141	259
699	251	277	166	199	860
700	8	2	6	68	18
701	23	9	8	69	24
702	24	35	14	90	25
703	48	51	17	91	35
704	99	60	35	101	41
705	106	62	38	104	59
706	109	78	47	106	60
707	118	89	65	127	63
708	122	90	70	129	79
709	142	97	89	142	85
710	220	125	94	146	87
711	244	126	112	158	88
712	247	135	113	165	91
713	280	142	119	219	105
714	289	143	127	225	112
715	321	146	137	233	120
716	322	153	141	237	122
717	346	158	144	238	127
718	351	161	145	240	132
719	373	162	158	253	144
720	380	174	178	256	147
721	405	182	187	270	174
722	410	187	194	271	175
723	416	205	205	305	198
724	419	219	211	330	212
725	437	234	215	332	213
726	450	242	219	333	215
727	462	243	220	341	219
728	512	260	229	371	229
729	566	280	245	402	230
730	583	281	246	461	258
731	584	289	266	462	308
732	615	296	302	478	312
733	616	301	311	526	322
734	618	320	324	529	332
735	640	321	402	531	334
736	642	322	409	554	346
737	654	331	424	567	351
738	658	347	429	583	366
739	659	370	430	600	387
740	661	373	454	604	396
741	667	409	479	609	416
742	696	437	489	611	419
743	697	440	495	636	439
744	701	443	502	657	454
745	726	447	513	659	462
746	732	454	515	660	515
747	735	469	552	661	571
748	743	515	567	663	584
749	753	521	579	666	616
750	754	522	582	684	631
751	760	552	585	701	659
752	761	564	591	718	663
753	773	571	607	743	672
754	781	611	616	762	680
755	787	635	619	773	686
756	794	647	626	790	693
757	808	660	631	808	698
758	817	663	654	818	705
759	818	697	657	830	728
760	826	698	660	853	760
761	832	702	666	855	762
762	833	706	681	862	773
763	834	745	693	864	780
764	836	753	696	868	781
765	843	755	779	874	797
766	844	759	781	876	802
767	849	761	785	877	803
768	854	770	790	878	811
769	863	782	803	888	813
770	866	783	811	889	818
771	868	794	813	890	820
772	872	802	824	891	832
773	878	806	826	902	843
774	879	816	830	903	849
775	881	827	840	907	854
776	883	831	843	911	855
777	885	834	844	917	869
778	896	843	852	928	874
779	901	844	858	929	876
780	906	857	862	937	888
781	907	862	868	940	889
782	908	870	876	941	890
783	917	878	879	945	894
784	918	890	883	950	898
785	923	895	890	953	901
786	929	897	891	955	907
787	930	904	893	960	908
788	931	914	896	965	919
789	934	923	901	966	922
790	936	928	911	972	923
791	942	934	951	973	933
792	955	943	952	974	955
793	958	952	961	980	964
794	969	955	965	981	965
795	971	971	971	985	971
796	978	975	976	990	977
797	980	979	979	992	981
798	983	981	981	993	984
799	984	983	990	997	992
