	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	439	864	651	838	805
101	682	611	462	778	501
102	101	819	111	569	120
103	446	743	981	196	35
104	7	908	353	721	980
105	638	694	629	954	818
106	843	391	995	702	617
107	428	370	313	183	694
108	945	199	976	424	349
109	692	436	444	572	483
110	461	43	184	48	760
111	215	282	228	53	745
112	252	643	937	544	157
113	700	150	965	748	684
114	797	258	534	431	6
115	726	837	214	511	424
116	488	158	369	549	796
117	779	4	205	43	321
118	234	739	682	917	115
119	625	230	322	208	343
120	847	173	141	26	21
121	784	217	590	125	468
122	74	862	714	267	68
123	105	562	238	661	144
124	344	680	328	859	233
125	395	701	237	186	493
126	126	767	633	621	258
127	98	783	766	831	153
128	46	676	598	934	754
129	494	314	498	858	598
130	633	935	622	162	952
131	967	556	289	545	587
132	597	222	523	738	580
133	711	655	469	61	857
134	75	12	137	883	751
135	180	486	986	540	213
136	179	595	22	527	753
137	328	366	496	159	531
138	901	464	821	467	533
139	161	195	671	154	406
140	196	418	650	703	315
141	435	533	21	241	479
142	645	854	573	344	574
143	224	518	489	951	836
144	279	326	768	536	284
145	887	7	912	856	898
146	281	442	430	510	280
147	611	979	763	984	840
148	248	115	96	630	271
149	103	581	169	548	19
150	914	904	337	928	458
151	318	902	158	58	36
152	68	339	127	206	416
153	804	128	389	457	706
154	154	283	398	92	773
155	558	546	48	49	628
156	108	588	269	341	148
157	416	183	395	753	410
158	89	210	194	531	979
159	828	749	623	713	228
160	835	69	378	538	763
161	172	907	601	991	667
162	586	757	220	828	924
163	941	703	793	250	357
164	18	521	961	442	281
165	637	474	846	203	496
166	135	860	729	393	231
167	466	559	484	37	518
168	871	398	133	648	882
169	715	90	407	420	85
170	902	379	85	864	810
171	525	192	271	386	927
172	552	56	626	670	513
173	86	159	989	982	44
174	204	857	394	422	848
175	437	878	19	588	290
176	228	945	132	732	801
177	822	725	381	659	964
178	739	726	125	138	669
179	433	163	326	735	212
180	924	125	102	643	507
181	798	880	387	504	326
182	329	182	181	197	808
183	389	315	666	963	889
184	961	503	11	962	621
185	799	487	957	532	332
186	350	227	820	672	761
187	374	358	618	882	316
188	421	256	392	690	838
189	753	273	918	847	622
190	195	329	55	559	20
191	349	911	781	297	822
192	549	692	351	808	80
193	664	652	165	772	529
194	573	160	963	871	734
195	272	198	385	977	557
196	193	650	71	213	98
197	32	288	920	743	866
198	509	832	296	985	591
199	962	534	456	137	981
200	780	705	529	758	691
201	743	378	841	475	165
202	305	596	944	132	440
203	754	806	686	652	459
204	85	615	215	760	277
205	292	260	292	855	331
206	916	619	285	750	47
207	803	472	131	561	655
208	836	330	359	824	241
209	2	957	865	388	790
210	182	83	862	514	856
211	235	849	932	78	225
212	719	347	386	172	197
213	94	348	790	36	663
214	362	673	585	959	675
215	984	900	786	606	939
216	57	71	746	724	575
217	413	716	246	20	988
218	813	35	929	423	388
219	614	120	339	620	583
220	676	131	428	74	408
221	785	202	161	295	611
222	375	333	304	110	976
223	356	859	602	940	159
224	486	162	942	830	200
225	354	885	162	91	965
226	535	817	564	867	0
227	878	554	421	31	616
228	617	321	648	960	807
229	427	742	453	170	630
230	636	363	352	529	387
231	612	16	27	229	772
232	440	997	718	410	935
233	114	549	669	974	16
234	840	371	720	596	784
235	690	925	893	975	443
236	606	497	363	923	588
237	262	992	659	602	288
238	938	11	478	143	954
239	419	42	594	401	119
240	833	491	109	314	505
241	659	174	863	875	369
242	65	678	492	396	994
243	162	874	630	463	294
244	301	372	222	168	693
245	683	359	868	714	985
246	170	697	899	54	57
247	497	845	375	317	411
248	353	142	166	40	993
249	565	727	479	189	40
250	808	296	435	689	328
251	796	236	670	525	132
252	917	981	695	246	689
253	153	477	779	862	234
254	352	710	756	445	717
255	651	501	551	376	482
256	20	978	29	102	828
257	983	48	224	552	135
258	868	738	41	599	710
259	330	939	742	878	272
260	668	341	826	640	912
261	45	498	852	271	963
262	551	403	0	535	870
263	51	723	129	506	276
264	544	606	680	266	259
265	872	73	814	978	826
266	661	528	785	448	449
267	850	892	909	30	18
268	807	597	197	76	942
269	685	679	399	491	181
270	764	895	274	235	484
271	113	886	268	499	214
272	269	686	888	343	1
273	713	481	797	46	399
274	627	264	154	233	829
275	42	439	64	75	301
276	361	343	1	222	605
277	502	793	922	594	475
278	506	982	415	451	359
279	137	301	52	762	300
280	896	934	532	426	584
281	149	937	225	581	41
282	616	95	442	500	407
283	709	383	767	226	155
284	539	437	200	611	345
285	28	787	178	787	22
286	483	20	123	763	685
287	411	364	527	380	948
288	128	508	335	534	831
289	40	933	340	701	25
290	915	820	230	907	727
291	77	724	921	441	735
292	581	706	687	220	610
293	812	473	979	818	589
294	809	30	895	471	54
295	274	422	5	905	636
296	763	336	476	989	623
297	309	92	266	0	913
298	599	303	408	741	176
299	942	280	966	238	273
300	527	987	324	268	102
301	732	577	778	465	797
302	629	240	597	520	566
303	258	424	901	780	50
304	805	644	371	946	931
305	322	504	446	382	229
306	61	10	448	272	910
307	818	448	13	316	549
308	523	883	885	853	520
309	260	455	801	319	361
310	49	755	835	590	456
311	710	560	382	294	100
312	403	656	668	337	46
313	919	869	211	15	318
314	364	920	419	216	105
315	783	29	764	757	992
316	23	851	431	169	962
317	571	770	217	385	30
318	311	972	6	304	104
319	462	106	464	191	867
320	471	926	919	103	282
321	117	340	171	311	350
322	671	8	451	302	573
323	136	550	116	47	739
324	956	312	855	171	405
325	933	875	90	998	270
326	386	552	964	265	404
327	582	709	608	593	764
328	546	471	993	146	92
329	295	469	971	636	904
330	731	807	494	633	37
331	596	242	805	438	644
332	609	60	176	415	614
333	405	429	136	157	131
334	393	905	10	653	930
335	317	411	39	199	397
336	865	17	581	909	802
337	176	470	150	570	180
338	605	795	667	887	138
339	703	136	840	406	113
340	91	968	424	315	755
341	663	468	89	305	785
342	469	51	605	955	604
343	988	2	652	752	921
344	749	103	397	284	87
345	239	827	774	517	676
346	545	82	533	204	268
347	642	62	185	574	933
348	939	161	152	710	839
349	115	209	362	411	224
350	533	201	299	513	846
351	314	522	173	792	67
352	839	193	557	834	881
353	568	495	936	167	364
354	390	630	66	812	95
355	849	929	112	461	211
356	431	901	412	90	497
357	145	85	518	629	603
358	474	589	789	214	24
359	368	816	916	903	236
360	70	511	828	101	542
361	520	766	883	13	376
362	4	839	212	129	335
363	578	570	317	139	366
364	877	609	130	270	726
365	230	642	867	564	519
366	579	812	35	683	438
367	473	836	514	807	762
368	52	647	327	215	384
369	67	373	40	678	715
370	755	107	637	38	972
371	104	97	662	409	375
372	130	614	417	163	122
373	359	919	87	496	365
374	150	23	741	705	705
375	905	334	649	793	868
376	358	628	713	785	207
377	287	675	857	338	333
378	837	231	896	576	837
379	953	698	665	965	703
380	510	184	824	402	888
381	794	699	235	212	147
382	851	99	859	29	476
383	855	780	947	394	175
384	960	561	643	421	874
385	845	729	969	868	469
386	273	717	505	522	534
387	29	479	195	823	374
388	647	248	595	303	600
389	275	976	232	17	238
390	404	721	34	840	171
391	932	225	425	232	744
392	648	944	552	363	96
393	801	593	952	453	297
394	267	327	887	999	512
395	722	89	374	892	39
396	830	208	124	429	179
397	608	441	157	135	558
398	460	36	262	920	919
399	191	344	762	635	923
400	717	903	624	964	63
401	760	821	138	27	553
402	708	971	188	609	615
403	977	996	134	795	330
404	569	834	967	924	816
405	886	475	837	95	911
406	944	890	279	799	183
407	92	804	391	528	86
408	338	782	432	66	943
409	687	574	459	370	386
410	8	145	568	893	428
411	198	276	346	152	339
412	548	76	23	537	72
413	83	169	485	35	732
414	594	578	342	802	749
415	19	277	364	839	201
416	253	197	51	612	700
417	971	465	906	726	896
418	143	18	501	474	27
419	232	841	434	759	820
420	587	384	784	395	422
421	562	331	657	616	78
422	604	799	621	707	503
423	619	416	377	829	561
424	373	3	802	286	324
425	678	696	31	973	811
426	109	460	558	352	278
427	39	771	931	938	862
428	912	185	578	136	528
429	772	385	678	142	378
430	781	435	990	728	99
431	601	917	473	285	396
432	776	898	616	390	82
433	773	84	898	773	841
434	768	719	953	239	188
435	930	948	699	988	714
436	271	262	731	333	720
437	30	591	290	253	230
438	834	94	117	848	419
439	992	181	743	667	358
440	654	966	934	881	88
441	268	510	244	560	781
442	96	263	926	911	593
443	908	238	2	556	393
444	444	850	684	184	338
445	265	64	277	145	265
446	139	847	897	122	189
447	694	33	67	324	502
448	480	26	4	902	819
449	122	558	474	914	578
450	968	668	639	751	646
451	291	241	120	180	698
452	516	388	877	296	662
453	979	571	254	14	530
454	53	318	646	776	79
455	554	5	773	709	909
456	975	915	913	625	203
457	385	80	675	335	631
458	251	207	968	82	472
459	512	77	747	788	437
460	513	658	223	384	832
461	220	555	365	961	302
462	151	572	288	948	140
463	499	75	308	526	958
464	856	955	654	692	489
465	290	200	233	800	626
466	173	772	151	480	608
467	524	482	827	417	158
468	576	27	106	693	892
469	978	626	874	547	842
470	532	490	728	482	125
471	43	286	145	443	554
472	348	888	813	822	686
473	584	114	449	348	517
474	679	702	488	147	368
475	913	537	876	88	252
476	342	949	535	64	748
477	131	127	525	275	585
478	300	395	113	820	887
479	543	102	970	209	900
480	540	425	25	223	196
481	724	543	503	45	613
482	921	266	281	890	93
483	970	226	406	809	716
484	800	220	347	729	849
485	430	139	574	33	786
486	745	646	706	160	452
487	324	928	655	312	586
488	62	243	892	688	391
489	254	789	509	255	844
490	895	211	309	192	708
491	216	831	609	512	536
492	477	21	180	509	668
493	133	143	693	105	940
494	556	633	775	677	546
495	472	59	33	468	353
496	192	261	879	950	799
497	372	889	754	872	757
498	247	912	829	953	255
499	11	830	681	719	356
500	164	100	515	767	659
501	399	430	516	80	916
502	414	304	610	876	851
503	360	313	850	992	728
504	666	873	697	632	560
505	380	219	579	462	477
506	481	374	860	993	166
507	250	877	491	891	563
508	996	164	866	455	974
509	303	410	591	986	327
510	210	685	349	786	697
511	826	500	988	888	835
512	387	251	218	846	845
513	747	538	577	720	970
514	528	731	325	34	65
515	442	124	560	41	31
516	147	447	524	269	251
517	333	361	240	507	418
518	778	293	167	22	550
519	936	545	70	647	427
520	171	134	691	3	555
521	615	990	700	869	313
522	806	14	83	148	718
523	899	325	927	655	731
524	34	380	941	664	813
525	521	818	202	913	490
526	928	349	9	219	308
527	298	156	77	968	289
528	294	512	321	614	317
529	537	427	817	111	551
530	662	382	97	880	247
531	476	774	858	473	363
532	790	624	638	181	756
533	583	434	264	2	43
534	246	259	159	583	97
535	341	451	356	240	504
536	756	319	930	770	423
537	883	613	795	124	853
538	189	803	302	711	812
539	50	870	193	369	947
540	852	175	312	766	946
541	321	396	61	328	309
542	503	308	722	492	769
543	60	289	869	686	205
544	346	101	15	870	657
545	249	292	318	877	164
546	634	599	755	5	548
547	152	648	707	957	312
548	982	307	115	641	417
549	347	711	679	704	210
550	712	9	275	87	775
551	766	736	502	372	800
552	848	70	994	966	311
553	78	833	242	156	430
554	550	519	737	291	433
555	310	310	270	231	969
556	289	823	179	452	629
557	934	674	355	207	329
558	116	964	24	601	642
559	918	494	283	454	572
560	218	704	14	488	809
561	22	275	358	109	804
562	927	433	504	254	886
563	206	206	567	639	323
564	256	683	998	248	126
565	698	58	792	555	823
566	759	147	37	782	299
567	335	155	441	921	182
568	966	228	506	227	242
569	770	608	467	224	279
570	241	932	28	723	834
571	72	233	709	225	77
572	417	167	890	280	524
573	863	44	672	403	564
574	425	126	925	9	371
575	144	852	816	603	723
576	351	234	513	943	139
577	575	980	600	680	499
578	640	815	348	130	465
579	752	146	390	127	221
580	456	499	50	730	232
581	853	55	903	619	52
582	667	567	587	814	351
583	751	24	331	768	292
584	958	539	522	8	824
585	517	540	519	121	674
586	54	204	576	817	997
587	187	636	146	12	922
588	441	389	418	221	117
589	729	54	664	377	577
590	570	600	350	897	110
591	244	740	493	327	759
592	923	764	84	164	394
593	438	415	72	413	367
594	603	113	798	815	696
595	163	985	416	983	907
596	331	28	201	806	606
597	379	758	144	669	283
598	529	140	547	50	998
599	684	172	733	995	950
600	410	212	402	278	556
601	190	405	190	657	658
602	771	377	334	860	612
603	447	39	962	354	64
604	665	605	276	173	91
605	906	741	500	618	523
606	653	794	588	179	451
607	879	514	343	63	143
608	207	31	314	187	973
609	646	515	311	259	249
610	283	320	155	747	894
611	522	68	539	414	53
612	593	449	403	379	680
613	370	848	575	98	635
614	817	975	245	193	60
615	792	941	86	857	582
616	744	863	404	551	995
617	47	754	216	274	750
618	762	297	843	361	239
619	280	842	17	542	665
620	138	353	607	617	699
621	557	940	677	165	413
622	202	137	470	260	240
623	681	291	689	865	337
624	24	38	213	336	379
625	735	196	900	725	780
626	990	322	3	592	373
627	345	602	704	673	597
628	929	660	996	949	869
629	881	450	256	334	377
630	727	584	495	408	977
631	468	580	592	447	987
632	591	544	47	947	439
633	142	78	569	258	389
634	696	896	293	836	4
635	297	918	367	972	51
636	259	93	771	330	955
637	741	756	252	440	590
638	436	627	882	796	235
639	396	365	842	67	198
640	286	994	701	586	855
641	774	530	300	863	436
642	536	535	250	684	226
643	205	419	272	108	432
644	175	478	800	623	815
645	769	444	108	236	15
646	650	639	122	523	415
647	795	507	658	68	893
648	777	135	844	256	500
649	621	401	811	562	266
650	443	170	286	980	246
651	365	213	833	307	634
652	434	46	265	918	989
653	873	672	422	575	445
654	55	563	974	245	463
655	391	715	8	371	803
656	748	223	95	94	791
657	643	187	830	185	462
658	308	130	851	722	854
659	811	651	924	140	908
660	107	677	696	141	850
661	907	88	472	826	932
662	118	906	457	916	903
663	134	547	401	832	521
664	542	638	796	360	124
665	705	189	148	942	736
666	478	714	12	941	209
667	168	722	739	425	150
668	660	720	631	557	978
669	561	761	209	332	455
670	56	825	357	174	571
671	725	332	320	495	133
672	492	566	870	563	73
673	787	865	715	16	975
674	495	634	935	765	878
675	974	488	831	789	860
676	761	951	902	493	382
677	160	991	803	320	653
678	93	34	486	539	569
679	566	786	660	153	303
680	716	983	871	734	457
681	957	406	409	262	267
682	884	295	586	794	322
683	740	923	880	466	650
684	376	952	251	412	154
685	121	564	958	910	740
686	408	423	298	819	991
687	925	376	612	470	101
688	465	489	44	399	607
689	84	445	94	790	163
690	336	884	613	481	986
691	99	914	490	397	61
692	485	354	198	604	447
693	734	938	730	202	151
694	221	687	933	775	129
695	184	6	949	357	400
696	987	426	582	72	871
697	931	186	261	736	656
698	409	531	625	306	467
699	624	959	530	71	62
700	296	809	452	347	681
701	658	407	721	874	702
702	306	781	231	929	652
703	323	496	177	805	602
704	487	45	864	970	383
705	194	298	439	566	825
706	618	467	891	861	307
707	452	274	507	554	402
708	541	610	983	681	161
709	493	708	603	257	971
710	815	177	849	405	28
711	146	663	221	57	194
712	340	438	735	218	752
713	450	400	951	579	707
714	100	649	911	237	814
715	998	695	291	497	688
716	445	798	712	997	639
717	972	954	248	310	525
718	505	867	580	282	412
719	73	784	247	894	295
720	832	91	81	889	74
721	810	592	776	660	949
722	950	631	806	407	938
723	954	777	172	981	398
724	120	516	531	501	875
725	704	458	810	600	263
726	728	239	65	737	168
727	369	306	853	126	190
728	217	281	26	671	116
729	15	454	7	42	670
730	697	590	984	355	334
731	657	635	765	97	414
732	670	149	450	666	454
733	261	153	562	952	121
734	13	582	160	937	11
735	577	899	769	342	774
736	695	362	36	656	174
737	955	409	881	685	515
738	17	420	119	810	206
739	429	484	354	345	847
740	201	278	559	698	827
741	620	367	426	945	59
742	866	568	429	484	547
743	123	63	199	362	346
744	420	961	619	958	127
745	293	844	460	446	532
746	922	526	420	134	885
747	0	505	360	478	370
748	166	645	104	967	227
749	613	81	627	450	641
750	299	759	673	718	917
751	59	922	872	178	167
752	284	843	889	508	890
753	567	669	825	176	647
754	721	802	570	387	491
755	401	350	107	700	112
756	222	118	380	521	876
757	985	247	782	553	843
758	76	745	73	195	109
759	649	459	956	427	733
760	140	49	615	835	464
761	861	245	38	56	767
762	383	285	517	761	559
763	106	576	948	69	770
764	632	879	645	939	682
765	357	57	319	433	724
766	885	664	294	301	392
767	288	769	690	112	792
768	997	553	752	674	510
769	844	205	229	541	859
770	742	485	856	990	897
771	963	414	208	104	920
772	69	443	884	293	601
773	48	87	543	418	494
774	119	753	982	194	565
775	320	356	536	682	599
776	9	203	653	926	208
777	641	607	100	83	677
778	464	506	777	595	215
779	854	279	454	460	481
780	155	779	287	908	461
781	980	585	487	567	498
782	538	355	32	346	984
783	458	993	904	351	14
784	515	440	758	663	285
785	673	453	905	65	672
786	821	302	788	323	594
787	706	381	186	373	466
788	245	797	628	816	901
789	999	132	187	585	944
790	842	897	305	300	325
791	943	737	635	81	661
792	691	814	725	149	953
793	969	999	791	158	624
794	701	625	973	106	596
795	307	622	545	642	219
796	448	943	950	392	336
797	841	573	332	631	960
798	111	746	620	571	446
799	555	37	219	879	511
