	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	561	340	106	442	135
101	389	239	829	48	767
102	440	256	266	185	189
103	198	291	669	183	148
104	251	487	172	269	949
105	509	4	34	78	109
106	792	739	533	257	414
107	11	590	339	630	700
108	950	274	686	581	309
109	241	944	264	199	853
110	603	230	490	776	236
111	546	471	64	184	295
112	160	396	311	447	167
113	441	334	766	729	808
114	374	638	858	443	365
115	685	643	352	786	465
116	734	94	197	552	214
117	140	359	198	705	628
118	272	100	806	989	940
119	155	222	505	865	842
120	796	228	418	49	482
121	403	507	789	54	991
122	137	125	870	867	624
123	444	677	12	858	337
124	842	880	425	949	549
125	154	241	853	537	115
126	578	821	637	328	646
127	139	348	158	618	913
128	336	907	957	320	302
129	545	539	194	471	119
130	62	403	769	509	644
131	73	717	0	226	629
132	722	251	525	13	176
133	698	438	342	812	749
134	690	38	654	780	116
135	953	555	26	337	708
136	465	173	664	169	804
137	762	447	252	656	907
138	587	560	786	836	183
139	116	645	209	713	122
140	344	503	885	402	44
141	728	76	796	954	163
142	138	854	575	36	327
143	109	745	767	65	546
144	745	135	177	347	307
145	608	206	40	926	652
146	821	85	11	224	608
147	161	26	994	40	469
148	785	497	696	438	814
149	591	484	587	875	585
150	649	440	460	105	356
151	856	443	269	165	602
152	329	478	186	236	801
153	956	652	778	723	406
154	433	766	718	763	65
155	162	204	125	525	215
156	668	333	262	87	987
157	742	71	409	137	792
158	103	169	627	285	231
159	351	145	167	361	989
160	146	889	882	343	384
161	923	899	289	20	753
162	253	639	354	63	382
163	256	592	265	669	82
164	306	574	402	403	330
165	94	146	782	792	0
166	135	656	578	384	209
167	812	279	594	951	689
168	586	406	527	512	266
169	375	879	221	828	290
170	945	107	3	415	331
171	261	754	869	839	755
172	797	676	472	426	871
173	59	475	776	585	394
174	476	7	514	642	536
175	350	561	899	480	916
176	822	771	502	553	563
177	941	697	833	463	144
178	430	175	651	955	375
179	624	379	160	163	20
180	191	723	1	440	270
181	171	528	996	148	927
182	51	302	678	16	657
183	77	298	169	433	392
184	221	885	246	735	556
185	448	39	232	517	694
186	291	34	144	399	881
187	503	448	850	138	606
188	713	793	539	603	479
189	420	130	285	410	40
190	776	418	577	445	924
191	13	275	442	817	161
192	469	217	456	556	686
193	620	578	224	103	363
194	954	719	971	154	190
195	42	511	248	920	315
196	461	976	317	767	832
197	439	968	279	216	238
198	168	926	21	686	461
199	308	409	389	564	518
200	967	422	633	110	280
201	855	63	638	57	57
202	279	668	624	595	580
203	303	468	444	235	560
204	207	198	545	213	566
205	924	384	392	238	819
206	633	582	435	136	933
207	648	634	448	478	769
208	466	465	579	747	947
209	70	210	879	181	252
210	436	837	623	853	168
211	452	260	111	206	279
212	108	36	360	397	126
213	705	163	689	689	685
214	516	642	707	126	91
215	246	128	137	327	834
216	7	997	652	536	599
217	499	610	314	22	910
218	927	769	293	307	610
219	632	608	390	278	28
220	145	518	947	241	110
221	417	622	926	796	247
222	347	482	484	446	920
223	606	562	441	191	870
224	711	21	302	94	410
225	40	444	842	831	598
226	216	458	199	0	647
227	664	546	536	870	751
228	582	675	713	265	206
229	78	945	367	652	11
230	431	183	290	643	154
231	346	797	304	256	892
232	634	870	491	68	458
233	361	533	359	474	18
234	311	181	920	293	734
235	20	755	176	167	525
236	274	678	130	302	797
237	488	669	351	33	121
238	409	362	426	758	500
239	342	613	998	417	975
240	151	547	237	765	807
241	771	320	185	422	36
242	390	327	184	382	476
243	299	207	107	82	418
244	67	282	479	311	51
245	700	593	904	869	316
246	252	954	247	254	875
247	533	197	166	720	373
248	372	920	469	314	433
249	193	62	797	453	198
250	435	361	552	330	423
251	230	436	650	441	263
252	123	563	841	461	867
253	895	93	763	468	213
254	808	606	800	351	335
255	232	213	146	363	272
256	717	836	217	418	656
257	297	167	138	194	351
258	556	817	474	947	677
259	100	994	108	121	59
260	548	589	298	773	785
261	555	892	6	315	339
262	522	644	109	470	104
263	566	906	826	17	558
264	654	350	764	162	553
265	8	615	51	173	676
266	841	177	933	336	577
267	708	373	417	953	165
268	126	263	467	233	4
269	121	73	337	778	555
270	320	187	165	146	511
271	845	160	446	38	138
272	651	614	631	306	802
273	65	566	929	348	639
274	307	424	580	196	950
275	629	374	187	178	533
276	615	695	136	272	705
277	801	430	328	612	67
278	275	30	145	197	203
279	706	114	792	160	557
280	850	17	976	881	697
281	916	841	867	880	85
282	358	433	765	414	30
283	364	685	90	354	466
284	330	500	613	688	992
285	56	189	272	599	16
286	194	439	504	145	828
287	679	832	270	563	233
288	569	304	951	448	578
289	290	3	865	510	166
290	359	711	235	766	829
291	614	485	17	187	963
292	885	331	573	560	464
293	703	441	697	195	393
294	881	90	476	108	377
295	495	285	558	549	498
296	562	580	564	500	919
297	260	498	501	916	323
298	605	161	585	168	389
299	766	514	802	586	242
300	485	80	348	71	985
301	425	414	178	153	62
302	753	14	785	393	422
303	443	585	821	475	265
304	913	495	900	834	593
305	998	597	122	606	521
306	761	136	906	246	336
307	525	519	988	759	211
308	354	307	104	874	371
309	0	416	828	484	35
310	879	172	891	593	675
311	662	900	969	888	74
312	593	434	562	473	939
313	640	807	406	583	720
314	144	140	677	180	21
315	262	660	859	826	378
316	114	538	454	702	376
317	228	469	880	526	723
318	899	694	195	304	497
319	803	126	378	83	613
320	528	479	464	648	268
321	471	435	350	207	475
322	248	16	404	394	246
323	91	558	32	42	614
324	259	488	116	218	361
325	210	709	38	132	397
326	683	833	983	998	744
327	180	258	653	424	739
328	189	388	229	401	631
329	105	633	71	661	210
330	201	315	892	106	659
331	798	103	365	840	590
332	755	847	132	262	612
333	404	203	941	855	359
334	513	505	519	346	14
335	865	720	216	465	443
336	18	442	457	457	826
337	658	672	912	431	840
338	458	736	8	535	997
339	373	5	629	635	736
340	694	834	238	879	303
341	794	568	590	423	856
342	969	162	154	237	587
343	828	310	326	980	78
344	254	577	500	189	550
345	642	635	73	253	839
346	438	292	70	751	764
347	650	867	356	282	299
348	691	535	13	390	97
349	878	624	557	674	774
350	619	139	4	35	281
351	434	445	340	737	285
352	143	306	434	360	452
353	172	506	798	523	823
354	744	722	430	231	589
355	659	919	123	67	436
356	915	68	672	14	251
357	536	454	233	491	523
358	206	382	470	856	467
359	968	415	989	892	457
360	613	651	230	946	502
361	653	933	622	806	402
362	437	420	779	260	79
363	836	233	791	940	451
364	244	550	424	678	569
365	348	895	36	111	68
366	446	491	608	592	564
367	92	28	244	377	885
368	48	686	574	193	46
369	217	226	801	736	196
370	224	371	560	513	634
371	85	705	215	862	483
372	768	330	755	986	230
373	462	20	498	274	650
374	833	56	452	790	668
375	505	742	881	310	364
376	335	82	291	271	226
377	805	49	569	406	653
378	52	211	218	909	582
379	637	683	485	31	456
380	483	648	369	846	528
381	383	185	256	466	367
382	853	553	422	548	175
383	68	389	213	569	235
384	235	303	299	452	845
385	997	605	331	785	311
386	190	377	700	392	869
387	907	259	162	488	972
388	468	704	582	362	271
389	933	451	211	3	100
390	906	193	720	511	343
391	697	862	439	258	417
392	971	11	709	924	63
393	187	383	739	664	438
394	314	196	66	316	277
395	912	437	995	991	998
396	442	231	974	291	688
397	310	184	5	889	969
398	643	59	67	66	976
399	579	845	327	704	838
400	352	794	936	91	988
401	552	33	83	983	99
402	647	115	96	907	979
403	800	42	803	809	874
404	9	297	682	968	759
405	163	106	704	992	147
406	645	273	385	222	859
407	861	839	816	508	630
408	289	521	846	794	909
409	149	537	935	297	413
410	871	336	85	514	301
411	301	329	863	223	225
412	558	364	630	202	889
413	182	827	551	296	6
414	826	708	963	570	201
415	980	740	600	871	221
416	957	888	930	623	188
417	963	939	320	703	583
418	75	182	335	467	542
419	583	339	518	566	370
420	540	262	421	848	658
421	735	786	967	631	672
422	222	510	346	711	761
423	128	573	251	547	862
424	539	92	100	950	784
425	396	761	309	660	19
426	497	935	515	147	93
427	970	376	332	109	953
428	401	91	758	266	140
429	421	48	35	352	866
430	72	143	645	149	102
431	550	400	966	997	289
432	250	978	523	883	258
433	447	658	87	640	980
434	751	51	668	152	153
435	818	804	292	101	836
436	215	957	281	868	182
437	34	595	605	451	733
438	612	132	888	941	878
439	719	35	747	761	292
440	660	619	639	528	665
441	107	631	586	816	954
442	410	650	274	782	374
443	978	326	180	620	120
444	17	186	814	554	965
445	837	124	612	504	812
446	258	816	659	913	379
447	740	18	48	454	605
448	333	779	212	636	228
449	57	883	225	135	491
450	122	365	919	250	841
451	131	319	7	497	600
452	919	450	254	139	229
453	119	470	415	639	92
454	414	149	119	143	726
455	506	975	394	959	346
456	987	875	768	978	437
457	739	356	451	677	986
458	840	782	895	221	284
459	868	570	643	707	944
460	4	600	428	371	603
461	769	698	347	425	698
462	692	599	95	301	194
463	175	859	817	8	181
464	804	983	737	319	762
465	445	749	621	209	259
466	32	664	319	621	796
467	515	277	883	140	642
468	292	679	953	659	445
469	944	823	982	90	197
470	293	57	190	829	224
471	474	236	679	203	325
472	523	842	358	324	249
473	265	70	431	579	72
474	104	473	588	590	745
475	704	8	868	823	586
476	764	44	856	802	622
477	111	347	271	807	935
478	806	501	762	72	424
479	817	556	473	891	930
480	568	78	10	629	530
481	328	646	660	988	463
482	480	674	950	698	513
483	298	378	420	832	430
484	218	588	774	379	139
485	774	649	598	653	868
486	309	354	148	56	207
487	271	941	374	5	669
488	966	243	871	214	439
489	273	289	513	545	946
490	153	426	151	557	1
491	173	764	690	506	446
492	992	474	242	259	791
493	883	869	837	186	124
494	340	850	193	555	548
495	379	949	115	303	440
496	473	10	65	910	503
497	538	367	188	838	574
498	360	737	530	619	151
499	975	238	730	335	995
500	710	423	516	376	912
501	930	64	308	170	493
502	39	591	835	75	294
503	729	831	731	939	911
504	324	966	844	753	398
505	809	897	693	814	565
506	779	929	202	408	923
507	365	81	595	192	60
508	399	923	743	663	179
509	368	170	864	738	846
510	682	864	790	74	396
511	487	692	287	902	64
512	416	464	547	974	693
513	931	308	429	690	994
514	972	696	657	380	837
515	428	959	567	2	727
516	549	202	568	527	240
517	106	248	277	864	510
518	678	453	620	600	369
519	93	499	916	632	635
520	886	429	964	69	952
521	166	934	120	614	663
522	974	789	201	239	95
523	28	69	214	800	416
524	570	980	250	943	519
525	813	955	9	957	241
526	74	812	453	300	815
527	267	142	827	975	454
528	962	896	934	411	888
529	450	746	489	370	283
530	982	819	597	952	717
531	527	102	601	923	489
532	456	467	179	734	368
533	541	153	648	158	267
534	726	702	25	373	896
535	811	24	784	338	786
536	356	97	97	810	308
537	29	982	570	709	931
538	839	223	691	342	900
539	542	322	831	793	955
540	184	940	581	122	636
541	977	281	896	683	232
542	83	325	47	819	740
543	427	852	855	540	904
544	701	515	986	142	735
545	247	987	811	878	962
546	936	6	72	929	333
547	573	201	805	268	383
548	269	9	381	962	805
549	283	283	488	522	714
550	646	636	231	462	696
551	773	878	506	9	813
552	239	381	44	847	143
553	866	401	223	341	388
554	323	904	450	995	155
555	296	341	931	43	200
556	763	58	157	945	827
557	492	301	927	982	971
558	120	212	86	172	773
559	535	278	416	722	847
560	353	912	181	240	597
561	369	504	913	967	718
562	69	225	81	157	573
563	551	743	658	396	831
564	908	787	55	294	322
565	988	943	773	125	27
566	300	296	742	561	809
567	294	158	924	102	447
568	807	332	286	501	682
569	472	358	535	232	105
570	281	992	397	92	158
571	478	531	901	47	87
572	554	798	771	521	908
573	502	372	403	551	621
574	481	552	14	730	706
575	19	247	862	542	978
576	676	425	733	369	661
577	983	209	962	667	588
578	601	803	171	344	984
579	661	293	325	728	882
580	537	971	909	647	180
581	599	818	377	421	404
582	832	706	41	562	125
583	543	87	31	81	157
584	667	802	793	229	615
585	202	915	94	859	699
586	86	540	161	882	171
587	749	951	889	685	816
588	393	806	610	34	86
589	136	508	649	215	515
590	557	809	496	657	850
591	284	758	949	567	848
592	286	865	364	762	835
593	709	985	401	633	501
594	665	266	382	963	472
595	512	75	592	104	273
596	196	630	19	861	282
597	577	564	619	808	691
598	115	530	603	95	468
599	331	774	222	420	324
600	618	815	261	27	22
601	517	512	840	220	820
602	716	932	112	701	754
603	772	770	283	507	432
604	625	757	680	921	554
605	249	714	141	961	520
606	376	609	961	41	150
607	696	611	531	529	112
608	928	725	495	894	724
609	778	741	918	757	411
610	268	996	993	286	399
611	657	489	294	964	781
612	567	874	609	588	41
613	280	759	228	429	133
614	385	911	334	905	943
615	118	731	380	427	255
616	30	710	52	12	449
617	617	964	625	981	886
618	670	526	699	492	641
619	835	29	722	835	276
620	529	724	324	830	43
621	413	199	626	928	427
622	322	205	200	972	531
623	61	234	662	863	428
624	781	344	150	724	481
625	99	321	113	789	31
626	770	60	911	538	532
627	663	27	874	61	54
628	349	83	532	267	667
629	943	663	386	641	174
630	724	928	813	130	623
631	627	602	524	248	328
632	317	844	321	670	707
633	847	410	618	541	419
634	725	227	478	80	670
635	510	627	666	750	77
636	571	164	131	539	338
637	815	99	665	741	770
638	23	830	952	227	964
639	54	380	2	45	24
640	287	472	522	768	974
641	901	784	866	805	517
642	133	781	462	26	811
643	756	242	205	914	529
644	134	2	937	112	278
645	844	814	29	499	326
646	854	77	487	64	731
647	914	890	363	726	822
648	848	972	746	818	239
649	2	795	756	334	205
650	47	95	432	270	932
651	205	131	28	965	772
652	429	385	517	275	73
653	934	411	543	908	818
654	695	120	921	692	47
655	784	543	268	719	329
656	961	449	503	174	855
657	411	952	628	212	504
658	834	572	728	532	561
659	929	584	890	531	297
660	581	89	375	934	611
661	939	155	675	682	591
662	60	280	591	124	334
663	204	886	305	225	626
664	532	195	810	385	462
665	370	113	965	179	317
666	985	901	155	966	854
667	408	626	876	787	575
668	45	370	984	29	921
669	164	496	830	574	702
670	759	825	729	693	876
671	932	625	507	985	408
672	176	914	399	984	499
673	130	353	343	911	803
674	863	581	33	387	358
675	902	902	362	280	756
676	101	261	944	572	101
677	790	427	300	876	825
678	170	738	635	496	750
679	147	729	77	333	584
680	955	863	706	30	300
681	830	363	902	450	350
682	520	343	102	822	890
683	565	908	387	743	496
684	521	481	296	481	790
685	179	545	371	97	132
686	896	937	714	601	332
687	938	398	124	332	901
688	142	12	981	372	212
689	905	848	129	284	800
690	597	981	615	176	977
691	638	54	968	495	484
692	621	726	275	388	551
693	921	905	322	617	131
694	810	607	735	323	505
695	341	647	509	700	400
696	636	756	492	413	512
697	787	767	24	409	601
698	747	286	646	171	415
699	464	314	173	672	938
700	15	23	15	15	15
701	22	31	22	37	25
702	24	37	23	46	37
703	43	43	27	50	39
704	46	45	37	53	50
705	49	46	39	58	52
706	50	55	50	76	53
707	53	84	61	88	61
708	55	88	84	98	80
709	76	101	89	127	88
710	84	118	117	129	96
711	89	127	127	134	98
712	96	134	133	141	113
713	98	137	134	156	117
714	113	147	152	159	127
715	117	150	159	164	129
716	150	156	208	204	159
717	152	159	219	208	164
718	192	174	220	219	208
719	195	192	240	245	219
720	220	200	245	255	227
721	234	208	276	295	234
722	245	219	288	305	288
723	288	220	312	312	312
724	295	240	313	317	313
725	305	245	318	345	318
726	318	264	349	355	321
727	321	276	353	357	345
728	338	288	355	386	349
729	345	295	357	395	353
730	357	312	391	405	357
731	362	313	395	407	366
732	380	318	398	412	386
733	386	349	407	455	387
734	387	355	408	460	391
735	391	366	412	482	405
736	395	391	419	493	407
737	405	395	449	520	412
738	419	405	459	534	455
739	460	407	486	544	459
740	477	419	493	559	477
741	486	455	494	571	490
742	493	459	529	575	494
743	494	460	534	576	507
744	524	477	559	594	524
745	544	486	576	596	534
746	575	490	602	602	547
747	576	494	607	604	559
748	584	516	616	609	571
749	594	522	655	611	572
750	596	534	667	616	594
751	604	544	670	625	596
752	609	549	671	655	604
753	611	554	673	666	607
754	616	559	681	671	616
755	641	567	684	673	617
756	666	571	687	680	655
757	671	576	695	681	662
758	673	596	701	684	674
759	681	628	712	710	680
760	684	655	715	714	681
761	687	673	721	718	684
762	712	680	725	721	703
763	715	687	741	725	710
764	721	699	752	732	715
765	727	701	754	748	716
766	731	703	775	752	728
767	732	715	777	760	732
768	741	716	781	770	748
769	743	721	788	772	752
770	748	727	795	775	757
771	752	753	820	788	760
772	754	772	824	795	763
773	760	777	825	799	775
774	777	780	843	815	780
775	780	783	849	820	799
776	783	799	851	824	810
777	795	820	852	857	824
778	799	843	857	860	843
779	843	849	860	872	844
780	849	851	872	877	849
781	851	857	877	887	851
782	852	860	884	890	857
783	872	873	887	893	860
784	873	877	893	897	887
785	877	884	897	903	893
786	884	898	898	917	894
787	887	903	903	918	897
788	917	917	905	937	898
789	918	918	922	938	903
790	922	922	925	942	917
791	925	925	932	948	922
792	942	938	942	958	942
793	958	948	948	960	948
794	960	961	956	970	958
795	979	979	958	973	960
796	984	990	970	977	970
797	990	991	973	990	973
798	996	993	979	993	981
799	999	999	990	999	993
