	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	340	980	33	603	43
101	356	900	897	972	947
102	0	631	29	678	900
103	483	966	14	951	47
104	657	968	898	185	50
105	486	315	953	43	973
106	784	356	55	47	932
107	783	929	13	593	397
108	653	197	931	227	862
109	651	976	919	410	339
110	516	920	34	411	504
111	774	398	920	688	335
112	533	10	989	689	332
113	536	979	36	187	519
114	794	911	5	980	520
115	546	906	10	680	523
116	556	9	924	445	525
117	643	353	39	272	528
118	558	198	40	80	328
119	562	897	50	839	556
120	567	578	926	446	558
121	633	467	44	260	316
122	582	55	932	148	315
123	749	142	12	760	563
124	748	487	971	270	313
125	594	655	222	762	574
126	619	93	85	529	587
127	552	736	350	817	594
128	796	491	523	121	500
129	741	495	339	815	598
130	401	97	534	122	496
131	359	798	547	840	363
132	694	479	567	528	399
133	681	742	516	808	402
134	350	251	318	282	392
135	465	103	594	806	407
136	678	593	598	527	389
137	821	508	601	802	414
138	414	241	602	508	384
139	441	115	298	772	417
140	443	535	288	129	418
141	671	769	580	525	382
142	665	753	356	275	379
143	346	185	507	782	427
144	664	85	506	788	436
145	806	723	419	506	438
146	659	277	430	738	439
147	847	574	417	544	376
148	804	864	406	440	457
149	458	694	403	551	464
150	704	161	452	87	465
151	446	62	398	861	477
152	361	445	395	468	602
153	93	448	464	455	605
154	627	160	473	723	615
155	996	477	377	561	761
156	13	705	367	457	167
157	48	766	365	562	772
158	74	275	364	92	775
159	683	475	359	855	784
160	70	78	631	480	801
161	62	473	638	553	804
162	61	717	655	567	143
163	45	81	657	254	819
164	617	330	769	425	133
165	658	558	785	168	825
166	49	755	176	15	839
167	728	531	801	271	122
168	722	240	820	139	121
169	344	555	828	216	844
170	603	230	137	639	119
171	335	5	833	5	117
172	329	318	859	310	115
173	311	726	115	633	104
174	389	213	111	657	760
175	295	383	880	466	180
176	413	18	97	102	183
177	265	886	89	424	188
178	884	639	889	853	624
179	447	441	195	549	628
180	886	279	81	481	630
181	448	606	758	945	270
182	797	638	209	258	636
183	905	460	665	947	644
184	481	464	669	327	656
185	912	468	678	45	657
186	485	38	679	857	252
187	506	401	682	556	99
188	778	482	689	575	249
189	924	484	690	536	688
190	342	602	695	757	697
191	179	30	230	470	394
192	176	932	706	145	703
193	761	51	707	467	705
194	557	210	220	337	214
195	149	514	720	253	207
196	575	365	217	600	194
197	131	242	730	164	744
198	955	955	200	328	667
199	555	263	501	338	698
200	792	471	668	897	554
201	4	114	660	796	15
202	143	783	653	570	920
203	961	155	15	196	560
204	706	158	645	392	325
205	374	137	271	302	311
206	431	697	402	360	912
207	777	814	3	730	988
208	966	817	290	913	4
209	32	203	994	909	909
210	895	683	603	26	68
211	218	758	424	14	393
212	477	332	319	81	63
213	261	580	221	16	18
214	67	364	722	409	467
215	259	474	151	940	981
216	18	182	61	30	960
217	47	720	797	33	954
218	268	740	796	460	963
219	569	745	439	36	371
220	975	739	791	68	481
221	24	597	177	38	375
222	30	273	535	363	483
223	396	183	340	438	57
224	15	782	774	354	40
225	42	339	906	447	491
226	8	703	776	58	452
227	954	54	947	348	972
228	421	997	332	63	976
229	50	307	38	916	939
230	548	36	951	905	21
231	985	348	531	523	383
232	591	615	766	704	41
233	271	505	432	160	52
234	369	585	1	583	151
235	945	738	70	167	215
236	104	506	66	785	694
237	565	423	934	588	113
238	544	350	51	776	714
239	121	344	41	284	575
240	466	303	7	903	840
241	425	605	11	670	206
242	676	177	434	721	131
243	682	201	71	594	832
244	776	933	933	766	763
245	221	613	912	601	828
246	772	634	216	232	826
247	769	862	90	616	824
248	216	236	527	618	138
249	753	850	728	189	822
250	207	231	552	636	769
251	740	444	557	659	168
252	307	320	672	732	165
253	505	135	311	767	814
254	196	844	659	566	812
255	512	222	194	237	808
256	721	674	250	875	157
257	717	440	569	104	689
258	662	319	269	998	853
259	351	359	586	512	406
260	801	68	587	95	603
261	299	327	615	703	247
262	879	554	286	109	585
263	248	797	600	110	600
264	856	895	651	880	659
265	193	367	518	491	586
266	230	649	215	537	629
267	106	90	184	137	93
268	107	821	882	306	96
269	647	537	107	143	589
270	241	458	460	674	593
271	353	14	363	856	597
272	235	582	123	330	979
273	114	124	864	403	85
274	113	233	850	215	239
275	841	92	841	12	20
276	428	515	491	226	423
277	7	418	351	213	388
278	430	414	488	672	1
279	620	374	172	222	413
280	554	256	165	683	432
281	873	234	161	902	148
282	666	633	155	172	449
283	96	552	426	241	62
284	980	563	525	482	235
285	317	207	533	105	51
286	100	389	73	531	259
287	331	73	256	820	650
288	210	934	418	303	327
289	468	202	252	812	54
290	763	774	320	726	820
291	469	77	485	555	753
292	323	217	317	165	875
293	953	485	247	50	548
294	956	306	763	420	923
295	139	354	551	41	374
296	222	238	313	642	290
297	473	29	314	35	241
298	318	76	125	448	463
299	515	406	805	690	578
300	336	877	37	336	736
301	321	407	47	335	484
302	324	905	386	334	468
303	301	945	385	388	459
304	338	34	360	333	437
305	310	435	381	453	0
306	300	884	48	402	792
307	305	436	382	332	799
308	306	889	378	401	797
309	298	416	64	324	785
310	352	512	65	323	197
311	349	71	67	454	356
312	322	403	77	461	189
313	348	938	369	396	181
314	292	288	380	602	175
315	345	839	21	71	723
316	320	837	8	540	718
317	294	599	916	484	110
318	354	206	935	13	365
319	347	340	899	17	349
320	296	619	965	34	329
321	293	173	913	501	580
322	902	347	479	42	584
323	86	793	765	452	591
324	913	709	157	54	970
325	187	331	739	443	601
326	65	159	718	66	61
327	77	362	677	442	691
328	72	812	649	433	612
329	941	704	348	76	39
330	525	162	630	939	37
331	435	643	371	418	989
332	297	131	620	415	674
333	969	283	375	394	82
334	272	376	254	0	211
335	39	291	605	667	913
336	279	701	416	858	203
337	930	651	545	233	258
338	404	678	530	202	762
339	545	656	446	800	281
340	837	686	449	361	283
341	217	820	467	245	881
342	645	721	490	475	303
343	616	711	474	214	498
344	561	949	484	320	774
345	771	625	399	595	307
346	762	426	771	829	331
347	839	4	664	590	885
348	850	614	158	648	318
349	154	919	167	393	263
350	172	741	235	307	440
351	365	20	840	585	67
352	168	262	788	295	284
353	613	433	193	632	285
354	697	912	218	65	447
355	520	381	825	431	14
356	828	200	224	57	953
357	152	577	795	342	361
358	943	795	198	49	561
359	68	349	242	773	557
360	612	100	612	753	299
361	442	540	597	319	105
362	194	590	575	316	410
363	155	106	412	314	943
364	116	899	560	64	161
365	280	771	27	206	466
366	587	764	52	718	233
367	290	566	879	82	739
368	899	447	197	554	720
369	570	388	448	643	226
370	123	149	996	408	154
371	408	264	500	414	924
372	232	16	421	376	546
373	105	371	821	846	353
374	393	384	515	586	415
375	314	556	816	882	512
376	75	867	691	907	886
377	284	395	667	535	411
378	391	7	272	90	367
379	540	488	116	149	116
380	488	239	327	612	634
381	667	175	154	29	510
382	579	31	712	473	639
383	537	64	331	262	505
384	224	885	941	879	631
385	383	314	342	488	200
386	291	786	223	269	536
387	497	45	362	765	479
388	698	935	904	407	412
389	939	43	337	176	238
390	608	902	233	180	475
391	433	851	162	629	73
392	76	923	495	224	856
393	586	954	102	631	176
394	91	939	902	97	566
395	246	226	881	795	102
396	101	228	885	218	231
397	115	58	72	828	555
398	173	361	124	256	198
399	144	600	374	142	501
400	69	405	294	421	408
401	59	400	408	417	405
402	166	396	407	297	404
403	411	391	404	412	400
404	410	382	394	495	396
405	409	380	429	496	469
406	60	379	459	497	391
407	934	410	462	499	472
408	933	378	470	542	482
409	916	437	519	541	533
410	863	442	517	539	532
411	974	500	514	3	530
412	163	499	513	538	529
413	834	497	509	534	524
414	881	496	505	532	521
415	907	494	504	526	518
416	85	489	503	522	517
417	17	486	502	406	513
418	11	481	496	521	511
419	766	438	494	517	507
420	830	478	493	514	503
421	283	470	492	513	502
422	719	469	489	511	499
423	303	465	487	510	497
424	170	459	486	509	494
425	685	454	478	507	493
426	372	451	476	504	490
427	385	450	472	500	489
428	642	443	392	520	476
429	632	472	391	405	387
430	274	377	409	413	998
431	416	409	389	397	359
432	420	308	347	362	350
433	606	321	343	357	351
434	601	313	390	399	346
435	436	312	334	355	345
436	593	310	328	352	343
437	440	373	326	351	338
438	471	304	325	347	336
439	472	302	324	346	357
440	474	322	322	345	334
441	417	301	321	343	358
442	729	296	312	341	333
443	566	295	308	317	326
444	815	293	305	315	364
445	234	292	304	312	366
446	256	289	302	22	386
447	189	285	300	305	323
448	744	282	299	301	309
449	785	297	349	369	378
450	228	325	352	370	312
451	249	999	335	67	377
452	145	366	357	387	321
453	649	341	358	384	324
454	403	336	355	371	322
455	419	334	387	385	373
456	805	333	354	386	369
457	52	329	270	379	368
458	968	326	173	380	370
459	434	370	96	390	27
460	808	355	721	382	279
461	161	358	309	373	317
462	34	363	856	372	36
463	812	343	961	20	613
464	535	706	264	9	92
465	605	49	346	377	97
466	142	298	558	304	419
467	919	385	988	207	210
468	712	227	148	705	398
469	370	455	229	72	246
470	739	107	435	630	847
471	362	749	428	814	916
472	111	610	522	581	428
473	360	372	17	124	616
474	330	453	188	816	837
475	103	422	666	170	935
476	40	8	211	259	676
477	252	439	658	451	850
478	577	677	401	250	227
479	840	89	144	617	515
480	191	91	851	728	232
481	452	286	353	847	446
482	254	676	425	344	135
483	29	729	237	246	330
484	250	875	238	545	458
485	932	985	129	106	337
486	703	490	643	162	77
487	151	972	86	173	242
488	247	961	246	311	100
489	215	498	469	720	91
490	638	645	729	395	617
491	287	48	262	560	686
492	260	561	591	74	236
493	376	211	633	91	271
494	109	193	648	154	749
495	795	530	814	865	124
496	885	940	0	221	823
497	262	449	397	805	531
498	648	560	826	426	190
499	495	102	498	563	590
500	108	94	289	140	127
501	117	95	564	138	132
502	119	99	454	156	139
503	120	101	568	136	140
504	122	113	576	134	150
505	126	118	579	132	282
506	128	120	581	130	997
507	130	125	588	127	565
508	133	126	592	126	451
509	134	127	595	125	455
510	135	128	607	135	606
511	84	130	608	266	456
512	341	84	609	235	604
513	281	245	573	268	599
514	357	225	451	604	596
515	522	247	998	599	462
516	521	21	422	596	534
517	517	526	444	592	542
518	510	528	292	579	547
519	509	533	293	576	549
520	503	534	450	606	550
521	523	538	420	574	551
522	502	539	296	571	559
523	494	543	590	569	564
524	493	544	539	267	288
525	492	545	562	559	588
526	487	6	792	557	583
527	480	547	104	552	571
528	476	549	138	572	577
529	499	550	134	548	445
530	524	553	133	609	572
531	527	559	900	614	607
532	528	562	574	661	301
533	581	564	117	660	289
534	578	567	578	656	292
535	576	568	178	655	642
536	573	571	431	652	294
537	571	572	122	647	641
538	568	573	181	611	635
539	550	3	285	641	626
540	549	576	441	635	623
541	543	581	180	625	622
542	542	584	26	623	300
543	541	588	248	621	621
544	539	589	199	620	573
545	538	522	442	619	308
546	532	521	251	640	416
547	529	33	453	547	422
548	464	518	187	564	614
549	462	274	32	293	611
550	999	260	629	422	430
551	437	276	24	427	608
552	390	259	621	429	302
553	427	278	929	441	64
554	429	280	775	285	101
555	380	281	984	294	672
556	379	411	582	450	685
557	375	415	94	462	974
558	373	519	962	465	680
559	439	258	283	463	681
560	405	17	782	474	805
561	387	420	277	300	845
562	444	12	231	280	221
563	445	425	287	478	443
564	386	427	212	278	759
565	450	429	697	492	454
566	456	430	877	296	228
567	364	434	714	274	424
568	358	248	846	471	874
569	368	503	185	493	857
570	460	11	731	286	129
571	73	507	865	291	182
572	92	510	275	968	265
573	269	511	905	819	569
574	478	516	909	236	829
575	118	266	891	682	277
576	513	261	624	792	610
577	438	994	976	961	297
578	198	647	214	48	295
579	190	591	858	194	30
580	773	570	291	826	907
581	182	187	817	178	433
582	395	672	131	963	251
583	752	501	903	8	582
584	551	57	415	653	950
585	51	136	650	924	80
586	822	595	109	103	86
587	202	167	786	111	870
588	845	169	119	794	940
589	175	196	704	197	144
590	253	424	585	955	273
591	286	504	570	954	272
592	89	624	949	741	125
593	399	996	948	763	461
594	755	24	610	920	553
595	851	209	613	169	72
596	597	784	4	94	677
597	461	419	577	423	851
598	988	546	106	677	109
599	162	959	169	157	682
600	153	153	160	775	159
601	160	156	166	174	163
602	164	163	171	179	164
603	171	164	179	181	166
604	180	170	186	183	171
605	184	174	201	184	174
606	192	143	202	186	179
607	195	181	146	192	196
608	201	186	205	195	201
609	150	189	213	203	205
610	204	192	219	171	208
611	220	195	225	204	209
612	244	199	228	209	212
613	245	204	232	212	213
614	251	205	240	219	219
615	258	208	244	220	745
616	267	716	245	223	225
617	273	184	725	225	147
618	275	140	208	229	126
619	288	139	266	231	120
620	205	134	145	238	112
621	147	23	136	208	11
622	146	26	6	163	16
623	140	27	9	159	19
624	9	28	19	158	22
625	19	35	22	27	24
626	20	37	23	31	25
627	22	39	25	37	28
628	23	42	28	40	31
629	28	44	31	46	35
630	43	46	35	53	229
631	46	56	141	56	44
632	53	59	83	69	53
633	54	60	87	75	59
634	55	63	95	78	60
635	56	69	108	83	78
636	57	70	112	88	79
637	78	80	113	98	87
638	83	83	120	101	88
639	94	87	127	108	95
640	98	88	130	112	98
641	99	132	132	141	46
642	136	219	84	146	234
643	137	220	268	147	224
644	138	212	261	152	255
645	715	993	639	153	240
646	308	696	637	997	693
647	289	646	274	240	696
648	646	695	646	239	699
649	654	648	652	255	700
650	660	650	654	714	702
651	661	652	662	719	706
652	663	692	670	722	707
653	668	698	671	724	708
654	670	660	673	725	710
655	673	687	635	729	715
656	679	664	675	734	716
657	684	668	681	735	724
658	687	669	684	736	726
659	690	685	687	737	727
660	691	673	693	743	728
661	692	680	696	747	731
662	695	663	699	748	732
663	696	675	700	750	733
664	700	636	701	751	734
665	701	699	713	752	735
666	705	714	680	758	675
667	708	243	628	759	670
668	709	592	995	761	684
669	710	596	626	768	652
670	650	607	532	770	266
671	309	608	536	713	267
672	998	710	627	248	268
673	640	635	543	711	276
674	328	708	559	709	278
675	333	611	524	257	280
676	583	622	616	663	646
677	584	626	618	664	647
678	596	627	456	666	653
679	599	628	619	669	995
680	604	702	622	671	663
681	609	630	281	673	658
682	614	609	623	681	669
683	611	679	625	684	661
684	615	845	279	710	668
685	618	918	529	685	662
686	621	847	867	692	655
687	624	642	265	693	665
688	625	223	686	698	230
689	629	658	100	700	930
690	634	761	773	701	855
691	636	146	950	702	897
692	637	644	784	707	717
693	239	722	152	686	155
694	641	82	755	999	74
695	726	816	457	199	919
696	711	75	895	822	985
697	853	172	709	193	933
698	865	865	276	953	773
699	206	832	190	265	65
700	2	2	2	2	6
701	713	145	150	61	153
702	716	147	159	191	158
703	724	150	715	778	740
704	725	715	733	780	748
705	727	719	735	786	750
706	731	724	737	787	751
707	732	725	741	789	752
708	734	727	742	790	754
709	735	731	743	793	755
710	742	737	746	799	756
711	743	743	747	807	757
712	745	746	752	809	764
713	747	754	754	810	767
714	751	756	756	818	770
715	754	757	762	823	780
716	756	759	764	824	781
717	759	767	767	830	786
718	760	770	768	831	790
719	764	772	777	832	791
720	768	777	778	834	796
721	770	779	779	835	800
722	779	780	781	836	802
723	780	781	789	838	803
724	781	787	790	848	807
725	787	789	793	859	809
726	790	794	798	860	810
727	798	799	800	862	811
728	799	802	802	863	813
729	800	803	803	864	815
730	803	804	806	867	816
731	807	806	810	868	818
732	809	807	811	869	827
733	810	809	813	870	831
734	811	815	824	871	834
735	813	818	827	872	835
736	817	819	829	874	836
737	818	823	830	876	838
738	826	825	831	877	841
739	832	827	835	878	842
740	833	830	837	881	843
741	835	831	842	883	846
742	836	833	843	887	848
743	842	834	844	888	849
744	843	836	849	889	854
745	844	841	852	890	859
746	848	842	853	891	860
747	849	843	855	892	866
748	852	848	857	893	867
749	854	849	860	894	868
750	855	852	862	908	869
751	861	854	863	910	871
752	866	857	866	911	876
753	868	859	868	914	878
754	871	860	869	917	882
755	872	863	870	918	887
756	877	869	871	921	888
757	878	870	872	923	889
758	883	873	874	926	890
759	887	874	876	928	892
760	896	878	883	929	893
761	901	879	884	934	894
762	906	880	887	937	896
763	908	883	888	938	898
764	914	888	890	941	901
765	915	890	892	942	903
766	917	892	893	943	904
767	918	896	896	946	908
768	921	898	901	948	910
769	922	901	911	949	911
770	923	903	918	950	917
771	925	904	921	952	921
772	927	907	922	957	922
773	928	908	925	958	927
774	929	914	927	959	931
775	931	915	930	960	938
776	936	917	936	962	942
777	938	922	937	964	944
778	942	925	942	965	946
779	944	926	944	966	948
780	950	928	952	967	949
781	957	937	956	970	952
782	958	941	957	973	955
783	960	943	958	974	958
784	962	944	963	975	962
785	963	948	964	977	964
786	967	951	966	978	965
787	970	952	967	981	969
788	971	957	968	982	971
789	972	964	969	983	975
790	977	971	970	984	977
791	978	975	973	985	978
792	979	978	974	986	980
793	982	981	979	988	984
794	983	982	981	989	986
795	984	983	982	990	987
796	987	987	983	991	991
797	990	990	986	992	992
798	992	991	990	993	993
799	997	992	993	995	994
