	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	505	198	990	206	647
101	405	764	912	457	839
102	573	4	399	5	947
103	113	424	920	599	153
104	182	698	801	443	964
105	115	84	40	236	881
106	109	193	909	612	259
107	107	609	151	735	653
108	982	425	364	346	531
109	751	888	181	203	433
110	218	772	773	13	265
111	988	479	13	583	393
112	289	672	638	604	378
113	727	558	349	314	467
114	643	512	48	782	65
115	515	779	420	475	525
116	565	821	169	728	377
117	358	746	448	146	417
118	868	384	507	760	886
119	545	642	948	992	574
120	980	848	245	137	834
121	290	143	180	83	272
122	123	21	89	423	792
123	460	534	876	511	816
124	393	834	765	955	268
125	55	626	392	66	165
126	611	590	127	212	139
127	855	571	681	310	112
128	570	279	870	636	14
129	329	39	790	274	436
130	886	313	219	341	889
131	474	656	649	981	297
132	187	951	185	872	164
133	852	282	762	640	629
134	877	803	197	809	602
135	222	153	428	768	989
136	20	704	602	635	46
137	301	55	856	929	72
138	648	884	421	275	781
139	923	301	401	579	916
140	294	798	356	481	900
141	74	673	131	265	869
142	2	961	806	209	484
143	552	948	974	372	1
144	379	51	667	810	105
145	724	697	895	572	615
146	721	917	844	888	357
147	719	819	325	557	677
148	111	326	575	593	668
149	662	606	296	173	397
150	809	814	811	871	606
151	116	355	535	548	715
152	469	161	673	246	577
153	262	42	927	256	99
154	842	163	444	75	40
155	766	923	898	415	740
156	65	95	699	460	682
157	836	678	686	450	801
158	98	522	453	307	62
159	40	644	35	576	147
160	813	137	355	78	954
161	481	737	491	342	109
162	140	553	931	970	720
163	164	44	279	216	943
164	695	383	763	751	867
165	15	266	936	759	597
166	779	385	570	468	859
167	351	625	865	132	336
168	885	409	587	964	650
169	676	533	12	445	338
170	46	379	517	920	586
171	906	823	238	926	475
172	555	139	351	737	207
173	523	651	476	2	818
174	913	918	826	171	331
175	62	114	479	910	236
176	162	11	722	106	844
177	941	308	395	352	284
178	690	795	417	704	163
179	473	124	319	785	892
180	403	578	430	278	850
181	330	628	85	908	994
182	540	692	25	863	190
183	817	258	232	392	814
184	679	759	816	680	198
185	850	770	102	172	734
186	311	455	509	562	992
187	350	555	953	402	370
188	291	238	94	385	419
189	269	106	768	776	459
190	295	649	577	510	913
191	992	131	881	112	702
192	853	777	518	830	686
193	960	411	162	297	97
194	912	181	774	601	583
195	28	550	331	411	953
196	998	593	228	853	603
197	703	177	616	334	685
198	305	832	495	835	247
199	24	741	516	846	761
200	646	330	592	240	536
201	9	212	435	513	912
202	8	499	36	0	285
203	866	227	157	337	332
204	562	902	352	187	235
205	546	175	441	69	890
206	708	487	242	109	317
207	29	549	120	957	407
208	899	669	117	33	86
209	538	928	666	788	611
210	529	231	524	232	854
211	593	401	133	178	667
212	53	275	112	943	958
213	353	975	116	143	87
214	275	319	916	438	504
215	691	273	17	750	669
216	50	528	125	772	559
217	176	149	623	324	61
218	625	506	129	959	240
219	558	195	988	795	213
220	818	490	952	534	328
221	409	860	195	122	158
222	359	940	852	38	523
223	510	213	877	71	129
224	979	158	469	174	4
225	341	696	777	491	563
226	13	410	299	50	665
227	801	306	172	379	862
228	873	325	432	129	515
229	697	164	523	547	674
230	863	600	671	202	405
231	83	715	695	588	756
232	77	850	291	508	659
233	608	941	767	989	249
234	781	890	161	82	851
235	190	8	792	270	394
236	743	34	594	903	98
237	778	100	560	463	95
238	645	608	346	867	135
239	768	660	39	596	464
240	692	767	662	614	773
241	971	378	380	993	676
242	925	771	186	869	374
243	527	710	350	897	727
244	437	906	608	48	157
245	85	854	582	672	215
246	246	339	474	455	438
247	841	173	10	255	80
248	30	818	318	125	507
249	232	260	124	961	398
250	155	484	154	98	694
251	660	128	269	410	573
252	204	226	534	14	823
253	654	643	450	152	810
254	847	26	302	208	911
255	376	80	72	819	339
256	297	957	246	521	826
257	551	2	830	197	754
258	881	367	166	878	521
259	664	321	100	64	366
260	601	622	655	738	15
261	682	588	431	43	960
262	634	711	918	526	308
263	93	507	375	320	273
264	537	568	109	670	921
265	201	418	113	528	564
266	135	976	504	488	824
267	114	262	19	335	757
268	834	497	457	31	769
269	805	245	221	229	550
270	987	552	613	862	47
271	370	919	625	194	410
272	977	454	294	227	749
273	618	201	233	848	731
274	22	278	631	480	975
275	173	372	425	305	148
276	541	280	633	984	848
277	769	797	628	241	329
278	851	75	283	940	210
279	533	76	194	336	696
280	742	354	419	673	935
281	259	769	281	87	494
282	202	613	490	88	808
283	566	60	652	542	502
284	760	720	38	571	364
285	23	544	377	945	689
286	75	898	324	816	376
287	380	240	367	600	847
288	383	794	657	422	831
289	821	908	729	701	969
290	854	71	308	136	598
291	48	474	209	995	870
292	905	370	558	145	143
293	147	406	771	158	483
294	681	725	397	623	802
295	583	869	222	823	760
296	830	663	743	373	11
297	582	624	3	834	35
298	493	142	32	561	856
299	131	331	83	767	827
300	442	722	654	590	437
301	665	434	906	139	246
302	389	847	460	822	939
303	722	243	712	972	167
304	704	560	646	260	599
305	577	873	298	880	940
306	338	197	714	753	21
307	128	581	951	49	716
308	92	574	1	948	946
309	52	949	868	484	930
310	133	93	515	747	811
311	68	836	929	652	499
312	321	64	930	690	584
313	336	348	270	618	837
314	180	62	378	963	791
315	318	547	624	681	411
316	990	430	506	388	952
317	773	150	406	639	855
318	446	757	111	333	896
319	716	433	320	659	551
320	933	169	677	661	819
321	340	935	813	698	446
322	244	99	651	707	31
323	856	650	665	875	836
324	170	922	47	169	100
325	844	27	357	446	919
326	235	58	332	269	612
327	614	458	595	157	451
328	458	286	261	656	440
329	495	646	982	806	92
330	47	892	618	204	443
331	228	77	429	408	389
332	430	481	944	370	227
333	596	217	922	814	52
334	466	101	615	30	327
335	636	347	850	369	88
336	663	304	706	773	44
337	416	991	23	632	116
338	772	73	472	980	580
339	86	702	501	861	922
340	845	429	913	401	498
341	776	793	601	286	981
342	254	831	680	61	662
343	839	501	782	967	312
344	927	982	627	440	980
345	189	236	165	721	587
346	658	126	672	225	931
347	324	582	786	538	73
348	308	786	522	316	124
349	739	88	327	603	944
350	726	743	926	37	477
351	943	939	585	860	290
352	938	320	37	741	510
353	390	938	754	345	917
354	865	944	313	532	211
355	591	538	713	262	281
356	550	36	8	371	866
357	317	134	167	689	263
358	810	381	343	323	427
359	192	877	758	824	180
360	472	676	752	42	949
361	32	471	55	302	948
362	160	365	817	266	663
363	456	405	841	111	476
364	144	870	268	102	324
365	89	293	24	606	67
366	887	91	693	92	396
367	45	645	188	705	496
368	101	959	937	213	278
369	754	862	286	280	505
370	895	614	262	856	201
371	921	573	919	688	558
372	525	261	408	327	575
373	139	945	250	57	85
374	362	140	796	928	600
375	331	920	903	382	367
376	861	655	775	74	985
377	615	983	579	642	343
378	171	591	998	285	885
379	42	422	824	527	809
380	427	845	348	786	582
381	342	979	664	181	179
382	936	658	635	938	774
383	468	925	159	328	209
384	360	333	855	780	110
385	256	740	829	3	30
386	18	167	108	466	266
387	756	843	973	990	805
388	307	303	485	839	399
389	731	742	568	189	18
390	476	503	412	311	346
391	184	968	371	729	623
392	395	315	176	294	279
393	151	782	492	147	840
394	494	619	200	409	933
395	902	23	607	820	697
396	117	705	827	35	375
397	668	87	312	711	414
398	587	442	398	555	171
399	667	580	11	619	439
400	272	162	276	575	491
401	471	9	160	399	714
402	445	174	539	387	532
403	118	251	96	168	318
404	100	745	788	140	479
405	918	115	781	891	691
406	557	256	619	167	155
407	616	295	285	162	36
408	800	985	51	233	458
409	121	630	902	54	963
410	346	844	605	796	159
411	609	559	224	501	572
412	999	674	525	734	909
413	657	206	893	34	744
414	487	437	643	537	628
415	629	187	828	156	325
416	385	120	107	889	53
417	837	63	924	306	482
418	576	374	569	724	456
419	974	459	776	362	520
420	517	448	387	258	270
421	848	990	621	868	555
422	642	723	889	564	461
423	408	155	52	354	703
424	191	203	531	304	932
425	94	602	493	902	752
426	372	516	670	531	684
427	485	521	989	429	337
428	265	754	739	159	700
429	69	576	800	517	875
430	288	883	309	556	927
431	543	450	339	95	977
432	492	189	659	454	590
433	804	10	77	504	299
434	499	987	155	633	748
435	924	859	201	799	845
436	220	993	452	160	379
437	599	467	707	685	122
438	542	199	14	58	617
439	267	297	887	647	688
440	548	415	648	616	301
441	711	247	833	808	16
442	300	441	784	473	825
443	161	820	603	951	706
444	323	496	530	545	997
445	59	857	385	267	772
446	764	863	576	72	593
447	150	156	866	153	24
448	137	597	721	585	670
449	745	43	901	595	463
450	130	307	996	348	763
451	651	239	33	818	608
452	962	329	9	176	138
453	916	905	311	199	82
454	179	204	984	954	908
455	785	943	803	826	784
456	732	686	134	999	750
457	286	343	911	26	547
458	879	233	177	184	860
459	448	554	122	917	120
460	433	607	41	594	853
461	483	971	791	250	971
462	705	68	289	220	415
463	215	24	130	154	288
464	953	825	184	520	995
465	245	263	498	165	449
466	605	498	547	344	174
467	939	234	797	539	176
468	509	889	28	982	658
469	11	561	737	425	882
470	320	566	486	648	168
471	357	395	679	237	705
472	387	460	146	16	408
473	438	318	891	789	294
474	969	172	557	221	373
475	571	192	612	338	641
476	73	706	240	500	20
477	72	396	863	376	188
478	568	515	237	186	655
479	404	371	148	15	423
480	579	556	588	952	322
481	452	276	867	97	359
482	740	440	728	664	820
483	217	81	645	29	212
484	728	259	470	20	549
485	396	992	496	424	799
486	284	449	882	45	878
487	934	875	814	522	846
488	333	687	890	104	252
489	7	349	701	412	978
490	361	400	851	103	406
491	706	806	941	617	675
492	803	200	235	492	283
493	105	874	487	300	161
494	620	127	961	918	605
495	826	14	264	865	554
496	57	701	639	12	970
497	520	336	965	191	271
498	241	274	622	67	874
499	502	635	843	765	569
500	617	647	382	916	387
501	293	423	502	507	132
502	795	241	391	792	924
503	268	439	394	8	361
504	283	766	231	947	736
505	919	208	15	723	493
506	434	519	962	629	404
507	961	69	956	134	560
508	907	46	271	499	699
509	365	897	874	142	424
510	298	465	853	448	614
511	997	903	359	552	973
512	883	48	386	121	363
513	309	709	354	663	224
514	978	470	660	544	887
515	17	738	198	657	50
516	604	787	362	380	903
517	149	514	545	892	991
518	741	907	756	259	635
519	207	680	199	183	358
520	749	468	995	80	233
521	884	445	900	743	74
522	310	978	581	91	432
523	411	118	862	812	452
524	840	219	322	641	832
525	581	934	932	831	631
526	34	879	403	509	591
527	374	160	304	141	938
528	783	130	860	953	835
529	444	322	778	887	888
530	205	159	247	442	125
531	352	35	478	934	974
532	715	839	993	678	767
533	450	451	44	386	803
534	575	28	26	394	101
535	794	543	747	881	657
536	249	49	968	807	416
537	729	807	709	315	955
538	942	186	700	700	468
539	828	145	424	282	644
540	281	380	696	330	333
541	441	185	846	68	557
542	464	388	857	763	979
543	806	611	892	924	822
544	963	563	905	108	96
545	612	679	6	726	214
546	386	184	86	414	764
547	649	135	755	879	857
548	787	489	272	909	976
549	154	344	305	790	388
550	443	504	669	946	710
551	901	812	251	714	232
552	640	447	969	939	751
553	440	45	831	975	465
554	638	20	970	876	0
555	19	196	314	683	849
556	239	488	337	101	206
557	996	205	449	36	868
558	429	485	205	239	41
559	835	540	123	914	189
560	516	362	65	301	231
561	930	981	347	163	987
562	349	539	697	179	225
563	747	739	766	719	815
564	784	38	586	514	133
565	670	911	720	295	392
566	985	90	230	847	681
567	759	955	715	27	382
568	967	420	353	357	104
569	465	599	212	496	656
570	401	495	179	512	117
571	462	146	34	567	309
572	701	815	208	805	280
573	613	202	115	272	578
574	145	895	842	207	807
575	251	472	551	702	518
576	632	125	650	431	462
577	49	398	451	574	708
578	725	469	439	800	144
579	755	736	880	46	221
580	710	729	211	248	797
581	984	54	600	693	876
582	314	207	981	441	965
583	567	37	837	478	335
584	175	817	446	453	126
585	194	170	505	563	813
586	597	391	374	554	585
587	532	886	795	470	604
588	375	363	785	361	601
589	932	510	835	998	988
590	554	572	536	569	698
591	653	896	682	284	986
592	39	714	150	857	622
593	163	518	173	407	753
594	513	373	559	686	251
595	522	361	883	977	841
596	633	952	704	828	897
597	966	94	668	406	68
598	152	526	957	817	150
599	428	562	979	76	428
600	247	419	256	752	501
601	274	6	678	625	489
602	808	631	994	474	728
603	76	809	529	942	894
604	345	292	404	180	219
605	348	248	358	317	785
606	252	92	223	257	790
607	258	83	872	149	646
608	594	781	731	303	386
609	120	901	442	713	447
610	497	147	389	566	230
611	777	830	342	130	63
612	717	774	764	420	594
613	196	589	798	196	457
614	435	724	106	525	60
615	556	377	67	493	241
616	477	537	365	215	726
617	536	183	132	497	181
618	771	755	136	332	258
619	354	209	637	549	910
620	108	717	597	126	267
621	931	627	145	17	43
622	136	885	653	667	413
623	335	683	334	312	534
624	945	753	369	245	349
625	51	288	141	965	400
626	271	407	964	958	200
627	944	56	532	90	707
628	797	356	73	427	739
629	103	912	293	855	412
630	195	570	869	986	718
631	833	17	27	602	755
632	198	310	658	390	119
633	419	648	275	138	838
634	54	508	50	164	639
635	296	652	859	859	745
636	798	59	580	495	732
637	780	675	137	962	626
638	544	210	675	471	78
639	637	546	288	611	205
640	60	761	947	296	365
641	478	592	97	355	596
642	799	242	274	347	984
643	928	477	519	960	642
644	908	132	21	758	255
645	260	703	456	293	345
646	193	298	620	222	330
647	425	865	462	732	561
648	678	577	958	223	950
649	958	444	598	148	127
650	849	827	328	124	546
651	659	937	564	621	455
652	506	220	193	127	64
653	168	500	84	973	19
654	584	731	494	718	418
655	624	964	986	682	203
656	956	841	904	692	469
657	734	929	805	271	804
658	748	376	220	905	466
659	306	932	879	677	796
660	287	997	896	462	391
661	666	531	202	840	588
662	929	12	87	978	356
663	399	85	360	949	524
664	561	851	885	461	907
665	914	33	779	235	316
666	896	350	187	778	762
667	56	980	609	710	923
668	303	3	152	195	843
669	535	605	810	535	307
670	954	70	29	319	661
671	524	638	252	671	724
672	439	211	144	451	723
673	0	426	567	551	166
674	762	880	562	864	229
675	647	289	543	403	353
676	138	18	821	559	37
677	78	784	935	56	503
678	431	804	171	722	197
679	606	382	789	226	57
680	761	999	409	192	770
681	671	228	216	793	904
682	694	677	610	63	334
683	586	82	552	523	893
684	96	716	381	877	780
685	210	89	415	291	920
686	713	277	5	874	228
687	234	102	7	452	610
688	122	899	2	631	998
689	143	545	871	997	422
690	619	416	229	666	812
691	696	478	66	836	490
692	970	464	590	988	295
693	369	610	215	238	472
694	91	756	849	620	238
695	461	695	467	553	759
696	356	136	265	937	194
697	641	7	718	384	616
698	763	802	527	815	292
699	922	366	802	231	54
700	983	222	574	883	315
701	871	664	933	787	326
702	752	453	513	703	717
703	153	281	591	709	384
704	792	103	629	541	571
705	917	473	407	218	828
706	253	699	690	581	311
707	436	864	340	467	542
708	603	291	64	219	182
709	166	296	218	968	350
710	250	634	730	684	898
711	621	491	897	224	500
712	126	615	769	343	323
713	104	302	691	214	351
714	683	312	326	730	140
715	480	230	971	413	383
716	709	482	178	832	77
717	99	353	390	482	402
718	843	327	899	913	693
719	221	334	321	655	829
720	957	933	225	41	513
721	700	443	950	447	630
722	790	567	22	540	175
723	216	475	687	9	28
724	972	783	741	592	445
725	770	789	70	660	91
726	528	780	213	560	300
727	347	926	858	761	151
728	206	505	418	65	530
729	172	585	489	974	289
730	811	340	244	893	589
731	955	596	630	838	196
732	685	403	104	630	786
733	968	816	434	609	672
734	486	900	963	794	942
735	279	530	888	268	154
736	915	364	934	890	93
737	106	878	426	983	131
738	539	726	967	669	517
739	322	966	689	395	901
740	753	57	925	193	621
741	413	972	626	465	430
742	230	636	742	674	519
743	488	427	4	253	59
744	373	758	578	586	22
745	650	223	684	47	636
746	84	904	983	393	39
747	134	511	793	653	565
748	61	694	733	762	113
749	391	639	884	396	566
750	796	708	217	351	972
751	832	867	820	894	993
752	549	685	317	725	208
753	299	332	573	105	121
754	142	16	459	135	239
755	417	358	335	53	652
756	872	721	287	829	276
757	146	914	949	506	313
758	687	994	81	950	371
759	447	954	825	360	79
760	807	78	725	421	277
761	661	799	71	363	27
762	4	29	533	377	25
763	364	97	864	418	800
764	328	182	119	985	962
765	292	389	503	433	529
766	368	668	300	941	282
767	774	494	266	405	613
768	627	5	214	775	302
769	273	564	514	748	6
770	578	849	95	40	242
771	414	314	90	991	556
772	344	842	464	923	680
773	421	225	190	417	481
774	503	727	976	22	303
775	744	584	277	529	234
776	698	749	422	426	497
777	420	438	746	170	533
778	521	30	473	757	226
779	224	436	248	911	735
780	712	285	966	766	454
781	812	435	488	882	321
782	43	633	254	870	102
783	119	341	942	720	512
784	815	113	416	736	733
785	569	837	840	802	51
786	684	486	138	110	607
787	70	264	0	770	842
788	878	31	735	254	183
789	950	833	31	858	624
790	975	359	290	397	368
791	261	414	454	643	634
792	248	595	158	94	369
793	512	852	484	921	528
794	822	283	921	570	553
795	410	535	61	185	115
796	673	107	363	966	775
797	735	915	292	907	548
798	280	996	500	81	511
799	67	719	402	536	871
