	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	932	566	885	280	11
101	308	550	697	237	650
102	62	71	638	528	416
103	848	522	918	686	920
104	196	301	252	511	150
105	434	769	953	320	739
106	557	340	580	67	682
107	966	652	496	189	629
108	975	889	504	963	900
109	262	291	764	403	517
110	85	124	539	448	511
111	116	126	26	537	40
112	971	650	235	103	610
113	659	438	649	445	769
114	150	279	551	569	569
115	929	610	247	660	652
116	346	833	988	509	558
117	554	106	67	0	454
118	774	273	856	304	224
119	202	702	525	817	139
120	528	577	272	111	841
121	57	606	842	683	615
122	335	442	420	78	542
123	372	6	346	567	563
124	609	298	287	657	165
125	586	906	947	54	198
126	798	676	311	471	642
127	139	473	630	661	335
128	471	14	912	776	462
129	191	266	285	12	67
130	198	183	904	799	953
131	679	62	198	831	753
132	106	644	339	946	840
133	643	202	643	108	844
134	968	562	612	347	767
135	20	631	271	29	835
136	416	289	130	270	267
137	742	426	989	65	750
138	187	975	342	426	718
139	122	29	262	239	68
140	627	630	195	540	475
141	761	12	786	401	624
142	249	195	96	394	279
143	123	845	929	42	132
144	583	458	473	724	502
145	665	347	270	382	493
146	863	331	193	355	57
147	545	935	765	421	110
148	950	951	200	743	656
149	224	379	155	40	109
150	155	433	627	954	947
151	691	388	125	169	479
152	881	210	863	909	828
153	59	430	251	348	375
154	550	443	392	191	589
155	536	519	398	786	379
156	845	539	969	879	700
157	474	222	17	241	259
158	540	217	664	278	843
159	826	333	588	172	317
160	855	213	451	185	211
161	642	415	821	522	647
162	234	26	774	379	689
163	591	280	882	806	236
164	93	203	645	76	484
165	301	553	570	656	201
166	411	55	491	772	183
167	379	649	578	951	207
168	349	384	115	257	529
169	77	774	952	499	203
170	151	34	176	495	889
171	624	467	441	678	423
172	620	73	616	337	307
173	34	544	795	122	346
174	478	422	421	548	430
175	443	516	11	317	180
176	957	588	850	31	870
177	561	33	428	588	20
178	414	985	488	422	87
179	578	60	238	454	886
180	988	173	402	183	206
181	729	100	162	81	587
182	194	248	66	135	330
183	703	491	374	132	804
184	404	177	562	858	528
185	658	870	994	138	397
186	218	314	269	575	249
187	281	304	111	480	829
188	245	377	160	544	708
189	650	349	898	352	143
190	683	994	264	609	477
191	777	514	364	49	832
192	60	949	21	168	326
193	956	198	519	500	786
194	430	401	134	447	129
195	895	383	256	284	315
196	274	729	293	248	318
197	637	500	367	574	445
198	347	471	181	465	457
199	192	582	371	881	451
200	13	530	224	552	505
201	258	206	442	882	681
202	505	717	474	33	392
203	176	153	187	787	92
204	271	954	793	535	496
205	173	966	424	669	393
206	131	540	439	441	273
207	348	196	107	13	659
208	608	42	669	415	410
209	544	54	237	392	602
210	154	755	409	238	331
211	273	552	335	606	324
212	582	997	172	63	924
213	633	528	33	674	0
214	442	479	41	466	339
215	253	547	564	68	963
216	649	635	935	384	131
217	805	508	595	542	283
218	109	837	314	590	668
219	314	231	718	633	761
220	542	435	167	344	284
221	410	797	426	728	839
222	383	892	464	41	226
223	317	496	13	950	50
224	251	447	597	846	133
225	160	131	621	889	603
226	121	592	248	410	588
227	808	27	38	488	991
228	512	163	4	642	773
229	307	302	951	829	39
230	778	742	629	778	653
231	135	39	55	975	368
232	241	307	523	632	676
233	433	535	406	760	247
234	55	875	729	470	797
235	162	409	165	468	210
236	134	867	916	20	77
237	549	418	728	424	665
238	516	468	362	369	285
239	458	793	8	553	464
240	678	371	785	195	458
241	763	81	100	563	258
242	279	406	755	473	808
243	50	8	231	162	406
244	78	794	665	527	336
245	523	115	50	154	301
246	195	484	216	718	591
247	172	795	865	148	469
248	353	570	389	442	774
249	548	49	422	653	586
250	247	134	456	180	270
251	708	518	963	523	530
252	318	448	517	335	561
253	298	703	678	311	16
254	566	381	356	618	463
255	441	672	653	362	271
256	885	798	522	916	46
257	149	354	415	953	912
258	755	501	829	390	188
259	291	184	250	414	501
260	634	319	350	586	466
261	115	605	31	484	238
262	436	348	930	506	845
263	390	915	879	167	97
264	821	722	506	47	280
265	464	283	667	808	736
266	175	613	591	406	349
267	954	940	816	34	389
268	856	472	739	570	976
269	936	465	586	643	233
270	865	102	320	452	556
271	350	706	691	50	657
272	248	643	319	672	364
273	364	378	331	8	533
274	562	293	403	235	30
275	393	344	489	327	388
276	133	398	805	310	323
277	250	170	801	949	601
278	206	343	545	61	44
279	193	885	397	433	231
280	336	175	233	224	985
281	651	389	797	555	394
282	670	92	620	395	241
283	879	297	70	256	837
284	272	70	365	72	384
285	100	591	185	207	404
286	810	236	631	193	940
287	969	482	133	285	578
288	204	339	178	314	148
289	469	593	926	451	816
290	698	28	169	5	507
291	852	685	85	620	371
292	92	125	106	457	438
293	785	474	298	110	378
294	361	361	505	222	119
295	447	21	404	713	432
296	873	262	418	254	939
297	2	367	633	545	549
298	537	164	158	926	916
299	228	897	686	440	383
300	668	434	211	871	483
301	374	330	814	165	73
302	73	90	217	765	822
303	324	615	218	814	47
304	180	561	213	474	688
305	565	440	148	250	302
306	452	107	34	536	225
307	795	320	900	438	913
308	681	263	254	104	82
309	796	142	870	272	418
310	320	59	709	181	447
311	850	976	228	418	644
312	425	933	833	216	63
313	629	48	462	38	78
314	293	883	201	875	697
315	328	240	560	399	557
316	54	678	689	947	414
317	953	563	1	822	461
318	533	228	274	704	433
319	797	420	706	496	176
320	963	554	569	794	555
321	919	286	557	730	402
322	11	668	452	805	846
323	254	674	266	233	672
324	420	639	650	560	875
325	996	63	377	139	577
326	768	978	394	763	353
327	146	230	535	231	634
328	664	362	672	940	272
329	344	172	919	36	919
330	728	633	65	463	560
331	933	787	177	266	655
332	222	350	81	178	969
333	435	10	279	443	519
334	787	155	507	943	546
335	772	233	10	630	59
336	465	277	222	324	104
337	230	160	798	319	482
338	246	624	390	330	518
339	924	247	933	218	100
340	676	162	5	271	446
341	917	786	855	585	935
342	483	651	173	595	639
343	184	414	378	184	553
344	605	187	871	346	593
345	839	753	430	388	28
346	603	169	601	664	31
347	502	507	324	371	369
348	142	485	530	315	566
349	871	697	180	549	37
350	552	135	500	90	468
351	61	356	349	293	523
352	606	555	996	603	125
353	428	95	417	16	135
354	930	185	144	372	547
355	448	139	286	501	805
356	164	560	924	592	994
357	801	181	742	92	144
358	615	646	733	556	630
359	356	549	777	562	565
360	799	814	837	417	585
361	280	634	881	258	230
362	17	739	36	867	18
363	168	94	347	197	548
364	295	816	348	796	398
365	717	44	479	601	72
366	446	353	518	109	415
367	445	821	129	402	819
368	706	511	637	149	600
369	4	505	47	30	989
370	837	400	119	547	439
371	794	149	646	838	41
372	421	968	138	22	703
373	140	850	457	240	65
374	915	274	788	863	181
375	286	919	375	97	717
376	83	78	230	282	115
377	439	411	39	187	613
378	431	242	425	286	465
379	613	140	957	176	728
380	813	926	623	941	228
381	30	192	668	66	121
382	287	602	889	508	706
383	653	498	950	246	290
384	556	143	407	214	62
385	42	578	895	491	151
386	685	669	7	58	96
387	985	597	304	993	365
388	368	11	486	213	590
389	822	251	949	991	946
390	712	608	502	82	617
391	662	991	188	659	356
392	365	97	592	232	417
393	440	372	246	561	491
394	107	679	116	690	755
395	697	880	302	45	229
396	28	38	448	655	266
397	389	580	552	623	933
398	7	200	52	557	343
399	555	512	283	992	500
400	47	445	773	423	175
401	535	952	94	685	882
402	103	226	527	17	631
403	94	4	590	865	855
404	997	865	696	173	246
405	468	533	151	461	885
406	369	238	337	856	213
407	217	182	354	736	200
408	916	600	469	688	871
409	648	441	214	27	498
410	485	531	582	397	605
411	297	506	240	121	598
412	65	478	478	94	240
413	362	599	277	475	443
414	8	327	353	870	337
415	104	879	73	531	327
416	601	754	104	377	422
417	354	318	434	819	367
418	331	193	290	106	669
419	461	488	524	354	27
420	632	645	44	393	377
421	207	723	784	648	167
422	462	708	245	840	950
423	51	114	184	631	801
424	847	736	401	997	467
425	883	664	776	316	881
426	39	241	416	629	91
427	912	590	906	343	440
428	235	642	536	80	670
429	96	515	435	768	949
430	126	656	791	129	744
431	587	373	659	328	897
432	833	30	713	566	814
433	625	941	299	425	796
434	111	256	585	924	763
435	769	772	648	520	707
436	40	625	853	482	723
437	290	365	501	323	74
438	283	341	867	512	232
439	216	943	484	785	792
440	762	423	610	689	975
441	942	764	763	446	691
442	546	900	858	600	892
443	913	771	722	142	621
444	256	839	690	892	408
445	906	898	3	411	86
446	456	258	446	158	124
447	753	469	343	192	452
448	284	464	381	617	641
449	941	704	730	703	597
450	641	364	577	361	350
451	967	312	61	478	288
452	776	20	242	910	194
453	532	841	244	253	297
454	300	439	369	87	646
455	72	627	318	152	662
456	438	923	71	847	436
457	943	655	485	196	235
458	70	817	625	74	512
459	657	31	317	57	251
460	567	103	122	262	428
461	68	146	40	124	917
462	704	546	28	507	299
463	619	16	124	853	867
464	299	436	268	826	221
465	303	76	846	670	60
466	67	886	936	962	984
467	617	945	48	602	878
468	466	487	775	431	799
469	473	424	459	163	608
470	492	201	817	559	105
471	210	895	657	295	525
472	840	37	567	534	1
473	323	745	976	98	456
474	244	556	515	855	101
475	387	3	796	206	705
476	49	91	131	420	988
477	853	17	598	226	524
478	130	416	444	883	263
479	417	207	778	788	14
480	524	584	618	762	623
481	792	5	321	95	856
482	522	310	651	989	98
483	480	489	956	761	993
484	403	321	574	37	702
485	749	862	467	302	164
486	804	211	340	640	268
487	575	306	587	897	489
488	161	996	704	105	628
489	741	944	154	268	574
490	189	285	509	102	785
491	569	537	768	160	325
492	18	136	655	752	387
493	690	334	327	130	80
494	645	559	605	747	772
495	927	884	707	945	363
496	375	574	12	510	61
497	153	18	897	269	826
498	886	186	967	467	52
499	342	295	291	274	374
500	114	912	51	3	359
501	330	167	624	729	714
502	506	475	123	307	424
503	232	395	769	91	554
504	341	82	984	146	190
505	9	873	600	409	113
506	143	470	679	816	85
507	147	486	83	641	179
508	45	709	146	984	992
509	486	36	232	988	497
510	646	315	670	341	265
511	841	45	892	202	997
512	577	595	14	532	4
513	525	325	109	985	696
514	288	68	395	707	510
515	310	510	209	71	910
516	597	741	533	164	36
517	760	80	883	336	582
518	509	58	615	554	850
519	739	585	547	702	930
520	745	648	880	635	853
521	517	619	613	170	459
522	201	303	97	887	536
523	252	444	516	407	716
524	163	51	27	35	791
525	321	264	498	140	674
526	618	147	102	236	575
527	409	567	602	880	898
528	570	130	840	291	182
529	268	374	747	529	373
530	408	407	792	775	234
531	306	917	386	229	971
532	444	425	813	625	321
533	395	589	22	723	499
534	884	701	603	839	242
535	101	83	72	970	515
536	22	622	431	929	140
537	705	852	628	737	760
538	747	992	492	134	970
539	984	243	700	793	943
540	752	777	575	143	154
541	510	780	387	14	745
542	700	234	470	614	303
543	579	683	754	780	316
544	640	499	95	917	559
545	105	686	746	156	166
546	340	737	37	722	862
547	74	863	281	387	79
548	780	993	619	462	752
549	970	695	399	153	102
550	744	581	328	221	295
551	974	692	884	204	762
552	119	101	326	639	411
553	488	227	288	297	812
554	86	660	913	907	838
555	166	847	190	923	93
556	529	628	355	790	277
557	98	812	771	386	869
558	695	459	859	612	622
559	520	804	660	619	635
560	117	746	534	748	932
561	573	158	265	859	122
562	15	313	662	481	333
563	977	757	136	147	748
564	593	288	825	913	163
565	170	534	790	982	215
566	259	543	942	700	887
567	499	449	635	967	734
568	91	275	313	125	532
569	52	7	622	137	754
570	0	756	494	521	328
571	748	564	90	795	407
572	429	727	701	720	147
573	76	259	382	978	520
574	851	204	968	53	53
575	734	161	941	757	313
576	144	363	152	9	158
577	812	429	157	594	780
578	978	799	276	303	764
579	716	77	449	767	214
580	790	410	86	701	15
581	221	738	360	692	907
582	907	503	594	101	923
583	817	282	543	621	531
584	265	716	221	874	197
585	351	874	559	759	775
586	399	759	720	363	117
587	992	396	993	667	255
588	982	719	909	876	276
589	46	9	179	564	312
590	764	922	363	312	503
591	861	877	581	215	847
592	773	925	77	294	189
593	727	156	359	342	95
594	48	57	982	938	974
595	53	494	608	492	99
596	477	137	851	721	685
597	401	851	194	968	351
598	386	982	712	593	361
599	694	451	852	810	851
600	182	761	0	48	606
601	654	376	862	265	954
602	713	46	325	741	116
603	828	359	779	525	22
604	754	614	767	709	376
605	413	89	762	408	449
606	784	932	166	194	612
607	568	239	741	792	580
608	190	568	810	145	675
609	113	609	117	83	196
610	759	403	920	376	810
611	925	208	529	773	594
612	220	329	695	43	338
613	599	859	87	220	282
614	527	391	15	171	720
615	481	159	161	616	813
616	945	675	639	972	311
617	239	490	312	338	942
618	779	820	503	581	727
619	998	521	89	259	126
620	269	758	145	579	155
621	722	721	531	209	366
622	329	740	513	677	952
623	359	971	974	861	667
624	352	819	432	888	616
625	360	64	609	517	550
626	494	75	970	351	972
627	294	382	9	599	281
628	832	366	737	878	227
629	621	907	927	942	564
630	771	99	699	203	252
631	309	948	487	766	171
632	89	292	215	812	927
633	56	145	358	952	309
634	701	113	828	513	534
635	152	815	986	413	909
636	138	939	925	959	698
637	740	929	675	275	138
638	145	807	877	571	699
639	709	720	408	920	168
640	396	481	966	815	391
641	715	957	932	15	834
642	543	979	220	126	686
643	551	983	568	300	757
644	373	245	275	758	874
645	497	711	671	227	759
646	800	538	391	966	51
647	721	455	866	734	800
648	179	784	186	750	944
649	877	903	576	385	825
650	503	694	857	159	329
651	612	405	902	711	790
652	667	189	752	576	807
653	136	220	887	380	740
654	923	766	715	830	848
655	108	987	998	828	599
656	391	497	29	396	332
657	521	636	64	869	573
658	614	714	820	877	859
659	844	857	826	891	413
660	171	854	32	497	25
661	660	972	137	719	815
662	594	355	579	223	978
663	275	696	229	872	481
664	887	2	171	684	494
665	538	920	714	179	938
666	338	326	735	800	614
667	666	869	300	75	159
668	979	385	412	405	153
669	99	276	721	848	157
670	515	699	981	666	399
671	376	990	223	753	239
672	770	93	681	890	396
673	358	197	573	977	715
674	815	825	113	834	386
675	43	715	841	538	604
676	487	834	684	974	572
677	581	573	490	961	412
678	311	87	309	732	756
679	616	767	971	857	35
680	684	698	108	990	571
681	215	878	756	255	894
682	902	576	159	681	521
683	878	56	454	208	161
684	990	899	827	306	820
685	854	677	948	862	857
686	711	120	891	738	490
687	29	281	202	802	382
688	987	783	874	948	903
689	692	848	922	429	684
690	962	779	652	820	677
691	944	844	208	981	995
692	405	209	944	928	733
693	899	888	869	373	54
694	120	43	308	455	890
695	604	332	758	412	979
696	137	638	990	832	308
697	783	770	197	186	948
698	696	199	800	64	636
699	806	336	766	770	209
700	19	23	2	2	6
701	23	24	6	26	19
702	24	35	19	46	21
703	32	69	23	56	24
704	69	84	24	69	43
705	75	85	25	88	64
706	84	88	35	112	88
707	118	118	84	127	112
708	128	127	112	136	120
709	205	128	120	141	127
710	260	132	127	157	174
711	261	150	132	174	205
712	267	174	141	199	208
713	289	205	150	212	212
714	292	212	199	219	219
715	296	219	205	225	278
716	305	223	212	245	289
717	322	225	219	260	292
718	333	260	225	267	294
719	345	261	261	296	300
720	357	278	289	301	322
721	370	296	292	305	334
722	380	308	294	332	345
723	385	322	296	333	357
724	419	358	305	334	358
725	427	370	322	345	370
726	437	380	332	357	400
727	450	419	334	360	405
728	460	427	351	370	419
729	472	437	352	427	427
730	476	450	357	450	437
731	493	453	380	453	455
732	495	454	385	460	472
733	513	460	419	493	476
734	539	477	429	504	504
735	541	495	450	514	513
736	558	504	453	526	551
737	571	526	460	539	583
738	576	545	472	541	584
739	584	558	476	551	596
740	596	571	493	572	607
741	611	572	495	583	611
742	636	596	514	596	626
743	638	607	532	604	658
744	647	611	558	611	661
745	661	626	607	636	663
746	663	647	626	647	680
747	671	658	654	652	693
748	673	663	658	663	694
749	682	673	666	671	710
750	687	680	673	673	724
751	710	687	677	680	726
752	719	705	680	682	731
753	724	710	682	693	732
754	725	724	687	698	735
755	726	725	693	705	749
756	731	726	725	710	751
757	732	731	731	714	770
758	735	743	743	725	781
759	743	749	781	726	784
760	751	781	782	735	802
761	756	782	789	751	803
762	766	789	802	782	809
763	781	802	803	789	811
764	803	803	806	807	818
765	807	806	811	809	823
766	809	809	824	818	824
767	811	818	830	823	827
768	818	823	831	824	831
769	830	827	835	835	836
770	834	830	843	836	842
771	835	831	844	860	849
772	836	832	849	864	854
773	842	836	860	868	860
774	843	842	864	893	866
775	849	843	868	894	868
776	866	849	872	902	876
777	868	860	876	903	888
778	872	864	888	905	893
779	896	890	890	908	896
780	901	896	893	911	901
781	905	901	896	914	904
782	908	902	899	918	908
783	914	904	901	921	911
784	918	905	903	934	921
785	921	908	905	937	922
786	922	911	911	939	931
787	928	914	921	955	955
788	931	918	931	957	958
789	934	928	934	958	960
790	938	934	937	960	962
791	939	937	958	964	964
792	955	938	961	965	965
793	958	955	962	973	973
794	960	959	964	980	977
795	961	961	965	983	980
796	972	964	973	986	981
797	980	980	979	995	986
798	983	981	983	998	987
799	999	999	995	999	998
