	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	638	645	652	641	641
101	11	646	9	20	642
102	650	9	17	22	644
103	19	11	668	664	11
104	20	12	670	42	669
105	658	655	675	43	675
106	22	20	28	46	51
107	663	39	684	54	696
108	28	43	689	56	698
109	39	692	690	689	62
110	43	48	700	690	65
111	53	49	704	693	73
112	55	51	715	702	715
113	56	697	722	705	728
114	711	699	741	707	87
115	717	701	102	80	86
116	721	702	743	83	92
117	722	55	754	722	102
118	731	703	771	732	752
119	741	705	785	97	754
120	105	709	138	736	761
121	106	711	144	102	120
122	108	71	790	109	126
123	109	75	789	747	129
124	752	80	797	759	132
125	117	83	800	760	138
126	755	87	806	770	147
127	122	92	165	138	792
128	763	102	166	139	154
129	136	759	173	773	800
130	138	769	176	786	157
131	155	136	178	147	158
132	810	146	180	158	175
133	811	783	831	163	820
134	204	787	844	806	824
135	844	794	853	168	825
136	217	158	874	809	188
137	852	164	230	173	196
138	855	806	883	823	200
139	856	169	888	191	206
140	871	170	889	834	845
141	872	807	896	196	209
142	877	173	897	203	855
143	246	203	901	206	857
144	248	204	266	855	232
145	883	845	272	220	233
146	252	207	919	867	234
147	896	850	922	229	238
148	260	217	926	231	886
149	905	869	927	233	246
150	273	873	289	235	892
151	932	239	932	238	900
152	293	241	292	893	908
153	300	243	296	253	277
154	305	878	300	897	279
155	314	883	308	257	924
156	957	885	948	905	289
157	962	892	312	910	300
158	969	896	313	275	308
159	970	897	318	924	312
160	333	266	962	934	321
161	975	273	963	286	324
162	335	288	964	304	964
163	344	296	321	955	325
164	350	932	968	314	328
165	352	301	328	964	970
166	996	314	969	965	975
167	997	315	335	327	976
168	998	321	984	975	334
169	356	961	989	335	345
170	395	979	362	982	989
171	396	344	369	989	351
172	405	356	401	346	353
173	420	996	402	348	368
174	428	365	406	993	386
175	438	366	422	372	406
176	441	372	426	382	407
177	445	403	454	406	443
178	456	405	476	429	451
179	461	418	489	461	459
180	462	422	492	462	462
181	472	423	495	492	467
182	473	440	504	493	469
183	494	444	506	506	503
184	497	467	513	514	505
185	505	472	517	527	515
186	517	474	552	529	519
187	529	486	557	535	529
188	554	494	567	539	553
189	567	497	573	547	555
190	568	544	578	549	565
191	571	552	580	556	578
192	576	560	581	557	582
193	587	564	597	564	585
194	597	567	608	567	596
195	618	573	612	569	613
196	620	591	638	570	621
197	624	595	639	596	623
198	627	627	643	604	626
199	634	628	648	623	629
200	637	7	651	0	639
201	2	8	6	5	646
202	642	23	655	12	655
203	645	26	657	16	20
204	646	27	664	657	663
205	8	30	22	26	28
206	13	673	677	27	37
207	651	675	31	30	677
208	657	37	686	31	41
209	670	686	41	33	50
210	678	698	693	667	54
211	679	56	695	670	57
212	46	59	706	672	697
213	684	706	66	50	60
214	52	708	67	684	716
215	691	64	714	698	74
216	695	714	73	704	718
217	701	717	718	72	717
218	67	725	720	75	726
219	83	91	729	728	731
220	724	738	730	734	96
221	84	745	89	737	750
222	728	106	108	738	755
223	93	753	109	750	760
224	99	756	117	126	117
225	739	124	766	761	763
226	742	766	120	129	124
227	743	132	778	768	769
228	107	777	148	807	775
229	121	780	155	814	780
230	769	145	159	178	139
231	774	147	160	829	144
232	780	163	811	189	797
233	784	167	813	861	163
234	149	816	167	862	812
235	150	181	816	219	180
236	163	183	817	865	189
237	798	192	177	224	835
238	799	831	181	225	203
239	168	844	828	874	843
240	804	208	188	877	844
241	807	852	840	880	848
242	815	231	842	881	850
243	192	233	202	883	853
244	828	874	852	894	856
245	207	247	855	254	219
246	216	248	213	908	224
247	218	251	214	265	867
248	230	256	862	914	231
249	234	259	869	920	871
250	866	901	870	291	874
251	247	902	245	941	885
252	254	276	248	945	255
253	887	907	899	301	894
254	256	282	262	950	266
255	901	283	264	303	272
256	259	918	268	960	922
257	914	922	905	962	292
258	271	934	911	966	930
259	274	304	276	324	295
260	918	938	918	328	303
261	283	940	281	990	940
262	284	944	924	995	318
263	930	318	286	355	960
264	292	964	931	369	323
265	954	966	942	371	963
266	961	340	952	384	965
267	321	975	324	385	327
268	320	978	966	388	333
269	967	993	337	395	981
270	968	370	979	396	984
271	971	374	982	412	339
272	984	381	343	414	986
273	349	406	986	415	346
274	353	443	350	423	349
275	358	459	364	440	995
276	362	460	365	451	379
277	368	482	395	457	383
278	376	496	452	465	387
279	390	500	456	475	412
280	413	511	464	508	414
281	414	514	472	522	417
282	419	518	484	534	454
283	429	521	493	538	489
284	433	545	501	544	491
285	443	546	518	552	496
286	468	549	524	553	502
287	493	554	529	559	510
288	516	562	530	560	523
289	538	563	560	561	536
290	539	571	577	563	559
291	541	576	586	572	561
292	543	590	587	583	563
293	545	593	592	585	564
294	552	610	595	588	586
295	561	613	601	602	591
296	569	615	618	614	593
297	577	624	623	618	607
298	584	630	633	619	612
299	614	633	646	640	631
300	0	644	653	642	652
301	643	651	654	13	657
302	17	16	660	15	22
303	661	17	19	17	665
304	23	18	27	663	668
305	667	664	29	35	670
306	45	677	691	36	35
307	48	34	696	41	46
308	685	679	697	688	720
309	57	42	701	58	732
310	696	694	61	61	739
311	697	46	65	63	99
312	704	695	83	66	744
313	705	70	725	67	113
314	72	73	731	74	759
315	76	76	733	711	767
316	716	77	106	721	773
317	727	719	746	725	135
318	91	89	107	90	148
319	94	731	116	729	150
320	735	736	763	98	151
321	104	737	765	108	796
322	744	97	776	110	161
323	745	100	129	752	808
324	111	743	784	757	164
325	113	118	786	136	810
326	114	770	146	776	816
327	753	786	796	143	819
328	760	159	157	146	823
329	761	799	801	157	182
330	762	812	810	796	826
331	128	177	172	805	832
332	764	818	179	812	838
333	131	819	829	172	841
334	771	184	186	826	851
335	137	821	187	184	214
336	139	185	200	185	236
337	140	187	858	187	878
338	142	193	864	831	239
339	145	195	224	192	240
340	781	832	872	838	242
341	787	200	877	195	887
342	152	202	231	840	247
343	161	209	244	858	888
344	171	213	892	214	893
345	806	219	247	216	896
346	173	220	252	221	259
347	175	859	256	226	897
348	821	864	904	227	910
349	198	870	912	875	911
350	202	877	275	878	273
351	206	879	916	250	912
352	847	912	277	267	283
353	241	281	288	282	285
354	873	919	291	284	927
355	878	920	304	928	297
356	884	926	305	937	946
357	253	293	957	948	949
358	886	929	327	953	953
359	907	297	331	959	317
360	908	308	981	316	971
361	268	312	349	320	330
362	912	313	351	337	972
363	917	951	353	981	973
364	922	955	356	986	337
365	931	957	374	988	979
366	299	326	377	344	985
367	307	329	378	351	988
368	309	968	381	352	993
369	953	343	387	998	994
370	318	350	390	373	356
371	323	990	394	377	997
372	972	992	417	380	363
373	336	383	419	386	374
374	979	384	421	387	376
375	340	385	431	401	389
376	345	389	448	405	393
377	985	395	449	408	405
378	370	401	467	413	410
379	374	438	469	417	413
380	383	451	473	424	418
381	386	469	486	426	422
382	416	488	490	433	427
383	425	489	500	466	458
384	436	499	502	474	466
385	447	505	503	499	481
386	487	506	522	511	493
387	499	510	535	520	520
388	502	522	545	523	521
389	521	539	547	525	556
390	523	550	562	531	575
391	535	555	568	548	580
392	542	556	569	554	587
393	544	574	588	571	590
394	565	581	610	575	603
395	583	584	613	606	614
396	603	597	619	611	616
397	605	607	621	620	622
398	616	608	622	621	630
399	617	622	627	631	634
400	640	4	0	648	0
401	647	5	650	9	6
402	660	663	658	660	18
403	665	31	14	37	667
404	34	33	672	671	36
405	50	685	26	674	39
406	54	44	25	680	40
407	61	57	679	685	684
408	700	58	680	686	686
409	69	60	32	57	52
410	70	62	35	701	693
411	74	69	687	71	699
412	715	78	77	710	702
413	77	84	735	718	703
414	726	85	94	720	64
415	729	95	96	87	707
416	98	754	104	724	714
417	100	114	111	91	79
418	116	764	756	101	80
419	120	130	119	735	723
420	130	131	124	103	93
421	133	771	775	105	736
422	135	774	779	741	740
423	143	149	132	106	98
424	147	789	134	121	745
425	154	155	136	124	101
426	160	156	141	762	100
427	166	804	792	763	116
428	808	172	793	765	762
429	809	174	154	140	122
430	176	814	805	141	770
431	180	815	814	787	131
432	813	175	169	789	143
433	817	817	824	790	153
434	822	197	826	152	159
435	196	198	184	159	814
436	832	836	190	802	171
437	835	199	193	165	822
438	836	843	843	167	181
439	845	857	851	810	827
440	848	222	208	174	828
441	220	862	218	816	829
442	851	238	220	183	831
443	850	880	228	835	194
444	861	898	880	839	207
445	235	899	232	202	846
446	879	263	238	848	859
447	881	274	890	853	866
448	915	277	891	212	228
449	279	908	895	218	235
450	923	279	898	864	882
451	280	914	903	871	249
452	286	917	909	240	252
453	290	286	270	887	898
454	297	923	920	245	901
455	301	292	283	892	268
456	311	937	925	248	916
457	317	939	285	256	931
458	963	310	287	907	932
459	324	943	293	268	933
460	328	949	934	917	302
461	329	325	949	918	942
462	974	330	951	285	309
463	977	333	953	951	952
464	982	981	956	954	315
465	341	983	314	310	329
466	347	349	325	957	974
467	988	991	326	317	977
468	990	355	970	968	338
469	999	354	974	972	998
470	360	997	339	974	366
471	380	363	990	977	367
472	385	378	994	341	369
473	403	407	357	342	392
474	434	416	998	985	396
475	437	429	385	347	461
476	439	433	389	992	463
477	444	445	398	997	464
478	458	449	399	362	482
479	474	453	404	370	494
480	503	465	416	376	499
481	506	478	418	394	500
482	509	508	424	397	507
483	510	516	441	403	513
484	512	530	462	421	517
485	513	533	494	422	518
486	528	534	496	431	546
487	546	538	516	438	547
488	558	543	523	441	548
489	562	568	525	447	554
490	566	577	579	473	557
491	586	580	590	497	560
492	593	588	591	532	571
493	604	599	598	536	574
494	612	606	605	542	597
495	613	609	616	545	608
496	621	611	624	574	610
497	632	619	630	581	617
498	633	631	635	603	624
499	636	636	645	635	628
500	641	638	2	643	647
501	648	639	4	647	14
502	654	2	662	652	15
503	32	10	23	14	16
504	671	14	671	29	661
505	683	652	34	666	27
506	49	658	36	669	31
507	687	21	37	38	672
508	706	669	38	40	674
509	710	29	39	677	53
510	725	68	50	681	61
511	86	716	51	682	710
512	89	724	699	47	77
513	92	88	55	64	78
514	732	729	707	68	88
515	734	740	709	69	97
516	101	107	713	714	104
517	747	115	71	88	753
518	754	758	72	95	110
519	118	125	85	104	764
520	759	126	728	766	774
521	123	779	90	134	784
522	126	142	112	135	785
523	766	143	113	775	791
524	777	153	758	149	155
525	144	793	762	793	802
526	153	160	767	164	805
527	800	798	122	808	811
528	805	803	782	817	168
529	812	809	145	176	813
530	182	830	150	820	815
531	818	841	151	197	174
532	826	206	795	199	179
533	830	847	798	204	190
534	833	848	802	208	197
535	834	849	803	209	198
536	839	851	161	859	201
537	840	225	821	222	208
538	841	226	827	232	847
539	205	865	856	236	211
540	843	230	857	889	870
541	849	867	212	890	241
542	222	875	215	891	890
543	228	886	863	246	251
544	245	889	221	902	907
545	250	890	222	262	270
546	895	895	871	911	909
547	258	900	876	913	917
548	902	903	881	272	919
549	906	275	885	278	920
550	272	911	887	280	921
551	916	280	893	294	284
552	275	915	900	295	288
553	919	285	265	296	290
554	921	925	271	943	294
555	933	295	274	946	299
556	934	298	937	302	301
557	294	935	941	949	938
558	942	303	302	952	943
559	943	306	944	312	944
560	308	319	947	961	955
561	310	322	309	323	969
562	955	959	950	967	343
563	966	327	311	973	992
564	331	972	317	333	358
565	978	341	965	336	364
566	338	348	967	980	371
567	342	985	971	978	378
568	983	987	334	983	382
569	987	358	354	991	384
570	357	994	995	357	397
571	364	373	358	360	398
572	389	377	363	363	400
573	401	382	367	390	402
574	409	396	371	399	419
575	421	398	386	425	432
576	427	414	391	442	436
577	430	425	397	450	438
578	446	426	409	452	439
579	448	439	428	454	445
580	460	441	429	463	455
581	464	442	434	470	456
582	486	447	446	481	468
583	495	473	450	482	472
584	515	481	459	488	475
585	525	501	487	496	483
586	527	512	488	509	484
587	536	519	505	510	490
588	537	531	527	513	511
589	540	547	531	526	566
590	555	553	536	528	572
591	556	558	543	562	573
592	570	566	551	586	577
593	573	570	558	599	588
594	575	578	574	600	594
595	579	585	585	609	598
596	594	592	603	616	599
597	599	600	615	617	600
598	609	605	628	625	606
599	611	614	629	633	611
600	15	642	5	661	1
601	653	6	7	673	4
602	659	647	8	678	19
603	24	648	10	45	658
604	664	660	11	48	659
605	666	28	12	683	662
606	29	672	13	49	25
607	30	678	665	65	676
608	673	35	21	703	44
609	40	38	673	709	685
610	682	683	678	76	694
611	60	45	33	78	59
612	698	704	681	81	705
613	62	63	682	719	67
614	65	720	44	82	72
615	709	722	47	726	724
616	73	82	48	94	85
617	75	726	52	743	733
618	713	727	64	748	95
619	719	94	721	122	748
620	85	739	81	753	749
621	96	742	84	767	109
622	749	749	86	772	112
623	751	113	87	142	115
624	115	755	737	780	119
625	119	757	97	792	125
626	756	120	747	154	772
627	776	761	755	794	133
628	779	127	115	153	781
629	146	128	764	156	790
630	794	772	769	799	803
631	797	134	773	160	807
632	164	137	125	800	167
633	801	150	777	169	834
634	170	161	130	170	840
635	803	820	781	815	842
636	172	823	133	819	210
637	179	825	137	179	213
638	187	196	152	181	854
639	189	833	158	824	221
640	195	212	820	186	225
641	201	854	185	836	227
642	853	223	833	194	881
643	232	227	835	193	889
644	865	228	194	207	263
645	239	234	846	857	265
646	249	236	849	215	904
647	251	240	850	872	267
648	899	245	201	879	282
649	262	884	205	882	935
650	265	888	209	239	939
651	267	258	859	259	307
652	269	260	219	909	948
653	924	264	225	266	954
654	925	904	229	921	322
655	927	905	233	926	326
656	928	289	882	929	331
657	288	928	235	938	335
658	289	933	237	939	978
659	936	302	242	940	336
660	296	948	246	942	980
661	938	320	251	297	987
662	941	331	902	300	991
663	303	332	913	305	350
664	945	336	929	306	357
665	306	976	930	332	361
666	950	980	290	334	365
667	958	353	294	338	373
668	330	359	958	984	375
669	980	362	320	343	394
670	348	364	332	361	399
671	992	367	973	392	408
672	361	371	976	393	411
673	365	379	340	407	415
674	369	400	983	409	423
675	372	409	348	410	424
676	373	410	352	418	428
677	379	411	996	420	430
678	387	419	375	443	433
679	393	420	380	446	446
680	408	427	412	448	452
681	411	435	415	460	457
682	417	448	435	478	465
683	442	454	444	501	476
684	450	464	451	504	477
685	465	468	485	507	479
686	477	471	515	512	512
687	488	479	532	517	524
688	522	485	533	521	528
689	524	487	534	537	532
690	533	490	539	540	533
691	548	495	564	541	542
692	550	507	570	566	551
693	578	537	575	576	584
694	581	572	576	594	589
695	582	589	582	595	601
696	596	596	594	612	602
697	606	602	620	629	605
698	608	626	631	632	635
699	615	635	637	639	636
700	4	3	1	2	21
701	7	24	3	3	24
702	9	36	15	8	30
703	18	54	24	34	43
704	42	81	40	53	47
705	47	90	70	92	63
706	51	93	95	111	68
707	59	99	100	112	82
708	68	101	123	125	91
709	78	103	127	127	105
710	103	135	131	130	121
711	134	139	162	132	127
712	151	140	171	137	140
713	162	162	195	145	165
714	184	182	197	148	166
715	190	186	198	162	176
716	191	189	199	171	183
717	193	201	211	180	205
718	194	205	216	213	212
719	210	210	217	223	215
720	215	211	223	237	226
721	221	242	240	241	229
722	224	261	250	255	230
723	244	262	254	258	258
724	261	278	261	260	271
725	281	291	269	269	276
726	287	307	279	270	278
727	291	334	298	271	280
728	295	339	299	274	281
729	298	347	319	293	311
730	322	361	322	307	313
731	346	376	342	311	316
732	351	380	346	315	332
733	354	388	347	319	359
734	359	391	355	330	370
735	375	415	359	345	377
736	391	424	360	354	388
737	399	430	382	379	391
738	404	434	392	402	404
739	410	436	403	411	416
740	431	437	407	427	437
741	435	450	408	445	440
742	440	455	420	453	447
743	452	458	425	455	449
744	466	470	430	467	497
745	469	475	432	468	498
746	471	477	439	471	501
747	476	484	442	480	504
748	478	491	453	484	525
749	480	498	457	491	530
750	481	503	460	495	531
751	483	504	470	500	534
752	485	515	474	551	549
753	492	526	478	555	550
754	520	528	479	579	558
755	532	535	491	590	569
756	549	540	498	592	583
757	551	559	507	593	604
758	557	561	509	601	615
759	591	582	514	630	650
760	601	625	519	636	653
761	619	634	559	653	656
762	625	643	600	655	680
763	629	649	602	656	681
764	649	650	607	659	682
765	662	656	609	692	688
766	668	668	625	700	689
767	676	674	626	713	691
768	681	676	649	723	700
769	690	680	659	730	706
770	692	687	666	751	708
771	694	696	667	758	727
772	703	710	669	778	734
773	708	715	712	782	735
774	712	721	739	785	751
775	740	723	742	788	756
776	748	741	752	795	757
777	768	746	768	818	786
778	770	767	774	822	799
779	772	781	788	828	801
780	773	782	791	830	804
781	778	784	825	832	809
782	783	795	830	846	818
783	785	797	837	847	836
784	790	802	841	856	837
785	792	827	860	860	839
786	795	834	865	863	849
787	796	837	866	868	860
788	837	839	867	869	862
789	842	842	868	870	868
790	854	860	879	876	869
791	863	863	884	888	875
792	868	906	906	903	876
793	885	941	921	916	903
794	913	945	933	923	913
795	929	952	935	947	923
796	939	954	936	958	947
797	944	971	961	963	950
798	956	982	988	970	958
799	960	999	993	999	962
