	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	660	949	389	776	273
101	541	646	700	560	813
102	495	719	237	767	710
103	754	27	767	954	869
104	210	925	26	284	396
105	770	199	302	12	799
106	253	278	782	422	105
107	297	631	530	905	954
108	538	692	218	431	50
109	698	630	802	125	850
110	420	639	31	468	856
111	117	812	989	588	642
112	979	405	434	328	809
113	614	686	937	938	462
114	260	843	136	989	774
115	905	87	382	988	781
116	841	425	769	809	801
117	752	519	535	614	943
118	972	418	246	541	104
119	618	514	522	986	944
120	445	44	327	762	843
121	915	118	789	443	807
122	801	722	800	923	451
123	931	403	742	526	101
124	403	409	487	429	343
125	48	400	930	960	215
126	294	679	968	163	163
127	246	614	898	993	158
128	848	635	288	714	727
129	648	534	352	977	669
130	916	42	594	553	97
131	953	124	334	865	724
132	274	364	293	455	935
133	328	880	973	301	87
134	273	926	725	423	886
135	924	349	969	576	988
136	65	774	33	990	558
137	691	43	32	559	371
138	338	248	408	773	676
139	252	485	690	525	356
140	84	533	380	890	556
141	195	999	287	961	842
142	161	71	889	532	916
143	469	306	504	625	733
144	955	619	657	965	370
145	706	494	513	722	60
146	292	103	533	782	912
147	796	226	122	750	875
148	56	163	324	127	132
149	613	571	154	396	898
150	682	794	953	235	78
151	523	197	687	104	604
152	561	668	290	734	601
153	895	711	495	399	860
154	108	100	300	978	110
155	852	186	707	172	126
156	305	99	913	921	295
157	352	501	895	403	57
158	551	749	1	424	892
159	0	39	996	926	283
160	522	275	935	743	933
161	599	758	127	941	102
162	414	212	179	407	51
163	605	273	577	601	529
164	166	411	952	357	694
165	795	213	699	949	812
166	918	727	265	360	992
167	930	827	638	362	700
168	798	556	490	928	44
169	899	326	130	673	120
170	444	322	587	369	499
171	139	819	678	342	977
172	438	183	595	878	481
173	792	597	912	775	18
174	747	234	232	947	684
175	505	458	250	539	662
176	975	353	190	730	866
177	436	816	947	159	233
178	524	833	222	167	575
179	191	6	870	564	705
180	617	899	680	132	219
181	913	554	217	245	166
182	813	277	879	835	520
183	780	471	693	948	947
184	546	547	514	68	667
185	684	905	229	199	207
186	992	990	811	36	300
187	241	11	882	274	337
188	863	568	197	390	171
189	565	767	24	136	175
190	877	799	14	145	86
191	984	198	155	681	190
192	987	341	781	677	119
193	939	786	209	413	129
194	135	535	903	834	557
195	927	396	958	141	164
196	917	274	312	185	41
197	865	211	892	527	689
198	154	236	365	101	772
199	481	196	313	467	313
200	137	781	188	856	553
201	104	16	395	64	650
202	47	567	177	620	972
203	558	706	144	602	334
204	715	435	451	178	330
205	113	540	460	537	976
206	673	225	65	171	323
207	806	482	317	812	20
208	83	624	457	270	525
209	202	607	219	388	37
210	201	380	718	984	483
211	364	8	441	616	822
212	179	510	681	581	893
213	222	304	254	629	731
214	487	137	906	723	194
215	727	695	872	632	472
216	256	395	846	63	494
217	309	147	564	226	278
218	311	333	151	523	882
219	692	643	473	97	767
220	279	699	96	53	981
221	109	208	319	385	411
222	357	256	722	864	331
223	73	889	120	606	569
224	942	80	456	820	281
225	173	957	22	618	591
226	638	897	150	810	99
227	116	839	444	278	931
228	466	609	141	507	984
229	96	555	385	224	588
230	193	656	112	447	52
231	665	465	450	40	339
232	971	106	205	747	919
233	19	445	777	482	198
234	719	222	12	440	770
235	145	64	582	770	263
236	532	182	709	499	584
237	809	264	454	488	382
238	932	865	982	680	927
239	591	867	71	846	946
240	632	189	891	758	718
241	94	143	409	152	389
242	232	929	185	848	878
243	492	207	276	738	369
244	258	372	448	571	720
245	836	589	85	221	21
246	485	570	984	180	96
247	365	280	350	609	602
248	439	424	531	778	844
249	998	303	518	911	626
250	390	318	899	800	124
251	427	382	355	647	950
252	473	961	492	332	674
253	853	821	765	881	796
254	221	780	855	953	749
255	389	184	309	233	351
256	625	230	459	858	203
257	751	777	598	56	316
258	651	339	23	149	174
259	303	625	426	521	921
260	218	245	55	351	455
261	34	561	19	236	433
262	573	448	896	674	805
263	999	107	860	418	952
264	60	467	331	319	24
265	934	3	871	192	577
266	204	93	816	27	399
267	837	48	420	58	325
268	883	823	766	751	54
269	395	903	178	343	115
270	653	538	737	534	367
271	764	890	967	528	582
272	794	17	664	46	493
273	544	468	862	9	251
274	956	167	524	31	965
275	52	648	369	212	512
276	645	566	397	508	668
277	91	169	588	889	68
278	919	627	347	20	154
279	990	241	238	71	686
280	370	251	679	345	430
281	189	983	897	551	948
282	134	803	90	874	797
283	811	685	927	157	80
284	354	29	17	700	542
285	235	260	117	387	888
286	633	172	432	0	974
287	593	756	735	162	366
288	885	873	279	330	641
289	248	9	39	397	932
290	286	757	70	785	635
291	769	851	574	832	665
292	516	806	714	639	755
293	928	834	332	603	791
294	296	97	743	689	438
295	664	572	430	830	153
296	324	469	578	341	706
297	320	416	831	766	350
298	111	223	240	90	30
299	608	57	506	344	823
300	410	789	7	985	209
301	776	18	507	493	610
302	57	943	61	753	36
303	49	54	515	818	272
304	272	798	281	266	321
305	828	522	684	642	716
306	419	553	106	967	11
307	456	902	712	914	528
308	323	401	225	973	147
309	649	155	686	66	598
310	51	233	517	475	586
311	871	814	304	863	4
312	40	319	731	466	234
313	967	660	552	590	457
314	192	673	298	789	611
315	172	896	493	241	131
316	704	764	494	903	405
317	521	928	964	826	517
318	974	14	795	545	303
319	416	101	124	682	696
320	184	291	918	807	900
321	543	825	586	703	226
322	250	136	212	65	894
323	78	576	328	513	91
324	943	125	89	792	533
325	333	31	501	510	532
326	781	426	9	663	659
327	106	286	974	402	333
328	85	500	488	451	180
329	552	220	83	522	867
330	153	69	843	473	754
331	606	742	539	897	439
332	72	301	479	824	901
333	847	787	990	683	224
334	731	175	404	165	232
335	220	917	220	124	332
336	636	954	926	574	489
337	17	981	81	630	312
338	448	91	615	511	653
339	550	885	97	828	740
340	372	26	152	707	490
341	499	955	778	176	825
342	434	231	560	315	760
343	578	605	274	752	515
344	763	354	377	286	639
345	386	440	137	569	338
346	536	715	627	549	682
347	637	490	934	401	969
348	130	628	651	640	785
349	728	585	543	122	938
350	13	499	292	450	476
351	755	473	116	556	72
352	329	348	729	187	597
353	697	633	381	293	546
354	458	474	244	939	629
355	821	201	527	765	991
356	239	832	993	816	491
357	566	177	412	347	834
358	118	545	15	338	113
359	138	114	167	535	98
360	331	238	2	61	423
361	494	694	519	690	761
362	936	852	695	908	792
363	774	140	932	617	847
364	768	419	421	992	735
365	283	239	320	76	368
366	812	596	758	970	955
367	958	373	920	555	815
368	944	484	431	861	871
369	878	578	360	724	205
370	128	795	394	702	594
371	548	669	337	471	881
372	76	298	125	442	973
373	478	602	351	272	183
374	265	606	0	711	646
375	962	900	346	194	502
376	945	582	784	980	702
377	787	240	357	552	428
378	440	754	416	72	548
379	582	28	857	664	507
380	676	433	208	69	144
381	826	266	741	643	980
382	293	423	998	285	518
383	59	590	773	74	15
384	506	769	942	186	708
385	708	126	268	394	911
386	268	663	391	105	456
387	985	34	66	855	707
388	710	340	883	130	590
389	198	381	406	894	95
390	785	507	620	189	578
391	301	664	936	726	837
392	385	283	911	484	294
393	99	453	452	311	773
394	69	391	786	570	565
395	433	329	286	232	998
396	886	378	41	718	307
397	835	537	900	195	6
398	391	729	108	862	361
399	749	878	47	246	519
400	126	296	123	415	197
401	960	709	715	631	521
402	901	737	988	859	904
403	362	388	48	671	908
404	275	192	3	420	862
405	961	782	173	102	375
406	417	7	314	275	748
407	609	37	752	822	829
408	844	384	44	220	600
409	597	132	833	636	117
410	670	518	905	271	511
411	771	676	415	320	225
412	120	297	176	121	987
413	271	870	817	805	165
414	480	292	342	501	826
415	850	940	673	35	623
416	11	530	826	223	227
417	136	724	603	29	212
418	650	771	884	139	599
419	744	710	161	491	657
420	729	859	145	372	349
421	762	779	104	179	16
422	251	651	403	623	458
423	503	102	671	307	151
424	24	559	768	259	715
425	409	964	256	75	734
426	842	708	545	382	824
427	29	217	354	417	376
428	753	170	296	648	963
429	404	877	791	452	181
430	941	793	983	661	0
431	493	282	10	202	308
432	640	836	691	795	979
433	604	914	407	377	698
434	685	374	622	814	238
435	872	544	374	964	647
436	851	398	425	892	835
437	515	908	970	354	440
438	576	515	326	196	373
439	722	863	631	26	271
440	854	45	672	888	994
441	700	563	318	310	849
442	833	976	706	17	418
443	75	279	339	929	839
444	671	389	35	47	31
445	182	320	575	799	315
446	537	558	837	787	133
447	465	477	418	337	267
448	735	60	77	693	19
449	23	857	28	170	497
450	914	427	261	352	940
451	661	901	653	684	603
452	284	472	863	763	35
453	368	979	835	240	77
454	369	904	585	33	266
455	101	886	115	169	391
456	912	701	349	45	820
457	115	526	305	655	393
458	461	377	853	772	677
459	908	195	591	158	116
460	724	784	505	414	550
461	533	952	856	312	685
462	399	772	649	542	284
463	18	350	38	303	630
464	358	860	469	410	279
465	317	281	865	877	143
466	93	802	498	164	148
467	45	600	558	426	127
468	119	652	264	562	289
469	383	219	6	853	407
470	450	933	398	790	62
471	745	720	658	262	573
472	822	987	100	657	258
473	703	992	271	916	726
474	287	78	650	685	365
475	615	310	266	376	751
476	657	703	422	103	446
477	121	347	867	667	930
478	150	599	311	302	836
479	321	869	625	720	358
480	442	20	294	2	345
481	683	295	358	333	213
482	542	714	401	408	85
483	510	410	159	633	63
484	4	73	956	142	452
485	923	726	798	857	125
486	483	55	248	16	800
487	245	644	922	887	414
488	666	504	643	732	28
489	783	156	580	575	353
490	413	459	869	478	924
491	497	436	785	786	317
492	978	938	198	666	247
493	142	383	557	231	43
494	695	971	73	788	923
495	477	4	283	883	79
496	340	753	29	154	531
497	131	363	194	704	14
498	289	160	579	50	436
499	376	362	72	393	978
500	817	972	171	729	419
501	155	997	399	111	252
502	980	464	187	129	634
503	187	923	755	361	606
504	513	161	859	540	655
505	679	975	793	297	159
506	571	444	335	924	593
507	107	385	462	688	714
508	855	550	235	94	818
509	717	613	747	761	379
510	86	506	810	480	616
511	361	470	464	379	644
512	705	678	921	504	437
513	401	736	223	531	615
514	460	521	569	454	241
515	140	755	950	698	501
516	259	584	536	98	167
517	950	344	516	3	723
518	164	181	662	14	536
519	790	702	489	728	920
520	968	455	500	54	786
521	314	130	378	983	374
522	906	415	779	363	652
523	643	945	478	174	392
524	421	884	362	135	851
525	162	70	476	836	560
526	743	127	961	215	736
527	596	174	275	282	617
528	224	263	547	759	583
529	149	30	363	870	359
530	8	875	613	997	155
531	249	574	138	49	182
532	603	35	697	425	150
533	30	717	485	465	757
534	39	75	919	88	580
535	429	202	874	579	386
536	759	332	453	137	229
537	642	24	195	446	408
538	146	941	814	599	280
539	92	968	86	880	587
540	360	307	199	966	997
541	342	365	8	815	853
542	734	376	828	373	874
543	22	159	881	386	326
544	778	367	796	106	505
545	437	580	806	67	157
546	68	531	957	193	447
547	922	10	37	346	985
548	247	854	925	248	759
549	520	611	269	42	27
550	808	285	215	721	40
551	701	546	132	95	922
552	579	655	50	336	810
553	396	343	186	760	816
554	431	62	576	962	231
555	20	804	739	780	838
556	46	888	568	214	242
557	840	610	986	737	631
558	344	315	820	316	897
559	902	883	87	594	566
560	647	978	852	891	790
561	849	128	491	557	563
562	834	906	774	860	745
563	716	797	180	998	383
564	982	379	439	909	239
565	884	766	581	619	74
566	568	115	231	250	301
567	556	743	677	867	739
568	535	996	682	324	135
569	549	649	619	563	378
570	512	370	5	593	67
571	32	227	119	736	613
572	180	49	608	267	658
573	818	481	573	670	277
574	351	486	639	395	986
575	777	892	600	295	249
576	611	258	340	392	728
577	349	672	202	817	811
578	678	497	36	741	670
579	687	420	359	412	410
580	690	528	325	872	240
581	359	539	157	709	210
582	335	505	40	304	887
583	9	759	885	260	363
584	988	658	230	296	282
585	629	674	877	255	628
586	873	595	830	793	65
587	299	951	655	239	1
588	938	496	612	225	318
589	267	721	756	968	769
590	773	2	728	355	100
591	163	725	868	957	802
592	353	739	299	600	555
593	62	243	390	207	513
594	322	770	624	999	697
595	739	696	821	942	140
596	997	991	184	78	763
597	732	683	850	514	201
598	957	84	277	441	302
599	234	90	824	913	780
600	89	831	27	384	608
601	925	312	4	370	53
602	123	94	825	43	265
603	160	95	660	946	680
604	441	746	645	317	189
605	194	634	353	635	477
606	471	959	629	222	61
607	969	723	981	705	534
608	345	815	635	917	139
609	348	844	245	512	803
610	586	847	648	974	364
611	966	442	601	197	328
612	170	142	162	567	636
613	933	131	111	108	196
614	330	818	181	806	179
615	50	577	529	229	327
616	761	36	621	110	571
617	887	430	534	15	510
618	486	994	146	146	64
619	216	879	628	153	46
620	879	293	668	305	732
621	310	907	669	692	415
622	896	205	864	876	432
623	721	134	67	945	756
624	555	704	901	871	827
625	230	588	841	38	246
626	725	314	193	958	176
627	190	288	133	184	88
628	681	980	470	604	121
629	74	783	904	438	612
630	447	422	131	710	828
631	668	113	95	991	855
632	907	259	909	500	549
633	15	511	562	227	681
634	569	58	200	34	753
635	67	434	34	496	469
636	742	687	109	536	589
637	601	88	813	893	675
638	61	642	165	652	466
639	881	934	262	348	417
640	713	139	888	30	699
641	527	439	979	869	228
642	168	820	428	256	663
643	756	120	228	462	614
644	641	451	321	561	572
645	557	81	842	300	309
646	709	487	523	950	870
647	295	675	371	538	808
648	654	146	221	148	909
649	152	356	474	982	73
650	98	552	417	951	857
651	133	173	633	656	989
652	766	38	211	213	259
653	100	289	375	405	59
654	570	21	667	238	958
655	380	203	652	421	335
656	634	895	289	934	775
657	658	150	387	156	703
658	696	361	858	460	400
659	347	512	971	280	831
660	748	489	472	952	672
661	517	89	559	109	25
662	387	438	64	22	942
663	341	85	270	831	962
664	797	334	247	406	285
665	379	302	602	735	255
666	803	331	224	92	691
667	2	503	419	902	357
668	411	450	484	445	762
669	612	261	851	48	311
670	577	414	233	183	92
671	474	830	746	596	39
672	206	636	166	719	939
673	425	77	570	995	188
674	151	615	763	83	270
675	581	209	844	453	406
676	175	841	721	216	717
677	207	740	618	611	47
678	583	874	701	794	596
679	839	366	623	497	463
680	147	158	322	592	554
681	300	915	675	975	459
682	784	488	386	208	523
683	105	145	429	492	214
684	830	242	509	595	960
685	726	716	626	206	424
686	408	92	902	209	524
687	290	187	941	823	93
688	815	247	392	506	764
689	393	153	880	314	885
690	646	12	762	204	445
691	772	845	704	641	624
692	269	939	551	138	750
693	977	817	949	335	845
694	144	932	251	265	896
695	663	429	827	268	547
696	845	920	252	203	290
697	122	498	607	294	484
698	954	937	890	583	859
699	868	912	113	981	465
700	929	850	866	134	404
701	741	330	776	838	854
702	336	848	924	868	82
703	540	23	654	323	993
704	554	549	929	678	661
705	488	864	754	839	551
706	843	935	435	517	200
707	711	59	467	653	235
708	171	698	876	918	402
709	217	5	348	875	561
710	694	564	129	819	324
711	288	407	730	291	468
712	963	650	13	173	397
713	176	626	242	943	346
714	529	443	962	725	384
715	307	56	367	481	500
716	866	647	308	181	230
717	318	371	216	5	744
718	261	508	503	427	656
719	143	966	291	334	621
720	539	697	609	13	336
721	970	262	525	959	903
722	545	327	803	586	504
723	254	842	893	612	138
724	562	33	605	495	427
725	805	918	771	140	161
726	375	591	689	955	585
727	712	276	792	554	693
728	452	761	764	168	454
729	55	581	11	672	449
730	620	185	25	218	953
731	205	358	966	520	211
732	291	210	364	8	503
733	43	809	496	327	288
734	443	593	944	879	122
735	667	622	610	269	498
736	567	204	107	660	416
737	528	645	449	380	422
738	575	162	666	920	784
739	346	406	933	41	475
740	807	562	720	910	848
741	659	638	21	572	168
742	228	898	965	547	297
743	861	63	94	548	907
744	760	313	84	847	412
745	594	82	963	802	890
746	740	447	790	371	975
747	77	911	272	585	221
748	996	738	670	701	236
749	616	592	567	306	841
750	509	135	665	713	913
751	476	308	840	882	971
752	280	76	696	748	814
753	502	837	102	237	846
754	472	741	931	91	482
755	430	83	995	258	840
756	856	336	502	433	329
757	42	922	597	840	268
758	7	437	51	972	917
759	779	46	829	669	467
760	114	193	590	257	496
761	244	849	951	768	464
762	468	355	285	219	832
763	624	495	148	411	574
764	374	944	442	940	910
765	800	862	646	87	461
766	584	680	849	147	292
767	627	677	797	796	377
768	832	479	169	509	804
769	262	325	424	461	299
770	308	441	805	566	109
771	804	807	775	686	388
772	810	460	801	808	394
773	298	993	733	254	206
774	446	454	887	191	868
775	54	985	916	829	752
776	373	164	948	474	607
777	619	543	532	160	995
778	428	449	486	37	622
779	356	705	976	81	876
780	799	359	616	80	819
781	350	491	402	57	559
782	196	560	356	409	112
783	983	731	446	448	479
784	28	478	201	82	322
785	525	228	713	112	889
786	462	516	160	529	970
787	921	982	637	621	949
788	70	919	213	470	413
789	464	206	172	907	564
790	306	321	52	463	208
791	435	573	214	457	22
792	662	200	788	963	688
793	621	948	630	544	276
794	53	68	994	126	964
795	405	745	659	253	398
796	103	475	158	143	387
797	215	608	343	757	443
798	587	51	592	659	605
799	281	149	134	937	530
