	Strategy	Query	Class	Value
0	Random	q0	0	40
1	Random	q0	1	60
2	Random	q1	0	25
3	Random	q1	1	75
4	Random	q2	0	32
5	Random	q2	1	68
6	Random	q3	0	26
7	Random	q3	1	74
8	Random	q4	0	29
9	Random	q4	1	71
10	Random	q5	0	29
11	Random	q5	1	71
12	Random	q6	0	26
13	Random	q6	1	74
14	Random	q7	0	33
15	Random	q7	1	67
16	Uncertainty	q0	0	40
17	Uncertainty	q0	1	60
18	Uncertainty	q1	0	39
19	Uncertainty	q1	1	61
20	Uncertainty	q2	0	49
21	Uncertainty	q2	1	51
22	Uncertainty	q3	0	41
23	Uncertainty	q3	1	59
24	Uncertainty	q4	0	30
25	Uncertainty	q4	1	70
26	Uncertainty	q5	0	18
27	Uncertainty	q5	1	82
28	Uncertainty	q6	0	18
29	Uncertainty	q6	1	82
30	Uncertainty	q7	0	5
31	Uncertainty	q7	1	95
32	QBC	q0	0	40
33	QBC	q0	1	60
34	QBC	q1	0	40
35	QBC	q1	1	60
36	QBC	q2	0	42
37	QBC	q2	1	58
38	QBC	q3	0	37
39	QBC	q3	1	63
40	QBC	q4	0	36
41	QBC	q4	1	64
42	QBC	q5	0	21
43	QBC	q5	1	79
44	QBC	q6	0	23
45	QBC	q6	1	77
46	QBC	q7	0	1
47	QBC	q7	1	99
48	GraphDensity	q0	0	40
49	GraphDensity	q0	1	60
50	GraphDensity	q1	0	25
51	GraphDensity	q1	1	75
52	GraphDensity	q2	0	27
53	GraphDensity	q2	1	73
54	GraphDensity	q3	0	30
55	GraphDensity	q3	1	70
56	GraphDensity	q4	0	27
57	GraphDensity	q4	1	73
58	GraphDensity	q5	0	27
59	GraphDensity	q5	1	73
60	GraphDensity	q6	0	29
61	GraphDensity	q6	1	71
62	GraphDensity	q7	0	35
63	GraphDensity	q7	1	65
64	EER	q0	0	40
65	EER	q0	1	60
66	EER	q1	0	33
67	EER	q1	1	67
68	EER	q2	0	55
69	EER	q2	1	45
70	EER	q3	0	31
71	EER	q3	1	69
72	EER	q4	0	35
73	EER	q4	1	65
74	EER	q5	0	25
75	EER	q5	1	75
76	EER	q6	0	12
77	EER	q6	1	88
78	EER	q7	0	9
79	EER	q7	1	91
80	LAL_iter	q0	0	40
81	LAL_iter	q0	1	60
82	LAL_iter	q1	0	36
83	LAL_iter	q1	1	64
84	LAL_iter	q2	0	44
85	LAL_iter	q2	1	56
86	LAL_iter	q3	0	34
87	LAL_iter	q3	1	66
88	LAL_iter	q4	0	44
89	LAL_iter	q4	1	56
90	LAL_iter	q5	0	29
91	LAL_iter	q5	1	71
92	LAL_iter	q6	0	12
93	LAL_iter	q6	1	88
94	LAL_iter	q7	0	1
95	LAL_iter	q7	1	99
96	LAL_indep	q0	0	40
97	LAL_indep	q0	1	60
98	LAL_indep	q1	0	41
99	LAL_indep	q1	1	59
100	LAL_indep	q2	0	35
101	LAL_indep	q2	1	65
102	LAL_indep	q3	0	41
103	LAL_indep	q3	1	59
104	LAL_indep	q4	0	55
105	LAL_indep	q4	1	45
106	LAL_indep	q5	0	20
107	LAL_indep	q5	1	80
108	LAL_indep	q6	0	7
109	LAL_indep	q6	1	93
110	LAL_indep	q7	0	1
111	LAL_indep	q7	1	99
