	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	694	550	55	269	463
101	287	307	500	549	410
102	544	561	608	424	590
103	771	563	72	484	100
104	570	505	77	282	980
105	348	577	613	689	940
106	533	951	937	688	949
107	545	949	621	499	72
108	761	319	519	674	37
109	347	320	930	301	36
110	759	496	627	306	533
111	698	588	629	500	491
112	755	279	109	316	78
113	259	286	67	506	378
114	251	593	179	723	432
115	346	997	287	328	556
116	751	283	763	337	416
117	703	482	218	536	373
118	749	354	682	344	418
119	254	115	221	599	569
120	998	443	291	351	63
121	729	248	420	354	365
122	59	149	842	579	916
123	494	702	402	539	563
124	483	841	795	363	477
125	569	389	399	564	198
126	52	837	265	369	345
127	217	711	707	561	271
128	488	260	796	379	104
129	565	76	180	551	828
130	108	880	713	514	157
131	221	82	270	259	258
132	681	819	814	713	822
133	336	818	367	471	252
134	717	433	810	839	247
135	797	134	798	171	167
136	497	729	294	832	458
137	744	247	217	828	812
138	805	62	425	822	236
139	505	426	216	819	277
140	685	683	460	817	234
141	727	251	766	453	801
142	542	167	184	805	750
143	722	163	767	455	753
144	721	359	339	206	755
145	603	865	194	457	188
146	975	107	195	728	791
147	142	650	308	782	207
148	273	97	775	788	206
149	134	676	771	776	784
150	390	277	801	729	767
151	969	161	778	468	775
152	68	504	355	751	203
153	309	313	201	237	744
154	318	207	214	235	281
155	342	4	605	232	151
156	417	16	327	460	694
157	716	566	36	227	602
158	93	298	785	765	882
159	966	213	800	226	612
160	311	124	963	224	617
161	317	787	729	465	623
162	272	90	739	392	628
163	261	511	598	415	639
164	728	10	989	537	838
165	210	415	3	42	650
166	116	742	31	394	653
167	290	420	969	402	658
168	204	304	10	983	456
169	812	553	286	12	140
170	328	414	936	511	295
171	201	49	279	3	845
172	683	435	470	441	297
173	856	945	172	160	251
174	658	649	186	955	1
175	193	464	193	853	685
176	45	656	199	197	700
177	804	664	160	878	608
178	469	669	152	203	991
179	561	173	649	796	989
180	465	900	449	135	330
181	502	471	209	132	273
182	503	340	213	775	528
183	796	906	134	250	214
184	299	63	953	909	910
185	170	128	906	270	634
186	762	31	681	918	268
187	927	153	111	709	913
188	532	698	507	291	749
189	919	484	841	680	131
190	344	145	247	664	736
191	349	195	256	149	846
192	130	708	517	632	642
193	29	374	266	333	672
194	234	376	941	609	652
195	179	821	816	71	242
196	785	582	721	588	670
197	310	434	535	575	47
198	350	694	130	574	24
199	528	771	764	446	364
200	189	533	97	481	468
201	808	448	730	907	356
202	807	303	86	14	317
203	907	658	85	512	388
204	50	474	106	522	379
205	912	639	592	134	376
206	4	481	73	17	656
207	195	630	590	72	371
208	111	487	525	31	21
209	191	231	530	951	358
210	915	242	737	34	953
211	262	514	974	488	955
212	286	546	967	491	960
213	376	686	489	928	363
214	55	695	996	95	18
215	293	444	722	49	16
216	916	769	133	50	965
217	885	807	424	492	659
218	375	126	426	65	875
219	34	798	432	954	881
220	275	797	115	68	154
221	442	367	442	20	825
222	906	135	709	138	233
223	414	140	486	630	874
224	433	333	24	790	531
225	284	353	235	555	231
226	85	348	117	254	230
227	117	530	452	590	549
228	139	716	33	786	807
229	992	736	912	780	226
230	135	183	29	778	555
231	664	186	41	256	116
232	131	349	66	766	117
233	649	528	215	448	97
234	173	285	947	447	558
235	632	39	161	280	196
236	121	519	102	284	751
237	985	409	137	601	786
238	7	500	129	248	139
239	776	383	178	302	122
240	452	293	125	310	606
241	194	490	96	315	578
242	140	451	1	426	580
243	330	488	188	700	769
244	556	314	858	698	764
245	552	382	237	672	603
246	103	449	464	669	598
247	13	940	231	382	120
248	509	473	495	659	829
249	249	301	509	397	525
250	711	465	786	403	518
251	970	491	782	643	870
252	78	347	514	406	868
253	77	817	533	442	68
254	485	558	457	461	483
255	478	766	558	257	79
256	361	162	574	162	263
257	107	181	578	863	853
258	154	720	603	183	82
259	291	85	695	806	734
260	362	199	651	855	168
261	971	867	690	170	616
262	954	204	686	847	96
263	314	361	659	569	88
264	149	44	562	560	841
265	73	672	453	865	997
266	403	77	491	152	0
267	695	660	833	556	836
268	713	651	451	808	92
269	160	78	356	820	840
270	171	259	285	570	238
271	768	889	364	829	129
272	614	233	274	336	39
273	613	599	354	409	586
274	196	574	271	870	321
275	198	624	328	13	481
276	215	243	403	545	515
277	546	258	242	390	148
278	235	263	418	178	622
279	241	217	390	552	77
280	821	584	251	989	932
281	516	103	181	376	705
282	513	193	902	946	867
283	495	388	314	730	520
284	404	339	669	122	105
285	271	241	34	187	523
286	913	793	13	111	249
287	899	70	52	189	665
288	447	325	776	748	232
289	448	437	518	105	557
290	396	439	81	191	530
291	56	674	672	199	382
292	62	24	389	215	227
293	65	442	151	218	327
294	855	892	793	221	511
295	70	668	805	586	194
296	474	306	850	495	546
297	476	210	821	452	536
298	466	403	551	975	424
299	0	18	505	139	974
300	895	275	439	475	290
301	370	745	431	738	52
302	303	495	957	393	548
303	305	489	557	473	447
304	719	366	138	690	299
305	289	125	576	371	476
306	710	57	12	377	451
307	709	56	586	734	933
308	708	935	601	395	935
309	389	55	949	466	890
310	756	757	620	520	505
311	742	992	633	523	331
312	123	991	697	285	351
313	136	3	662	794	856
314	446	5	665	603	907
315	521	985	678	286	384
316	54	559	527	585	484
317	76	11	524	792	67
318	525	14	539	293	422
319	902	28	238	581	439
320	72	968	104	614	669
321	515	602	444	553	681
322	155	605	448	307	774
323	865	38	254	311	31
324	49	944	469	621	153
325	936	544	7	314	166
326	967	941	817	633	339
327	351	297	502	525	374
328	633	470	479	320	246
329	18	273	965	450	135
330	678	845	797	125	703
331	691	883	792	108	630
332	320	844	248	443	11
333	365	843	488	76	125
334	458	705	244	467	210
335	747	185	122	474	723
336	766	206	0	667	197
337	666	836	26	953	601
338	660	295	988	82	121
339	586	430	913	431	272
340	94	197	935	625	950
341	645	200	976	33	994
342	250	685	933	683	285
343	248	870	311	704	947
344	230	723	891	814	575
345	410	722	630	348	850
346	573	406	899	846	697
347	555	552	211	856	366
348	265	592	582	222	50
349	988	812	560	294	406
350	47	377	545	207	969
351	30	795	230	762	343
352	468	236	516	330	414
353	39	8	484	241	335
354	464	954	476	753	336
355	11	955	473	818	415
356	523	422	272	176	350
357	356	416	406	880	30
358	924	222	392	236	417
359	206	738	359	146	566
360	822	226	351	130	59
361	256	34	348	154	785
362	268	468	347	304	163
363	379	932	342	548	686
364	601	478	653	557	676
365	301	441	173	620	674
366	307	645	610	40	805
367	679	142	148	418	808
368	676	479	881	629	667
369	335	875	61	421	361
370	624	102	90	528	392
371	659	634	116	924	282
372	634	198	765	319	582
373	653	501	755	913	102
374	92	503	667	8	375
375	841	697	728	66	859
376	558	315	704	266	93
377	172	915	176	433	377
378	96	703	691	910	307
379	115	538	645	413	20
380	163	518	21	185	452
381	439	424	187	30	446
382	444	379	107	686	115
383	161	372	929	173	397
384	151	926	362	388	359
385	133	54	385	882	542
386	441	327	290	362	57
387	879	68	802	892	457
388	430	440	167	129	465
389	996	436	951	238	489
390	109	230	430	16	323
391	67	555	467	67	181
392	548	704	146	41	855
393	769	17	926	216	574
394	253	21	478	342	605
395	218	753	680	361	629
396	945	356	496	167	133
397	850	410	155	414	176
398	881	7	11	38	436
399	480	155	171	258	689
400	74	30	296	618	869
401	122	12	302	916	927
402	905	336	503	612	897
403	539	418	498	124	976
404	917	886	331	121	946
405	321	885	334	720	848
406	437	540	335	109	985
407	837	92	441	106	847
408	784	266	435	510	553
409	752	898	340	172	998
410	640	957	357	102	814
411	641	289	200	972	551
412	977	912	197	894	547
413	643	610	395	513	524
414	17	64	51	181	255
415	712	60	14	998	270
416	745	292	675	186	507
417	647	608	756	793	279
418	648	33	758	214	503
419	228	35	668	194	292
420	980	966	47	526	309
421	258	37	657	768	482
422	408	614	693	179	315
423	395	291	40	81	464
424	979	264	65	773	328
425	938	485	762	940	346
426	340	516	112	902	413
427	413	238	145	945	189
428	941	814	625	995	211
429	364	823	349	967	588
430	944	833	4	920	171
431	787	679	39	992	594
432	333	132	897	947	22
433	953	721	162	923	624
434	618	332	916	0	138
435	40	203	322	867	110
436	368	675	190	396	109
437	373	196	300	360	28
438	280	815	277	347	60
439	612	205	931	343	739
440	968	786	123	246	745
441	615	29	233	233	54
442	420	330	44	213	762
443	393	560	378	212	367
444	438	73	998	196	85
445	360	606	580	169	144
446	704	51	588	104	215
447	871	780	585	90	183
448	594	172	382	80	399
449	774	959	855	63	4
450	164	719	626	61	560
451	667	589	860	47	500
452	207	187	995	43	496
453	557	570	648	36	259
454	778	920	536	29	235
455	700	907	594	423	860
456	651	842	650	438	585
457	852	512	664	272	266
458	690	832	515	478	600
459	153	365	700	702	86
460	104	261	397	497	702
461	252	648	882	504	65
462	877	438	784	507	717
463	306	458	879	652	752
464	582	475	843	563	40
465	166	274	417	647	675
466	168	816	720	736	510
467	763	547	446	531	369
468	175	331	472	542	892
469	24	850	108	547	469
470	372	211	643	463	349
471	260	644	689	103	924
472	244	755	131	54	988
473	8	578	741	83	394
474	421	364	150	656	688
475	162	758	624	56	41
476	942	36	994	685	389
477	359	262	70	980	449
478	323	994	17	711	504
479	853	81	773	617	14
480	473	590	587	451	992
481	105	384	377	180	780
482	562	71	350	193	763
483	794	131	880	986	393
484	440	137	343	268	816
485	665	344	337	875	433
486	579	615	867	275	284
487	436	562	319	929	404
488	591	633	198	767	175
489	933	919	309	862	587
490	294	59	919	148	954
491	42	130	543	57	402
492	297	709	293	163	519
493	182	585	569	94	161
494	577	879	269	648	589
495	222	643	918	253	200
496	705	169	769	384	213
497	845	498	485	417	311
498	536	160	631	78	912
499	605	371	246	562	668
500	492	136	932	153	113
501	486	147	144	966	411
502	472	799	862	429	412
503	471	201	154	202	419
504	416	908	948	677	126
505	450	202	37	663	427
506	983	996	871	661	428
507	435	358	869	240	119
508	409	972	868	660	437
509	583	978	909	229	112
510	842	981	864	758	438
511	587	983	28	335	239
512	298	507	158	737	95
513	637	506	428	997	99
514	300	9	789	352	98
515	352	486	622	678	313
516	627	400	660	595	455
517	61	459	658	219	333
518	663	454	655	576	155
519	843	401	646	747	101
520	668	993	245	370	987
521	322	429	615	559	225
522	625	961	369	535	221
523	324	938	600	401	942
524	60	572	595	527	74
525	608	937	320	752	878
526	606	737	575	420	212
527	604	223	567	583	150
528	950	225	547	265	920
529	650	917	534	410	962
530	345	234	513	204	164
531	460	687	506	260	127
532	477	83	409	327	930
533	551	877	421	5	513
534	575	923	456	425	826
535	481	326	422	509	387
536	374	929	573	274	682
537	20	312	313	323	423
538	932	622	577	482	240
539	113	296	264	635	440
540	861	878	768	408	613
541	28	42	791	937	610
542	866	467	777	840	370
543	934	580	289	812	607
544	84	749	788	941	461
545	51	100	381	346	577
546	578	980	712	785	564
547	832	933	774	905	493
548	629	976	71	639	497
549	616	93	48	592	521
550	599	58	222	69	501
551	338	899	404	807	597
552	706	106	299	800	718
553	246	999	212	795	641
554	232	310	790	372	796
555	740	874	416	965	756
556	549	631	474	174	326
557	537	638	9	220	748
558	840	642	982	949	289
559	283	350	252	209	761
560	520	556	232	45	276
561	456	706	407	859	720
562	443	228	262	427	726
563	138	759	579	864	820
564	817	334	635	295	398
565	431	177	639	871	73
566	187	395	638	836	318
567	399	794	177	141	241
568	487	804	346	262	532
569	445	847	325	324	815
570	550	848	677	137	984
571	568	764	281	245	316
572	434	385	268	982	599
573	987	343	365	726	604
574	32	373	846	501	224
575	281	510	679	508	51
576	735	362	374	101	165
577	279	508	5	757	445
578	269	591	8	496	698
579	697	531	371	470	635
580	145	139	870	192	124
581	868	739	501	703	644
582	886	600	654	816	900
583	753	717	250	826	44
584	176	256	830	165	383
585	114	423	570	631	479
586	848	652	904	145	938
587	137	75	38	332	939
588	144	677	552	897	797
589	795	545	375	110	443
590	654	381	865	657	62
591	566	581	885	567	332
592	247	94	652	883	337
593	354	20	856	140	919
594	620	897	363	858	708
595	929	497	292	271	466
596	86	469	415	399	591
597	801	447	924	926	631
598	682	175	275	868	430
599	216	613	523	653	467
600	295	521	283	37	19
601	296	220	276	35	25
602	308	212	261	15	43
603	329	209	240	9	46
604	353	208	568	334	61
605	239	113	84	341	391
606	357	192	89	999	64
607	143	114	95	380	87
608	126	118	225	387	91
609	15	170	223	407	132
610	19	159	220	405	147
611	23	158	219	462	158
612	43	127	119	480	179
613	46	150	205	373	80
614	48	80	202	386	396
615	53	341	166	355	952
616	128	143	159	493	512
617	69	69	157	411	400
618	89	445	141	357	975
619	91	355	136	345	462
620	98	472	127	317	490
621	99	27	352	26	494
622	101	427	353	544	498
623	119	425	321	136	499
624	120	419	459	889	973
625	83	411	22	876	454
626	358	407	35	877	517
627	245	23	462	126	529
628	380	380	487	412	472
629	462	405	490	887	407
630	506	48	19	682	561
631	428	494	493	958	898
632	517	499	494	921	583
633	522	6	522	75	844
634	427	391	529	454	849
635	527	46	531	952	201
636	419	378	532	48	559
637	405	455	15	962	972
638	529	460	6	968	27
639	401	539	559	27	554
640	411	537	23	974	174
641	538	549	25	977	550
642	385	453	132	534	53
643	540	189	419	991	971
644	535	477	380	91	839
645	386	318	412	857	909
646	387	26	408	809	35
647	493	227	386	761	728
648	391	398	387	666	209
649	57	854	401	763	229
650	543	939	391	338	368
651	499	45	429	296	716
652	958	859	32	770	338
653	657	43	900	722	760
654	541	120	169	692	715
655	118	91	185	705	408
656	512	99	318	208	978
657	922	101	317	223	324
658	22	896	398	606	322
659	957	873	304	156	792
660	524	888	94	604	799
661	75	890	504	830	800
662	956	895	50	684	219
663	883	515	113	993	710
664	972	156	979	623	565
665	863	526	27	823	288
666	146	450	124	725	963
667	383	576	100	168	970
668	341	987	83	594	301
669	331	619	952	636	699
670	741	625	993	267	265
671	739	396	358	303	691
672	267	370	735	735	303
673	567	680	898	58	283
674	205	329	825	959	405
675	425	696	827	914	280
676	873	282	851	939	887
677	833	146	394	22	459
678	826	731	852	445	534
679	621	727	623	92	621
680	835	741	597	985	885
681	836	164	857	572	159
682	369	174	224	422	993
683	839	280	208	888	143
684	692	789	877	521	977
685	429	802	602	164	677
686	619	239	450	64	832
687	9	767	492	970	740
688	100	784	454	848	706
689	810	363	986	53	647
690	593	219	564	838	614
691	510	647	360	938	502
692	180	869	229	891	475
693	461	184	87	142	357
694	997	863	853	759	325
695	828	971	927	440	294
696	792	761	120	97	182
697	798	982	434	385	886
698	274	182	165	874	995
699	106	774	984	988	180
700	2	2	2	2	6
701	147	84	64	46	15
702	150	87	228	74	190
703	152	88	288	87	205
704	184	89	298	88	208
705	190	95	305	98	228
706	192	240	312	112	267
707	202	245	324	127	278
708	220	276	326	143	300
709	224	278	332	147	302
710	288	281	581	157	308
711	292	288	591	158	312
712	554	302	607	159	329
713	571	308	609	184	334
714	576	321	612	195	353
715	581	322	616	225	386
716	584	522	618	231	571
717	596	534	619	239	572
718	597	535	628	255	573
719	609	543	637	278	584
720	611	554	666	297	593
721	617	564	670	300	596
722	636	567	671	305	611
723	638	568	673	312	615
724	642	571	684	517	626
725	646	573	687	529	636
726	661	595	696	532	646
727	662	596	699	538	655
728	670	597	701	540	657
729	671	607	706	541	661
730	673	609	714	554	662
731	684	611	715	566	663
732	687	626	718	571	680
733	696	627	725	593	684
734	701	628	731	596	693
735	715	635	733	600	696
736	724	636	742	602	707
737	725	646	743	611	714
738	726	655	746	616	724
739	731	663	747	619	727
740	732	673	752	640	731
741	734	678	754	641	732
742	743	692	779	642	733
743	748	699	781	655	735
744	754	701	803	670	754
745	760	710	806	671	757
746	764	714	811	673	759
747	770	715	813	681	770
748	772	724	820	693	772
749	773	725	824	701	773
750	777	726	826	707	781
751	779	740	828	710	790
752	780	743	829	714	802
753	781	746	831	718	803
754	783	754	835	719	804
755	790	756	837	721	809
756	799	770	840	724	810
757	800	772	844	732	811
758	803	777	849	741	813
759	806	779	859	743	818
760	809	781	863	750	819
761	811	782	866	760	823
762	813	783	872	772	824
763	815	803	874	787	827
764	818	806	876	789	831
765	830	809	883	799	834
766	834	820	884	802	835
767	844	825	887	810	837
768	847	827	888	815	842
769	849	830	889	824	843
770	851	831	890	831	851
771	854	834	892	834	854
772	872	839	893	835	857
773	878	849	895	860	862
774	884	851	896	861	866
775	887	852	901	869	871
776	896	857	903	872	876
777	901	860	905	879	888
778	908	862	911	881	889
779	914	864	920	890	893
780	918	884	921	893	894
781	921	901	922	903	896
782	923	902	925	908	901
783	925	903	934	911	903
784	928	904	942	917	904
785	930	905	944	934	908
786	931	911	950	942	911
787	939	914	956	943	917
788	943	918	958	948	921
789	955	922	961	950	922
790	960	925	962	957	923
791	961	928	964	960	931
792	962	934	966	961	943
793	963	943	968	963	944
794	974	948	970	964	948
795	978	952	971	973	958
796	982	964	973	978	964
797	984	975	981	981	979
798	990	979	983	984	981
799	999	990	990	990	986
