	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	466	487	85	442	513
101	871	227	271	203	44
102	715	358	626	954	848
103	997	256	111	393	290
104	525	273	394	37	801
105	960	329	19	648	980
106	552	912	927	420	153
107	86	183	132	864	669
108	204	692	381	386	212
109	437	652	125	670	507
110	228	904	892	431	326
111	822	160	326	422	808
112	924	895	102	588	988
113	739	198	387	732	621
114	433	650	181	659	332
115	804	288	666	965	761
116	798	832	11	929	316
117	912	534	498	138	838
118	329	207	820	735	622
119	389	479	618	962	20
120	98	908	392	643	822
121	799	381	909	504	80
122	350	91	194	197	529
123	374	400	55	858	734
124	421	3	781	162	557
125	753	83	351	532	98
126	195	951	165	882	970
127	349	38	237	672	591
128	549	694	385	967	684
129	664	915	71	690	644
130	573	979	269	847	927
131	272	459	296	559	299
132	193	957	456	297	823
133	32	14	920	808	157
134	509	401	448	772	265
135	126	145	786	871	859
136	832	552	302	250	132
137	56	905	422	213	972
138	135	485	655	743	393
139	182	146	739	53	376
140	740	537	265	137	693
141	856	204	397	810	780
142	958	209	507	454	994
143	353	533	21	316	790
144	575	675	364	214	22
145	678	577	41	942	803
146	703	26	15	585	501
147	478	769	935	373	339
148	154	213	747	286	273
149	771	149	816	171	47
150	50	638	281	26	92
151	785	935	765	56	857
152	567	16	695	653	851
153	83	185	358	307	313
154	983	799	657	463	504
155	633	952	159	460	423
156	333	383	635	43	207
157	168	94	729	9	496
158	122	687	806	30	446
159	717	174	582	187	588
160	314	570	752	855	60
161	206	291	451	443	121
162	554	786	318	949	600
163	527	243	339	17	374
164	961	627	502	67	989
165	431	477	292	311	685
166	494	372	211	481	67
167	899	783	600	934	467
168	521	497	936	142	933
169	569	429	81	604	228
170	557	787	966	343	844
171	201	398	14	0	312
172	533	647	108	146	773
173	439	807	374	762	850
174	638	60	633	757	569
175	538	720	240	296	744
176	963	364	83	710	236
177	57	5	127	617	565
178	854	759	568	167	54
179	833	714	913	621	589
180	321	809	412	748	224
181	273	777	882	215	427
182	582	371	355	111	612
183	970	903	428	997	710
184	142	46	64	510	283
185	884	465	672	879	150
186	53	18	274	640	757
187	283	306	231	75	736
188	301	831	993	943	769
189	294	441	944	599	394
190	61	280	3	291	384
191	996	220	386	928	558
192	704	406	532	415	518
193	520	80	486	97	800
194	0	981	810	720	25
195	629	439	476	461	309
196	690	538	357	232	96
197	443	318	39	330	785
198	632	245	452	82	963
199	931	4	321	576	464
200	939	985	7	564	147
201	645	686	522	961	263
202	427	642	871	382	571
203	166	955	130	647	36
204	362	89	362	957	456
205	503	97	862	972	969
206	528	325	353	354	413
207	460	948	559	839	323
208	133	411	343	787	52
209	291	886	416	513	102
210	131	433	814	701	731
211	705	499	399	891	14
212	318	296	478	730	601
213	385	443	525	840	135
214	109	308	198	169	238
215	971	600	989	669	349
216	966	593	331	910	258
217	929	490	402	551	964
218	695	959	849	983	797
219	710	385	728	861	911
220	395	281	109	945	805
221	725	124	254	993	551
222	811	217	684	112	767
223	902	943	106	913	849
224	417	761	378	344	396
225	522	90	34	403	353
226	712	197	248	270	815
227	480	135	722	671	466
228	143	939	100	718	759
229	571	68	116	542	116
230	322	975	325	413	816
231	719	625	964	452	368
232	55	753	789	950	974
233	260	683	562	570	962
234	196	474	202	863	288
235	506	878	150	22	949
236	317	418	291	520	208
237	741	704	587	406	727
238	328	715	337	722	639
239	562	556	327	677	335
240	171	944	899	920	580
241	944	639	821	450	810
242	979	917	48	829	176
243	107	427	986	999	65
244	813	84	664	110	242
245	247	159	654	832	124
246	878	716	590	396	629
247	121	863	777	301	129
248	548	656	299	612	447
249	324	184	974	293	885
250	790	867	2	271	449
251	659	756	148	399	219
252	391	563	501	332	862
253	805	303	151	938	476
254	170	170	620	656	755
255	4	125	733	894	705
256	336	169	219	926	377
257	274	327	365	178	677
258	190	355	667	220	386
259	153	845	627	447	503
260	581	423	552	511	675
261	265	10	763	66	886
262	636	941	161	258	548
263	175	326	95	831	604
264	749	75	829	145	278
265	556	58	347	623	357
266	311	660	653	176	921
267	172	12	784	880	87
268	627	486	342	462	95
269	879	743	578	199	575
270	113	201	639	225	125
271	340	348	830	92	784
272	356	819	47	194	707
273	558	964	714	592	616
274	646	8	442	496	39
275	298	29	704	596	578
276	774	806	72	473	329
277	140	592	659	236	952
278	419	426	52	916	443
279	687	251	813	963	105
280	784	934	120	700	892
281	647	634	119	20	457
282	11	702	462	47	792
283	202	415	346	760	408
284	865	558	876	809	53
285	235	374	602	630	462
286	8	199	638	698	908
287	837	674	490	394	100
288	654	784	595	103	948
289	809	622	840	312	378
290	296	576	835	512	101
291	796	42	551	953	294
292	642	186	32	964	57
293	67	260	229	284	564
294	853	879	926	257	363
295	653	842	628	790	875
296	792	539	610	878	371
297	619	234	283	990	523
298	614	708	805	126	78
299	259	464	244	231	804
300	103	899	660	750	461
301	474	210	670	50	239
302	436	945	472	147	871
303	73	496	454	153	51
304	244	163	547	986	998
305	440	298	404	823	271
306	29	315	925	540	774
307	957	322	38	104	775
308	591	571	157	285	812
309	565	658	524	38	531
310	300	555	242	601	483
311	671	516	652	371	491
312	105	175	691	71	255
313	700	472	37	523	161
314	532	588	22	835	702
315	345	615	50	174	272
316	954	263	1	989	894
317	376	266	608	468	680
318	75	727	391	202	626
319	477	48	320	369	834
320	399	347	131	54	820
321	101	455	567	639	623
322	164	723	395	537	606
323	779	353	576	788	696
324	256	929	235	807	479
325	111	382	450	245	383
326	637	137	622	237	489
327	555	859	319	887	689
328	94	241	625	219	246
329	84	297	158	606	86
330	676	504	220	642	197
331	683	937	406	977	882
332	980	559	669	826	811
333	956	126	872	306	614
334	450	88	514	355	365
335	945	830	180	951	887
336	287	71	949	713	451
337	320	673	10	170	428
338	577	64	855	379	907
339	469	717	261	69	655
340	840	407	758	348	524
341	445	370	173	974	615
342	45	999	491	534	422
343	221	709	117	351	635
344	908	994	67	101	530
345	536	85	679	693	923
346	130	749	171	402	924
347	401	772	903	218	417
348	679	162	701	58	475
349	660	793	837	981	691
350	184	644	288	412	659
351	198	926	435	911	624
352	346	697	860	946	112
353	830	54	285	815	585
354	732	676	8	686	931
355	544	248	51	262	317
356	990	651	686	799	706
357	137	17	867	998	534
358	925	438	603	141	465
359	54	695	389	347	206
360	873	737	631	789	43
361	665	55	900	618	82
362	984	833	619	766	520
363	883	568	487	160	674
364	458	9	646	377	190
365	578	906	560	433	215
366	812	818	779	83	992
367	597	996	529	108	913
368	661	304	266	636	694
369	516	546	186	680	650
370	268	510	0	253	726
371	295	758	36	973	653
372	162	802	66	655	563
373	762	333	575	392	807
374	651	45	23	506	573
375	269	531	441	724	392
376	471	295	208	684	30
377	483	725	251	714	358
378	420	409	934	719	211
379	772	21	61	883	144
380	731	566	831	625	416
381	620	648	129	235	965
382	99	193	9	156	259
383	914	610	976	958	330
384	615	238	592	563	781
385	216	292	696	980	631
386	472	27	215	163	127
387	716	591	167	5	932
388	751	860	953	314	59
389	953	478	217	877	686
390	955	202	888	27	249
391	461	195	650	562	126
392	249	471	682	478	477
393	834	132	539	484	681
394	261	679	687	380	764
395	848	277	681	121	866
396	666	978	453	828	946
397	91	875	863	703	419
398	743	655	195	246	699
399	462	614	543	723	455
400	448	495	5	752	697
401	360	680	941	526	901
402	239	816	403	908	652
403	224	506	496	275	955
404	535	23	349	265	827
405	15	247	879	42	93
406	866	521	425	595	240
407	515	130	449	874	665
408	404	211	668	995	845
409	338	961	675	711	860
410	252	699	591	678	716
411	794	155	850	704	364
412	194	865	859	683	658
413	568	754	144	738	397
414	781	918	881	441	583
415	670	59	503	248	723
416	594	526	224	824	241
417	145	514	426	304	214
418	368	512	527	629	555
419	487	102	104	614	440
420	43	489	970	238	247
421	974	206	776	315	605
422	936	276	459	294	839
423	842	500	213	338	594
424	523	812	737	480	893
425	309	115	485	552	213
426	881	437	857	872	682
427	648	821	795	274	308
428	754	261	25	204	324
429	847	440	880	88	647
430	650	77	17	611	40
431	30	361	300	734	909
432	139	631	124	619	960
433	722	458	988	130	210
434	387	515	419	140	611
435	118	172	354	300	740
436	430	817	827	87	559
437	429	889	166	805	494
438	780	553	792	376	343
439	441	535	216	467	424
440	215	377	328	272	198
441	18	724	272	984	890
442	51	914	621	856	302
443	253	890	488	414	356
444	927	574	967	959	31
445	40	95	298	260	158
446	357	436	558	336	869
447	612	359	742	603	117
448	685	225	245	370	950
449	267	705	828	98	325
450	895	259	929	361	703
451	290	585	152	620	182
452	416	701	889	239	140
453	403	403	764	81	85
454	289	742	858	125	829
455	473	619	421	905	19
456	596	874	287	870	667
457	20	898	690	600	459
458	885	99	305	770	549
459	147	547	952	921	700
460	251	582	137	705	337
461	134	609	605	372	181
462	396	606	185	818	981
463	146	192	769	528	270
464	323	864	187	102	750
465	74	340	371	729	714
466	807	739	580	673	607
467	136	56	919	725	566
468	756	139	956	12	904
469	444	391	658	208	359
470	907	366	689	793	463
471	975	573	771	641	321
472	987	2	962	721	663
473	220	395	673	152	510
474	354	128	648	302	41
475	916	767	921	822	497
476	836	380	680	667	835
477	502	405	350	335	418
478	230	69	697	352	828
479	308	460	238	903	458
480	634	134	754	159	281
481	17	719	811	154	452
482	835	827	12	470	613
483	608	118	232	572	370
484	299	857	983	195	953
485	65	319	893	773	382
486	726	488	775	33	35
487	286	554	693	500	276
488	493	607	420	768	973
489	745	920	645	682	226
490	117	448	515	227	295
491	364	445	588	186	732
492	621	710	874	737	584
493	938	310	134	865	536
494	344	470	264	57	832
495	7	208	500	890	389
496	599	919	35	65	770
497	187	24	28	68	99
498	841	511	87	410	943
499	96	469	467	586	656
500	752	343	65	507	154
501	359	365	169	806	91
502	663	630	824	397	799
503	393	275	612	907	28
504	701	561	585	918	676
505	192	841	431	539	897
506	967	798	864	333	796
507	62	897	223	216	168
508	681	422	671	567	841
509	570	605	276	939	233
510	410	314	598	387	406
511	617	677	415	529	847
512	288	142	136	488	502
513	728	971	334	36	715
514	603	336	995	663	203
515	505	293	958	164	917
516	561	349	277	553	405
517	844	847	797	593	361
518	587	228	286	817	916
519	307	757	493	136	225
520	413	794	773	209	984
521	76	356	762	812	976
522	787	114	460	802	138
523	933	814	293	985	469
524	405	332	73	317	900
525	150	567	495	256	985
526	849	230	533	427	412
527	641	444	607	35	657
528	541	420	312	61	415
529	151	37	484	3	898
530	543	804	883	466	189
531	275	643	214	453	490
532	593	11	577	357	672
533	852	646	826	411	303
534	828	339	868	549	6
535	303	76	222	129	115
536	808	544	290	830	920
537	365	880	902	794	910
538	698	320	968	465	753
539	763	363	398	440	481
540	492	153	982	736	642
541	48	302	518	569	809
542	998	34	228	758	201
543	180	205	474	409	867
544	734	997	375	778	720
545	972	820	869	425	919
546	128	389	335	514	391
547	465	447	407	556	991
548	23	766	250	341	50
549	625	282	895	269	331
550	611	839	842	418	840
551	517	578	225	95	277
552	886	378	113	172	763
553	618	373	360	445	733
554	234	780	961	541	79
555	692	344	382	222	617
556	24	39	803	94	164
557	744	633	177	426	574
558	843	883	77	109	698
559	759	505	768	14	971
560	604	57	662	124	16
561	510	507	279	741	436
562	335	900	160	158	756
563	390	736	579	499	400
564	887	203	26	590	21
565	606	572	969	707	944
566	768	933	743	751	338
567	777	581	470	633	636
568	93	884	314	280	954
569	818	851	473	767	484
570	481	239	155	254	155
571	191	685	833	46	818
572	943	301	4	127	942
573	918	991	730	978	445
574	155	564	851	385	232
575	613	434	489	168	159
576	529	330	973	631	888
577	583	73	193	229	958
578	292	892	965	384	500
579	262	226	408	838	200
580	978	82	44	689	373
581	176	113	377	91	599
582	546	664	916	941	547
583	872	33	268	557	870
584	839	453	896	547	846
585	138	354	190	206	854
586	115	508	856	492	596
587	906	481	948	819	868
588	435	696	922	455	628
589	755	923	715	857	252
590	551	93	905	786	221
591	877	63	643	196	0
592	662	901	184	820	15
593	968	454	200	319	646
594	293	49	535	571	819
595	917	837	96	785	366
596	245	940	107	157	997
597	962	430	545	947	122
598	821	100	979	917	708
599	34	976	942	192	251
600	713	528	904	193	61
601	13	258	574	491	289
602	373	982	24	893	230
603	189	233	6	988	307
604	609	107	439	323	995
605	106	888	918	259	196
606	512	494	901	223	131
607	795	101	756	555	935
608	438	848	13	191	143
609	778	196	434	635	73
610	464	549	564	401	724
611	706	877	162	923	587
612	173	173	791	390	662
613	724	367	27	495	267
614	845	350	887	581	327
615	342	836	40	940	853
616	310	938	304	122	336
617	950	51	256	666	688
618	330	334	706	8	88
619	222	990	963	328	1
620	163	475	778	64	987
621	861	540	390	664	641
622	218	993	865	266	139
623	922	81	731	765	301
624	539	624	713	207	634
625	649	410	212	282	72
626	801	649	785	278	525
627	579	746	930	224	175
628	306	498	996	421	388
629	896	595	800	966	542
630	513	711	197	775	375
631	694	120	218	909	608
632	47	242	233	233	194
633	161	286	718	438	209
634	217	285	712	334	993
635	934	550	176	305	315
636	761	442	931	726	120
637	246	236	947	868	947
638	2	189	133	429	205
639	372	980	252	255	109
640	258	92	720	388	234
641	495	589	699	363	752
642	764	797	637	448	889
643	992	706	802	16	387
644	149	873	601	451	749
645	566	611	112	78	938
646	341	580	933	2	668
647	179	771	788	241	670
648	92	545	464	509	280
649	584	726	897	212	561
650	414	518	348	888	748
651	985	862	509	594	560
652	70	484	409	897	602
653	708	602	843	692	786
654	279	177	70	295	77
655	550	925	906	90	433
656	800	636	846	268	414
657	446	885	115	685	285
658	658	922	506	181	110
659	586	223	294	991	350
660	78	43	623	574	610
661	905	782	534	816	328
662	352	451	31	661	227
663	742	143	94	688	165
664	735	613	322	240	279
665	855	36	950	869	978
666	108	136	89	29	74
667	85	815	613	792	322
668	868	722	971	132	27
669	540	608	352	560	512
670	601	150	359	475	398
671	281	729	324	173	229
672	297	992	841	937	499
673	605	597	138	183	939
674	476	599	817	545	37
675	673	468	430	881	282
676	488	6	597	320	454
677	428	501	145	955	399
678	447	745	870	143	630
679	305	628	990	795	825
680	729	663	746	501	411
681	969	44	801	471	345
682	921	869	573	34	119
683	46	491	332	15	166
684	248	949	221	337	231
685	863	312	311	952	881
686	999	972	951	970	284
687	776	562	199	753	104
688	205	795	709	975	760
689	123	954	911	395	404
690	982	911	884	948	979
691	9	850	494	362	728
692	497	7	755	859	556
693	640	313	594	538	171
694	72	131	513	728	597
695	19	31	429	535	896
696	748	907	178	747	180
697	152	543	309	674	593
698	806	669	230	800	553
699	375	590	308	508	550
700	624	435	629	761	940
701	486	222	154	76	151
702	271	414	721	834	351
703	851	156	492	493	493
704	347	698	678	796	533
705	442	362	616	184	826
706	769	779	581	759	836
707	803	78	707	536	62
708	915	425	798	327	718
709	49	106	262	709	163
710	711	834	557	960	311
711	760	774	790	982	598
712	42	321	796	149	661
713	696	379	994	80	300
714	913	503	123	189	511
715	697	738	504	482	986
716	684	983	890	74	519
717	485	896	457	566	837
718	524	30	741	846	498
719	409	140	766	860	292
720	52	388	570	902	603
721	747	672	523	226	802
722	643	289	630	221	874
723	941	70	246	424	438
724	254	161	844	407	590
725	657	274	505	575	505
726	69	396	700	165	842
727	452	450	86	876	717
728	797	264	317	867	402
729	284	823	367	497	297
730	100	164	615	342	515
731	770	219	877	346	439
732	210	870	247	889	572
733	766	968	793	583	432
734	817	20	885	423	855
735	59	467	519	179	18
736	988	331	380	405	582
737	351	384	444	148	333
738	116	212	725	914	367
739	232	596	340	554	472
740	977	626	209	180	97
741	668	731	866	992	813
742	60	781	201	527	735
743	39	419	172	105	64
744	709	902	179	446	407
745	545	825	432	72	772
746	77	741	957	763	113
747	932	635	937	875	482
748	468	279	984	48	410
749	783	278	624	408	133
750	691	678	981	579	754
751	826	283	122	13	24
752	576	987	586	40	876
753	850	262	418	609	179
754	370	721	853	782	577
755	901	560	536	892	430
756	411	519	401	780	922
757	542	789	891	417	977
758	379	449	932	681	174
759	119	740	369	457	586
760	89	584	517	517	751
761	721	668	424	41	517
762	425	181	649	345	268
763	250	62	569	310	521
764	361	770	417	134	546
765	280	928	97	862	183
766	383	187	356	531	762
767	331	424	90	135	739
768	434	167	852	652	930
769	348	803	531	267	379
770	144	764	363	848	11
771	682	103	516	836	903
772	207	530	782	45	532
773	815	844	767	521	46
774	537	200	289	544	148
775	930	854	735	474	528
776	104	341	825	657	334
777	499	852	270	660	912
778	386	755	665	525	266
779	160	28	313	139	4
780	28	158	469	522	318
781	380	703	677	360	346
782	667	849	479	616	814
783	616	147	774	303	554
784	456	416	530	548	975
785	727	522	146	702	878
786	358	87	446	814	745
787	773	482	912	602	831
788	919	473	33	968	369
789	408	843	84	31	843
790	241	966	275	776	63
791	68	35	29	185	824
792	120	182	205	632	791
793	942	231	609	853	437
794	810	376	141	561	235
795	114	307	924	63	468
796	928	240	898	106	856
797	22	645	998	324	188
798	923	127	651	49	167
799	369	932	188	924	68
