	Strategy	Query	Class	Value
0	Random	q0	0	40
1	Random	q0	1	60
2	Random	q1	0	32
3	Random	q1	1	68
4	Random	q2	0	28
5	Random	q2	1	72
6	Random	q3	0	27
7	Random	q3	1	73
8	Random	q4	0	27
9	Random	q4	1	73
10	Random	q5	0	27
11	Random	q5	1	73
12	Random	q6	0	32
13	Random	q6	1	68
14	Random	q7	0	27
15	Random	q7	1	73
16	Uncertainty	q0	0	40
17	Uncertainty	q0	1	60
18	Uncertainty	q1	0	40
19	Uncertainty	q1	1	60
20	Uncertainty	q2	0	40
21	Uncertainty	q2	1	60
22	Uncertainty	q3	0	44
23	Uncertainty	q3	1	56
24	Uncertainty	q4	0	36
25	Uncertainty	q4	1	64
26	Uncertainty	q5	0	19
27	Uncertainty	q5	1	81
28	Uncertainty	q6	0	12
29	Uncertainty	q6	1	88
30	Uncertainty	q7	0	9
31	Uncertainty	q7	1	91
32	QBC	q0	0	40
33	QBC	q0	1	60
34	QBC	q1	0	38
35	QBC	q1	1	62
36	QBC	q2	0	39
37	QBC	q2	1	61
38	QBC	q3	0	44
39	QBC	q3	1	56
40	QBC	q4	0	31
41	QBC	q4	1	69
42	QBC	q5	0	24
43	QBC	q5	1	76
44	QBC	q6	0	23
45	QBC	q6	1	77
46	QBC	q7	0	1
47	QBC	q7	1	99
48	GraphDensity	q0	0	40
49	GraphDensity	q0	1	60
50	GraphDensity	q1	0	24
51	GraphDensity	q1	1	76
52	GraphDensity	q2	0	27
53	GraphDensity	q2	1	73
54	GraphDensity	q3	0	32
55	GraphDensity	q3	1	68
56	GraphDensity	q4	0	27
57	GraphDensity	q4	1	73
58	GraphDensity	q5	0	28
59	GraphDensity	q5	1	72
60	GraphDensity	q6	0	27
61	GraphDensity	q6	1	73
62	GraphDensity	q7	0	35
63	GraphDensity	q7	1	65
64	EER	q0	0	40
65	EER	q0	1	60
66	EER	q1	0	27
67	EER	q1	1	73
68	EER	q2	0	37
69	EER	q2	1	63
70	EER	q3	0	34
71	EER	q3	1	66
72	EER	q4	0	42
73	EER	q4	1	58
74	EER	q5	0	33
75	EER	q5	1	67
76	EER	q6	0	17
77	EER	q6	1	83
78	EER	q7	0	10
79	EER	q7	1	90
80	LAL_iter	q0	0	40
81	LAL_iter	q0	1	60
82	LAL_iter	q1	0	38
83	LAL_iter	q1	1	62
84	LAL_iter	q2	0	39
85	LAL_iter	q2	1	61
86	LAL_iter	q3	0	46
87	LAL_iter	q3	1	54
88	LAL_iter	q4	0	31
89	LAL_iter	q4	1	69
90	LAL_iter	q5	0	28
91	LAL_iter	q5	1	72
92	LAL_iter	q6	0	16
93	LAL_iter	q6	1	84
94	LAL_iter	q7	0	2
95	LAL_iter	q7	1	98
96	LAL_indep	q0	0	40
97	LAL_indep	q0	1	60
98	LAL_indep	q1	0	33
99	LAL_indep	q1	1	67
100	LAL_indep	q2	0	49
101	LAL_indep	q2	1	51
102	LAL_indep	q3	0	39
103	LAL_indep	q3	1	61
104	LAL_indep	q4	0	37
105	LAL_indep	q4	1	63
106	LAL_indep	q5	0	27
107	LAL_indep	q5	1	73
108	LAL_indep	q6	0	12
109	LAL_indep	q6	1	88
110	LAL_indep	q7	0	3
111	LAL_indep	q7	1	97
