	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	215	553	969	42	491
101	216	31	346	45	378
102	350	528	343	56	530
103	280	475	342	82	39
104	668	302	340	103	536
105	565	150	339	443	78
106	734	30	765	105	546
107	222	292	766	126	475
108	729	979	767	134	467
109	837	561	337	145	551
110	717	944	769	167	21
111	354	518	108	169	20
112	676	968	328	184	464
113	692	941	325	195	910
114	697	939	324	203	379
115	698	143	777	220	229
116	259	9	778	224	337
117	753	506	320	111	828
118	256	934	317	465	167
119	362	582	782	504	681
120	586	589	785	728	685
121	709	283	358	729	290
122	254	233	363	698	589
123	712	260	354	575	281
124	571	258	36	579	181
125	706	562	435	723	268
126	375	980	432	720	183
127	274	468	695	630	194
128	761	304	429	642	433
129	795	142	428	656	263
130	328	436	426	660	166
131	173	62	700	481	201
132	620	85	425	713	258
133	609	339	33	680	209
134	616	433	417	689	792
135	311	719	41	707	786
136	154	347	709	538	213
137	151	722	107	743	246
138	538	195	375	690	215
139	342	704	34	528	736
140	137	726	415	536	744
141	303	740	402	768	772
142	522	396	381	496	240
143	385	359	728	761	751
144	298	533	965	506	235
145	771	383	401	772	801
146	189	376	989	773	835
147	191	793	13	785	819
148	762	365	83	787	339
149	140	787	3	788	853
150	399	415	87	793	316
151	458	124	55	522	614
152	34	434	951	499	315
153	440	867	967	149	642
154	275	862	106	140	331
155	625	865	798	963	646
156	658	643	138	138	867
157	632	55	449	136	599
158	444	130	682	132	838
159	464	651	453	975	656
160	634	633	456	71	841
161	18	39	996	124	845
162	468	628	509	74	896
163	299	438	651	78	36
164	346	638	517	736	31
165	2	313	704	982	410
166	293	256	645	139	24
167	365	482	628	448	753
168	269	356	623	225	871
169	821	173	547	189	465
170	808	588	562	447	612
171	155	207	612	446	125
172	391	644	574	488	623
173	792	445	577	495	739
174	785	766	594	440	605
175	390	34	643	406	991
176	513	540	416	500	247
177	389	874	713	399	791
178	541	6	389	526	668
179	176	263	144	816	150
180	414	697	152	388	80
181	417	331	155	537	840
182	778	236	897	540	525
183	505	183	200	186	647
184	380	437	214	348	68
185	883	440	232	564	367
186	195	277	856	574	560
187	497	940	247	586	273
188	495	593	272	291	575
189	60	676	287	609	363
190	561	832	802	618	715
191	562	717	801	278	196
192	56	515	795	945	717
193	53	70	327	245	392
194	450	563	746	661	804
195	932	49	362	857	104
196	705	560	739	672	373
197	268	430	367	206	850
198	42	10	129	551	266
199	447	759	0	808	109
200	331	686	681	363	132
201	441	786	646	33	451
202	954	615	633	397	428
203	807	126	630	953	943
204	915	723	707	869	309
205	766	694	712	763	759
206	916	320	669	108	326
207	918	926	588	805	11
208	249	896	12	207	332
209	525	136	590	721	356
210	162	306	4	614	361
211	579	145	784	846	436
212	936	382	564	812	375
213	9	949	569	97	122
214	139	698	579	633	30
215	678	213	775	185	767
216	555	367	776	653	422
217	797	114	755	293	40
218	379	33	575	828	41
219	478	325	578	171	432
220	85	161	2	683	388
221	800	155	201	669	63
222	272	362	202	722	644
223	83	933	17	602	848
224	91	361	193	674	175
225	801	314	181	87	97
226	241	708	179	757	669
227	848	348	961	94	630
228	996	344	44	796	675
229	251	675	116	753	198
230	983	705	117	592	602
231	575	605	96	135	585
232	853	319	240	491	846
233	481	24	137	730	563
234	4	29	949	862	498
235	273	280	151	599	219
236	509	401	85	632	874
237	567	7	81	441	157
238	291	182	171	457	844
239	217	514	67	414	694
240	47	185	52	402	505
241	301	821	100	301	414
242	198	511	173	13	129
243	448	782	176	271	402
244	536	451	29	807	606
245	28	186	916	392	91
246	456	645	311	314	371
247	969	505	912	29	59
248	984	82	995	686	289
249	582	199	867	678	346
250	528	479	523	688	519
251	980	497	245	30	163
252	608	193	536	354	327
253	605	994	855	320	176
254	100	892	853	371	224
255	865	756	560	748	325
256	664	755	570	307	549
257	271	590	603	294	323
258	224	163	620	497	311
259	65	414	621	590	885
260	62	146	664	461	622
261	356	279	825	588	85
262	59	206	670	49	225
263	728	669	730	238	946
264	364	423	741	433	67
265	160	564	496	594	916
266	438	54	491	585	481
267	55	435	1	76	212
268	344	442	359	832	241
269	919	275	470	466	135
270	998	850	404	215	727
271	404	555	900	250	572
272	435	957	248	865	930
273	700	274	490	941	154
274	927	983	299	875	77
275	742	674	304	513	856
276	49	238	348	998	131
277	703	273	250	176	207
278	347	997	26	799	116
279	727	149	479	284	438
280	934	816	678	160	515
281	682	81	229	563	708
282	695	769	10	347	47
283	431	839	5	63	214
284	201	458	763	213	482
285	587	845	24	934	82
286	70	448	254	390	437
287	653	443	286	191	955
288	471	683	658	376	211
289	881	549	829	31	518
290	218	420	109	800	203
291	314	566	185	47	358
292	603	880	557	362	359
293	180	409	539	361	161
294	284	798	364	360	755
295	924	599	178	907	598
296	768	340	403	405	610
297	168	951	519	235	445
298	73	550	285	709	87
299	295	211	134	867	236
300	907	709	602	72	523
301	465	158	378	471	634
302	885	906	308	949	608
303	74	680	559	426	188
304	535	422	970	424	133
305	279	100	90	148	869
306	591	384	924	153	182
307	113	380	505	154	4
308	147	624	382	253	924
309	739	240	513	401	556
310	828	243	896	393	897
311	650	685	898	384	577
312	810	928	974	222	148
313	645	205	884	237	582
314	772	248	650	316	763
315	805	754	639	295	439
316	207	923	418	346	143
317	945	175	758	241	769
318	950	276	662	940	389
319	815	131	188	913	749
320	804	945	444	270	784
321	76	837	691	431	785
322	122	556	944	183	416
323	121	711	762	794	949
324	149	4	365	910	365
325	822	547	953	880	364
326	161	12	793	5	430
327	196	534	431	17	443
328	235	17	797	734	140
329	318	427	805	704	674
330	258	44	216	991	270
331	855	972	434	652	466
332	309	498	525	629	823
333	542	519	518	623	115
334	544	48	936	57	490
335	134	836	277	67	839
336	252	68	457	548	676
337	956	63	929	974	458
338	72	491	409	81	832
339	741	678	474	467	139
340	373	481	473	946	65
341	769	58	292	997	138
342	67	167	935	967	27
343	403	912	937	507	72
344	143	935	507	970	18
345	40	28	399	870	927
346	445	8	889	478	121
347	230	135	552	484	335
348	643	739	148	109	151
349	133	181	347	90	449
350	557	73	177	319	456
351	647	196	187	438	457
352	443	59	374	236	698
353	968	781	198	951	697
354	193	219	690	954	689
355	469	485	213	122	688
356	784	500	217	142	468
357	884	441	672	8	919
358	153	606	865	218	479
359	970	745	111	168	500
360	763	388	230	41	653
361	988	530	983	780	652
362	24	634	97	647	528
363	349	333	242	556	542
364	558	870	880	620	566
365	348	307	882	552	588
366	330	322	94	853	587
367	413	539	601	542	672
368	320	545	957	527	734
369	317	546	252	254	440
370	433	266	891	631	295
371	306	648	587	473	168
372	473	251	586	470	892
373	294	230	585	882	232
374	292	552	70	839	265
375	290	668	430	569	271
376	262	592	302	659	277
377	523	471	11	413	285
378	253	56	968	409	761
379	933	991	162	379	299
380	685	26	478	369	822
381	606	797	791	751	0
382	912	38	172	337	816
383	78	424	180	767	330
384	163	608	768	280	745
385	722	449	722	778	954
386	135	444	233	420	230
387	126	426	881	664	548
388	796	94	885	257	397
389	96	103	256	520	251
390	246	366	73	68	513
391	115	132	580	474	62
392	114	303	814	423	507
393	109	919	545	415	384
394	466	140	534	178	284
395	953	753	274	351	705
396	997	162	498	926	383
397	633	226	488	260	374
398	841	478	439	601	446
399	68	247	326	0	404
400	345	184	25	897	504
401	13	315	23	830	590
402	844	310	7	826	412
403	929	406	494	868	282
404	131	971	500	876	180
405	428	964	998	2	665
406	421	354	567	795	382
407	204	473	558	547	317
408	839	291	653	501	714
409	401	706	551	468	661
410	210	613	675	422	189
411	411	469	657	418	398
412	446	904	532	417	658
413	410	907	622	377	720
414	234	908	616	338	333
415	244	128	502	330	366
416	248	600	104	303	321
417	307	731	298	554	205
418	368	842	124	240	406
419	308	609	747	221	351
420	905	447	933	208	913
421	323	920	130	173	28
422	336	721	629	162	322
423	420	285	927	147	52
424	943	955	237	130	995
425	494	954	816	121	511
426	483	495	224	88	336
427	694	453	219	37	476
428	990	649	926	3	44
429	690	125	212	233	469
430	751	172	906	559	35
431	681	134	154	408	944
432	663	537	331	999	14
433	649	343	638	670	376
434	975	729	592	657	43
435	22	374	186	741	455
436	776	139	530	655	19
437	119	227	448	567	60
438	967	652	487	759	976
439	29	474	351	760	973
440	787	301	446	643	413
441	117	577	47	681	939
442	116	242	48	766	424
443	335	439	408	641	1
444	581	558	810	639	615
445	516	544	493	711	818
446	803	78	371	593	96
447	992	18	686	612	601
448	324	349	515	916	113
449	94	646	66	181	855
450	17	370	392	549	233
451	57	938	9	983	117
452	187	21	990	460	569
453	11	610	649	525	807
454	108	353	89	789	659
455	32	389	136	180	882
456	20	210	65	282	532
457	708	522	122	9	126
458	0	975	654	758	780
459	540	425	950	535	74
460	576	90	742	310	700
461	601	976	15	16	200
462	439	900	31	232	631
463	613	91	631	451	680
464	886	516	195	328	657
465	614	231	821	855	119
466	850	5	469	648	686
467	654	814	467	889	112
468	409	465	522	523	980
469	383	332	833	27	762
470	683	198	451	603	970
471	774	3	841	617	974
472	779	350	424	110	805
473	659	416	420	315	259
474	8	286	357	104	50
475	549	241	862	163	249
476	546	298	605	65	484
477	7	875	689	36	483
478	615	614	779	871	933
479	103	293	209	226	875
480	486	97	290	553	881
481	488	107	218	881	870
482	361	784	892	511	583
483	369	915	613	442	613
484	247	262	608	425	520
485	228	580	211	216	252
486	502	115	215	924	292
487	430	217	246	382	272
488	416	929	133	285	124
489	142	639	38	272	144
490	138	656	313	246	702
491	442	87	390	929	279
492	461	630	934	306	418
493	474	418	72	327	935
494	182	464	84	311	307
495	845	467	194	802	238
496	856	761	319	304	849
497	374	543	729	776	226
498	691	664	976	834	417
499	879	757	335	534	907
500	84	92	486	512	110
501	89	93	876	514	462
502	93	779	872	450	998
503	387	101	637	174	529
504	98	859	472	231	554
505	105	854	849	621	593
506	118	113	871	157	596
507	128	120	119	146	597
508	145	911	462	606	531
509	146	153	291	604	521
510	150	159	868	640	512
511	152	922	127	159	501
512	164	937	911	194	499
513	170	212	269	202	497
514	179	459	913	209	604
515	104	264	920	918	591
516	393	622	699	214	607
517	322	631	14	581	472
518	543	647	982	342	496
519	503	318	270	343	155
520	515	660	687	317	580
521	517	996	981	26	313
522	521	677	720	333	318
523	524	297	22	336	399
524	527	692	680	227	227
525	529	538	27	403	345
526	405	526	918	394	900
527	550	295	600	275	662
528	493	364	964	50	553
529	554	521	942	410	953
530	573	410	535	125	153
531	987	774	941	266	904
532	593	411	609	539	887
533	596	504	221	947	565
534	597	223	281	887	231
535	604	749	786	989	573
536	611	499	921	939	950
537	612	496	205	891	920
538	617	494	958	892	578
539	569	737	864	955	210
540	492	764	32	968	682
541	999	802	115	555	564
542	429	591	314	995	102
543	480	16	39	199	301
544	408	886	125	312	423
545	462	377	235	129	754
546	419	486	504	370	808
547	425	77	275	127	814
548	351	36	484	864	992
549	77	573	394	101	740
550	749	487	266	482	628
551	52	568	652	544	391
552	50	501	238	83	802
553	39	503	464	229	51
554	260	57	952	54	53
555	30	897	279	48	757
556	460	772	931	40	629
557	120	602	666	571	447
558	136	358	305	667	350
559	286	771	231	677	92
560	437	222	737	685	799
561	86	794	294	782	947
562	487	795	123	817	797
563	372	203	919	248	975
564	570	455	963	22	860
565	566	201	796	858	494
566	144	742	947	141	603
567	396	741	774	300	621
568	556	363	120	992	147
569	476	695	904	187	774
570	166	160	858	196	586
571	899	841	843	859	489
572	171	758	627	985	803
573	826	329	701	988	502
574	713	330	112	34	368
575	679	102	984	106	510
576	477	488	352	58	940
577	744	672	811	12	859
578	48	460	665	840	898
579	971	220	895	259	584
580	221	982	803	838	912
581	434	372	271	822	547
582	913	489	485	323	534
583	798	99	309	703	16
584	568	720	8	463	989
585	130	378	743	204	988
586	537	228	870	561	829
587	577	898	582	560	533
588	111	334	626	566	972
589	662	327	223	562	997
590	358	736	349	262	723
591	310	379	442	445	878
592	642	20	624	302	79
593	175	259	102	165	463
594	578	371	489	193	555
595	250	992	251	557	557
596	452	381	994	475	349
597	202	585	197	38	394
598	624	885	452	814	415
599	533	14	850	258	650
600	43	147	293	15	636
601	329	312	296	98	228
602	922	127	300	335	234
603	921	106	312	223	239
604	917	23	318	380	255
605	962	35	321	407	267
606	978	37	190	385	276
607	352	43	322	386	278
608	341	46	184	387	221
609	552	51	166	412	283
610	594	60	19	357	300
611	545	64	21	355	639
612	979	69	28	427	308
613	809	71	35	429	328
614	799	80	37	396	329
615	972	83	51	256	334
616	887	84	61	286	338
617	813	88	64	509	288
618	818	89	77	700	353
619	830	118	95	453	208
620	833	321	113	152	179
621	939	999	131	395	15
622	930	400	132	894	22
623	928	429	145	583	25
624	836	472	146	673	46
625	925	490	159	902	61
626	923	407	165	137	64
627	847	391	169	861	88
628	851	450	332	143	190
629	868	385	993	112	95
630	961	507	412	345	101
631	938	508	395	920	105
632	15	355	391	411	127
633	781	341	387	531	159
634	510	454	386	952	164
635	499	42	419	964	171
636	395	189	334	43	174
637	360	403	421	972	98
638	338	398	422	452	357
639	287	11	450	20	641
640	283	336	407	978	370
641	265	419	459	984	493
642	261	619	369	986	550
643	245	95	355	908	559
644	101	860	353	937	571
645	75	75	86	863	459
646	46	470	161	14	454
647	23	895	857	269	452
648	19	595	160	725	427
649	532	581	597	836	574
650	583	45	158	305	419
651	436	966	506	990	411
652	780	567	150	352	524
653	748	510	454	705	517
654	619	889	595	267	408
655	710	650	883	775	407
656	657	535	476	786	624
657	667	806	141	790	626
658	333	395	460	625	405
659	551	225	568	372	400
660	539	239	971	737	396
661	906	512	581	219	387
662	297	202	718	344	386
663	704	817	385	692	635
664	817	200	350	831	616
665	618	823	696	829	54
666	957	825	360	455	558
667	123	819	377	341	594
668	715	655	380	373	206
669	99	702	495	820	242
670	745	834	265	212	73
671	966	289	790	823	812
672	54	767	792	508	377
673	194	833	660	980	303
674	172	282	268	701	670
675	321	746	398	735	981
676	878	830	244	959	611
677	627	204	220	297	503
678	548	477	615	671	600
679	640	76	50	835	703
680	506	879	966	923	93
681	340	484	533	848	836
682	985	679	71	532	197
683	794	799	262	856	710
684	599	373	406	172	886
685	974	932	514	878	561
686	982	710	157	545	748
687	941	902	869	911	889
688	520	658	986	765	834
689	871	197	397	265	100
690	376	137	441	718	297
691	711	405	356	965	706
692	485	326	764	762	969
693	206	848	879	268	979
694	651	574	828	938	691
695	747	27	800	421	984
696	296	169	668	950	165
697	666	847	167	91	280
698	629	578	610	879	294
699	359	187	40	274	302
700	45	2	6	35	6
701	51	156	199	46	37
702	61	164	208	53	57
703	69	170	222	61	86
704	92	174	225	64	99
705	106	177	228	66	120
706	107	192	261	69	158
707	184	208	264	75	312
708	190	209	276	80	324
709	192	234	283	92	343
710	205	245	288	95	369
711	220	261	289	102	393
712	232	278	492	156	461
713	239	281	501	158	477
714	267	288	503	164	617
715	281	296	516	170	655
716	288	308	524	179	663
717	289	531	527	192	667
718	300	554	529	197	677
719	305	559	531	239	684
720	353	570	543	255	693
721	357	571	573	296	696
722	370	572	576	324	699
723	386	576	591	332	707
724	427	584	598	334	716
725	472	596	607	454	718
726	512	597	618	462	724
727	584	607	619	480	726
728	621	611	625	492	728
729	636	625	635	493	731
730	637	626	648	510	732
731	638	627	655	517	733
732	641	635	659	521	735
733	646	636	667	529	750
734	648	642	671	541	752
735	660	663	673	570	756
736	661	673	677	572	760
737	665	687	679	576	764
738	670	696	684	595	770
739	671	699	693	596	773
740	673	701	697	600	775
741	684	703	706	611	781
742	687	714	714	616	790
743	696	715	715	619	796
744	701	716	721	635	800
745	716	724	725	636	809
746	719	725	731	663	810
747	721	727	733	666	811
748	724	738	735	682	813
749	725	743	752	684	815
750	726	770	754	693	820
751	731	777	756	702	824
752	732	780	771	710	825
753	735	783	773	714	826
754	740	789	781	719	827
755	743	803	788	724	831
756	752	804	789	726	837
757	754	807	806	732	842
758	755	809	813	738	843
759	756	812	817	747	847
760	759	815	820	750	851
761	760	818	824	752	854
762	764	820	826	770	857
763	770	827	827	792	862
764	773	831	830	806	866
765	777	843	831	809	868
766	783	844	835	810	876
767	790	849	837	815	888
768	806	851	840	818	890
769	811	852	842	819	893
770	812	857	844	824	894
771	832	863	846	847	901
772	834	864	851	860	903
773	835	869	852	872	908
774	840	873	859	874	909
775	842	877	860	877	911
776	843	878	863	883	917
777	849	883	866	888	921
778	852	884	874	890	922
779	854	888	877	893	923
780	861	890	887	903	931
781	863	899	888	905	932
782	866	901	890	909	938
783	872	903	893	914	942
784	873	905	899	917	948
785	877	914	901	921	952
786	895	917	902	928	958
787	896	918	903	942	960
788	901	925	905	943	962
789	902	943	909	948	963
790	908	948	922	957	964
791	914	952	925	958	965
792	931	959	930	960	971
793	942	961	932	961	977
794	944	978	948	962	978
795	955	981	956	966	985
796	958	985	962	973	986
797	960	987	973	977	987
798	963	990	979	981	993
799	977	993	988	993	994
