	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	928	880	968	655	150
101	662	162	782	20	791
102	471	10	320	773	484
103	417	766	539	579	309
104	346	465	766	348	608
105	469	900	645	946	197
106	120	669	238	768	575
107	333	12	585	633	358
108	634	82	250	832	467
109	796	356	348	254	370
110	539	247	850	307	252
111	522	56	785	53	498
112	195	473	434	669	163
113	565	314	162	951	214
114	546	646	833	728	855
115	433	275	26	344	903
116	625	273	346	491	203
117	571	940	298	282	39
118	149	260	200	857	54
119	182	722	659	224	378
120	884	6	957	41	318
121	17	471	967	938	266
122	727	761	594	465	831
123	581	163	798	50	456
124	18	896	129	17	844
125	274	415	930	362	580
126	411	442	904	551	542
127	848	354	601	153	129
128	666	643	274	87	63
129	936	430	145	941	51
130	152	55	631	743	68
131	684	410	912	135	573
132	362	755	167	763	896
133	344	563	365	527	367
134	728	556	502	642	62
135	586	954	791	227	78
136	160	639	897	415	646
137	314	298	0	539	315
138	941	331	879	566	359
139	632	976	426	488	871
140	676	384	500	446	393
141	136	997	97	257	475
142	913	149	217	468	749
143	638	207	435	26	694
144	609	424	173	686	278
145	390	124	769	189	954
146	516	449	949	333	577
147	933	615	441	761	201
148	578	865	562	302	477
149	808	729	545	47	317
150	447	49	309	869	125
151	416	870	195	535	73
152	907	183	795	590	927
153	67	213	623	796	36
154	42	926	9	940	233
155	414	277	700	778	418
156	391	426	605	442	586
157	751	561	428	875	67
158	259	70	929	992	356
159	193	155	870	672	602
160	821	7	506	495	546
161	734	487	574	748	445
162	249	515	270	310	807
163	643	478	926	138	209
164	168	610	55	393	892
165	446	530	947	447	424
166	9	362	898	406	99
167	690	34	889	808	566
168	218	771	324	806	280
169	807	388	652	154	374
170	303	944	507	168	465
171	78	211	12	203	548
172	256	878	865	545	461
173	706	140	343	457	166
174	206	440	286	998	423
175	798	949	144	248	458
176	984	590	109	788	528
177	545	793	690	807	330
178	468	185	374	586	388
179	822	448	432	736	850
180	147	593	285	879	331
181	756	697	237	232	670
182	254	340	979	907	469
183	654	31	351	538	874
184	241	650	853	253	759
185	420	433	797	445	900
186	614	769	313	167	736
187	633	694	625	776	801
188	939	258	551	108	946
189	151	552	709	484	867
190	365	266	534	805	346
191	301	664	276	664	206
192	873	16	936	149	124
193	201	289	989	40	410
194	217	468	417	588	273
195	444	434	643	250	496
196	648	550	21	834	630
197	161	325	637	643	525
198	988	588	974	75	229
199	299	941	633	45	464
200	705	295	304	881	167
201	934	42	325	601	557
202	569	58	491	186	569
203	221	656	268	975	363
204	52	366	292	514	414
205	293	678	883	989	151
206	450	125	934	689	213
207	587	238	582	335	271
208	603	4	802	384	483
209	271	106	160	461	676
210	131	286	588	238	295
211	805	367	354	56	379
212	499	349	469	526	47
213	284	837	933	507	375
214	96	187	988	317	556
215	523	438	197	878	85
216	544	537	83	910	335
217	485	951	969	525	182
218	336	18	327	142	339
219	115	196	983	94	644
220	404	897	151	544	584
221	94	304	451	674	277
222	77	263	10	785	656
223	379	704	138	54	41
224	76	496	578	787	533
225	29	114	658	260	454
226	555	994	314	271	842
227	318	511	533	370	589
228	39	992	371	441	853
229	474	672	216	506	31
230	251	145	629	371	323
231	620	248	603	629	482
232	431	522	328	354	0
233	374	73	213	111	505
234	317	251	402	58	343
235	916	624	869	336	955
236	753	383	342	537	194
237	323	379	867	213	438
238	762	437	277	346	198
239	114	558	420	831	856
240	163	306	449	343	290
241	235	864	392	345	389
242	744	63	763	700	515
243	189	414	560	132	784
244	309	580	117	722	491
245	73	720	401	652	135
246	711	784	266	520	753
247	473	350	558	630	200
248	361	193	256	555	882
249	930	500	439	379	457
250	980	845	111	410	940
251	103	955	33	713	131
252	135	736	198	169	598
253	850	339	367	206	236
254	503	484	778	256	235
255	30	867	31	390	647
256	109	301	415	314	479
257	196	605	729	245	991
258	258	539	765	291	785
259	358	259	518	618	392
260	354	333	115	698	560
261	306	991	7	178	870
262	694	584	24	426	161
263	495	26	416	361	819
264	55	409	505	172	603
265	924	757	233	955	446
266	605	33	359	639	281
267	513	862	916	793	133
268	230	787	620	822	139
269	556	458	262	413	988
270	198	348	122	471	345
271	659	382	464	160	263
272	262	135	52	620	249
273	399	416	194	954	751
274	505	103	841	420	613
275	483	172	67	30	561
276	172	60	214	482	382
277	575	54	134	599	755
278	801	844	193	403	96
279	440	726	181	12	301
280	629	39	70	301	384
281	476	420	906	549	504
282	664	173	347	376	246
283	0	906	495	765	805
284	330	935	784	275	530
285	83	562	108	730	415
286	248	507	882	853	349
287	548	482	669	337	77
288	919	912	1	125	668
289	601	546	17	548	822
290	162	807	403	556	840
291	138	374	362	63	841
292	997	38	339	504	238
293	359	310	148	880	440
294	448	68	116	563	316
295	766	285	172	97	739
296	121	30	399	235	717
297	59	518	880	195	700
298	383	686	252	414	225
299	749	495	575	409	989
300	341	875	231	924	451
301	252	479	272	913	642
302	855	464	424	690	686
303	506	107	951	814	361
304	222	37	14	603	862
305	49	451	290	623	247
306	927	93	995	855	11
307	899	996	504	327	175
308	123	167	608	864	397
309	745	5	186	481	634
310	321	560	501	926	404
311	618	217	488	856	924
312	347	130	130	753	16
313	729	555	707	780	501
314	155	508	404	34	302
315	885	627	919	762	913
316	171	76	100	140	489
317	691	706	3	448	605
318	70	676	169	328	780
319	653	574	394	421	14
320	253	549	513	625	657
321	166	330	381	266	995
322	512	8	557	496	436
323	458	486	950	656	582
324	11	347	474	438	536
325	438	745	503	187	881
326	275	668	821	157	919
327	92	381	496	632	176
328	865	631	222	766	439
329	452	418	13	991	972
330	68	983	895	65	601
331	439	90	137	552	140
332	65	488	377	859	215
333	34	625	855	295	430
334	173	365	356	207	147
335	549	798	805	194	808
336	722	443	941	828	406
337	40	481	801	76	447
338	85	933	490	90	691
339	62	630	4	320	523
340	761	100	96	685	847
341	552	447	730	431	20
342	787	406	422	870	507
343	435	182	467	678	977
344	191	582	319	0	511
345	537	441	697	402	549
346	536	850	686	500	588
347	703	915	215	49	524
348	442	291	935	440	181
349	533	709	50	401	416
350	683	36	364	221	930
351	776	274	622	33	157
352	970	411	406	705	947
353	137	585	248	418	907
354	678	435	44	162	59
355	747	81	569	882	655
356	430	210	293	388	585
357	717	230	675	399	321
358	992	422	187	319	371
359	247	581	177	949	606
360	32	376	133	574	211
361	748	677	176	185	102
362	140	315	230	237	433
363	348	553	970	323	417
364	525	841	161	137	285
365	434	475	409	865	816
366	466	528	66	553	745
367	912	9	299	425	669
368	502	377	713	653	82
369	133	566	125	109	432
370	216	505	235	560	885
371	481	302	444	351	578
372	700	307	382	129	519
373	295	344	171	306	500
374	768	923	155	293	299
375	697	3	11	511	210
376	376	634	390	42	109
377	784	885	525	394	875
378	310	361	457	871	839
379	881	739	77	342	590
380	320	874	41	751	72
381	845	759	72	729	698
382	154	243	590	36	886
383	47	919	786	31	797
384	375	892	73	474	251
385	72	519	630	8	476
386	853	491	587	67	970
387	273	577	271	967	468
388	122	608	331	3	672
389	713	485	672	433	804
390	210	683	728	575	845
391	465	78	800	236	689
392	108	534	178	561	121
393	441	705	418	677	65
394	331	578	768	191	230
395	349	821	251	163	894
396	797	685	185	139	284
397	7	195	664	218	697
398	116	797	81	467	226
399	906	651	29	473	992
400	396	497	774	460	52
401	777	327	881	80	829
402	456	469	492	709	974
403	740	87	741	382	365
404	942	128	635	948	802
405	640	329	597	192	969
406	832	547	651	22	92
407	93	889	871	214	110
408	685	886	793	463	680
409	692	753	232	98	938
410	945	326	816	984	659
411	613	512	107	704	411
412	403	968	814	216	740
413	175	293	486	800	513
414	372	14	123	547	4
415	542	819	577	513	283
416	582	869	655	196	481
417	265	516	165	452	510
418	617	363	350	130	122
419	615	242	180	867	846
420	856	719	670	892	265
421	494	506	953	57	786
422	719	189	478	156	563
423	668	642	580	233	28
424	752	423	598	594	86
425	22	143	862	14	534
426	350	120	810	324	615
427	759	695	720	83	763
428	356	200	913	422	898
429	107	503	678	534	835
430	260	786	900	101	553
431	139	371	407	134	803
432	298	131	646	923	80
433	145	181	762	66	767
434	279	628	221	480	834
435	48	490	628	592	706
436	50	241	431	775	897
437	324	674	254	478	597
438	642	589	704	501	565
439	56	899	775	377	57
440	4	884	530	846	518
441	389	206	666	315	628
442	228	702	71	121	935
443	342	467	22	829	702
444	591	142	452	148	772
445	568	264	523	81	708
446	250	226	712	179	994
447	488	126	722	562	413
448	562	44	665	659	143
449	510	29	856	838	916
450	492	648	996	470	728
451	286	233	657	953	212
452	528	401	567	741	949
453	487	439	976	16	18
454	486	652	552	647	614
455	153	134	796	363	60
456	712	204	885	950	328
457	86	318	653	581	653
458	624	83	764	286	311
459	8	540	287	258	621
460	111	321	965	82	705
461	763	228	570	617	27
462	954	373	654	372	555
463	566	474	516	246	377
464	413	708	40	816	369
465	665	20	36	312	30
466	968	533	498	72	796
467	883	514	5	193	452
468	297	602	188	909	953
469	915	136	106	417	466
470	497	359	38	707	422
471	657	501	484	947	997
472	567	898	442	183	138
473	794	444	131	557	307
474	244	97	547	916	383
475	646	222	446	180	757
476	709	544	691	226	259
477	269	161	375	970	889
478	597	137	34	241	652
479	967	256	25	284	79
480	100	262	389	347	939
481	445	319	102	794	744
482	704	94	47	71	761
483	741	236	868	38	769
484	246	115	776	688	337
485	409	139	667	683	965
486	232	832	519	523	502
487	996	279	104	451	688
488	180	802	246	5	327
489	328	879	668	423	40
490	651	614	349	176	188
491	272	644	430	285	180
492	645	77	211	330	292
493	953	403	8	78	869
494	983	717	489	122	463
495	969	198	858	259	631
496	20	160	90	424	279
497	778	21	891	229	272
498	774	62	473	13	443
499	292	85	337	585	832
500	594	499	948	29	333
501	985	812	592	848	116
502	91	842	925	223	623
503	541	407	228	826	815
504	24	358	288	684	980
505	877	591	857	702	594
506	15	723	568	862	593
507	373	88	166	475	857
508	847	400	387	102	350
509	421	192	859	303	571
510	957	660	648	983	224
511	800	957	825	269	93
512	839	343	425	720	104
513	192	873	355	171	234
514	579	554	835	760	756
515	895	799	179	874	774
516	329	922	755	759	685
517	554	794	559	959	810
518	764	848	494	721	387
519	387	313	909	758	512
520	721	978	385	799	674
521	532	645	591	902	242
522	815	716	470	397	775
523	732	925	509	835	851
524	621	199	265	635	922
525	837	543	201	887	942
526	780	571	275	105	814
527	943	959	902	666	684
528	478	223	671	570	727
529	480	203	460	795	326
530	593	498	154	147	113
531	771	703	756	204	622
532	113	721	615	165	394
533	701	28	360	240	61
534	164	521	487	847	948
535	929	95	223	810	53
536	813	101	86	316	1
537	971	737	600	268	909
538	647	389	662	407	159
539	804	698	397	499	37
540	922	75	718	199	823
541	75	535	479	141	547
542	104	711	706	181	558
543	923	158	771	894	944
544	841	470	37	711	91
545	345	567	602	621	153
546	925	599	695	37	976
547	117	312	884	27	812
548	261	945	291	146	303
549	667	780	899	170	313
550	335	851	240	411	364
551	45	227	927	104	324
552	239	336	892	718	748
553	351	633	874	640	912
554	176	727	27	297	189
555	268	57	48	126	21
556	53	756	456	158	521
557	130	436	660	512	115
558	538	234	312	660	617
559	851	782	229	202	154
560	170	177	638	786	241
561	307	240	363	997	624
562	369	779	212	152	703
563	828	425	573	392	240
564	950	538	579	369	373
565	521	742	984	738	760
566	204	27	699	839	979
567	695	153	124	767	732
568	670	80	613	61	554
569	461	839	536	614	268
570	812	597	199	103	734
571	785	559	321	703	490
572	143	568	618	231	165
573	938	979	829	554	50
574	234	895	758	528	665
575	364	948	846	897	574
576	291	102	120	110	228
577	207	17	264	222	168
578	886	741	788	567	258
579	134	225	747	657	120
580	561	147	581	280	336
581	944	758	448	443	910
582	443	907	65	995	629
583	520	320	621	747	707
584	311	489	924	648	100
585	61	364	689	173	933
586	144	59	218	945	503
587	101	303	302	9	207
588	979	186	247	802	117
589	557	292	318	508	376
590	13	622	586	723	44
591	215	740	485	858	762
592	436	592	317	272	183
593	769	92	739	466	437
594	739	847	779	304	196
595	708	749	94	274	449
596	290	175	146	215	950
597	464	372	476	542	402
598	142	816	85	631	838
599	879	655	624	536	148
600	987	334	89	986	715
601	682	600	922	877	529
602	755	159	113	820	754
603	660	576	863	429	531
604	754	35	459	208	427
605	760	453	152	385	824
606	681	746	721	890	74
607	783	635	616	920	733
608	573	738	701	972	532
609	975	701	639	396	88
610	854	820	454	255	208
611	99	966	888	937	911
612	288	396	378	641	239
613	126	170	529	830	917
614	576	827	677	88	600
615	608	938	746	296	405
616	408	459	649	863	716
617	150	825	141	772	604
618	878	156	132	159	667
619	410	834	887	95	943
620	368	993	450	815	993
621	596	504	851	529	332
622	46	905	543	929	398
623	809	863	576	903	675
624	460	675	864	220	255
625	956	355	522	453	572
626	966	460	937	541	932
627	627	395	524	974	98
628	106	714	714	332	227
629	840	353	612	980	960
630	187	928	61	387	297
631	54	164	905	395	587
632	619	904	352	355	681
633	844	24	682	455	24
634	551	398	453	671	887
635	74	322	790	883	391
636	612	937	837	596	105
637	360	297	532	965	596
638	529	113	735	497	329
639	540	939	289	966	15
640	385	883	817	988	859
641	296	288	993	492	825
642	220	99	830	212	366
643	60	609	852	978	494
644	836	332	971	609	46
645	267	859	609	559	800
646	146	619	269	373	550
647	340	857	311	790	399
648	28	679	962	817	799
649	982	815	158	531	267
650	834	239	28	184	813
651	974	208	619	294	282
652	51	282	684	732	978
653	202	531	220	939	820
654	792	429	527	564	866
655	962	455	826	962	723
656	871	903	842	812	699
657	795	201	209	462	164
658	280	573	421	823	752
659	119	231	777	143	288
660	779	814	911	968	499
661	477	261	159	571	144
662	300	296	742	619	428
663	902	150	610	868	790
664	868	184	944	734	171
665	425	795	95	752	312
666	852	220	956	602	962
667	606	985	184	522	95
668	650	477	803	836	407
669	810	212	224	719	97
670	679	777	564	737	718
671	817	772	244	209	837
672	543	46	136	532	155
673	599	929	627	92	904
674	637	804	737	701	764
675	194	852	966	612	662
676	570	606	813	510	325
677	57	699	398	521	677
678	524	494	294	145	923
679	224	764	994	667	294
680	641	902	767	124	984
681	509	980	752	606	998
682	395	803	283	757	985
683	998	197	32	311	158
684	835	817	792	600	101
685	429	570	369	985	221
686	287	91	225	593	599
687	790	378	986	239	119
688	184	283	828	300	270
689	978	767	920	914	559
690	742	510	87	670	848
691	294	11	279	891	22
692	535	280	650	265	591
693	799	920	242	889	368
694	437	202	39	91	920
695	283	545	157	782	520
696	105	774	202	48	231
697	550	169	335	106	828
698	393	71	515	68	720
699	577	613	119	262	497
700	2	2	2	2	6
701	19	23	6	15	19
702	23	43	15	35	25
703	43	45	19	43	35
704	69	48	23	46	43
705	84	51	35	64	64
706	89	64	51	69	87
707	98	69	64	74	112
708	118	84	84	112	126
709	128	89	112	127	127
710	179	118	127	136	132
711	190	127	150	164	174
712	205	132	190	174	179
713	245	146	205	197	190
714	281	174	208	219	205
715	289	205	219	225	219
716	305	209	245	267	232
717	308	219	261	270	276
718	322	245	281	278	289
719	338	276	296	305	300
720	352	278	300	334	308
721	353	281	305	338	322
722	357	308	308	341	334
723	370	341	322	352	338
724	380	370	326	357	351
725	386	380	332	360	353
726	401	385	334	380	357
727	405	391	340	386	386
728	419	405	353	405	396
729	427	419	357	408	400
730	428	427	358	412	408
731	462	445	380	427	412
732	472	450	386	450	419
733	493	454	391	454	455
734	515	472	395	493	459
735	517	526	408	509	462
736	527	564	412	517	472
737	558	572	419	540	493
738	583	595	429	569	517
739	584	596	462	572	551
740	604	607	472	576	564
741	611	611	493	583	583
742	616	626	514	595	607
743	636	636	517	604	610
744	649	638	531	611	611
745	658	647	535	616	612
746	661	649	595	636	616
747	663	658	607	661	626
748	671	663	626	663	635
749	673	673	673	673	636
750	687	680	679	680	639
751	696	687	680	681	641
752	698	692	681	682	650
753	710	696	687	692	658
754	715	710	693	693	661
755	716	715	696	710	663
756	724	724	715	714	682
757	725	725	725	724	693
758	726	731	731	725	696
759	731	743	733	726	710
760	735	754	743	735	714
761	743	770	754	750	724
762	770	781	773	770	726
763	772	783	781	789	731
764	773	789	789	792	735
765	781	806	806	809	750
766	803	809	811	818	770
767	806	818	820	819	773
768	811	823	824	824	781
769	818	830	827	840	792
770	826	831	831	860	809
771	830	833	840	861	811
772	833	836	843	872	818
773	842	843	844	876	826
774	843	849	849	888	827
775	849	854	860	893	836
776	861	860	866	905	843
777	863	877	872	908	849
778	866	888	876	911	854
779	872	890	877	917	860
780	887	901	890	918	868
781	896	908	893	921	876
782	901	911	896	928	878
783	905	914	901	934	888
784	908	917	903	942	890
785	914	918	918	943	893
786	917	932	921	952	901
787	918	934	931	957	908
788	921	943	932	958	921
789	931	952	942	960	931
790	932	961	952	961	952
791	955	964	958	963	958
792	958	971	961	964	963
793	960	972	963	973	964
794	961	975	964	977	971
795	963	981	973	981	973
796	972	982	981	982	975
797	977	987	982	990	981
798	990	990	990	993	986
799	999	999	998	999	987
