	Strategy	Query	Class	Value
0	Random	q0	0	40
1	Random	q0	1	60
2	Random	q1	0	25
3	Random	q1	1	75
4	Random	q2	0	23
5	Random	q2	1	77
6	Random	q3	0	31
7	Random	q3	1	69
8	Random	q4	0	27
9	Random	q4	1	73
10	Random	q5	0	30
11	Random	q5	1	70
12	Random	q6	0	30
13	Random	q6	1	70
14	Random	q7	0	34
15	Random	q7	1	66
16	Uncertainty	q0	0	40
17	Uncertainty	q0	1	60
18	Uncertainty	q1	0	25
19	Uncertainty	q1	1	75
20	Uncertainty	q2	0	57
21	Uncertainty	q2	1	43
22	Uncertainty	q3	0	45
23	Uncertainty	q3	1	55
24	Uncertainty	q4	0	28
25	Uncertainty	q4	1	72
26	Uncertainty	q5	0	23
27	Uncertainty	q5	1	77
28	Uncertainty	q6	0	19
29	Uncertainty	q6	1	81
30	Uncertainty	q7	0	3
31	Uncertainty	q7	1	97
32	QBC	q0	0	40
33	QBC	q0	1	60
34	QBC	q1	0	37
35	QBC	q1	1	63
36	QBC	q2	0	42
37	QBC	q2	1	58
38	QBC	q3	0	47
39	QBC	q3	1	53
40	QBC	q4	0	32
41	QBC	q4	1	68
42	QBC	q5	0	21
43	QBC	q5	1	79
44	QBC	q6	0	21
45	QBC	q6	1	79
46	QBC	q7	0	0
47	QBC	q7	1	100
48	GraphDensity	q0	0	40
49	GraphDensity	q0	1	60
50	GraphDensity	q1	0	34
51	GraphDensity	q1	1	66
52	GraphDensity	q2	0	29
53	GraphDensity	q2	1	71
54	GraphDensity	q3	0	27
55	GraphDensity	q3	1	73
56	GraphDensity	q4	0	27
57	GraphDensity	q4	1	73
58	GraphDensity	q5	0	31
59	GraphDensity	q5	1	69
60	GraphDensity	q6	0	28
61	GraphDensity	q6	1	72
62	GraphDensity	q7	0	24
63	GraphDensity	q7	1	76
64	EER	q0	0	40
65	EER	q0	1	60
66	EER	q1	0	25
67	EER	q1	1	75
68	EER	q2	0	43
69	EER	q2	1	57
70	EER	q3	0	42
71	EER	q3	1	58
72	EER	q4	0	40
73	EER	q4	1	60
74	EER	q5	0	26
75	EER	q5	1	74
76	EER	q6	0	17
77	EER	q6	1	83
78	EER	q7	0	7
79	EER	q7	1	93
80	LAL_iter	q0	0	40
81	LAL_iter	q0	1	60
82	LAL_iter	q1	0	29
83	LAL_iter	q1	1	71
84	LAL_iter	q2	0	40
85	LAL_iter	q2	1	60
86	LAL_iter	q3	0	34
87	LAL_iter	q3	1	66
88	LAL_iter	q4	0	40
89	LAL_iter	q4	1	60
90	LAL_iter	q5	0	36
91	LAL_iter	q5	1	64
92	LAL_iter	q6	0	19
93	LAL_iter	q6	1	81
94	LAL_iter	q7	0	2
95	LAL_iter	q7	1	98
96	LAL_indep	q0	0	40
97	LAL_indep	q0	1	60
98	LAL_indep	q1	0	31
99	LAL_indep	q1	1	69
100	LAL_indep	q2	0	38
101	LAL_indep	q2	1	62
102	LAL_indep	q3	0	44
103	LAL_indep	q3	1	56
104	LAL_indep	q4	0	37
105	LAL_indep	q4	1	63
106	LAL_indep	q5	0	29
107	LAL_indep	q5	1	71
108	LAL_indep	q6	0	16
109	LAL_indep	q6	1	84
110	LAL_indep	q7	0	5
111	LAL_indep	q7	1	95
