	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	571	595	486	496	312
101	300	593	457	495	301
102	692	592	11	324	331
103	695	591	12	484	346
104	221	588	969	330	300
105	700	584	500	481	289
106	218	582	963	478	364
107	681	581	26	471	363
108	703	577	442	338	361
109	256	576	31	465	359
110	651	573	418	463	358
111	606	572	435	344	290
112	281	571	432	455	357
113	613	570	949	452	349
114	614	531	507	451	322
115	605	568	403	348	321
116	616	566	41	588	356
117	617	564	44	265	294
118	604	563	426	592	353
119	603	559	425	594	351
120	620	558	52	722	350
121	273	556	930	721	295
122	627	554	55	192	297
123	653	550	926	719	299
124	271	547	33	718	292
125	636	546	509	193	689
126	637	543	587	713	763
127	290	540	557	723	318
128	640	538	317	711	940
129	291	535	318	195	315
130	642	567	769	704	313
131	292	597	217	703	317
132	645	450	774	394	54
133	260	445	327	700	519
134	647	370	231	690	455
135	293	366	637	686	4
136	649	365	633	709	11
137	268	364	339	191	483
138	704	358	627	189	989
139	306	356	199	728	479
140	706	355	792	772	279
141	160	354	625	164	273
142	532	353	211	768	452
143	335	350	311	767	270
144	153	347	309	762	463
145	152	341	237	170	438
146	774	340	285	759	491
147	776	334	275	758	523
148	150	371	272	171	528
149	779	332	288	748	457
150	338	329	704	179	311
151	147	326	709	741	515
152	783	325	678	181	553
153	764	322	264	184	634
154	146	321	298	732	436
155	340	319	728	186	393
156	790	312	669	729	389
157	341	310	247	684	603
158	796	308	246	775	139
159	797	306	304	214	207
160	798	304	665	674	285
161	140	302	195	625	148
162	800	301	96	623	206
163	801	297	796	621	610
164	808	331	187	620	154
165	349	447	382	618	612
166	811	372	129	616	650
167	785	374	578	614	376
168	329	444	122	629	617
169	761	443	574	612	845
170	166	439	573	250	374
171	565	437	138	254	167
172	215	434	117	255	175
173	210	429	882	601	183
174	711	427	562	257	598
175	206	425	108	258	213
176	205	423	398	259	125
177	308	422	889	248	214
178	558	420	102	240	433
179	719	419	880	632	557
180	722	416	146	633	430
181	198	415	365	218	686
182	555	373	364	672	323
183	554	411	805	219	563
184	314	407	349	670	682
185	191	405	181	220	910
186	734	401	180	667	97
187	740	400	178	666	769
188	182	396	177	664	414
189	745	395	172	221	792
190	542	391	610	222	797
191	541	385	165	655	407
192	540	383	161	227	109
193	752	381	359	648	110
194	754	380	360	233	333
195	538	379	601	236	587
196	756	378	362	237	801
197	168	377	363	238	122
198	130	409	801	215	413
199	999	999	501	0	998
200	59	382	328	38	59
201	56	530	326	431	521
202	54	433	325	41	52
203	945	474	324	42	546
204	912	475	322	504	67
205	52	477	321	491	841
206	96	479	314	998	856
207	50	481	312	426	371
208	49	482	308	49	652
209	32	485	305	509	644
210	30	468	302	442	739
211	29	467	300	482	744
212	24	464	299	56	379
213	18	491	350	511	382
214	464	460	352	29	749
215	251	495	335	480	251
216	121	496	371	26	249
217	536	498	357	63	753
218	537	500	374	514	484
219	539	455	377	65	755
220	544	504	378	474	242
221	545	453	358	947	757
222	410	508	380	67	241
223	549	448	355	16	384
224	551	442	375	520	238
225	552	441	353	421	630
226	403	438	381	446	271
227	399	516	369	50	272
228	569	436	354	304	656
229	577	519	167	542	277
230	578	521	32	226	677
231	374	435	491	345	336
232	594	528	539	792	330
233	359	797	36	346	688
234	413	376	545	805	327
235	629	624	399	806	326
236	533	256	320	342	325
237	528	251	551	360	697
238	468	248	856	203	698
239	474	247	319	199	624
240	477	242	29	363	343
241	446	241	144	603	309
242	481	238	763	817	345
243	483	230	1	187	307
244	485	227	198	204	708
245	441	226	4	185	284
246	438	739	5	235	369
247	435	213	519	453	717
248	433	211	8	682	281
249	431	210	523	286	658
250	509	209	10	285	316
251	430	204	13	284	392
252	516	203	504	314	230
253	520	200	394	275	394
254	523	764	286	336	590
255	414	199	21	317	168
256	351	198	313	320	589
257	348	769	533	323	165
258	345	195	277	333	586
259	241	774	649	260	161
260	235	189	70	256	585
261	222	187	66	656	418
262	778	185	797	272	335
263	207	183	343	907	591
264	204	181	629	183	842
265	792	703	603	178	151
266	195	363	356	129	578
267	805	258	441	403	577
268	187	697	434	879	144
269	144	361	235	880	143
270	139	359	125	125	575
271	845	349	430	552	138
272	134	343	351	555	574
273	133	339	424	122	133
274	856	336	134	551	580
275	122	333	221	549	131
276	246	638	682	548	594
277	248	330	420	109	181
278	249	327	431	106	397
279	744	320	65	406	226
280	344	318	238	121	398
281	658	314	104	822	399
282	336	313	67	401	221
283	333	307	71	560	796
284	323	649	406	371	613
285	320	298	473	376	210
286	318	656	256	590	805
287	317	293	254	167	415
288	117	286	252	165	209
289	678	285	594	586	203
290	298	281	251	134	406
291	286	676	464	382	200
292	284	279	367	574	198
293	275	275	194	148	410
294	272	273	585	388	194
295	262	264	340	563	600
296	728	263	242	139	822
297	258	262	453	138	182
298	682	260	920	575	605
299	0	749	516	457	482
300	322	95	570	470	550
301	360	94	569	507	547
302	324	92	568	392	534
303	357	91	567	379	532
304	328	89	564	380	530
305	321	88	559	335	529
306	356	87	547	334	524
307	331	83	543	332	518
308	346	716	536	328	517
309	373	289	534	513	513
310	353	295	532	517	512
311	352	668	529	316	511
312	350	664	527	521	510
313	330	663	525	312	507
314	311	660	524	311	505
315	347	655	600	310	995
316	310	652	996	522	571
317	368	651	607	306	572
318	305	650	608	305	573
319	364	672	652	303	635
320	303	648	651	302	628
321	307	646	650	301	626
322	369	645	648	300	623
323	309	642	646	297	622
324	362	639	645	296	621
325	372	636	643	337	616
326	370	635	639	341	615
327	442	634	638	462	614
328	742	633	635	508	611
329	72	647	631	347	608
330	566	673	522	510	503
331	488	674	630	370	607
332	252	675	626	372	604
333	575	714	623	512	602
334	67	711	622	357	601
335	65	710	621	369	599
336	342	706	620	354	597
337	61	705	619	373	596
338	70	702	618	352	593
339	259	701	616	377	588
340	557	699	615	351	584
341	473	696	612	355	583
342	709	695	609	536	582
343	988	694	628	540	606
344	460	692	334	68	639
345	461	687	518	506	502
346	763	686	514	13	497
347	440	685	428	544	412
348	969	683	422	473	411
349	985	680	419	34	408
350	39	679	416	545	405
351	34	677	415	488	404
352	749	631	412	501	402
353	717	630	409	535	400
354	448	628	408	12	396
355	837	627	407	562	391
356	924	499	404	963	388
357	697	497	402	47	387
358	115	494	401	500	386
359	194	490	395	33	383
360	401	489	392	557	378
361	193	488	391	643	377
362	393	487	390	949	373
363	638	486	389	678	370
364	676	484	387	393	368
365	131	472	386	870	366
366	114	471	385	162	365
367	865	470	348	173	339
368	648	469	347	856	338
369	138	465	346	720	337
370	853	459	429	362	416
371	365	454	439	361	419
372	149	451	444	343	422
373	154	388	449	327	423
374	155	296	513	319	494
375	173	501	506	241	493
376	189	292	505	315	490
377	247	503	503	307	489
378	202	507	502	677	476
379	612	626	494	881	475
380	434	625	493	397	472
381	85	622	492	399	469
382	230	619	490	76	467
383	92	611	489	82	466
384	421	996	488	940	465
385	919	606	515	441	499
386	420	602	487	438	462
387	597	599	478	433	458
388	615	596	476	425	456
389	916	561	472	461	454
390	100	534	470	104	451
391	913	526	469	418	449
392	601	522	462	415	445
393	907	518	459	909	443
394	906	515	456	414	439
395	103	514	454	413	437
396	354	512	451	902	428
397	217	510	450	653	427
398	228	506	484	916	459
399	879	997	998	523	997
400	94	280	294	405	468
401	93	58	293	539	565
402	91	278	579	409	564
403	89	201	467	396	232
404	86	202	291	564	501
405	84	205	225	274	561
406	78	206	495	278	559
407	641	207	577	280	525
408	301	208	576	282	531
409	375	212	575	291	556
410	561	217	581	293	555
411	556	219	582	294	447
412	550	220	588	295	308
413	546	222	590	384	367
414	543	225	531	541	302
415	529	228	591	385	234
416	527	231	592	386	663
417	525	233	595	556	236
418	524	223	530	559	239
419	522	261	517	492	240
420	515	266	498	395	246
421	513	234	496	553	662
422	512	259	485	554	661
423	510	245	290	390	252
424	506	243	292	387	303
425	505	276	613	547	255
426	503	240	660	497	259
427	502	274	662	991	659
428	499	239	664	5	657
429	567	236	261	566	554
430	497	277	250	561	280
431	568	8	248	989	265
432	573	5	666	642	288
433	632	49	245	40	655
434	625	33	244	43	653
435	621	4	667	640	282
436	619	56	233	950	267
437	618	51	232	35	268
438	611	34	230	962	278
439	609	36	229	54	283
440	608	11	668	968	276
441	599	12	659	954	30
442	596	42	266	14	62
443	593	39	580	659	63
444	591	940	276	631	1
445	997	949	289	30	558
446	584	16	269	528	947
447	583	18	270	985	51
448	582	26	657	531	24
449	581	21	287	606	50
450	579	24	655	583	47
451	576	10	654	636	68
452	570	29	274	600	703
453	358	574	268	796	16
454	494	62	653	94	566
455	492	398	279	858	629
456	425	403	283	402	18
457	419	406	281	853	560
458	417	414	73	757	41
459	416	418	624	846	96
460	411	424	38	194	551
461	409	426	598	836	432
462	408	430	39	197	117
463	405	473	979	206	417
464	404	537	968	765	121
465	396	613	586	209	886
466	395	539	658	213	129
467	391	544	228	819	266
468	390	545	560	271	115
469	387	549	222	253	180
470	386	552	240	270	189
471	385	553	816	266	258
472	383	560	202	793	814
473	380	562	262	794	247
474	379	389	855	168	211
475	427	362	200	862	235
476	493	348	265	743	227
477	428	167	185	157	263
478	437	63	865	669	446
479	487	912	271	467	104
480	486	68	867	920	900
481	480	906	173	454	933
482	478	71	162	914	549
483	476	73	881	913	548
484	472	76	883	108	542
485	471	78	337	110	536
486	469	82	342	111	533
487	465	59	133	91	520
488	462	85	460	689	920
489	458	889	479	888	504
490	456	103	107	141	500
491	452	879	106	882	498
492	450	107	100	423	496
493	447	125	97	422	481
494	445	134	535	420	477
495	444	139	552	726	907
496	443	845	558	417	464
497	439	578	933	736	461
498	429	90	729	698	73
499	998	590	209	688	665
500	83	555	48	64	91
501	98	968	61	101	88
502	99	585	64	98	87
503	101	589	72	95	86
504	105	966	81	92	80
505	108	605	83	88	79
506	109	607	84	87	93
507	53	964	86	105	78
508	250	609	87	83	74
509	190	961	89	80	72
510	633	614	90	78	65
511	650	959	94	75	64
512	654	957	95	74	61
513	657	955	37	72	60
514	659	658	208	69	77
515	660	669	186	81	201
516	661	698	213	225	174
517	662	704	707	207	208
518	663	952	706	231	710
519	664	384	701	593	707
520	666	153	700	581	706
521	646	367	699	579	705
522	668	315	697	576	702
523	671	156	712	572	700
524	673	158	696	571	714
525	679	159	693	595	699
526	683	980	691	570	694
527	684	161	690	538	693
528	685	162	212	534	691
529	687	163	689	229	205
530	690	164	687	532	684
531	691	979	695	529	681
532	694	170	686	527	696
533	670	172	713	567	680
534	634	344	715	526	715
535	996	174	746	596	718
536	296	978	743	602	745
537	299	177	742	663	740
538	289	303	741	661	736
539	288	288	737	660	735
540	389	283	735	657	734
541	287	282	714	652	733
542	283	175	733	647	716
543	294	196	730	599	732
544	280	197	725	641	728
545	295	192	722	635	727
546	269	186	721	619	726
547	267	976	720	617	724
548	261	193	718	611	723
549	265	922	731	609	720
550	274	933	684	604	731
551	224	951	995	639	675
552	62	954	681	525	685
553	954	975	332	999	375
554	4	972	331	493	328
555	8	755	296	408	334
556	55	919	224	427	674
557	665	608	452	499	324
558	11	600	223	407	231
559	47	580	220	429	229
560	667	440	219	440	228
561	13	291	597	269	225
562	196	184	602	443	636
563	40	182	397	445	641
564	279	173	218	412	329
565	822	610	605	447	642
566	51	169	670	268	647
567	850	155	671	267	224
568	151	143	672	450	219
569	161	131	673	246	667
570	436	114	675	245	668
571	886	93	677	239	669
572	466	54	679	466	670
573	495	30	680	232	215
574	517	3	215	411	212
575	521	160	214	36	672
576	535	615	216	262	646
577	902	643	417	630	332
578	548	644	989	172	21
579	562	900	739	8	233
580	123	895	24	410	14
581	771	885	50	180	976
582	586	870	778	71	676
583	73	842	116	66	889
584	118	839	115	475	919
585	587	836	900	468	102
586	624	832	148	910	932
587	253	825	85	460	85
588	162	817	947	537	82
589	107	806	77	97	804
590	106	794	154	424	40
591	643	757	474	448	954
592	104	742	51	569	569
593	376	736	123	90	440
594	361	729	448	814	424
595	77	726	47	585	963
596	76	708	446	889	155
597	297	678	421	154	44
598	116	920	34	945	631
599	254	994	111	103	0
600	806	100	829	808	126
601	135	101	137	137	127
602	136	113	141	140	132
603	137	118	145	142	135
604	142	120	150	143	140
605	143	124	151	145	147
606	145	126	152	147	150
607	163	127	155	149	119
608	164	128	157	152	153
609	170	130	158	153	158
610	128	780	136	136	159
611	171	136	159	156	163
612	175	137	166	159	164
613	176	140	171	160	166
614	179	145	176	163	171
615	184	81	179	174	176
616	192	80	184	176	828
617	201	75	188	196	188
618	216	69	190	202	157
619	220	6	193	208	113
620	232	7	197	212	112
621	172	9	160	158	105
622	126	17	132	135	15
623	120	20	131	132	19
624	119	27	130	130	20
625	7	28	2	3	22
626	9	31	3	9	25
627	15	147	6	15	27
628	17	35	7	17	28
629	19	43	9	20	31
630	20	44	14	22	35
631	22	45	15	27	36
632	23	46	17	31	37
633	28	55	19	37	39
634	42	57	22	45	43
635	43	60	23	46	46
636	45	64	25	48	53
637	46	37	27	53	57
638	48	149	28	57	95
639	57	132	35	58	98
640	60	993	112	61	99
641	69	723	113	102	100
642	74	724	119	112	101
643	75	725	120	124	190
644	111	727	124	126	196
645	113	758	127	127	179
646	234	756	830	216	748
647	990	731	201	995	791
648	239	150	994	223	799
649	245	737	747	671	800
650	753	754	205	753	802
651	755	738	790	760	803
652	759	740	791	761	808
653	760	741	795	763	809
654	762	743	798	766	810
655	766	745	800	770	811
656	768	759	802	773	197
657	769	746	803	776	812
658	770	761	810	778	815
659	772	766	788	780	816
660	773	449	811	752	818
661	777	777	814	782	819
662	780	458	817	786	820
663	781	772	820	787	823
664	784	771	821	788	824
665	787	722	824	789	825
666	794	709	825	790	826
667	795	770	826	795	813
668	799	717	827	799	786
669	803	767	828	800	790
670	804	720	813	802	994
671	751	721	786	807	754
672	244	715	789	785	760
673	748	23	784	224	761
674	743	38	752	751	762
675	696	14	754	747	764
676	698	793	755	673	785
677	701	935	756	680	767
678	705	783	758	681	770
679	708	753	762	683	759
680	710	410	764	685	752
681	712	70	765	692	750
682	713	146	766	693	772
683	715	142	767	701	773
684	716	478	785	702	774
685	747	505	768	750	775
686	721	135	771	705	780
687	725	511	773	710	781
688	726	533	775	714	784
689	727	48	776	724	751
690	729	719	777	725	756
691	731	115	779	730	912
692	732	106	781	734	116
693	735	102	782	735	839
694	739	97	40	737	935
695	741	905	169	738	92
696	724	907	109	707	969
697	992	77	793	997	807
698	180	886	806	169	985
699	68	911	906	146	881
700	2	2	0	2	6
701	807	84	831	809	120
702	809	99	833	810	124
703	810	779	835	812	827
704	812	781	837	815	829
705	813	782	840	816	831
706	815	784	841	818	832
707	817	786	842	820	834
708	818	787	843	823	835
709	821	789	844	824	836
710	826	795	846	826	837
711	828	798	849	828	838
712	830	799	850	829	840
713	832	802	851	830	843
714	833	803	852	831	844
715	834	804	853	832	846
716	835	807	857	834	847
717	836	809	858	835	848
718	839	812	859	838	849
719	840	814	860	839	850
720	841	815	862	840	851
721	842	816	863	847	853
722	843	818	864	848	854
723	844	819	866	855	855
724	847	820	868	857	857
725	848	821	869	859	859
726	849	823	870	860	860
727	851	827	871	861	862
728	852	830	872	863	866
729	854	831	874	864	867
730	855	833	876	865	868
731	861	834	877	867	869
732	863	837	879	868	870
733	866	841	884	869	871
734	868	843	885	871	874
735	871	844	887	872	875
736	872	847	888	874	876
737	873	848	890	875	878
738	877	849	891	876	882
739	878	850	892	877	885
740	881	851	893	878	887
741	883	852	895	883	888
742	884	854	896	887	890
743	885	857	897	890	892
744	887	859	898	891	893
745	895	860	899	892	894
746	896	862	901	893	896
747	899	863	902	894	897
748	901	864	903	897	898
749	905	865	904	903	901
750	908	867	905	905	903
751	914	869	909	908	904
752	915	873	911	911	908
753	917	874	912	917	909
754	918	875	913	918	911
755	921	877	916	921	913
756	922	878	918	923	916
757	923	880	919	924	917
758	925	883	921	926	921
759	927	884	922	928	922
760	928	888	924	929	923
761	929	890	925	934	924
762	930	892	927	937	927
763	931	896	929	938	930
764	932	897	931	939	931
765	933	898	932	941	938
766	934	899	934	942	939
767	936	901	935	943	942
768	938	902	936	946	943
769	939	903	937	948	944
770	941	904	941	951	946
771	942	908	942	952	948
772	943	914	944	953	949
773	944	915	948	955	950
774	950	917	950	957	952
775	953	918	951	958	953
776	955	923	952	959	955
777	956	925	953	960	958
778	957	926	956	961	960
779	958	928	957	964	962
780	960	929	958	965	964
781	961	932	961	966	965
782	962	934	962	967	970
783	963	937	964	970	971
784	966	938	965	972	972
785	967	939	966	973	973
786	968	941	967	974	974
787	970	943	970	975	975
788	971	944	971	977	977
789	972	945	973	978	978
790	974	948	974	980	979
791	975	971	976	981	980
792	977	981	981	982	981
793	978	982	982	983	984
794	979	983	983	984	986
795	980	985	984	986	987
796	982	987	986	988	988
797	983	990	988	990	991
798	984	991	990	992	992
799	987	992	993	993	993
