	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	345	284	309	217
33	276	352	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	394	366	366	253
37	325	402	368	368	257
38	326	412	383	381	260
39	337	428	384	398	264
40	355	432	393	404	269
41	367	456	400	435	287
42	378	461	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	466	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	508	490	372
49	432	548	511	498	421
50	449	565	541	502	426
51	453	598	542	516	431
52	455	617	544	519	434
53	457	618	550	524	480
54	463	620	553	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	482	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	540
63	530	707	661	634	543
64	563	713	676	638	579
65	572	718	683	644	592
66	589	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	557	62	479	236	211
101	777	589	320	601	138
102	552	319	318	221	77
103	283	864	419	178	376
104	241	508	631	447	447
105	100	344	117	431	482
106	96	36	444	442	351
107	13	729	495	346	871
108	676	247	947	121	606
109	597	563	721	254	603
110	103	761	353	594	807
111	877	131	432	202	933
112	328	78	476	382	677
113	603	519	40	285	536
114	433	94	996	209	912
115	945	183	805	363	935
116	342	482	851	537	433
117	111	633	394	959	210
118	414	806	327	5	307
119	442	505	904	792	484
120	235	954	214	160	504
121	162	410	154	379	290
122	441	535	731	406	227
123	613	31	484	179	51
124	68	204	825	414	512
125	217	414	774	527	839
126	985	33	902	227	814
127	620	277	346	495	496
128	34	212	398	945	520
129	62	307	349	348	617
130	107	797	562	237	805
131	822	793	199	674	574
132	495	440	415	67	398
133	923	48	187	549	190
134	558	485	598	438	553
135	152	198	998	203	165
136	562	353	657	65	457
137	797	258	567	360	940
138	996	435	658	41	451
139	608	676	181	180	410
140	76	644	963	924	96
141	629	698	919	286	52
142	473	436	288	418	848
143	884	233	77	49	384
144	121	76	504	455	658
145	460	115	172	328	515
146	760	262	637	670	50
147	801	361	926	76	644
148	46	708	211	805	851
149	658	63	795	122	379
150	711	491	109	909	339
151	346	555	426	520	740
152	744	533	509	82	124
153	252	401	256	226	563
154	349	919	217	523	555
155	364	172	275	535	230
156	795	498	362	272	551
157	430	209	178	138	624
158	189	51	44	125	432
159	505	423	882	563	584
160	528	70	317	183	302
161	594	935	65	721	600
162	303	340	283	491	359
163	741	434	67	426	946
164	881	106	709	574	519
165	544	315	569	902	93
166	428	203	403	536	346
167	286	54	964	167	110
168	56	77	371	323	954
169	774	97	913	806	388
170	374	73	802	97	924
171	509	227	889	488	589
172	29	58	321	940	413
173	375	242	618	109	757
174	393	996	529	625	407
175	230	933	359	401	415
176	89	577	309	482	689
177	59	774	85	998	694
178	690	468	460	195	530
179	615	264	898	284	881
180	938	298	314	394	481
181	555	93	235	42	99
182	247	608	627	12	235
183	625	374	4	504	829
184	712	940	535	528	59
185	916	739	365	129	720
186	478	769	881	371	556
187	395	314	244	910	41
188	591	114	897	441	270
189	176	90	247	165	696
190	222	600	55	191	573
191	52	330	588	555	101
192	331	30	356	336	548
193	122	610	146	682	598
194	294	495	193	317	430
195	554	879	177	162	728
196	856	905	279	509	406
197	228	997	213	551	249
198	548	326	885	29	856
199	617	889	328	327	511
200	272	359	485	197	62
201	447	42	271	757	483
202	187	588	319	475	717
203	191	57	560	344	408
204	799	888	473	728	327
205	682	471	580	139	63
206	936	437	173	865	468
207	360	847	585	392	97
208	481	396	916	672	774
209	632	411	650	319	181
210	845	506	14	330	333
211	0	327	392	481	109
212	698	487	39	403	242
213	794	957	776	415	665
214	182	585	374	232	557
215	643	952	629	124	317
216	311	966	340	592	155
217	729	613	66	752	859
218	253	911	382	923	566
219	93	439	375	250	792
220	168	146	96	390	393
221	67	383	169	282	194
222	309	550	123	846	605
223	753	169	47	839	1
224	55	447	134	63	528
225	438	470	806	648	226
226	717	742	94	269	247
227	805	259	420	641	68
228	587	103	653	877	330
229	51	949	600	240	569
230	207	389	545	187	271
231	566	293	988	304	82
232	435	540	679	802	182
233	461	71	665	616	586
234	273	7	498	262	251
235	354	422	739	853	749
236	279	959	976	521	85
237	850	304	161	838	189
238	575	497	337	862	115
239	924	68	801	256	318
240	362	599	0	525	402
241	154	120	601	354	477
242	792	584	797	422	206
243	32	999	796	511	580
244	932	709	879	474	989
245	722	686	728	678	168
246	662	875	97	785	144
247	353	572	165	233	845
248	94	926	452	204	449
249	135	484	202	629	11
250	291	347	989	376	133
251	109	37	254	859	39
252	155	458	343	61	585
253	30	859	222	31	594
254	474	236	519	669	272
255	545	571	246	968	517
256	954	649	198	433	198
257	15	377	360	68	382
258	330	720	574	34	909
259	287	234	10	471	104
260	933	582	248	111	414
261	85	543	200	571	560
262	210	902	90	926	910
263	988	631	407	778	284
264	968	312	228	617	577
265	361	424	920	448	461
266	778	83	277	531	18
267	653	158	298	148	374
268	666	334	435	632	590
269	485	592	389	408	479
270	649	521	401	688	279
271	401	379	38	542	129
272	879	683	905	423	143
273	114	459	968	271	578
274	468	137	792	815	549
275	198	865	291	602	682
276	678	719	270	603	438
277	586	816	446	949	424
278	919	197	51	402	343
279	535	475	912	103	238
280	116	799	577	875	862
281	389	101	763	395	587
282	763	449	633	91	900
283	290	441	397	214	139
284	221	939	34	913	501
285	383	546	530	362	542
286	344	18	935	253	500
287	728	812	448	239	629
288	704	674	449	989	72
289	77	442	367	216	21
290	131	243	613	315	54
291	356	567	536	219	258
292	421	306	180	257	533
293	365	694	713	730	822
294	466	241	853	698	47
295	458	983	936	81	523
296	254	282	48	711	446
297	39	961	505	420	697
298	163	124	424	812	183
299	259	43	587	748	323
300	218	12	531	871	985
301	634	976	469	758	685
302	269	481	718	229	397
303	650	862	488	102	263
304	841	821	8	606	931
305	347	545	956	143	443
306	306	239	846	158	491
307	48	426	7	770	135
308	637	160	620	514	326
309	863	438	133	693	610
310	969	740	941	224	423
311	929	678	151	793	835
312	821	173	933	461	231
313	645	167	899	66	847
314	810	562	377	149	898
315	502	929	586	828	303
316	194	627	755	396	214
317	175	56	949	946	497
318	515	516	299	888	949
319	683	795	351	452	975
320	766	226	231	87	630
321	992	566	326	659	744
322	833	591	765	184	67
323	7	155	434	595	209
324	517	443	828	663	659
325	173	142	994	369	819
326	939	883	979	590	763
327	749	711	741	424	582
328	912	291	381	20	417
329	288	580	218	207	0
330	627	354	184	963	91
331	853	945	707	561	131
332	307	35	525	881	920
333	105	697	35	709	897
334	721	574	689	473	175
335	913	518	158	33	311
336	137	143	425	163	708
337	755	281	233	545	939
338	549	177	31	954	180
339	905	817	230	826	698
340	614	185	176	782	232
341	298	318	107	575	613
342	47	749	290	642	116
343	369	200	186	206	200
344	638	530	800	686	561
345	78	213	785	995	475
346	439	202	342	882	73
347	605	175	416	388	31
348	106	912	651	840	309
349	569	920	729	218	911
350	709	845	518	47	636
351	703	34	104	879	369
352	271	658	100	807	246
353	536	850	771	700	40
354	443	907	221	154	889
355	452	350	240	341	882
356	180	445	769	484	467
357	151	44	350	540	92
358	885	895	281	50	769
359	417	479	924	270	932
360	633	837	909	593	597
361	281	448	162	16	700
362	601	703	111	566	30
363	45	906	610	48	755
364	101	892	821	460	375
365	299	388	64	713	394
366	239	297	106	557	233
367	143	228	457	94	392
368	40	605	638	685	739
369	335	736	534	135	389
370	604	14	643	766	281
371	11	630	331	335	518
372	172	29	515	517	997
373	445	206	6	246	988
374	817	839	11	463	676
375	716	161	160	393	608
376	65	886	630	258	797
377	293	467	666	193	367
378	42	842	870	975	653
379	997	372	793	947	631
380	436	21	294	560	669
381	902	102	602	337	100
382	256	615	817	564	791
383	840	755	517	621	801
384	527	968	124	13	505
385	297	371	704	302	213
386	886	549	487	468	361
387	216	85	568	689	452
388	648	478	697	633	228
389	92	717	197	306	688
390	340	885	798	293	853
391	691	91	364	636	236
392	577	263	678	0	161
393	351	923	969	953	466
394	350	207	706	677	44
395	612	900	752	569	919
396	469	248	421	104	353
397	416	398	527	773	736
398	806	531	209	630	14
399	348	279	645	80	252
400	160	534	557	90	994
401	444	182	816	635	841
402	123	794	814	8	812
403	842	4	216	704	681
404	785	753	166	907	601
405	184	170	682	384	703
406	487	10	406	56	125
407	195	153	773	794	476
408	930	635	261	623	4
409	413	764	595	15	772
410	520	3	70	817	132
411	624	385	507	407	995
412	368	899	625	848	234
413	963	745	251	134	15
414	431	308	431	500	979
415	665	731	428	856	350
416	419	95	464	889	707
417	24	624	148	512	825
418	258	869	50	997	239
419	871	28	185	467	46
420	318	416	856	681	167
421	480	474	670	108	365
422	91	802	23	508	308
423	537	992	332	351	383
424	373	343	422	235	313
425	848	741	188	320	373
426	130	964	304	443	463
427	260	366	962	703	368
428	798	825	262	765	126
429	250	223	269	639	647
430	551	184	242	497	917
431	543	904	467	586	760
432	193	647	767	864	440
433	262	367	953	897	828
434	115	469	659	275	86
435	488	100	695	71	524
436	899	819	514	409	813
437	606	547	865	342	455
438	310	722	19	146	599
439	927	951	605	142	16
440	446	380	108	553	105
441	134	975	13	347	294
442	542	679	325	916	972
443	314	39	590	35	857
444	317	118	880	45	436
445	204	496	293	425	336
446	336	451	131	705	349
447	483	758	491	248	869
448	284	339	859	46	418
449	190	231	12	54	57
450	523	193	311	141	656
451	146	473	696	951	901
452	118	651	720	316	282
453	275	407	41	173	927
454	667	639	669	74	371
455	745	364	441	30	870
456	907	415	250	185	943
457	740	804	623	222	27
458	506	92	639	110	502
459	23	867	837	667	276
460	497	597	442	446	734
461	144	932	615	43	575
462	516	798	348	720	786
463	420	336	102	168	907
464	8	554	841	314	378
465	647	833	417	647	963
466	578	222	399	397	531
467	865	593	900	939	28
468	28	362	791	157	356
469	525	230	272	106	399
470	966	573	677	445	525
471	956	376	409	38	277
472	20	841	95	920	335
473	828	283	73	988	718
474	694	217	1	413	78
475	399	985	354	303	36
476	697	444	591	562	521
477	320	46	778	548	623
478	70	898	335	36	947
479	540	82	155	176	469
480	161	196	116	172	207
481	769	677	402	421	221
482	149	11	339	311	591
483	998	210	649	440	102
484	246	240	730	58	240
485	206	511	951	14	714
486	50	356	439	343	428
487	776	897	575	763	558
488	248	488	826	457	885
489	49	501	115	666	154
490	202	642	608	822	554
491	434	560	842	189	148
492	521	135	700	466	337
493	359	348	931	911	121
494	783	130	36	985	498
495	54	994	582	361	188
496	104	634	86	194	612
497	323	303	766	600	203
498	408	27	252	858	283
499	448	89	501	653	273
500	139	75	470	265	978
501	895	917	313	556	908
502	411	664	681	964	507
503	780	706	456	937	113
504	22	941	965	215	489
505	664	26	276	726	265
506	476	302	788	245	650
507	145	814	887	834	153
508	941	453	782	611	472
509	942	310	27	808	923
510	9	823	835	355	179
511	943	544	478	857	219
512	962	648	429	385	122
513	731	757	539	192	510
514	524	938	120	380	363
515	953	20	789	156	706
516	556	261	662	570	815
517	917	807	15	993	930
518	668	162	225	775	416
519	784	539	229	692	117
520	835	238	686	579	762
521	232	863	451	814	19
522	462	570	472	961	503
523	696	17	693	962	550
524	234	602	454	101	459
525	265	274	932	64	838
526	768	260	412	819	215
527	901	494	925	892	836
528	486	159	990	576	699
529	621	139	302	863	445
530	807	660	831	547	140
531	609	288	570	538	334
532	329	24	858	98	842
533	834	80	83	572	950
534	166	558	911	22	37
535	975	134	652	513	297
536	772	425	308	950	854
537	268	251	930	970	991
538	546	771	503	37	163
539	565	189	551	967	316
540	984	145	857	462	61
541	179	187	493	943	652
542	752	991	347	27	745
543	659	59	619	140	419
544	410	716	603	83	875
545	533	561	224	231	976
546	642	928	474	780	464
547	706	208	872	880	565
548	950	333	212	832	24
549	771	552	995	869	176
550	906	313	459	152	686
551	140	464	122	78	529
552	713	273	52	492	916
553	579	646	840	776	412
554	119	266	195	241	20
555	983	455	850	126	604
556	692	738	496	507	288
557	224	286	264	984	998
558	437	650	33	738	639
559	651	5	833	656	259
560	599	668	285	722	850
561	220	125	664	652	691
562	138	537	138	506	952
563	815	419	594	451	534
564	826	355	502	480	80
565	471	507	287	95	345
566	126	786	453	510	229
567	773	433	691	928	588
568	796	625	167	753	953
569	700	409	813	767	166
570	17	766	404	796	602
571	761	772	125	567	158
572	719	656	418	657	224
573	861	192	395	870	299
574	568	851	152	729	767
575	641	870	983	501	840
576	409	320	543	307	151
577	73	349	864	683	796
578	86	331	71	132	547
579	839	256	624	718	837
580	108	726	194	707	615
581	133	400	237	723	285
582	573	49	369	169	614
583	593	590	929	788	546
584	679	382	29	105	657
585	681	880	32	991	846
586	670	149	506	291	241
587	657	395	722	57	315
588	567	38	89	294	886
589	142	418	523	417	593
590	619	55	5	614	667
591	196	512	144	259	867
592	742	721	667	412	723
593	19	384	558	297	674
594	244	783	363	17	969
595	379	365	286	631	642
596	74	107	612	40	95
597	739	638	129	867	331
598	512	8	597	643	458
599	440	704	906	795	65
600	878	276	884	334	705
601	427	655	967	170	888
602	251	993	874	823	513
603	215	84	684	836	984
604	852	614	145	861	893
605	358	164	790	737	387
606	386	860	9	145	6
607	710	918	137	640	890
608	385	490	944	612	662
609	979	477	513	357	43
610	724	784	357	534	25
611	596	890	820	893	750
612	836	595	646	181	329
613	429	596	564	835	668
614	75	465	578	526	970
615	764	9	843	948	693
616	464	834	714	159	735
617	57	220	232	212	827
618	851	787	699	787	962
619	289	972	385	768	456
620	661	831	747	673	119
621	734	914	500	405	559
622	800	88	622	53	973
623	849	292	784	147	626
624	978	427	37	684	159
625	781	922	648	799	824
626	150	163	141	310	493
627	804	925	72	620	955
628	837	723	150	952	800
629	921	908	660	153	780
630	513	699	547	208	635
631	450	126	655	171	942
632	640	381	877	324	358
633	583	609	179	887	655
634	571	378	712	999	784
635	492	669	3	908	716
636	300	358	871	810	826
637	99	127	355	137	208
638	955	756	764	130	748
639	324	472	390	903	675
640	18	714	208	829	785
641	370	538	762	604	773
642	654	737	159	554	986
643	584	673	673	690	799
644	522	295	824	619	876
645	684	780	743	274	751
646	646	815	746	529	811
647	201	186	220	199	74
648	84	219	855	377	808
649	280	820	974	772	781
650	660	391	238	583	634
651	296	692	863	588	974
652	663	782	810	664	702
653	72	979	136	820	710
654	990	948	890	255	820
655	136	559	937	942	731
656	977	460	223	345	386
657	301	873	215	453	400
658	292	499	219	701	938
659	456	23	245	741	564
660	868	321	274	760	79
661	931	113	190	399	992
662	908	156	725	847	964
663	974	199	87	824	301
664	493	373	490	559	364
665	261	510	948	655	770
666	308	363	132	599	328
667	972	645	654	478	196
668	570	857	573	373	462
669	872	701	829	88	921
670	472	611	811	990	753
671	812	489	268	493	427
672	887	990	901	312	980
673	561	606	786	762	325
674	550	420	113	734	663
675	883	943	950	387	332
676	811	848	866	917	965
677	616	915	492	372	87
678	396	695	552	295	832
679	4	578	24	609	670
680	961	181	733	786	377
681	510	884	17	929	411
682	685	45	157	855	868
683	726	877	524	800	831
684	971	777	533	938	661
685	404	503	942	966	892
686	808	16	292	816	60
687	832	430	516	972	680
688	61	275	26	465	987
689	866	500	984	260	572
690	267	504	408	872	761
691	813	568	883	470	197
692	425	406	867	238	726
693	934	211	891	268	292
694	928	81	579	92	157
695	582	486	592	544	583
696	708	195	862	411	35
697	759	553	81	213	913
698	43	403	266	496	437
699	120	528	21	585	212
700	2	2	2	2	22
701	53	6	22	3	53
702	60	60	25	9	64
703	69	64	28	26	88
704	83	69	61	69	98
705	98	87	84	72	112
706	113	99	112	75	120
707	117	128	119	112	127
708	128	132	127	127	147
709	147	136	130	136	150
710	153	140	171	164	164
711	164	147	201	174	171
712	170	150	205	186	174
713	171	174	265	196	201
714	192	201	289	220	205
715	205	205	296	223	225
716	245	225	300	225	255
717	249	245	305	266	266
718	274	278	312	267	267
719	295	280	322	278	268
720	305	285	324	280	278
721	321	289	334	296	280
722	322	296	352	300	289
723	333	301	358	301	295
724	338	322	378	305	300
725	341	325	380	332	312
726	345	329	386	333	321
727	352	332	387	338	322
728	357	341	391	352	324
729	372	370	430	370	338
730	376	405	450	386	357
731	380	429	462	410	366
732	387	450	486	427	370
733	390	454	489	429	391
734	391	514	494	450	396
735	403	515	522	454	404
736	405	522	532	499	405
737	465	526	559	522	422
738	477	556	576	532	439
739	494	564	581	539	454
740	499	576	607	541	465
741	503	581	609	552	490
742	529	607	616	581	494
743	532	619	621	596	499
744	538	622	626	618	532
745	539	626	628	660	571
746	541	628	635	661	596
747	576	636	668	671	607
748	581	643	671	680	611
749	611	652	672	702	616
750	618	663	675	710	621
751	636	672	680	714	622
752	671	675	687	719	628
753	673	680	690	724	641
754	687	685	701	725	646
755	695	687	715	732	672
756	701	696	735	735	684
757	705	702	737	736	715
758	715	705	742	743	724
759	725	710	754	747	727
760	727	715	756	750	732
761	732	724	758	751	733
762	735	725	768	759	752
763	743	727	775	761	754
764	747	743	777	789	756
765	748	746	779	790	759
766	751	754	781	809	764
767	754	759	803	818	775
768	756	767	827	830	790
769	762	770	830	831	802
770	770	779	844	860	803
771	779	781	849	868	804
772	787	789	852	874	809
773	790	803	860	876	810
774	803	809	868	878	816
775	809	818	869	883	818
776	818	827	876	890	823
777	830	830	888	891	834
778	843	832	892	894	843
779	844	836	893	905	844
780	847	843	895	914	849
781	854	844	896	918	855
782	855	849	903	921	860
783	873	852	918	934	866
784	896	854	921	941	874
785	914	874	922	955	878
786	915	878	927	957	887
787	918	896	934	958	894
788	922	901	952	960	896
789	925	903	957	965	903
790	944	934	958	973	904
791	957	937	961	974	922
792	958	944	966	977	944
793	960	955	970	978	948
794	967	971	971	980	958
795	970	978	973	981	960
796	980	980	981	982	971
797	982	981	982	983	977
798	987	982	986	986	981
799	999	987	993	992	993
