	Strategy	Query	Class	Value
0	Random	q0	0	40
1	Random	q0	1	60
2	Random	q1	0	23
3	Random	q1	1	77
4	Random	q2	0	27
5	Random	q2	1	73
6	Random	q3	0	28
7	Random	q3	1	72
8	Random	q4	0	30
9	Random	q4	1	70
10	Random	q5	0	35
11	Random	q5	1	65
12	Random	q6	0	31
13	Random	q6	1	69
14	Random	q7	0	26
15	Random	q7	1	74
16	Uncertainty	q0	0	40
17	Uncertainty	q0	1	60
18	Uncertainty	q1	0	49
19	Uncertainty	q1	1	51
20	Uncertainty	q2	0	41
21	Uncertainty	q2	1	59
22	Uncertainty	q3	0	34
23	Uncertainty	q3	1	66
24	Uncertainty	q4	0	49
25	Uncertainty	q4	1	51
26	Uncertainty	q5	0	11
27	Uncertainty	q5	1	89
28	Uncertainty	q6	0	7
29	Uncertainty	q6	1	93
30	Uncertainty	q7	0	9
31	Uncertainty	q7	1	91
32	QBC	q0	0	40
33	QBC	q0	1	60
34	QBC	q1	0	20
35	QBC	q1	1	80
36	QBC	q2	0	83
37	QBC	q2	1	17
38	QBC	q3	0	39
39	QBC	q3	1	61
40	QBC	q4	0	11
41	QBC	q4	1	89
42	QBC	q5	0	39
43	QBC	q5	1	61
44	QBC	q6	0	8
45	QBC	q6	1	92
46	QBC	q7	0	0
47	QBC	q7	1	100
48	GraphDensity	q0	0	40
49	GraphDensity	q0	1	60
50	GraphDensity	q1	0	23
51	GraphDensity	q1	1	77
52	GraphDensity	q2	0	24
53	GraphDensity	q2	1	76
54	GraphDensity	q3	0	18
55	GraphDensity	q3	1	82
56	GraphDensity	q4	0	36
57	GraphDensity	q4	1	64
58	GraphDensity	q5	0	33
59	GraphDensity	q5	1	67
60	GraphDensity	q6	0	34
61	GraphDensity	q6	1	66
62	GraphDensity	q7	0	32
63	GraphDensity	q7	1	68
64	EER	q0	0	40
65	EER	q0	1	60
66	EER	q1	0	28
67	EER	q1	1	72
68	EER	q2	0	29
69	EER	q2	1	71
70	EER	q3	0	44
71	EER	q3	1	56
72	EER	q4	0	35
73	EER	q4	1	65
74	EER	q5	0	44
75	EER	q5	1	56
76	EER	q6	0	15
77	EER	q6	1	85
78	EER	q7	0	5
79	EER	q7	1	95
80	LAL_iter	q0	0	40
81	LAL_iter	q0	1	60
82	LAL_iter	q1	0	30
83	LAL_iter	q1	1	70
84	LAL_iter	q2	0	34
85	LAL_iter	q2	1	66
86	LAL_iter	q3	0	51
87	LAL_iter	q3	1	49
88	LAL_iter	q4	0	38
89	LAL_iter	q4	1	62
90	LAL_iter	q5	0	33
91	LAL_iter	q5	1	67
92	LAL_iter	q6	0	14
93	LAL_iter	q6	1	86
94	LAL_iter	q7	0	0
95	LAL_iter	q7	1	100
96	LAL_indep	q0	0	40
97	LAL_indep	q0	1	60
98	LAL_indep	q1	0	37
99	LAL_indep	q1	1	63
100	LAL_indep	q2	0	34
101	LAL_indep	q2	1	66
102	LAL_indep	q3	0	35
103	LAL_indep	q3	1	65
104	LAL_indep	q4	0	40
105	LAL_indep	q4	1	60
106	LAL_indep	q5	0	43
107	LAL_indep	q5	1	57
108	LAL_indep	q6	0	9
109	LAL_indep	q6	1	91
110	LAL_indep	q7	0	2
111	LAL_indep	q7	1	98
