	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	346	284	309	217
33	276	351	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	392	366	366	253
37	325	403	368	367	257
38	326	412	383	381	260
39	337	428	384	399	264
40	355	431	393	404	269
41	367	456	400	436	287
42	378	462	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	467	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	509	490	372
49	432	548	512	498	421
50	449	565	540	502	426
51	454	598	542	516	431
52	455	617	545	518	434
53	457	618	548	524	480
54	463	620	554	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	483	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	541
63	531	707	661	634	543
64	564	713	676	638	579
65	572	718	683	644	592
66	590	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	649	517	840	47	467
101	966	81	32	986	796
102	933	134	469	138	425
103	24	673	933	385	650
104	32	823	796	840	0
105	310	531	969	443	552
106	138	24	34	389	227
107	60	809	600	604	532
108	868	407	333	770	242
109	247	39	639	585	1
110	404	789	930	505	129
111	49	368	77	323	54
112	510	365	277	454	510
113	363	675	458	846	482
114	663	487	181	196	631
115	398	987	706	306	590
116	163	656	973	766	205
117	703	500	986	557	143
118	418	981	563	807	534
119	536	505	678	750	154
120	173	997	534	364	989
121	599	448	230	965	940
122	740	478	450	732	322
123	254	545	29	402	478
124	615	783	677	371	785
125	747	49	1	449	607
126	143	169	7	191	698
127	274	842	39	30	410
128	776	687	624	160	731
129	969	585	500	36	986
130	260	331	215	108	529
131	837	306	970	87	369
132	574	756	167	541	617
133	258	399	543	126	465
134	698	130	96	553	676
135	592	243	891	999	677
136	605	546	138	71	188
137	297	4	250	670	606
138	493	579	909	446	113
139	998	150	911	204	47
140	584	341	811	527	995
141	126	385	404	178	559
142	370	770	958	616	994
143	350	289	12	254	623
144	683	5	247	883	405
145	967	76	173	564	969
146	9	469	767	403	24
147	604	777	24	442	599
148	506	843	707	714	549
149	61	581	921	947	52
150	176	857	531	543	521
151	538	854	942	957	233
152	184	6	4	677	280
153	382	120	842	316	840
154	152	812	924	441	813
155	40	917	122	172	440
156	671	580	41	526	450
157	317	30	293	17	740
158	78	455	984	734	577
159	318	766	519	302	422
160	777	519	461	461	62
161	440	539	130	794	804
162	196	71	382	457	346
163	113	701	530	551	194
164	375	177	90	751	383
165	306	391	176	880	591
166	770	551	350	743	182
167	351	124	506	280	215
168	450	457	399	657	866
169	160	644	747	625	772
170	346	638	860	910	790
171	67	650	633	690	547
172	96	797	876	237	135
173	826	920	304	588	337
174	414	377	665	796	557
175	435	779	492	260	587
176	28	845	900	125	105
177	534	497	995	940	65
178	972	633	133	411	634
179	441	155	883	954	456
180	336	651	364	497	362
181	11	559	193	239	117
182	606	320	765	187	595
183	881	589	650	988	326
184	111	807	285	536	266
185	566	206	381	129	952
186	769	742	899	633	457
187	941	976	265	921	942
188	408	245	129	984	437
189	103	503	957	122	96
190	485	642	559	124	57
191	22	906	134	183	207
192	320	451	579	653	646
193	709	439	520	65	970
194	291	610	905	337	144
195	340	417	994	236	908
196	52	945	830	69	523
197	957	405	989	224	15
198	616	679	274	882	505
199	172	443	161	167	890
200	284	529	936	61	762
201	151	907	607	346	68
202	448	383	695	425	750
203	687	549	414	943	161
204	461	404	264	80	842
205	117	461	111	405	400
206	55	362	517	226	458
207	521	127	252	673	435
208	204	230	275	194	189
209	841	275	254	738	911
210	365	508	286	320	614
211	68	509	505	421	391
212	39	376	941	284	661
213	76	167	448	286	379
214	950	36	194	762	433
215	482	606	454	941	356
216	517	360	880	549	913
217	175	337	449	934	635
218	377	834	21	467	239
219	545	678	50	257	307
220	189	319	160	221	533
221	813	307	606	199	370
222	275	236	465	787	512
223	466	45	433	215	332
224	576	256	199	227	556
225	660	196	299	570	77
226	368	115	675	53	315
227	715	465	52	45	357
228	217	29	576	282	116
229	134	609	580	602	850
230	4	238	117	41	670
231	235	574	654	992	639
232	50	21	26	911	333
233	992	348	754	482	414
234	286	975	673	575	985
235	602	957	391	197	576
236	224	940	73	193	85
237	298	459	248	530	336
238	437	450	144	620	18
239	42	643	496	111	271
240	433	364	231	216	82
241	107	660	55	259	822
242	20	530	100	422	36
243	467	20	314	92	602
244	997	710	631	863	133
245	643	318	380	415	281
246	314	498	785	427	238
247	115	695	806	416	483
248	207	303	459	730	432
249	289	242	485	275	201
250	149	522	526	948	846
251	654	131	351	319	364
252	307	512	222	517	206
253	917	199	856	451	399
254	854	203	395	595	198
255	650	77	235	345	316
256	708	160	961	830	820
257	795	863	238	799	289
258	646	315	603	81	657
259	70	668	131	448	235
260	447	837	283	189	845
261	731	830	398	614	551
262	324	449	599	995	41
263	565	46	657	917	150
264	809	454	421	903	236
265	144	354	611	231	907
266	0	44	10	522	122
267	338	210	47	383	327
268	866	471	407	763	604
269	931	841	976	768	25
270	359	314	394	163	11
271	353	874	729	860	228
272	252	182	115	591	313
273	484	533	345	829	834
274	123	149	769	567	377
275	180	140	372	511	531
276	562	107	336	147	196
277	787	972	668	355	976
278	205	213	523	975	769
279	695	161	777	135	200
280	596	135	279	758	935
281	773	63	687	29	4
282	729	142	172	639	954
283	323	163	435	272	251
284	529	706	510	3	168
285	137	363	443	847	578
286	665	489	779	951	309
287	394	627	36	693	325
288	884	954	208	440	558
289	465	964	422	596	163
290	405	990	547	370	476
291	369	685	672	510	674
292	460	727	349	78	998
293	625	486	950	612	79
294	535	175	242	58	393
295	443	740	619	12	78
296	914	555	956	907	44
297	345	886	622	892	67
298	559	538	733	256	736
299	611	485	890	496	472
300	796	914	998	879	626
301	800	433	591	109	366
302	666	204	486	76	39
303	249	226	518	317	365
304	480	286	532	950	115
305	478	731	595	775	31
306	474	70	104	610	318
307	555	264	281	262	30
308	883	787	347	387	367
309	955	521	801	776	920
310	216	941	318	964	917
311	348	769	185	130	452
312	250	227	416	419	682
313	717	582	561	344	466
314	311	372	829	213	856
315	871	285	317	140	589
316	269	357	0	103	317
317	830	772	5	271	564
318	570	996	447	270	231
319	288	217	742	660	921
320	834	607	533	466	388
321	764	349	201	795	299
322	804	884	602	22	630
323	549	550	913	408	50
324	7	259	789	617	993
325	486	162	425	491	247
326	201	749	730	54	138
327	380	193	488	953	809
328	934	370	87	765	407
329	54	198	497	630	893
330	842	332	858	192	37
331	376	885	951	562	213
332	974	440	669	31	267
333	140	784	217	34	268
334	817	11	470	380	781
335	916	442	361	729	459
336	422	480	944	207	705
337	222	73	386	186	28
338	57	908	125	767	642
339	907	59	731	229	811
340	409	355	507	97	922
341	761	421	786	571	885
342	62	948	682	600	706
343	133	605	385	949	780
344	929	875	557	822	916
345	921	441	213	142	438
346	833	181	630	388	754
347	956	366	313	574	992
348	476	767	763	501	760
349	431	248	621	478	479
350	34	220	670	874	92
351	636	961	357	0	520
352	847	55	65	788	767
353	743	626	288	962	403
354	508	125	240	686	875
355	633	426	233	347	849
356	352	899	11	683	656
357	349	10	679	5	416
358	379	484	152	238	948
359	550	624	918	631	535
360	116	382	355	786	984
361	248	445	305	463	570
362	273	258	268	336	613
363	30	634	403	752	273
364	131	676	504	40	944
365	513	100	324	835	629
366	142	283	737	545	290
367	567	282	352	554	550
368	193	703	901	710	124
369	996	183	487	456	240
370	583	847	934	723	874
371	438	625	590	569	491
372	154	992	218	753	246
373	925	128	124	184	132
374	283	600	321	220	59
375	456	472	892	856	385
376	516	187	948	349	155
377	953	647	365	105	565
378	642	477	431	338	331
379	975	380	474	552	823
380	280	877	251	240	339
381	548	430	791	235	371
382	638	16	489	576	348
383	613	821	162	589	685
384	192	197	718	268	544
385	168	172	866	659	394
386	970	715	270	642	272
387	502	649	864	978	763
388	922	126	272	792	46
389	954	420	311	181	73
390	784	820	8	95	167
391	556	896	154	761	686
392	411	719	155	868	412
393	651	427	85	862	603
394	578	291	821	793	881
395	99	353	116	481	955
396	753	51	298	785	953
397	357	560	896	924	946
398	279	48	660	314	964
399	614	75	846	533	359
400	331	955	578	475	441
401	523	273	902	977	126
402	927	563	169	332	829
403	685	534	766	134	694
404	268	911	178	704	567
405	427	939	472	49	398
406	657	672	662	14	503
407	65	729	119	377	585
408	705	631	947	870	258
409	806	350	112	561	21
410	256	774	291	250	297
411	119	173	897	705	756
412	807	611	871	952	263
413	503	999	952	656	402
414	552	202	455	876	611
415	774	630	503	68	234
416	462	562	211	918	792
417	301	795	546	159	807
418	77	466	123	106	175
419	85	231	417	938	800
420	701	60	515	507	716
421	191	239	651	594	51
422	417	898	537	258	462
423	48	933	797	67	837
424	108	288	756	101	455
425	492	880	48	265	350
426	300	211	625	139	427
427	546	395	637	810	939
428	936	42	774	747	887
429	551	411	19	470	977
430	139	475	536	685	838
431	627	952	588	831	594
432	410	663	587	35	501
433	464	274	581	203	655
434	588	416	344	484	770
435	568	739	553	789	411
436	206	280	145	525	301
437	691	68	916	327	183
438	853	683	452	42	588
439	272	864	146	395	345
440	515	413	475	535	641
441	799	754	627	641	841
442	106	848	397	960	190
443	999	890	150	838	158
444	292	92	120	834	334
445	402	506	224	343	181
446	271	743	375	185	598
447	239	694	609	110	973
448	161	645	473	285	119
449	373	103	964	528	376
450	436	806	237	56	727
451	722	14	402	423	151
452	621	737	714	643	773
453	162	31	214	20	125
454	155	901	490	170	494
455	541	295	341	889	40
456	74	279	289	218	451
457	779	200	269	13	876
458	51	99	442	372	718
459	18	158	988	295	87
460	670	669	585	171	987
461	679	482	758	555	974
462	150	325	108	709	991
463	755	423	968	945	418
464	101	922	389	836	882
465	553	468	51	453	791
466	902	554	788	808	500
467	662	680	256	294	703
468	472	88	292	352	211
469	690	553	697	424	375
470	384	464	266	955	691
471	341	260	22	512	498
472	987	592	922	291	252
473	694	889	827	88	100
474	299	234	165	782	502
475	704	54	570	132	519
476	918	321	453	248	601
477	653	344	884	38	352
478	811	313	97	671	453
479	661	343	872	937	295
480	145	566	327	48	14
481	915	34	67	748	203
482	645	525	881	973	147
483	658	189	645	872	847
484	648	38	157	492	869
485	343	298	722	802	981
486	751	434	574	46	644
487	913	378	755	169	975
488	543	867	343	136	140
489	673	614	793	539	862
490	73	764	831	623	562
491	617	714	71	493	224
492	218	293	743	603	303
493	594	266	468	621	283
494	744	937	229	94	63
495	356	453	527	72	581
496	105	12	643	547	938
497	727	535	335	666	16
498	797	761	302	581	786
499	220	389	616	550	669
500	221	425	552	127	950
501	840	233	851	307	395
502	571	222	709	407	311
503	710	567	151	809	97
504	990	195	186	946	60
505	471	934	332	293	548
506	822	547	81	63	724
507	620	424	95	558	571
508	676	540	971	82	835
509	678	334	348	556	814
510	230	26	623	90	229
511	122	379	158	74	259
512	210	113	177	195	20
513	246	8	990	414	799
514	228	599	221	521	214
515	46	892	14	222	699
516	856	711	109	452	616
517	109	208	262	16	659
518	100	723	862	474	958
519	195	371	271	33	815
520	532	296	392	471	665
521	706	301	929	981	373
522	919	62	792	246	72
523	760	304	592	165	279
524	265	132	920	701	210
525	803	474	680	162	413
526	667	516	699	814	506
527	924	136	691	266	844
528	805	437	778	393	270
529	442	184	460	865	74
530	29	814	166	206	827
531	420	139	762	462	277
532	659	496	868	311	323
533	393	799	499	983	489
534	75	586	996	800	226
535	347	436	764	334	923
536	794	302	137	26	584
537	354	57	768	468	35
538	202	836	113	540	886
539	908	827	655	864	22
540	251	406	993	412	524
541	84	601	390	233	947
542	563	228	202	871	176
543	45	686	70	464	515
544	778	251	800	684	285
545	843	374	813	303	109
546	267	102	889	145	417
547	762	544	72	324	429
548	901	261	935	990	499
549	424	361	148	158	714
550	524	803	684	721	826
551	942	143	931	724	797
552	296	593	66	678	469
553	498	902	666	812	605
554	593	818	601	982	53
555	719	590	228	57	636
556	293	340	325	905	302
557	118	993	795	819	854
558	978	619	713	544	338
559	792	786	420	504	896
560	413	146	863	538	621
561	59	17	430	98	159
562	170	499	686	735	328
563	724	919	528	245	428
564	452	381	378	300	819
565	130	56	817	397	464
566	984	347	309	495	808
567	328	569	319	278	892
568	434	557	312	121	751
569	519	594	423	722	255
570	772	398	906	202	812
571	754	185	38	176	805
572	477	504	444	805	720
573	768	716	628	832	384
574	430	536	28	149	575
575	295	415	514	146	684
576	985	429	198	168	759
577	458	591	359	304	397
578	863	330	195	537	708
579	749	903	406	963	723
580	469	613	216	173	988
581	742	85	287	737	95
582	852	692	516	479	663
583	487	470	353	154	249
584	303	329	904	148	324
585	360	201	524	998	930
586	171	312	704	410	608
587	290	944	83	893	230
588	785	746	296	909	101
589	713	90	659	760	802
590	198	771	566	773	622
591	135	578	429	663	764
592	92	384	331	806	843
593	640	819	513	566	446
594	580	137	741	137	748
595	835	507	290	629	857
596	603	925	575	875	745
597	696	64	974	711	288
598	928	915	479	50	681
599	905	639	967	208	696
600	262	281	300	418	600
601	121	636	638	297	363
602	540	94	141	636	390
603	334	793	752	274	662
604	879	435	132	356	139
605	496	697	190	340	484
606	330	87	94	958	368
607	391	968	874	726	330
608	147	91	653	826	522
609	244	738	481	632	774
610	741	145	187	703	871
611	342	35	2	869	294
612	637	584	775	966	329
613	766	27	35	532	919
614	988	297	701	354	131
615	977	983	810	989	624
616	983	327	927	707	851
617	389	932	412	818	93
618	232	832	502	434	19
619	944	745	803	891	932
620	558	401	982	83	554
621	844	106	209	855	752
622	13	926	180	702	818
623	187	396	877	112	419
624	544	262	781	351	610
625	362	373	805	214	6
626	444	831	882	509	744
627	748	444	360	64	749
628	537	174	855	741	653
629	982	628	582	66	832
630	752	918	798	174	668
631	885	388	40	929	888
632	634	556	294	560	98
633	865	865	981	301	867
634	253	677	629	520	507
635	245	409	937	432	110
636	632	247	37	692	513
637	329	982	649	661	628
638	128	419	949	586	810
639	783	292	376	164	897
640	91	28	9	928	518
641	855	741	850	439	927
642	887	114	833	373	174
643	849	698	721	718	652
644	810	9	725	152	859
645	522	833	577	374	165
646	818	278	898	333	335
647	569	153	746	253	278
648	83	33	903	725	901
649	371	575	13	759	909
650	735	573	652	330	312
651	684	929	245	652	86
652	94	481	635	426	658
653	609	615	963	672	468
654	812	95	27	508	924
655	153	935	667	2	439
656	734	825	841	529	597
657	17	883	171	635	860
658	259	817	932	102	615
659	587	2	426	640	868
660	190	755	965	619	121
661	525	815	232	141	342
662	579	652	820	972	386
663	958	850	865	689	734
664	781	446	852	296	828
665	906	571	728	923	732
666	69	490	3	713	965
667	756	69	136	859	104
668	771	802	17	980	530
669	182	646	648	563	99
670	851	635	354	890	689
671	528	561	225	335	265
672	932	725	6	916	148
673	647	709	690	902	715
674	945	978	501	824	889
675	899	84	816	815	910
676	53	951	979	669	209
677	335	515	983	523	127
678	971	78	681	361	179
679	146	904	879	680	647
680	577	277	867	597	717
681	321	928	408	720	408
682	963	97	919	255	166
683	664	860	608	406	180
684	305	979	615	926	894
685	104	721	613	500	292
686	872	897	573	400	353
687	390	410	849	362	378
688	511	759	593	858	481
689	697	702	598	488	561
690	624	207	419	970	490
691	798	80	844	605	672
692	287	994	102	959	912
693	597	804	184	968	855
694	488	724	401	143	898
695	120	648	620	908	933
696	692	596	244	997	321
697	19	879	568	572	980
698	716	564	646	839	525
699	241	488	802	460	582
700	2	3	15	8	27
701	8	7	23	9	43
702	15	18	25	15	61
703	23	23	31	27	64
704	43	37	33	37	80
705	47	43	44	43	88
706	56	58	61	75	91
707	72	82	64	91	102
708	86	83	84	104	112
709	89	89	86	153	120
710	93	93	89	156	153
711	98	101	106	157	157
712	114	118	107	179	164
713	136	147	127	180	171
714	164	156	159	209	197
715	166	159	179	212	208
716	179	164	188	219	212
717	194	170	197	223	219
718	215	186	200	225	221
719	234	192	205	232	225
720	261	205	212	241	232
721	281	209	219	267	241
722	294	212	220	269	276
723	308	219	223	305	282
724	309	223	246	310	284
725	322	225	261	312	300
726	358	240	276	315	308
727	361	241	308	328	358
728	386	263	320	342	374
729	387	276	322	359	387
730	396	308	326	369	396
731	401	310	328	379	406
732	415	322	339	382	415
733	428	326	356	386	424
734	429	333	358	392	445
735	439	339	363	394	447
736	445	358	367	396	460
737	446	438	369	401	463
738	473	473	374	409	473
739	494	491	387	420	493
740	495	494	409	430	495
741	504	495	418	445	497
742	527	501	428	447	511
743	539	511	432	476	528
744	542	514	438	499	542
745	573	542	451	513	555
746	582	568	477	514	560
747	608	572	491	577	572
748	612	597	493	583	573
749	618	608	494	593	583
750	619	622	539	601	586
751	629	655	558	609	596
752	641	658	560	618	612
753	668	664	569	647	667
754	681	674	586	648	675
755	682	696	612	655	680
756	700	699	618	664	688
757	711	704	626	667	693
758	712	705	658	674	697
759	721	708	664	681	700
760	725	717	671	682	702
761	726	720	689	688	707
762	728	722	693	698	710
763	732	726	696	700	726
764	739	736	700	719	728
765	745	753	712	728	733
766	759	757	715	736	735
767	763	758	720	757	739
768	780	780	735	772	753
769	790	781	739	778	755
770	801	782	771	780	757
771	808	794	773	790	761
772	815	798	776	816	775
773	821	816	782	817	784
774	828	839	784	820	801
775	832	844	790	823	803
776	836	849	814	828	816
777	839	851	824	848	824
778	845	852	825	853	825
779	848	859	826	857	831
780	850	862	828	861	836
781	861	869	835	867	839
782	873	870	837	877	848
783	877	873	843	878	853
784	878	878	853	881	870
785	886	888	857	887	878
786	895	895	859	888	900
787	896	900	869	894	903
788	912	905	870	897	904
789	923	912	885	913	931
790	930	923	887	914	943
791	938	938	888	920	949
792	939	943	893	939	960
793	943	949	895	942	962
794	960	959	912	961	963
795	961	966	925	967	971
796	962	971	926	974	972
797	968	980	953	985	978
798	979	985	962	991	979
799	980	991	966	993	997
