	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	410	108	669	527	341
101	487	411	420	124	441
102	158	688	248	271	0
103	140	530	372	205	48
104	752	659	135	68	18
105	302	458	62	401	384
106	551	384	483	290	596
107	741	555	30	420	416
108	290	541	1	189	403
109	799	360	546	94	239
110	116	428	405	260	308
111	172	417	661	52	633
112	40	426	100	161	201
113	505	614	26	397	445
114	259	375	188	745	447
115	645	283	740	243	779
116	357	629	12	141	102
117	773	263	197	796	153
118	524	57	539	726	188
119	522	44	28	320	444
120	299	213	736	382	177
121	498	618	728	48	290
122	39	647	683	440	186
123	594	323	726	614	677
124	50	363	363	165	322
125	654	188	608	642	499
126	325	394	477	150	369
127	548	354	338	128	270
128	70	564	348	572	222
129	21	504	456	231	758
130	597	290	411	259	34
131	130	517	562	771	526
132	143	18	618	585	477
133	621	764	286	32	365
134	253	585	705	360	217
135	350	194	499	367	62
136	232	16	41	166	798
137	745	309	538	105	408
138	442	312	65	521	470
139	721	705	788	446	278
140	446	103	320	511	440
141	97	266	766	777	467
142	641	109	517	368	780
143	441	303	368	351	730
144	239	372	292	702	111
145	254	744	327	209	271
146	153	649	289	111	306
147	10	503	386	269	131
148	354	287	793	35	750
149	200	300	390	181	38
150	618	358	523	370	66
151	31	308	647	471	363
152	88	767	27	671	554
153	178	47	402	421	461
154	558	28	365	536	180
155	484	706	244	193	698
156	763	389	203	80	119
157	764	471	780	631	790
158	430	623	281	204	396
159	151	634	4	475	452
160	166	447	413	626	162
161	103	221	111	468	40
162	408	317	607	134	402
163	758	677	778	652	138
164	527	736	377	719	93
165	477	438	316	679	788
166	375	172	797	354	163
167	355	72	745	732	37
168	300	442	335	655	198
169	786	5	720	419	762
170	390	138	124	154	684
171	241	465	161	753	321
172	95	613	95	769	231
173	233	696	657	539	87
174	202	443	190	669	578
175	356	774	738	272	324
176	199	67	620	748	641
177	94	405	730	233	26
178	222	449	616	93	359
179	747	64	211	132	224
180	525	448	278	96	211
181	415	466	89	799	375
182	271	597	532	781	226
183	65	278	640	751	354
184	360	100	536	465	485
185	565	620	149	758	210
186	101	415	116	561	353
187	146	467	131	256	307
188	314	586	746	173	332
189	530	368	77	510	602
190	219	224	430	319	256
191	382	230	792	403	216
192	245	782	357	695	2
193	326	513	19	787	660
194	642	550	221	600	651
195	49	110	443	505	116
196	437	253	37	525	348
197	388	491	439	39	646
198	86	310	284	254	43
199	338	547	145	593	451
200	409	21	304	279	696
201	580	68	359	224	668
202	615	730	205	3	659
203	459	588	521	247	632
204	631	427	446	257	117
205	379	344	682	330	336
206	416	359	593	380	236
207	541	129	396	236	380
208	364	36	13	431	75
209	528	77	711	268	476
210	177	63	270	15	588
211	293	156	605	361	428
212	547	798	262	404	350
213	656	605	6	405	544
214	38	157	491	208	187
215	710	335	283	476	205
216	316	617	737	36	497
217	139	410	498	435	580
218	370	34	216	487	156
219	333	233	142	439	120
220	798	196	583	131	237
221	81	289	383	157	787
222	716	524	468	184	128
223	226	94	223	100	700
224	768	539	279	332	339
225	295	133	634	357	22
226	196	277	255	728	488
227	266	227	183	168	189
228	90	248	644	144	456
229	396	420	14	713	179
230	212	409	361	24	541
231	377	299	627	284	65
232	689	437	385	43	99
233	173	162	466	693	129
234	635	392	297	438	695
235	362	242	761	390	640
236	55	407	267	770	94
237	78	180	303	430	427
238	634	425	266	453	536
239	376	531	106	609	213
240	108	718	421	18	227
241	240	65	366	220	183
242	251	262	80	764	726
243	46	766	166	0	386
244	64	529	397	229	30
245	164	182	675	607	487
246	249	441	256	562	795
247	30	254	300	299	776
248	44	497	23	608	195
249	686	212	122	340	561
250	445	674	334	371	361
251	63	697	174	398	773
252	183	118	18	261	199
253	361	305	755	348	414
254	260	418	699	444	272
255	131	245	344	37	482
256	614	475	691	152	299
257	304	295	214	643	60
258	391	293	265	266	573
259	378	393	156	668	673
260	281	373	232	794	367
261	303	27	777	377	752
262	509	330	175	566	401
263	535	406	551	301	697
264	320	217	440	393	61
265	59	207	369	411	424
266	194	288	191	691	542
267	793	637	679	710	267
268	124	757	257	530	639
269	620	10	739	300	11
270	168	461	261	798	373
271	26	334	649	211	295
272	307	226	253	797	315
273	399	26	492	479	490
274	125	601	132	457	150
275	447	345	0	201	600
276	449	756	230	47	194
277	27	548	652	317	540
278	306	593	164	296	438
279	502	712	619	342	21
280	227	251	447	575	366
281	43	130	241	207	480
282	318	14	45	533	57
283	648	562	140	191	340
284	613	599	475	634	535
285	365	98	119	628	175
286	616	486	762	171	385
287	567	273	414	221	564
288	41	664	148	433	309
289	569	176	200	314	599
290	126	4	547	708	289
291	277	69	415	617	280
292	466	561	195	756	404
293	627	510	336	329	334
294	779	114	522	295	734
295	327	131	186	427	133
296	19	679	460	653	319
297	788	473	358	10	565
298	204	683	540	353	260
299	434	320	452	381	686
300	133	150	789	491	376
301	181	751	43	285	702
302	523	390	291	441	643
303	429	476	21	50	326
304	699	750	716	641	425
305	368	139	717	2	735
306	224	187	501	328	291
307	159	329	339	711	608
308	452	762	212	460	264
309	419	291	554	362	317
310	267	219	455	667	159
311	436	171	387	633	292
312	269	191	635	648	28
313	397	351	325	101	612
314	193	594	743	255	527
315	206	331	252	276	1
316	454	128	604	414	166
317	495	514	114	325	483
318	680	186	333	583	761
319	248	451	734	336	54
320	118	404	332	356	249
321	485	367	273	481	688
322	100	306	561	72	110
323	83	732	93	123	108
324	730	164	474	724	613
325	727	52	250	550	244
326	588	322	798	683	759
327	420	158	76	146	454
328	526	148	732	443	358
329	444	724	340	40	92
330	54	563	582	6	32
331	529	259	125	619	303
332	395	234	52	61	253
333	709	590	201	458	557
334	539	638	282	731	562
335	461	645	772	517	793
336	198	19	535	779	314
337	347	386	799	57	671
338	792	741	259	283	157
339	0	535	46	359	301
340	348	80	470	450	59
341	117	731	764	720	169
342	720	792	482	263	415
343	77	339	313	338	584
344	761	272	217	106	473
345	148	632	749	424	123
346	650	412	621	526	785
347	465	615	207	795	7
348	755	315	703	108	355
349	519	580	146	334	727
350	322	493	180	694	139
351	670	353	424	535	459
352	179	237	744	248	228
353	205	542	597	186	284
354	309	484	16	759	364
355	238	140	302	304	681
356	733	743	448	156	215
357	629	575	478	8	288
358	493	280	317	636	515
359	28	794	581	663	638
360	738	268	507	620	757
361	337	179	638	278	712
362	150	292	353	588	296
363	283	113	237	155	532
364	462	3	759	350	453
365	297	570	566	345	191
366	334	31	5	736	442
367	192	204	209	627	134
368	734	460	179	190	389
369	619	336	123	28	524
370	394	429	403	13	170
371	75	567	231	514	251
372	571	627	204	791	655
373	310	658	445	112	281
374	453	2	450	402	269
375	107	577	487	757	36
376	731	536	110	734	265
377	343	1	712	697	738
378	48	215	515	71	167
379	294	559	35	548	220
380	25	739	322	349	277
381	112	144	527	654	313
382	568	42	342	311	471
383	109	33	229	250	53
384	537	381	637	524	764
385	606	690	275	270	551
386	512	462	127	408	662
387	633	199	194	400	252
388	443	773	600	644	283
389	715	545	25	324	15
390	331	422	631	462	69
391	34	786	274	486	494
392	147	463	108	234	203
393	458	61	676	179	238
394	574	759	31	416	51
395	611	565	442	502	511
396	412	206	467	549	510
397	586	229	69	192	12
398	285	684	11	696	656
399	653	11	563	341	323
400	478	352	611	339	154
401	790	507	534	584	329
402	191	374	465	126	46
403	353	142	469	17	200
404	184	240	7	596	645
405	275	13	277	423	486
406	421	685	701	125	362
407	276	400	163	122	140
408	187	364	58	178	49
409	123	713	202	322	446
410	171	45	157	466	147
411	691	222	613	425	112
412	345	104	239	389	766
413	433	169	689	564	423
414	197	270	557	599	241
415	372	275	341	733	145
416	584	43	373	62	491
417	406	341	422	587	770
418	506	195	158	46	682
419	102	457	187	394	218
420	609	646	301	383	616
421	678	247	609	774	182
422	456	79	686	130	371
423	405	399	473	148	262
424	475	799	601	735	9
425	89	101	795	63	79
426	216	81	433	680	14
427	93	598	393	418	637
428	16	525	312	489	230
429	659	260	489	41	328
430	717	582	10	70	509
431	156	152	782	373	98
432	301	35	567	573	531
433	564	15	251	280	247
434	700	719	8	163	84
435	604	738	87	761	763
436	176	154	765	432	722
437	45	707	54	66	753
438	128	543	663	574	399
439	576	55	660	582	212
440	242	134	347	673	80
441	113	314	687	625	305
442	448	38	128	428	144
443	514	433	176	167	739
444	134	265	189	704	517
445	625	23	218	606	506
446	439	445	545	612	528
447	35	506	697	749	76
448	373	88	510	33	610
449	550	71	130	133	558
450	432	518	22	504	377
451	426	639	589	288	563
452	496	307	639	784	701
453	488	40	741	51	158
454	684	301	356	540	635
455	52	456	486	754	419
456	651	59	520	610	549
457	120	121	400	501	311
458	605	790	727	656	33
459	190	454	330	520	279
460	14	102	34	565	614
461	671	640	39	472	463
462	91	477	585	387	606
463	742	208	531	538	666
464	217	328	672	705	146
465	554	53	796	581	706
466	250	619	710	725	259
467	486	58	57	477	105
468	132	387	416	25	626
469	215	549	769	109	665
470	161	735	354	210	437
471	155	408	91	323	45
472	735	532	530	688	318
473	468	753	457	594	653
474	243	362	141	307	495
475	657	492	750	498	410
476	725	231	143	242	422
477	230	106	245	54	529
478	474	246	681	675	257
479	647	153	113	230	569
480	652	124	276	786	193
481	57	502	32	281	109
482	612	76	293	790	223
483	279	84	220	4	597
484	60	321	752	760	691
485	663	489	399	775	181
486	411	285	509	375	29
487	703	464	129	478	521
488	110	257	731	793	351
489	785	604	502	262	546
490	92	136	751	452	669
491	288	760	753	326	96
492	697	391	235	177	240
493	122	625	86	396	634
494	581	116	628	56	192
495	791	431	488	199	101
496	431	728	594	727	74
497	497	470	225	114	652
498	17	32	280	442	717
499	545	569	671	315	297
500	257	737	24	203	458
501	760	183	29	86	372
502	471	692	673	102	625
503	501	145	234	363	784
