	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	571	549	395	554	491
101	533	413	6	194	732
102	263	375	396	310	435
103	254	427	39	309	547
104	502	237	798	195	16
105	566	409	400	742	416
106	498	59	405	557	427
107	567	767	37	322	490
108	260	65	35	24	771
109	179	357	535	29	786
110	537	798	34	584	63
111	216	68	421	356	468
112	406	4	4	3	521
113	739	69	797	585	764
114	403	453	2	793	519
115	606	71	796	171	48
116	329	352	131	791	84
117	407	397	149	578	454
118	146	448	134	589	453
119	496	9	148	341	92
120	338	381	51	173	93
121	760	789	8	785	532
122	358	36	772	783	534
123	177	428	67	183	450
124	364	376	150	160	43
125	787	374	766	15	511
126	371	422	765	777	537
127	165	47	69	333	750
128	584	436	761	330	784
129	783	757	778	380	105
130	561	420	114	772	726
131	376	756	779	771	622
132	758	23	84	326	554
133	780	367	87	382	249
134	778	754	107	383	259
135	377	20	108	179	261
136	194	784	30	205	262
137	772	361	16	181	361
138	770	16	12	781	596
139	158	384	11	419	359
140	199	360	759	728	269
141	596	389	106	422	272
142	28	433	555	525	345
143	761	211	158	468	601
144	779	465	372	219	602
145	325	167	377	471	648
146	225	168	379	472	280
147	416	548	635	682	366
148	240	171	627	221	286
149	456	550	413	94	606
150	83	554	414	474	337
151	458	179	416	511	336
152	245	558	422	121	335
153	685	249	425	673	329
154	684	636	608	689	307
155	91	245	607	671	308
156	679	165	472	228	614
157	284	631	475	505	632
158	471	236	478	483	314
159	473	626	479	247	629
160	112	229	482	503	327
161	111	620	488	104	326
162	275	225	491	660	324
163	100	583	497	105	643
164	259	584	501	106	369
165	269	218	505	489	669
166	665	209	515	243	239
167	488	605	538	234	412
168	660	212	552	254	154
169	490	628	647	542	402
170	658	159	735	259	712
171	293	265	357	692	711
172	735	156	335	48	621
173	636	727	171	50	563
174	236	726	726	294	170
175	137	87	177	729	175
176	420	93	183	727	399
177	615	341	186	425	184
178	423	719	188	724	396
179	495	472	719	137	189
180	721	474	189	287	394
181	319	479	207	620	569
182	622	104	220	431	698
183	55	324	253	537	195
184	57	598	258	260	373
185	523	304	263	61	581
186	63	300	265	281	226
187	128	689	273	275	678
188	234	299	278	628	224
189	627	296	279	271	377
190	443	508	280	702	134
191	125	143	281	269	222
192	65	523	288	268	684
193	69	524	289	266	216
194	520	283	297	128	576
195	519	154	667	696	211
196	447	529	301	694	575
197	633	276	657	349	573
198	238	349	653	440	220
199	577	490	0	166	400
200	331	7	387	400	509
201	546	513	214	404	425
202	43	11	393	512	544
203	314	458	391	405	429
204	304	60	211	510	527
205	333	449	209	414	529
206	551	402	593	376	538
207	297	403	204	428	444
208	576	407	598	502	463
209	294	86	385	438	446
210	588	411	565	442	436
211	563	416	225	498	505
212	299	560	244	492	459
213	326	77	245	450	545
214	534	545	546	486	395
215	292	454	547	457	398
216	541	72	360	477	477
217	340	543	563	476	403
218	574	541	366	432	488
219	573	539	243	527	404
220	341	426	551	389	417
221	38	430	326	362	476
222	320	538	368	374	571
223	300	61	237	355	472
224	535	442	241	351	555
225	288	544	238	538	415
226	597	164	764	551	549
227	543	795	793	360	566
228	328	2	358	531	502
229	453	792	359	367	122
230	745	94	62	344	111
231	747	790	58	373	615
232	94	84	373	357	618
233	460	73	5	479	87
234	77	107	57	555	768
235	384	67	367	482	758
236	140	66	456	6	670
237	133	110	55	560	770
238	581	163	341	495	795
239	762	774	455	465	2
240	62	749	751	611	570
241	792	52	442	125	21
242	605	38	743	55	598
243	591	150	43	536	26
244	290	161	784	27	34
245	4	21	776	32	540
246	132	123	48	33	539
247	95	103	445	86	609
248	439	314	495	534	62
249	442	183	722	79	68
250	10	637	252	768	139
251	444	634	539	47	610
252	298	418	140	749	76
253	450	421	541	49	773
254	435	424	248	521	79
255	150	437	152	590	80
256	218	441	157	763	144
257	733	614	163	463	188
258	193	467	242	159	628
259	196	482	239	144	301
260	197	417	533	377	590
261	198	486	558	639	696
262	351	497	181	257	655
263	687	592	581	690	418
264	21	511	582	270	691
265	202	588	618	371	688
266	695	586	617	368	322
267	350	518	616	278	685
268	223	519	614	645	328
269	25	581	587	285	682
270	656	525	213	363	659
271	672	577	203	677	680
272	528	489	229	305	660
273	670	178	322	314	408
274	530	410	256	348	351
275	46	390	127	325	664
276	680	187	720	347	294
277	734	724	75	634	264
278	696	224	717	462	260
279	504	247	77	233	710
280	732	700	477	224	487
281	383	278	78	614	746
282	311	280	312	149	166
283	470	696	708	461	167
284	375	693	707	458	180
285	52	282	489	156	381
286	31	645	260	158	192
287	479	688	89	735	734
288	699	564	94	336	751
289	86	317	498	163	470
290	167	680	104	446	200
291	365	325	507	184	465
292	168	329	510	192	205
293	318	354	268	719	208
294	710	358	521	201	640
295	642	359	677	208	232
296	322	378	674	210	447
297	184	386	673	215	252
298	162	292	292	704	199
299	81	799	407	272	798
300	347	431	433	168	151
301	15	483	411	92	155
302	491	425	410	324	157
303	493	488	376	799	162
304	717	475	440	480	165
305	497	263	448	424	171
306	181	526	401	427	183
307	467	401	454	444	129
308	768	348	457	565	185
309	134	233	386	445	193
310	342	232	384	448	194
311	506	383	380	563	197
312	754	230	408	449	206
313	705	351	327	453	240
314	36	239	417	553	241
315	706	227	293	478	244
316	796	585	591	331	250
317	737	221	583	490	251
318	27	353	543	493	253
319	7	217	298	548	191
320	715	373	600	547	258
321	763	208	270	540	128
322	722	580	304	421	120
323	6	346	309	420	4
324	232	572	568	530	15
325	663	565	314	574	20
326	349	251	266	332	23
327	176	344	559	334	28
328	355	542	604	579	32
329	357	252	262	354	38
330	360	536	549	366	40
331	361	399	554	573	50
332	372	345	283	387	53
333	382	400	556	381	125
334	386	243	259	397	54
335	387	240	436	18	67
336	391	257	3	37	71
337	393	547	597	753	75
338	397	3	435	111	97
339	401	331	195	1	99
340	409	439	197	594	101
341	345	372	644	10	112
342	410	444	748	572	115
343	344	786	612	569	117
344	192	30	610	96	119
345	233	741	390	758	60
346	226	396	275	34	278
347	224	751	788	95	283
348	222	782	208	85	284
349	268	385	781	764	480
350	271	760	46	14	485
351	274	387	215	775	486
352	277	347	403	556	492
353	279	773	637	559	497
354	206	48	767	561	498
355	204	81	443	790	504
356	291	207	91	17	506
357	295	452	427	124	515
358	195	555	217	564	543
359	307	556	221	11	473
360	182	246	26	66	558
361	54	160	13	661	580
362	412	641	450	131	582
363	159	640	679	237	585
364	103	170	469	241	597
365	570	568	132	242	600
366	572	152	175	418	608
367	102	235	517	413	625
368	585	175	138	407	630
369	607	619	522	282	633
370	608	578	557	394	642
371	616	615	512	288	565
372	619	220	151	290	471
373	625	606	156	299	464
374	630	604	529	300	460
375	643	199	530	311	290
376	652	172	160	342	296
377	657	732	531	340	297
378	662	533	319	433	300
379	564	139	689	703	305
380	161	315	662	708	311
381	106	308	706	631	313
382	536	466	661	136	316
383	421	303	284	610	320
384	425	102	732	143	321
385	432	294	100	146	331
386	151	707	362	504	352
387	449	105	355	150	358
388	451	140	352	167	367
389	454	287	724	130	379
390	144	113	723	466	384
391	466	685	721	172	389
392	484	124	112	177	390
393	494	679	487	188	393
394	503	129	490	625	397
395	509	132	348	626	423
396	514	522	494	713	438
397	122	666	660	627	439
398	544	692	741	454	646
399	522	393	344	691	797
400	154	459	780	81	689
401	306	138	21	734	30
402	620	136	28	89	177
403	527	148	769	90	787
404	575	181	32	725	210
405	569	182	33	103	212
406	512	336	68	112	77
407	513	226	73	651	781
408	107	262	142	409	218
409	461	264	750	648	223
410	559	268	746	256	227
411	558	269	82	591	12
412	557	273	95	650	723
413	109	285	98	583	233
414	123	288	113	577	238
415	395	289	205	263	11
416	553	196	728	568	1
417	446	195	116	567	788
418	550	194	122	277	153
419	373	316	716	550	744
420	113	320	714	549	88
421	524	321	123	280	65
422	147	323	80	539	767
423	526	326	206	535	90
424	117	477	412	286	61
425	228	135	216	526	59
426	381	405	409	520	94
427	388	133	394	501	96
428	105	88	523	320	107
429	580	594	527	327	761
430	511	89	619	481	31
431	529	579	615	338	759
432	92	569	611	345	110
433	609	563	347	350	130
434	171	562	316	358	755
435	174	108	675	451	754
436	598	111	340	435	140
437	457	114	576	426	146
438	505	118	345	402	147
439	90	507	550	252	150
440	486	503	346	600	747
441	612	516	561	0	719
442	419	487	334	251	246
443	353	131	432	630	579
444	354	491	795	605	715
445	356	130	566	637	428
446	172	664	458	624	437
447	485	561	224	245	650
448	101	646	285	223	455
449	793	328	452	193	456
450	489	644	493	203	481
451	741	460	465	641	483
452	430	639	664	191	635
453	120	464	652	218	484
454	12	24	650	250	493
455	786	190	240	619	494
456	130	632	670	646	426
457	127	573	267	222	496
458	752	302	639	229	507
459	776	574	235	670	517
460	239	627	463	313	523
461	243	469	466	46	528
462	469	92	749	295	541
463	157	473	545	776	553
464	394	79	775	25	591
465	227	785	754	779	556
466	256	596	363	642	587
467	725	83	375	662	560
468	334	234	499	789	564
469	335	668	25	411	613
470	188	180	24	655	414
471	89	342	485	169	411
472	611	144	365	488	380
473	604	438	338	53	267
474	411	125	569	213	268
475	452	708	223	284	270
476	93	146	201	599	706
477	207	710	669	711	574
478	654	711	230	108	703
479	459	712	187	255	288
480	283	415	232	100	700
481	352	715	656	720	299
482	531	718	255	118	302
483	280	501	286	93	303
484	276	44	631	698	312
485	362	722	302	588	315
486	210	153	308	209	333
487	688	34	135	248	679
488	565	155	625	261	677
489	434	33	710	262	350
490	50	657	622	238	354
491	462	510	620	127	355
492	257	674	613	74	360
493	253	654	330	566	363
494	716	528	332	70	667
495	251	28	730	545	368
496	152	45	343	113	372
497	465	356	574	622	375
498	64	41	745	84	257
499	429	607	471	587	277
500	689	406	328	784	198
501	155	796	121	794	362
502	674	176	118	792	46
503	675	51	128	663	14
