	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	346	284	309	217
33	276	351	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	392	366	366	253
37	325	403	368	367	257
38	326	412	383	381	260
39	337	428	384	399	264
40	355	431	393	404	269
41	367	456	400	436	287
42	378	462	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	467	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	509	490	372
49	432	548	512	498	421
50	449	565	540	502	426
51	454	598	542	516	431
52	455	617	545	518	434
53	457	618	548	524	480
54	463	620	554	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	483	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	541
63	531	707	661	634	543
64	564	713	676	638	579
65	572	718	683	644	592
66	590	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	660	949	389	776	273
101	541	646	700	560	813
102	495	719	237	767	710
103	754	27	767	954	869
104	210	925	26	284	396
105	770	199	302	12	799
106	253	278	782	422	105
107	297	631	530	905	954
108	538	692	218	432	50
109	698	630	802	125	850
110	420	639	31	468	856
111	117	812	989	588	642
112	979	405	433	328	809
113	614	686	937	938	462
114	260	843	136	989	774
115	905	87	382	988	781
116	841	425	769	809	801
117	752	519	536	614	943
118	972	417	246	541	104
119	618	514	520	986	944
120	445	44	327	762	843
121	915	118	789	443	807
122	801	722	800	923	451
123	931	404	742	526	101
124	402	409	487	430	342
125	48	399	930	960	215
126	294	679	968	163	163
127	246	614	898	993	158
128	848	635	288	714	727
129	648	534	352	977	669
130	916	42	593	553	97
131	953	124	333	865	724
132	274	364	293	456	935
133	328	880	973	301	87
134	273	926	725	423	886
135	924	349	969	576	988
136	65	774	33	990	558
137	691	43	32	558	371
138	338	248	408	773	676
139	252	485	690	525	356
140	84	533	380	890	556
141	195	999	287	961	842
142	161	71	889	532	916
143	469	306	504	625	733
144	955	619	657	965	370
145	706	494	513	722	60
146	292	103	533	782	912
147	796	226	122	750	875
148	56	163	324	127	132
149	613	571	154	396	898
150	682	794	953	235	78
151	523	197	687	104	604
152	562	668	290	734	601
153	895	711	496	400	860
154	108	100	300	978	110
155	852	186	707	172	126
156	305	99	913	921	295
157	352	501	895	403	57
158	551	749	1	424	892
159	0	39	996	926	283
160	522	275	935	743	933
161	599	758	127	941	102
162	414	212	179	407	51
163	605	273	577	601	529
164	166	411	952	356	694
165	795	213	699	949	812
166	918	727	265	359	992
167	930	827	638	362	700
168	798	556	490	928	44
169	899	326	130	673	120
170	444	322	587	369	499
171	139	819	678	342	977
172	438	183	595	878	481
173	792	597	912	775	18
174	747	234	232	947	684
175	504	457	250	539	662
176	975	353	190	730	866
177	436	816	947	159	233
178	524	833	222	167	576
179	191	6	870	564	705
180	617	899	680	132	219
181	913	554	217	245	166
182	813	277	879	835	521
183	780	471	693	948	947
184	546	547	514	68	667
185	684	905	229	199	207
186	992	990	811	36	300
187	241	11	882	274	337
188	863	568	197	389	171
189	565	767	24	136	175
190	877	799	14	145	86
191	984	198	155	681	190
192	987	341	781	677	119
193	939	786	209	414	129
194	135	535	903	834	557
195	927	396	958	141	164
196	917	274	312	185	41
197	865	211	892	527	689
198	154	236	365	101	772
199	482	196	313	467	313
200	104	781	188	856	552
201	47	16	395	64	650
202	559	567	177	620	972
203	715	706	144	602	334
204	113	435	451	178	330
205	673	540	460	537	976
206	806	225	65	171	323
207	83	482	317	812	20
208	202	624	458	270	525
209	201	607	219	388	37
210	363	380	718	984	483
211	179	8	442	616	822
212	222	509	681	581	893
213	487	304	254	629	731
214	727	137	906	723	194
215	256	695	872	632	472
216	309	395	846	63	494
217	311	147	563	226	278
218	692	333	151	523	882
219	279	643	473	97	767
220	109	699	96	53	981
221	357	208	319	385	411
222	73	256	722	864	331
223	942	889	120	605	570
224	173	80	455	820	281
225	638	957	22	618	591
226	116	897	150	810	99
227	466	839	444	278	931
228	96	609	141	507	984
229	193	555	385	224	588
230	665	656	112	447	52
231	974	465	450	40	339
232	19	106	205	747	919
233	719	445	777	482	198
234	145	222	12	440	770
235	532	64	582	770	263
236	809	182	709	499	584
237	933	264	454	488	383
238	592	865	982	680	927
239	632	867	71	846	946
240	94	189	891	758	718
241	232	143	409	152	390
242	492	929	185	848	878
243	258	207	276	738	369
244	836	372	448	571	720
245	485	589	85	221	21
246	365	569	984	180	96
247	439	280	350	609	602
248	999	424	531	778	844
249	390	303	518	911	626
250	427	318	899	800	124
251	473	382	355	647	950
252	853	961	492	332	674
253	221	821	765	881	796
254	389	780	855	953	749
255	625	184	309	233	352
256	751	230	459	858	203
257	651	777	599	56	316
258	303	339	23	149	174
259	218	625	426	521	921
260	34	245	55	351	455
261	573	561	19	236	433
262	137	448	896	674	805
263	60	107	860	419	952
264	936	466	331	319	24
265	204	3	871	192	577
266	837	93	816	27	399
267	884	48	420	58	325
268	394	823	766	751	54
269	653	903	178	343	115
270	764	538	737	533	367
271	794	890	967	528	582
272	544	17	664	46	493
273	957	468	862	9	251
274	52	167	524	31	965
275	645	648	369	212	512
276	91	566	397	508	668
277	921	169	588	889	68
278	996	627	347	20	154
279	370	241	238	71	686
280	189	251	679	345	429
281	134	983	897	551	948
282	811	803	90	874	797
283	354	685	927	157	80
284	235	29	17	700	542
285	633	260	117	387	888
286	593	172	432	0	974
287	886	756	735	162	366
288	484	873	279	330	641
289	286	9	39	397	932
290	769	757	70	785	635
291	516	851	574	832	665
292	929	806	714	639	755
293	296	834	332	603	791
294	664	97	743	689	438
295	324	572	430	830	153
296	320	469	578	340	706
297	111	416	831	766	350
298	608	223	240	90	30
299	695	57	506	344	823
300	409	789	61	985	209
301	777	18	515	493	610
302	57	943	281	753	36
303	49	54	684	818	272
304	271	798	106	266	321
305	830	522	712	642	716
306	417	553	225	967	11
307	452	902	686	914	528
308	322	401	517	973	147
309	649	155	304	66	598
310	51	233	731	476	586
311	872	814	553	863	4
312	40	319	298	466	234
313	968	660	493	589	457
314	192	673	494	789	611
315	172	896	966	241	131
316	705	764	795	903	405
317	521	928	124	826	518
318	977	14	918	545	303
319	413	101	586	682	696
320	184	291	212	807	900
321	543	825	328	703	226
322	249	136	89	65	894
323	78	575	501	513	91
324	944	125	9	792	533
325	331	31	979	510	532
326	783	426	488	663	659
327	106	286	83	402	333
328	85	500	843	451	180
329	552	220	539	522	867
330	153	69	479	474	754
331	606	742	994	897	439
332	72	301	404	824	901
333	849	787	220	683	224
334	732	175	931	165	232
335	220	917	81	124	332
336	636	954	615	574	489
337	17	981	97	630	312
338	447	91	152	511	653
339	550	885	778	828	740
340	369	26	560	707	490
341	498	955	274	176	825
342	433	231	376	315	760
343	578	605	137	752	515
344	766	354	627	286	639
345	384	440	941	569	338
346	536	715	651	550	682
347	637	490	543	401	969
348	130	628	292	640	785
349	729	585	116	122	938
350	13	499	729	449	476
351	756	473	381	556	72
352	323	348	244	187	597
353	700	633	527	293	544
354	456	474	995	939	629
355	822	201	412	765	991
356	239	832	15	816	491
357	566	177	167	347	834
358	118	545	2	338	113
359	138	114	519	535	98
360	330	238	695	61	424
361	494	694	934	690	761
362	938	852	421	908	792
363	776	140	320	617	847
364	771	419	758	992	735
365	281	239	922	76	368
366	815	596	431	970	955
367	960	373	360	555	815
368	945	484	394	861	871
369	879	579	336	724	205
370	128	795	125	702	595
371	548	669	351	471	881
372	76	298	0	442	973
373	477	601	345	272	183
374	262	606	784	711	646
375	963	900	357	194	502
376	950	582	416	980	702
377	790	240	859	552	428
378	437	754	208	72	548
379	582	28	741	664	507
380	676	433	7	69	144
381	828	266	773	643	980
382	291	423	948	285	519
383	59	590	268	74	15
384	506	769	391	186	708
385	709	126	66	394	911
386	267	663	885	105	456
387	988	34	406	855	707
388	711	340	620	130	590
389	198	381	942	894	95
390	787	507	962	189	578
391	300	664	452	726	837
392	382	283	786	484	294
393	99	453	286	311	773
394	69	391	41	570	565
395	431	329	902	232	998
396	887	378	108	718	307
397	839	536	47	195	6
398	387	729	671	862	362
399	753	878	971	246	520
400	126	296	123	416	197
401	961	709	715	631	522
402	902	737	990	859	904
403	361	388	48	671	908
404	272	192	3	420	862
405	962	782	173	102	375
406	415	7	314	275	748
407	609	37	752	822	829
408	845	384	44	220	600
409	597	132	833	636	117
410	670	517	905	271	511
411	772	676	414	320	225
412	120	297	176	121	987
413	269	870	817	805	165
414	478	292	343	501	826
415	851	940	673	35	623
416	11	530	826	223	227
417	136	724	602	29	212
418	650	771	883	139	599
419	745	710	161	491	657
420	731	859	145	372	348
421	763	779	104	179	16
422	250	651	403	623	458
423	503	102	670	307	151
424	24	559	768	259	715
425	408	964	256	75	734
426	843	708	537	382	824
427	29	217	354	418	376
428	755	170	296	648	963
429	401	877	791	452	181
430	943	793	986	661	0
431	493	282	10	202	308
432	640	836	691	795	979
433	604	914	407	377	698
434	685	374	621	814	238
435	873	544	374	964	647
436	854	398	425	892	835
437	515	908	970	354	440
438	576	515	326	196	373
439	724	863	630	26	271
440	855	45	672	888	994
441	701	563	318	310	849
442	834	976	706	17	418
443	75	279	339	929	839
444	671	389	35	47	31
445	182	320	573	799	315
446	537	557	837	787	133
447	464	477	418	337	267
448	739	60	77	693	19
449	23	857	28	170	497
450	919	427	261	352	940
451	661	901	652	684	603
452	283	472	863	763	35
453	362	979	835	240	77
454	368	904	581	33	266
455	101	886	115	169	391
456	914	701	349	45	820
457	115	525	305	655	394
458	460	377	853	772	677
459	912	195	590	158	116
460	725	784	505	415	550
461	534	952	856	312	685
462	396	772	648	543	284
463	18	350	38	303	630
464	356	860	469	410	279
465	314	281	865	877	143
466	93	802	499	164	148
467	45	600	557	426	127
468	119	652	264	562	289
469	380	219	6	853	407
470	448	933	398	790	62
471	748	720	655	262	573
472	826	987	100	657	258
473	704	992	271	916	726
474	284	78	649	685	365
475	615	310	266	374	751
476	657	703	422	103	446
477	121	347	867	667	930
478	150	599	311	302	836
479	318	869	624	720	358
480	441	20	294	2	345
481	683	295	358	333	213
482	542	714	401	408	85
483	510	410	159	633	63
484	4	73	951	142	452
485	925	726	798	857	125
486	480	55	248	16	800
487	245	644	920	887	414
488	666	504	639	732	28
489	784	156	579	575	353
490	411	459	869	478	924
491	496	436	785	786	317
492	980	938	198	666	247
493	142	383	552	231	43
494	696	971	73	788	923
495	476	4	283	883	79
496	336	753	29	154	531
497	131	363	194	704	14
498	288	160	576	50	435
499	376	362	72	393	978
500	818	972	171	729	419
501	155	997	399	111	252
502	982	464	187	129	634
503	187	923	755	361	606
504	513	161	858	540	655
505	679	975	793	297	159
506	571	444	335	924	594
507	107	385	461	688	714
508	856	550	235	94	818
509	721	613	747	761	379
510	86	506	810	479	616
511	360	470	465	379	644
512	708	678	919	504	437
513	398	736	223	530	615
514	458	521	568	454	241
515	140	755	949	698	501
516	254	584	534	98	167
517	954	344	510	3	723
518	164	181	660	14	535
519	797	702	489	728	920
520	969	455	500	54	786
521	310	130	378	983	374
522	907	415	779	364	652
523	643	945	477	174	393
524	418	884	361	135	851
525	162	70	475	836	560
526	744	127	957	215	736
527	596	174	275	282	617
528	224	263	546	759	583
529	149	30	363	870	359
530	8	875	612	997	155
531	248	574	138	49	182
532	603	35	697	425	150
533	30	717	485	464	757
534	39	75	916	88	581
535	428	202	874	577	386
536	760	332	453	137	229
537	642	24	195	446	408
538	146	941	814	597	280
539	92	968	86	880	587
540	359	307	199	966	997
541	341	365	8	815	853
542	735	376	828	373	874
543	22	159	881	386	326
544	779	368	796	106	506
545	435	580	806	67	157
546	68	531	956	193	447
547	923	10	37	346	985
548	247	854	924	248	759
549	519	611	269	42	27
550	810	285	215	721	40
551	703	546	132	95	922
552	579	655	50	336	810
553	393	343	186	760	816
554	430	62	575	962	231
555	20	804	739	780	838
556	46	888	566	214	242
557	842	610	988	737	631
558	342	315	820	316	897
559	906	883	87	594	567
560	647	978	852	891	790
561	850	128	491	557	562
562	835	906	774	860	745
563	717	797	180	998	384
564	983	379	438	909	239
565	885	766	580	619	74
566	568	115	231	250	301
567	556	743	677	867	739
568	535	996	682	324	135
569	549	649	618	563	378
570	511	370	5	593	67
571	32	227	119	736	613
572	180	49	607	267	658
573	821	481	570	670	277
574	350	486	637	395	986
575	778	892	598	295	249
576	611	258	341	392	728
577	348	672	202	817	811
578	678	497	36	741	670
579	687	420	359	412	410
580	690	529	325	872	240
581	358	539	157	709	210
582	334	505	40	304	887
583	9	759	884	260	363
584	990	658	230	296	282
585	629	674	877	255	628
586	878	594	830	793	65
587	298	951	654	239	1
588	941	496	611	225	318
589	265	721	756	968	769
590	774	2	728	355	100
591	163	725	868	957	802
592	351	739	299	600	555
593	62	243	390	207	513
594	321	770	623	999	697
595	740	696	821	942	140
596	998	991	184	78	763
597	734	683	850	514	201
598	958	84	277	441	302
599	234	90	824	913	780
600	89	831	27	383	608
601	928	312	4	370	53
602	123	94	825	43	265
603	160	95	659	946	680
604	440	746	643	317	189
605	194	634	353	635	478
606	467	959	628	222	61
607	970	723	983	705	534
608	343	815	633	917	139
609	347	844	245	512	803
610	587	847	646	974	364
611	967	442	600	197	328
612	170	142	162	567	636
613	934	131	111	108	196
614	329	818	181	806	179
615	50	578	526	229	327
616	762	36	619	110	571
617	896	430	532	15	510
618	486	994	146	146	64
619	216	879	626	153	46
620	881	293	667	305	732
621	308	907	668	692	415
622	901	205	864	876	432
623	722	134	67	945	756
624	555	704	900	871	827
625	230	586	841	38	246
626	726	314	193	958	176
627	190	288	133	184	88
628	681	980	470	604	121
629	74	783	904	439	612
630	446	421	131	710	828
631	668	113	95	991	855
632	908	259	909	500	549
633	15	511	559	227	681
634	569	58	200	34	753
635	67	434	34	496	469
636	743	687	109	536	589
637	602	88	813	893	675
638	61	642	165	652	466
639	883	934	262	349	417
640	716	139	888	30	699
641	527	439	981	869	228
642	168	820	428	256	663
643	759	120	228	462	614
644	641	451	321	561	572
645	558	81	842	300	309
646	710	487	516	950	870
647	293	675	372	538	808
648	654	146	221	148	909
649	152	357	474	982	73
650	98	551	417	951	857
651	133	173	631	656	989
652	768	38	211	213	259
653	100	289	375	405	59
654	570	21	666	238	958
655	379	203	650	421	335
656	634	895	289	934	775
657	658	150	387	156	703
658	697	361	857	460	400
659	346	512	974	280	831
660	749	489	472	952	672
661	517	89	558	109	25
662	386	438	64	22	942
663	340	85	270	831	962
664	799	334	247	406	285
665	377	302	601	735	255
666	804	331	224	92	691
667	2	503	419	902	357
668	410	450	481	445	762
669	612	261	851	48	311
670	577	413	233	183	92
671	472	830	746	596	39
672	206	636	166	719	939
673	422	77	569	995	188
674	151	615	763	83	270
675	580	209	844	453	406
676	175	841	721	216	717
677	207	740	616	610	47
678	583	874	701	794	596
679	840	366	622	497	463
680	147	158	322	591	554
681	299	915	675	975	459
682	785	488	386	208	523
683	105	145	429	492	214
684	832	242	507	595	960
685	728	716	625	206	425
686	405	92	901	209	524
687	289	187	932	823	93
688	817	247	392	505	764
689	391	153	880	314	885
690	646	12	762	204	445
691	773	845	704	641	624
692	268	939	547	138	750
693	978	817	944	335	845
694	144	932	251	265	896
695	663	429	827	268	547
696	847	920	252	203	290
697	122	498	606	294	484
698	956	937	890	583	859
699	871	912	113	981	465
700	932	850	866	134	403
701	742	330	776	838	854
702	335	848	921	868	82
703	540	23	653	323	993
704	553	549	925	678	661
705	488	864	754	839	551
706	844	935	435	517	200
707	712	59	468	653	235
708	171	698	876	918	402
709	217	5	348	875	561
710	694	564	129	819	324
711	287	407	730	291	468
712	966	650	13	173	397
713	176	626	242	943	346
714	529	443	961	725	385
715	306	56	367	481	500
716	868	647	308	181	230
717	317	371	216	5	744
718	259	508	503	427	656
719	143	966	291	334	621
720	539	697	608	13	336
721	971	262	523	959	903
722	545	327	803	586	505
723	251	842	893	612	138
724	563	33	603	495	427
725	807	918	771	140	161
726	375	591	689	955	585
727	713	276	792	554	693
728	450	761	764	168	453
729	55	581	11	672	450
730	620	185	25	218	953
731	205	358	965	520	211
732	290	210	364	8	503
733	43	809	497	327	288
734	442	593	933	879	122
735	667	622	609	269	498
736	567	204	107	660	416
737	528	645	449	380	422
738	574	162	665	920	784
739	345	406	929	41	473
740	808	562	720	910	848
741	659	638	21	572	168
742	228	898	964	547	297
743	866	63	94	549	907
744	761	313	84	847	412
745	594	82	963	802	890
746	741	446	790	371	975
747	77	911	272	585	221
748	997	738	669	701	236
749	616	592	561	306	841
750	508	135	662	713	913
751	474	308	840	882	971
752	275	76	696	748	814
753	502	837	102	237	846
754	471	741	926	91	482
755	429	83	998	258	840
756	861	337	502	434	329
757	42	922	592	840	268
758	7	437	51	972	917
759	781	46	829	669	467
760	114	193	585	257	495
761	244	849	950	768	464
762	465	355	285	219	832
763	624	495	148	411	575
764	373	944	443	940	910
765	803	862	645	87	460
766	584	680	849	147	292
767	627	677	797	796	377
768	833	480	169	509	804
769	261	325	423	461	299
770	307	441	805	566	109
771	805	807	775	686	388
772	812	461	801	808	395
773	295	993	733	254	206
774	443	454	887	191	868
775	54	985	911	829	752
776	371	164	936	475	607
777	619	542	528	160	995
778	424	449	486	37	622
779	353	705	976	81	876
780	800	360	613	80	819
781	349	491	402	57	559
782	196	560	356	409	112
783	985	731	447	448	479
784	28	478	201	82	322
785	525	228	713	112	889
786	461	516	160	529	970
787	922	982	635	621	949
788	70	919	213	470	413
789	462	206	172	907	564
790	301	321	52	463	208
791	434	573	214	457	22
792	662	200	788	963	688
793	621	948	629	544	276
794	53	68	993	126	964
795	404	745	658	253	398
796	103	475	158	143	387
797	215	608	344	757	441
798	588	51	591	659	605
799	280	149	134	937	530
