	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	530	763	311	619	218
101	437	520	558	448	647
102	402	577	194	612	566
103	607	24	610	760	696
104	168	742	23	229	317
105	621	157	243	6	634
106	199	220	622	337	84
107	238	507	420	722	764
108	434	553	176	344	36
109	561	506	640	93	681
110	337	514	27	373	686
111	95	649	792	471	516
112	783	321	348	263	643
113	496	549	752	745	369
114	206	675	112	791	617
115	719	72	305	790	622
116	679	337	612	644	636
117	605	418	425	489	755
118	778	331	200	432	83
119	500	414	414	789	756
120	359	40	264	608	674
121	728	97	628	351	641
122	649	580	638	736	360
123	742	320	593	419	80
124	325	324	385	343	275
125	37	317	745	766	171
126	235	545	776	126	129
127	192	493	719	795	126
128	685	510	232	572	578
129	521	428	281	781	535
130	729	38	468	442	76
131	760	100	268	689	576
132	218	289	237	362	750
133	263	706	780	242	68
134	217	743	578	338	708
135	736	277	777	462	789
136	52	621	29	792	446
137	554	39	28	447	297
138	271	196	328	617	540
139	198	390	550	418	283
140	69	427	303	711	444
141	157	799	231	767	673
142	131	60	710	424	734
143	379	242	400	498	582
144	762	497	520	771	296
145	568	397	407	577	46
146	233	87	423	623	731
147	644	179	100	599	701
148	45	131	261	95	107
149	495	460	124	314	719
150	547	637	764	189	61
151	421	155	547	79	485
152	453	535	234	587	482
153	714	570	393	317	689
154	88	84	242	782	88
155	689	147	563	135	102
156	244	83	732	735	235
157	283	404	716	320	43
158	446	601	1	339	713
159	0	36	798	738	226
160	420	217	750	594	749
161	484	609	104	748	81
162	333	170	144	324	37
163	488	215	453	480	423
164	136	326	763	286	554
165	643	171	557	755	646
166	731	585	212	287	792
167	741	662	504	289	559
168	646	447	388	740	32
169	716	258	107	539	97
170	358	255	462	293	398
171	113	656	539	275	780
172	352	144	469	700	383
173	641	480	731	618	12
174	601	185	190	753	545
175	407	366	203	430	530
176	780	280	153	584	693
177	350	653	758	123	186
178	422	667	180	130	459
179	153	5	693	452	562
180	499	722	541	98	174
181	726	445	175	199	132
182	660	219	701	667	416
183	630	377	552	754	758
184	442	439	408	51	533
185	549	728	187	161	163
186	793	792	647	24	238
187	188	10	704	223	270
188	696	458	159	309	137
189	456	615	21	102	139
190	703	641	14	111	67
191	787	156	125	546	151
192	790	270	621	542	96
193	750	631	167	330	105
194	109	429	724	666	445
195	738	315	767	107	130
196	730	216	251	148	30
197	697	169	713	420	549
198	127	186	293	76	615
199	391	154	252	372	249
200	84	627	152	680	441
201	36	14	317	47	521
202	452	457	142	494	775
203	575	565	116	481	267
204	91	346	360	141	263
205	541	433	367	428	779
206	653	178	52	134	256
207	68	387	255	646	14
208	162	501	365	220	420
209	161	487	177	308	27
210	294	303	572	787	385
211	145	7	353	490	655
212	177	411	542	465	714
213	396	241	206	501	580
214	584	111	727	578	153
215	202	555	695	504	377
216	248	314	672	46	394
217	250	118	443	183	221
218	555	264	122	416	706
219	222	517	376	74	612
220	89	559	77	39	784
221	288	166	257	305	329
222	60	204	576	688	264
223	753	712	98	484	454
224	141	66	364	653	224
225	513	769	19	492	473
226	94	720	121	645	78
227	377	672	355	226	747
228	78	489	115	402	785
229	155	446	308	181	470
230	535	529	90	355	38
231	779	372	359	27	272
232	16	88	165	596	736
233	578	356	618	383	156
234	119	176	12	348	614
235	429	56	458	614	208
236	656	143	565	396	466
237	744	212	363	387	306
238	477	693	786	545	744
239	508	695	56	673	757
240	77	150	712	604	573
241	182	115	329	117	312
242	399	745	149	675	703
243	204	165	222	591	295
244	675	295	357	458	574
245	394	473	68	178	15
246	295	459	788	143	75
247	353	222	279	486	483
248	799	336	421	620	675
249	315	240	412	727	502
250	341	251	720	637	100
251	383	305	284	516	761
252	690	772	390	266	538
253	176	658	608	703	632
254	314	626	678	759	595
255	505	145	248	188	281
256	604	182	366	682	159
257	524	623	471	41	251
258	243	268	20	115	138
259	174	502	342	414	738
260	28	194	46	282	363
261	464	451	17	190	348
262	111	358	717	540	640
263	49	89	683	334	762
264	747	373	266	258	18
265	164	2	694	155	460
266	676	78	650	16	320
267	709	43	337	43	258
268	319	659	609	600	40
269	525	726	143	276	92
270	616	431	589	425	293
271	642	713	775	421	464
272	440	15	526	33	393
273	764	374	685	5	200
274	41	133	416	19	771
275	518	522	297	170	410
276	74	456	318	403	534
277	733	134	463	710	54
278	796	504	276	13	122
279	299	190	195	53	547
280	151	199	540	278	345
281	108	788	718	440	759
282	658	643	73	696	633
283	285	548	743	121	63
284	184	26	16	560	433
285	509	208	95	307	710
286	478	136	347	0	777
287	711	607	587	125	292
288	393	699	224	265	515
289	227	8	35	315	748
290	620	608	55	624	510
291	415	683	450	664	532
292	740	645	568	510	601
293	237	668	267	482	629
294	534	81	594	554	352
295	260	461	345	662	121
296	256	375	454	274	563
297	90	330	662	611	280
298	490	177	196	68	22
299	558	50	402	277	656
300	329	634	48	788	165
301	627	16	409	391	490
302	46	758	225	602	26
303	38	47	545	651	217
304	215	640	84	216	254
305	670	421	566	513	571
306	335	444	183	773	7
307	365	725	546	729	422
308	258	318	411	777	117
309	522	124	244	49	479
310	40	184	583	378	468
311	701	651	436	687	2
312	31	252	240	371	187
313	774	531	391	472	365
314	154	539	392	628	491
315	140	719	774	195	106
316	567	613	634	720	324
317	419	744	102	658	413
318	781	13	735	435	241
319	332	85	461	547	555
320	148	231	170	642	721
321	439	661	265	563	179
322	195	110	72	48	715
323	65	464	397	408	71
324	755	101	9	630	427
325	266	28	784	405	426
326	633	338	386	530	528
327	86	227	66	319	266
328	70	403	670	358	144
329	447	175	427	415	694
330	126	58	380	376	600
331	489	596	796	716	353
332	59	238	325	656	722
333	686	632	178	548	177
334	589	139	746	128	185
335	175	736	65	92	265
336	511	766	484	460	389
337	14	786	78	502	248
338	361	76	123	406	523
339	445	709	619	660	588
340	298	23	441	566	390
341	404	767	220	139	658
342	347	183	301	255	606
343	468	485	113	601	412
344	618	281	495	231	513
345	310	351	753	456	271
346	432	573	514	439	544
347	512	395	430	318	772
348	105	505	236	511	625
349	586	471	94	90	751
350	11	402	581	357	379
351	609	379	304	445	57
352	259	276	198	150	478
353	563	508	418	234	435
354	368	380	797	746	505
355	666	159	330	610	791
356	187	666	15	649	391
357	457	140	135	280	665
358	96	437	2	272	91
359	112	93	413	426	77
360	265	187	554	45	340
361	401	554	749	555	607
362	749	684	338	724	630
363	626	113	258	491	678
364	622	332	604	794	584
365	224	188	739	57	294
366	661	479	346	775	765
367	767	296	289	444	649
368	756	389	316	685	698
369	705	466	270	579	161
370	103	638	103	562	476
371	443	536	280	375	705
372	63	237	0	350	776
373	387	484	275	222	147
374	208	486	624	569	519
375	770	723	286	157	401
376	758	469	333	783	560
377	639	189	682	441	344
378	351	605	166	54	437
379	471	25	592	531	405
380	543	344	7	52	116
381	669	213	614	514	783
382	232	335	759	230	414
383	48	474	214	55	10
384	408	617	313	149	565
385	570	102	53	312	730
386	211	532	707	80	364
387	791	31	326	679	564
388	572	269	488	97	472
389	159	304	754	715	74
390	636	409	770	152	461
391	241	533	361	581	668
392	309	225	626	385	234
393	80	362	230	251	616
394	56	312	37	457	452
395	345	260	723	187	798
396	712	301	86	573	244
397	677	430	41	158	4
398	312	586	533	686	288
399	606	704	779	200	415
400	102	235	101	332	155
401	768	568	569	503	417
402	718	591	793	683	724
403	292	309	42	537	727
404	216	151	3	335	691
405	769	628	140	77	301
406	334	6	253	224	594
407	491	34	600	654	662
408	683	307	39	177	481
409	482	107	663	508	94
410	539	417	726	221	409
411	623	542	332	259	178
412	98	236	141	89	788
413	213	697	651	640	131
414	388	232	273	398	659
415	688	756	535	23	500
416	10	425	657	180	180
417	110	582	474	17	168
418	523	619	705	105	480
419	599	569	131	389	526
420	588	688	117	296	279
421	615	625	82	142	11
422	196	525	324	497	366
423	406	86	532	248	120
424	21	449	611	210	570
425	328	773	207	56	583
426	681	567	426	303	657
427	25	172	283	333	302
428	608	135	239	517	769
429	324	703	630	359	145
430	754	636	789	528	0
431	400	224	10	163	245
432	514	669	551	633	782
433	487	734	327	299	557
434	550	297	489	647	191
435	702	436	299	770	520
436	691	316	341	713	666
437	414	731	778	284	354
438	466	415	263	159	299
439	581	691	498	15	216
440	692	41	534	709	794
441	564	453	256	250	680
442	673	782	562	11	336
443	62	221	271	741	670
444	540	310	31	34	23
445	147	253	449	636	250
446	433	448	665	626	108
447	375	383	335	271	212
448	593	53	62	557	13
449	20	686	25	133	396
450	732	339	208	283	753
451	531	724	515	549	484
452	225	378	686	609	25
453	293	784	664	194	60
454	297	727	457	21	211
455	82	710	93	132	313
456	727	560	278	32	653
457	93	422	245	523	315
458	371	300	677	616	541
459	725	153	465	122	93
460	582	630	401	331	439
461	430	765	679	252	546
462	320	620	511	433	227
463	15	278	34	244	506
464	287	689	372	327	222
465	251	223	688	699	115
466	76	642	395	127	118
467	34	483	438	341	103
468	97	526	211	450	231
469	307	174	6	677	326
470	362	749	319	629	48
471	602	578	518	213	457
472	668	790	80	525	205
473	566	794	217	731	577
474	226	65	512	550	291
475	497	245	213	298	597
476	527	562	339	78	357
477	99	275	690	534	746
478	123	482	250	243	667
479	254	696	492	575	285
480	355	18	238	1	277
481	548	234	287	267	169
482	438	572	322	325	66
483	410	325	129	505	49
484	4	61	762	108	361
485	737	584	637	681	101
486	390	48	202	10	635
487	191	518	737	708	332
488	536	406	505	585	21
489	634	125	455	461	282
490	331	367	692	380	741
491	403	347	625	625	252
492	784	754	160	533	198
493	116	306	435	186	31
494	559	778	58	627	740
495	386	3	227	705	62
496	269	604	26	119	425
497	106	288	157	564	9
498	229	128	452	37	350
499	303	287	57	311	781
500	663	779	138	583	337
501	128	798	320	85	201
502	785	371	151	96	509
503	150	741	602	288	487
