	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	346	284	309	217
33	276	351	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	392	366	366	253
37	325	403	368	367	257
38	326	412	383	381	260
39	337	428	384	399	264
40	355	431	393	404	269
41	367	456	400	436	287
42	378	462	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	467	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	509	490	372
49	432	548	512	498	421
50	449	565	540	502	426
51	454	598	542	516	431
52	455	617	545	518	434
53	457	618	548	524	480
54	463	620	554	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	483	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	541
63	531	707	661	634	543
64	564	713	676	638	579
65	572	718	683	644	592
66	590	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	446	318	237	206	512
101	160	199	976	954	40
102	34	729	274	403	161
103	194	521	251	830	247
104	59	627	543	881	452
105	913	976	232	172	196
106	914	920	458	48	734
107	584	704	0	145	239
108	193	928	492	902	407
109	809	196	443	196	809
110	729	611	883	221	479
111	917	809	354	323	680
112	107	407	195	285	935
113	616	347	425	481	60
114	409	279	313	567	483
115	61	327	444	266	502
116	968	132	633	585	446
117	437	787	36	678	699
118	248	499	611	822	388
119	51	427	603	400	854
120	770	579	730	397	523
121	357	366	398	47	416
122	606	63	766	951	334
123	116	497	134	564	599
124	232	21	631	239	143
125	352	609	864	677	644
126	29	416	21	275	290
127	417	638	34	673	315
128	28	286	986	466	874
129	957	798	256	81	348
130	152	777	762	730	533
131	476	313	180	747	397
132	54	964	254	840	762
133	493	585	41	955	464
134	704	51	503	602	125
135	217	549	911	127	611
136	638	830	899	193	79
137	762	742	559	751	998
138	134	353	407	422	384
139	271	601	71	882	797
140	705	278	116	336	363
141	150	155	17	475	376
142	279	210	880	181	841
143	769	890	133	858	16
144	488	172	350	828	408
145	741	248	320	909	635
146	921	10	293	0	165
147	990	350	570	346	669
148	833	482	360	317	705
149	105	306	81	65	750
150	657	301	395	863	419
151	633	630	155	541	435
152	250	384	311	90	44
153	444	169	39	526	518
154	983	845	222	703	402
155	436	417	325	237	122
156	690	59	639	510	630
157	422	743	519	766	774
158	620	519	188	500	394
159	39	806	489	549	307
160	683	385	402	633	754
161	671	859	215	601	770
162	740	509	418	493	745
163	642	907	448	661	551
164	293	955	343	134	352
165	701	631	48	165	547
166	452	546	840	625	57
167	373	441	505	227	63
168	216	11	389	385	150
169	682	516	160	162	455
170	604	496	590	8	686
171	556	645	394	280	385
172	155	231	679	138	207
173	661	658	534	770	151
174	135	701	106	347	506
175	553	107	248	124	211
176	472	238	502	743	138
177	119	503	984	187	284
178	398	71	403	453	988
179	803	187	670	911	281
180	244	401	235	332	453
181	196	685	193	907	842
182	448	183	652	952	927
183	245	466	811	71	484
184	907	475	33	111	411
185	513	227	520	16	657
186	143	263	96	122	391
187	379	379	264	248	650
188	766	633	964	142	441
189	969	189	746	910	258
190	700	193	602	509	101
191	146	368	678	443	670
192	881	625	905	807	1
193	8	206	449	284	31
194	447	534	585	394	417
195	272	236	35	537	684
196	784	73	332	74	836
197	330	343	90	257	439
198	65	779	231	501	459
199	950	298	969	657	214
200	519	147	920	482	529
201	348	643	742	550	279
202	954	92	989	240	503
203	679	607	238	222	528
204	779	251	10	448	163
205	274	36	319	218	554
206	30	599	365	474	201
207	92	200	285	470	931
208	17	177	967	977	890
209	67	34	247	324	447
210	546	944	279	780	677
211	487	114	874	714	952
212	614	464	507	449	285
213	342	465	566	669	440
214	484	706	468	310	606
215	883	724	673	788	519
216	269	975	798	304	369
217	299	673	558	877	412
218	549	213	200	456	139
219	854	12	613	946	68
220	593	469	868	737	976
221	47	389	224	521	198
222	384	651	185	729	893
223	625	556	102	913	718
224	709	142	921	478	313
225	441	81	416	545	472
226	574	660	524	45	465
227	955	85	73	630	176
228	997	222	115	178	457
229	649	204	687	207	233
230	350	228	859	718	786
231	579	293	324	497	811
232	390	230	830	570	154
233	78	551	658	383	414
234	474	415	890	260	531
235	506	512	557	529	921
236	703	302	621	719	498
237	284	436	176	921	707
238	596	258	475	238	805
239	588	378	327	148	570
240	4	539	177	917	126
241	298	399	230	447	131
242	536	650	931	160	350
243	123	954	469	37	210
244	111	903	178	787	433
245	393	239	796	876	775
246	551	531	246	775	822
247	258	82	474	772	920
248	94	348	4	351	916
249	941	277	948	947	242
250	221	16	686	405	995
251	306	448	593	57	65
252	925	740	61	371	410
253	168	106	228	407	604
254	230	504	55	809	458
255	70	644	952	864	972
256	402	952	737	799	589
257	380	175	936	191	390
258	807	485	797	330	62
259	163	719	250	106	383
260	218	764	896	684	585
261	467	334	599	66	703
262	464	380	162	462	357
263	256	540	501	416	466
264	297	507	85	314	557
265	195	990	345	588	183
266	847	83	67	507	213
267	543	453	314	748	398
268	528	474	431	523	450
269	40	480	348	17	47
270	651	411	479	800	338
271	592	103	109	496	266
272	522	419	472	126	424
273	162	100	957	41	596
274	317	195	240	520	723
275	323	737	465	58	520
276	109	941	485	169	323
277	251	911	298	254	940
278	806	425	699	168	405
279	206	655	355	54	272
280	139	823	531	139	189
281	210	4	995	985	299
282	338	435	419	846	628
283	228	8	13	815	558
284	710	883	357	773	301
285	154	561	876	908	840
286	115	937	173	786	846
287	353	240	806	829	427
288	32	679	684	345	359
289	318	772	635	352	403
290	427	501	270	439	955
291	391	26	28	880	194
292	830	211	546	619	462
293	798	217	651	46	326
294	345	705	660	14	67
295	362	354	506	839	969
296	517	372	211	832	116
297	253	203	718	476	85
298	368	314	623	557	135
299	11	49	990	337	588
300	524	761	735	666	799
301	818	753	893	753	437
302	516	95	657	185	501
303	684	38	27	707	337
304	558	382	901	316	887
305	834	663	934	632	559
306	73	90	132	226	513
307	126	247	107	723	871
308	785	668	22	806	560
309	842	18	271	344	946
310	478	992	771	82	399
311	944	442	3	941	555
312	550	817	385	508	691
313	691	446	619	560	432
314	192	489	262	121	548
315	773	562	579	883	769
316	534	192	317	795	882
317	382	714	426	670	228
318	877	538	598	859	345
319	287	131	942	33	4
320	751	656	731	663	971
321	260	547	363	555	948
322	953	233	378	890	714
323	485	274	592	327	302
324	665	424	124	690	656
325	121	398	318	258	96
326	637	874	941	34	524
327	643	564	372	183	565
328	405	749	851	581	324
329	918	555	242	194	992
330	602	27	277	380	571
331	985	720	167	660	587
332	20	344	665	241	562
333	565	115	630	823	73
334	262	39	14	61	476
335	466	797	561	538	859
336	668	439	927	593	418
337	503	687	450	236	646
338	50	297	154	231	549
339	458	511	161	701	206
340	189	746	123	533	140
341	101	167	743	554	591
342	795	550	453	561	241
343	307	149	435	997	336
344	886	201	709	698	200
345	778	626	321	393	78
346	176	357	44	950	366
347	796	766	714	424	603
348	540	698	563	36	578
349	334	951	336	614	311
350	106	433	609	274	698
351	836	146	947	50	415
352	634	405	229	147	263
353	538	162	65	517	581
354	727	321	213	686	422
355	777	606	187	937	330
356	641	134	125	704	109
357	340	30	779	315	469
358	761	310	216	42	647
359	96	619	94	140	148
360	180	997	233	253	110
361	563	383	706	423	180
362	234	365	455	110	270
363	706	592	792	340	332
364	57	181	111	411	181
365	659	593	729	543	876
366	430	669	846	372	886
367	324	184	344	224	227
368	929	484	423	256	50
369	471	899	380	395	297
370	611	508	646	427	373
371	439	429	866	213	92
372	149	506	877	167	598
373	580	341	87	195	52
374	442	33	181	989	482
375	184	226	390	92	100
376	482	703	580	415	986
377	797	723	581	154	104
378	235	443	817	847	115
379	571	709	650	173	796
380	916	260	820	442	234
381	100	529	871	540	901
382	787	395	654	38	133
383	201	589	625	13	226
384	462	173	52	103	39
385	884	635	421	419	917
386	49	571	764	370	370
387	654	185	510	343	11
388	371	102	432	551	970
389	354	525	552	67	556
390	246	42	266	563	631
391	646	140	217	334	331
392	414	517	497	216	847
393	555	273	38	610	561
394	173	814	785	293	246
395	799	581	459	12	393
396	465	391	925	452	61
397	52	332	578	176	74
398	440	877	100	26	97
399	660	423	148	49	497
400	175	781	666	553	825
401	114	741	26	768	685
402	936	886	628	705	838
403	254	566	146	467	86
404	147	968	689	544	268
405	108	285	375	152	827
406	731	376	184	396	235
407	151	925	72	848	238
408	887	918	1	215	773
409	942	124	618	72	944
410	166	77	516	709	325
411	72	362	587	492	490
412	967	957	872	802	602
413	868	842	353	995	224
414	930	97	433	40	792
415	866	755	691	671	342
416	708	590	553	202	98
417	328	847	197	792	371
418	76	161	906	76	567
419	443	901	202	924	924
420	624	76	769	63	493
421	424	207	287	724	20
422	13	275	198	471	525
423	411	739	86	860	973
424	249	266	624	373	91
425	56	242	637	388	37
426	502	481	412	778	368
427	268	320	998	328	607
428	851	880	104	163	14
429	768	143	586	856	953
430	331	437	638	129	221
431	273	710	304	94	590
432	311	789	51	838	885
433	410	575	788	874	829
434	529	137	707	311	800
435	363	794	814	53	764
436	394	68	452	763	748
437	840	459	970	104	41
438	343	708	169	307	594
439	692	486	591	80	753
440	117	355	144	379	820
441	164	48	138	871	87
442	18	580	391	170	614
443	142	198	151	362	182
444	822	686	882	535	740
445	576	340	487	164	158
446	872	9	607	303	665
447	336	421	916	552	190
448	603	57	442	918	27
449	541	545	800	964	30
450	131	793	131	993	652
451	587	450	643	457	425
452	719	586	536	286	124
453	805	78	376	591	576
454	896	349	157	306	22
455	190	978	773	948	507
456	998	319	951	872	954
457	434	628	286	22	950
458	863	754	50	461	59
459	207	62	129	271	489
460	191	434	833	586	993
461	568	675	302	297	532
462	567	934	117	272	785
463	247	487	601	603	273
464	673	125	690	525	907
465	418	614	351	425	93
466	60	917	944	320	277
467	745	834	490	269	989
468	224	331	950	547	984
469	349	854	218	916	378
470	320	567	884	246	499
471	89	795	201	302	240
472	202	731	677	235	866
473	578	3	669	3	251
474	42	315	913	192	985
475	934	373	47	250	715
476	68	94	795	530	550
477	754	55	576	97	231
478	698	557	704	20	119
479	545	948	528	998	610
480	645	304	269	468	317
481	104	884	12	558	379
482	901	457	422	441	105
483	314	841	518	204	947
484	658	591	341	130	601
485	756	677	349	635	731
486	599	553	517	499	280
487	48	799	272	233	318
488	764	14	777	180	759
489	871	363	523	512	689
490	62	563	11	735	661
491	241	851	299	268	818
492	133	449	588	536	662
493	663	330	8	479	429
494	222	472	399	631	979
495	742	444	429	920	175
496	469	241	606	942	229
497	566	554	537	621	622
498	523	139	937	789	80
499	370	440	622	589	230
500	678	634	763	9	333
501	508	377	158	943	930
502	569	574	575	692	252
503	85	164	829	741	463
504	396	410	560	414	129
505	570	283	221	295	289
506	852	695	404	64	716
507	239	745	776	875	834
508	841	426	460	926	675
509	636	461	675	387	530
510	647	7	802	571	668
511	7	652	904	623	911
512	408	888	382	377	626
513	361	158	879	539	460
514	781	295	918	785	77
515	376	54	493	430	99
516	722	943	77	903	467
517	310	264	171	203	445
518	532	170	514	738	908
519	801	156	275	35	595
520	933	610	895	685	814
521	86	904	885	171	95
522	15	159	626	970	724
523	632	758	137	95	113
524	511	596	488	595	582
525	122	163	530	463	288
526	161	282	860	410	573
527	856	815	620	157	706
528	53	994	40	189	295
529	748	259	352	710	583
530	776	622	887	805	735
531	885	495	113	760	321
532	275	676	595	259	621
533	971	325	801	158	763
534	433	37	671	575	997
535	295	649	64	426	697
536	301	360	539	702	600
537	535	774	288	618	881
538	717	926	778	338	624
539	763	280	300	445	586
540	77	717	208	636	535
541	144	582	813	870	46
542	431	20	993	446	943
543	288	288	289	504	6
544	724	624	150	794	658
545	977	914	37	620	377
546	130	17	903	576	395
547	537	89	70	776	856
548	666	896	152	149	168
549	772	971	504	834	534
550	618	471	898	990	255
551	943	445	364	29	913
552	817	182	680	689	82
553	480	135	119	656	636
554	667	839	533	596	121
555	45	852	971	566	203
556	979	786	826	460	717
557	365	430	756	137	815
558	360	396	754	56	316
559	341	31	165	887	375
560	429	5	290	270	144
561	198	101	95	761	271
562	970	60	827	652	303
563	999	530	417	78	0
564	137	898	841	382	309
565	369	636	758	992	468
566	800	490	89	31	396
567	351	535	842	369	892
568	713	58	924	421	623
569	303	364	786	125	249
570	753	993	66	102	117
571	621	388	881	604	155
572	321	940	331	214	761
573	525	202	863	868	164
574	794	44	869	349	53
575	220	212	190	434	157
576	613	28	793	412	18
577	387	80	781	641	575
578	103	770	470	583	72
579	996	848	856	342	167
580	46	234	645	355	265
581	548	885	966	109	510
582	286	985	649	680	942
583	140	647	765	817	36
584	291	243	532	818	564
585	55	680	261	105	708
586	74	75	547	143	522
587	992	70	774	440	236
588	415	578	968	27	400
589	927	303	108	484	802
590	265	468	9	68	823
591	670	130	499	232	868
592	619	256	668	146	964
593	815	560	775	389	710
594	984	370	97	319	772
595	280	291	789	556	362
596	389	646	326	418	365
597	562	769	31	934	51
598	486	536	347	643	327
599	375	307	447	793	521
600	919	220	697	108	694
601	905	559	996	835	700
602	958	648	361	364	21
603	93	674	983	999	919
604	182	869	862	98	733
605	873	972	186	75	801
606	650	46	870	132	339
607	855	939	374	963	875
608	694	153	281	572	153
609	145	727	655	862	495
610	359	613	309	454	25
611	988	43	849	857	867
612	810	113	784	406	456
613	721	371	386	722	219
614	928	979	500	408	784
615	715	692	430	991	727
616	853	87	172	392	933
617	980	136	741	767	878
618	215	326	145	629	356
619	849	358	629	642	693
620	559	572	491	973	642
621	346	945	409	928	755
622	972	807	283	219	676
623	259	844	958	945	958
624	792	478	406	312	810
625	404	374	392	824	848
626	413	857	615	87	232
627	755	223	367	159	791
628	975	219	693	808	629
629	573	980	853	156	869
630	172	678	926	953	667
631	695	802	900	184	552
632	923	996	700	361	300
633	728	780	821	495	584
634	878	45	397	562	862
635	98	878	166	814	634
636	461	696	199	616	760
637	912	186	733	759	672
638	252	816	136	796	728
639	113	908	858	972	28
640	760	91	768	816	682
641	300	895	662	514	910
642	945	820	672	255	853
643	294	825	7	356	197
644	743	756	816	923	367
645	615	900	696	957	904
646	895	966	994	208	329
647	0	262	767	212	839
648	848	413	312	223	102
649	908	738	294	153	212
650	83	470	356	513	739
651	356	329	130	728	276
652	821	873	988	209	767
653	539	991	653	199	15
654	931	870	722	721	500
655	747	767	891	291	159
656	676	860	291	888	844
657	544	544	569	810	751
658	504	289	979	511	132
659	456	875	408	914	267
660	495	2	600	135	35
661	629	498	929	617	641
662	347	491	461	968	64
663	759	514	159	975	826
664	153	818	888	655	870
665	138	150	930	594	702
666	460	64	713	574	923
667	594	949	5	765	613
668	377	672	755	713	364
669	739	783	265	101	816
670	510	863	220	683	54
671	734	864	223	300	756
672	924	892	616	758	328
673	171	160	481	693	171
674	170	455	973	958	696
675	735	699	268	984	481
676	22	533	933	700	147
677	749	454	728	265	781
678	839	702	328	186	813
679	329	594	852	826	977
680	283	88	15	734	312
681	492	833	574	569	994
682	582	836	953	647	749
683	811	568	83	432	896
684	290	642	212	640	663
685	435	406	29	879	215
686	696	923	214	402	282
687	687	722	122	532	655
688	640	56	526	5	544
689	813	584	568	282	898
690	445	821	805	893	511
691	552	29	513	83	478
692	309	600	701	301	616
693	450	35	244	354	188
694	685	404	486	464	808
695	204	312	387	986	860
696	9	208	194	528	888
697	521	933	369	30	283
698	899	488	747	762	851
699	187	337	414	262	975
700	2	6	2	2	19
701	19	23	6	15	24
702	23	24	19	43	43
703	24	69	23	69	88
704	43	84	24	88	112
705	69	93	25	91	120
706	75	99	32	112	127
707	84	118	84	136	166
708	91	120	112	141	174
709	99	126	120	174	179
710	118	127	127	179	205
711	120	128	141	197	208
712	128	145	179	220	209
713	136	174	205	225	225
714	179	197	209	229	259
715	205	205	219	245	278
716	261	209	225	267	292
717	267	225	245	278	294
718	281	245	252	294	308
719	289	261	276	296	322
720	292	276	292	305	335
721	296	281	296	333	346
722	305	292	305	335	353
723	308	296	308	359	358
724	322	308	322	374	374
725	335	322	333	386	386
726	358	333	335	401	387
727	386	339	339	409	406
728	401	361	358	420	413
729	420	381	359	451	428
730	428	409	381	488	438
731	438	420	401	491	451
732	473	438	420	505	473
733	477	451	428	522	491
734	494	473	438	527	494
735	496	477	451	577	505
736	498	494	454	597	515
737	515	500	473	600	542
738	527	505	477	605	572
739	542	515	494	609	577
740	577	522	496	612	597
741	583	542	515	639	605
742	597	569	527	648	608
743	605	573	573	653	612
744	608	597	577	659	615
745	609	605	582	664	617
746	612	608	608	667	639
747	617	615	612	672	653
748	627	639	627	674	659
749	648	664	648	681	674
750	653	683	659	682	681
751	662	694	664	688	688
752	664	697	667	711	720
753	681	711	681	720	726
754	697	715	682	725	732
755	711	716	695	726	736
756	712	721	712	732	744
757	716	725	715	736	752
758	725	726	720	750	757
759	726	736	721	752	780
760	732	757	725	757	790
761	744	759	739	782	803
762	752	771	752	790	804
763	771	782	782	812	807
764	774	784	790	819	812
765	780	803	791	820	819
766	783	804	803	831	824
767	790	812	810	836	828
768	804	819	824	853	831
769	808	827	825	855	832
770	812	831	828	861	835
771	826	832	831	865	837
772	828	837	835	867	843
773	832	843	837	869	845
774	835	849	843	878	849
775	837	850	844	889	850
776	843	862	850	891	855
777	844	865	855	892	857
778	845	867	857	894	889
779	850	879	865	897	894
780	861	889	867	905	897
781	865	897	889	929	900
782	879	902	892	938	903
783	902	905	897	939	909
784	906	906	902	940	912
785	915	912	909	949	922
786	922	915	912	959	932
787	932	919	919	960	938
788	938	922	922	961	939
789	939	929	932	962	949
790	956	932	935	965	960
791	960	935	949	966	962
792	961	938	956	967	963
793	962	959	961	974	965
794	963	961	962	978	974
795	966	981	963	980	978
796	974	982	965	981	980
797	978	983	974	982	981
798	982	987	981	983	987
799	987	999	982	988	991
