	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	346	284	309	217
33	276	351	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	392	366	366	253
37	325	403	368	367	257
38	326	412	383	381	260
39	337	428	384	399	264
40	355	431	393	404	269
41	367	456	400	436	287
42	378	462	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	467	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	509	490	372
49	432	548	512	498	421
50	449	565	540	502	426
51	454	598	542	516	431
52	455	617	545	518	434
53	457	618	548	524	480
54	463	620	554	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	483	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	541
63	531	707	661	634	543
64	564	713	676	638	579
65	572	718	683	644	592
66	590	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	232	601	930	536	843
101	930	127	64	63	198
102	297	183	966	233	196
103	513	334	869	352	699
104	382	196	933	97	981
105	293	26	909	183	383
106	961	409	826	294	596
107	362	540	520	723	857
108	534	533	173	540	157
109	94	202	754	434	140
110	143	450	958	26	242
111	176	534	418	334	183
112	968	669	181	440	189
113	916	568	891	591	227
114	969	75	558	196	456
115	918	383	33	22	519
116	351	831	401	614	549
117	682	794	706	204	736
118	843	217	474	605	680
119	196	388	863	730	363
120	121	142	678	909	565
121	104	438	559	562	916
122	9	247	449	672	164
123	142	327	246	966	547
124	472	777	327	57	427
125	584	427	14	203	836
126	62	256	242	395	78
127	195	68	107	792	604
128	447	925	386	911	911
129	770	312	595	861	484
130	663	754	768	604	166
131	187	857	739	869	311
132	410	843	654	678	820
133	566	209	814	512	479
134	651	683	684	602	513
135	648	708	157	868	273
136	785	54	138	42	805
137	558	892	591	479	163
138	569	859	223	383	762
139	54	643	319	441	92
140	434	957	454	109	113
141	440	736	615	794	953
142	811	344	552	461	636
143	216	580	543	303	510
144	128	273	487	135	41
145	369	11	934	332	1
146	246	263	658	753	548
147	667	997	361	552	552
148	599	354	731	460	410
149	703	779	137	111	465
150	779	425	422	635	989
151	568	586	369	970	232
152	291	487	613	320	524
153	144	333	17	631	249
154	29	442	837	629	15
155	754	325	776	194	233
156	189	675	859	432	811
157	261	73	432	388	405
158	884	658	222	78	669
159	933	650	38	46	247
160	105	20	106	12	259
161	84	938	274	961	0
162	966	440	649	380	868
163	75	729	208	554	748
164	106	315	217	544	685
165	340	332	277	522	367
166	541	981	122	511	489
167	65	363	646	981	786
168	207	789	372	946	970
169	443	911	504	765	348
170	764	113	129	50	47
171	739	2	221	711	399
172	921	737	188	689	294
173	452	261	213	729	99
174	861	313	365	954	607
175	967	525	325	5	825
176	710	81	652	830	534
177	469	461	890	424	535
178	224	928	720	31	270
179	700	90	995	938	740
180	687	559	55	259	831
181	193	155	919	941	703
182	338	260	842	738	561
183	745	349	925	621	478
184	154	644	348	333	533
185	972	799	117	828	327
186	722	547	569	951	317
187	970	917	580	163	450
188	155	564	623	924	352
189	182	489	785	213	799
190	394	320	973	122	378
191	740	521	762	561	31
192	987	941	777	610	724
193	116	140	228	768	723
194	184	506	747	817	745
195	336	964	387	530	20
196	171	362	530	345	44
197	552	243	921	229	753
198	173	368	773	425	629
199	957	608	313	82	194
200	217	696	130	772	65
201	593	678	44	796	105
202	318	163	268	929	838
203	559	42	981	942	564
204	365	954	817	940	403
205	317	860	536	834	126
206	111	522	801	572	230
207	0	686	231	973	468
208	163	395	10	870	329
209	708	230	459	215	265
210	138	297	607	306	801
211	676	435	771	239	977
212	913	694	201	583	594
213	955	34	492	474	138
214	660	303	769	187	947
215	941	706	831	81	727
216	486	227	856	105	750
217	804	710	513	816	603
218	247	544	399	286	583
219	275	607	730	191	965
220	363	262	600	340	732
221	348	167	570	879	277
222	578	480	97	752	505
223	466	62	111	945	616
224	550	512	414	129	611
225	295	968	506	855	246
226	241	966	31	829	425
227	350	233	1	453	844
228	299	213	735	714	824
229	76	203	996	344	122
230	868	485	866	576	995
231	307	727	271	865	207
232	696	146	294	758	845
233	50	130	13	280	144
234	100	82	4	468	309
235	488	985	843	673	570
236	215	330	575	685	559
237	474	277	360	639	96
238	175	97	913	335	289
239	777	454	250	397	301
240	74	36	233	713	455
241	907	248	320	762	733
242	928	631	990	732	453
243	605	17	531	364	91
244	665	793	288	481	21
245	162	236	465	124	206
246	359	70	333	882	235
247	22	29	70	549	182
248	614	807	194	595	908
249	422	505	22	997	82
250	126	372	857	947	150
251	250	902	881	311	576
252	24	468	883	571	562
253	763	446	920	517	472
254	281	455	94	557	133
255	435	347	722	72	263
256	445	278	968	414	238
257	405	76	489	521	190
258	103	329	281	49	282
259	606	39	846	990	523
260	450	774	602	526	772
261	253	845	922	977	503
262	309	449	534	314	769
263	284	932	631	254	646
264	210	613	941	683	336
265	527	100	493	910	483
266	538	699	380	464	901
267	376	516	21	145	823
268	384	553	696	138	657
269	847	769	8	449	804
270	334	498	100	40	710
271	503	897	635	422	935
272	540	174	458	653	266
273	524	201	519	108	154
274	908	238	134	657	498
275	330	634	606	237	331
276	609	477	248	766	445
277	379	63	820	293	119
278	671	701	798	955	731
279	917	185	681	907	752
280	932	310	391	405	896
281	536	581	904	20	77
282	485	725	218	553	439
283	476	301	989	585	135
284	30	907	599	701	297
285	218	49	984	48	231
286	492	611	715	171	151
287	480	193	314	492	767
288	781	854	215	743	139
289	448	980	202	616	435
290	149	206	90	371	325
291	391	626	270	523	168
292	658	135	479	514	913
293	602	599	67	227	393
294	529	465	193	130	402
295	300	385	262	69	85
296	835	245	763	741	954
297	958	291	108	551	624
298	912	585	349	660	890
299	704	508	665	767	588
300	478	759	32	806	668
301	996	478	66	805	379
302	883	660	500	250	395
303	960	207	47	795	590
304	762	758	935	928	847
305	168	474	833	856	171
306	390	234	286	995	334
307	496	379	345	824	874
308	482	879	916	482	251
309	719	757	630	890	859
310	545	134	2	394	614
311	151	578	442	547	554
312	579	929	686	835	881
313	615	31	185	669	866
314	990	633	621	633	307
315	437	904	247	310	595
316	258	561	593	271	57
317	161	126	893	914	176
318	441	459	805	847	997
319	650	251	639	337	109
320	68	803	737	750	50
321	190	742	811	421	155
322	901	186	336	442	346
323	57	434	148	257	575
324	433	85	186	377	927
325	228	971	256	411	469
326	56	7	275	789	115
327	52	590	998	496	835
328	662	817	578	538	226
329	756	286	419	266	175
330	235	107	304	403	214
331	431	715	34	594	515
332	576	103	643	297	62
333	117	475	198	235	876
334	778	443	144	863	221
335	8	93	806	443	601
336	797	976	577	757	117
337	735	371	167	65	502
338	206	625	195	541	416
339	139	149	868	763	980
340	249	551	214	189	252
341	594	78	133	400	411
342	298	557	390	456	854
343	134	935	879	883	174
344	638	306	563	874	366
345	567	172	162	846	95
346	799	241	363	68	917
347	603	546	52	586	394
348	444	161	871	323	19
349	588	436	586	248	30
350	311	594	364	513	67
351	769	56	347	462	129
352	670	87	238	505	4
353	201	766	699	510	131
354	462	497	404	317	551
355	464	24	742	917	903
356	202	77	501	224	691
357	983	767	435	275	482
358	436	239	433	609	362
359	115	797	499	232	718
360	783	764	764	770	467
361	551	549	131	134	51
362	301	695	948	497	385
363	119	770	876	132	376
364	546	405	252	172	770
365	306	615	61	178	955
366	863	880	813	619	338
367	60	169	660	838	418
368	393	30	485	888	22
369	854	606	582	167	437
370	766	952	927	160	952
371	998	503	343	876	497
372	160	21	899	168	407
373	361	635	229	373	72
374	809	139	901	881	631
375	120	398	802	999	602
376	871	655	416	831	337
377	314	295	624	407	350
378	752	423	860	159	501
379	262	500	840	199	754
380	543	579	354	751	518
381	759	199	704	206	313
382	953	44	450	76	714
383	881	504	851	146	665
384	271	823	561	484	744
385	456	652	900	808	208
386	323	692	619	347	462
387	108	340	517	54	807
388	852	945	767	343	211
389	556	687	96	680	971
390	741	8	496	525	689
391	992	198	269	589	391
392	914	407	514	385	279
393	751	150	29	3	375
394	51	424	199	216	558
395	42	350	707	920	506
396	695	685	321	193	635
397	198	514	376	356	893
398	692	517	673	722	621
399	49	389	590	372	11
400	47	416	524	545	79
401	570	384	713	41	998
402	849	319	178	8	428
403	347	572	824	710	837
404	55	380	947	718	14
405	259	496	50	787	415
406	851	677	452	355	790
407	624	293	374	537	97
408	508	374	443	185	630
409	370	376	225	793	921
410	248	417	151	880	571
411	96	307	444	948	939
412	523	783	81	953	143
413	78	901	628	860	285
414	260	912	469	416	234
415	404	415	28	125	756
416	484	10	758	302	591
417	715	589	829	2	28
418	61	448	950	823	705
419	48	739	497	643	239
420	515	903	601	36	751
421	329	979	311	427	808
422	813	837	670	149	295
423	632	908	160	760	364
424	86	809	421	670	255
425	532	847	903	169	37
426	673	361	672	30	188
427	977	314	116	162	59
428	438	377	477	949	698
429	244	466	691	362	910
430	742	482	766	686	577
431	645	851	695	908	74
432	929	426	603	810	846
433	865	740	5	698	68
434	743	680	261	291	224
435	945	883	655	202	370
436	109	992	161	491	87
437	461	484	475	871	345
438	668	4	395	330	447
439	331	162	448	532	52
440	493	280	0	389	605
441	625	276	671	588	581
442	731	264	24	448	694
443	234	895	752	401	179
444	934	804	911	998	417
445	795	204	298	913	684
446	411	6	318	393	940
447	283	885	792	625	900
448	517	160	115	29	860
449	805	698	788	13	25
450	539	471	309	92	16
451	152	723	407	952	871
452	885	410	453	693	948
453	709	704	447	807	24
454	429	948	515	222	708
455	170	870	967	785	397
456	616	515	3	94	882
457	2	45	290	152	452
458	712	275	709	147	677
459	706	507	633	278	466
460	371	624	245	170	544
461	927	266	230	581	717
462	611	12	95	577	373
463	887	91	73	127	803
464	465	996	579	950	368
465	279	842	523	704	950
466	637	889	795	45	464
467	553	55	25	157	615
468	268	951	350	864	735
469	380	60	293	921	332
470	924	419	957	338	655
471	222	780	312	618	639
472	555	920	789	617	706
473	13	488	588	34	785
474	269	554	645	978	532
475	922	177	331	260	567
476	842	550	85	265	104
477	458	863	155	379	6
478	292	600	165	721	647
479	53	210	931	226	933
480	254	531	625	875	124
481	936	131	502	386	203
482	320	542	937	735	986
483	678	175	375	859	36
484	341	869	264	786	644
485	621	519	124	71	302
486	657	538	964	677	127
487	734	14	651	439	161
488	107	673	486	256	323
489	915	114	864	112	64
490	239	441	265	195	862
491	274	896	11	980	369
492	516	143	618	466	281
493	956	884	431	467	676
494	221	200	687	346	642
495	613	717	546	705	870
496	587	132	675	642	132
497	92	848	27	98	589
498	346	724	609	95	424
499	77	298	266	539	869
500	32	343	581	550	907
501	487	106	378	214	763
502	18	705	650	993	987
503	377	355	880	61	822
504	252	784	240	16	585
505	373	743	367	528	438
506	502	472	169	0	550
507	133	787	279	285	749
508	537	509	510	301	440
509	310	865	657	300	578
510	286	575	638	667	324
511	886	651	426	964	359
512	67	639	12	659	18
513	20	795	36	788	312
514	471	279	417	463	686
515	701	192	300	671	525
516	93	545	172	312	781
517	146	411	690	136	419
518	855	124	507	984	377
519	642	741	743	504	39
520	798	331	317	822	73
521	528	433	83	43	810
522	822	702	403	284	330
523	368	672	472	236	556
524	414	120	669	174	658
525	150	281	793	972	148
526	803	125	585	508	774
527	85	628	568	164	942
528	549	378	132	478	318
529	59	318	209	258	842
530	335	638	701	897	213
531	418	292	637	988	720
532	135	3	235	316	371
533	997	222	781	857	675
534	582	647	216	319	886
535	698	874	423	370	963
536	744	242	171	156	623
537	145	987	51	818	652
538	653	187	352	402	112
539	800	563	211	56	557
540	840	357	677	209	167
541	131	136	718	872	964
542	245	226	746	728	606
543	643	101	77	891	663
544	717	536	382	165	299
545	460	5	40	776	813
546	343	745	779	892	681
547	988	668	986	336	582
548	91	864	385	809	761
549	69	614	200	702	809
550	172	646	898	139	702
551	818	914	145	867	797
552	654	439	6	412	760
553	950	197	177	454	120
554	954	283	87	38	897
555	375	282	190	858	500
556	807	46	285	110	446
557	806	211	9	328	40
558	506	373	942	934	63
559	287	592	355	905	433
560	640	195	224	270	215
561	984	591	425	567	586
562	39	923	849	819	819
563	430	445	983	903	110
564	402	302	949	269	528
565	11	556	626	218	322
566	439	444	505	267	984
567	7	761	611	968	851
568	389	365	976	74	125
569	978	709	741	387	441
570	328	115	528	902	667
571	548	731	797	418	889
572	633	464	537	555	818
573	45	289	791	575	414
574	925	481	557	282	661
575	792	51	547	180	653
576	971	753	598	983	54
577	147	321	359	315	812
578	999	469	470	666	303
579	204	679	616	295	46
580	70	567	19	143	512
581	191	421	936	840	976
582	289	676	389	574	228
583	721	501	844	451	292
584	830	636	697	719	894
585	747	993	237	937	102
586	810	529	272	656	258
587	510	420	287	207	241
588	895	18	667	445	236
589	580	844	468	80	165
590	473	181	952	636	600
591	776	619	865	457	728
592	694	304	993	324	827
593	40	562	332	238	628
594	666	337	653	812	181
595	896	955	862	351	555
596	521	756	353	916	587
597	727	430	109	923	764
598	866	339	566	593	93
599	833	830	969	446	284
600	194	228	979	382	507
601	415	184	965	707	814
602	574	158	488	488	153
603	604	593	41	158	60
604	837	33	65	274	958
605	691	16	39	640	739
606	780	9	120	268	641
607	417	453	587	186	912
608	563	569	254	476	992
609	504	574	897	66	829
610	166	137	526	87	276
611	17	584	341	737	300
612	446	404	810	173	406
613	136	258	830	926	726
614	123	288	136	893	321
615	498	738	765	570	850
616	354	697	648	894	707
617	931	58	622	475	116
618	290	949	516	137	634
619	647	348	662	826	734
620	122	582	956	734	272
621	522	814	244	690	147
622	153	57	402	304	412
623	634	382	397	253	816
624	975	605	104	535	994
625	356	285	187	470	398
626	812	972	112	832	848
627	114	59	553	64	422
628	73	597	924	176	473
629	844	35	902	566	949
630	684	939	23	420	716
631	872	401	430	374	898
632	982	555	629	392	522
633	902	457	872	471	791
634	583	772	689	600	617
635	137	370	953	507	542
636	906	381	892	663	290
637	180	71	666	91	335
638	34	83	963	361	598
639	856	153	146	509	86
640	711	746	790	620	670
641	324	48	592	423	855
642	565	486	344	960	159
643	774	975	620	47	100
644	386	173	951	67	946
645	905	566	668	354	969
646	963	490	756	681	885
647	845	341	518	799	826
648	685	714	970	655	672
649	808	703	884	569	390
650	760	905	335	889	200
651	761	156	179	103	408
652	525	899	889	877	832
653	755	159	420	623	365
654	839	170	882	430	101
655	794	145	539	262	121
656	817	437	460	520	529
657	19	182	291	963	205
658	409	663	906	652	923
659	620	92	576	647	400
660	345	391	491	992	755
661	725	622	166	853	520
662	826	841	786	688	316
663	495	812	141	140	53
664	420	771	728	37	973
665	230	999	659	9	659
666	401	983	184	241	98
667	4	915	283	221	210
668	841	366	392	369	197
669	272	798	125	630	697
670	944	259	180	962	796
671	749	886	119	447	757
672	768	781	150	986	622
673	305	326	714	692	841
674	923	802	302	106	662
675	659	99	299	121	384
676	772	535	885	223	530
677	899	429	905	684	773
678	836	128	532	790	932
679	732	94	455	967	229
680	697	815	481	543	531
681	801	994	994	527	278
682	832	721	357	603	457
683	627	88	15	648	356
684	681	820	858	820	491
685	46	755	394	563	353
686	815	922	232	17	839
687	542	530	679	724	432
688	938	711	929	104	938
689	357	231	26	560	853
690	428	23	154	989	560
691	853	571	324	959	328
692	942	95	289	181	451
693	619	630	461	154	521
694	519	961	962	780	357
695	974	933	729	499	201
696	267	205	852	14	828
697	303	596	251	426	613
698	705	499	918	558	158
699	796	560	381	747	481
700	15	27	7	15	27
701	23	28	35	27	35
702	28	37	37	33	43
703	43	38	48	35	61
704	72	43	71	53	80
705	83	64	72	58	88
706	89	69	84	75	180
707	98	80	86	83	209
708	99	84	89	88	212
709	101	89	102	90	219
710	113	102	113	101	225
711	118	118	123	102	240
712	130	147	127	126	267
713	140	164	152	141	268
714	164	189	158	142	271
715	179	208	159	148	280
716	192	212	176	153	283
717	205	219	197	179	288
718	220	220	205	184	308
719	251	223	212	192	315
720	256	225	219	197	326
721	265	240	220	208	333
722	273	274	276	212	339
723	280	296	292	219	342
724	288	308	296	220	358
725	294	322	305	225	374
726	296	353	308	231	386
727	308	358	322	240	387
728	321	360	326	245	388
729	322	364	328	246	396
730	342	396	339	255	413
731	349	399	351	272	429
732	352	406	356	296	458
733	353	413	358	305	459
734	358	451	398	307	460
735	360	470	406	327	463
736	387	473	408	342	476
737	396	491	409	349	490
738	398	494	412	359	493
739	408	495	428	396	494
740	413	511	429	406	495
741	424	539	438	408	499
742	427	573	451	409	511
743	442	609	473	410	572
744	467	610	490	415	573
745	477	627	494	419	584
746	494	642	503	452	597
747	511	645	527	493	599
748	535	648	533	495	608
749	544	649	560	500	610
750	562	656	573	501	612
751	571	664	574	529	626
752	573	674	608	533	650
753	577	716	612	556	656
754	592	719	627	564	674
755	596	720	664	596	682
756	597	722	680	597	688
757	608	726	682	601	693
758	612	749	693	612	696
759	617	782	700	632	700
760	618	786	712	641	715
761	629	806	721	661	759
762	636	816	725	664	775
763	641	818	733	674	780
764	646	819	755	682	784
765	649	821	774	700	792
766	661	825	775	703	800
767	664	827	778	709	802
768	679	832	782	720	815
769	683	833	784	725	834
770	690	834	796	726	840
771	713	836	800	736	849
772	716	839	803	748	856
773	724	849	816	759	867
774	726	850	821	761	875
775	728	852	825	773	878
776	729	862	827	775	887
777	748	867	828	778	888
778	753	873	835	782	892
779	771	875	841	800	904
780	773	877	850	802	909
781	784	878	853	814	919
782	787	888	855	815	920
783	790	890	867	836	922
784	821	898	870	839	924
785	828	900	874	848	930
786	834	906	877	862	931
787	848	918	887	878	943
788	850	919	888	887	944
789	873	926	895	918	960
790	877	934	896	939	962
791	878	937	912	943	972
792	879	940	926	957	974
793	919	943	932	958	975
794	939	944	944	965	978
795	943	959	961	974	979
796	962	978	971	975	985
797	979	982	974	982	988
798	980	990	982	985	991
799	985	991	988	991	993
