	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	373	433	635	15	466
101	357	23	748	268	397
102	268	265	181	431	198
103	239	314	141	106	186
104	105	38	148	200	419
105	621	144	69	13	441
106	628	161	200	146	301
107	222	517	84	548	46
108	799	76	268	283	147
109	547	18	539	350	205
110	52	757	649	406	766
111	191	452	439	342	25
112	242	68	29	514	561
113	741	632	51	147	125
114	548	191	496	46	307
115	314	547	726	647	261
116	744	339	541	450	159
117	178	657	186	313	50
118	408	195	598	629	140
119	644	703	793	29	315
120	465	113	745	756	83
121	85	580	494	760	328
122	524	154	316	733	367
123	232	11	714	6	411
124	114	484	777	648	112
125	45	676	229	191	715
126	87	87	477	617	115
127	233	394	682	164	170
128	553	640	355	95	487
129	40	263	140	104	450
130	523	306	673	33	199
131	512	253	447	407	109
132	453	586	565	748	54
133	153	756	158	378	34
134	752	454	335	483	723
135	259	281	377	81	154
136	733	482	89	58	288
137	237	75	132	583	482
138	658	506	616	787	233
139	8	712	652	304	153
140	16	204	291	262	321
141	493	770	403	280	750
142	113	55	728	345	752
143	71	167	352	632	634
144	10	568	532	714	51
145	725	352	82	735	772
146	271	3	705	299	773
147	443	92	114	348	116
148	300	361	220	351	404
149	273	643	787	7	43
150	773	548	150	537	48
151	663	688	664	172	633
152	265	50	349	502	507
153	427	326	730	227	84
154	673	549	188	159	775
155	625	550	232	276	734
156	442	458	255	625	213
157	141	668	87	259	316
158	622	473	163	667	784
159	32	321	562	362	732
160	702	240	319	332	657
161	302	792	719	601	354
162	103	424	107	266	746
163	639	273	190	727	163
164	375	460	248	215	74
165	708	33	223	171	759
166	382	184	566	495	40
167	565	114	343	456	265
168	555	264	259	5	7
169	331	261	608	119	281
170	489	307	195	507	764
171	551	225	262	94	521
172	433	244	712	443	350
173	158	567	563	538	185
174	199	637	450	792	608
175	479	492	472	167	531
176	394	8	440	359	540
177	691	341	31	567	23
178	315	353	46	220	212
179	112	239	492	319	535
180	586	413	510	349	304
181	27	591	499	460	583
182	167	504	270	454	442
183	0	530	796	131	118
184	595	623	483	223	283
185	137	171	256	484	594
186	647	686	767	458	241
187	745	674	395	441	460
188	51	412	788	452	98
189	83	732	435	429	545
190	7	219	736	311	244
191	117	379	0	398	658
192	514	748	363	277	451
193	629	464	461	789	53
194	765	155	555	578	279
195	161	553	610	725	0
196	155	4	115	749	717
197	56	54	785	447	453
198	488	60	34	616	458
199	529	485	276	83	312
200	354	466	670	504	87
201	223	763	337	63	771
202	219	371	11	581	581
203	522	494	407	597	240
204	566	583	396	8	93
205	86	378	28	634	665
206	254	110	574	549	612
207	792	385	626	34	684
208	174	677	303	114	66
209	336	128	27	338	412
210	573	579	279	377	523
211	310	252	383	610	467
212	721	597	629	279	556
213	376	593	641	416	423
214	328	148	507	355	332
215	156	735	420	521	226
216	290	308	275	370	510
217	774	447	498	326	789
218	253	442	286	791	422
219	245	237	380	363	414
220	689	659	557	793	102
221	441	45	674	285	295
222	240	331	778	606	28
223	699	572	204	613	714
224	281	366	430	708	614
225	41	354	605	561	737
226	507	138	717	799	151
227	124	164	124	766	469
228	387	491	320	0	644
229	796	101	502	573	352
230	580	317	257	449	37
231	125	291	191	133	165
232	676	614	686	784	573
233	684	416	37	656	602
234	714	639	283	690	516
235	227	471	277	24	65
236	338	693	172	465	15
237	304	706	546	402	29
238	133	585	529	148	546
239	388	275	408	157	617
240	50	135	531	442	464
241	677	468	637	188	638
242	769	108	201	360	222
243	183	465	273	600	418
244	603	519	332	112	200
245	6	618	312	92	396
246	539	9	576	98	569
247	730	71	480	245	718
248	404	294	732	282	267
249	282	448	197	751	440
250	646	646	111	568	758
251	423	655	271	697	372
252	236	192	245	575	362
253	431	374	131	754	308
254	224	19	12	335	670
255	641	31	1	525	698
256	559	5	683	166	339
257	386	100	387	96	270
258	662	662	468	27	353
259	490	213	379	666	250
260	602	400	367	383	566
261	356	49	593	150	322
262	478	147	62	48	559
263	179	595	479	437	206
264	469	292	58	178	27
265	776	443	160	476	80
266	660	415	216	373	606
267	337	478	680	37	110
268	577	636	333	251	463
269	412	762	583	205	472
270	34	725	176	327	779
271	249	280	797	347	211
272	362	170	65	344	449
273	508	502	761	320	149
274	631	243	511	709	506
275	15	136	416	560	788
276	738	381	513	367	201
277	402	607	23	137	369
278	650	543	669	691	790
279	626	782	538	357	314
280	136	318	122	715	76
281	54	720	473	56	177
282	215	555	135	446	319
283	484	545	549	368	1
284	762	104	389	619	286
285	452	44	45	242	192
286	154	459	347	233	504
287	90	238	448	498	181
288	368	724	297	387	596
289	674	63	409	642	366
290	42	541	19	218	695
291	497	221	517	19	680
292	458	518	693	174	591
293	399	565	281	256	558
294	706	143	536	419	238
295	295	347	341	152	156
296	403	232	202	80	637
297	499	474	32	254	445
298	711	183	561	626	123
299	194	207	648	490	365
300	306	625	267	608	197
301	358	105	348	701	468
302	434	418	534	775	374
303	111	150	443	281	220
304	193	493	317	126	269
305	225	581	372	190	598
306	213	159	722	173	630
307	288	390	581	185	647
308	764	111	300	28	437
309	397	270	397	40	662
310	513	453	527	328	2
311	422	642	35	22	519
312	570	64	572	340	542
313	593	420	138	219	398
314	152	231	110	121	194
315	485	329	173	90	16
316	612	536	792	457	500
317	318	403	214	42	150
318	350	692	298	774	587
319	614	188	540	728	584
320	93	438	681	710	236
321	294	288	621	290	169
322	303	335	647	295	428
323	475	608	322	51	278
324	195	286	699	62	731
325	470	680	264	361	675
326	535	798	295	154	517
327	325	429	614	675	655
328	496	266	533	100	783
329	504	767	737	655	726
330	729	375	671	257	626
331	495	705	400	371	21
332	611	799	442	101	515
333	666	428	30	181	14
334	685	186	662	165	416
335	176	726	425	36	134
336	564	701	391	248	548
337	70	569	689	539	158
338	790	348	606	542	58
339	620	437	217	640	562
340	187	151	218	130	735
341	102	457	518	4	36
342	468	247	688	216	340
343	390	47	189	288	444
344	21	524	619	18	381
345	391	507	239	141	393
346	454	131	166	54	215
347	557	503	433	599	290
348	425	89	16	753	157
349	166	430	620	229	341
350	359	564	113	422	426
351	25	690	530	260	494
352	301	241	706	783	501
353	609	722	535	589	465
354	162	301	597	481	99
355	316	34	39	673	359
356	278	739	707	468	122
357	727	208	701	228	272
358	37	120	414	755	443
359	97	152	750	510	356
360	30	751	327	591	534
361	726	641	454	631	166
362	377	109	13	271	334
363	216	764	547	231	81
364	11	719	116	134	541
365	781	13	285	486	61
366	108	395	194	60	330
367	526	6	314	630	774
368	351	613	366	14	722
369	19	406	782	674	266
370	283	525	628	78	624
371	151	499	127	612	425
372	409	393	182	297	693
373	122	94	466	566	483
374	250	139	501	193	765
375	446	133	244	221	794
376	127	166	631	203	343
377	208	196	353	694	293
378	645	187	258	438	284
379	285	156	618	405	208
380	157	62	582	554	254
381	652	36	679	572	386
382	94	26	360	644	709
383	28	323	453	53	495
384	188	289	48	394	439
385	147	610	274	489	320
386	226	629	209	611	793
387	554	469	162	330	361
388	461	399	345	759	179
389	128	299	413	10	488
390	36	312	691	726	475
391	589	508	624	382	247
392	44	529	704	471	791
393	505	346	452	475	30
394	393	359	384	263	72
395	545	373	741	680	289
396	110	224	589	21	12
397	322	759	179	459	497
398	618	401	421	440	755
399	680	283	9	222	218
400	17	180	284	435	120
401	177	190	301	773	547
402	246	612	393	278	351
403	116	363	266	75	599
404	439	65	657	702	277
405	59	66	685	705	368
406	734	126	651	731	454
407	543	146	18	385	703
408	333	334	100	85	673
409	681	766	390	432	415
410	605	528	368	356	291
411	372	604	798	301	700
412	204	320	552	564	628
413	307	310	411	720	376
414	675	486	26	337	572
415	64	708	336	25	539
416	633	77	78	797	678
417	432	102	752	211	498
418	205	27	627	545	249
419	656	172	659	312	234
420	473	98	171	505	533
421	206	248	308	103	639
422	775	282	212	113	256
423	349	451	665	381	491
424	38	427	205	307	19
425	472	356	441	70	60
426	99	425	661	247	268
427	238	384	144	61	310
428	365	445	422	423	719
429	717	615	716	492	532
430	272	709	235	763	625
431	284	584	490	736	615
432	737	743	594	258	329
433	69	16	250	704	130
434	126	362	463	794	187
435	164	127	475	41	689
436	693	439	424	309	326
437	698	330	4	317	121
438	546	300	740	732	710
439	536	718	213	310	761
440	379	342	789	466	344
441	92	140	70	750	175
442	659	181	149	686	674
443	49	268	772	3	358
444	340	689	650	47	94
445	345	169	43	393	669
446	55	561	634	604	11
447	462	685	470	2	296
448	567	57	743	689	707
449	63	795	203	105	795
450	607	760	703	124	128
451	335	350	7	179	299
452	419	70	75	687	461
453	429	125	676	602	667
454	320	227	744	123	10
455	279	509	604	551	622
456	326	449	625	627	666
457	426	723	600	72	708
458	471	336	451	414	260
459	198	487	358	413	77
460	780	230	724	250	246
461	616	20	112	234	543
462	447	210	260	654	227
463	613	245	293	628	22
464	43	605	354	380	161
465	558	431	252	50	410
466	257	56	436	339	137
467	121	303	67	49	239
468	655	116	342	474	767
469	716	337	482	798	636
470	276	656	385	681	780
471	615	654	326	192	223
472	132	251	591	236	724
473	649	236	119	479	595
474	146	691	607	535	476
475	81	351	612	286	324
476	415	560	672	77	282
477	324	163	774	86	73
478	4	333	356	120	303
479	256	539	311	389	553
480	597	456	667	462	203
481	24	730	102	528	588
482	541	233	721	149	663
483	297	112	394	217	549
484	26	670	211	175	103
485	510	609	106	43	133
486	82	773	762	788	302
487	130	734	242	700	682
488	627	675	488	334	687
489	62	344	739	424	401
490	661	78	8	480	749
491	420	575	695	269	379
492	517	145	551	553	702
493	549	683	478	669	78
494	144	588	465	534	471
495	584	249	709	761	384
496	109	392	175	757	318
497	782	134	675	453	257
498	502	276	528	769	609
499	319	407	487	57	371
500	57	463	139	333	111
501	709	199	240	208	336
502	248	2	609	463	730
503	701	513	236	451	760
