	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	346	284	309	217
33	276	351	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	392	366	366	253
37	325	403	368	367	257
38	326	412	383	381	260
39	337	428	384	399	264
40	355	431	393	404	269
41	367	456	400	436	287
42	378	462	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	467	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	509	490	372
49	432	548	512	498	421
50	449	565	540	502	426
51	454	598	542	516	431
52	455	617	545	518	434
53	457	618	548	524	480
54	463	620	554	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	483	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	541
63	531	707	661	634	543
64	564	713	676	638	579
65	572	718	683	644	592
66	590	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	354	120	701	475	226
101	912	17	193	946	359
102	671	71	893	254	150
103	482	85	240	14	631
104	248	391	107	82	452
105	469	433	968	222	115
106	274	436	577	380	976
107	60	439	866	416	464
108	440	332	767	56	614
109	722	647	876	336	950
110	161	4	272	977	394
111	293	226	672	938	0
112	437	987	639	876	402
113	861	578	840	593	357
114	152	12	942	585	694
115	131	928	913	497	198
116	232	202	1	721	653
117	553	365	491	203	502
118	907	519	786	427	418
119	201	550	443	949	521
120	309	585	294	395	484
121	805	376	302	46	629
122	570	940	675	999	750
123	76	468	673	589	11
124	452	90	266	372	657
125	604	34	752	911	189
126	217	694	590	176	882
127	363	48	115	185	318
128	484	385	186	257	760
129	365	347	696	63	696
130	173	675	433	633	954
131	149	51	941	537	868
132	667	87	967	9	686
133	368	706	214	81	77
134	779	260	921	830	752
135	269	469	904	302	188
136	311	925	320	588	317
137	163	686	916	168	231
138	999	737	927	865	871
139	843	673	102	351	557
140	377	952	50	908	20
141	808	196	246	594	706
142	582	263	474	545	450
143	930	719	507	199	860
144	411	3	669	272	129
145	934	146	566	271	808
146	206	405	180	42	201
147	351	645	643	134	203
148	30	545	407	882	802
149	216	475	108	504	72
150	168	182	543	40	641
151	611	350	746	701	121
152	207	593	222	846	176
153	140	313	504	241	414
154	73	559	575	411	595
155	797	770	251	362	131
156	414	505	172	311	591
157	347	461	514	237	727
158	310	379	85	897	606
159	496	415	964	403	73
160	370	18	131	567	505
161	835	911	599	282	613
162	781	54	520	468	482
163	345	372	100	556	247
164	950	504	653	947	1
165	107	239	970	389	927
166	766	580	629	838	547
167	447	554	17	512	630
168	350	320	576	770	797
169	85	213	679	543	667
170	613	968	129	12	556
171	418	417	449	50	307
172	22	742	496	355	323
173	957	236	502	484	548
174	254	449	742	425	523
175	660	211	435	284	458
176	106	474	277	466	4
177	13	833	386	206	85
178	137	132	602	561	621
179	584	440	321	207	122
180	474	579	924	616	756
181	357	384	262	941	39
182	436	277	72	952	762
183	917	807	651	45	120
184	472	248	230	443	465
185	61	306	762	964	41
186	972	57	285	31	117
187	636	500	55	48	416
188	913	777	558	238	623
189	794	644	215	677	564
190	120	743	394	505	290
191	958	348	0	954	799
192	134	522	879	67	181
193	925	298	737	766	952
194	529	699	265	285	810
195	709	360	195	447	551
196	615	443	349	776	977
197	7	377	208	461	578
198	34	701	559	501	599
199	663	546	9	603	174
200	705	258	167	418	898
201	616	799	773	809	241
202	710	599	546	178	390
203	679	222	667	554	995
204	241	512	417	822	258
205	298	241	380	631	368
206	881	590	882	83	356
207	706	282	628	301	920
208	250	183	31	618	685
209	654	624	846	571	211
210	172	189	983	110	313
211	299	625	250	295	375
212	977	499	680	669	842
213	559	809	609	470	792
214	464	373	986	268	284
215	503	907	199	984	273
216	439	139	950	171	468
217	442	787	299	767	469
218	62	275	198	538	82
219	70	708	890	137	47
220	115	42	271	630	213
221	863	996	990	765	467
222	196	7	376	835	433
223	916	366	677	122	332
224	799	293	465	670	266
225	687	297	275	316	550
226	809	444	177	332	611
227	398	450	984	440	859
228	524	424	709	643	427
229	990	677	363	135	92
230	928	521	314	575	350
231	138	407	768	405	168
232	290	163	287	105	124
233	78	591	603	419	393
234	291	442	492	215	445
235	218	107	40	581	665
236	506	556	519	570	345
237	382	531	403	799	407
238	59	517	111	942	214
239	404	575	117	41	96
240	599	723	270	393	893
241	239	319	229	921	933
242	244	419	729	310	252
243	189	130	621	260	908
244	11	797	864	995	424
245	927	256	911	163	133
246	444	481	122	68	238
247	340	477	899	423	395
248	336	78	34	269	207
249	485	581	989	385	515
250	462	448	615	729	506
251	86	660	570	5	441
252	376	511	880	3	285
253	155	49	7	345	598
254	441	571	776	714	559
255	657	331	116	323	143
256	49	630	369	13	249
257	323	427	233	768	581
258	754	314	453	986	510
259	941	465	458	653	970
260	558	649	162	377	362
261	556	650	22	792	165
262	763	668	41	889	524
263	103	729	797	632	161
264	637	538	133	306	644
265	883	8	868	562	363
266	39	626	937	981	955
267	438	137	936	304	512
268	634	380	173	344	948
269	331	101	475	551	18
270	297	990	622	619	561
271	647	679	993	868	100
272	94	82	624	671	571
273	182	905	200	467	63
274	402	38	802	549	154
275	260	14	344	275	723
276	139	485	665	557	575
277	154	564	631	914	425
278	871	851	343	550	297
279	4	886	73	266	31
280	868	169	468	49	370
281	516	181	365	547	270
282	762	10	96	30	754
283	842	83	416	474	164
284	284	455	920	536	403
285	384	70	593	90	513
286	123	124	684	772	866
287	9	185	699	635	259
288	817	273	67	183	718
289	833	259	298	871	913
290	32	607	426	130	497
291	109	262	779	235	466
292	546	549	469	526	242
293	247	199	176	553	109
294	307	949	8	602	140
295	508	937	806	601	268
296	50	310	345	913	483
297	537	161	764	8	171
298	593	285	883	111	194
299	609	175	431	748	531
300	104	340	237	950	984
301	741	619	312	102	528
302	417	710	254	737	558
303	348	292	898	710	822
304	54	798	670	441	874
305	792	557	390	246	993
306	409	992	947	916	911
307	146	954	325	703	989
308	969	81	360	476	378
309	306	883	425	990	376
310	712	567	813	232	705
311	588	135	141	61	67
312	330	195	14	370	384
313	92	204	969	189	240
314	230	200	934	609	397
315	375	695	187	36	200
316	19	217	336	415	511
317	648	453	689	857	479
318	256	917	586	723	309
319	692	472	792	98	707
320	768	247	39	315	981
321	164	327	513	738	698
322	772	534	185	347	64
323	756	140	704	71	837
324	665	687	422	966	501
325	914	39	630	253	453
326	510	635	485	462	157
327	536	115	581	817	175
328	100	126	137	78	987
329	279	446	487	140	331
330	563	274	666	231	770
331	700	490	444	173	745
332	645	399	341	125	44
333	684	779	856	709	781
334	987	230	933	793	809
335	587	769	256	138	647
336	314	934	21	280	163
337	884	233	966	38	826
338	886	193	633	907	419
339	942	302	311	492	229
340	215	6	47	917	519
341	467	471	389	226	763
342	538	31	218	686	196
343	633	941	863	236	724
344	18	362	561	146	50
345	338	703	497	453	675
346	283	423	925	328	167
347	847	435	61	808	876
348	849	589	125	16	462
349	625	615	181	256	900
350	135	606	871	564	437
351	638	638	244	724	410
352	394	631	833	394	373
353	198	343	348	291	703
354	67	210	385	165	813
355	701	709	44	218	447
356	837	441	777	0	886
357	422	484	706	439	669
358	777	291	842	657	570
359	541	754	109	563	299
360	317	167	202	400	439
361	691	880	660	661	753
362	65	94	611	191	969
363	224	279	151	319	110
364	683	378	71	297	125
365	55	482	506	194	233
366	253	30	477	307	635
367	551	307	714	880	786
368	221	398	563	187	601
369	249	187	123	186	567
370	550	368	695	464	607
371	466	633	216	103	139
372	108	411	11	507	30
373	703	489	613	422	973
374	251	434	309	169	398
375	190	818	104	883	61
376	191	611	817	678	847
377	121	445	155	625	586
378	171	920	623	314	65
379	450	370	619	22	59
380	818	251	843	614	554
381	446	466	90	262	604
382	275	646	857	148	646
383	415	363	148	432	971
384	47	683	247	910	432
385	42	864	269	320	588
386	549	33	372	214	102
387	933	355	526	293	36
388	606	341	646	762	391
389	458	103	211	998	626
390	678	410	900	258	829
391	534	102	606	229	585
392	759	100	355	600	740
393	433	20	578	47	422
394	424	315	686	239	246
395	651	416	228	689	870
396	955	678	553	233	435
397	543	383	375	823	710
398	769	692	169	620	986
399	180	842	290	97	846
400	202	454	528	195	498
401	719	529	687	656	281
402	222	764	657	818	227
403	624	198	884	286	228
404	52	389	881	414	931
405	390	979	327	338	366
406	434	55	860	499	992
407	658	976	81	760	997
408	764	153	585	604	663
409	166	740	479	364	438
410	822	9	635	204	549
411	17	286	264	101	35
412	970	97	317	29	589
413	40	228	136	881	600
414	619	843	490	610	836
415	866	525	851	95	691
416	567	58	52	434	251
417	580	663	743	412	272
418	778	854	428	463	507
419	292	884	707	795	91
420	272	731	531	753	182
421	901	353	747	141	731
422	93	901	364	109	210
423	380	145	94	129	37
424	492	582	976	636	636
425	659	24	6	683	51
426	258	312	718	37	652
427	262	885	328	227	947
428	695	507	618	300	499
429	698	614	398	152	385
430	979	142	600	869	459
431	618	401	450	520	735
432	48	789	690	324	881
433	273	651	459	527	907
434	294	680	70	786	365
435	471	76	274	192	440
436	373	820	24	172	887
437	621	547	419	488	534
438	535	727	350	66	853
439	696	972	510	968	25
440	798	655	952	139	896
441	602	21	319	457	14
442	954	817	293	718	104
443	72	464	591	75	301
444	116	515	357	684	668
445	151	594	931	106	153
446	268	948	897	481	40
447	160	900	86	76	21
448	571	955	414	54	764
449	632	561	517	160	784
450	968	506	592	566	594
451	443	5	481	929	353
452	921	330	399	154	330
453	428	794	397	508	916
454	851	895	448	743	60
455	752	698	194	482	148
456	187	27	248	847	917
457	465	16	778	517	183
458	603	304	499	426	97
459	427	714	654	623	615
460	145	739	956	525	803
461	195	37	332	196	767
462	640	592	501	181	236
463	210	837	472	680	714
464	349	897	286	142	215
465	504	857	537	57	720
466	493	437	83	787	998
467	519	301	579	663	135
468	393	203	668	153	684
469	235	563	161	94	400
470	742	349	146	80	680
471	445	516	231	576	562
472	8	457	238	992	823
473	476	859	588	132	689
474	68	68	452	449	116
475	24	80	650	121	230
476	431	459	865	802	628
477	328	903	145	660	520
478	803	772	412	707	303
479	28	795	518	810	235
480	303	508	524	383	57
481	193	63	607	863	529
482	246	586	165	558	590
483	133	114	36	730	316
484	662	802	3	330	22
485	362	11	48	955	79
486	286	899	378	591	583
487	111	325	432	893	476
488	0	705	300	224	263
489	324	993	51	424	80
490	956	793	901	586	78
491	56	509	4	33	277
492	194	863	423	343	52
493	114	106	859	937	338
494	548	238	106	621	958
495	984	501	626	216	921
496	967	823	796	373	151
497	389	266	557	397	68
498	498	62	948	274	493
499	143	36	391	920	311
500	694	29	488	761	412
501	75	438	598	312	816
502	98	966	292	867	321
503	488	318	658	162	399
504	985	803	852	209	405
505	944	243	276	734	503
506	204	622	532	541	232
507	573	488	885	569	16
508	841	495	224	340	878
509	147	980	134	595	744
510	839	759	862	997	532
511	410	938	810	74	801
512	353	93	721	382	62
513	105	60	242	788	535
514	84	933	775	369	337
515	566	961	37	17	775
516	478	639	25	544	327
517	740	321	996	758	867
518	670	421	130	673	831
519	830	134	352	839	988
520	430	945	888	862	960
521	511	539	97	354	490
522	555	566	735	379	364
523	784	860	903	848	834
524	739	944	28	960	946
525	681	758	587	816	544
526	295	736	649	722	267
527	513	874	595	454	282
528	731	656	38	212	206
529	997	636	816	513	759
530	252	382	516	65	656
531	170	553	124	751	294
532	807	227	731	157	587
533	57	89	213	763	180
534	405	753	765	690	371
535	495	354	998	522	93
536	708	889	486	667	336
537	760	264	601	69	489
538	865	738	235	720	661
539	583	44	712	789	292
540	966	720	671	53	325
541	753	870	27	705	639
542	649	544	66	337	86
543	620	149	503	248	972
544	521	92	65	878	283
545	579	908	12	856	602
546	887	162	995	193	138
547	685	487	620	892	659
548	676	240	625	180	328
549	795	357	10	583	851
550	673	848	120	388	221
551	854	806	805	396	326
552	341	669	659	72	428
553	281	898	895	805	676
554	998	388	324	250	897
555	176	766	221	958	126
556	852	497	930	27	838
557	228	562	470	446	582
558	153	890	678	493	525
559	301	834	291	887	985
560	729	951	232	698	901
561	996	767	77	641	839
562	992	696	217	939	944
563	343	704	835	577	279
564	525	425	138	815	749
565	813	745	331	521	856
566	908	283	691	479	622
567	51	131	973	872	295
568	899	184	252	126	209
569	724	551	763	983	472
570	810	186	798	478	848
571	717	847	994	692	396
572	29	498	547	164	333
573	122	295	887	666	942
574	515	59	493	836	748
575	77	746	178	859	677
576	895	999	326	448	930
577	487	173	645	349	910
578	594	836	870	640	495
579	320	303	283	509	379
580	175	172	789	167	280
581	668	177	171	124	772
582	931	814	837	202	105
583	936	242	454	993	849
584	592	486	958	928	890
585	787	206	279	92	576
586	448	207	157	888	315
587	259	971	739	529	212
588	502	724	154	452	769
589	666	914	418	421	417
590	477	77	160	303	869
591	770	978	766	34	457
592	517	231	795	948	481
593	486	73	447	407	818
594	578	569	489	989	522
595	641	125	793	327	655
596	646	56	534	934	415
597	142	28	638	410	348
598	391	160	730	104	27
599	360	470	29	445	383
600	918	879	261	741	542
601	975	503	268	672	774
602	755	939	891	491	855
603	848	478	2	790	835
604	300	918	420	759	875
605	971	609	979	574	734
606	978	536	774	208	429
607	184	596	574	402	796
608	735	711	965	814	605
609	574	155	824	26	708
610	747	395	906	806	386
611	429	926	951	682	28
612	905	170	733	255	980
613	101	413	89	530	88
614	565	429	681	752	572
615	460	605	356	831	815
616	23	234	713	629	717
617	963	915	382	540	577
618	43	862	318	352	155
619	962	831	35	409	841
620	245	613	944	334	700
621	943	642	64	64	924
622	356	568	637	943	949
623	980	95	19	807	460
624	855	904	560	652	388
625	358	867	132	903	904
626	192	702	333	926	824
627	697	943	288	864	596
628	945	985	395	702	127
629	906	99	829	659	804
630	745	929	95	853	500
631	577	208	693	356	658
632	318	280	755	91	733
633	119	741	515	890	99
634	261	783	580	780	894
635	826	136	159	371	699
636	811	69	811	824	555
637	939	756	573	642	888
638	144	156	896	775	54
639	359	658	304	361	367
640	834	406	803	442	975
641	650	197	869	387	463
642	408	46	406	145	565
643	117	821	957	245	854
644	568	535	892	796	994
645	796	572	500	639	312
646	130	329	758	736	46
647	544	245	430	924	234
648	545	420	988	735	616
649	352	865	409	612	697
650	629	717	769	685	53
651	983	896	853	945	978
652	480	159	281	471	938
653	749	220	197	879	406
654	528	981	32	127	446
655	532	555	351	170	74
656	653	749	347	967	24
657	879	878	849	713	324
658	89	815	245	704	670
659	539	574	313	681	624
660	711	158	700	514	342
661	562	514	402	875	560
662	853	873	527	951	158
663	265	560	404	511	702
664	885	364	144	267	255
665	872	830	616	572	159
666	743	652	720	826	912
667	46	396	741	980	909
668	220	888	305	794	518
669	643	781	166	829	584
670	369	852	831	560	761
671	704	685	569	539	963
672	267	610	361	860	885
673	748	480	367	988	144
674	596	361	872	719	239
675	856	912	874	858	757
676	396	997	821	596	736
677	776	333	87	265	939
678	988	983	830	317	935
679	815	45	754	495	6
680	896	261	662	158	603
681	321	875	912	655	693
682	435	786	353	294	903
683	878	816	201	693	478
684	801	839	5	58	791
685	96	757	791	240	739
686	713	201	387	973	352
687	287	344	354	970	940
688	806	192	949	430	807
689	576	75	858	750	943
690	20	600	539	149	302
691	234	337	784	757	820
692	280	430	655	213	132
693	361	601	756	43	190
694	379	957	438	20	634
695	569	164	963	259	224
696	960	209	212	985	377
697	126	634	188	535	19
698	162	212	582	532	805
699	522	628	190	221	411
700	2	2	13	2	15
701	15	23	15	15	43
702	45	26	23	35	87
703	53	35	26	87	95
704	69	43	33	88	98
705	74	64	84	108	101
706	83	84	112	112	112
707	91	88	113	136	113
708	99	91	119	143	119
709	113	113	127	147	147
710	118	118	150	156	166
711	128	127	152	159	179
712	136	128	158	174	197
713	150	143	179	179	205
714	179	147	184	184	208
715	205	150	205	197	219
716	271	174	209	219	225
717	288	205	219	220	265
718	289	219	220	223	271
719	296	223	223	225	276
720	305	225	225	270	278
721	308	276	289	278	288
722	322	278	296	296	289
723	329	281	308	305	300
724	334	288	322	333	308
725	335	289	335	335	322
726	342	296	339	342	329
727	346	308	358	346	334
728	371	322	359	359	335
729	386	326	374	374	339
730	387	334	381	386	346
731	401	339	392	392	358
732	413	358	401	401	369
733	420	371	408	406	374
734	456	374	421	408	387
735	461	381	429	420	408
736	473	404	442	451	413
737	494	409	451	456	451
738	523	426	455	460	455
739	527	451	460	496	456
740	540	473	461	500	473
741	542	491	473	510	491
742	552	494	494	523	494
743	597	496	505	528	530
744	605	530	523	533	533
745	608	533	530	552	552
746	612	540	533	555	573
747	614	542	536	597	597
748	617	573	552	605	608
749	627	584	568	617	610
750	642	597	608	647	612
751	661	608	612	648	617
752	664	627	627	664	642
753	682	643	648	674	650
754	690	648	652	688	662
755	715	664	664	700	672
756	716	672	682	711	674
757	721	674	697	725	681
758	725	676	715	726	682
759	726	697	722	728	688
760	727	715	725	732	715
761	728	716	728	747	716
762	732	721	771	773	726
763	734	722	781	778	728
764	744	725	782	782	732
765	751	726	785	785	751
766	761	755	788	800	755
767	771	761	790	812	773
768	773	771	800	819	780
769	774	774	801	820	785
770	780	780	814	828	790
771	783	782	820	832	800
772	785	784	825	834	811
773	790	804	826	840	812
774	800	812	827	855	814
775	804	819	828	861	819
776	812	825	841	870	825
777	821	827	844	874	827
778	828	832	850	877	828
779	832	841	855	891	832
780	836	844	867	894	840
781	840	845	877	902	843
782	844	849	889	905	844
783	845	850	902	909	845
784	850	869	905	918	850
785	873	877	909	923	857
786	877	892	918	940	862
787	902	902	919	953	889
788	915	906	922	957	892
789	919	919	926	959	919
790	922	922	929	961	922
791	923	923	932	962	923
792	924	932	935	963	932
793	929	935	953	965	953
794	932	959	961	972	962
795	938	964	962	974	964
796	953	975	971	975	965
797	961	982	974	978	974
798	974	991	981	982	979
799	982	994	982	991	991
