	kfold1	kfold2	kfold3	kfold4	kfold5
0	13	0	38	20	6
1	29	22	49	31	41
2	53	37	59	44	52
3	104	82	60	87	82
4	115	96	63	91	113
5	160	149	71	129	135
6	186	197	74	140	141
7	221	202	88	196	160
8	252	267	92	197	172
9	255	279	96	214	173
10	261	327	126	232	190
11	286	382	154	239	243
12	367	423	219	253	273
13	380	481	228	273	342
14	389	496	246	379	346
15	417	500	331	384	382
16	476	551	374	399	388
17	480	552	404	410	432
18	542	566	428	412	462
19	556	576	434	464	474
20	587	587	444	470	514
21	637	600	519	496	567
22	664	678	548	499	619
23	667	698	564	506	627
24	707	716	579	518	631
25	748	747	590	586	692
26	757	752	596	657	716
27	759	777	642	717	720
28	784	780	645	721	742
29	794	788	666	777	745
30	78	160	765	403	46
31	585	361	255	618	463
32	580	150	65	38	184
33	176	321	128	231	358
34	623	786	127	68	783
35	591	617	518	0	13
36	249	385	376	635	401
37	304	550	148	175	43
38	15	133	477	569	681
39	263	243	691	160	645
40	634	680	418	401	614
41	709	798	616	383	758
42	334	417	528	178	451
43	281	495	7	108	112
44	484	54	586	287	276
45	214	420	283	734	161
46	497	302	442	137	486
47	688	4	327	293	252
48	563	387	357	208	321
49	26	47	581	544	601
50	566	292	37	387	482
51	607	62	392	157	179
52	660	230	701	444	698
53	443	442	142	352	189
54	122	68	734	542	798
55	347	317	256	385	62
56	370	791	212	315	531
57	674	130	275	376	753
58	629	120	336	738	624
59	108	539	499	162	351
60	596	688	79	587	704
61	189	615	508	85	191
62	485	530	649	494	551
63	89	389	187	505	221
64	377	241	124	30	90
65	754	702	699	681	320
66	630	620	451	500	357
67	538	183	482	191	511
68	146	383	342	775	663
69	539	487	223	532	74
70	541	428	411	493	769
71	121	6	361	612	341
72	302	259	413	749	238
73	184	458	111	263	309
74	354	451	247	679	685
75	399	184	619	9	363
76	198	564	214	373	470
77	322	269	794	300	376
78	323	211	388	259	101
79	409	750	582	685	402
80	434	356	744	797	796
81	294	67	743	740	71
82	502	276	210	634	362
83	588	360	258	236	14
84	758	109	298	286	297
85	662	300	186	270	226
86	722	531	277	382	123
87	137	345	176	28	306
88	272	732	634	661	784
89	594	484	708	237	50
90	763	108	291	267	741
91	388	250	345	558	174
92	386	255	628	371	322
93	768	168	472	556	187
94	379	295	767	375	453
95	551	287	353	422	149
96	50	280	640	261	389
97	318	740	674	461	422
98	282	283	403	707	429
99	138	44	598	148	408
100	204	521	359	667	110
101	118	597	368	757	439
102	201	105	668	655	629
103	729	508	600	390	553
104	444	167	242	676	231
105	685	290	611	616	523
106	435	36	526	727	418
107	1	445	119	659	109
108	289	634	427	101	421
109	529	28	174	536	294
110	540	797	221	537	335
111	742	344	297	2	136
112	665	541	204	291	743
113	441	744	563	166	151
114	642	426	606	653	603
115	340	21	125	125	102
116	306	262	414	571	641
117	250	784	366	421	646
118	712	33	591	182	481
119	309	100	719	761	177
120	93	375	369	485	272
121	149	325	387	72	749
122	308	384	31	408	518
123	463	590	43	246	509
124	173	351	51	170	440
125	253	647	29	666	711
126	408	358	697	211	186
127	44	323	696	128	145
128	237	318	764	631	92
129	34	608	200	466	100
130	239	330	402	435	621
131	10	14	775	416	87
132	230	592	350	646	600
133	124	599	229	525	216
134	524	335	399	572	508
135	203	402	385	328	405
136	457	654	618	201	367
137	574	537	185	367	340
