	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	346	284	309	217
33	276	351	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	392	366	366	253
37	325	403	368	367	257
38	326	412	383	381	260
39	337	428	384	399	264
40	355	431	393	404	269
41	367	456	400	436	287
42	378	462	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	467	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	509	490	372
49	432	548	512	498	421
50	449	565	540	502	426
51	454	598	542	516	431
52	455	617	545	518	434
53	457	618	548	524	480
54	463	620	554	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	483	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	541
63	531	707	661	634	543
64	564	713	676	638	579
65	572	718	683	644	592
66	590	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	648	485	651	53	79
101	963	149	247	897	998
102	72	475	488	822	466
103	833	445	341	945	301
104	363	500	458	951	657
105	863	427	518	213	992
106	762	589	472	311	317
107	458	611	506	787	459
108	414	638	106	594	368
109	465	743	720	132	868
110	113	34	443	673	78
111	187	362	430	371	14
112	709	161	188	616	635
113	660	625	0	514	699
114	580	521	631	921	345
115	86	937	389	3	323
116	914	757	892	203	829
117	657	987	967	910	598
118	636	546	115	389	87
119	927	677	67	269	405
120	682	981	90	500	295
121	109	487	590	505	727
122	647	187	557	20	556
123	998	259	449	856	425
124	448	11	162	30	40
125	809	503	270	902	804
126	582	204	157	257	311
127	301	245	670	643	740
128	324	678	718	248	307
129	259	77	996	215	67
130	362	551	275	56	615
131	663	512	514	685	51
132	347	210	811	496	315
133	438	655	418	653	366
134	469	87	830	347	303
135	279	580	138	517	393
136	171	424	950	204	920
137	741	233	473	266	457
138	405	107	127	315	100
139	770	371	715	938	911
140	661	256	224	767	578
141	371	911	380	556	860
142	134	920	360	227	268
143	781	683	846	840	927
144	111	935	129	256	273
145	401	140	966	920	950
146	731	549	684	183	561
147	683	522	931	286	300
148	928	277	131	195	696
149	722	449	201	564	446
150	797	779	611	807	669
151	350	466	869	576	72
152	107	137	5	453	562
153	137	364	279	74	194
154	446	952	298	235	41
155	217	125	426	31	630
156	210	174	653	65	403
157	676	940	291	26	548
158	292	591	563	334	383
159	766	694	767	619	940
160	195	49	678	540	629
161	431	240	534	440	904
162	427	315	269	241	515
163	640	807	909	562	753
164	569	489	347	149	332
165	390	20	856	942	455
166	613	132	765	410	388
167	306	385	302	545	575
168	528	36	251	306	559
169	55	120	947	442	336
170	651	756	205	479	183
171	168	954	600	730	626
172	637	135	788	641	367
173	760	337	177	124	751
174	849	142	714	484	786
175	999	131	193	278	882
176	975	353	585	681	841
177	659	162	181	12	482
178	950	770	254	743	375
179	735	238	85	385	63
180	271	297	9	224	165
181	936	643	300	139	235
182	616	626	137	337	259
183	105	289	639	750	65
184	752	278	245	561	812
185	958	391	394	403	686
186	885	206	155	402	607
187	29	928	36	301	225
188	807	448	22	772	464
189	476	809	264	129	750
190	146	407	868	187	947
191	529	504	797	160	432
192	232	585	477	497	987
193	957	706	578	984	505
194	658	8	941	54	551
195	779	701	607	462	278
196	703	561	919	550	122
197	379	434	911	302	472
198	871	590	416	140	416
199	967	793	402	362	39
200	149	181	277	657	731
201	756	847	779	270	571
202	180	48	520	563	206
203	704	468	314	963	599
204	769	433	7	829	611
205	189	529	677	236	338
206	842	57	937	293	419
207	18	754	777	126	705
208	56	955	403	591	479
209	492	68	479	176	330
210	668	833	116	602	748
211	534	497	419	724	677
212	615	350	566	448	47
213	817	647	679	407	489
214	504	573	489	809	247
215	336	3	635	40	823
216	868	727	766	285	116
217	917	100	490	271	988
218	382	54	503	48	468
219	443	672	526	881	180
220	777	830	332	16	376
221	987	275	250	995	230
222	563	172	123	445	613
223	338	557	221	510	501
224	866	613	107	75	325
225	434	534	109	87	762
226	665	976	762	846	770
227	201	474	72	830	644
228	954	97	474	63	210
229	7	10	516	393	621
230	440	459	920	907	557
231	780	723	633	148	465
232	216	496	213	258	822
233	59	731	468	169	68
234	135	687	186	507	903
235	881	401	248	492	856
236	997	222	643	351	604
237	404	895	957	729	182
238	260	783	695	452	236
239	317	306	916	652	125
240	701	379	459	625	979
241	806	544	325	137	564
242	275	453	890	952	239
243	484	472	4	947	357
244	521	263	602	794	589
245	94	266	802	838	61
246	30	581	407	876	215
247	314	303	448	108	249
248	377	21	195	336	805
249	160	519	144	704	476
250	163	242	252	581	881
251	510	198	450	355	263
252	508	301	319	526	769
253	103	330	990	125	30
254	310	234	673	737	497
255	50	644	876	165	650
256	913	480	501	414	445
257	516	114	956	304	450
258	727	692	414	50	154
259	687	404	172	344	907
260	673	488	993	595	441
261	609	443	621	941	270
262	256	766	667	345	954
263	710	979	447	883	22
264	411	550	789	162	458
265	85	279	433	449	285
266	60	631	404	229	121
267	934	450	497	786	583
268	543	241	33	418	350
269	583	968	34	741	133
270	485	313	925	323	691
271	162	545	363	314	252
272	854	370	984	677	228
273	393	465	50	0	233
274	311	227	687	482	585
275	248	213	425	216	948
276	4	650	211	254	513
277	418	115	100	245	378
278	593	258	299	395	138
279	384	925	108	42	739
280	318	879	41	36	52
281	506	348	365	34	588
282	343	193	385	600	653
283	151	554	989	557	96
284	442	334	465	583	226
285	352	538	581	338	866
286	52	540	764	425	483
287	122	26	893	536	534
288	540	901	630	185	196
289	375	517	31	538	73
290	334	39	52	770	547
291	241	73	492	13	281
292	887	211	896	97	874
293	32	314	345	383	670
294	161	286	881	466	484
295	70	997	327	238	876
296	13	318	73	499	840
297	11	155	94	105	241
298	550	325	798	593	290
299	117	484	344	122	519
300	330	298	690	447	240
301	772	357	372	817	211
302	654	780	47	823	803
303	696	852	775	110	370
304	671	985	924	660	327
305	787	167	39	81	908
306	349	885	435	892	258
307	480	464	55	382	407
308	73	366	785	882	809
309	435	903	228	567	164
310	131	383	326	656	646
311	570	787	167	508	213
312	513	441	746	178	283
313	290	482	657	142	896
314	567	579	70	934	617
315	502	18	686	560	931
316	8	898	882	441	752
317	695	729	537	543	417
318	376	539	238	776	326
319	17	798	897	167	92
320	942	75	21	926	885
321	698	31	134	718	622
322	309	102	927	22	427
323	992	16	324	109	606
324	222	273	756	416	131
325	323	160	763	240	836
326	851	355	262	847	21
327	445	405	619	92	913
328	249	675	998	758	764
329	901	896	119	789	573
330	345	382	580	913	50
331	368	295	321	340	871
332	48	85	613	250	946
333	114	158	8	604	512
334	764	992	615	678	901
335	606	663	689	948	799
336	273	899	304	520	775
337	796	739	675	134	623
338	477	344	17	521	115
339	140	705	185	421	797
340	969	14	240	233	439
341	721	777	871	259	395
342	571	698	558	47	57
343	839	274	833	714	167
344	139	76	6	762	714
345	61	695	586	924	469
346	450	679	271	917	503
347	955	62	730	191	151
348	49	764	274	981	175
349	42	310	14	415	385
350	700	724	187	721	698
351	487	880	652	41	140
352	274	70	87	701	467
353	155	411	646	67	550
354	67	435	390	373	661
355	193	514	737	38	846
356	295	12	455	372	684
357	517	343	469	275	102
358	133	363	237	504	155
359	269	799	431	766	4
360	298	789	699	377	718
361	602	508	391	172	109
362	538	737	40	635	238
363	391	507	86	698	767
364	666	139	487	424	348
365	729	226	154	432	16
366	556	439	148	788	490
367	968	673	806	14	271
368	803	563	217	419	524
369	742	378	355	690	362
370	899	169	290	723	759
371	439	368	729	312	18
372	452	990	198	512	529
373	172	185	899	950	277
374	679	423	173	193	554
375	768	183	180	260	82
376	120	619	151	937	859
377	62	746	913	474	602
378	47	531	229	103	266
379	138	419	731	168	989
380	633	195	952	589	168
381	115	416	452	553	433
382	415	321	817	226	299
383	588	769	432	468	971
384	706	230	524	8	229
385	604	248	588	554	309
386	474	509	395	427	418
387	433	56	901	310	414
388	482	304	561	549	31
389	250	836	485	49	384
390	759	103	609	237	163
391	235	395	742	218	36
392	925	285	48	630	520
393	254	42	102	911	284
394	719	236	606	332	886
395	380	907	1	621	447
396	549	506	336	5	198
397	206	886	266	501	1
398	39	380	591	443	802
399	108	633	691	799	377
400	365	177	851	810	972
401	619	741	887	544	780
402	493	943	976	610	761
403	247	802	442	763	359
404	78	742	364	57	365
405	713	372	375	887	647
406	576	939	905	566	207
407	467	30	214	491	656
408	228	429	616	997	984
409	166	360	559	316	900
410	300	917	626	297	763
411	389	806	601	268	749
412	130	217	624	555	689
413	154	63	969	111	411
414	895	186	623	943	576
415	670	599	412	692	590
416	142	575	883	705	337
417	852	331	948	880	502
418	173	134	669	173	997
419	971	260	547	759	97
420	92	601	169	159	652
421	65	444	849	324	37
422	76	649	285	719	328
423	690	848	517	609	53
424	486	817	399	672	85
425	348	384	77	806	242
426	464	282	343	968	970
427	795	189	898	868	364
428	202	669	860	814	668
429	548	720	707	795	499
430	740	593	171	102	117
431	985	173	382	186	209
432	123	153	671	535	685
433	979	869	796	328	221
434	545	202	44	539	887
435	568	9	349	317	62
436	286	606	111	824	415
437	252	78	859	857	839
438	625	319	122	135	80
439	646	302	531	802	916
440	224	349	971	94	27
441	929	645	125	90	412
442	101	261	231	722	663
443	705	262	202	246	161
444	262	251	769	284	363
445	748	327	519	76	200
446	143	556	124	206	938
447	830	377	754	761	586
448	175	686	61	839	706
449	221	55	26	192	318
450	121	27	579	400	655
451	299	145	199	222	77
452	234	740	293	221	708
453	0	292	576	773	129
454	847	795	593	509	44
455	253	547	272	434	440
456	836	607	369	985	234
457	763	80	665	914	391
458	753	615	510	467	702
459	331	630	654	513	555
460	293	307	438	748	707
461	624	823	575	916	424
462	798	59	660	689	135
463	422	81	96	370	560
464	537	124	866	631	101
465	96	501	543	836	201
466	436	332	83	262	624
467	691	797	792	753	898
468	984	571	475	303	231
469	303	440	378	632	59
470	519	293	376	61	851
471	297	857	10	189	917
472	546	5	11	439	400
473	34	182	160	990	390
474	258	163	117	893	352
475	553	130	318	295	892
476	466	635	701	955	452
477	198	553	235	710	549
478	196	376	417	33	334
479	441	415	223	330	272
480	100	33	970	253	316
481	907	586	256	666	181
482	754	469	38	998	331
483	592	851	13	870	227
484	579	82	863	163	189
485	990	425	570	992	665
486	284	90	423	633	581
487	684	710	317	684	631
488	621	200	12	405	373
489	941	4	936	871	675
490	447	934	3	575	139
491	599	197	161	588	506
492	424	794	178	154	723
493	938	71	546	669	148
494	191	978	655	585	955
495	794	436	309	138	203
496	116	668	706	537	11
497	524	373	496	423	893
498	360	941	233	570	297
499	799	196	133	380	591
500	145	704	356	986	986
501	207	568	895	464	848
502	784	199	842	760	124
503	685	430	709	58	214
504	618	17	926	17	773
505	815	884	778	265	827
506	164	555	313	949	91
507	429	88	773	454	525
508	745	614	408	816	878
509	75	477	658	451	735
510	328	192	733	977	0
511	594	389	680	207	379
512	908	719	930	196	844
513	638	914	212	152	930
514	46	624	821	703	267
515	555	6	158	989	745
516	408	58	421	702	634
517	905	535	32	45	715
518	294	658	37	481	824
519	813	399	603	527	144
520	980	92	874	647	980
521	346	28	879	859	511
522	884	203	768	525	977
523	77	143	242	547	522
524	578	999	828	37	46
525	776	566	620	752	960
526	53	721	704	780	408
527	396	126	166	826	25
528	119	446	793	461	429
529	749	912	152	603	969
530	106	703	232	642	628
531	587	511	97	364	949
532	972	341	958	889	74
533	558	569	752	495	159
534	307	786	539	274	894
535	930	471	491	529	246
536	430	926	246	709	853
537	667	839	141	346	353
538	291	699	486	209	64
539	645	971	681	386	126
540	856	859	286	493	975
541	642	651	776	940	521
542	653	600	629	765	942
543	853	470	354	571	399
544	960	280	949	572	224
545	916	442	622	661	636
546	471	892	587	623	772
547	541	656	974	147	302
548	126	567	852	88	754
549	629	949	995	620	232
550	68	525	650	891	104
551	320	622	904	95	680
552	551	312	357	422	921
553	144	966	312	707	143
554	153	106	200	993	935
555	792	7	504	923	724
556	840	863	331	121	703
557	896	753	986	863	587
558	620	38	320	973	720
559	354	636	215	860	507
560	220	767	668	793	681
561	708	834	666	601	292
562	614	491	470	908	814
563	566	365	885	476	890
564	357	44	27	320	321
565	280	709	843	359	86
566	535	820	422	300	910
567	818	996	951	307	616
568	649	136	493	928	808
569	805	660	218	282	828
570	251	239	672	655	820
571	204	818	328	614	943
572	410	486	599	586	188
573	9	83	222	82	342
574	444	417	292	792	435
575	321	708	65	456	849
576	369	388	230	522	110
577	370	410	795	848	815
578	417	243	625	171	280
579	272	951	216	349	601
580	634	610	903	475	993
581	503	854	942	551	558
582	218	772	130	954	251
583	373	646	935	978	667
584	611	759	786	319	567
585	522	938	507	106	658
586	931	745	618	768	570
587	398	609	81	72	792
588	283	320	592	29	437
589	970	333	453	181	369
590	57	714	499	785	119
591	886	564	66	488	157
592	230	247	502	199	614
593	808	652	350	239	394
594	632	499	311	879	565
595	462	490	513	352	710
596	883	948	968	68	958
597	977	340	857	78	410
598	692	578	934	411	995
599	40	516	348	343	438
600	747	574	889	35	811
601	296	354	743	184	939
602	91	572	865	342	834
603	402	781	800	683	923
604	51	281	983	143	533
605	956	738	398	158	88
606	878	481	28	361	682
607	923	874	268	463	276
608	147	865	577	967	726
609	728	888	755	734	132
610	532	559	184	153	498
611	152	933	829	671	54
612	456	864	659	831	387
613	755	150	739	957	733
614	184	37	136	618	791
615	265	396	826	401	153
616	527	347	244	223	282
617	877	29	146	629	869
618	478	945	981	939	717
619	711	461	877	574	478
620	715	495	963	430	150
621	641	849	595	136	642
622	574	831	825	888	406
623	361	220	29	43	402
624	712	505	560	659	639
625	945	93	831	757	832
626	356	749	813	356	693
627	170	722	179	970	888
628	804	803	500	369	428
629	461	642	747	735	93
630	498	426	827	101	813
631	577	454	461	532	974
632	98	164	805	528	734
633	565	906	791	83	313
634	89	816	265	478	552
635	717	929	528	636	801
636	996	170	225	379	973
637	15	46	735	408	800
638	865	827	176	905	95
639	778	774	696	808	796
640	268	843	693	975	810
641	773	478	758	872	976
642	190	702	351	145	963
643	837	685	159	46	374
644	801	584	288	327	462
645	176	905	803	354	672
646	743	184	367	958	843
647	552	923	638	157	171
648	22	870	781	815	610
649	924	498	287	27	158
650	811	95	900	738	676
651	872	288	132	800	785
652	54	536	283	541	356
653	83	975	728	231	35
654	329	560	481	412	460
655	848	821	973	720	838
656	966	592	921	999	531
657	879	904	814	670	837
658	150	35	648	130	981
659	681	761	569	640	912
660	562	634	145	232	493
661	472	900	294	333	760
662	288	24	429	569	190
663	511	908	741	834	603
664	939	101	568	966	600
665	496	329	784	980	857
666	104	628	197	104	544
667	215	437	801	775	495
668	192	398	858	471	816
669	678	758	712	426	491
670	495	582	220	960	924
671	573	815	888	700	99
672	539	696	409	865	422
673	525	562	816	194	346
674	536	60	353	663	60
675	28	680	700	164	826
676	394	223	853	890	595
677	351	980	994	864	371
678	353	421	840	903	847
679	739	842	574	796	255
680	906	201	884	680	700
681	488	264	582	214	535
682	834	231	628	66	279
683	650	875	25	291	312
684	194	159	645	667	594
685	287	283	194	713	324
686	800	841	120	80	528
687	643	594	912	470	756
688	182	890	444	394	166
689	246	957	649	446	854
690	544	438	880	202	105
691	724	993	872	71	398
692	20	291	637	946	212
693	822	814	713	280	875
694	603	225	906	272	985
695	912	228	721	180	952
696	843	175	104	9	24
697	244	207	598	686	20
698	340	883	553	818	842
699	437	94	71	558	453
700	2	2	2	2	6
701	19	23	15	15	15
702	23	43	19	64	19
703	24	45	23	69	28
704	43	51	24	91	43
705	45	64	35	98	98
706	69	69	51	112	112
707	74	84	64	127	113
708	84	89	84	141	120
709	93	91	89	146	127
710	99	99	95	156	147
711	118	113	112	170	174
712	128	118	113	174	176
713	136	127	150	179	179
714	179	128	165	197	197
715	205	146	190	208	205
716	239	147	208	212	208
717	245	156	209	219	219
718	261	205	219	220	265
719	267	208	261	225	288
720	281	209	276	255	289
721	289	212	281	267	294
722	305	219	289	294	308
723	308	276	296	296	322
724	322	296	305	305	329
725	335	308	308	335	333
726	341	322	322	374	335
727	342	326	333	387	339
728	358	339	335	388	358
729	359	358	339	392	386
730	386	361	352	396	396
731	387	374	358	397	397
732	409	381	359	406	413
733	413	406	361	409	451
734	420	409	374	420	456
735	428	413	381	457	463
736	460	420	386	460	473
737	473	451	387	511	481
738	494	455	392	523	494
739	515	457	397	530	500
740	523	473	401	533	510
741	542	494	406	552	518
742	559	515	420	577	523
743	584	530	428	596	530
744	596	533	451	597	532
745	597	542	454	605	542
746	605	596	460	612	572
747	608	597	494	617	577
748	612	605	505	639	582
749	617	608	515	648	584
750	627	627	523	664	596
751	662	639	527	674	597
752	664	648	530	682	605
753	694	664	532	688	608
754	697	674	533	693	612
755	716	676	536	711	641
756	725	697	552	725	659
757	726	711	573	726	662
758	732	715	608	728	674
759	734	716	612	732	688
760	744	717	627	736	694
761	751	725	662	747	697
762	761	726	664	751	716
763	771	736	682	778	728
764	774	755	697	782	732
765	783	771	722	790	736
766	785	782	725	805	744
767	790	784	771	812	755
768	810	804	774	819	757
769	812	812	782	820	774
770	821	819	790	828	781
771	826	825	810	832	784
772	828	832	820	835	790
773	832	837	824	853	807
774	835	844	835	855	818
775	841	845	837	858	819
776	844	850	841	861	825
777	845	860	844	862	831
778	850	862	850	867	835
779	855	867	855	869	845
780	861	873	862	874	850
781	873	877	864	875	855
782	902	878	867	877	862
783	915	889	870	878	867
784	918	897	891	894	870
785	919	902	902	909	889
786	921	915	918	918	897
787	922	918	922	929	909
788	932	919	929	953	919
789	933	922	932	959	922
790	943	932	933	961	932
791	944	944	944	962	933
792	953	959	953	964	944
793	961	961	961	965	953
794	962	964	962	972	962
795	974	972	964	974	964
796	978	982	965	982	965
797	982	983	979	983	978
798	983	991	982	988	991
799	988	994	988	991	994
