	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	1	42	18	5
1	3	13	45	32	7
2	6	19	59	44	10
3	10	25	62	52	12
4	16	32	63	60	23
5	21	41	74	79	33
6	25	53	75	84	49
7	26	98	76	86	55
8	38	110	79	96	56
9	58	112	80	114	58
10	66	116	88	119	66
11	71	117	93	123	69
12	79	123	99	133	70
13	82	148	105	144	81
14	90	152	110	151	89
15	129	178	114	166	103
16	141	188	118	175	107
17	157	218	121	177	108
18	165	244	128	182	111
19	174	249	149	188	118
20	185	250	156	190	128
21	199	252	168	200	141
22	203	253	183	242	142
23	211	254	191	243	156
24	214	255	192	244	169
25	229	257	210	249	170
26	236	267	226	261	177
27	237	287	227	263	178
28	243	316	234	277	186
29	255	323	263	290	191
30	257	338	273	298	204
31	264	342	282	299	216
32	270	346	284	309	217
33	276	351	306	313	223
34	278	375	310	329	237
35	315	390	316	339	243
36	319	392	366	366	253
37	325	403	368	367	257
38	326	412	383	381	260
39	337	428	384	399	264
40	355	431	393	404	269
41	367	456	400	436	287
42	378	462	413	444	304
43	381	463	436	458	305
44	388	476	437	459	340
45	392	483	467	477	341
46	397	520	471	483	344
47	400	527	480	487	360
48	423	541	509	490	372
49	432	548	512	498	421
50	449	565	540	502	426
51	454	598	542	516	431
52	455	617	545	518	434
53	457	618	548	524	480
54	463	620	554	546	485
55	470	623	565	568	486
56	475	637	583	580	492
57	479	640	589	584	508
58	483	654	604	587	509
59	489	666	632	607	526
60	514	671	641	622	537
61	518	689	644	626	538
62	526	691	656	628	541
63	531	707	661	634	543
64	564	713	676	638	579
65	572	718	683	644	592
66	590	730	688	649	627
67	595	733	694	651	632
68	598	748	702	654	637
69	610	750	708	662	640
70	674	751	716	665	645
71	688	760	717	675	690
72	693	768	719	679	692
73	699	775	723	687	711
74	730	778	727	695	712
75	737	788	732	712	738
76	746	791	734	733	742
77	757	811	736	740	746
78	765	813	738	744	747
79	782	824	744	749	758
80	788	829	745	771	765
81	789	838	750	779	776
82	791	846	783	798	777
83	819	858	794	801	783
84	823	866	804	825	787
85	858	872	808	827	793
86	882	876	822	833	821
87	891	891	838	845	861
88	909	893	861	852	864
89	910	894	873	854	873
90	935	930	875	884	880
91	937	931	894	886	895
92	940	936	910	898	899
93	946	947	914	900	906
94	951	956	945	904	915
95	959	960	946	915	925
96	965	967	959	927	926
97	986	969	977	936	928
98	994	973	987	956	996
99	995	989	991	976	999
100	384	283	474	427	307
101	271	350	524	461	575
102	182	329	824	750	971
103	207	206	543	456	317
104	523	482	293	984	548
105	570	331	606	266	129
106	368	150	635	817	150
107	55	273	776	576	881
108	790	679	1	347	614
109	916	699	876	389	478
110	887	389	387	762	479
111	651	468	937	883	561
112	760	627	380	897	792
113	649	940	458	512	439
114	665	774	868	908	332
115	48	803	534	561	562
116	62	177	686	323	846
117	314	907	993	124	163
118	260	952	55	630	631
119	289	126	115	235	468
120	318	503	857	163	388
121	568	797	157	714	462
122	297	343	430	405	85
123	833	209	52	68	115
124	580	906	830	910	109
125	797	48	983	53	581
126	553	303	313	507	4
127	443	935	416	275	484
128	884	954	365	105	551
129	458	3	363	685	259
130	348	517	557	830	311
131	972	137	193	12	676
132	476	379	67	510	327
133	766	376	730	302	61
134	363	533	777	856	368
135	275	87	4	48	295
136	836	645	843	772	505
137	474	315	224	838	433
138	269	445	3	500	589
139	404	384	788	581	345
140	954	167	435	562	11
141	957	706	758	74	907
142	168	928	472	765	242
143	259	30	148	125	357
144	430	71	779	380	750
145	350	42	290	980	854
146	682	395	119	729	533
147	582	251	186	311	808
148	958	337	904	280	201
149	496	845	581	557	419
150	171	469	347	947	87
151	299	626	996	551	756
152	274	554	501	301	14
153	343	451	276	787	989
154	340	521	523	496	364
155	431	519	177	583	893
156	559	743	890	840	284
157	194	341	797	730	513
158	30	901	254	641	466
159	633	417	941	20	585
160	357	465	264	239	429
161	143	729	289	951	515
162	244	461	107	786	586
163	464	410	251	882	148
164	722	823	155	303	799
165	742	854	898	505	694
166	928	162	302	701	39
167	284	327	558	466	797
168	411	487	639	65	18
169	466	245	291	248	375
170	292	391	785	213	550
171	247	638	369	653	559
172	352	120	599	643	871
173	317	770	659	501	352
174	191	504	720	245	452
175	503	169	408	224	157
176	752	455	566	204	318
177	85	694	798	921	691
178	447	132	514	955	393
179	642	6	578	545	745
180	709	146	298	445	558
181	218	545	201	139	266
182	849	591	966	484	549
183	817	719	695	45	206
184	206	238	215	250	79
185	615	683	611	54	402
186	359	489	801	543	630
187	637	756	275	552	236
188	279	793	461	403	998
189	224	298	925	126	100
190	701	611	869	556	621
191	56	812	5	442	570
192	94	987	805	149	684
193	134	475	202	678	338
194	248	231	929	858	68
195	155	160	7	337	290
196	625	20	513	942	947
197	173	56	585	945	497
198	195	643	916	312	723
199	604	779	477	537	975
200	22	568	927	206	82
201	727	49	240	415	336
202	657	859	217	40	95
203	106	563	901	26	182
204	927	149	112	718	383
205	351	217	90	517	890
206	945	363	345	941	281
207	534	140	893	419	856
208	866	163	238	41	489
209	462	433	403	660	228
210	471	247	199	549	88
211	813	937	879	418	215
212	228	36	97	284	670
213	780	434	673	355	233
214	676	416	897	657	769
215	883	142	270	340	501
216	126	353	865	698	641
217	7	334	616	16	472
218	441	8	892	993	635
219	391	880	817	377	63
220	704	185	588	253	52
221	794	172	72	286	583
222	685	631	376	76	309
223	735	59	976	504	427
224	427	348	311	880	952
225	913	435	882	635	391
226	871	211	665	49	911
227	805	540	950	954	908
228	799	833	355	400	955
229	538	847	968	563	235
230	398	318	131	259	238
231	61	551	672	189	40
232	293	187	454	285	125
233	969	625	453	416	414
234	777	633	86	521	606
235	382	651	475	421	455
236	196	772	181	317	168
237	222	586	590	330	226
238	47	199	559	723	403
239	484	430	87	36	96
240	975	201	187	441	384
241	741	357	279	876	249
242	163	593	173	218	876
243	298	124	655	142	363
244	198	388	921	907	708
245	162	578	506	172	483
246	67	575	123	453	67
247	739	362	625	307	270
248	210	740	319	271	161
249	442	233	586	97	400
250	116	404	563	3	239
251	593	444	930	351	868
252	32	705	936	229	139
253	105	282	520	443	194
254	254	241	162	167	176
255	469	258	995	362	65
256	467	737	576	881	611
257	917	102	252	111	866
258	109	227	402	254	116
259	536	256	856	193	557
260	698	248	274	550	950
261	621	259	195	414	252
262	448	851	34	677	917
263	809	701	150	475	823
264	578	90	690	846	913
265	550	365	130	185	531
266	687	436	706	258	155
267	146	439	497	467	30
268	556	275	679	103	752
269	611	484	287	148	399
270	86	556	137	666	0
271	609	419	630	449	41
272	997	485	492	447	1
273	123	795	762	0	72
274	571	263	871	766	50
275	663	277	404	737	465
276	347	360	245	67	241
277	768	242	314	236	416
278	763	31	767	178	73
279	599	644	519	600	623
280	508	742	990	257	211
281	78	107	172	937	62
282	375	14	269	30	503
283	914	925	354	14	189
284	151	992	465	589	927
285	193	415	684	497	441
286	215	472	956	306	901
287	76	411	145	187	935
288	60	920	633	595	650
289	135	512	161	588	313
290	950	553	38	344	154
291	323	990	285	526	203
292	187	189	743	227	445
293	345	18	802	474	167
294	253	38	899	34	258
295	139	349	433	238	122
296	154	73	709	56	762
297	648	11	389	304	657
298	925	695	714	314	669
299	934	777	292	50	458
300	8	877	449	692	987
301	142	131	81	893	573
302	336	75	21	998	981
303	729	534	911	82	924
304	863	57	609	748	689
305	690	709	669	156	366
306	241	769	653	425	22
307	968	635	8	647	78
308	338	759	248	222	135
309	234	423	934	343	59
310	645	490	188	92	710
311	770	549	537	616	520
312	39	464	769	868	665
313	137	590	198	293	469
314	389	106	657	799	859
315	250	660	372	165	529
316	583	459	237	943	718
317	719	978	309	690	92
318	149	794	73	22	615
319	706	223	421	795	626
320	465	173	842	836	373
321	452	5	13	423	110
322	798	509	448	282	476
323	73	60	407	479	417
324	291	841	70	520	234
325	239	703	106	767	246
326	415	274	418	109	948
327	18	506	469	336	534
328	543	496	432	320	809
329	40	80	14	183	407
330	52	76	41	382	571
331	68	155	125	669	171
332	309	77	336	202	653
333	295	723	235	656	661
334	620	139	570	950	564
335	546	266	623	604	247
336	803	799	631	240	699
337	121	222	691	547	992
338	956	581	266	72	299
339	756	380	85	990	378
340	528	21	729	591	438
341	50	731	349	763	607
342	482	427	443	508	57
343	42	82	185	673	80
344	941	78	687	452	376
345	262	39	699	61	450
346	787	321	881	138	976
347	472	997	742	373	482
348	492	669	764	372	753
349	380	550	806	338	931
350	424	798	390	297	323
351	731	385	887	853	350
352	217	985	277	328	767
353	513	646	920	315	316
354	251	421	213	260	506
355	402	746	989	753	418
356	446	652	33	920	839
357	414	655	94	47	385
358	249	94	677	432	432
359	433	12	646	407	183
360	301	573	325	448	554
361	673	474	450	809	138
362	405	580	100	538	920
363	616	508	952	492	277
364	65	943	947	575	602
365	120	498	180	554	102
366	362	516	866	938	519
367	537	538	419	593	263
368	246	830	516	295	591
369	230	314	526	13	331
370	666	501	615	256	229
371	9	619	431	327	133
372	779	383	602	345	230
373	307	16	151	434	459
374	438	212	256	633	273
375	684	571	468	226	271
376	390	234	459	601	604
377	437	599	591	195	36
378	810	401	327	917	556
379	114	863	116	913	590
380	477	546	479	602	285
381	370	480	546	992	786
382	524	884	178	94	140
383	696	441	496	411	377
384	310	941	233	135	16
385	567	103	154	383	512
386	551	630	503	914	151
387	769	497	833	911	31
388	868	325	250	38	131
389	971	766	485	162	731
390	436	562	490	81	180
391	131	161	737	621	390
392	762	911	229	75	706
393	34	443	667	310	644
394	216	564	395	395	198
395	830	260	718	42	740
396	108	968	766	482	415
397	740	239	36	385	892
398	435	754	299	5	842
399	506	70	701	789	47
400	653	677	341	369	680
401	851	606	141	802	282
402	349	647	117	567	681
403	705	698	713	847	707
404	521	425	643	560	639
405	886	293	773	619	200
406	695	727	796	636	624
407	20	535	326	773	86
408	842	702	721	703	225
409	643	710	374	192	567
410	700	62	942	27	588
411	445	291	133	152	159
412	328	849	83	702	101
413	256	373	221	408	658
414	290	753	621	704	802
415	393	900	905	203	900
416	487	898	0	231	44
417	138	649	222	422	365
418	996	330	399	535	910
419	444	453	561	513	424
420	360	764	675	859	853
421	942	181	344	806	759
422	303	817	348	614	874
423	321	424	108	319	272
424	4	555	948	822	535
425	667	663	382	164	422
426	658	228	211	470	677
427	818	895	851	887	749
428	979	134	752	57	398
429	576	714	144	710	104
430	175	708	626	514	985
431	540	306	896	721	942
432	606	892	502	640	814
433	839	135	754	17	411
434	881	615	9	761	733
435	936	745	951	63	969
436	992	100	447	570	898
437	410	886	568	129	27
438	320	996	31	823	379
439	691	567	375	946	986
440	529	547	707	324	796
441	272	673	499	829	578
442	100	344	218	663	993
443	525	378	134	655	240
444	592	7	412	33	330
445	172	125	883	274	647
446	517	286	423	792	164
447	57	115	666	121	720
448	931	477	775	707	425
449	545	54	763	768	824
450	450	332	689	181	560
451	115	304	487	462	447
452	235	809	531	794	181
453	486	448	11	269	896
454	930	407	232	393	97
455	440	81	504	874	143
456	660	195	231	169	210
457	59	767	27	916	348
458	354	193	619	196	705
459	516	806	575	102	656
460	764	198	931	180	938
461	153	899	378	370	748
462	377	557	789	770	528
463	619	917	846	137	412
464	808	896	517	488	781
465	703	295	350	90	321
466	422	364	102	564	283
467	72	589	332	173	231
468	502	85	414	140	916
469	906	34	324	759	121
470	273	310	452	424	763
471	306	382	746	625	764
472	647	301	321	705	303
473	899	609	903	934	362
474	792	183	247	788	714
475	439	789	984	31	775
476	180	196	658	168	502
477	485	226	48	80	940
478	646	466	12	215	882
479	133	240	360	776	464
480	970	297	167	892	675
481	955	836	859	332	196
482	558	449	884	237	886
483	49	68	913	968	440
484	679	531	385	8	213
485	602	236	138	160	599
486	710	450	50	272	175
487	772	561	109	948	370
488	232	10	230	586	836
489	140	33	652	468	770
490	70	307	924	553	646
491	376	4	104	499	301
492	806	230	998	632	524
493	17	285	391	216	467
494	990	955	223	233	698
495	107	405	425	154	954
496	692	368	624	686	395
497	759	687	731	78	598
498	847	55	10	110	490
499	588	213	40	670	547
500	943	722	328	83	939
501	369	495	912	642	636
502	796	975	756	66	603
503	522	614	398	870	988
504	840	724	429	232	735
505	408	758	394	95	353
506	161	780	741	316	634
507	511	852	364	300	875
508	288	650	176	758	785
509	429	280	486	667	544
510	597	815	900	818	724
511	776	101	696	223	446
512	122	261	607	525	754
513	164	264	66	618	595
514	778	672	357	356	495
515	544	153	71	270	600
516	966	220	778	493	576
517	75	143	651	130	334
518	587	957	827	349	622
519	614	607	444	157	521
520	287	470	317	141	359
521	754	685	438	973	493
522	353	210	781	848	113
523	804	175	553	603	629
524	885	130	318	171	878
525	800	980	733	352	428
526	324	340	212	620	840
527	220	875	668	364	815
528	938	437	547	199	613
529	401	842	849	672	849
530	495	628	37	775	652
531	96	843	671	793	53
532	912	675	300	752	197
533	15	696	874	464	800
534	985	28	792	268	857
535	566	37	96	101	221
536	83	158	970	412	663
537	749	934	166	122	594
538	29	592	969	558	980
539	286	182	539	491	761
540	853	692	957	209	772
541	294	786	885	724	847
542	221	741	17	722	869
543	977	569	77	426	158
544	330	92	343	875	408
545	573	192	286	176	860
546	569	979	491	760	214
547	901	926	171	949	628
548	641	302	863	566	165
549	967	9	852	878	77
550	379	658	152	571	511
551	579	993	593	808	685
552	101	668	793	246	780
553	117	820	331	9	437
554	856	560	786	159	930
555	493	624	39	451	51
556	603	885	670	98	601
557	104	949	895	544	810
558	753	610	660	401	328
559	852	971	312	924	20
560	373	312	272	572	292
561	748	814	507	928	374
562	708	58	262	997	887
563	504	471	603	221	124
564	0	908	768	555	610
565	984	491	986	495	851
566	671	656	214	29	93
567	519	440	872	977	703
568	785	507	795	661	251
569	77	429	228	241	525
570	535	83	61	839	978
571	541	200	860	879	885
572	670	600	488	440	946
573	638	292	124	134	667
574	795	372	493	814	958
575	434	566	422	610	970
576	365	948	629	860	668
577	721	938	489	106	302
578	629	186	304	652	394
579	258	704	129	262	410
580	713	44	618	871	212
581	331	787	598	985	686
582	634	442	216	995	921
583	624	145	622	684	979
584	13	377	111	509	565
585	111	26	200	194	325
586	311	27	22	410	977
587	92	951	65	87	207
588	202	686	971	863	120
589	283	579	246	108	105
590	549	499	169	940	984
591	11	857	160	609	405
592	548	802	580	631	655
593	654	262	579	191	507
594	907	114	417	476	499
595	160	529	654	857	369
596	103	243	47	981	435
597	563	319	967	689	297
598	998	366	592	439	188
599	252	355	271	585	616
600	356	361	595	861	208
601	596	396	268	693	552
602	74	915	649	153	726
603	613	816	356	974	820
604	89	634	15	831	944
605	801	88	209	91	597
606	865	536	765	255	99
607	565	739	973	397	841
608	929	944	821	682	126
609	783	281	401	939	834
610	717	757	28	374	333
611	152	478	974	959	542
612	963	511	288	728	755
613	933	945	712	865	612
614	99	874	728	926	255
615	878	678	811	923	35
616	46	939	261	757	728
617	939	890	25	734	596
618	728	999	790	594	510
619	93	869	122	541	24
620	498	572	813	294	232
621	661	333	858	957	973
622	510	905	735	197	717
623	879	781	853	629	91
624	743	680	963	747	715
625	826	860	146	145	481
626	527	164	612	46	784
627	821	136	51	741	572
628	683	457	784	735	811
629	574	95	184	778	995
630	45	91	820	536	346
631	678	923	361	963	54
632	329	904	831	354	994
633	371	865	837	533	739
634	811	648	455	999	288
635	841	837	620	905	826
636	280	525	944	960	147
637	923	720	888	379	74
638	761	203	693	683	396
639	28	515	979	457	457
640	300	582	648	388	315
641	834	354	715	58	522
642	51	159	877	478	862
643	944	574	704	265	700
644	461	374	574	826	943
645	265	371	680	970	791
646	724	204	283	158	805
647	781	749	159	527	997
648	747	197	351	743	960
649	130	834	628	719	498
650	54	738	158	37	60
651	361	156	828	146	555
652	261	676	577	681	190
653	147	17	560	810	838
654	145	514	426	481	825
655	488	454	569	430	280
656	170	848	29	446	153
657	872	761	244	966	227
658	960	399	638	574	25
659	843	29	194	359	166
660	144	426	451	471	28
661	854	539	814	291	98
662	346	844	862	967	816
663	618	622	136	147	923
664	417	636	19	88	702
665	478	601	225	824	460
666	924	966	220	212	46
667	268	613	600	796	904
668	905	642	800	511	582
669	562	912	816	869	324
670	192	97	880	872	903
671	815	839	650	815	696
672	555	289	518	816	912
673	176	51	582	780	367
674	480	202	442	170	813
675	980	313	294	738	117
676	53	24	700	800	870
677	822	721	681	539	888
678	640	559	926	207	949
679	895	522	353	569	224
680	394	207	242	978	37
681	24	488	44	522	21
682	166	438	739	700	294
683	189	398	935	143	587
684	341	446	265	986	693
685	201	320	510	720	356
686	539	903	994	958	773
687	848	347	32	680	119
688	712	505	949	104	829
689	190	279	197	623	279
690	632	486	26	186	312
691	204	594	601	890	265
692	987	914	645	214	760
693	999	981	906	713	337
694	908	585	637	394	144
695	745	883	320	709	491
696	594	976	958	671	822
697	896	63	587	989	268
698	119	370	470	529	848
699	418	783	840	71	453
700	2	2	2	2	6
701	19	23	6	15	15
702	23	35	23	35	19
703	43	43	24	43	43
704	69	45	35	64	64
705	84	46	64	69	112
706	91	64	84	112	127
707	98	69	89	127	132
708	113	84	95	132	174
709	118	89	113	136	179
710	128	93	120	174	205
711	136	99	127	179	209
712	150	113	132	184	219
713	179	118	165	208	267
714	184	127	179	219	276
715	205	128	190	220	278
716	245	147	205	225	289
717	267	170	208	267	300
718	281	174	219	278	308
719	296	184	281	296	322
720	305	205	296	305	326
721	308	208	305	333	329
722	322	219	308	334	335
723	334	225	322	335	339
724	335	276	333	342	342
725	342	278	335	346	358
726	358	288	339	361	371
727	386	296	352	371	386
728	387	308	358	386	387
729	396	322	359	387	397
730	409	326	367	392	406
731	413	339	381	396	413
732	420	358	386	402	451
733	428	381	392	406	456
734	456	406	397	409	463
735	460	409	406	420	473
736	473	413	409	454	494
737	494	420	420	460	500
738	515	473	428	463	518
739	532	481	460	523	523
740	542	494	473	528	530
741	552	500	481	530	532
742	577	530	494	532	577
743	584	542	500	540	584
744	605	544	505	577	605
745	608	584	515	596	608
746	612	596	527	597	617
747	617	597	528	605	642
748	627	605	530	612	659
749	636	608	532	617	662
750	650	639	533	639	672
751	659	664	536	648	674
752	662	674	552	659	682
753	664	697	573	664	688
754	668	711	608	674	697
755	681	715	613	688	716
756	694	716	627	711	727
757	697	717	662	725	732
758	711	725	664	726	734
759	715	726	678	732	736
760	716	736	682	736	744
761	725	755	697	751	751
762	726	771	722	782	757
763	732	782	725	785	774
764	734	784	747	790	790
765	744	804	755	805	801
766	751	807	771	807	803
767	755	818	774	812	804
768	771	819	782	819	807
769	773	821	791	820	812
770	774	825	803	828	818
771	784	827	810	832	819
772	807	831	825	834	827
773	812	832	826	835	828
774	828	850	829	855	831
775	832	862	835	862	832
776	835	864	841	864	835
777	837	867	844	867	837
778	844	870	850	877	843
779	845	873	855	888	844
780	850	878	864	889	845
781	855	879	867	891	850
782	861	888	870	894	855
783	873	889	889	902	867
784	877	897	891	903	889
785	902	902	902	909	894
786	915	918	909	918	897
787	918	919	918	929	909
788	919	922	919	952	919
789	921	929	922	953	922
790	922	932	932	961	932
791	932	933	933	962	933
792	953	959	953	964	953
793	961	961	961	965	962
794	962	964	962	972	963
795	974	972	964	975	964
796	978	982	965	982	965
797	982	983	981	983	972
798	983	991	982	988	974
799	988	994	988	991	991
