	Strategy	Query	Class	Value
0	Random	q0	0	10
1	Random	q0	1	90
2	Random	q1	0	12
3	Random	q1	1	88
4	Random	q2	0	11
5	Random	q2	1	89
6	Random	q3	0	11
7	Random	q3	1	89
8	Random	q4	0	9
9	Random	q4	1	91
10	Random	q5	0	5
11	Random	q5	1	95
12	Random	q6	0	10
13	Random	q6	1	90
14	Random	q7	0	12
15	Random	q7	1	88
16	Uncertainty	q0	0	10
17	Uncertainty	q0	1	90
18	Uncertainty	q1	0	20
19	Uncertainty	q1	1	80
20	Uncertainty	q2	0	22
21	Uncertainty	q2	1	78
22	Uncertainty	q3	0	8
23	Uncertainty	q3	1	92
24	Uncertainty	q4	0	16
25	Uncertainty	q4	1	84
26	Uncertainty	q5	0	2
27	Uncertainty	q5	1	98
28	Uncertainty	q6	0	2
29	Uncertainty	q6	1	98
30	Uncertainty	q7	0	0
31	Uncertainty	q7	1	100
32	QBC	q0	0	10
33	QBC	q0	1	90
34	QBC	q1	0	0
35	QBC	q1	1	100
36	QBC	q2	0	0
37	QBC	q2	1	100
38	QBC	q3	0	8
39	QBC	q3	1	92
40	QBC	q4	0	10
41	QBC	q4	1	90
42	QBC	q5	0	28
43	QBC	q5	1	72
44	QBC	q6	0	23
45	QBC	q6	1	77
46	QBC	q7	0	1
47	QBC	q7	1	99
48	GraphDensity	q0	0	10
49	GraphDensity	q0	1	90
50	GraphDensity	q1	0	6
51	GraphDensity	q1	1	94
52	GraphDensity	q2	0	9
53	GraphDensity	q2	1	91
54	GraphDensity	q3	0	8
55	GraphDensity	q3	1	92
56	GraphDensity	q4	0	12
57	GraphDensity	q4	1	88
58	GraphDensity	q5	0	7
59	GraphDensity	q5	1	93
60	GraphDensity	q6	0	10
61	GraphDensity	q6	1	90
62	GraphDensity	q7	0	18
63	GraphDensity	q7	1	82
64	EER	q0	0	10
65	EER	q0	1	90
66	EER	q1	0	18
67	EER	q1	1	82
68	EER	q2	0	22
69	EER	q2	1	78
70	EER	q3	0	15
71	EER	q3	1	85
72	EER	q4	0	10
73	EER	q4	1	90
74	EER	q5	0	2
75	EER	q5	1	98
76	EER	q6	0	3
77	EER	q6	1	97
78	EER	q7	0	0
79	EER	q7	1	100
80	LAL_iter	q0	0	10
81	LAL_iter	q0	1	90
82	LAL_iter	q1	0	7
83	LAL_iter	q1	1	93
84	LAL_iter	q2	0	5
85	LAL_iter	q2	1	95
86	LAL_iter	q3	0	2
87	LAL_iter	q3	1	98
88	LAL_iter	q4	0	11
89	LAL_iter	q4	1	89
90	LAL_iter	q5	0	25
91	LAL_iter	q5	1	75
92	LAL_iter	q6	0	19
93	LAL_iter	q6	1	81
94	LAL_iter	q7	0	1
95	LAL_iter	q7	1	99
96	LAL_indep	q0	0	10
97	LAL_indep	q0	1	90
98	LAL_indep	q1	0	16
99	LAL_indep	q1	1	84
100	LAL_indep	q2	0	30
101	LAL_indep	q2	1	70
102	LAL_indep	q3	0	9
103	LAL_indep	q3	1	91
104	LAL_indep	q4	0	5
105	LAL_indep	q4	1	95
106	LAL_indep	q5	0	4
107	LAL_indep	q5	1	96
108	LAL_indep	q6	0	5
109	LAL_indep	q6	1	95
110	LAL_indep	q7	0	1
111	LAL_indep	q7	1	99
