	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	693	476	447	548	107
101	25	581	117	309	794
102	695	76	16	551	537
103	278	536	275	643	258
104	616	293	258	370	69
105	102	272	66	681	360
106	487	735	44	105	601
107	103	262	383	472	366
108	206	106	592	633	675
109	117	732	486	74	561
110	579	654	301	165	84
111	211	548	414	345	140
112	705	116	451	443	121
113	481	312	635	252	314
114	792	336	375	475	51
115	162	688	264	204	203
116	484	765	182	613	484
117	122	638	355	619	66
118	698	123	710	260	786
119	530	231	655	487	691
120	781	184	24	637	487
121	525	48	298	331	735
122	154	151	646	491	384
123	27	294	527	670	19
124	446	626	145	401	225
125	546	292	287	533	531
126	796	296	771	738	252
127	681	307	664	242	480
128	89	109	742	281	341
129	457	667	714	731	702
130	113	730	533	217	340
131	452	684	532	466	139
132	287	104	732	583	708
133	798	128	89	243	16
134	548	374	334	688	241
135	524	745	471	610	495
136	583	132	752	636	267
137	119	550	614	695	792
138	215	510	78	89	386
139	250	741	679	447	354
140	39	750	656	366	440
141	174	180	640	647	533
142	418	447	333	415	668
143	595	723	709	189	661
144	365	306	190	311	231
145	687	406	216	24	76
146	454	749	625	703	50
147	358	100	263	43	397
148	86	108	267	226	329
149	409	484	57	618	262
150	597	630	765	75	105
151	28	728	346	288	234
152	57	56	285	773	775
153	396	729	132	227	118
154	301	686	162	585	715
155	247	130	796	708	183
156	101	792	797	102	364
157	774	700	125	391	695
158	254	73	122	786	509
159	360	593	745	711	645
160	235	656	621	33	469
161	111	102	512	645	574
162	404	138	724	118	633
163	584	351	539	543	455
164	121	86	131	473	180
165	226	308	172	550	288
166	793	772	565	783	0
167	335	321	248	778	213
168	198	402	273	605	106
169	131	178	767	211	256
170	50	118	443	735	700
171	285	97	792	375	684
172	372	354	343	514	93
173	475	98	456	493	478
174	41	421	43	404	294
175	94	770	491	458	72
176	33	275	388	402	125
177	495	278	795	755	81
178	420	645	344	745	292
179	406	680	311	40	128
180	61	692	266	13	115
181	0	92	97	29	78
182	42	226	95	648	197
183	788	549	129	565	67
184	577	60	465	710	272
185	477	704	552	683	779
186	668	136	224	722	396
187	217	35	29	280	676
188	260	523	568	106	380
189	336	288	62	539	795
190	497	762	101	482	433
191	622	144	583	700	624
192	381	456	394	432	11
193	31	431	360	754	278
194	702	213	259	271	270
195	725	259	686	136	761
196	38	579	372	534	425
197	437	168	479	262	61
198	277	344	102	377	492
199	234	41	371	341	129
200	143	452	799	191	337
201	100	713	468	696	582
202	245	357	405	727	616
203	460	786	152	256	391
204	200	478	453	474	191
205	320	473	72	422	730
206	179	251	293	175	405
207	72	218	323	649	748
208	81	316	517	36	352
209	408	514	530	84	178
210	609	479	214	564	750
211	134	613	1	407	189
212	314	449	108	737	721
213	543	375	322	224	321
214	291	297	143	405	553
215	116	556	180	159	371
216	494	139	419	230	133
217	535	25	233	770	12
218	522	794	221	795	768
219	779	733	526	468	249
220	271	114	142	652	489
221	735	689	106	139	753
222	763	77	393	10	123
223	302	469	598	152	111
224	747	598	200	344	626
225	290	502	446	568	269
226	410	387	330	750	600
227	685	223	713	600	683
228	16	2	751	567	281
229	471	381	262	767	117
230	231	253	76	593	303
231	197	303	559	492	365
232	429	799	146	7	640
233	156	156	462	608	326
234	379	725	557	577	285
235	465	310	445	463	705
236	95	261	410	278	120
237	187	101	4	631	752
238	159	483	135	150	634
239	459	248	139	523	749
240	237	669	470	521	754
241	337	4	689	187	723
242	450	284	274	752	91
243	473	575	9	122	630
244	147	785	396	798	335
245	333	368	377	510	643
246	248	790	148	662	485
247	614	153	272	55	734
248	132	459	297	646	192
249	444	634	643	446	20
250	690	410	123	413	279
251	20	16	250	733	494
252	65	252	687	440	137
253	570	216	439	128	532
254	440	644	368	332	571
255	790	744	11	206	116
256	431	719	256	92	31
257	106	352	366	310	162
258	799	525	593	723	770
259	54	8	567	325	639
260	430	621	46	393	63
261	236	300	509	396	521
262	190	195	128	693	727
263	150	409	188	26	195
264	666	333	114	203	739
265	612	36	335	385	156
266	282	430	300	799	32
267	743	63	225	247	712
268	412	580	137	556	27
269	64	559	211	560	424
270	298	289	721	650	60
271	520	120	20	290	10
272	461	40	776	23	47
273	769	257	23	403	771
274	268	345	115	120	410
275	499	295	22	141	232
276	243	45	93	9	710
277	316	415	672	725	347
278	606	642	784	444	646
279	761	24	82	705	782
280	559	189	153	283	736
281	55	134	255	599	453
282	629	143	52	135	144
283	672	268	415	170	99
284	753	160	289	148	143
285	324	487	669	571	547
286	401	429	682	791	263
287	123	38	127	426	570
288	742	797	14	498	578
289	62	371	498	133	608
290	222	3	416	360	339
291	645	282	472	698	151
292	717	530	535	268	477
293	267	61	399	559	230
294	224	57	727	796	312
295	581	577	58	483	224
296	686	503	10	372	344
297	700	582	39	61	609
298	14	699	694	130	39
299	157	334	772	115	482
300	653	488	648	266	464
301	225	595	452	90	438
302	354	309	17	451	776
303	249	784	528	3	787
304	528	722	235	392	603
305	105	323	433	371	322
306	538	755	463	117	751
307	423	105	477	358	108
308	602	32	253	349	264
309	547	460	8	248	94
310	326	18	636	54	636
311	178	181	356	513	98
312	46	533	779	39	420
313	733	146	349	235	219
314	683	399	609	104	257
315	701	93	167	308	436
316	108	28	207	81	87
317	90	489	161	691	680
318	775	788	702	702	282
319	630	528	575	732	350
320	309	426	158	675	399
321	40	605	3	192	295
322	318	395	312	47	529
323	24	631	140	658	544
324	720	643	520	766	546
325	671	545	85	456	511
326	383	501	572	383	37
327	711	54	668	246	48
328	218	115	766	409	77
329	88	652	773	137	43
330	433	738	373	507	395
331	644	457	48	113	254
332	195	677	791	322	313
333	152	240	361	445	472
334	32	464	581	107	409
335	716	739	778	398	100
336	416	194	379	121	660
337	12	236	392	660	706
338	603	131	574	146	159
339	692	610	380	82	402
340	148	706	169	167	413
341	173	229	607	776	2
342	613	110	251	4	146
343	641	443	6	362	166
344	647	359	522	471	169
345	114	711	84	597	333
346	371	66	341	173	306
347	273	34	75	294	439
348	608	50	541	51	740
349	311	637	303	93	373
350	397	394	212	448	265
351	573	475	187	274	103
352	256	225	261	334	746
353	77	586	547	406	211
354	734	783	582	215	584
355	279	33	569	35	245
356	582	159	677	602	310
357	34	208	395	98	206
358	274	389	782	790	88
359	658	734	665	79	461
360	15	482	490	208	167
361	167	422	608	231	226
362	272	246	150	5	163
363	359	673	0	601	266
364	466	753	749	368	657
365	370	763	723	34	34
366	550	7	354	486	368
367	611	542	208	416	497
368	182	27	265	340	741
369	306	601	149	287	217
370	729	411	28	42	545
371	575	14	337	741	205
372	665	161	543	481	227
373	378	83	103	382	348
374	605	241	358	157	271
375	63	238	407	267	193
376	138	154	587	719	275
377	652	68	469	538	400
378	518	290	42	67	764
379	332	666	644	245	650
380	375	418	641	131	519
381	85	176	707	327	687
382	727	518	718	0	240
383	288	720	31	17	362
384	745	129	378	265	367
385	219	639	26	156	658
386	462	322	218	566	763
387	284	347	789	72	632
388	110	148	363	8	261
389	791	72	110	768	220
390	327	23	30	540	655
391	391	147	134	63	463
392	52	167	695	580	377
393	384	285	15	134	389
394	264	341	540	142	417
395	75	428	440	644	526
396	26	636	731	669	788
397	140	263	98	677	685
398	83	21	562	433	92
399	776	164	454	179	672
400	361	462	712	86	470
401	21	599	156	41	370
402	68	562	202	296	605
403	537	346	408	749	250
404	312	779	243	220	246
405	425	520	591	788	304
406	283	386	191	611	299
407	177	242	402	389	58
408	586	265	245	517	490
409	604	407	774	83	653
410	561	330	653	772	573
411	241	152	91	582	334
412	188	49	33	429	784
413	678	658	510	314	520
414	783	273	37	674	475
415	175	383	504	480	177
416	469	414	130	679	459
417	393	20	364	307	450
418	36	378	793	373	707
419	411	157	229	793	539
420	567	724	521	629	165
421	488	629	144	531	238
422	30	390	685	542	216
423	295	185	386	562	426
424	500	731	558	547	14
425	269	665	68	27	134
426	376	748	171	50	419
427	754	516	743	11	96
428	545	121	159	504	789
429	649	490	104	620	390
430	97	617	699	348	398
431	112	591	177	495	524
432	145	177	610	289	331
433	297	444	652	782	311
434	755	793	580	369	394
435	750	470	332	380	161
436	242	6	291	572	441
437	419	175	205	30	343
438	675	468	327	363	385
439	682	107	649	218	667
440	485	710	284	520	110
441	554	43	505	356	233
442	353	142	302	76	284
443	107	372	397	238	157
444	553	463	324	177	379
445	44	535	400	300	302
446	730	26	754	557	215
447	732	320	35	180	615
448	257	543	18	312	606
449	98	531	485	581	4
450	458	676	86	95	563
451	758	778	340	37	652
452	275	564	398	58	361
453	714	628	744	774	300
454	580	787	758	442	693
455	181	364	387	378	465
456	127	726	650	653	18
457	532	649	56	794	126
458	196	776	651	699	711
459	390	348	230	428	1
460	59	404	739	147	517
461	772	331	240	626	248
462	71	192	347	270	595
463	650	504	501	400	199
464	139	280	658	714	323
465	453	31	278	596	423
466	773	491	511	53	648
467	740	162	638	359	483
468	329	606	362	49	671
469	468	675	606	144	607
470	777	588	173	630	575
471	744	513	435	97	576
472	741	350	317	62	30
473	470	376	482	25	719
474	60	342	247	250	222
475	37	392	227	160	679
476	782	135	175	103	488
477	210	80	270	276	698
478	158	612	342	589	154
479	166	553	780	724	369
480	601	697	222	569	297
481	343	79	217	169	502
482	770	408	426	324	590
483	124	632	299	728	709
484	155	572	674	465	486
485	529	19	124	149	566
486	648	233	280	753	564
487	351	283	759	71	168
488	299	377	310	200	36
489	10	230	561	353	29
490	386	70	25	125	158
491	205	112	706	612	689
492	449	47	597	306	283
493	507	417	232	715	682
494	130	227	430	641	556
495	593	707	737	184	471
496	709	210	750	234	577
497	87	232	786	45	46
498	80	764	703	229	642
499	76	439	726	333	73
500	516	287	631	233	415
501	204	266	121	505	756
502	639	751	21	607	59
503	276	615	309	101	780
