	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	758	567	410	193	413
101	87	148	414	508	312
102	89	564	288	446	427
103	752	563	283	607	428
104	152	536	282	199	308
105	726	535	527	238	433
106	722	577	528	609	435
107	159	532	488	201	442
108	168	168	626	611	542
109	83	583	566	461	489
110	106	136	568	204	544
111	0	530	179	502	648
112	693	121	578	433	646
113	404	312	146	349	639
114	410	590	624	35	630
115	412	745	582	345	621
116	423	401	186	742	161
117	614	629	587	628	162
118	230	272	615	178	163
119	467	321	158	477	164
120	477	258	609	216	609
121	482	632	607	791	166
122	599	592	166	484	603
123	489	797	209	489	600
124	494	269	594	206	188
125	391	798	149	505	557
126	498	390	559	312	408
127	507	585	167	350	553
128	514	773	535	768	217
129	583	346	139	766	545
130	520	623	540	761	220
131	581	281	534	187	75
132	526	348	796	757	762
133	576	760	341	342	670
134	537	357	433	177	614
135	570	140	3	165	424
136	546	582	638	560	234
137	548	778	354	729	420
138	555	296	290	382	314
139	502	7	759	594	151
140	641	428	789	392	321
141	451	395	295	670	80
142	314	89	137	90	322
143	284	654	145	663	121
144	266	472	116	608	19
145	343	688	148	658	782
146	349	544	787	123	13
147	281	227	138	654	661
148	319	486	8	612	634
149	283	548	389	122	789
150	327	708	314	614	354
151	294	94	109	104	2
152	686	451	122	646	84
153	359	199	141	643	755
154	691	106	143	620	289
155	357	207	378	118	526
156	57	672	78	406	224
157	197	242	397	637	208
158	770	432	262	117	723
159	779	150	555	255	495
160	140	665	480	689	513
161	44	674	230	421	131
162	260	51	474	709	488
163	784	522	580	554	187
164	34	172	175	555	730
165	682	52	731	43	180
166	684	244	462	724	94
167	536	359	711	299	691
168	703	781	203	246	479
169	256	588	233	357	168
170	247	318	495	49	277
171	50	180	214	713	281
172	591	73	704	580	472
173	765	484	455	290	471
174	390	358	523	149	279
175	379	48	37	324	473
176	393	424	701	428	198
177	358	612	705	286	227
178	414	637	212	251	39
179	622	630	82	371	291
180	741	407	342	664	146
181	442	723	204	625	758
182	98	112	450	280	525
183	95	441	250	763	73
184	671	559	329	520	378
185	457	18	545	738	633
186	332	157	598	589	51
187	318	147	399	468	337
188	84	710	585	576	780
189	596	223	156	125	333
190	76	474	299	100	470
191	473	294	589	247	397
192	42	753	739	677	681
193	486	88	760	157	680
194	86	706	36	497	92
195	515	542	592	451	477
196	728	741	453	553	53
197	68	14	745	618	601
198	46	47	628	572	384
199	263	218	33	583	664
200	565	187	238	250	266
201	563	183	237	244	255
202	559	520	236	462	256
203	538	521	235	243	265
204	535	178	234	227	264
205	561	453	231	223	257
206	549	177	229	454	258
207	182	444	227	490	263
208	575	438	225	217	259
209	151	334	224	501	262
210	539	338	223	203	260
211	529	339	222	194	278
212	568	342	239	189	248
213	187	316	263	184	261
214	519	315	799	84	247
215	164	376	267	453	288
216	585	385	270	450	280
217	171	392	271	270	290
218	188	393	272	333	237
219	147	400	273	351	236
220	166	405	269	332	284
221	324	264	266	325	285
222	32	420	274	362	241
223	418	422	275	319	240
224	402	255	265	377	245
225	275	249	264	378	246
226	408	442	268	387	235
227	265	525	276	798	282
228	268	555	113	398	294
229	43	143	470	403	295
230	512	619	372	404	286
231	27	604	552	408	9
232	4	123	750	284	791
233	316	621	483	533	438
234	586	591	593	538	377
235	338	117	377	218	57
236	584	586	5	136	422
237	16	584	357	121	46
238	132	132	782	146	754
239	582	573	392	137	757
240	777	154	539	591	238
241	613	568	21	119	239
242	615	606	576	577	254
243	295	643	775	152	244
244	365	158	6	606	61
245	26	541	7	139	412
246	580	558	134	640	212
247	573	549	9	111	30
248	594	636	379	559	425
249	630	526	657	171	297
250	216	640	23	656	385
251	690	540	302	113	737
252	215	162	408	587	293
253	530	341	188	415	671
254	108	330	502	76	673
255	184	613	636	600	504
256	85	413	697	18	118
257	88	759	308	547	150
258	677	659	448	773	686
259	91	656	309	623	283
260	675	367	261	381	696
261	525	774	312	781	698
262	190	305	170	115	103
263	200	628	76	789	515
264	522	323	511	796	107
265	113	336	255	622	493
266	701	349	619	627	72
267	648	326	152	263	527
268	462	115	322	27	523
269	49	8	682	535	528
270	167	371	336	182	626
271	56	699	466	188	292
272	120	251	107	733	128
273	173	667	469	568	341
274	177	176	695	147	267
275	70	516	42	220	340
276	440	502	456	703	230
277	229	195	108	156	219
278	378	557	672	746	154
279	700	159	80	226	529
280	320	478	712	697	610
281	328	469	779	34	709
282	333	80	398	463	777
283	673	39	597	224	366
284	21	445	668	603	97
285	55	449	718	593	773
286	558	33	232	328	689
287	172	743	202	326	101
288	72	744	753	158	109
289	117	138	338	787	102
290	364	67	323	634	87
291	193	260	754	372	367
292	116	593	253	585	31
293	20	109	755	50	587
294	25	421	260	782	607
295	698	595	20	317	728
296	588	740	514	564	115
297	335	683	104	719	685
298	415	751	401	631	12
299	736	277	660	347	446
300	231	696	327	256	410
301	243	670	326	9	405
302	249	668	287	269	404
303	258	793	286	348	403
304	273	669	349	271	402
305	276	1	284	344	401
306	292	799	285	266	400
307	307	337	240	343	399
308	311	335	221	265	398
309	326	331	385	268	396
310	334	102	220	340	395
311	352	324	218	261	394
312	353	306	386	260	393
313	355	303	216	272	391
314	370	293	215	8	390
315	228	292	242	262	389
316	225	290	213	696	386
317	222	642	211	72	383
318	218	104	208	341	381
319	15	285	207	71	380
320	35	275	388	39	379
321	36	268	390	376	334
322	54	265	391	725	331
323	59	257	205	400	798
324	109	163	393	745	329
325	119	155	201	45	303
326	373	151	387	393	302
327	122	184	383	732	301
328	126	185	384	337	300
329	128	186	278	526	330
330	134	85	371	651	296
331	143	142	369	78	275
332	150	191	280	234	272
333	212	196	375	543	270
334	217	206	244	237	269
335	125	216	376	191	268
336	387	217	277	242	253
337	325	111	380	483	304
338	396	188	279	478	252
339	631	161	281	599	250
340	623	350	257	141	249
341	602	352	256	281	233
342	601	4	382	131	232
343	598	19	251	283	231
344	595	607	248	411	228
345	593	572	247	22	225
346	577	27	245	636	223
347	567	43	258	776	222
348	528	507	373	691	221
349	506	501	353	26	218
350	487	55	774	81	216
351	466	499	786	92	251
352	444	63	359	94	305
353	443	70	31	760	299
354	524	351	411	95	324
355	434	480	749	124	318
356	798	487	407	394	326
357	416	465	600	425	319
358	406	79	318	429	325
359	436	356	150	661	313
360	403	373	252	432	317
361	433	374	259	108	311
362	397	796	627	652	327
363	111	404	217	7	328
364	368	406	140	767	309
365	92	426	562	788	307
366	405	431	128	6	320
367	372	433	671	356	323
368	670	72	676	537	310
369	774	461	243	338	316
370	629	463	591	449	193
371	773	156	193	459	186
372	330	789	702	466	409
373	103	71	330	267	226
374	192	24	572	473	775
375	674	767	84	481	125
376	699	638	81	259	787
377	264	174	574	513	788
378	257	625	206	525	687
379	732	546	457	720	688
380	237	543	602	190	126
381	493	517	735	578	785
382	753	677	241	675	344
383	799	493	621	159	27
384	711	165	415	155	556
385	756	353	569	154	306
386	543	473	352	702	660
387	207	329	651	699	375
388	523	287	135	102	570
389	133	241	494	79	465
390	654	739	319	86	271
391	195	749	475	287	315
392	239	289	635	579	368
393	470	454	798	575	177
394	90	98	348	644	772
395	607	491	520	254	763
396	211	506	785	83	714
397	625	105	69	66	332
398	715	615	727	486	735
399	198	347	452	329	497
400	350	291	364	353	443
401	287	280	363	339	441
402	717	286	400	336	439
403	282	247	362	4	437
404	240	246	360	304	436
405	769	284	358	306	429
406	236	243	356	301	426
407	235	220	355	252	423
408	234	363	347	245	418
409	233	222	346	258	417
410	232	224	178	274	416
411	227	362	344	275	415
412	226	226	343	276	414
413	224	229	361	277	411
414	223	360	340	241	376
415	219	355	402	303	374
416	213	245	409	236	373
417	210	332	439	278	184
418	208	354	438	235	448
419	772	234	436	233	371
420	205	322	435	231	449
421	204	239	432	279	451
422	775	325	430	282	482
423	241	233	427	285	481
424	242	237	426	16	480
425	244	236	425	228	478
426	271	238	405	300	476
427	764	725	424	298	475
428	767	320	422	19	469
429	272	372	421	17	468
430	285	288	420	297	467
431	269	333	419	230	466
432	267	344	418	295	464
433	279	20	417	294	461
434	763	736	416	293	460
435	253	40	413	289	459
436	251	297	412	288	458
437	250	435	423	296	457
438	248	345	339	56	456
439	246	766	345	28	455
440	245	361	293	734	454
441	254	429	298	772	453
442	278	9	297	786	452
443	788	219	337	5	450
444	721	175	292	10	370
445	762	282	291	774	372
446	768	618	289	753	797
447	743	135	200	37	350
448	787	490	199	749	348
449	2	448	198	40	347
450	797	485	300	744	345
451	340	235	197	793	369
452	336	599	195	597	343
453	303	126	194	416	339
454	716	125	191	715	199
455	302	232	190	574	336
456	297	124	189	183	335
457	280	262	187	58	215
458	342	110	183	209	213
459	277	231	182	211	211
460	259	581	181	248	210
461	238	457	196	582	206
462	202	458	301	445	200
463	96	691	797	330	205
464	139	464	304	334	197
465	138	221	335	423	203
466	130	681	334	422	351
467	80	533	333	335	194
468	123	230	328	359	365
469	371	181	325	431	364
470	427	107	324	601	363
471	689	225	320	192	362
472	676	594	303	605	189
473	666	770	316	616	361
474	651	209	317	712	191
475	17	366	305	619	192
476	642	763	310	67	360
477	624	30	311	103	358
478	401	459	773	667	357
479	621	466	622	109	356
480	612	719	677	602	355
481	534	240	332	668	353
482	478	61	13	380	352
483	468	738	513	407	359
484	458	300	546	54	201
485	619	649	772	61	195
486	99	425	90	430	18
487	48	410	160	112	10
488	94	682	313	375	98
489	61	394	67	257	149
490	712	417	547	221	597
491	274	762	471	127	585
492	533	479	26	617	129
493	604	518	605	573	440
494	729	328	510	494	419
495	105	396	746	229	576
496	760	108	403	442	701
497	107	673	604	471	139
498	174	415	542	626	573
499	206	402	765	25	463
500	93	59	1	62	37
501	97	60	27	57	66
502	101	62	124	53	63
503	40	64	28	52	62
