	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	377	392	103	517	411
101	700	180	713	335	32
102	575	284	263	688	679
103	797	204	81	306	232
104	423	215	310	536	636
105	767	260	146	344	783
106	447	733	528	337	121
107	71	144	11	471	535
108	164	553	395	585	168
109	351	526	652	526	405
110	179	727	486	771	259
111	666	128	314	741	642
112	736	718	728	104	789
113	593	156	157	588	498
114	347	524	46	768	265
115	651	229	621	514	607
116	646	666	280	400	251
117	725	428	133	160	669
118	264	165	194	682	499
119	314	385	308	125	14
120	79	731	56	424	655
121	647	304	215	704	63
122	281	76	239	538	423
123	302	317	364	778	583
124	338	2	737	555	445
125	606	69	357	674	77
126	157	764	626	447	773
127	280	35	243	238	473
128	444	554	339	643	545
129	534	735	518	616	517
130	464	784	591	694	744
131	216	367	212	203	237
132	155	769	318	171	656
133	27	13	403	594	125
134	409	318	18	39	210
135	102	116	292	103	688
136	671	443	37	645	107
137	45	728	15	361	775
138	109	390	761	256	315
139	147	117	598	172	302
140	594	430	650	749	553
141	693	162	225	468	621
142	765	167	608	297	794
143	284	427	554	231	628
144	465	541	287	134	16
145	544	465	520	15	638
146	565	23	129	41	400
147	388	617	502	521	272
148	127	171	581	248	218
149	622	120	644	369	34
150	39	513	458	366	72
151	635	751	600	30	687
152	458	14	360	5	682
153	68	146	256	18	249
154	786	641	271	150	403
155	509	765	398	679	340
156	267	306	236	351	163
157	137	79	169	760	395
158	100	550	472	11	357
159	577	138	762	50	470
160	251	459	65	251	46
161	166	231	784	382	98
162	448	631	14	748	481
163	425	192	86	108	300
164	768	504	299	483	790
165	345	383	501	276	546
166	401	295	196	0	53
167	716	629	66	112	374
168	419	400	104	608	749
169	460	341	446	603	181
170	451	632	742	237	675
171	161	316	330	568	248
172	430	521	704	491	616
173	353	646	284	130	681
174	513	53	343	495	454
175	434	578	51	597	590
176	770	289	534	173	189
177	46	4	220	85	452
178	691	610	189	766	40
179	672	572	316	405	471
180	257	647	766	701	177
181	217	623	3	511	343
182	471	294	309	56	492
183	776	726	422	755	566
184	116	42	384	478	226
185	709	372	646	233	119
186	42	16	378	746	603
187	225	242	286	332	585
188	242	665	35	74	613
189	235	352	361	575	316
190	50	222	259	367	308
191	796	175	415	187	446
192	566	322	217	265	414
193	418	66	1	62	635
194	0	786	391	462	19
195	507	350	722	359	246
196	553	431	799	308	75
197	357	251	750	358	625
198	508	194	327	614	769
199	742	3	593	324	371
200	136	81	312	452	117
201	293	257	375	769	208
202	406	762	416	300	455
203	426	326	156	516	26
204	371	710	683	763	364
205	107	344	262	776	772
206	232	402	317	282	331
207	106	235	672	671	256
208	567	354	576	627	38
209	254	244	85	408	81
210	310	483	203	561	580
211	89	477	542	713	9
212	777	395	82	584	482
213	772	770	298	673	109
214	740	308	30	131	191
215	558	223	199	535	279
216	571	100	574	727	205
217	319	172	78	440	770
218	582	758	91	787	633
219	658	612	258	686	730
220	718	75	785	751	640
221	335	155	627	796	440
222	420	109	441	84	612
223	573	755	161	729	680
224	390	57	117	274	317
225	117	788	232	318	282
226	462	502	461	218	649
227	258	604	267	537	373
228	578	547	260	573	605
229	44	380	719	433	93
230	206	704	651	329	650
231	158	331	42	357	294
232	408	563	439	756	777
233	253	573	523	457	768
234	595	447	515	689	230
235	263	760	463	14	760
236	454	514	617	413	164
237	139	736	237	320	578
238	760	339	795	577	513
239	787	70	4	542	268
240	87	127	116	735	463
241	660	574	394	355	644
242	193	691	118	662	140
243	704	529	487	799	51
244	99	145	582	83	195
245	443	695	174	666	100
246	260	607	289	312	505
247	639	453	526	236	105
248	529	240	493	488	358
249	316	135	435	229	707
250	652	101	605	219	359
251	138	134	127	314	174
252	4	259	75	262	691
253	269	282	659	744	379
254	218	677	273	524	601
255	152	335	514	716	562
256	126	9	622	740	303
257	470	763	269	139	541
258	210	258	453	175	309
259	511	62	503	353	402
260	143	51	660	406	539
261	603	531	41	48	708
262	450	11	566	207	437
263	250	391	349	664	485
264	140	597	558	109	221
265	506	159	57	497	284
266	710	276	517	137	738
267	91	656	45	703	68
268	272	781	647	368	74
269	287	7	95	159	459
270	452	26	94	180	101
271	519	645	365	69	624
272	239	476	272	156	564
273	625	338	710	473	496
274	114	199	473	393	28
275	336	709	499	477	461
276	551	509	385	376	262
277	634	561	468	188	762
278	520	329	67	732	355
279	10	448	371	770	84
280	162	297	445	560	713
281	701	157	389	13	365
282	184	540	418	33	630
283	7	630	5	606	327
284	676	67	98	646	39
285	526	690	780	502	369
286	479	406	333	559	727
287	98	376	152	310	79
288	669	143	661	77	759
289	525	393	494	247	304
290	641	176	664	407	80
291	501	153	332	759	234
292	496	435	663	772	43
293	205	520	536	227	451
294	14	230	725	206	289
295	84	675	545	630	701
296	555	668	176	702	297
297	330	409	635	793	418
298	244	253	301	93	61
299	690	582	562	184	639
300	387	249	353	599	368
301	354	261	488	36	192
302	60	464	251	111	698
303	192	533	491	117	37
304	356	790	124	790	798
305	26	452	177	656	216
306	764	421	313	431	617
307	481	137	527	78	618
308	459	379	695	228	646
309	243	475	405	25	425
310	541	501	142	480	385
311	86	210	792	293	391
312	568	212	12	52	203
313	432	586	771	416	128
314	278	41	679	668	560
315	761	277	205	136	217
316	307	366	606	792	715
317	62	581	137	373	542
318	393	281	383	161	502
319	325	750	93	289	665
320	82	307	53	37	653
321	144	110	538	510	500
322	631	692	134	428	487
323	207	190	726	628	555
324	92	236	559	644	381
325	516	410	668	194	307
326	456	759	227	189	389
327	77	454	344	709	549
328	69	98	686	174	197
329	545	73	222	484	67
330	549	667	9	513	155
331	784	59	43	782	706
332	788	543	543	660	645
333	368	55	691	245	494
334	756	575	474	283	291
335	230	324	741	757	709
336	265	296	295	571	360
337	469	725	496	132	344
338	382	568	753	298	726
339	679	403	484	51	524
340	361	71	379	279	419
341	35	605	505	779	495
342	178	621	438	425	339
343	726	129	624	280	510
344	435	637	417	75	424
345	110	519	208	557	740
346	326	756	145	317	741
347	546	558	0	170	335
348	531	45	31	42	378
349	151	544	52	785	551
350	167	196	450	328	528
351	279	530	20	728	501
352	673	15	346	752	90
353	591	351	164	649	467
354	442	556	201	551	747
355	793	592	782	210	252
356	113	47	44	637	563
357	739	669	665	798	428
358	48	463	102	106	372
359	703	8	10	278	162
360	536	741	512	629	31
361	769	657	466	492	65
362	711	776	552	611	416
363	373	241	171	123	538
364	472	444	131	296	151
365	659	415	798	343	171
366	486	613	173	61	792
367	532	643	749	81	732
368	421	265	510	508	554
369	215	40	541	545	521
370	238	436	426	200	577
371	134	234	546	777	523
372	616	584	540	523	450
373	527	325	354	309	641
374	219	19	687	401	457
375	383	461	716	579	314
376	395	525	153	549	22
377	342	151	427	572	285
378	626	493	257	574	167
379	590	187	778	708	116
380	505	232	250	498	334
381	80	24	529	186	771
382	729	480	33	119	206
383	500	701	615	764	263
384	174	386	764	451	622
385	384	160	407	784	507
386	580	152	611	124	103
387	607	378	454	3	748
388	775	106	7	250	45
389	763	548	324	700	547
390	375	218	372	16	199
391	197	792	632	450	102
392	675	713	397	380	380
393	211	532	73	385	543
394	687	499	630	299	610
395	537	510	551	86	693
396	74	10	386	661	757
397	599	734	694	563	337
398	376	414	191	195	558
399	684	121	718	578	363
400	698	418	697	733	556
401	415	417	382	543	722
402	327	86	175	520	522
403	273	396	325	259	765
404	199	166	409	402	660
405	643	217	76	211	73
406	159	404	110	601	193
407	461	652	609	419	532
408	633	94	342	725	676
409	539	348	162	222	689
410	482	661	568	788	571
411	120	208	363	28	290
412	298	349	675	476	527
413	397	64	625	697	318
414	34	286	21	786	465
415	790	511	693	569	575
416	758	364	17	795	194
417	680	420	229	564	170
418	422	136	97	548	443
419	249	658	692	591	354
420	706	720	311	348	198
421	521	450	268	199	486
422	608	437	649	658	670
423	685	300	122	243	476
424	523	585	619	501	714
425	28	782	165	489	169
426	118	753	247	190	544
427	581	468	204	252	245
428	315	722	475	230	257
429	96	80	366	270	520
430	348	347	793	381	29
431	344	285	224	441	728
432	630	179	423	696	767
433	355	567	572	221	166
434	172	207	186	163	491
435	16	474	653	66	588
436	41	564	720	487	447
437	200	320	759	587	394
438	749	599	113	493	275
439	32	503	703	96	341
440	289	738	589	105	156
441	497	767	676	235	712
442	550	83	320	63	240
443	212	445	214	641	283
444	727	472	522	295	23
445	233	492	723	372	126
446	340	686	231	220	696
447	324	489	777	773	94
448	231	154	107	681	761
449	381	724	460	330	258
450	484	269	705	747	561
451	19	595	139	209	146
452	720	682	601	268	112
453	122	49	140	482	66
454	198	112	279	290	662
455	108	312	442	72	13
456	322	291	752	286	533
457	121	467	779	494	367
458	259	1	492	191	438
459	61	314	521	60	559
460	654	104	602	92	270
461	111	619	788	712	145
462	611	303	507	685	784
463	359	664	485	479	215
464	733	321	754	617	596
465	791	58	516	724	569
466	431	368	265	565	488
467	176	108	530	294	453
468	288	579	183	421	724
469	737	689	580	76	286
470	683	97	639	583	370
471	407	740	13	539	254
472	182	644	181	580	531
473	248	248	340	6	408
474	514	394	772	166	30
475	15	451	607	632	396
476	663	490	525	512	666
477	493	787	319	576	336
478	240	358	483	115	661
479	54	356	396	241	366
480	584	570	449	650	224
481	228	243	706	534	361
482	402	375	101	267	493
483	601	168	198	281	296
484	95	785	380	711	763
485	295	25	28	122	306
486	504	416	24	118	25
487	762	374	739	374	219
488	276	345	58	459	776
489	6	337	348	157	179
490	485	628	115	21	235
491	150	654	547	397	581
492	686	441	797	547	466
493	78	130	509	182	429
494	745	61	765	148	664
495	329	266	34	590	312
496	699	177	721	680	614
497	656	183	436	40	78
498	510	535	148	633	755
499	11	124	358	47	525
500	602	246	755	439	122
501	285	546	213	398	71
502	528	111	628	640	634
503	311	798	218	313	21
