	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	580	366	141	246	184
101	274	732	143	247	188
102	437	383	443	241	191
103	436	391	765	274	574
104	177	66	266	16	252
105	166	559	20	276	194
106	165	688	149	297	570
107	430	469	626	298	566
108	162	642	454	299	245
109	776	97	627	300	792
110	172	479	156	301	525
111	710	628	456	304	529
112	721	627	772	275	1
113	42	483	261	305	544
114	36	187	260	309	230
115	68	184	162	310	782
116	732	493	774	15	372
117	728	497	267	315	487
118	734	605	735	14	154
119	752	604	734	317	305
120	712	645	793	307	348
121	26	172	759	296	671
122	15	517	26	66	448
123	167	593	372	294	380
124	692	592	15	277	451
125	184	124	332	278	301
126	548	536	349	280	660
127	701	581	23	281	297
128	493	155	356	282	652
129	236	579	322	295	156
130	486	578	766	286	129
131	481	548	8	284	377
132	248	549	9	287	647
133	465	148	358	289	481
134	271	135	17	290	624
135	277	514	28	293	779
136	570	468	329	769	632
137	285	488	755	745	373
138	287	429	509	741	469
139	406	216	378	795	337
140	401	666	377	788	376
141	397	451	450	42	4
142	309	453	613	746	752
143	383	207	605	611	773
144	375	79	159	733	794
145	372	682	463	637	780
146	359	441	587	68	389
147	333	223	255	178	29
148	352	211	173	183	394
149	425	460	468	591	339
150	164	464	568	579	109
151	523	213	180	235	740
152	409	595	250	539	292
153	653	439	490	271	640
154	622	322	535	312	283
155	137	411	493	497	633
156	103	157	211	493	629
157	659	415	523	479	626
158	99	700	521	339	479
159	663	414	220	466	484
160	147	170	221	465	270
161	123	151	222	350	492
162	671	222	510	458	264
163	595	306	447	360	591
164	94	793	142	136	582
165	675	422	448	662	192
166	152	2	702	627	200
167	672	797	693	704	206
168	91	783	628	76	210
169	790	406	408	77	556
170	779	257	682	719	235
171	324	673	62	715	397
172	796	457	718	90	300
173	83	734	304	713	459
174	284	476	55	710	667
175	440	102	675	708	61
176	575	396	108	697	72
177	584	689	724	400	323
178	740	108	652	102	322
179	585	351	272	671	321
180	591	347	382	683	706
181	190	745	637	106	115
182	199	336	634	382	317
183	24	45	445	137	702
184	598	178	694	122	318
185	228	503	399	28	694
186	477	42	446	335	312
187	33	458	393	712	443
188	473	23	320	583	94
189	124	116	779	494	499
190	146	86	368	13	787
191	25	665	697	184	187
192	604	63	326	187	675
193	393	180	165	755	384
194	539	744	461	47	672
195	192	764	598	134	67
196	459	342	607	50	329
197	89	156	265	35	447
198	688	318	303	576	698
199	267	404	283	756	0
200	655	266	251	402	246
201	423	420	360	401	231
202	139	418	245	398	227
203	464	332	216	397	226
204	151	337	268	394	386
205	589	315	264	393	225
206	158	349	213	391	374
207	311	354	263	390	224
208	478	357	262	389	223
209	578	307	259	387	222
210	355	362	252	385	221
211	572	363	258	383	220
212	485	368	214	377	219
213	568	371	256	329	218
214	181	374	215	340	217
215	183	295	253	799	228
216	491	293	257	266	247
217	547	387	363	265	340
218	207	392	231	263	249
219	541	281	36	262	361
220	211	508	792	230	362
221	507	520	580	261	269
222	509	227	722	260	268
223	237	522	31	259	267
224	223	168	541	258	266
225	517	171	745	256	265
226	522	563	336	269	263
227	613	547	347	254	261
228	454	570	204	252	385
229	161	181	389	231	260
230	0	575	33	251	248
231	292	183	46	248	258
232	448	583	547	245	259
233	444	144	732	233	257
234	116	601	24	244	250
235	125	530	769	242	364
236	642	120	641	236	251
237	111	192	714	238	365
238	654	533	244	328	256
239	646	166	501	270	363
240	620	112	111	267	253
241	656	632	469	228	366
242	783	631	621	219	254
243	310	626	115	326	38
244	37	117	240	221	774
245	793	621	346	325	418
246	2	321	474	324	425
247	670	260	148	323	27
248	295	263	494	322	344
249	225	649	139	319	761
250	30	352	274	318	370
251	554	98	786	222	747
252	769	410	11	314	417
253	360	784	317	313	595
254	506	763	686	223	325
255	702	654	438	285	133
256	777	294	232	227	272
257	86	699	711	283	271
258	107	625	710	311	262
259	8	630	373	226	634
260	349	577	707	237	526
261	681	749	375	288	625
262	39	162	773	306	255
263	456	711	527	308	607
264	381	525	386	224	605
265	282	713	236	449	179
266	611	221	305	614	600
267	404	692	86	234	545
268	466	225	385	626	233
269	467	62	19	229	199
270	601	55	762	456	128
271	59	484	791	453	69
272	74	725	550	589	126
273	55	524	119	408	118
274	621	706	558	175	76
275	729	186	574	461	466
276	268	511	533	327	472
277	727	728	191	691	306
278	408	477	365	112	701
279	175	48	183	100	477
280	479	234	520	152	689
281	50	76	160	580	485
282	337	43	135	279	685
283	130	179	475	359	684
284	322	505	392	157	683
285	335	209	364	486	112
286	258	70	667	474	117
287	65	516	436	250	789
288	144	787	82	759	681
289	259	792	52	49	788
290	378	377	739	392	383
291	719	248	116	765	571
292	596	613	486	363	673
293	49	765	427	255	288
294	16	188	705	666	284
295	686	282	311	517	151
296	773	402	407	424	197
297	785	100	749	787	717
298	758	289	343	601	107
299	415	461	754	124	680
300	247	217	390	374	411
301	427	320	354	373	410
302	159	316	345	182	409
303	327	218	344	426	408
304	516	240	384	427	378
305	325	219	341	428	405
306	93	339	340	429	402
307	77	317	339	463	401
308	412	330	337	462	400
309	741	705	335	460	399
310	60	358	334	459	398
311	233	353	333	457	396
312	11	331	330	454	395
313	534	333	353	797	393
314	782	54	287	451	391
315	14	299	380	450	390
316	231	751	285	448	381
317	384	33	223	447	403
318	21	798	248	446	319
319	528	421	209	371	331
320	533	310	243	445	315
321	762	395	212	443	286
322	761	738	242	442	285
323	551	16	241	441	282
324	350	308	239	439	281
325	400	24	286	438	280
326	243	766	207	437	279
327	695	767	238	435	316
328	558	302	235	434	277
329	28	53	234	433	275
330	691	720	233	432	244
331	569	328	230	431	241
332	187	47	229	430	240
333	194	210	227	444	239
334	257	92	225	370	238
335	461	612	224	372	237
336	298	251	217	368	234
337	260	133	237	257	216
338	599	610	206	243	215
339	435	243	269	220	213
340	263	142	205	218	212
341	474	145	284	217	211
342	289	490	199	215	208
343	178	238	396	213	205
344	639	586	282	211	203
345	176	585	281	210	201
346	635	584	280	209	289
347	489	345	200	208	290
348	153	159	201	207	278
349	627	504	279	369	293
350	510	165	270	206	314
351	303	507	278	204	313
352	368	509	277	203	311
353	442	561	276	200	310
354	197	229	203	199	309
355	537	182	275	195	308
356	684	224	273	194	307
357	253	467	394	193	291
358	682	634	395	192	304
359	202	158	271	191	303
360	250	445	391	190	798
361	31	637	218	189	302
362	768	662	750	186	294
363	577	447	202	205	299
364	614	449	352	272	295
365	778	450	562	268	296
366	725	273	348	320	171
367	357	280	2	367	22
368	276	647	540	362	578
369	155	452	338	361	412
370	788	80	662	358	473
371	10	430	502	357	232
372	623	73	379	356	77
373	535	121	410	355	696
374	205	94	104	354	519
375	784	329	651	353	326
376	700	560	483	351	522
377	356	232	700	303	413
378	334	788	309	348	440
379	527	220	704	349	768
380	344	341	247	344	766
381	54	4	712	330	639
382	106	636	151	332	341
383	521	670	325	334	637
384	745	44	727	336	336
385	95	393	342	345	465
386	316	638	685	338	754
387	645	676	398	337	335
388	399	425	440	341	735
389	266	743	98	342	39
390	677	487	128	343	125
391	188	111	134	452	559
392	87	759	208	17	153
393	79	726	582	725	461
394	520	69	106	201	457
395	38	644	672	6	163
396	34	709	669	677	347
397	494	546	526	331	236
398	379	3	760	404	404
399	390	41	198	19	700
400	244	21	400	147	429
401	265	249	397	154	428
402	241	25	388	490	427
403	245	252	387	489	426
404	239	241	411	488	441
405	246	26	383	487	424
406	238	254	371	484	422
407	249	239	369	483	419
408	251	255	367	482	416
409	235	258	366	481	415
410	254	284	362	480	414
411	256	259	361	491	159
412	232	261	359	478	375
413	12	20	357	476	371
414	559	19	355	475	369
415	512	262	376	473	423
416	206	275	412	472	368
417	240	13	413	471	442
418	564	14	414	469	445
419	345	236	453	468	482
420	791	15	452	440	480
421	319	18	451	425	478
422	706	276	449	477	476
423	567	246	441	150	471
424	307	245	439	492	470
425	530	270	435	498	468
426	222	269	433	527	467
427	714	268	432	796	464
428	410	265	430	525	444
429	402	28	426	524	463
430	351	264	425	523	458
431	772	272	424	521	456
432	84	74	422	520	455
433	739	729	421	516	454
434	743	38	420	514	453
435	348	790	419	495	452
436	45	762	418	513	450
437	44	7	417	511	449
438	749	51	416	510	446
439	750	731	415	508	460
440	754	49	170	507	367
441	234	760	327	505	379
442	760	39	328	504	359
443	514	373	799	503	360
444	697	685	291	502	193
445	665	542	290	501	189
446	191	204	289	512	186
447	633	691	288	422	185
448	496	237	324	423	183
449	157	513	197	420	182
450	168	242	196	181	181
451	644	247	195	180	180
452	648	177	194	179	178
453	306	253	176	177	177
454	499	283	193	176	175
455	113	446	190	174	174
456	110	438	189	173	170
457	657	324	188	172	169
458	132	325	177	171	168
459	502	356	187	170	167
460	468	376	186	169	166
461	193	278	182	168	165
462	469	163	178	167	164
463	302	230	292	166	162
464	264	93	181	165	198
465	446	606	293	164	320
466	690	609	295	163	195
467	674	617	323	161	327
468	301	675	319	159	343
469	678	123	318	158	324
470	96	674	172	155	334
471	140	110	316	185	333
472	605	106	174	421	332
473	141	435	314	188	330
474	683	64	175	333	351
475	685	277	312	419	350
476	439	474	313	418	352
477	525	770	308	416	354
478	386	475	302	415	355
479	786	730	301	414	356
480	145	757	300	413	328
481	526	244	299	411	357
482	602	297	298	409	358
483	742	27	297	216	353
484	609	796	310	407	345
485	343	30	179	798	420
486	403	81	442	405	475
487	447	540	166	396	606
488	720	550	797	381	32
489	668	104	747	380	737
490	318	704	423	378	597
491	764	68	597	376	759
492	121	83	591	375	517
493	120	40	738	347	433
494	781	61	552	406	739
495	300	653	549	753	755
496	566	233	534	722	676
497	693	741	638	585	46
498	753	786	84	156	729
499	515	588	695	575	150
500	85	309	3	9	58
501	62	385	1	8	57
502	82	312	27	7	54
503	80	314	528	5	53
