	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	0	76	40	13
1	10	44	98	62	83
2	26	75	101	89	105
3	59	165	118	174	129
4	106	180	121	183	165
5	147	190	126	258	208
6	208	192	143	280	227
7	231	298	148	393	271
8	259	395	176	395	283
9	270	405	185	428	321
10	284	512	192	464	344
11	321	535	253	479	346
12	326	543	308	506	381
13	372	558	439	546	419
14	443	654	457	758	459
15	504	687	492	768	487
16	510	741	663	776	547
17	523	764	748	799	596
18	572	839	808	820	684
19	734	847	812	824	692
20	761	869	856	834	764
21	779	911	869	928	776
22	797	963	888	940	785
23	835	993	1039	971	865
24	911	1001	1097	993	925
25	953	1102	1128	998	948
26	960	1104	1158	1013	949
27	1085	1133	1181	1037	1029
28	1113	1153	1193	1065	1036
29	1175	1175	1199	1173	1135
30	902	661	611	159	886
31	825	147	25	192	1074
32	917	611	704	1169	119
33	957	563	45	803	237
34	1186	995	573	1032	1031
35	799	593	1023	51	608
36	787	709	560	493	833
37	1089	222	423	643	138
38	128	745	525	976	462
39	355	315	894	1012	1142
40	239	208	1133	187	178
41	612	1118	243	691	583
42	755	300	307	249	663
43	1075	521	1149	108	73
44	216	880	865	375	683
45	122	324	667	154	52
46	483	350	434	352	304
47	615	1016	26	325	857
48	579	503	144	497	723
49	1092	632	362	718	883
50	982	469	139	565	842
51	474	338	653	296	884
52	518	117	1132	212	826
53	827	695	275	486	329
54	893	598	1105	353	49
55	1026	159	372	999	688
56	766	1058	884	274	1092
57	436	838	746	933	970
58	906	1144	175	714	536
59	573	582	1174	451	1025
60	623	1054	46	696	573
61	1012	577	766	752	450
62	1147	962	1020	195	473
63	77	651	862	384	551
64	262	266	1030	688	791
65	726	1184	897	635	602
66	186	1172	108	631	141
67	470	548	536	1126	333
68	87	273	614	694	545
69	444	158	309	504	976
70	21	1132	352	873	829
71	384	715	354	909	968
72	153	494	204	1149	1128
73	175	674	1186	1141	298
74	1120	565	326	1167	204
75	0	1062	558	530	730
76	758	349	106	980	690
77	561	140	79	1199	147
78	808	752	991	102	526
79	970	442	131	14	1167
80	1009	816	1026	859	5
81	1173	900	389	297	1112
82	1072	777	728	710	544
83	81	902	842	299	891
84	932	249	507	539	888
85	328	50	317	283	559
86	964	549	421	251	23
87	702	731	787	657	713
88	207	707	487	276	796
89	1074	647	373	1024	1097
90	790	124	321	701	843
91	55	652	881	700	217
92	481	915	443	383	1002
93	399	737	257	599	604
94	732	346	160	1071	732
95	129	303	1121	114	991
96	1031	884	60	20	734
97	344	138	665	699	689
98	41	223	1032	864	197
99	923	1081	514	945	753
100	793	1165	985	711	555
101	438	1064	499	625	699
102	854	1122	191	470	322
103	794	876	700	39	581
104	181	459	207	37	1066
105	290	1164	613	545	244
106	425	282	1101	513	397
107	20	1019	913	733	270
108	1047	1012	15	549	21
109	451	1030	1	893	1020
110	938	603	1183	199	1152
111	946	545	1142	683	372
112	127	1155	477	595	898
113	57	789	915	926	777
114	507	890	681	650	900
115	499	428	81	449	486
116	546	2	1131	269	488
117	163	1191	642	779	278
118	762	966	1123	1069	95
119	996	331	1196	646	648
120	295	1173	962	813	788
121	729	358	960	961	494
122	991	123	116	607	287
123	339	1198	114	241	157
124	264	243	1185	150	1175
125	89	1084	57	314	292
126	4	743	917	61	697
127	332	550	449	905	179
128	811	724	554	56	1021
129	51	93	365	612	299
130	878	66	225	1171	0
131	1071	295	688	50	575
132	91	120	445	515	914
133	508	1106	608	236	1108
134	914	199	289	1063	1081
135	704	38	599	410	481
136	376	454	1162	1059	724
137	557	975	392	238	359
138	1125	702	820	771	854
139	462	402	861	668	621
140	446	1112	1064	586	376
141	1053	553	656	656	977
142	54	792	586	1142	495
143	875	90	1057	712	1047
144	469	425	1171	660	1174
145	1019	992	302	41	92
146	105	958	1017	946	562
147	887	945	671	880	127
148	351	1111	1118	705	944
149	430	725	459	867	1129
150	537	496	274	695	108
151	765	371	1083	443	965
152	994	33	149	13	678
153	187	1018	1195	890	122
154	441	595	65	720	430
155	562	214	1147	1029	449
156	382	513	1054	553	1149
157	345	1048	23	1093	246
158	8	55	547	144	1191
159	697	101	909	1175	824
160	668	806	893	404	276
161	319	931	335	58	712
162	148	821	363	499	477
163	543	608	1060	188	413
164	426	112	515	35	60
165	807	508	1087	312	999
166	360	354	1025	736	780
167	272	460	620	782	561
168	29	168	827	336	896
169	655	23	464	373	57
170	531	1025	246	487	675
171	1119	744	818	604	591
172	542	655	518	49	305
173	958	971	1075	361	1062
174	916	475	687	498	1155
175	1132	489	720	478	123
176	71	291	208	979	1102
177	881	688	488	457	817
178	337	1045	54	466	247
179	204	714	1045	570	1159
180	68	228	0	585	661
181	157	705	578	1025	39
182	724	515	754	385	293
183	860	675	696	435	513
184	918	692	776	677	44
185	193	620	922	458	37
186	65	46	315	970	245
187	927	412	334	973	32
188	822	988	28	426	167
189	620	646	312	1091	149
190	716	532	1156	1041	760
191	460	35	181	46	1027
192	379	585	171	1170	1054
193	1082	1065	1117	480	926
194	976	562	470	186	691
195	289	344	1099	129	859
196	152	1147	679	459	383
197	989	288	32	416	441
198	778	270	504	756	616
199	1037	292	675	65	87
200	737	1151	540	769	665
201	179	336	719	319	125
202	1146	202	291	434	131
203	1096	267	184	425	782
204	1029	1109	1175	420	1140
205	1131	177	674	196	946
206	150	390	981	1188	281
207	303	514	368	1100	530
208	473	996	1151	396	235
209	1134	1008	1098	360	879
210	388	1000	784	639	218
211	48	924	214	528	112
212	1063	462	542	403	28
213	1183	145	742	777	65
214	85	892	556	833	766
