	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	21	140	133	323	37
31	36	228	384	171	249
32	40	68	201	164	263
33	258	152	122	78	79
34	229	202	43	40	265
35	166	333	67	7	123
36	356	196	304	55	46
37	148	82	134	29	202
38	360	192	314	161	203
39	5	305	125	56	200
40	84	380	101	18	14
41	355	72	262	397	5
42	311	321	318	79	146
43	24	395	145	49	45
44	75	166	353	48	10
45	46	246	62	39	2
46	200	243	204	355	270
47	16	302	234	42	28
48	74	313	26	32	42
49	241	147	307	24	390
50	267	85	39	393	305
51	352	223	118	14	345
52	326	176	119	254	108
53	250	75	276	92	306
54	89	341	81	5	349
55	142	111	104	306	322
56	172	361	13	74	291
57	43	61	164	177	325
58	11	164	138	66	327
59	393	80	260	292	224
60	313	104	230	313	396
61	30	320	166	25	363
62	387	360	22	73	362
63	262	217	90	72	388
64	105	218	246	36	384
65	265	62	3	21	383
66	310	204	186	61	394
67	283	295	99	35	380
68	51	42	320	31	4
69	266	234	360	76	0
70	298	267	371	370	378
71	27	118	283	258	319
72	37	201	143	282	355
73	161	326	349	307	312
74	204	208	390	273	382
75	252	235	352	321	104
76	7	312	319	207	368
77	104	384	287	324	324
78	187	55	358	1	54
79	3	186	294	268	310
80	279	277	374	363	375
81	54	350	338	398	373
82	94	385	326	387	374
83	218	257	132	386	376
84	350	129	108	391	326
85	233	301	399	390	397
86	107	325	398	395	387
87	396	180	0	396	210
88	180	5	128	399	386
89	219	32	317	0	1
90	118	242	49	17	330
91	359	260	303	111	282
92	256	370	98	27	303
93	150	181	356	68	301
94	39	14	219	100	381
95	121	286	240	83	321
96	309	194	243	9	369
97	13	309	306	41	316
98	140	379	351	47	356
99	365	239	367	13	307
100	86	233	200	46	399
101	324	79	112	127	365
102	82	35	372	109	357
103	337	47	365	89	29
104	226	107	340	33	332
105	369	197	292	88	336
106	338	219	378	80	331
107	276	258	339	23	389
108	285	231	347	96	392
109	207	371	1	26	398
110	222	251	310	284	71
111	322	46	60	197	253
112	321	136	9	329	226
113	295	168	312	229	40
114	255	226	4	115	81
115	131	121	263	327	222
116	399	190	174	208	272
117	97	2	252	110	50
118	181	290	111	342	36
119	274	347	266	225	117
120	55	399	391	359	107
121	169	22	258	374	232
122	35	227	370	377	239
123	134	263	250	11	7
124	268	262	385	217	25
125	349	344	91	290	287
126	340	310	290	394	16
127	211	335	315	3	21
128	264	10	392	156	62
129	34	117	2	2	304
130	102	151	394	354	34
131	368	253	191	209	393
132	351	100	178	326	341
133	42	340	170	299	344
134	376	329	159	349	288
135	220	29	172	319	58
136	345	64	116	347	379
137	212	213	211	362	377
138	251	374	229	352	32
139	254	367	335	34	280
140	184	8	284	30	15
141	237	222	265	376	350
142	230	207	194	20	251
143	136	172	247	378	351
144	0	315	291	379	361
145	214	9	225	382	206
146	347	279	344	384	359
147	79	69	396	385	6
148	227	377	54	65	165
149	370	345	5	105	190
150	292	291	83	196	269
151	112	255	161	167	96
152	141	225	96	152	11
153	155	269	331	285	39
154	234	287	325	50	252
155	201	212	270	296	218
156	38	193	254	81	172
157	95	125	334	279	60
158	125	96	350	140	147
159	269	177	199	230	157
160	120	159	388	295	93
161	239	338	301	264	124
162	305	86	76	150	160
163	263	274	345	59	33
164	344	328	342	75	183
165	257	359	163	131	63
166	168	210	80	62	90
167	242	63	300	54	92
168	78	294	386	44	59
169	247	43	233	69	27
170	260	58	69	236	156
171	4	89	355	218	261
172	174	113	65	304	290
173	246	282	121	325	64
174	133	254	173	336	154
175	100	188	105	267	162
176	176	155	231	369	103
177	163	66	169	250	337
178	299	337	366	375	339
179	68	120	147	305	180
180	151	170	38	151	18
181	58	103	341	356	347
182	197	24	66	334	17
183	185	112	255	365	343
184	329	131	328	357	395
185	286	134	364	51	391
186	206	45	190	309	8
187	114	273	7	132	370
188	191	114	309	108	246
189	135	323	361	128	184
190	315	70	343	141	243
191	384	174	383	137	240
192	325	362	227	168	277
193	213	311	281	112	238
194	115	40	228	153	66
195	294	200	369	202	57
196	215	182	236	159	233
197	44	119	305	113	228
198	328	57	387	158	286
199	291	67	198	138	227
200	165	198	346	294	292
201	244	372	332	130	110
202	22	179	261	134	214
203	216	241	110	216	209
204	56	87	362	280	207
205	149	285	53	135	193
206	41	389	375	157	229
207	92	203	36	276	111
208	209	343	376	124	128
209	249	331	197	302	150
210	196	51	207	118	140
211	71	138	206	281	127
212	103	355	59	142	248
213	177	19	193	187	192
214	96	397	61	143	102
215	232	316	242	265	169
216	281	6	189	262	133
217	175	346	181	261	268
218	290	369	180	260	187
219	385	336	179	256	131
220	9	173	176	148	99
221	272	393	175	252	98
222	248	16	64	251	97
223	111	145	168	149	213
224	153	178	167	154	284
225	18	110	157	155	134
226	19	12	156	242	83
227	132	77	188	241	267
228	261	307	171	297	35
229	139	348	162	215	53
230	243	17	120	380	197
231	53	259	213	52	115
232	273	351	395	117	256
233	171	59	12	343	151
234	122	44	380	178	118
235	259	268	92	181	152
236	300	15	223	337	116
237	29	189	397	228	141
238	335	398	140	257	279
239	386	20	302	311	113
240	116	252	337	188	298
241	85	330	148	219	163
242	296	106	32	316	300
243	162	187	239	186	101
244	101	105	377	300	100
245	231	334	8	288	91
246	109	167	324	371	109
247	391	353	41	364	262
248	159	183	354	383	318
249	253	297	272	133	317
250	323	137	336	339	52
251	354	78	16	71	242
252	394	56	192	366	247
253	341	245	278	335	311
254	81	99	241	87	348
255	225	327	95	67	198
256	66	214	381	16	281
257	380	123	275	95	22
258	342	132	185	345	276
259	362	354	203	53	13
260	47	365	285	247	289
261	228	165	330	278	293
262	83	33	269	166	294
263	390	3	323	367	274
264	28	216	253	201	367
265	327	49	27	312	9
266	302	284	153	243	333
267	170	1	268	338	12
268	50	206	14	204	51
269	173	352	87	361	132
270	245	60	102	162	258
271	383	304	210	271	161
272	178	38	205	381	205
273	339	205	196	120	72
274	297	247	195	101	236
275	144	27	182	298	55
276	23	261	158	198	385
277	69	289	154	287	23
278	31	224	389	240	302
279	375	281	144	122	158
280	25	378	137	180	335
281	65	381	131	263	166
282	138	88	130	19	61
283	389	236	127	191	244
284	381	342	124	184	175
285	20	54	107	368	186
286	90	28	106	392	212
287	106	184	224	37	87
288	331	31	136	340	245
289	306	21	6	8	278
290	61	65	89	231	199
291	12	153	279	97	219
292	195	97	249	289	338
293	366	50	299	314	77
294	64	84	86	91	74
295	377	171	329	57	130
296	192	296	94	333	82
297	17	23	359	351	122
298	284	357	82	233	138
299	91	391	142	174	125
300	308	271	25	170	119
301	336	124	368	275	145
302	307	237	373	303	295
303	348	122	379	348	84
304	372	102	10	330	285
305	343	71	393	106	179
306	124	185	52	176	88
307	198	26	117	350	334
308	223	238	42	160	105
309	202	317	348	103	65
310	288	292	177	123	188
311	129	92	271	372	260
312	157	109	51	291	217
313	382	199	40	125	273
314	186	364	71	146	296
315	10	306	139	77	266
316	160	158	221	12	201
317	312	318	382	60	250
318	137	298	215	274	254
319	158	162	286	193	89
320	59	160	280	322	196
321	123	363	129	58	255
322	99	220	151	277	114
323	119	319	267	227	195
324	320	324	313	244	185
325	388	195	297	28	314
326	280	244	311	172	182
327	304	299	357	86	78
328	270	130	183	320	204
329	113	175	11	373	264
330	189	90	218	239	126
331	128	272	232	224	144
332	154	230	316	203	19
333	1	169	115	84	73
334	235	39	296	99	24
335	319	154	126	90	30
336	60	30	17	255	31
337	289	221	327	234	47
338	373	314	273	210	48
339	87	157	146	237	75
340	145	280	363	310	366
341	357	135	85	220	129
342	179	278	88	147	139
343	346	270	152	104	143
344	8	126	58	318	174
