	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	32	384	320	96	224
31	356	320	129	291	160
32	37	34	323	355	353
33	166	355	229	133	96
34	327	69	71	390	132
35	200	199	383	392	105
36	72	104	105	105	139
37	74	297	231	362	204
38	196	106	12	300	300
39	167	203	397	397	141
40	16	364	80	302	334
41	50	173	368	142	304
42	284	80	16	146	337
43	342	51	23	339	146
44	87	148	117	178	178
45	154	278	85	117	244
46	28	343	373	373	46
47	311	153	55	55	274
48	343	154	317	283	119
49	95	348	223	317	184
50	224	224	121	320	64
51	1	386	161	0	280
52	258	99	3	344	4
53	121	131	41	260	260
54	68	196	234	164	101
55	259	4	299	323	38
56	160	264	45	101	8
57	71	42	111	88	59
58	104	204	335	137	74
59	231	140	81	331	42
60	199	16	273	171	205
61	43	146	17	301	242
62	174	210	182	335	381
63	15	244	246	181	308
64	49	84	184	247	182
65	61	54	57	184	55
66	85	57	346	314	248
67	185	26	158	27	219
68	29	27	190	93	156
69	287	382	382	158	285
70	256	385	0	159	0
71	193	2	257	195	66
72	162	324	386	324	130
73	291	294	99	294	166
74	323	8	260	327	73
75	165	105	160	42	332
76	264	172	39	333	269
77	108	335	232	303	399
78	367	399	328	367	81
79	176	207	74	241	306
80	274	338	11	115	180
81	82	147	75	340	149
82	180	220	269	86	22
83	182	118	334	374	316
84	55	310	15	221	344
85	120	187	301	250	281
86	249	252	239	220	282
87	122	125	18	61	92
88	155	286	180	350	350
89	125	63	154	63	255
90	384	291	66	33	159
91	131	295	293	121	312
92	227	39	388	322	387
93	102	393	325	35	98
94	263	234	133	261	389
95	168	201	357	134	198
96	7	236	360	72	390
97	169	365	261	377	5
98	107	238	391	269	77
99	73	79	203	14	398
100	365	272	102	79	79
101	207	72	324	47	175
102	177	81	168	175	17
103	211	189	271	82	335
104	276	23	204	141	276
105	149	184	210	50	212
106	51	282	244	213	376
107	246	317	181	341	60
108	313	61	26	153	221
109	30	62	283	157	319
110	66	129	33	67	65
111	100	66	196	255	354
112	358	185	4	197	355
113	134	132	396	325	163
114	265	65	365	36	230
115	298	38	140	228	232
116	75	327	367	9	235
117	300	263	207	329	267
118	141	377	124	297	45
119	269	10	50	39	13
120	175	168	212	28	239
121	42	369	150	236	368
122	146	19	311	305	144
123	244	309	56	307	48
124	118	22	183	211	339
125	247	89	122	342	375
126	153	251	155	89	89
127	252	124	252	156	251
128	94	254	349	382	382
129	286	95	191	223	351
130	321	33	32	384	352
131	290	323	65	257	97
132	226	228	344	163	68
133	161	70	376	230	293
134	225	361	68	135	36
135	232	155	294	41	359
136	136	205	390	234	72
137	170	78	198	73	103
138	395	239	42	12	138
139	394	208	10	365	203
140	109	112	332	334	364
141	13	302	13	44	362
142	239	305	270	203	363
143	142	20	14	113	367
144	305	342	379	147	10
145	242	151	149	21	207
146	275	347	310	279	247
147	22	284	280	280	24
148	152	253	59	222	379
149	345	222	157	94	63
150	159	100	352	32	321
151	129	260	97	385	356
152	163	262	228	290	58
153	4	167	359	131	164
154	262	68	72	68	295
155	38	329	233	99	37
156	41	233	104	296	201
157	172	75	43	11	43
158	205	268	135	395	142
159	206	107	205	270	47
160	399	142	175	251	15
161	338	267	305	272	369
162	279	370	275	209	82
163	216	180	340	212	83
164	89	287	211	277	208
165	315	374	213	311	277
166	220	379	185	185	370
167	253	188	219	122	378
168	350	94	253	59	27
169	255	351	159	285	220
170	352	160	288	129	129
171	96	225	2	354	1
172	3	194	355	34	161
173	260	258	351	264	199
174	101	164	6	361	328
175	133	165	136	204	263
176	295	217	326	76	234
177	233	328	238	396	394
178	140	43	302	207	333
179	77	395	240	240	49
180	48	45	142	49	50
181	147	175	82	242	52
182	84	306	51	275	117
183	117	53	338	52	54
184	181	157	87	278	189
185	250	120	254	150	314
186	219	25	248	218	380
187	92	218	91	124	317
188	254	123	94	29	318
189	319	381	287	286	286
190	64	32	224	352	32
191	257	159	153	387	388
192	344	90	100	100	134
193	132	326	166	292	391
194	197	389	9	196	264
195	230	232	393	231	393
196	88	40	394	359	299
197	329	202	330	265	11
198	297	137	60	138	12
199	363	14	143	140	397
200	76	304	112	268	110
201	204	113	370	177	272
202	364	50	83	81	18
203	111	341	372	83	115
204	144	246	86	20	343
205	373	311	247	214	341
206	54	280	278	215	254
207	21	186	345	120	377
208	312	316	58	345	222
209	123	127	188	31	383
210	386	356	387	97	386
211	324	357	292	386	100
212	90	166	101	2	294
213	281	71	263	37	327
214	330	5	103	281	104
215	171	170	329	313	329
216	299	362	107	80	361
217	45	109	399	176	137
218	335	334	208	274	266
219	368	366	177	188	365
220	81	82	242	84	174
221	18	307	371	371	303
222	370	55	148	370	112
223	243	150	309	23	145
224	309	215	312	118	240
225	53	277	89	217	118
226	375	314	27	315	217
227	25	315	316	60	124
228	58	285	61	25	190
229	221	255	126	287	31
230	248	350	192	225	2
231	65	322	353	69	322
232	128	257	69	6	196
233	388	290	70	351	69
234	5	325	327	295	324
235	326	230	267	201	292
236	103	135	363	363	99
237	139	392	235	75	265
238	44	73	174	267	140
239	46	249	306	174	109
240	79	171	179	48	172
241	112	332	308	304	305
242	302	333	341	208	243
243	114	398	118	338	340
244	179	223	146	276	51
245	341	179	120	310	246
246	213	121	281	152	215
247	86	156	28	58	120
248	376	126	286	379	28
249	27	383	127	127	93
250	385	161	34	318	128
251	164	344	290	193	289
252	390	261	285	258	287
253	359	102	195	66	249
254	361	229	167	38	296
255	10	7	265	7	9
256	9	296	137	391	168
257	173	396	266	393	297
258	336	46	108	394	108
259	113	143	141	173	301
260	209	110	139	143	143
261	156	17	106	16	176
262	212	206	156	369	338
263	83	115	178	337	307
264	310	117	245	180	148
265	151	86	343	151	150
266	280	182	152	216	153
267	308	56	186	347	347
268	283	24	284	92	94
269	316	30	93	62	223
270	288	193	318	256	193
271	34	97	64	194	258
272	228	195	226	26	226
273	391	6	96	165	261
274	328	200	384	102	262
275	234	235	197	5	102
276	138	299	262	104	7
277	270	237	38	186	233
278	272	47	8	74	14
279	369	273	361	154	111
280	210	83	218	364	16
281	347	371	173	237	366
282	116	308	176	78	210
283	145	181	337	13	311
284	214	183	49	110	336
285	339	221	374	114	310
286	184	345	151	183	374
287	217	88	54	90	158
288	251	380	378	155	61
289	63	93	62	349	30
290	97	256	256	3	192
291	98	321	1	4	325
292	67	354	354	262	200
293	35	227	130	40	330
294	261	292	131	233	331
295	294	134	164	169	236
296	195	198	5	187	268
297	325	360	389	398	78
298	355	298	395	368	396
299	296	76	171	210	241
300	203	108	76	244	114
301	396	270	398	85	147
302	334	274	52	348	23
303	303	243	88	375	373
304	277	114	377	56	213
305	322	85	90	123	181
306	215	87	347	380	88
307	314	119	92	125	345
308	380	152	381	190	152
309	382	313	95	319	62
310	2	128	358	166	288
311	99	289	392	263	33
312	70	352	40	8	320
313	105	67	362	71	227
314	218	3	138	168	195
315	137	359	172	332	165
316	236	136	268	238	90
317	304	169	237	399	71
318	337	138	303	144	169
319	148	266	144	111	106
320	245	44	47	18	123
321	150	91	364	179	44
322	56	265	339	148	302
323	377	336	116	53	273
324	186	241	115	149	209
325	187	279	21	182	179
326	349	219	375	308	211
327	157	29	249	282	154
328	222	190	380	91	155
329	351	319	125	252	284
330	289	192	67	1	256
331	292	318	356	161	385
332	357	387	227	227	384
333	360	36	230	353	131
334	317	197	134	389	228
335	40	122	169	198	197
336	267	363	73	229	135
337	331	301	300	103	202
338	11	13	314	106	298
339	268	397	110	299	270
340	47	176	241	172	271
341	241	337	243	336	29
342	19	178	276	273	116
343	189	92	342	145	85
344	119	60	215	54	214
