	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	273	132	140	143	146
31	340	141	149	142	145
32	187	131	139	141	144
33	4	144	137	140	143
34	391	130	136	139	142
35	242	129	135	127	141
36	30	128	134	399	140
37	260	127	133	135	102
38	259	145	132	134	139
39	322	126	131	133	137
40	118	143	130	132	135
41	204	140	138	131	134
42	369	14	194	130	133
43	254	91	153	129	132
44	360	266	176	128	131
45	176	20	159	137	130
46	305	177	143	284	129
47	115	53	106	295	128
48	170	203	185	348	138
49	101	345	103	226	399
50	128	142	156	153	159
51	138	134	155	152	158
52	139	135	154	151	157
53	124	136	152	150	156
54	184	146	151	149	155
55	2	122	126	148	154
56	393	137	148	118	153
57	296	71	399	147	152
58	106	159	146	145	120
59	256	85	145	144	151
60	174	385	144	138	149
61	131	40	142	125	148
62	231	280	141	124	147
63	230	359	129	123	127
64	168	23	128	122	126
65	356	371	127	121	125
66	125	362	147	146	124
67	157	70	348	398	123
68	300	88	102	365	150
69	218	270	307	394	398
70	135	158	121	113	169
71	117	157	171	165	168
72	134	156	170	164	167
73	123	155	169	163	166
74	120	154	168	162	165
75	121	153	167	161	164
76	129	152	166	160	163
77	220	121	164	159	162
78	290	151	163	158	112
79	389	149	162	397	161
80	122	148	161	157	122
81	280	147	160	156	119
82	385	138	158	155	118
83	11	125	157	154	117
84	152	124	150	120	116
85	63	150	125	117	115
86	133	399	122	115	114
87	132	386	120	114	160
88	228	80	398	112	397
89	248	32	124	250	328
90	47	165	113	104	107
91	286	162	183	175	182
92	294	164	182	174	181
93	148	398	181	173	180
94	15	161	180	172	179
95	81	160	179	171	178
96	136	123	178	170	177
97	18	95	177	169	176
98	265	31	112	168	175
99	375	99	175	167	174
100	326	263	173	166	172
101	270	89	172	111	170
102	367	377	119	110	113
103	73	59	118	109	111
104	107	60	117	108	110
105	352	68	116	106	109
106	69	329	115	105	108
107	224	17	174	103	106
108	210	184	397	396	396
109	72	195	85	327	380
110	147	180	104	96	99
111	140	179	105	395	100
112	213	178	107	97	101
113	95	176	198	186	196
114	207	175	197	185	195
115	172	166	196	184	193
116	314	173	195	183	192
117	111	174	193	182	190
118	68	172	192	181	189
119	268	171	84	180	188
120	35	170	190	179	187
121	137	169	188	178	186
122	355	168	186	177	185
123	142	397	184	176	184
124	243	10	111	102	183
125	244	19	110	101	105
126	334	7	108	100	104
127	54	44	189	99	103
128	217	51	396	188	79
129	399	83	191	212	395
130	150	119	96	88	91
131	149	167	97	89	92
132	146	190	98	202	209
133	145	189	99	90	93
134	141	188	210	92	96
135	144	187	209	93	97
136	116	186	208	94	98
137	114	120	207	95	197
138	113	183	206	187	198
139	119	185	205	190	199
140	182	182	212	191	200
141	221	181	204	193	201
142	364	396	201	194	202
143	71	284	200	195	203
144	337	302	199	196	204
145	94	35	101	197	205
146	203	201	100	198	206
147	390	365	203	200	207
148	275	30	395	91	94
149	252	112	270	393	394
150	108	111	88	81	83
151	87	113	89	82	84
152	112	114	90	83	85
153	86	205	73	68	68
154	153	115	91	84	87
155	154	117	93	86	89
156	155	118	94	87	90
157	156	192	95	201	208
158	158	193	211	203	210
159	159	194	213	204	211
160	104	196	215	207	212
161	310	197	216	208	213
162	345	198	218	209	214
163	75	199	219	210	215
164	317	200	220	211	217
165	371	202	221	213	218
166	109	116	223	214	219
167	151	395	224	215	220
168	216	65	92	85	88
169	22	57	394	392	393
170	161	106	80	75	74
171	162	107	81	76	75
172	98	217	82	77	76
173	192	109	237	78	77
174	197	108	83	229	78
175	10	204	87	79	81
176	346	206	225	216	82
177	23	207	226	217	221
178	241	208	227	218	222
179	179	209	228	219	223
180	41	210	229	220	224
181	341	212	230	221	225
182	338	213	231	222	226
183	46	214	232	223	227
184	276	215	233	224	228
185	97	110	234	225	229
186	313	28	235	227	230
187	66	309	86	80	232
188	370	93	255	391	234
189	209	92	67	244	392
190	160	97	72	65	64
191	163	102	74	66	65
192	82	103	75	67	66
193	164	104	76	69	69
194	91	228	249	71	71
195	211	105	78	72	72
196	343	218	236	73	73
197	189	219	238	74	233
198	20	220	239	228	235
199	96	221	240	230	236
200	191	222	241	231	238
201	365	223	242	233	239
202	28	224	243	234	240
203	323	225	244	236	241
204	324	226	245	237	242
205	282	216	246	238	243
206	327	393	247	239	244
207	347	100	79	240	245
208	195	303	393	57	57
209	214	78	1	390	391
210	88	90	64	56	55
211	89	94	65	58	58
212	90	96	66	59	59
213	99	227	68	60	60
214	92	238	69	61	61
215	102	229	70	62	62
216	103	230	58	63	63
217	105	231	71	258	260
218	165	232	250	241	246
219	166	233	251	243	248
220	167	234	252	245	249
221	169	235	253	246	250
222	100	236	254	247	251
223	193	392	256	251	252
224	291	61	257	252	253
225	40	311	258	254	254
226	201	294	260	255	255
227	206	381	248	256	256
228	85	36	392	242	247
229	0	56	55	389	390
230	79	77	56	49	48
231	83	79	57	50	49
232	84	81	59	51	50
233	171	82	60	52	51
234	173	84	61	53	52
235	188	86	62	54	53
236	398	87	261	55	54
237	177	251	262	257	258
238	178	237	275	47	46
239	180	241	263	260	261
240	181	242	264	262	263
241	185	243	265	263	264
242	186	244	266	264	265
243	25	245	267	265	266
244	301	246	268	267	267
245	227	247	269	268	268
246	285	239	271	269	269
247	42	391	272	270	270
248	219	369	391	261	262
249	357	67	39	387	389
250	175	64	49	40	40
251	65	264	290	285	285
252	67	261	287	282	282
253	70	69	51	42	43
254	74	72	52	44	44
255	76	73	53	46	45
256	77	75	54	48	47
257	78	76	273	271	271
258	215	249	276	272	272
259	396	252	277	273	273
260	198	253	278	274	274
261	199	254	279	275	275
262	200	255	280	276	276
263	202	256	281	277	277
264	205	258	283	278	278
265	212	259	284	279	279
266	196	260	285	280	280
267	51	262	286	281	281
268	363	389	288	283	284
269	289	257	390	386	388
270	237	285	305	301	299
271	234	282	304	300	298
272	59	281	41	299	297
273	60	279	303	298	296
274	61	278	301	297	295
275	62	277	300	296	294
276	235	274	299	294	293
277	222	273	297	292	292
278	64	272	296	291	291
279	226	271	294	290	290
280	229	269	293	289	289
281	232	268	292	288	288
282	233	267	291	287	287
283	223	265	50	286	286
284	395	66	47	41	42
285	225	63	45	39	39
286	21	62	43	38	38
287	331	58	302	37	37
288	384	54	389	35	35
289	387	387	327	385	387
290	262	305	319	314	316
291	261	304	318	313	314
292	258	301	317	312	312
293	257	299	316	311	311
294	255	298	33	30	310
295	253	46	315	310	30
296	251	297	313	308	308
297	250	295	312	307	306
298	249	292	311	306	305
299	247	291	310	305	304
300	246	290	309	304	303
301	245	289	308	303	302
302	239	287	306	302	301
303	236	286	42	36	300
304	58	55	40	34	36
305	56	52	38	33	34
306	55	50	36	32	33
307	48	49	314	309	32
308	50	296	388	384	307
309	49	384	7	7	386
310	288	321	338	331	331
311	287	320	337	330	330
312	284	319	336	329	329
313	283	318	335	326	327
314	281	317	334	325	326
315	279	316	332	324	325
316	44	315	331	323	324
317	277	314	330	322	323
318	272	313	329	321	322
319	269	312	328	320	321
320	267	310	326	319	320
321	266	308	325	318	319
322	264	307	324	317	318
323	263	306	323	316	317
324	53	47	320	315	31
325	274	45	34	31	29
326	394	43	32	29	28
327	8	42	28	28	27
328	37	38	26	26	24
329	38	383	387	383	385
330	16	9	9	8	8
331	386	380	385	381	383
332	34	26	18	19	17
333	39	29	21	21	19
334	309	332	349	341	341
335	308	331	347	340	340
336	307	330	346	339	339
337	306	328	345	338	338
338	304	327	344	337	337
339	303	326	343	336	336
340	36	27	20	20	18
341	302	325	342	335	335
342	298	323	340	333	333
343	297	322	339	332	332
344	295	39	27	27	25
