	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	220	80	149	369	282
31	352	164	208	294	305
32	142	61	73	392	357
33	337	104	89	326	260
34	105	217	23	370	255
35	89	218	235	197	329
36	250	53	69	265	397
37	233	353	105	275	353
38	226	320	65	96	354
39	350	360	162	387	250
40	313	69	320	391	351
41	204	204	360	390	344
42	11	62	191	395	355
43	262	348	223	376	367
44	310	307	62	377	386
45	30	26	204	117	338
46	267	295	26	393	368
47	51	42	234	396	392
48	107	234	348	0	396
49	54	362	307	399	0
50	161	73	334	257	195
51	187	315	157	379	312
52	283	309	1	170	152
53	53	66	329	220	261
54	276	290	365	158	303
55	132	151	369	91	178
56	305	330	210	112	155
57	251	89	385	176	37
58	255	379	314	2	299
59	168	325	368	49	198
60	94	21	349	7	311
61	326	284	375	347	19
62	298	47	6	330	302
63	35	278	80	382	330
64	244	177	303	398	301
65	103	201	391	397	33
66	340	35	399	385	46
67	180	335	396	386	27
68	309	198	398	325	32
69	324	84	0	1	13
70	211	181	180	312	132
71	27	132	61	322	234
72	101	194	130	335	101
73	102	28	96	363	63
74	338	370	284	222	139
75	279	213	56	182	60
76	369	140	148	282	44
77	295	286	99	218	8
78	56	103	110	13	29
79	370	222	151	342	166
80	112	172	251	186	53
81	263	105	129	297	249
82	86	324	50	225	59
83	169	136	14	274	264
84	256	10	137	354	296
85	207	63	25	279	74
86	3	337	68	60	45
87	41	158	126	332	30
88	359	227	158	202	42
89	140	147	45	254	390
90	399	129	377	184	321
91	136	374	156	234	254
92	149	27	22	345	391
93	290	70	199	216	327
94	345	14	70	337	104
95	265	212	101	329	277
96	4	120	357	188	325
97	347	328	203	237	6
98	387	226	308	367	227
99	260	224	330	352	379
100	206	134	316	209	381
101	376	294	306	76	319
102	121	29	341	95	369
103	274	113	332	4	398
104	314	244	242	5	399
105	118	267	3	273	1
106	172	8	112	321	395
107	222	96	392	380	387
108	13	396	91	384	326
109	131	5	2	296	320
110	269	196	261	226	24
111	329	86	241	152	90
112	9	356	310	79	209
113	395	43	21	46	208
114	170	239	160	285	14
115	120	180	395	28	241
116	88	121	183	66	12
117	227	340	7	18	106
118	282	31	397	334	271
119	294	161	213	42	100
120	254	270	113	27	61
121	134	246	228	17	103
122	133	395	313	55	124
123	185	219	281	102	21
124	7	279	256	113	228
125	150	352	351	21	158
126	104	195	364	32	31
127	315	2	345	23	81
128	390	68	270	41	98
129	197	207	4	50	219
130	365	22	32	287	147
131	386	54	253	151	210
132	384	355	17	127	205
133	163	25	125	262	78
134	97	386	90	54	28
135	184	100	57	31	182
136	358	162	143	56	242
137	82	313	124	103	175
138	321	305	142	78	168
139	268	187	141	123	213
140	212	398	78	82	193
141	341	253	173	130	308
142	34	225	374	140	58
143	252	268	133	124	68
144	239	310	18	143	18
145	116	399	154	86	84
146	299	220	176	33	263
147	264	334	47	14	57
148	322	93	152	26	239
149	325	263	146	90	122
150	385	197	250	129	240
151	216	149	163	88	222
152	177	357	60	44	143
153	292	215	181	173	48
154	225	3	352	144	196
155	147	65	205	350	66
156	47	135	104	30	286
157	291	46	39	153	258
158	257	255	118	301	270
159	248	251	13	109	207
160	141	32	150	100	180
161	246	230	75	111	79
162	162	254	171	134	226
163	79	169	33	89	201
164	38	17	179	11	189
165	151	193	195	101	10
166	259	233	257	67	111
167	242	34	275	164	287
168	42	321	185	142	113
169	96	260	226	183	188
170	344	176	170	9	153
171	109	252	159	36	269
172	17	79	116	93	349
173	351	190	356	304	293
174	117	257	84	37	55
175	100	75	312	81	127
176	181	314	327	72	340
177	215	153	232	39	324
178	393	185	367	94	333
179	312	303	358	115	384
180	286	122	153	104	345
181	155	350	350	99	389
182	122	259	262	374	394
183	175	33	34	288	331
184	201	299	331	327	359
185	230	202	388	156	332
186	176	262	277	338	328
187	165	78	265	138	91
188	253	206	293	106	2
189	272	13	359	3	4
190	83	24	225	261	273
191	58	326	269	383	291
192	125	167	82	133	267
193	330	298	111	302	77
194	301	210	207	191	265
195	129	137	324	239	88
196	196	123	211	108	243
197	193	165	67	12	235
198	75	351	311	77	164
199	258	344	299	141	233
200	210	301	335	219	73
201	205	359	168	193	93
202	71	168	286	195	218
203	115	125	220	256	71
204	288	322	106	290	96
205	213	114	279	344	203
206	349	367	147	247	199
207	270	291	276	284	177
208	249	338	219	147	92
209	247	107	280	68	187
210	231	391	291	357	185
211	153	146	290	368	295
212	158	155	86	231	215
213	0	143	288	349	7
214	261	108	79	97	361
215	391	131	283	283	366
216	77	94	97	318	43
217	396	264	328	177	316
218	219	112	268	212	337
219	171	312	337	348	350
220	354	15	260	255	135
221	21	329	248	252	365
222	232	236	246	207	376
223	174	256	102	276	380
224	281	342	64	314	378
225	394	287	103	280	382
226	214	363	59	359	374
227	334	9	347	289	336
228	73	292	301	316	388
229	68	82	164	394	5
230	296	175	107	163	35
231	275	369	216	53	11
232	228	319	227	69	307
233	361	377	236	47	280
234	85	97	326	148	341
235	22	382	239	272	339
236	55	317	244	149	294
237	137	274	247	267	385
238	304	1	249	264	342
239	360	109	94	154	268
240	37	102	254	251	348
241	195	261	255	250	375
242	280	345	138	157	364
243	335	60	93	159	356
244	380	265	292	243	343
245	29	157	294	240	352
246	328	171	304	236	16
247	114	384	305	230	15
248	234	269	240	135	9
249	159	216	206	229	383
250	2	81	338	227	112
251	108	156	134	228	176
252	166	95	166	233	118
253	49	228	188	185	162
254	343	188	186	114	192
255	302	118	189	246	211
256	287	381	233	271	151
257	284	249	43	178	221
258	16	354	376	74	223
259	224	273	127	73	229
260	241	281	370	292	142
261	182	327	121	84	138
262	66	127	54	175	137
263	43	39	263	172	266
264	243	64	264	305	131
265	50	242	72	306	130
266	363	126	344	171	120
267	323	116	340	63	119
268	28	341	36	62	114
269	48	333	194	118	167
270	146	4	177	214	154
271	113	160	318	217	99
272	277	387	95	196	102
273	76	192	88	224	170
274	40	277	354	194	126
275	18	199	200	181	181
276	382	90	309	263	107
277	300	30	325	268	184
278	63	88	287	179	238
279	398	331	209	277	141
280	366	347	384	174	285
281	356	141	315	168	140
282	266	214	8	167	134
283	160	37	175	166	110
284	327	205	342	307	262
285	81	150	10	311	253
286	342	243	379	313	220
287	367	159	198	315	224
288	123	115	135	323	179
289	217	36	267	210	64
290	199	59	66	122	206
291	285	83	336	356	156
292	209	343	212	110	115
293	46	258	11	83	97
294	152	366	386	269	85
295	61	23	41	198	247
296	200	237	9	331	133
297	336	397	285	200	160
298	64	306	229	201	144
299	95	318	27	203	54
300	10	365	243	308	204
301	144	67	297	211	292
302	186	282	122	221	129
303	167	378	81	57	76
304	173	385	296	58	149
305	119	208	161	59	163
306	273	99	136	61	145
307	221	332	363	270	47
308	189	247	215	180	200
309	74	173	28	260	186
310	19	142	83	29	169
311	362	200	323	35	125
312	32	392	92	324	190
313	203	296	393	52	335
314	148	45	131	242	72
315	178	138	196	223	212
316	357	184	278	128	49
317	317	183	372	365	306
318	311	19	119	340	50
319	164	154	132	339	148
320	15	280	108	336	117
321	84	271	74	155	252
322	218	209	230	161	246
323	319	346	100	310	217
324	92	316	49	208	82
325	388	170	182	303	225
326	157	308	382	300	281
327	70	148	98	215	94
328	98	128	38	137	157
329	99	91	20	213	159
330	124	178	71	333	75
331	36	289	184	389	276
332	87	364	201	319	214
333	72	186	193	343	146
334	372	85	339	378	123
335	383	6	167	160	25
336	91	110	378	187	284
337	289	231	245	366	275
338	339	92	76	298	89
339	5	50	394	20	297
340	237	311	120	351	274
341	44	117	53	299	69
342	59	20	155	24	161
343	139	393	300	238	34
344	320	232	266	80	22
