	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	311	386	7	365	293
31	231	45	104	296	192
32	300	21	150	397	368
33	108	274	143	250	240
34	375	97	316	298	100
35	284	169	111	39	338
36	188	116	107	369	53
37	22	95	397	159	92
38	152	182	149	240	331
39	146	168	124	226	39
40	125	81	103	399	366
41	34	134	181	236	72
42	156	265	105	327	363
43	62	69	348	212	314
44	56	120	307	297	328
45	172	93	92	149	395
46	268	15	163	295	345
47	381	298	162	272	378
48	396	68	137	257	321
49	169	194	185	348	380
50	260	348	133	170	323
51	233	66	365	92	222
52	296	17	263	275	306
53	176	99	144	217	149
54	247	70	186	120	295
55	316	159	182	100	355
56	219	399	160	223	7
57	352	57	9	171	275
58	165	117	41	221	318
59	328	157	135	243	284
60	196	184	34	81	349
61	77	67	159	7	159
62	213	55	242	65	310
63	309	5	199	284	226
64	341	330	86	285	250
65	58	280	153	176	317
66	46	121	113	230	399
67	204	227	171	269	350
68	141	20	142	222	382
69	292	369	221	53	357
70	242	100	55	134	18
71	184	214	81	31	76
72	253	371	296	215	133
73	39	86	134	303	164
74	346	266	212	393	312
75	310	379	146	394	49
76	163	323	350	251	397
77	351	384	176	49	137
78	16	195	394	216	374
79	347	59	188	137	170
80	145	88	219	282	31
81	47	226	257	41	365
82	272	185	265	37	303
83	389	307	126	252	319
84	335	166	170	18	235
85	330	72	72	371	55
86	210	203	359	76	37
87	273	60	280	277	81
88	25	232	175	305	370
89	276	359	82	387	396
90	178	7	272	52	59
91	228	113	369	286	34
92	9	31	250	117	215
93	31	272	245	231	354
94	315	385	385	384	286
95	118	12	49	352	367
96	185	40	52	239	16
97	13	179	255	55	376
98	3	207	125	350	77
99	206	397	193	211	332
100	294	148	314	133	50
101	387	290	327	366	52
102	350	150	53	378	117
103	1	33	168	203	282
104	339	393	167	246	248
105	153	311	387	213	204
106	342	107	331	292	217
107	336	177	16	72	339
108	331	1	161	278	134
109	87	193	393	220	243
110	97	236	210	130	299
111	322	85	345	347	13
112	399	34	154	268	44
113	151	291	336	263	326
114	364	122	18	385	27
115	140	228	378	162	227
116	203	206	278	234	152
117	367	209	164	270	324
118	265	387	266	202	84
119	394	167	121	381	285
120	19	112	138	27	304
121	21	30	140	323	73
122	32	282	174	97	130
123	199	249	94	261	96
124	251	268	100	32	124
125	371	263	231	274	199
126	66	231	27	315	193
127	362	353	39	209	111
128	23	257	194	244	30
129	174	327	120	299	327
130	86	49	197	34	261
131	202	322	358	185	340
132	8	171	147	58	369
133	95	225	323	267	115
134	107	198	276	214	388
135	30	149	384	311	161
136	334	219	130	12	15
137	75	172	268	111	298
138	116	16	173	101	178
139	232	201	325	89	151
140	81	365	291	228	153
141	259	254	206	294	101
142	82	65	342	13	384
143	91	334	115	256	162
144	24	143	334	233	210
145	7	9	64	204	163
146	96	158	148	258	221
147	254	364	190	163	344
148	337	314	227	219	277
149	189	44	270	287	373
150	327	233	129	306	132
151	40	316	267	158	145
152	71	342	97	181	135
153	307	61	347	14	139
154	348	304	224	193	142
155	114	38	258	161	140
156	191	350	312	383	141
157	59	221	223	329	238
158	393	220	58	50	156
159	384	370	273	61	89
160	305	131	50	359	351
161	2	114	366	152	158
162	76	197	61	196	311
163	134	186	101	227	214
164	83	10	178	30	28
165	170	13	399	218	176
166	128	78	228	115	143
167	303	352	386	28	269
168	223	278	157	9	147
169	38	14	180	151	377
170	173	47	218	334	113
171	43	344	90	331	58
172	263	210	391	59	75
173	221	245	151	109	336
174	317	255	392	80	185
175	149	126	398	84	258
176	192	2	0	320	265
177	53	71	332	271	102
178	355	80	76	73	65
179	285	212	213	95	329
180	357	110	249	238	356
181	200	92	40	307	268
182	109	63	67	392	391
183	323	146	324	301	234
184	313	380	371	316	294
185	372	96	80	124	364
186	256	36	353	262	94
187	49	260	32	313	17
188	216	324	303	2	219
189	101	79	237	168	129
190	133	140	299	330	148
191	11	229	89	200	150
192	54	345	116	357	154
193	212	138	382	135	155
194	224	53	155	16	157
195	289	287	261	144	160
196	326	27	152	336	43
197	390	270	141	377	46
198	270	132	198	281	42
199	4	183	177	147	168
200	343	362	256	322	169
201	321	75	73	333	172
202	359	46	195	276	174
203	225	269	304	3	40
204	37	279	306	245	38
205	73	396	381	345	179
206	236	103	352	210	180
207	117	180	360	367	167
208	291	241	189	140	12
209	72	6	108	129	97
210	283	309	204	21	116
211	277	377	244	77	118
212	159	378	203	86	119
213	88	37	225	191	218
214	122	104	363	386	175
215	147	333	122	391	236
216	382	215	396	127	177
217	241	135	110	273	297
218	115	199	68	361	24
219	135	372	383	156	392
220	157	76	209	260	379
221	197	174	232	398	47
222	150	73	102	0	263
223	211	173	59	318	348
224	33	52	117	321	398
225	179	130	357	324	54
226	102	22	379	290	144
227	261	310	25	94	387
228	314	192	226	105	272
229	220	238	330	280	393
230	280	264	339	121	146
231	227	54	70	183	104
232	154	357	290	114	106
233	112	239	216	157	107
234	249	39	12	160	108
235	111	366	78	6	109
236	370	392	75	153	110
237	193	151	238	60	112
238	70	175	74	166	114
239	158	331	283	54	122
240	369	28	269	241	123
241	214	142	136	289	125
242	215	296	33	112	126
243	187	136	87	118	127
244	42	262	300	242	128
245	324	303	236	93	131
246	121	147	271	150	138
247	282	160	279	177	99
248	124	32	79	164	394
249	345	106	17	304	325
250	308	115	207	198	48
251	100	156	95	264	202
252	63	253	15	29	203
253	368	284	253	346	205
254	51	360	22	36	213
255	312	273	158	364	207
256	286	77	264	154	51
257	266	58	192	123	206
258	195	321	370	332	209
259	340	83	20	113	390
260	385	347	96	44	10
261	29	332	243	102	83
262	162	329	21	172	166
263	129	351	377	47	223
264	41	381	13	143	105
265	325	124	288	17	82
266	136	190	215	178	200
267	201	346	54	224	61
268	35	294	346	131	300
269	181	302	83	96	120
270	358	320	211	187	197
271	383	261	313	186	196
272	182	391	318	142	195
273	290	383	239	182	87
274	257	218	310	184	190
275	99	336	191	35	188
276	78	337	10	38	187
277	10	297	106	174	186
278	85	202	354	173	184
279	186	50	6	169	183
280	209	251	326	40	182
281	20	89	252	148	181
282	142	118	196	395	165
283	269	367	172	180	98
284	15	312	127	374	93
285	365	144	11	353	91
286	275	90	340	78	189
287	248	161	36	155	389
288	171	170	364	312	33
289	138	109	284	74	343
290	218	164	320	225	233
291	0	129	294	208	232
292	69	318	329	201	230
293	377	368	262	390	229
294	90	256	380	188	225
295	175	306	131	175	224
296	229	24	156	90	220
297	148	267	246	167	212
298	103	375	315	146	208
299	366	361	60	145	201
300	166	224	309	139	198
301	120	128	62	125	90
302	207	204	277	122	88
303	255	62	275	108	85
304	274	111	374	190	79
305	198	153	361	56	78
306	288	216	84	382	69
307	245	91	14	57	386
308	344	51	47	79	74
309	106	325	308	310	35
310	177	155	200	197	239
311	55	374	341	389	6
312	299	119	112	63	267
313	94	343	368	66	266
314	131	213	251	247	264
315	36	243	293	254	262
316	98	258	389	51	1
317	180	363	301	288	256
318	298	162	338	291	2
319	243	123	183	300	241
320	113	246	65	46	254
321	67	3	98	308	252
322	160	313	28	265	4
323	44	315	45	279	5
324	5	223	376	62	247
325	144	382	344	344	246
326	376	127	229	88	245
327	338	277	71	314	244
328	386	308	91	354	253
329	60	299	240	82	385
330	104	235	132	69	64
331	250	354	201	71	278
332	132	208	205	229	66
333	306	152	220	396	71
334	17	154	241	85	274
335	137	340	235	87	273
336	92	292	234	91	271
337	239	102	233	99	270
338	64	289	184	104	68
339	167	56	343	106	251
340	61	23	179	128	255
341	304	42	1	132	242
342	329	295	99	138	228
343	139	244	390	141	211
344	391	84	351	165	103
