	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	128	128	128	390	132
31	260	262	265	141	4
32	390	396	395	274	395
33	264	14	139	276	139
34	137	146	16	148	14
35	138	277	272	279	143
36	140	150	18	154	270
37	17	281	279	163	19
38	146	155	25	295	23
39	274	28	287	170	284
40	275	157	33	173	30
41	21	32	290	48	286
42	27	289	164	176	290
43	28	290	299	313	38
44	160	178	52	185	168
45	291	183	308	73	40
46	297	184	311	333	172
47	42	57	314	77	303
48	170	314	61	207	64
49	46	188	64	337	322
50	307	62	320	338	201
51	311	193	326	211	73
52	184	67	199	339	202
53	316	332	73	213	204
54	62	84	331	88	339
55	199	213	332	220	214
56	71	87	210	100	215
57	202	345	340	122	344
58	205	346	88	103	93
59	335	347	220	105	352
60	209	93	96	106	353
61	89	351	225	237	230
62	90	352	235	368	232
63	376	97	363	241	235
64	102	99	237	242	240
65	231	228	369	371	245
66	230	236	373	379	373
67	233	114	377	245	117
68	364	246	124	250	123
69	248	122	253	123	254
70	385	129	384	131	128
71	2	257	1	7	386
72	259	3	386	8	262
73	129	132	3	268	7
74	132	263	2	20	6
75	262	8	389	21	265
76	22	264	8	153	394
77	24	395	266	281	397
78	286	12	138	284	21
79	289	270	396	29	22
80	36	151	142	156	278
81	164	153	270	160	152
82	305	292	276	292	151
83	50	181	26	164	282
84	314	313	154	294	158
85	59	192	158	297	167
86	61	321	163	299	52
87	64	322	38	55	308
88	322	324	170	315	182
89	195	71	176	60	184
90	204	201	55	322	317
91	76	204	190	74	190
92	81	334	191	331	319
93	343	335	192	204	324
94	216	208	66	214	326
95	349	80	194	218	77
96	222	210	83	347	205
97	221	83	216	221	209
98	226	86	90	352	81
99	356	215	349	226	83
100	361	227	95	356	342
101	363	107	226	364	218
102	367	365	233	369	228
103	370	368	236	113	357
104	242	370	239	370	104
105	371	371	115	375	107
106	120	372	372	252	363
107	251	380	243	381	113
108	381	382	247	382	374
109	255	127	251	383	382
110	0	386	131	129	0
111	384	134	134	386	1
112	258	265	11	391	258
113	266	266	398	265	133
114	395	9	271	394	389
115	268	397	399	138	263
116	396	271	145	142	140
117	15	272	17	399	268
118	23	279	148	144	269
119	281	154	151	143	276
120	155	158	293	19	150
121	157	160	166	149	157
122	158	161	167	155	161
123	33	164	296	158	291
124	162	166	42	31	297
125	292	167	171	32	169
126	167	170	174	159	46
127	168	299	305	33	47
128	173	42	309	298	302
129	53	179	54	300	176
130	320	60	310	177	312
131	324	319	56	49	314
132	197	65	318	308	59
133	200	70	67	182	316
134	329	200	324	56	186
135	203	328	330	312	197
136	79	209	335	193	69
137	84	222	86	69	328
138	213	360	215	327	207
139	88	104	352	79	211
140	97	106	355	83	220
141	354	364	357	212	100
142	229	239	105	90	361
143	365	379	234	350	364
144	114	115	368	222	111
145	243	117	241	357	124
146	372	377	242	239	369
147	117	123	249	112	244
148	115	124	380	240	120
149	124	126	126	254	380
150	263	384	385	261	129
151	265	1	260	135	385
152	11	260	390	267	131
153	12	261	136	272	260
154	399	389	9	17	387
155	144	6	394	146	134
156	145	136	10	24	135
157	19	138	140	25	267
158	279	144	15	27	271
159	280	20	20	161	16
160	31	152	149	34	273
161	161	25	150	36	146
162	35	159	34	165	275
163	37	287	294	166	148
164	166	162	301	168	277
165	40	291	306	302	24
166	296	35	50	174	25
167	49	165	313	303	166
168	54	294	315	52	39
169	55	168	188	61	43
170	310	302	317	319	49
171	189	303	197	195	55
172	193	49	325	68	183
173	323	53	209	324	60
174	74	194	338	326	321
175	206	197	211	335	334
176	336	203	341	94	79
177	342	77	351	223	221
178	220	82	354	354	222
179	351	341	98	227	99
180	224	343	100	355	356
181	225	217	122	230	359
182	228	90	231	231	233
183	357	218	366	366	362
184	232	94	367	367	366
185	377	96	112	114	370
186	369	362	116	376	242
187	244	363	250	121	375
188	116	120	252	380	249
189	121	125	255	127	378
190	387	385	258	256	261
191	3	130	6	2	391
192	388	387	262	258	396
193	9	4	264	134	142
194	393	7	12	262	399
195	270	13	147	9	15
196	398	143	21	152	145
197	16	22	152	26	147
198	148	24	28	286	149
199	150	27	292	287	287
200	152	29	40	162	32
201	282	31	41	35	288
202	32	37	178	37	33
203	294	169	53	42	36
204	295	297	60	44	48
205	299	172	316	47	178
206	44	50	323	183	307
207	45	310	70	184	306
208	302	312	329	187	53
209	176	186	334	316	50
210	177	317	78	317	185
211	51	61	336	63	61
212	180	320	81	320	63
213	187	64	85	325	199
214	188	195	342	75	200
215	315	202	347	76	206
216	319	78	221	336	82
217	70	340	224	209	212
218	327	88	358	82	85
219	334	219	102	341	87
220	341	221	110	86	217
221	214	359	113	344	89
222	87	231	117	216	91
223	101	366	374	348	97
224	237	116	119	349	103
225	109	374	118	97	108
226	366	249	121	101	109
227	245	252	378	362	114
228	253	254	254	365	377
229	383	255	383	109	379
230	1	2	256	384	392
231	131	137	257	257	137
232	5	269	388	260	8
233	394	19	133	133	393
234	139	23	263	393	10
235	10	38	275	396	13
236	13	46	22	13	9
237	141	175	23	145	144
238	267	176	27	283	17
239	147	306	284	28	272
240	153	307	157	30	27
241	283	59	286	288	29
242	29	316	162	290	159
243	159	189	291	291	160
244	290	63	36	50	289
245	304	68	173	51	164
246	309	326	302	180	174
247	313	73	177	53	51
248	58	333	181	307	188
249	192	207	185	188	192
250	67	212	58	190	66
251	69	344	59	65	195
252	328	89	189	194	331
253	77	216	62	67	75
254	78	92	319	329	203
255	211	354	65	330	78
256	215	355	68	203	336
257	346	100	200	332	337
258	219	357	207	210	210
259	91	232	348	342	213
260	218	361	350	92	219
261	350	237	353	93	96
262	94	109	356	96	226
263	95	111	107	353	355
264	360	367	364	359	354
265	362	112	111	361	105
266	118	369	246	111	118
267	375	241	375	115	253
268	250	245	376	372	251
269	254	381	382	125	125
270	256	256	0	0	384
271	4	131	129	130	388
272	133	5	387	387	383
273	134	393	4	5	141
274	8	268	137	6	398
275	142	398	393	392	279
276	20	399	141	140	153
277	151	278	397	12	281
278	284	280	144	397	155
279	288	282	273	14	156
280	39	26	280	16	34
281	169	285	153	398	163
282	172	30	39	18	294
283	306	34	168	275	170
284	317	36	43	273	299
285	63	40	172	271	177
286	66	296	45	289	305
287	201	43	300	296	180
288	330	44	175	169	310
289	207	45	51	172	189
290	83	174	312	46	68
291	212	301	198	178	325
292	85	177	328	310	72
293	86	180	74	318	332
294	344	55	203	321	333
295	347	311	204	66	335
296	92	187	80	323	338
297	223	66	337	200	341
298	355	325	82	80	345
299	358	198	339	81	90
300	359	327	212	85	98
301	105	72	87	346	227
302	234	331	218	219	101
303	106	76	97	99	106
304	368	75	99	229	365
305	241	336	230	108	239
306	380	81	360	244	112
307	249	238	106	246	241
308	252	247	365	120	248
309	125	253	245	251	127
310	257	259	130	128	256
311	389	135	132	1	2
312	136	267	7	385	5
313	272	142	392	263	264
314	273	15	135	270	138
315	18	16	14	151	11
316	276	147	146	280	12
317	149	149	281	23	18
318	25	284	283	157	280
319	30	156	285	39	31
320	287	286	159	40	162
321	298	33	161	41	292
322	43	295	297	301	165
323	301	171	303	175	293
324	175	173	47	309	295
325	308	47	49	311	296
326	181	305	304	58	300
327	312	308	179	62	44
328	56	182	182	191	179
329	60	54	57	197	181
330	191	56	186	198	54
331	321	190	195	72	57
332	196	196	71	78	187
333	326	199	72	340	62
334	73	79	327	84	71
335	331	337	75	87	74
336	337	342	206	217	76
337	119	119	79	89	88
338	345	91	344	95	349
339	217	348	89	224	350
340	352	220	91	351	351
341	227	223	94	233	229
342	100	224	228	234	238
343	104	356	229	363	367
344	236	102	359	236	368
