	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	167	165	256	265	1
31	320	289	124	270	396
32	164	156	131	271	158
33	133	137	260	272	195
34	137	291	337	273	208
35	269	292	336	274	118
36	11	162	323	276	134
37	145	296	247	278	55
38	222	134	240	286	260
39	295	297	134	287	131
40	40	141	245	288	239
41	388	298	185	290	258
42	276	166	273	294	137
43	159	77	230	295	244
44	7	326	269	245	65
45	154	324	17	244	247
46	380	222	199	243	122
47	393	124	209	237	249
48	377	8	163	154	120
49	78	236	83	158	255
50	54	235	118	166	246
51	313	129	348	179	362
52	215	387	101	181	339
53	168	25	352	183	51
54	319	40	133	187	305
55	322	109	136	190	79
56	294	106	330	194	355
57	327	252	365	302	35
58	155	287	178	196	217
59	142	157	180	202	38
60	117	161	315	210	229
61	109	85	75	211	308
62	234	82	150	214	263
63	237	169	184	216	312
64	74	128	390	219	140
65	356	356	366	222	261
66	359	350	26	223	227
67	365	172	1	231	316
68	47	143	190	197	219
69	399	280	183	200	399
70	298	120	353	280	274
71	224	103	38	156	33
72	108	99	255	381	269
73	116	229	254	380	278
74	309	232	251	144	281
75	214	96	268	112	302
76	292	238	303	100	285
77	288	239	239	159	300
78	210	35	80	215	12
79	228	249	275	209	299
80	101	253	32	207	298
81	221	262	224	42	394
82	395	399	221	204	5
83	188	330	317	229	383
84	9	269	213	330	42
85	201	60	212	331	49
86	3	303	327	332	370
87	232	313	23	306	157
88	204	336	43	75	141
89	244	320	281	335	139
90	209	329	278	35	127
91	41	72	20	34	163
92	362	335	73	365	168
93	86	397	16	264	181
94	114	396	351	90	293
95	64	160	64	28	100
96	334	32	261	301	350
97	286	188	267	24	93
98	131	197	271	56	90
99	341	80	286	174	78
100	59	111	235	351	357
101	58	218	387	352	74
102	46	322	301	20	69
103	162	316	248	96	322
104	91	377	232	101	203
105	36	361	92	250	367
106	35	88	364	167	151
107	360	20	140	252	369
108	255	117	291	31	44
109	220	347	277	399	287
110	200	279	34	13	347
111	284	278	162	220	342
112	176	3	27	3	215
113	100	7	130	168	228
114	71	267	98	8	213
115	19	260	103	386	114
116	281	15	228	367	290
117	263	189	305	37	60
118	98	243	14	21	209
119	173	256	25	304	319
120	371	16	182	239	145
121	29	237	246	145	109
122	310	234	244	299	205
123	354	17	250	84	54
124	314	19	8	312	327
125	132	213	153	108	47
126	239	208	324	284	52
127	236	204	146	282	330
128	323	381	325	324	48
129	235	21	392	124	341
130	326	379	143	129	202
131	50	24	94	65	256
132	306	30	215	329	40
133	45	354	288	261	45
134	44	43	395	40	393
135	355	45	47	62	282
136	42	53	219	59	238
137	301	64	186	257	268
138	342	362	359	254	126
139	300	131	369	344	201
140	141	299	56	346	102
141	299	138	149	138	77
142	253	332	144	348	334
143	296	217	78	349	381
144	149	325	81	303	318
145	349	257	283	46	180
146	150	270	86	356	59
147	351	272	93	143	323
148	303	33	385	260	161
149	179	398	311	398	289
150	219	100	379	208	166
151	279	102	372	198	154
152	189	108	376	180	144
153	282	110	293	173	91
154	396	115	292	193	235
155	212	130	294	283	398
156	251	150	108	171	73
157	102	317	304	131	280
158	95	153	280	118	273
159	291	164	116	104	284
160	203	302	96	33	88
161	151	301	119	16	75
162	369	294	82	378	81
163	297	282	253	379	82
164	177	277	135	212	277
165	17	268	175	17	68
166	225	263	334	27	72
167	391	254	335	224	84
168	394	380	237	309	85
169	172	201	338	44	248
170	383	198	67	314	245
171	49	181	141	185	243
172	361	170	161	300	295
173	305	167	346	321	241
174	312	159	106	291	254
175	83	182	111	83	291
176	283	375	302	326	6
177	280	190	344	281	124
178	275	310	197	228	39
179	330	231	115	337	25
180	331	227	10	68	275
181	120	214	368	345	397
182	338	202	241	137	377
183	344	126	316	251	329
184	258	95	89	63	366
185	347	93	350	93	211
186	39	63	207	50	359
187	358	46	28	364	242
188	366	359	384	341	385
189	398	395	84	52	226
190	385	44	102	177	210
191	345	86	42	89	177
192	5	81	54	201	212
193	376	51	53	217	101
194	390	57	142	218	234
195	27	42	145	106	267
196	113	73	147	225	218
197	129	65	33	221	301
198	105	175	263	76	276
199	139	273	389	49	296
200	144	246	156	305	156
201	146	245	158	298	204
202	152	2	378	54	199
203	157	224	139	109	190
204	187	220	74	61	178
205	311	158	112	105	94
206	207	212	15	268	222
207	218	205	9	256	386
208	84	200	347	110	8
209	53	4	343	130	389
210	66	9	51	385	206
211	290	176	314	139	223
212	289	209	318	122	10
213	277	389	332	391	21
214	37	36	226	111	331
215	265	306	172	315	266
216	226	118	198	103	142
217	384	75	396	99	32
218	138	107	394	163	138
219	32	357	110	169	351
220	72	355	195	175	349
221	97	135	381	88	125
222	165	151	370	79	62
223	166	155	191	242	106
224	180	183	227	255	317
225	61	334	312	338	207
226	243	215	50	289	87
227	77	242	266	327	99
228	249	367	3	377	368
229	246	393	105	12	320
230	199	5	233	23	324
231	85	123	192	25	50
232	386	22	223	51	332
233	329	76	236	53	197
234	4	342	166	55	233
235	13	149	249	80	251
236	48	148	252	82	220
237	346	119	151	91	253
238	38	344	174	97	147
239	30	370	167	114	146
240	363	10	188	317	265
241	10	266	262	125	133
242	211	14	264	132	129
243	308	185	201	397	162
244	0	39	189	151	104
245	216	328	272	152	113
246	206	323	279	296	183
247	134	321	126	157	292
248	135	226	225	161	111
249	267	305	21	164	303
250	266	304	216	269	108
251	96	55	196	170	115
252	261	286	18	186	160
253	195	233	386	246	150
254	248	255	157	233	9
255	229	68	41	240	240
256	1	340	360	147	149
257	231	369	356	393	328
258	196	61	345	9	379
259	245	338	66	389	76
260	106	331	138	227	376
261	23	127	313	32	19
262	28	264	398	230	335
263	153	180	152	148	193
264	339	177	148	57	356
265	273	116	382	372	43
266	336	168	65	165	46
267	123	144	329	123	128
268	192	343	270	26	159
269	264	1	367	310	30
270	158	112	99	382	187
271	191	186	363	127	98
272	67	69	59	373	387
273	89	192	6	149	83
274	119	345	203	121	186
275	193	382	374	6	116
276	197	195	375	5	117
277	198	196	22	94	294
278	217	87	358	81	14
279	82	219	176	150	11
280	161	378	58	339	170
281	169	341	328	258	373
282	147	230	12	275	375
283	328	29	40	395	353
284	325	383	206	72	354
285	125	386	257	188	192
286	223	360	107	311	107
287	178	31	95	155	105
288	370	6	243	172	200
289	307	319	125	316	103
290	184	114	276	162	34
291	375	113	285	320	310
292	186	391	319	325	97
293	122	221	181	323	250
294	259	79	397	95	58
295	257	71	61	322	153
296	70	333	307	178	252
297	81	145	306	371	390
298	128	70	132	92	71
299	372	66	129	69	378
300	25	285	393	353	172
301	156	56	391	160	167
302	316	54	100	336	271
303	304	50	97	263	364
304	51	309	5	226	22
305	55	38	204	390	232
306	56	258	309	392	262
307	256	142	296	236	272
308	12	371	380	133	132
309	2	125	308	19	344
310	92	318	155	366	53
311	94	140	170	334	152
312	15	311	169	48	7
313	103	84	45	368	164
314	367	136	357	102	174
315	107	295	354	313	23
316	111	327	349	115	374
317	112	312	60	66	382
318	18	308	362	29	2
319	302	392	71	292	28
320	21	27	371	285	338
321	31	52	72	67	337
322	364	28	4	11	333
323	60	83	76	357	29
324	63	89	85	73	391
325	233	223	355	74	363
326	115	90	388	142	24
327	88	92	290	203	176
328	357	104	265	176	304
329	99	34	173	14	188
330	160	47	177	7	143
331	33	152	160	4	130
332	124	23	159	383	63
333	8	173	154	362	119
334	317	179	88	369	270
335	260	187	127	117	123
336	250	194	113	355	66
337	175	385	341	319	286
338	118	206	55	297	288
339	104	26	120	279	297
340	90	368	62	267	184
341	76	207	320	238	264
342	75	337	91	195	336
343	65	58	399	394	196
344	321	62	117	140	155
