	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	151	121	178	125	118
31	122	120	153	114	117
32	148	119	154	124	116
33	121	118	151	115	125
34	120	117	128	122	115
35	119	125	127	121	112
36	118	116	126	117	111
37	117	114	125	120	110
38	116	113	124	135	109
39	115	112	122	134	108
40	114	111	121	111	107
41	113	110	120	142	106
42	112	6	118	102	105
43	111	108	117	141	114
44	109	107	116	103	126
45	108	115	115	104	123
46	107	105	113	140	140
47	106	126	112	139	128
48	105	138	111	112	129
49	104	148	110	105	141
50	103	147	108	138	130
51	123	146	107	106	131
52	124	145	106	137	132
53	399	144	129	108	138
54	128	143	152	109	127
55	147	142	130	110	139
56	146	141	131	118	133
57	145	140	150	113	134
58	144	10	149	13	135
59	142	137	148	385	137
60	141	136	147	393	49
61	140	135	146	338	60
62	125	134	145	123	318
63	138	132	144	145	142
64	139	131	143	334	198
65	136	130	142	60	243
66	135	129	141	151	196
67	134	128	140	347	393
68	133	127	139	349	342
69	132	4	138	327	302
70	131	195	137	155	385
71	129	78	136	258	349
72	137	88	135	41	174
73	159	109	134	233	22
74	241	124	133	36	271
75	91	265	132	164	308
76	221	232	399	315	29
77	201	177	119	169	321
78	398	329	167	377	113
79	54	1	25	221	51
80	171	199	398	202	167
81	396	198	104	127	147
82	169	197	105	100	148
83	152	204	155	99	163
84	150	173	102	97	145
85	149	175	101	96	144
86	102	156	156	95	143
87	101	154	157	207	124
88	100	153	158	101	122
89	99	152	159	144	149
90	170	151	160	143	120
91	98	150	161	147	104
92	96	149	103	158	103
93	95	123	99	157	102
94	94	122	100	156	101
95	92	106	168	203	100
96	90	104	162	146	99
97	89	103	163	154	98
98	88	102	164	194	119
99	97	100	166	204	150
100	154	99	98	152	399
101	153	97	171	149	152
102	167	96	169	148	161
103	165	95	97	153	160
104	156	155	170	382	159
105	157	172	384	387	158
106	158	399	317	396	157
107	155	164	296	201	156
108	164	157	392	195	151
109	168	158	301	222	154
110	163	171	300	5	155
111	166	159	291	389	153
112	162	170	319	94	192
113	192	160	172	20	48
114	173	161	380	294	213
115	220	169	323	150	47
116	172	162	286	271	394
117	386	168	241	63	272
118	311	165	56	263	391
119	12	166	328	54	252
120	337	167	250	373	25
121	179	53	38	163	33
122	73	281	363	345	146
123	184	371	251	39	317
124	161	319	271	242	269
125	160	247	64	30	356
126	250	245	270	365	268
127	244	243	58	185	226
128	384	224	288	167	378
129	302	52	194	215	162
130	216	214	221	174	220
131	188	201	223	179	221
132	215	213	224	399	222
133	187	186	225	131	223
134	185	223	226	132	208
135	78	83	227	133	186
136	79	84	228	159	398
137	81	85	229	173	166
138	82	86	212	160	97
139	231	229	192	128	164
140	230	228	196	161	165
141	229	227	190	162	93
142	85	226	95	129	92
143	86	87	92	165	91
144	87	89	96	93	185
145	174	90	173	91	168
146	175	91	91	172	169
147	214	225	174	89	170
148	176	92	175	90	172
149	177	93	191	170	175
150	178	94	176	130	96
151	228	174	177	92	90
152	227	176	179	166	177
153	226	178	94	238	178
154	180	179	93	229	179
155	225	180	181	383	89
156	181	181	182	83	88
157	224	182	183	394	180
158	182	183	90	309	87
159	223	185	184	223	181
160	186	212	185	378	182
161	4	221	186	306	183
162	306	82	188	55	184
163	21	210	189	319	176
164	69	306	88	270	94
165	83	72	180	171	299
166	84	322	324	330	396
167	324	71	231	48	383
168	328	328	89	168	267
169	329	184	5	180	69
170	370	375	17	243	246
171	289	279	378	325	373
172	286	271	338	183	201
173	284	356	290	35	357
174	43	357	201	34	55
175	34	35	264	33	36
176	265	267	41	359	38
177	366	31	276	68	350
178	334	277	74	260	240
179	198	317	230	26	304
180	207	231	218	220	227
181	234	69	219	224	228
182	236	233	244	225	207
183	237	235	220	226	229
184	239	236	232	227	232
185	242	237	233	228	233
186	243	239	234	230	234
187	246	241	235	231	235
188	247	242	236	234	236
189	248	244	237	236	238
190	249	246	238	237	239
191	251	249	239	239	241
192	235	251	240	240	242
193	206	252	208	210	244
194	209	234	242	209	245
195	189	205	207	212	230
196	70	207	205	398	206
197	71	81	78	182	209
198	72	73	79	184	204
199	74	76	80	186	78
200	75	77	81	178	79
201	76	79	249	187	81
202	77	80	82	177	82
203	205	187	83	176	83
204	191	188	84	188	84
205	193	189	85	190	85
206	195	190	206	191	187
207	395	398	86	193	188
208	197	193	193	175	189
209	204	194	195	88	205
210	203	196	197	87	193
211	199	200	198	197	190
212	200	202	248	198	195
213	202	203	200	86	203
214	196	192	247	200	202
215	314	206	203	181	200
216	5	65	204	252	199
217	259	64	87	73	397
218	387	75	243	51	63
219	310	331	395	262	24
220	245	332	76	208	369
221	10	238	280	24	66
222	358	61	33	272	326
223	211	385	39	31	277
224	335	335	353	196	339
225	51	296	199	278	210
226	296	30	320	288	73
227	45	377	72	46	197
228	356	297	386	261	50
229	352	40	211	21	214
230	27	21	16	27	18
231	56	22	18	67	19
232	58	23	20	69	23
233	55	24	22	66	61
234	60	26	281	72	58
235	252	57	60	71	62
236	253	397	62	245	249
237	254	59	255	246	250
238	255	256	256	247	251
239	256	257	257	250	253
240	257	258	258	251	254
241	258	259	260	254	255
242	260	260	261	241	256
243	261	261	262	255	258
244	262	263	263	264	260
245	263	58	254	265	261
246	264	264	265	267	262
247	266	268	267	269	263
248	267	269	268	273	264
249	268	270	269	274	265
250	269	272	272	275	266
251	270	273	273	257	270
252	59	274	275	219	273
253	232	278	277	244	248
254	233	266	278	397	225
255	219	253	266	76	247
256	62	254	61	79	395
257	63	222	253	80	74
258	64	60	397	81	75
259	65	62	68	218	224
260	222	63	69	82	76
261	67	66	70	84	68
262	68	67	71	78	72
263	66	68	73	85	211
264	212	230	252	75	212
265	213	208	75	74	215
266	217	70	209	213	217
267	218	209	210	214	218
268	210	215	213	216	219
269	394	216	215	217	64
270	24	217	216	211	65
271	44	218	245	77	71
272	46	219	246	392	324
273	342	220	67	32	359
274	321	45	65	379	43
275	307	294	59	310	77
276	279	51	316	23	16
277	3	255	326	364	330
278	277	262	66	268	338
279	61	56	382	256	290
280	25	32	21	29	21
281	23	28	313	28	17
282	39	25	14	25	15
283	22	20	12	53	13
284	19	19	11	19	12
285	18	17	10	17	11
286	17	16	9	16	10
287	16	15	8	14	9
288	15	14	7	12	8
289	13	13	6	11	7
290	11	12	4	9	6
291	9	9	3	8	5
292	8	8	2	7	4
293	7	7	1	6	2
294	2	5	13	4	1
295	1	3	49	3	300
296	20	313	396	2	44
297	303	49	285	18	42
298	393	47	305	302	46
299	282	54	304	56	297
300	292	311	303	58	296
301	291	310	302	300	295
302	290	309	299	299	294
303	297	308	297	298	293
304	287	307	294	297	292
305	285	304	50	296	291
306	283	303	293	295	289
307	41	302	292	292	288
308	281	301	287	291	287
309	280	299	307	290	286
310	294	298	284	289	285
311	276	295	308	287	45
312	274	50	309	57	282
313	273	292	283	286	280
314	272	291	279	284	52
315	53	290	57	283	53
316	50	289	310	282	54
317	298	287	54	281	57
318	299	286	53	280	59
319	48	285	52	279	281
320	300	284	311	277	274
321	47	282	306	276	276
322	275	280	51	65	278
323	295	55	15	62	279
324	42	396	32	61	275
325	359	29	366	59	392
326	49	341	55	285	363
327	346	38	47	316	14
328	288	305	387	1	348
329	301	27	358	0	284
330	385	378	389	370	374
331	383	379	388	371	375
332	382	380	385	372	377
333	381	381	383	374	379
334	343	382	349	375	380
335	380	384	381	376	381
336	376	386	377	380	382
337	375	387	375	381	384
338	373	389	374	384	386
339	372	391	373	386	387
340	371	392	372	390	388
341	369	369	371	366	366
342	377	346	379	391	389
343	390	347	393	339	335
344	341	344	348	336	333
