	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	128	129	1	384	258
31	384	6	386	2	260
32	2	8	261	263	6
33	258	138	8	137	8
34	387	266	140	139	265
35	133	16	18	142	394
36	390	20	20	18	267
37	9	23	276	20	140
38	10	162	149	276	13
39	141	174	23	150	398
40	398	46	153	152	18
41	272	310	161	161	21
42	144	314	162	165	153
43	20	64	36	38	166
44	150	197	38	40	39
45	161	199	301	172	297
46	163	200	182	173	52
47	36	204	311	182	308
48	164	207	186	312	63
49	167	337	193	317	193
50	43	338	198	196	199
51	324	210	327	68	328
52	331	340	201	201	200
53	335	343	332	202	334
54	211	216	207	335	335
55	85	221	82	210	206
56	88	96	210	83	336
57	218	103	344	216	215
58	346	104	352	222	217
59	223	234	228	224	90
60	224	110	103	225	228
61	227	378	231	354	232
62	228	113	106	356	107
63	105	115	236	104	364
64	106	372	366	106	365
65	107	116	367	367	111
66	367	125	239	240	112
67	242	122	374	244	116
68	118	381	247	117	374
69	253	127	127	254	383
70	132	1	131	1	128
71	4	385	133	392	385
72	262	3	390	11	1
73	134	395	7	268	2
74	8	396	137	19	11
75	396	19	393	148	395
76	12	153	139	155	271
77	22	160	159	160	275
78	151	35	303	292	150
79	153	164	177	166	152
80	27	37	50	169	156
81	31	167	180	300	157
82	159	299	53	46	286
83	168	172	312	47	44
84	48	173	184	304	302
85	49	47	185	49	306
86	55	305	59	181	51
87	184	49	318	53	180
88	311	311	192	310	50
89	58	312	325	56	182
90	59	59	76	313	312
91	188	316	78	193	57
92	66	317	335	66	314
93	67	61	88	198	59
94	196	60	89	74	185
95	195	68	91	333	190
96	198	329	93	208	321
97	200	208	350	337	72
98	207	209	351	209	77
99	212	213	98	86	207
100	216	344	356	87	337
101	91	223	361	344	83
102	354	353	364	226	87
103	229	361	237	99	344
104	361	366	110	362	345
105	111	117	115	363	222
106	115	374	246	109	357
107	249	246	250	241	366
108	122	126	124	370	245
109	124	255	382	252	246
110	5	7	0	257	386
111	264	144	385	387	7
112	265	273	130	261	135
113	138	21	134	7	10
114	11	278	263	270	397
115	16	22	9	147	274
116	289	27	267	21	22
117	162	285	12	279	154
118	34	158	398	27	155
119	296	30	148	157	31
120	297	298	21	163	33
121	304	44	152	36	162
122	312	57	284	296	291
123	317	318	285	299	40
124	192	319	158	303	43
125	202	196	33	309	181
126	337	70	291	311	55
127	82	198	296	315	184
128	83	72	42	188	61
129	84	327	43	65	68
130	81	203	172	323	324
131	343	77	302	324	326
132	344	81	315	75	329
133	217	217	189	204	202
134	220	90	61	82	76
135	349	92	191	85	210
136	351	222	323	215	212
137	96	95	72	93	342
138	356	354	329	350	343
139	100	357	73	95	349
140	360	230	206	228	353
141	234	106	212	361	104
142	362	107	87	364	236
143	368	365	215	239	238
144	241	239	218	368	375
145	372	112	349	243	248
146	117	368	230	375	249
147	116	121	238	376	378
148	125	380	111	125	381
149	383	382	122	127	382
150	385	256	256	256	133
151	131	386	3	390	134
152	3	10	260	262	390
153	391	267	4	144	392
154	140	141	389	145	9
155	399	270	266	17	138
156	145	274	394	149	268
157	276	148	11	30	269
158	24	151	141	288	14
159	280	24	396	34	149
160	283	284	15	37	278
161	155	156	10	42	23
162	30	159	17	170	28
163	158	290	144	44	30
164	32	166	151	176	287
165	35	39	279	306	42
166	165	42	160	307	175
167	294	45	290	308	178
168	166	301	39	183	187
169	169	176	41	55	319
170	300	55	174	314	196
171	174	313	305	60	198
172	303	185	306	62	327
173	47	187	178	191	203
174	177	189	49	319	78
175	185	193	310	190	340
176	314	322	56	69	221
177	64	331	57	327	352
178	326	332	314	329	99
179	71	82	65	336	105
180	204	341	68	339	110
181	76	88	326	340	114
182	336	345	331	342	243
183	210	220	334	220	115
184	340	226	336	103	247
185	95	231	85	233	377
186	109	232	95	242	250
187	244	238	234	245	253
188	123	245	108	381	126
189	380	247	125	382	127
190	257	132	387	3	256
191	259	134	6	391	387
192	148	393	135	135	391
193	23	398	264	9	137
194	152	143	272	394	396
195	285	280	147	12	277
196	287	28	278	13	25
197	37	286	280	397	37
198	41	38	26	272	167
199	299	294	154	146	169
200	172	168	157	24	299
201	45	171	292	153	46
202	50	43	300	281	183
203	51	304	176	158	316
204	306	50	179	33	189
205	179	307	54	294	62
206	310	309	183	295	320
207	187	181	313	301	65
208	191	58	320	174	71
209	63	62	330	51	73
210	322	63	75	321	74
211	69	192	339	72	331
212	197	321	341	330	332
213	325	326	213	203	205
214	72	75	343	332	330
215	74	333	219	80	208
216	77	78	347	214	81
217	334	86	223	217	211
218	219	214	353	346	214
219	94	218	102	219	88
220	226	219	360	345	351
221	230	347	233	349	354
222	231	93	362	223	98
223	359	356	368	352	227
224	233	229	241	229	361
225	363	359	243	108	362
226	364	108	245	365	108
227	252	369	375	111	240
228	254	241	378	115	113
229	255	118	252	247	123
230	388	130	128	0	262
231	261	131	129	6	141
232	394	260	138	265	270
233	270	4	13	138	19
234	15	389	397	140	148
235	273	135	275	398	280
236	274	259	287	16	281
237	147	265	164	275	158
238	21	268	40	151	290
239	277	269	168	26	34
240	281	13	171	283	295
241	282	399	299	28	172
242	156	272	173	287	45
243	295	282	58	162	47
244	44	33	60	171	303
245	173	291	317	175	304
246	46	292	190	48	177
247	176	297	319	178	54
248	305	175	195	180	318
249	178	51	69	54	64
250	308	182	71	184	322
251	181	183	328	187	323
252	56	188	203	318	197
253	321	65	205	63	333
254	323	195	208	320	79
255	68	330	337	207	209
256	330	76	338	81	339
257	213	205	83	211	218
258	214	336	216	88	219
259	215	83	348	92	93
260	87	84	94	101	224
261	92	89	224	230	225
262	375	346	121	377	356
263	225	355	229	237	235
264	98	109	104	366	367
265	355	237	363	251	117
266	108	111	113	372	119
267	113	377	244	118	122
268	373	251	117	121	254
269	119	124	249	379	255
270	0	128	384	129	0
271	1	258	257	385	384
272	129	387	258	5	5
273	386	2	2	389	389
274	393	392	262	8	264
275	269	137	383	393	145
276	149	9	142	395	146
277	288	14	271	141	279
278	38	15	273	14	151
279	39	145	22	399	282
280	40	147	286	143	285
281	175	150	294	271	29
282	182	279	169	277	32
283	61	281	170	25	289
284	189	154	297	282	164
285	65	31	45	156	293
286	70	36	309	284	36
287	199	165	197	289	38
288	327	40	199	164	168
289	205	296	200	39	170
290	209	303	74	58	300
291	339	306	79	67	174
292	342	180	211	200	58
293	345	315	340	331	188
294	89	66	342	84	192
295	347	73	345	343	325
296	120	80	96	90	204
297	221	215	355	218	82
298	222	350	100	221	84
299	101	100	232	351	341
300	232	102	240	96	213
301	104	105	369	353	347
302	235	367	112	355	226
303	365	370	371	234	229
304	239	242	116	113	102
305	112	379	373	373	103
306	245	249	377	374	233
307	246	123	380	123	234
308	376	253	254	124	376
309	381	254	255	383	125
310	7	384	388	128	130
311	263	257	392	386	131
312	135	5	268	130	261
313	137	262	269	260	263
314	139	136	145	133	266
315	13	140	146	396	139
316	17	12	150	269	12
317	146	142	25	273	142
318	19	271	27	274	399
319	275	397	163	23	144
320	279	146	293	29	272
321	28	149	166	159	273
322	284	25	167	291	147
323	286	157	307	168	15
324	160	161	51	297	17
325	291	177	308	41	24
326	292	179	55	185	35
327	42	52	316	316	296
328	302	53	188	61	298
329	180	308	62	322	310
330	309	184	196	195	311
331	53	320	204	197	60
332	313	323	209	326	317
333	186	324	81	77	201
334	316	325	86	78	75
335	319	202	90	212	89
336	320	334	220	341	380
337	329	335	97	213	220
338	203	91	226	347	92
339	206	94	354	91	94
340	341	224	227	97	96
341	352	225	101	227	355
342	358	99	359	357	100
343	103	227	107	105	109
344	102	228	242	250	239
