	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	255	14	119	41	268
31	23	365	213	353	361
32	34	326	241	97	42
33	230	5	342	345	14
34	47	75	208	247	73
35	344	368	117	12	113
36	96	128	33	295	211
37	16	232	87	374	362
38	360	369	224	128	117
39	219	123	373	322	343
40	299	95	113	364	373
41	81	345	6	80	54
42	235	268	323	5	227
43	363	327	347	44	229
44	129	140	363	365	349
45	359	80	360	257	326
46	376	178	339	324	262
47	7	203	258	347	342
48	98	57	191	342	198
49	364	262	378	204	130
50	233	382	74	84	169
51	349	107	12	261	266
52	86	90	54	341	378
53	63	222	129	231	218
54	342	40	252	141	99
55	380	12	338	93	158
56	179	306	83	223	37
57	225	168	300	13	278
58	41	280	154	108	304
59	109	230	272	39	225
60	308	325	220	309	311
61	169	63	308	229	323
62	281	30	320	321	62
63	316	333	263	67	269
64	274	273	62	330	330
65	30	256	245	251	255
66	32	109	99	31	28
67	113	274	264	112	30
68	381	384	380	265	270
69	323	321	317	379	318
70	296	193	233	133	76
71	187	157	148	162	250
72	165	81	172	211	322
73	94	132	314	191	332
74	116	28	389	291	234
75	375	144	343	115	123
76	322	304	147	85	135
77	104	251	242	243	208
78	148	134	102	124	247
79	386	44	278	146	148
80	215	124	270	279	331
81	125	319	345	157	114
82	301	70	319	75	220
83	326	247	122	315	290
84	334	399	178	214	399
85	77	198	315	320	68
86	279	187	238	140	196
87	285	66	284	399	46
88	45	214	68	385	58
89	191	43	128	156	110
90	44	350	375	103	71
91	72	106	387	332	64
92	282	25	27	77	124
93	257	21	169	245	347
94	226	334	265	301	98
95	347	335	164	135	104
96	202	286	41	331	249
97	306	347	349	176	120
98	139	112	179	281	320
99	108	224	291	24	280
100	65	354	189	274	40
101	287	272	58	131	31
102	197	298	262	42	88
103	135	177	21	200	252
104	273	50	13	21	353
105	178	323	11	50	24
106	117	228	45	33	351
107	325	93	218	350	324
108	13	217	280	318	12
109	275	253	330	361	224
110	289	35	116	36	164
111	394	171	166	219	299
112	74	229	329	382	168
113	260	249	61	283	65
114	158	68	111	234	137
115	351	192	81	337	214
116	294	238	244	190	183
117	232	332	335	373	134
118	83	237	267	95	47
119	172	311	170	303	287
120	314	397	392	163	155
121	337	38	22	228	382
122	385	77	200	319	226
123	214	379	152	329	45
124	177	231	249	72	248
125	383	196	230	197	33
126	241	307	232	188	212
127	264	7	199	121	235
128	53	184	151	262	10
129	84	324	40	311	7
130	399	145	73	346	74
131	37	27	310	82	396
132	185	92	246	27	174
133	220	72	397	217	154
134	11	313	229	7	236
135	310	357	75	396	189
136	51	236	219	233	321
137	40	241	243	147	147
138	209	218	240	183	386
139	222	10	290	294	25
140	321	297	158	48	181
141	231	108	318	314	184
142	189	294	286	26	204
143	112	111	26	111	375
144	254	78	72	387	102
145	46	285	176	287	296
146	317	290	9	272	298
147	259	348	302	203	239
148	245	158	183	296	384
149	345	380	135	63	276
150	152	301	138	339	336
151	297	156	204	218	185
152	82	88	49	280	50
153	368	183	398	241	397
154	101	215	279	74	285
155	61	385	390	333	172
156	160	179	348	267	314
157	3	188	351	171	17
158	319	22	134	292	293
159	67	126	293	307	92
160	91	336	312	184	300
161	203	386	39	391	271
162	156	353	17	55	61
163	42	278	336	268	339
164	352	55	2	177	197
165	356	153	205	145	170
166	388	52	65	134	272
167	180	393	305	237	377
168	181	291	266	250	209
169	336	176	382	381	22
170	216	292	294	297	357
171	76	246	341	390	38
172	134	331	287	352	329
173	192	209	377	349	119
174	343	62	180	270	177
175	312	269	356	377	19
176	244	367	144	288	205
177	302	257	107	363	291
178	210	121	394	271	390
179	21	315	126	58	254
180	391	86	163	90	55
181	138	213	362	153	81
182	339	255	10	149	275
183	69	356	285	125	381
184	251	219	55	252	245
185	277	45	385	51	274
186	149	164	269	175	167
187	123	260	328	37	391
188	24	175	383	289	256
189	362	318	53	174	162
190	246	100	255	304	221
191	161	299	104	3	149
192	252	125	326	170	116
193	66	136	125	326	341
194	311	96	215	143	126
195	119	182	106	212	144
196	153	151	160	118	107
197	50	99	7	155	302
198	15	160	325	226	310
199	140	3	271	122	131
200	120	60	211	158	79
201	265	154	364	81	108
202	122	4	145	180	306
203	168	279	361	6	260
204	5	374	3	54	83
205	145	265	71	209	297
206	300	396	142	355	93
207	4	61	115	62	354
208	361	181	108	65	202
209	330	51	59	101	2
210	269	242	89	69	150
211	102	359	313	86	5
212	56	65	250	92	333
213	175	173	196	395	277
214	393	59	303	178	316
215	303	116	221	179	366
216	221	202	90	9	59
217	280	118	353	130	1
218	162	130	91	392	115
219	8	117	368	344	57
220	132	138	168	23	327
221	320	24	4	335	387
222	131	309	393	397	395
223	71	9	209	193	213
224	206	361	76	17	77
225	87	395	331	138	146
226	286	143	57	306	392
227	276	398	190	313	128
228	25	58	167	213	9
229	19	341	173	60	345
230	283	312	376	389	193
231	196	310	309	383	308
232	38	1	184	317	376
233	163	389	197	356	312
234	1	322	386	144	319
235	207	239	130	273	337
236	384	199	384	78	383
237	195	258	141	384	190
238	243	207	8	282	6
239	304	165	69	310	0
240	331	8	307	299	215
241	147	212	296	220	34
242	261	270	334	236	178
243	324	127	56	164	187
244	64	189	133	336	355
245	223	329	369	327	156
246	0	245	354	61	267
247	249	115	327	198	238
248	288	159	174	239	286
249	313	370	350	323	325
250	327	282	210	0	328
251	228	344	306	185	32
252	9	148	0	221	142
253	369	13	260	14	72
254	133	366	281	34	243
255	166	296	216	275	367
256	315	33	292	47	281
257	35	226	203	263	141
258	159	83	275	56	51
259	199	47	337	152	138
260	213	220	121	366	13
261	365	131	50	362	240
262	341	172	78	242	157
263	229	114	43	308	105
264	58	167	237	127	246
265	329	330	234	368	122
266	137	317	149	99	222
267	174	180	139	166	264
268	182	76	88	87	295
269	100	316	131	256	90
270	205	149	38	96	232
271	346	16	60	2	334
272	217	110	85	38	284
273	105	104	182	215	166
274	2	254	277	123	36
275	88	42	396	173	35
276	89	146	344	181	303
277	124	343	1	208	210
278	234	227	100	260	109
279	39	221	162	230	52
280	141	87	112	117	201
281	307	216	192	137	78
282	114	210	299	19	175
283	184	122	257	161	228
284	204	205	340	106	344
285	22	208	36	88	125
286	164	39	94	49	385
287	70	113	206	8	153
288	10	355	332	386	127
289	118	281	51	354	176
290	150	49	127	182	359
291	211	162	223	343	279
292	387	195	195	30	11
293	358	141	124	68	253
294	354	266	103	224	29
295	186	284	352	150	182
296	59	197	388	11	219
297	12	31	79	142	63
298	335	381	95	46	8
299	49	387	273	195	140
300	106	150	171	277	206
301	258	46	359	148	207
302	144	73	212	351	265
303	155	36	136	376	44
304	212	377	201	160	133
305	188	6	177	187	152
306	372	135	181	151	352
307	31	303	256	1	180
308	355	223	185	370	370
309	305	340	297	300	203
310	263	328	261	398	398
311	292	174	132	255	258
312	266	302	23	83	75
313	146	161	304	254	393
314	262	314	150	393	289
315	43	2	311	222	233
316	239	263	371	109	356
317	395	267	248	276	217
318	60	64	399	40	100
319	173	166	395	59	282
320	85	23	247	57	39
321	62	105	231	216	111
322	224	378	97	169	163
323	29	259	276	302	103
324	200	67	355	357	53
325	97	84	228	114	389
326	309	364	52	202	223
327	90	234	110	196	305
328	17	91	207	29	89
329	154	308	101	91	199
330	218	287	301	16	82
331	115	53	159	244	129
332	390	20	239	139	139
333	142	261	86	227	365
334	367	142	193	172	188
335	242	289	236	201	165
336	250	392	367	240	317
337	253	54	227	18	192
338	128	19	186	210	43
339	198	79	316	113	340
340	176	56	140	20	244
341	48	235	198	278	18
342	95	120	15	66	112
343	20	200	18	168	374
344	377	29	161	340	60
