	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	105	253	43	156	21
31	113	58	267	90	302
32	352	179	54	280	63
33	149	134	113	50	396
34	323	319	27	219	116
35	279	9	297	233	75
36	83	62	383	53	65
37	133	326	150	217	243
38	172	280	396	23	43
39	63	24	110	131	323
40	7	395	315	88	49
41	66	57	252	260	146
42	73	124	348	108	213
43	129	3	4	39	382
44	390	43	82	261	144
45	54	61	26	306	349
46	268	117	99	210	354
47	35	88	41	294	378
48	270	334	303	327	232
49	91	228	219	355	104
50	334	251	302	101	342
51	300	369	279	347	379
52	168	40	166	204	363
53	10	109	387	96	111
54	207	111	131	300	23
55	387	347	86	195	25
56	215	187	250	68	375
57	351	140	145	1	376
58	349	232	142	188	32
59	396	157	390	243	203
60	97	219	85	385	139
61	132	44	360	13	256
62	74	255	16	282	326
63	311	230	119	215	276
64	301	272	306	346	268
65	228	4	56	185	46
66	11	238	264	250	8
67	145	274	380	396	249
68	221	50	12	201	142
69	42	106	378	228	261
70	284	178	228	170	30
71	290	42	350	28	36
72	202	268	45	151	84
73	365	108	100	394	288
74	70	195	137	345	308
75	108	318	174	152	385
76	32	220	261	54	221
77	88	78	17	140	277
78	123	167	200	161	10
79	96	185	28	155	150
80	25	206	311	41	214
81	117	192	128	376	253
82	255	23	55	139	394
83	180	160	130	222	113
84	136	95	241	390	9
85	164	7	197	135	212
86	150	114	66	58	1
87	147	10	243	25	178
88	34	183	263	67	284
89	224	25	198	105	2
90	319	164	366	165	129
91	366	204	232	82	357
92	322	64	116	42	69
93	47	381	343	288	157
94	328	273	213	97	105
95	398	93	373	32	127
96	200	384	64	218	133
97	29	379	102	52	167
98	78	20	182	200	151
99	33	80	209	137	260
100	19	33	10	112	263
101	273	1	192	30	389
102	356	68	351	134	272
103	154	189	20	48	297
104	65	103	161	3	165
105	87	214	140	389	98
106	4	176	74	196	384
107	114	31	2	132	298
108	189	229	379	44	83
109	211	46	227	111	332
110	198	208	388	169	169
111	161	6	247	386	387
112	37	51	175	270	44
113	344	397	195	351	0
114	61	94	292	24	45
115	220	63	173	312	316
116	177	89	215	393	278
117	55	328	344	177	89
118	28	375	120	17	55
119	192	254	76	193	368
120	359	355	389	63	51
121	179	86	162	268	266
122	197	331	354	85	163
123	249	60	277	353	393
124	342	72	356	26	262
125	162	165	394	265	228
126	259	126	168	125	120
127	276	371	141	367	306
128	296	166	51	387	192
129	81	110	399	326	78
130	159	151	32	319	227
131	289	396	191	202	6
132	112	303	172	361	27
133	204	387	262	89	392
134	17	177	47	352	24
135	231	210	3	71	381
136	160	71	364	240	269
137	287	174	397	269	220
138	222	380	127	146	255
139	3	161	95	56	398
140	316	131	133	164	59
141	95	224	334	7	300
142	386	52	199	203	12
143	31	175	363	299	244
144	226	348	371	83	87
145	51	32	58	27	38
146	223	147	49	378	320
147	142	383	138	304	183
148	165	209	147	382	218
149	45	264	107	247	291
150	272	263	156	325	239
151	389	145	0	366	140
152	295	136	212	38	147
153	118	16	81	158	195
154	395	27	8	245	40
155	174	370	257	171	188
156	155	368	59	180	156
157	345	335	94	369	92
158	250	378	23	221	186
159	60	137	22	399	373
160	67	365	249	33	246
161	49	271	239	149	337
162	383	207	72	18	190
163	89	291	335	271	251
164	59	67	71	332	149
165	144	392	186	223	124
166	176	141	50	8	369
167	186	82	149	166	196
168	138	152	125	272	353
169	201	127	97	12	185
170	184	329	221	145	352
171	92	154	254	159	118
172	27	197	122	211	399
173	350	314	220	115	82
174	141	36	271	118	131
175	394	29	181	31	52
176	252	12	325	153	285
177	375	150	255	370	386
178	5	149	79	172	39
179	244	245	129	395	370
180	371	172	153	57	180
181	313	247	33	80	166
182	385	200	290	143	22
183	233	325	365	377	217
184	137	120	251	198	201
185	135	75	184	237	48
186	370	99	170	147	58
187	258	310	286	329	88
188	185	297	386	239	29
189	305	262	180	79	206
190	146	393	367	122	388
191	152	49	395	184	130
192	209	17	61	174	390
193	171	322	103	213	312
194	82	356	338	381	79
195	384	301	316	40	324
196	62	5	370	220	355
197	314	351	169	127	215
198	56	244	136	290	359
199	237	156	353	11	33
200	182	359	80	162	53
201	156	196	69	109	282
202	399	353	139	262	81
203	225	53	25	226	141
204	101	236	240	373	275
205	291	113	319	81	219
206	337	123	92	49	100
207	86	55	88	187	374
208	195	144	328	190	177
209	391	226	323	208	350
210	69	188	15	252	242
211	335	320	336	296	16
212	348	227	216	264	143
213	58	279	185	113	168
214	367	112	108	157	223
215	44	222	70	318	292
216	196	362	332	229	258
217	116	357	235	173	208
218	265	267	230	316	348
219	241	221	312	34	187
220	40	385	317	181	11
221	173	298	324	86	73
222	358	241	163	16	155
223	9	85	201	142	236
224	232	287	320	291	225
225	41	294	151	283	365
226	360	231	160	278	160
227	100	203	135	322	137
228	38	159	121	60	77
229	21	8	189	77	317
230	102	239	89	167	107
231	43	84	358	0	174
232	340	278	275	254	286
233	134	15	206	281	170
234	206	87	242	364	319
235	281	234	73	349	200
236	71	201	284	398	54
237	243	352	34	207	204
238	376	22	177	246	102
239	53	317	207	123	14
240	304	270	361	236	90
241	148	182	224	375	377
242	235	83	159	258	126
243	357	129	38	72	296
244	218	361	296	129	153
245	286	296	391	315	132
246	84	102	329	383	123
247	329	143	210	29	34
248	346	76	377	337	135
249	0	28	270	321	161
250	193	158	226	309	72
251	321	119	327	371	119
252	297	265	357	65	109
253	288	399	90	20	267
254	12	316	236	336	334
255	203	299	276	384	301
256	262	261	300	365	172
257	306	341	193	144	238
258	324	45	6	78	115
259	119	257	384	194	175
260	24	372	143	117	197
261	277	77	118	59	93
262	310	107	14	183	211
263	18	54	188	5	290
264	210	307	346	303	339
265	257	66	253	9	329
266	1	202	233	46	122
267	151	304	237	314	247
268	181	377	39	92	226
269	166	321	211	391	19
270	253	122	78	47	148
271	317	205	385	186	330
272	263	315	225	234	205
273	214	260	132	154	128
274	266	190	313	392	351
275	98	327	372	256	61
276	170	305	148	359	42
277	16	96	21	301	245
278	46	14	167	362	310
279	372	168	294	76	154
280	22	309	269	214	240
281	79	259	18	175	248
282	106	138	93	150	138
283	338	249	268	276	57
284	120	233	245	19	234
285	325	302	287	69	356
286	256	330	309	238	74
287	167	194	158	163	265
288	361	218	9	121	114
289	157	216	11	104	76
290	90	243	36	225	241
291	274	269	248	311	108
292	355	130	42	244	331
293	283	198	258	110	164
294	236	338	359	130	31
295	217	340	146	102	182
296	269	155	382	285	47
297	140	193	176	310	391
298	248	366	280	324	210
299	48	237	283	305	264
300	72	391	326	227	280
301	124	213	272	317	327
302	364	121	314	176	274
303	213	212	342	36	383
304	307	73	52	212	361
305	188	26	246	263	37
306	219	282	152	348	224
307	330	100	53	284	134
308	178	217	179	55	287
309	230	56	376	257	64
310	292	132	96	2	343
311	246	115	238	133	305
312	373	389	381	209	207
313	363	286	13	241	17
314	254	104	374	274	159
315	234	312	157	323	97
316	261	266	288	168	50
317	205	128	164	114	281
318	327	337	392	379	198
319	275	47	155	148	328
320	368	235	60	397	4
321	115	59	111	302	7
322	298	285	352	224	91
323	227	295	234	292	125
324	247	215	40	62	94
325	36	97	273	178	303
326	264	364	347	357	199
327	139	180	223	6	279
328	229	363	124	343	294
329	158	289	355	374	307
330	282	79	115	242	103
331	315	170	67	73	230
332	13	323	203	93	18
333	131	69	134	255	181
334	369	169	293	61	96
335	380	148	310	368	338
336	20	34	281	51	71
337	64	252	229	331	295
338	299	135	307	138	322
339	320	308	106	87	101
340	388	354	330	339	222
341	111	90	117	128	335
342	326	277	194	298	250
343	280	39	190	37	271
344	103	142	144	35	145
