	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	268	116	271	28	226
31	101	353	4	359	6
32	31	153	105	180	174
33	357	70	104	30	27
34	28	184	266	349	134
35	195	169	385	145	49
36	350	367	155	130	131
37	166	106	144	49	280
38	122	296	25	101	29
39	131	178	95	53	137
40	305	311	145	143	217
41	145	246	296	211	182
42	55	267	390	89	349
43	121	297	33	124	204
44	383	350	17	222	238
45	159	363	56	285	36
46	232	319	192	153	107
47	49	368	51	368	326
48	224	280	205	366	300
49	226	252	170	26	293
50	280	281	28	149	68
51	158	239	358	159	286
52	188	171	251	144	119
53	36	26	66	13	161
54	189	329	315	150	10
55	223	130	57	36	60
56	13	12	154	202	271
57	53	231	357	221	249
58	114	253	60	61	47
59	361	22	175	238	306
60	39	19	337	397	110
61	176	165	106	351	302
62	363	370	368	369	261
63	221	44	83	329	288
64	396	174	199	35	312
65	266	232	210	284	135
66	282	382	139	288	376
67	387	399	190	185	197
68	9	330	220	355	381
69	85	190	185	343	195
70	309	343	325	347	287
71	322	126	316	96	181
72	64	96	221	66	385
73	313	397	269	394	276
74	74	192	201	156	215
75	384	223	177	382	46
76	23	8	115	371	25
77	250	251	100	225	317
78	355	332	256	278	157
79	329	203	397	218	359
80	218	188	164	272	350
81	375	21	203	69	263
82	398	299	249	236	292
83	27	46	213	108	113
84	50	125	267	48	61
85	362	6	387	174	327
86	303	261	163	396	142
87	343	285	290	374	297
88	243	286	9	158	387
89	59	172	242	155	63
90	71	378	184	135	267
91	229	372	85	312	362
92	151	1	99	56	397
93	77	278	54	237	125
94	295	209	360	316	391
95	234	147	378	99	365
96	4	166	258	239	200
97	154	154	0	157	108
98	38	176	372	264	245
99	320	265	306	85	330
100	209	247	12	152	192
101	177	143	172	252	11
102	242	90	229	75	321
103	108	180	20	212	164
104	170	197	239	17	33
105	300	86	329	299	144
106	3	82	287	129	145
107	330	279	367	245	340
108	340	24	285	255	342
109	296	49	180	100	377
110	327	213	131	5	28
111	196	393	292	227	250
112	359	386	62	295	126
113	279	224	318	115	319
114	40	75	216	118	268
115	37	292	149	267	202
116	289	320	262	83	150
117	254	131	134	263	78
118	270	55	196	370	12
119	12	214	218	317	378
120	286	34	41	117	7
121	299	61	173	291	132
122	76	322	71	110	104
123	116	52	376	305	323
124	134	222	307	282	79
125	380	4	198	3	5
126	210	140	273	310	389
127	368	128	129	20	356
128	220	150	178	29	392
129	15	310	348	353	162
130	341	88	320	283	227
131	34	94	230	72	177
132	46	38	151	176	98
133	253	210	3	357	139
134	203	20	255	141	19
135	215	25	65	134	154
136	88	263	226	24	158
137	169	159	160	321	203
138	35	362	40	44	208
139	1	117	39	325	183
140	233	219	339	229	213
141	10	151	191	348	2
142	281	109	55	362	9
143	68	167	331	268	8
144	388	356	6	376	105
145	276	152	148	188	44
146	44	182	111	228	21
147	45	289	313	220	32
148	67	361	308	385	296
149	304	347	121	230	83
150	352	93	87	184	166
151	306	7	233	339	272
152	61	377	238	146	207
153	211	387	355	303	48
154	259	212	278	42	93
155	385	36	312	190	223
156	207	112	193	58	141
157	225	338	159	337	51
158	237	374	59	187	382
159	42	29	342	183	246
160	165	255	361	260	23
161	178	43	272	112	50
162	241	33	43	68	260
163	285	380	138	377	89
164	334	127	200	82	316
165	174	175	247	52	127
166	255	104	291	244	369
167	21	105	107	194	298
168	197	348	300	170	167
169	29	76	113	210	52
170	301	95	231	200	187
171	386	304	264	379	180
172	192	282	365	177	308
173	133	369	373	25	348
174	181	72	13	92	143
175	297	303	374	217	97
176	193	371	68	318	307
177	148	201	340	341	233
178	98	42	128	242	128
179	11	257	386	391	82
180	182	243	324	330	55
181	204	110	301	121	188
182	25	273	341	23	375
183	63	168	162	9	328
184	345	302	250	142	345
185	135	108	384	207	284
186	265	314	189	223	91
187	351	85	328	93	341
188	164	199	10	375	218
189	314	205	270	168	111
190	19	351	22	298	85
191	91	73	327	74	201
192	269	254	119	226	294
193	79	256	91	326	199
194	86	107	125	8	335
195	393	270	223	106	15
196	119	207	377	215	210
197	185	208	197	46	336
198	41	14	393	214	172
199	344	344	310	296	368
200	294	92	241	137	242
201	219	236	257	181	243
202	152	177	120	166	394
203	258	312	50	173	262
204	123	40	69	79	88
205	273	16	304	41	232
206	342	179	156	97	354
207	245	307	253	34	96
208	366	149	110	247	214
209	356	226	122	269	222
210	262	9	317	123	151
211	216	141	395	16	0
212	0	59	143	393	178
213	94	23	158	40	39
214	213	146	15	147	66
215	147	366	375	164	303
216	283	193	171	27	43
217	257	298	326	251	221
218	186	206	76	91	54
219	365	132	140	380	186
220	222	145	93	186	109
221	153	272	126	311	253
222	172	102	78	306	31
223	200	137	27	265	370
224	163	333	53	300	179
225	125	217	16	352	146
226	156	136	47	344	196
227	184	170	394	0	112
228	97	183	127	256	175
229	95	306	399	290	388
230	316	15	23	33	148
231	113	17	195	258	37
232	371	51	311	162	366
233	56	277	346	364	278
234	2	259	150	301	106
235	47	69	86	257	38
236	381	60	182	132	212
237	32	67	130	63	149
238	395	84	74	71	160
239	17	337	237	104	42
240	142	295	283	346	40
241	81	315	133	65	16
242	179	156	252	1	236
243	22	87	103	250	198
244	315	341	299	38	30
245	58	244	135	160	138
246	308	258	246	327	185
247	372	308	396	304	24
248	161	97	179	196	258
249	157	229	359	167	206
250	7	262	207	73	193
251	171	360	234	294	254
252	140	323	336	32	252
253	228	234	211	31	57
254	325	103	84	88	75
255	162	28	277	139	156
256	96	122	275	54	264
257	117	123	305	122	122
258	139	113	14	80	76
259	18	364	225	383	239
260	87	271	335	11	129
261	149	318	64	125	102
262	323	185	268	261	58
263	89	235	288	254	225
264	252	305	364	39	116
265	267	100	370	243	334
266	136	309	89	208	344
267	66	233	343	286	120
268	82	118	58	203	374
269	187	64	168	67	347
270	180	396	260	313	100
271	16	383	235	94	133
272	137	54	344	163	190
273	376	225	349	171	333
274	274	391	303	309	367
275	73	91	248	59	289
276	244	331	82	314	291
277	360	63	101	7	357
278	65	290	371	319	99
279	246	313	379	161	256
280	364	134	381	60	383
281	214	342	345	175	35
282	138	155	314	281	304
283	191	111	97	384	92
284	331	32	215	395	73
285	307	186	206	231	305
286	239	228	38	102	123
287	348	241	363	378	152
288	292	392	124	127	273
289	43	321	232	276	130
290	155	237	108	323	352
291	319	195	254	367	228
292	118	121	281	195	343
293	369	245	228	81	59
294	347	173	174	389	140
295	310	77	380	342	314
296	173	227	146	57	205
297	141	242	92	270	395
298	394	56	279	151	169
299	290	135	112	279	318
300	201	114	284	390	230
301	112	142	141	138	14
302	111	354	209	131	393
303	317	359	52	332	87
304	284	189	181	154	311
305	263	2	332	338	147
306	60	37	153	105	65
307	370	119	94	277	384
308	75	355	36	335	90
309	391	68	5	103	69
310	236	158	152	363	62
311	217	39	244	50	320
312	389	194	81	315	373
313	90	138	366	381	1
314	230	336	42	169	379
315	104	187	194	140	279
316	202	345	369	14	94
317	129	230	351	47	184
318	5	162	236	233	295
319	298	160	219	62	329
320	33	291	98	333	224
321	399	30	227	386	34
322	390	144	353	111	241
323	328	13	204	133	398
324	102	375	72	182	81
325	248	218	147	216	155
326	373	79	383	274	386
327	100	10	132	120	281
328	124	220	96	201	240
329	78	325	350	302	209
330	8	3	1	2	4
331	20	5	2	4	13
332	24	27	7	6	17
333	30	31	8	12	18
334	48	35	11	18	22
335	51	45	18	19	45
336	54	47	21	21	53
337	62	50	26	37	64
338	69	53	32	51	71
339	70	57	34	55	72
340	72	58	45	76	74
341	83	62	49	77	77
342	84	65	61	78	84
343	92	66	67	84	101
344	99	71	70	86	103
