	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	387	257	261	131	128
31	383	258	264	260	260
32	265	131	393	389	133
33	141	389	12	134	139
34	270	134	141	5	397
35	399	9	270	8	15
36	272	267	397	393	272
37	149	269	18	395	271
38	150	143	276	272	276
39	279	150	20	145	279
40	25	23	23	17	25
41	155	24	151	26	282
42	165	27	283	27	27
43	39	157	28	157	164
44	296	287	32	287	296
45	181	33	163	288	170
46	58	296	303	41	45
47	188	173	305	170	46
48	195	305	50	171	303
49	325	55	53	49	195
50	202	314	58	307	196
51	75	186	195	52	327
52	330	67	198	319	75
53	205	329	335	196	334
54	209	205	338	207	335
55	338	342	341	338	210
56	339	348	85	214	339
57	210	93	218	218	342
58	86	226	219	92	89
59	89	100	226	221	221
60	217	357	102	348	223
61	345	228	359	225	224
62	350	103	234	355	353
63	95	105	107	239	354
64	224	234	364	113	230
65	230	233	240	371	241
66	236	108	376	374	242
67	118	366	379	123	244
68	254	245	381	381	245
69	255	122	382	254	122
70	20	256	387	0	386
71	24	1	263	128	387
72	154	386	137	387	4
73	28	263	266	391	263
74	285	7	11	267	14
75	158	272	13	11	148
76	286	273	142	398	149
77	30	146	273	273	280
78	287	148	149	24	24
79	29	289	285	281	155
80	289	164	287	286	156
81	40	166	160	31	30
82	46	46	290	34	32
83	174	304	164	163	292
84	305	50	39	36	40
85	178	310	168	39	297
86	308	57	297	299	299
87	182	58	45	300	176
88	310	325	176	303	49
89	186	327	177	176	181
90	61	330	306	179	182
91	70	333	309	308	311
92	326	78	184	180	184
93	72	210	316	310	61
94	200	212	62	55	318
95	204	214	324	186	63
96	76	86	330	61	68
97	206	217	204	62	326
98	212	346	208	191	78
99	354	219	339	67	207
100	357	92	223	197	337
101	359	227	354	72	212
102	234	360	99	90	351
103	367	362	358	219	356
104	119	107	365	350	357
105	380	106	368	227	363
106	249	115	369	106	369
107	251	378	245	236	376
108	124	123	118	112	378
109	125	254	383	379	382
110	2	384	258	3	5
111	258	128	260	6	264
112	5	130	388	7	266
113	264	6	390	12	398
114	10	136	7	142	270
115	139	393	394	271	142
116	273	138	267	16	399
117	22	266	150	149	274
118	151	270	158	279	152
119	159	144	159	283	157
120	32	147	292	159	34
121	161	19	293	161	38
122	34	21	166	165	47
123	37	149	40	296	55
124	297	279	180	297	60
125	172	281	182	42	190
126	303	26	54	172	62
127	306	286	183	51	197
128	185	34	191	313	325
129	313	302	65	315	202
130	316	177	66	60	331
131	193	179	323	321	79
132	196	182	69	194	81
133	328	183	70	323	338
134	336	317	329	322	340
135	83	319	205	69	119
136	341	321	342	324	345
137	219	68	87	331	347
138	91	203	216	75	349
139	349	332	345	340	355
140	223	341	352	341	228
141	104	90	357	213	229
142	361	222	104	87	99
143	109	95	361	222	234
144	368	354	362	96	111
145	369	229	110	353	113
146	114	109	111	100	243
147	375	243	367	367	247
148	120	374	378	240	377
149	253	119	253	124	126
150	0	385	256	129	0
151	129	264	262	1	385
152	385	22	136	390	256
153	132	280	265	141	1
154	388	25	9	19	261
155	391	154	139	148	394
156	393	168	396	21	396
157	137	297	269	151	12
158	268	170	399	23	18
159	269	174	17	29	21
160	15	303	152	289	28
161	16	307	26	33	158
162	19	180	161	290	287
163	275	309	296	294	159
164	21	311	175	44	161
165	276	184	51	302	36
166	156	190	56	175	37
167	35	192	188	309	42
168	166	324	317	188	301
169	38	197	325	317	48
170	168	196	200	66	312
171	44	70	201	68	316
172	47	328	203	200	189
173	180	201	76	333	64
174	59	204	207	77	65
175	64	77	80	81	321
176	68	335	336	217	323
177	201	87	83	93	324
178	335	350	213	226	330
179	214	223	91	357	90
180	216	224	350	229	219
181	344	96	229	233	218
182	222	356	230	234	222
183	94	367	105	108	227
184	229	368	237	243	362
185	233	242	113	244	239
186	108	125	116	246	367
187	371	246	375	377	114
188	243	253	249	382	374
189	377	382	250	127	251
190	256	261	384	2	384
191	1	135	385	258	130
192	386	392	143	261	7
193	134	10	22	264	138
194	135	12	27	396	269
195	267	142	284	397	19
196	140	17	288	18	31
197	274	153	33	25	293
198	277	155	162	284	166
199	27	29	42	285	168
200	164	31	43	162	169
201	36	161	301	292	298
202	41	292	302	173	304
203	170	39	313	305	52
204	299	298	189	306	54
205	42	299	319	177	185
206	45	44	196	54	57
207	173	301	327	183	59
208	302	175	72	182	319
209	179	49	73	57	320
210	56	312	206	314	322
211	63	65	337	59	69
212	319	66	210	187	198
213	322	326	212	316	72
214	67	216	89	325	205
215	323	88	92	204	208
216	197	218	95	209	209
217	327	221	96	342	211
218	329	352	97	86	341
219	77	353	353	88	88
220	81	99	224	247	225
221	82	231	98	224	364
222	340	363	101	97	236
223	213	364	103	362	366
224	87	239	360	364	365
225	347	118	241	238	116
226	98	120	370	369	120
227	362	251	372	375	252
228	106	380	377	251	253
229	241	381	254	383	255
230	384	5	130	130	2
231	257	265	3	386	262
232	128	397	4	133	8
233	259	399	386	262	393
234	133	16	391	392	13
235	262	159	8	140	144
236	7	165	10	270	17
237	138	40	16	274	273
238	13	169	153	275	22
239	398	47	155	277	151
240	280	53	156	153	23
241	281	185	157	28	288
242	283	62	286	164	175
243	290	63	36	298	305
244	163	64	167	301	179
245	162	320	304	178	51
246	294	193	307	53	58
247	167	323	179	311	187
248	169	194	181	193	317
249	300	71	55	329	74
250	176	202	59	74	203
251	49	75	190	330	332
252	51	208	318	76	83
253	314	81	193	80	213
254	189	82	332	210	215
255	191	83	334	211	91
256	73	336	78	212	220
257	78	343	340	343	93
258	85	345	343	347	350
259	215	230	344	99	103
260	343	232	94	230	361
261	352	238	225	359	105
262	355	110	227	103	106
263	364	114	100	361	235
264	111	371	231	363	109
265	113	116	112	368	115
266	242	372	244	241	117
267	117	247	248	245	118
268	246	379	124	122	375
269	252	252	127	125	380
270	3	260	257	384	131
271	260	262	132	263	134
272	4	140	5	265	137
273	389	14	133	138	10
274	263	398	135	139	11
275	11	274	392	268	268
276	396	278	134	13	277
277	395	152	140	143	278
278	142	282	268	280	153
279	144	30	145	282	285
280	17	162	146	30	29
281	147	291	279	291	286
282	148	36	34	35	162
283	23	38	38	37	35
284	152	171	299	38	294
285	284	172	171	166	167
286	160	178	174	40	295
287	291	313	49	46	44
288	298	187	186	174	300
289	43	316	64	304	50
290	301	61	194	50	308
291	55	318	197	190	310
292	312	322	79	198	183
293	199	198	81	201	186
294	207	199	209	337	71
295	337	72	211	82	73
296	88	73	84	215	76
297	90	331	86	345	204
298	221	213	215	89	336
299	226	215	90	120	84
300	228	344	93	349	344
301	356	347	228	94	217
302	358	377	356	95	98
303	231	236	232	228	101
304	105	237	363	101	232
305	363	241	108	105	233
306	107	121	236	366	108
307	370	124	246	117	368
308	247	126	120	376	381
309	121	127	126	252	383
310	131	129	1	385	129
311	390	259	131	4	132
312	9	255	138	269	391
313	18	3	395	399	392
314	153	4	14	144	267
315	282	395	15	147	143
316	295	141	272	20	146
317	50	15	144	278	150
318	309	271	147	152	154
319	53	20	148	155	284
320	315	277	277	32	160
321	317	151	281	167	289
322	62	284	25	181	33
323	320	160	291	184	163
324	65	32	169	312	43
325	66	35	170	58	172
326	69	295	173	56	177
327	74	42	47	326	306
328	331	51	52	327	180
329	203	52	311	71	314
330	79	54	315	73	66
331	84	315	61	332	199
332	342	189	192	78	200
333	218	69	67	334	329
334	92	200	199	208	328
335	220	334	75	84	201
336	97	80	82	346	85
337	227	84	119	352	348
338	102	85	88	102	96
339	232	220	346	250	97
340	360	351	347	237	104
341	235	97	348	114	107
342	365	355	221	370	238
343	366	359	235	372	240
344	239	104	366	115	246
