	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	139	399	241	215	308
31	251	205	308	366	238
32	358	270	157	319	275
33	231	167	391	67	192
34	79	347	233	166	393
35	31	255	200	194	139
36	350	176	379	179	312
37	18	199	212	203	36
38	270	362	133	1	235
39	184	89	89	357	357
40	114	340	52	280	129
41	71	204	102	117	53
42	309	382	367	34	222
43	72	330	134	343	282
44	346	146	6	18	206
45	227	174	270	322	205
46	59	354	330	95	78
47	92	216	105	99	369
48	239	265	149	185	160
49	205	86	159	240	97
50	82	158	2	246	384
51	33	308	86	47	144
52	162	4	235	111	16
53	77	342	300	336	28
54	250	244	207	125	98
55	341	32	342	279	146
56	287	100	316	267	93
57	267	17	179	86	66
58	380	334	75	213	335
59	174	313	383	68	83
60	263	62	287	60	7
61	152	375	346	323	27
62	161	397	365	399	34
63	258	201	376	254	249
64	222	197	32	359	116
65	81	323	254	71	215
66	62	34	378	398	162
67	209	106	313	245	338
68	292	85	220	288	8
69	98	147	224	51	197
70	0	97	268	310	203
71	217	189	395	66	5
72	253	143	204	73	291
73	172	343	58	241	281
74	255	351	246	53	367
75	68	3	286	108	100
76	339	348	249	352	245
77	232	232	57	270	298
78	21	114	100	28	90
79	340	194	108	87	69
80	382	230	82	13	221
81	187	319	16	379	149
82	55	266	96	122	285
83	182	6	366	163	85
84	338	238	288	54	124
85	319	321	93	58	142
86	211	335	381	291	71
87	361	80	370	290	72
88	181	138	293	173	35
89	218	329	216	351	77
90	83	225	98	57	49
91	261	162	341	80	54
92	349	112	84	377	236
93	398	90	12	223	68
94	334	99	9	39	15
95	229	385	67	197	293
96	294	79	328	24	389
97	89	231	90	52	326
98	100	46	122	227	128
99	369	38	132	46	234
100	236	8	155	146	394
101	299	25	180	23	52
102	123	286	311	374	151
103	85	37	150	141	2
104	376	68	363	181	164
105	53	327	198	202	324
106	65	60	161	325	127
107	201	223	339	74	10
108	351	365	260	218	276
109	335	21	41	274	161
110	43	314	81	110	18
111	156	10	167	228	208
112	179	234	76	42	343
113	51	289	64	21	373
114	40	173	188	169	307
115	16	220	192	364	75
116	230	95	27	263	202
117	301	196	135	344	211
118	284	257	191	268	113
119	342	252	97	339	366
120	32	155	301	395	327
121	88	5	184	133	177
122	87	212	284	220	138
123	150	125	113	109	246
124	74	59	380	191	115
125	96	281	361	14	255
126	199	160	351	315	42
127	306	64	232	210	386
128	106	135	66	187	254
129	128	262	195	326	22
130	129	284	43	216	145
131	289	91	136	211	381
132	113	108	302	295	79
133	42	366	55	353	328
134	147	39	190	318	108
135	28	368	11	75	252
136	391	337	185	354	163
137	73	253	62	314	385
138	268	227	162	250	305
139	44	269	51	105	167
140	192	186	91	88	365
141	37	51	323	264	156
142	84	180	7	327	11
143	281	94	240	335	392
144	7	31	392	281	40
145	303	77	296	152	261
146	58	113	33	386	353
147	216	355	372	371	270
148	343	356	172	113	47
149	246	81	80	361	290
150	360	235	128	176	45
151	163	75	304	138	295
152	399	144	261	234	180
153	364	73	267	61	296
154	196	192	69	275	185
155	63	379	18	101	387
156	228	260	343	298	87
157	116	93	345	243	30
158	45	190	299	160	111
159	122	156	364	345	242
160	331	364	223	6	73
161	67	221	263	380	218
162	312	254	182	135	383
163	125	148	306	161	347
164	280	53	291	149	183
165	108	267	336	311	165
166	11	298	219	134	294
167	200	40	65	48	277
168	368	175	227	375	92
169	373	24	314	157	364
170	148	237	374	282	268
171	383	367	243	349	155
172	157	251	389	276	301
173	137	84	337	369	219
174	22	246	334	177	220
175	286	178	5	165	397
176	8	117	390	244	17
177	377	387	281	3	76
178	189	389	248	195	229
179	393	26	332	143	140
180	354	193	297	225	123
181	64	271	280	297	196
182	47	261	285	89	131
183	323	203	396	5	130
184	279	338	110	307	187
185	141	213	38	4	331
186	131	110	13	292	226
187	359	210	17	251	184
188	395	359	61	285	311
189	109	353	266	201	317
190	133	188	160	49	280
191	328	307	0	94	133
192	36	291	158	236	154
193	387	87	362	204	388
194	213	142	164	283	32
195	277	136	189	219	303
196	317	395	70	44	200
197	396	317	111	338	243
198	145	224	350	65	37
199	25	120	4	16	158
200	244	50	358	168	210
201	329	218	145	63	119
202	134	285	130	183	230
203	20	72	176	217	153
204	330	169	36	158	193
205	107	377	186	331	376
206	151	202	183	257	260
207	186	322	276	389	23
208	46	222	42	393	109
209	30	152	173	299	91
210	210	35	205	55	339
211	164	217	141	180	60
212	191	206	25	229	286
213	272	233	142	333	380
214	1	9	56	312	43
215	365	52	26	198	48
216	314	297	324	383	330
217	66	30	144	33	150
218	389	229	310	91	4
219	12	207	85	118	247
220	220	396	129	214	152
221	75	29	139	97	29
222	326	332	208	132	228
223	344	14	242	302	94
224	5	247	153	277	88
225	370	258	106	330	46
226	388	164	373	78	137
227	142	168	382	103	50
228	49	374	15	373	356
229	352	83	309	0	359
230	282	263	68	156	323
231	275	166	338	271	398
232	307	243	34	153	233
233	366	20	1	207	186
234	61	274	94	174	134
235	135	126	151	84	114
236	233	119	348	222	224
237	4	393	28	284	12
238	76	130	197	396	169
239	298	272	393	376	61
240	355	209	166	140	132
241	337	28	325	317	6
242	121	177	262	334	263
243	237	372	83	184	1
244	13	208	74	41	304
245	198	245	54	324	13
246	15	378	196	394	38
247	195	363	320	348	126
248	367	315	354	2	199
249	235	249	126	167	201
250	295	159	239	200	336
251	276	96	169	308	57
252	311	141	147	77	274
253	243	383	394	397	337
254	265	290	8	9	143
255	316	304	327	363	321
256	38	107	385	287	141
257	308	326	273	242	63
258	103	2	177	321	64
259	249	92	203	127	59
260	223	43	156	347	148
261	356	128	279	346	212
262	302	316	357	82	24
263	138	344	152	29	289
264	176	287	163	193	125
265	177	12	22	340	395
266	50	124	252	137	239
267	348	171	199	230	65
268	60	36	47	128	181
269	221	23	20	303	176
270	124	149	73	56	74
271	273	380	226	159	340
272	99	121	174	256	110
273	215	1	294	76	207
274	285	7	49	286	271
275	170	172	356	188	51
276	390	273	250	147	368
277	140	264	146	25	250
278	304	277	168	391	159
279	288	131	121	112	178
280	297	102	143	92	118
281	94	352	251	115	14
282	264	58	39	316	306
283	327	157	120	121	227
284	207	137	388	355	350
285	219	151	278	104	99
286	242	214	272	148	204
287	322	88	138	381	103
288	324	122	124	7	31
289	41	282	131	8	320
290	154	259	3	151	182
291	321	76	283	301	209
292	371	305	303	17	195
293	27	324	247	255	179
294	97	54	319	387	375
295	386	311	256	90	258
296	372	256	387	196	341
297	155	398	21	35	316
298	91	170	116	305	19
299	173	299	71	30	278
300	257	279	213	170	363
301	274	22	355	237	310
302	384	328	211	300	390
303	34	115	397	231	175
304	111	215	119	40	287
305	165	301	201	72	232
306	206	312	221	155	378
307	175	105	78	175	170
308	158	195	290	272	104
309	2	49	101	260	117
310	90	82	45	62	81
311	248	16	349	83	248
312	193	27	371	208	39
313	160	15	140	261	96
314	3	384	14	79	44
315	345	165	225	252	370
316	78	47	253	150	112
317	104	242	236	59	334
318	245	42	125	26	55
319	39	70	359	37	267
320	336	145	215	154	352
321	202	357	72	106	168
322	19	154	384	238	349
323	214	129	399	178	351
324	101	118	305	32	198
325	117	345	329	239	333
326	10	181	277	182	0
327	256	309	60	27	188
328	169	140	386	294	379
329	362	71	88	11	120
330	394	361	244	390	344
331	247	56	112	269	147
332	136	127	87	81	292
333	325	280	115	384	82
334	381	63	326	306	25
335	17	219	193	144	166
336	9	295	331	309	318
337	54	306	107	329	374
338	212	104	228	212	354
339	119	78	318	262	391
340	23	45	352	114	9
341	283	134	40	313	106
342	35	239	275	96	300
343	320	386	369	356	299
344	171	370	206	304	345
