	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	65	128	245	294	392
31	384	298	197	384	286
32	164	192	397	144	51
33	286	107	196	224	106
34	0	252	20	284	373
35	23	198	192	380	189
36	319	377	100	110	354
37	112	82	368	143	178
38	7	93	372	89	359
39	3	132	45	377	294
40	357	231	57	219	261
41	28	222	263	250	365
42	229	265	349	154	351
43	222	318	76	181	87
44	131	212	28	254	39
45	166	316	358	92	116
46	172	73	338	268	203
47	306	290	162	370	262
48	362	193	56	397	78
49	317	110	138	80	91
50	216	236	356	182	150
51	169	45	3	36	292
52	203	13	221	149	89
53	285	43	218	171	318
54	31	29	201	41	260
55	393	140	233	129	308
56	226	25	374	314	271
57	299	190	264	83	330
58	188	215	347	337	162
59	140	306	131	335	301
60	294	172	205	391	206
61	225	238	164	277	336
62	176	369	204	187	378
63	30	131	148	72	0
64	280	370	208	209	40
65	210	134	71	138	199
66	387	108	377	26	114
67	178	307	43	17	350
68	122	180	312	295	1
69	232	374	380	311	391
70	282	319	272	33	394
71	133	68	348	137	182
72	167	268	251	25	195
73	309	106	9	260	342
74	59	127	72	313	197
75	168	46	306	369	16
76	385	311	242	316	200
77	49	345	385	94	112
78	8	92	145	325	52
79	55	188	331	79	317
80	1	325	173	113	125
81	101	57	199	103	298
82	195	310	170	227	297
83	86	117	365	367	163
84	34	217	229	188	99
85	145	62	160	150	397
86	185	219	154	61	79
87	224	75	115	239	42
88	243	159	12	48	304
89	253	174	113	1	280
90	316	59	99	123	323
91	351	256	6	193	65
92	134	121	278	115	389
93	12	347	387	85	60
94	77	382	315	334	236
95	189	30	175	46	220
96	341	24	0	200	33
97	13	187	198	27	63
98	50	241	267	194	32
99	202	336	230	351	223
100	308	237	68	265	131
101	300	389	317	67	10
102	88	344	172	190	377
103	152	202	220	37	277
104	41	14	180	59	217
105	274	393	191	156	319
106	42	64	238	270	135
107	234	280	184	395	30
108	71	239	308	355	75
109	295	331	390	32	244
110	297	399	41	372	167
111	279	4	62	155	142
112	9	209	300	256	129
113	303	322	139	111	270
114	29	343	378	364	288
115	98	150	255	346	375
116	113	158	223	20	134
117	53	136	320	5	6
118	349	61	190	152	113
119	129	178	290	183	161
120	381	289	87	390	82
121	159	360	185	9	212
122	340	223	129	394	268
123	46	171	203	88	228
124	74	210	83	170	157
125	292	367	262	120	38
126	213	53	239	174	37
127	330	44	287	202	83
128	209	194	339	220	249
129	32	120	355	157	29
130	212	365	343	112	340
131	368	308	119	387	224
132	78	80	33	278	143
133	396	156	156	49	369
134	215	313	127	4	101
135	11	305	21	381	385
136	377	63	110	300	105
137	258	42	241	371	306
138	151	113	248	244	137
139	388	359	174	242	254
140	15	162	134	312	316
141	147	242	195	299	98
142	5	324	54	118	287
143	83	371	329	13	126
144	267	218	188	121	151
145	148	149	346	385	247
146	206	185	5	133	256
147	371	226	42	212	327
148	97	183	1	21	337
149	263	1	244	162	85
150	325	259	128	283	11
151	81	50	171	24	127
152	17	270	74	327	149
153	320	380	383	52	208
154	66	328	58	321	166
155	334	104	90	221	276
156	233	175	177	82	214
157	395	207	307	309	201
158	174	5	250	208	81
159	91	154	27	71	124
160	314	65	122	8	88
161	144	60	149	226	265
162	116	33	55	180	221
163	247	145	91	91	59
164	296	230	84	177	94
165	352	255	22	65	363
166	230	51	152	267	25
167	165	12	200	263	188
168	141	38	309	211	296
169	37	179	319	97	334
170	123	182	59	74	181
171	380	333	85	53	395
172	196	55	142	348	343
173	94	338	168	302	250
174	287	285	140	164	227
175	359	8	111	282	155
176	27	147	226	142	47
177	64	137	273	374	9
178	220	138	179	108	104
179	304	277	169	386	21
180	322	87	189	389	361
181	372	9	234	66	153
182	277	243	271	184	284
183	191	273	16	326	253
184	157	303	102	44	384
185	125	40	209	175	370
186	35	119	247	40	278
187	136	15	310	147	55
188	10	167	95	329	366
189	241	247	97	255	28
190	139	208	291	105	158
191	367	304	107	279	233
192	344	297	326	317	8
193	70	94	126	122	272
194	25	262	269	166	382
195	301	123	60	362	328
196	313	36	193	296	44
197	265	67	360	63	118
198	63	253	86	304	62
199	245	177	213	203	289
200	180	141	65	238	232
201	44	229	158	117	96
202	221	272	153	132	218
203	276	263	81	141	53
204	270	314	389	198	293
205	262	124	253	305	388
206	54	281	313	58	66
207	76	197	337	42	273
208	4	228	151	218	235
209	273	173	296	245	24
210	345	266	105	339	307
211	158	279	183	176	43
212	47	224	70	186	379
213	193	351	157	301	71
214	21	17	23	23	61
215	281	102	396	51	240
216	67	26	125	146	183
217	19	88	120	38	160
218	114	20	357	54	48
219	154	126	106	196	348
220	61	354	143	127	14
221	96	76	39	344	175
222	289	278	144	3	139
223	82	100	266	139	387
224	211	72	275	229	241
225	324	148	166	357	321
226	177	206	257	298	303
227	366	176	121	93	179
228	207	152	10	306	46
229	386	357	51	376	266
230	260	151	116	135	290
231	75	200	146	352	187
232	347	195	210	207	238
233	261	95	52	230	344
234	255	295	178	240	90
235	370	157	392	365	269
236	339	165	133	310	398
237	162	348	314	104	374
238	39	341	150	336	226
239	248	105	281	288	264
240	363	267	34	201	230
241	192	372	88	167	310
242	33	355	334	165	345
243	342	52	316	272	349
244	399	363	40	191	325
245	373	86	369	114	22
246	43	144	350	363	234
247	87	115	384	285	69
248	360	161	108	273	246
249	290	384	284	237	190
250	204	111	2	269	108
251	343	142	49	178	281
252	73	103	98	158	263
253	117	346	66	109	193
254	109	78	373	361	255
255	128	221	270	379	291
256	16	203	243	399	295
257	104	398	246	100	335
258	307	261	92	320	356
259	249	251	332	264	364
260	390	3	335	28	196
261	329	287	391	359	357
262	310	274	82	163	110
263	389	227	124	276	305
264	269	264	231	214	145
265	103	260	228	345	279
266	227	99	394	342	117
267	291	330	80	124	205
268	236	296	38	350	341
269	111	350	254	333	207
270	89	204	235	106	76
271	99	225	341	287	213
272	173	164	261	169	58
273	257	391	194	353	111
274	242	309	26	130	147
275	288	168	353	69	239
276	376	234	375	96	302
277	45	97	182	396	225
278	217	189	89	247	180
279	246	235	96	159	185
280	312	353	61	173	169
281	228	160	324	215	92
282	321	258	17	195	320
283	364	387	299	125	322
284	160	214	277	318	275
285	199	342	379	217	339
286	244	233	130	55	103
287	252	335	47	145	73
288	51	361	206	56	36
289	348	337	371	101	198
290	179	282	363	31	122
291	146	23	232	34	386
292	237	16	215	77	128
293	239	155	163	87	211
294	132	116	112	14	368
295	119	329	327	290	258
296	100	69	207	153	19
297	358	323	15	274	144
298	58	286	395	68	15
299	38	109	370	30	97
300	102	71	288	213	186
301	48	32	181	197	314
302	182	321	303	366	140
303	90	396	227	60	93
304	197	135	135	315	393
305	331	28	219	16	184
306	298	118	292	262	154
307	95	199	351	223	148
308	336	49	36	393	352
309	268	244	344	236	49
310	259	302	94	161	252
311	346	299	328	11	133
312	198	257	359	307	242
313	156	114	53	140	141
314	323	22	283	81	164
315	153	39	50	233	399
316	149	392	14	258	7
317	184	213	225	7	267
318	121	91	305	29	156
319	311	143	216	257	210
320	40	383	311	243	177
321	56	254	211	330	109
322	118	364	64	349	120
323	175	356	93	151	332
324	186	77	336	222	146
325	18	84	103	39	50
326	137	205	268	252	172
327	138	112	304	131	347
328	171	7	252	210	23
329	142	10	237	134	204
330	2	2	4	0	2
331	20	6	7	2	4
332	22	19	8	6	5
333	24	21	11	12	12
334	36	27	13	18	13
335	60	31	18	19	17
336	62	34	25	35	18
337	68	35	32	47	27
338	69	37	67	50	31
339	72	47	69	57	34
340	79	54	73	62	35
341	84	56	75	73	45
342	85	58	78	75	54
343	92	66	79	76	57
344	105	70	101	78	64
